cd5175f51ea6642007ebd9baffaabbc26705ead81e5b6722556f9f7ac1bfa03c,f7f6be411ec4885e00cdf1d27b251fca0064da7447aad6399a2671c049f87613,4ace847080fd5094187edb76ec30594c386eba70b93c47bde434666f27678770,6bdd7aac322550bef69debf31a1a3c1219dfca052aa52f182075f9091d262723,5b87ddf1e033ab4e4ed7f3e478347b2ab8ff947c6fc6d6aca358d9ee26d543ce,2c015d3c928292c88f994e4b0676ebb4ccb57c4076a5243439d4a0776a792537,a581dba2140b107f7a3f867928f10a0bacf33c683b2589c397277eea85cc006c,5d0abc830bbf3fd2966d37b94895e2c669b972dc1f4ad0ba6e58917344f4a36d,5693b07139648a270809618cdd8f5087ca5d8a98895a383f3323fa629b31b832,d721d194dad6eb53038fb6980b2a7b7910bc4d28940b88b4e3e7b776a96bf6f6,27610513fce19e13888ff749ec307cfbfd12b38d2518648228ffeda16ce2fa82
"","602","","4514","","32","","4514027","1","",""
"","0.6","","4514","","93","","4514028","","",""
"","600","","4514","","32","","4514029","0","",""
"","611","","4514","","32","","4514030","0","",""
"","604","","4514","","32","","4514031","0","",""
"","701","","4514","","32","","4514032","1","",""
"0.01","900","","4514","","33","","4514033","0","0",""
"wac_birthday_wish_02","105811","","4514","1","3","0.2","4514034","wac_birthday_blowout_02","0","0.2"
"0.01","105811","","4514","","2","","4514035","-200","-330",""
"","106011","","4514","","3","","4514036","wac_birthday_idle_doya","1","0.2"
"0.01","106011","","4514","","2","","4514037","180","-320",""
"","105911","","4514","","3","","4514038","wac_birthday_idle_wish","1","0.2"
"0.01","105911","","4514","","2","","4514039","300","-360",""
"","106431","","4514","","3","","4514040","wac_birthday_idle_smile","1","0.2"
"0.01","106431","","4514","","2","","4514041","420","-340",""
"","0","","4514","","93","","4514042","","",""
"","800","","4514","","32","","4514043","1","",""
"","0.7","","4514","","93","","4514044","","",""
"","702","","4514","","32","","4514045","1","",""
"","0.5","","4514","","93","","4514046","","",""
"","se_common","","4514","","23","","4514047","se_sys_login_birthday_blow_candle","0",""
"","701","","4514","","32","","4514048","0","",""
"","0.4","","4514","","93","","4514049","","",""
"","se_common","","4514","","23","","4514050","se_sys_login_birthday_cracker","0",""
"","700","","4514","","32","","4514051","1","",""
"","se_common","","4514","","23","","4514052","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_doya","106011","","4514","1","3","0.2","4514053","wac_birthday_clap","0","0.2"
"","0.1","","4514","","93","","4514054","","",""
"wac_birthday_idle_wish","105911","","4514","1","3","0.2","4514055","wac_birthday_clap_to_wish","0","0.2"
"","0.1","","4514","","93","","4514056","","",""
"wac_birthday_idle_smile","106431","","4514","1","3","0.2","4514057","wac_birthday_clap","0","0.2"
"","2","","4514","","93","","4514058","","",""
"","1","","4514","","131","","4514059","","",""
"0","vo_wac_04514","","4514","","21","","4514060","vo_wac_04514_000","0",""
"1","105811","0.5","4514","1","11","0","4514061","這是生日蛋糕嗎！？\n謝謝你♪\n看起來好好吃……\n我馬上來大快朵頤囉♪","10","0"
"","0","","4514","","91","","4514062","","",""
"","105811","","4514","","3","","4514063","wac_birthday_idle_kyapi","1","0.2"
"","106011","","4514","","3","","4514064","wac_birthday_talk_normal","1","0.2"
"0","vo_wac_04514","","4514","","21","","4514065","vo_wac_04514_001","0",""
"1","106011","0.5","4514","1","11","0","4514066","慢著慢著，等一下────！！\n蠟燭都還沒拿下來耶！？\n妳這個人真的是一點也沒變啊……\n呵呵，生日快樂。","10","0"
"","0","","4514","","91","","4514067","","",""
"","106011","","4514","","3","","4514068","wac_birthday_idle_doya","1","0.2"
"","105811","","4514","","3","","4514069","wac_birthday_talk_kyapi","1","0.2"
"0","vo_wac_04514","","4514","","21","","4514070","vo_wac_04514_002","0",""
"1","105811","0.5","4514","1","11","0","4514071","嘻嘻，謝謝妳♪\n我會好好品嚐的！\n能夠得到大家的祝福，\n今天是最棒的紀念日♪","10","0"
"","0","","4514","","91","","4514072","","",""
"","105811","","4514","","3","","4514073","wac_birthday_talk_wish","1","0.2"
"0","vo_wac_04514","","4514","","21","","4514074","vo_wac_04514_003","0",""
"1","105811","0.5","4514","1","11","0","4514075","不論是今天、明天，還是遙遠的未來，\n都希望我們可以同桌享用豐盛的餐點♪\n當然，你也要一起喔！\n今後也請多多指教呢！","10","0"
"","0","","4514","","91","","4514076","","",""
"","0","","4514","","22","","4514077","","",""
"","bgm_M321","","4814","","25","","4814001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","4814","-70","1","0","4814002","102011","250","2"
"230","1","wac_birthday_idle_doya","4814","-270","1","1","4814003","103611","256","2"
"410","1","wac_birthday_idle_kyapi","4814","-310","1","1","4814004","100411","257","2"
"","102011","","4814","","13","","4814005","300","",""
"","103611","","4814","","13","","4814006","300","",""
"0","600","","4814","1","31","","4814007","600","0","1"
"0","602","","4814","1","31","","4814008","602","0","0"
"0","603","","4814","1","31","","4814009","603","0","0"
"60","604","","4814","1","31","","4814010","604","30","1"
"0","611","","4814","1","31","","4814011","611","0","1"
"0","700","","4814","1","31","","4814012","700","0","0"
"0","701","","4814","1","31","","4814013","701","0","0"
"0","702","","4814","1","31","","4814014","702","0","0"
"0","800","","4814","1","31","","4814015","800","0","0"
"60","901","","4814","1","31","","4814016","901","30","1"
"","1","","4814","","93","","4814017","","",""
"wac_birthday_reaction_03","100411","","4814","1","3","0.2","4814018","wac_birthday_reaction_02","0","0.2"
"","0.1","","4814","","93","","4814019","","",""
"wac_birthday_reaction_04","103611","","4814","1","3","0.2","4814020","wac_birthday_reaction_01","0","0.2"
"","0.3","","4814","","93","","4814021","","",""
"","102011","","4814","","3","","4814022","wac_birthday_run_01","1","0.2"
"3","102011","","4814","","2","","4814023","0","-70",""
"","2.5","","4814","","93","","4814024","","",""
"","602","","4814","","32","","4814025","1","",""
"","0.6","","4814","","93","","4814026","","",""
"","600","","4814","","32","","4814027","0","",""
"","611","","4814","","32","","4814028","0","",""
"","604","","4814","","32","","4814029","0","",""
"","701","","4814","","32","","4814030","1","",""
"0.01","901","","4814","","33","","4814031","0","0",""
"wac_birthday_wish_02","102011","","4814","1","3","0.2","4814032","wac_birthday_blowout_02","0","0.2"
"0.01","102011","","4814","","2","","4814033","-200","-330",""
"","103611","","4814","","3","","4814034","wac_birthday_idle_doya","1","0.2"
"0.01","103611","","4814","","2","","4814035","180","-320",""
"","100411","","4814","","3","","4814036","wac_birthday_idle_kyapi","1","0.2"
"0.01","100411","","4814","","2","","4814037","320","-340",""
"","0","","4814","","93","","4814038","","",""
"","800","","4814","","32","","4814039","1","",""
"","0.7","","4814","","93","","4814040","","",""
"","702","","4814","","32","","4814041","1","",""
"","0.5","","4814","","93","","4814042","","",""
"","se_common","","4814","","23","","4814043","se_sys_login_birthday_blow_candle","0",""
"","701","","4814","","32","","4814044","0","",""
"","0.4","","4814","","93","","4814045","","",""
"","se_common","","4814","","23","","4814046","se_sys_login_birthday_cracker","0",""
"","700","","4814","","32","","4814047","1","",""
"","se_common","","4814","","23","","4814048","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_doya","103611","","4814","1","3","0.2","4814049","wac_birthday_clap","0","0.2"
"","0.1","","4814","","93","","4814050","","",""
"wac_birthday_idle_kyapi","100411","","4814","1","3","0.2","4814051","wac_birthday_clap","0","0.2"
"","2","","4814","","93","","4814052","","",""
"","1","","4814","","131","","4814053","","",""
"0","vo_wac_04814","","4814","","21","","4814054","vo_wac_04814_000","0",""
"1","102011","0.5","4814","1","11","0","4814055","哇～是蛋糕呢～！\n比店裡賣的還要大個……！\n好厲害好厲害♪","10","0"
"","0","","4814","","91","","4814056","","",""
"","102011","","4814","","3","","4814057","wac_birthday_idle_smile","1","0.2"
"","103611","","4814","","3","","4814058","wac_birthday_talk_doya","1","0.2"
"0","vo_wac_04814","","4814","","21","","4814059","vo_wac_04814_001","0",""
"1","103611","0.5","4814","1","11","0","4814060","這是我們偷偷做的喔！\n雖然中途禊跑來搗蛋，\n弄得一團亂就是了……\n美美，祝妳生日快樂喔♪","10","0"
"","0","","4814","","91","","4814061","","",""
"","103611","","4814","","3","","4814062","wac_birthday_idle_doya","1","0.2"
"","102011","","4814","","3","","4814063","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_04814","","4814","","21","","4814064","vo_wac_04814_002","0",""
"1","102011","0.5","4814","1","11","0","4814065","欸嘿嘿，謝謝你們～\n沒想到能從爸爸媽媽，還有大家那裡\n收到蛋糕，就像做夢一樣……","10","0"
"","0","","4814","","91","","4814066","","",""
"","102011","","4814","","3","","4814067","wac_birthday_talk_kyapi","1","0.2"
"0","vo_wac_04814","","4814","","21","","4814068","vo_wac_04814_003","0",""
"1","102011","0.5","4814","1","11","0","4814069","美美非常幸福呢～♪\n哥哥，也謝謝你！\n等大家生日的時候，\n美美一～定也會幫你們慶祝的♪","10","0"
"","0","","4814","","91","","4814070","","",""
"","0","","4814","","22","","4814071","","",""
"","bgm_M321","","5014","","25","","5014001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","5014","-70","1","0","5014002","100211","250","2"
"230","1","wac_birthday_idle_normal","5014","-270","1","1","5014003","100311","256","2"
"410","1","wac_birthday_idle_smile","5014","-310","1","1","5014004","100111","257","2"
"","100211","","5014","","13","","5014005","300","",""
"","100311","","5014","","13","","5014006","300","",""
"0","600","","5014","1","31","","5014007","600","0","1"
"0","602","","5014","1","31","","5014008","602","0","0"
"0","603","","5014","1","31","","5014009","603","0","0"
"60","604","","5014","1","31","","5014010","604","30","1"
"0","611","","5014","1","31","","5014011","611","0","1"
"0","700","","5014","1","31","","5014012","700","0","0"
"0","701","","5014","1","31","","5014013","701","0","0"
"0","702","","5014","1","31","","5014014","702","0","0"
"0","800","","5014","1","31","","5014015","800","0","0"
"60","902","","5014","1","31","","5014016","902","30","1"
"","1","","5014","","93","","5014017","","",""
"wac_birthday_reaction_03","100111","","5014","1","3","0.2","5014018","wac_birthday_reaction_02","0","0.2"
"","0.1","","5014","","93","","5014019","","",""
"wac_birthday_reaction_04","100311","","5014","1","3","0.2","5014020","wac_birthday_reaction_01","0","0.2"
"","0.3","","5014","","93","","5014021","","",""
"","100211","","5014","","3","","5014022","wac_birthday_run_01","1","0.2"
"3","100211","","5014","","2","","5014023","0","-70",""
"","2.5","","5014","","93","","5014024","","",""
"","602","","5014","","32","","5014025","1","",""
"","0.6","","5014","","93","","5014026","","",""
"","600","","5014","","32","","5014027","0","",""
"","611","","5014","","32","","5014028","0","",""
"","604","","5014","","32","","5014029","0","",""
"","701","","5014","","32","","5014030","1","",""
"0.01","902","","5014","","33","","5014031","0","0",""
"wac_birthday_wish_04","100211","","5014","1","3","0.2","5014032","wac_birthday_blowout_01","0","0.2"
"0.01","100211","","5014","","2","","5014033","-200","-330",""
"","100311","","5014","","3","","5014034","wac_birthday_idle_normal","1","0.2"
"0.01","100311","","5014","","2","","5014035","180","-320",""
"","100111","","5014","","3","","5014036","wac_birthday_idle_smile","1","0.2"
"0.01","100111","","5014","","2","","5014037","320","-340",""
"","0","","5014","","93","","5014038","","",""
"","800","","5014","","32","","5014039","1","",""
"","0.7","","5014","","93","","5014040","","",""
"","702","","5014","","32","","5014041","1","",""
"","0.5","","5014","","93","","5014042","","",""
"","se_common","","5014","","23","","5014043","se_sys_login_birthday_blow_candle","0",""
"","701","","5014","","32","","5014044","0","",""
"","0.4","","5014","","93","","5014045","","",""
"","se_common","","5014","","23","","5014046","se_sys_login_birthday_cracker","0",""
"","700","","5014","","32","","5014047","1","",""
"","se_common","","5014","","23","","5014048","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_normal","100311","","5014","1","3","0.2","5014049","wac_birthday_clap","0","0.2"
"","0.1","","5014","","93","","5014050","","",""
"wac_birthday_idle_smile","100111","","5014","1","3","0.2","5014051","wac_birthday_clap","0","0.2"
"","2","","5014","","93","","5014052","","",""
"","1","","5014","","131","","5014053","","",""
"0","vo_wac_05014","","5014","","21","","5014054","vo_wac_05014_000","0",""
"1","100211","0.5","5014","1","11","0","5014055","這是給我的生日蛋糕嗎！？\n謝、謝謝……！\n……這該不會，\n是你們兩位親手做的吧？","10","0"
"","0","","5014","","91","","5014056","","",""
"","100211","","5014","","3","","5014057","wac_birthday_idle_wish","1","0.2"
"","100311","","5014","","3","","5014058","wac_birthday_talk_normal","1","0.2"
"0","vo_wac_05014","","5014","","21","","5014059","vo_wac_05014_001","0",""
"1","100311","0.5","5014","1","11","0","5014060","嗯，是我跟日和一起做的。\n我們總是受到優衣的幫助，\n想說至少要回個禮給妳。\n……生日快樂，優衣。","10","0"
"","0","","5014","","91","","5014061","","",""
"","100311","","5014","","3","","5014062","wac_birthday_idle_normal","1","0.2"
"","100211","","5014","","3","","5014063","wac_birthday_talk_sad","1","0.2"
"0","vo_wac_05014","","5014","","21","","5014064","vo_wac_05014_002","0",""
"1","100211","0.5","5014","1","11","0","5014065","哪、哪有……我才是老是\n受到你們的幫助……對、對不起！\n你們特地為我慶祝，\n我都開心到要哭了……！","10","0"
"","0","","5014","","91","","5014066","","",""
"","100211","","5014","","3","","5014067","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_05014","","5014","","21","","5014068","vo_wac_05014_003","0",""
"1","100211","0.5","5014","1","11","0","5014069","騎士先生，也很謝謝你。\n能收到大家的祝福，\n我超級幸福的……！\n我會用心品嚐喔！","10","0"
"","0","","5014","","91","","5014070","","",""
"","0","","5014","","22","","5014071","","",""
"","bgm_M321","","5214","","25","","5214001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","5214","-70","1","0","5214002","105511","250","2"
"170","1","wac_birthday_idle_doya","5214","-260","1","1","5214003","105311","256","2"
"270","1","wac_birthday_idle_normal","5214","-310","1","1","5214004","104511","259","2"
"410","1","wac_birthday_idle_wish","5214","-270","1","1","5214005","100811","257","2"
"510","1","wac_birthday_idle_kyapi","5214","-310","1","1","5214006","103011","258","2"
"","105511","","5214","","13","","5214007","300","",""
"","105311","","5214","","13","","5214008","300","",""
"0","600","","5214","1","31","","5214009","600","0","1"
"0","602","","5214","1","31","","5214010","602","0","0"
"0","603","","5214","1","31","","5214011","603","0","0"
"60","604","","5214","1","31","","5214012","604","30","1"
"0","611","","5214","1","31","","5214013","611","0","1"
"0","700","","5214","1","31","","5214014","700","0","0"
"0","701","","5214","1","31","","5214015","701","0","0"
"0","702","","5214","1","31","","5214016","702","0","0"
"0","800","","5214","1","31","","5214017","800","0","0"
"60","903","","5214","1","31","","5214018","903","30","1"
"","1","","5214","","93","","5214019","","",""
"wac_birthday_reaction_03","104511","","5214","1","3","0.2","5214020","wac_birthday_reaction_05","0","0.2"
"wac_birthday_reaction_03","105311","","5214","1","3","0.2","5214021","wac_birthday_reaction_01","0","0.2"
"","0.1","","5214","","93","","5214022","","",""
"wac_birthday_reaction_04","100811","","5214","1","3","0.2","5214023","wac_birthday_reaction_01","0","0.2"
"wac_birthday_reaction_03","103011","","5214","1","3","0.2","5214024","wac_birthday_reaction_02","0","0.2"
"","0.3","","5214","","93","","5214025","","",""
"","105511","","5214","","3","","5214026","wac_birthday_run_01","1","0.2"
"3","105511","","5214","","2","","5214027","0","-70",""
"","2.5","","5214","","93","","5214028","","",""
"","602","","5214","","32","","5214029","1","",""
"","0.6","","5214","","93","","5214030","","",""
"","600","","5214","","32","","5214031","0","",""
"","611","","5214","","32","","5214032","0","",""
"","604","","5214","","32","","5214033","0","",""
"","701","","5214","","32","","5214034","1","",""
"0.01","903","","5214","","33","","5214035","0","0",""
"wac_birthday_wish_04","105511","","5214","1","3","0.2","5214036","wac_birthday_blowout_03","0","0.2"
"0.01","105511","","5214","","2","","5214037","-200","-330",""
"","105311","","5214","","3","","5214038","wac_birthday_idle_doya","1","0.2"
"0.01","105311","","5214","","2","","5214039","150","-320",""
"","104511","","5214","","3","","5214040","wac_birthday_idle_normal","1","0.2"
"0.01","104511","","5214","","2","","5214041","260","-360",""
"","100811","","5214","","3","","5214042","wac_birthday_idle_wish","1","0.2"
"0.01","100811","","5214","","2","","5214043","400","-320",""
"","103011","","5214","","3","","5214044","wac_birthday_idle_kyapi","1","0.2"
"0.01","103011","","5214","","2","","5214045","500","-340",""
"","0","","5214","","93","","5214046","","",""
"","800","","5214","","32","","5214047","1","",""
"","0.7","","5214","","93","","5214048","","",""
"","702","","5214","","32","","5214049","1","",""
"","0.5","","5214","","93","","5214050","","",""
"","se_common","","5214","","23","","5214051","se_sys_login_birthday_blow_candle","0",""
"","701","","5214","","32","","5214052","0","",""
"","0.4","","5214","","93","","5214053","","",""
"","se_common","","5214","","23","","5214054","se_sys_login_birthday_cracker","0",""
"","700","","5214","","32","","5214055","1","",""
"","se_common","","5214","","23","","5214056","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_doya","105311","","5214","1","3","0.2","5214057","wac_birthday_clap","0","0.2"
"wac_birthday_idle_wish","100811","","5214","1","3","0.2","5214058","wac_birthday_clap_to_wish","0","0.2"
"","0.1","","5214","","93","","5214059","","",""
"wac_birthday_idle_normal","104511","","5214","1","3","0.2","5214060","wac_birthday_clap","0","0.2"
"","0.1","","5214","","93","","5214061","","",""
"wac_birthday_idle_kyapi","103011","","5214","1","3","0.2","5214062","wac_birthday_clap","0","0.2"
"","2","","5214","","93","","5214063","","",""
"","1","","5214","","131","","5214064","","",""
"0","vo_wac_05214","","5214","","21","","5214065","vo_wac_05214_000","0",""
"1","105511","0.5","5214","1","11","0","5214066","哇，這是生日蛋糕嗎？\n生日快樂～\n不過是誰的……咦，我、我！？\n你們記得我的生日嗎……？","10","0"
"","0","","5214","","91","","5214067","","",""
"","105511","","5214","","3","","5214068","wac_birthday_idle_wish","1","0.2"
"","105311","","5214","","3","","5214069","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_05214","","5214","","21","","5214070","vo_wac_05214_001","0",""
"1","105311","0.5","5214","1","11","0","5214071","怎麼可能會忘啊！\n步未可是本公會少數的良心……\n不，是重要的存在啊！\n讓我替妳大肆慶祝吧！生日快樂！","10","0"
"","0","","5214","","91","","5214072","","",""
"","105311","","5214","","3","","5214073","wac_birthday_idle_doya","1","0.2"
"","105511","","5214","","3","","5214074","wac_birthday_talk_wish","1","0.2"
"0","vo_wac_05214","","5214","","21","","5214075","vo_wac_05214_002","0",""
"1","105511","0.5","5214","1","11","0","5214076","咦、呃……\n我不是在作夢吧？\n我捏一下臉頰……好痛！\n果然不是夢！","10","0"
"","0","","5214","","91","","5214077","","",""
"","105511","","5214","","3","","5214078","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_05214","","5214","","21","","5214079","vo_wac_05214_003","0",""
"1","105511","0.5","5214","1","11","0","5214080","嗚……謝、謝謝你們！\n還能收到前輩的祝福，\n我真的很開心！\n嘿嘿，我會用心品嚐的……♪","10","0"
"","0","","5214","","91","","5214081","","",""
"","0","","5214","","22","","5214082","","",""
"","bgm_M321","","5514","","25","","5514001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","5514","-70","1","0","5514002","101611","250","2"
"230","1","wac_birthday_idle_normal","5514","-270","1","1","5514003","105011","256","2"
"410","1","wac_birthday_idle_smile","5514","-310","1","1","5514004","101811","257","2"
"","101611","","5514","","13","","5514005","300","",""
"","105011","","5514","","13","","5514006","300","",""
"0","600","","5514","1","31","","5514007","600","0","1"
"0","602","","5514","1","31","","5514008","602","0","0"
"0","603","","5514","1","31","","5514009","603","0","0"
"60","604","","5514","1","31","","5514010","604","30","1"
"0","611","","5514","1","31","","5514011","611","0","1"
"0","700","","5514","1","31","","5514012","700","0","0"
"0","701","","5514","1","31","","5514013","701","0","0"
"0","702","","5514","1","31","","5514014","702","0","0"
"0","800","","5514","1","31","","5514015","800","0","0"
"60","904","","5514","1","31","","5514016","904","30","1"
"","1","","5514","","93","","5514017","","",""
"wac_birthday_reaction_04","101811","","5514","1","3","0.2","5514018","wac_birthday_reaction_01","0","0.2"
"","0.1","","5514","","93","","5514019","","",""
"wac_birthday_reaction_03","105011","","5514","1","3","0.2","5514020","wac_birthday_reaction_05","0","0.2"
"","0.3","","5514","","93","","5514021","","",""
"","101611","","5514","","3","","5514022","wac_birthday_run_01","1","0.2"
"3","101611","","5514","","2","","5514023","0","-70",""
"","2.5","","5514","","93","","5514024","","",""
"","602","","5514","","32","","5514025","1","",""
"","0.6","","5514","","93","","5514026","","",""
"","600","","5514","","32","","5514027","0","",""
"","611","","5514","","32","","5514028","0","",""
"","604","","5514","","32","","5514029","0","",""
"","701","","5514","","32","","5514030","1","",""
"0.01","904","","5514","","33","","5514031","0","0",""
"wac_birthday_wish_03","101611","","5514","1","3","0.2","5514032","wac_birthday_blowout_02","0","0.2"
"0.01","101611","","5514","","2","","5514033","-200","-330",""
"","105011","","5514","","3","","5514034","wac_birthday_idle_smile","1","0.2"
"0.01","105011","","5514","","2","","5514035","180","-320",""
"","101811","","5514","","3","","5514036","wac_birthday_idle_wish","1","0.2"
"0.01","101811","","5514","","2","","5514037","320","-340",""
"","0","","5514","","93","","5514038","","",""
"","800","","5514","","32","","5514039","1","",""
"","0.7","","5514","","93","","5514040","","",""
"","702","","5514","","32","","5514041","1","",""
"","0.5","","5514","","93","","5514042","","",""
"","se_common","","5514","","23","","5514043","se_sys_login_birthday_blow_candle","0",""
"","701","","5514","","32","","5514044","0","",""
"","0.4","","5514","","93","","5514045","","",""
"","se_common","","5514","","23","","5514046","se_sys_login_birthday_cracker","0",""
"","700","","5514","","32","","5514047","1","",""
"","se_common","","5514","","23","","5514048","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_smile","105011","","5514","1","3","0.2","5514049","wac_birthday_clap","0","0.2"
"","0.1","","5514","","93","","5514050","","",""
"wac_birthday_idle_wish","101811","","5514","1","3","0.2","5514051","wac_birthday_clap_to_wish","0","0.2"
"","2","","5514","","93","","5514052","","",""
"","1","","5514","","131","","5514053","","",""
"0","vo_wac_05514","","5514","","21","","5514054","vo_wac_05514_000","0",""
"1","101611","0.5","5514","1","11","0","5514055","哇哇，這是給人家的生日蛋糕？\n沒聽說你們有準備這個啊～！\n人家要感動到哭了啦！","10","0"
"","0","","5514","","91","","5514056","","",""
"","101611","","5514","","3","","5514057","wac_birthday_idle_kyapi","1","0.2"
"","105011","","5514","","3","","5514058","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_05514","","5514","","21","","5514059","vo_wac_05514_001","0",""
"1","105011","0.5","5514","1","11","0","5514060","哼哼，妳可要好好感謝我們啊～\n這可是我跟伊緒熬夜做……不！\n做蛋糕沒花我們什麼力氣啦！\n那個……生日快樂，鈴奈。","10","0"
"","0","","5514","","91","","5514061","","",""
"","105011","","5514","","3","","5514062","wac_birthday_idle_smile","1","0.2"
"","101611","","5514","","3","","5514063","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_05514","","5514","","21","","5514064","vo_wac_05514_002","0",""
"1","101611","0.5","5514","1","11","0","5514065","啊哈哈，嗯，謝謝妳！\n難怪美咲跟小伊緒\n一大早就有一股甜～甜的味道呢～","10","0"
"","0","","5514","","91","","5514066","","",""
"","101611","","5514","","3","","5514067","wac_birthday_talk_kyapi","1","0.2"
"0","vo_wac_05514","","5514","","21","","5514068","vo_wac_05514_003","0",""
"1","101611","0.5","5514","1","11","0","5514069","朋友果然是\n不可或缺的……♪\n好，大家來開派對吧！\n秀才當然也要一起囉！","10","0"
"","0","","5514","","91","","5514070","","",""
"","0","","5514","","22","","5514071","","",""
"","bgm_M321","","6214","","25","","6214001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","6214","-70","1","0","6214002","106731","250","2"
"230","1","wac_birthday_idle_doya","6214","-270","1","1","6214003","106611","256","2"
"410","1","wac_birthday_idle_normal","6214","-310","1","1","6214004","106511","257","2"
"","106731","","6214","","13","","6214005","300","",""
"","106611","","6214","","13","","6214006","300","",""
"0","600","","6214","1","31","","6214007","600","0","1"
"0","602","","6214","1","31","","6214008","602","0","0"
"0","603","","6214","1","31","","6214009","603","0","0"
"60","604","","6214","1","31","","6214010","604","30","1"
"0","611","","6214","1","31","","6214011","611","0","1"
"0","700","","6214","1","31","","6214012","700","0","0"
"0","701","","6214","1","31","","6214013","701","0","0"
"0","702","","6214","1","31","","6214014","702","0","0"
"0","800","","6214","1","31","","6214015","800","0","0"
"60","905","","6214","1","31","","6214016","905","30","1"
"","1","","6214","","93","","6214017","","",""
"wac_birthday_reaction_03","106511","","6214","1","3","0.2","6214018","wac_birthday_reaction_02","0","0.2"
"","0.1","","6214","","93","","6214019","","",""
"wac_birthday_reaction_03","106611","","6214","1","3","0.2","6214020","wac_birthday_reaction_01","0","0.2"
"","0.3","","6214","","93","","6214021","","",""
"","106731","","6214","","3","","6214022","wac_birthday_run_01","1","0.2"
"3","106731","","6214","","2","","6214023","0","-70",""
"","2.5","","6214","","93","","6214024","","",""
"","602","","6214","","32","","6214025","1","",""
"","0.6","","6214","","93","","6214026","","",""
"","600","","6214","","32","","6214027","0","",""
"","611","","6214","","32","","6214028","0","",""
"","604","","6214","","32","","6214029","0","",""
"","701","","6214","","32","","6214030","1","",""
"0.01","905","","6214","","33","","6214031","0","0",""
"wac_birthday_wish_05","106731","","6214","1","3","0.2","6214032","wac_birthday_blowout_01","0","0.2"
