7eff1fb36285592878e017e574afc8126d8b37b3b979757599839af1fc722d57,eeea4f7bc0c9653e7c03759ca2fb27e3d9044e16a1779b5130e077ebd8d89c73,94de51279ce26f6ae8422de47d4844e4a64e542ddc639511ad102f5f1761ef4b,4fe7579065382c05a90e8026c262d5e8e7c26654ba0b869da2d4c1ef333cd004,70e923a3348072140a348292e02e728c8640646a11d957b689dfda6112f4567e,3cf80c5be6334663ea5c401501ce371ba2dae3a7fce21eaefff4377588f2e957,f3e022269b2aff31286afe3ad384d45c638b7bd2bc9704f3a06803124cd5a61a,69364b65be0528cd13429db62e9c91aa749390a51e033e857810a4e2240f74c0,eff672e9d090c7d5d90b789599c09060bb00e3631d4db3620f639a6f56cd375b,1284159eb99fd98ebf8ec51d350b02159cab1dad595e8d4360879b4dbd9960c0,046a7fd1579bdc1fc43340b94a13414df0541b7d6fae93254c8696f7cd558759
"11","0","1","20032","1","0","10","0","咦？轉來轉去？\n……啊～！？惡作劇要用的磁鐵，\n不小心放在同一個口袋裡了～！","1200320015","100411"
"91","","","20032","","","","","","1200320016","0"
"3","","","20032","","0.2","1","","travel_topdrama_r_2000_idle_sad_surprise2","1200320017","100411"
"112","","","20032","","","","","","1200320018",""
"91","","","20032","","","","","","1200320019","0"
"1","travel_topdrama_r_2000_idle_normal","42","20041","-68","0.8","101","1","105311","1200410001","1"
"1","travel_topdrama_r_2000_idle_wish","-42","20041","-68","0.8","102","0","104511","1200410002","1"
"5","mana","0","20041","-75","1","110","0","0","1200410003","0"
"91","","","20041","","","","","","1200410004","0"
"93","","","20041","","","","","0","1200410005","10"
"101","","","20041","","","","","","1200410006","1200410005"
"3","","","20041","","0","0","","none","1200410007","0"
"91","","","20041","","","","","","1200410008","0"
"13","","","20042","","","","","103","1200420001","105311"
"13","","","20042","","","","","104","1200420002","104511"
"3","","travel_topdrama_r_2000_talk_surprise_loop_sad","20042","1","0.2","0","","travel_topdrama_r_2000_talk_surprise_in_sad","1200420003","105311"
"21","","0","20042","","","0","","vo_travel_talk_20004_00","1200420004","vo_travel_talk"
"11","0","1","20042","1","0","10","0","怎、怎麼了空花！？\n臉紅通通的，還出了這麼多汗……\n是有哪裡不舒服的嘛！？","1200420005","105311"
"91","","","20042","","","","","","1200420006","0"
"3","","","20042","","0.2","1","","travel_topdrama_r_2000_idle_surprise_sad","1200420007","105311"
"3","","","20042","1","0.2","1","","travel_topdrama_r_2000_talk_wish_loop","1200420008","104511"
"21","","0","20042","","","0","","vo_travel_talk_20004_01","1200420009","vo_travel_talk"
"11","0","1","20042","1","0","10","0","現在要去的地方有從未見過\n的可怕魔物，與其對峙空花一定\n會受到前所未有的凌虐……♪","1200420010","104511"
"91","","","20042","","","","","","1200420011","0"
"3","","","20042","","0.2","1","","travel_topdrama_r_2000_idle_wish","1200420012","104511"
"3","","travel_topdrama_r_2000_talk_doya_loop_sad","20042","1","0.2","0","","travel_topdrama_r_2000_talk_doya_in_sad","1200420013","105311"
"21","","0","20042","","","0","","vo_travel_talk_20004_02","1200420014","vo_travel_talk"
"11","0","1","20042","1","0","10","0","啊，平常的妄想啊。\n整個白擔心了的感覺，\n拜託妳集中進行任務啊！","1200420015","105311"
"91","","","20042","","","","","","1200420016","0"
"3","","","20042","","0.2","1","","travel_topdrama_r_2000_idle_doya_sad","1200420017","105311"
"112","","","20042","","","","","","1200420018",""
"91","","","20042","","","","","","1200420019","0"
"1","travel_topdrama_r_2000_idle_thinking","-42","20051","-68","0.8","101","0","100911","1200510001","1"
"1","travel_topdrama_r_2000_idle_arm_crossed","42","20051","-68","0.8","102","1","105611","1200510002","1"
"5","mana","0","20051","-75","1","110","0","0","1200510003","0"
"91","","","20051","","","","","","1200510004","0"
"93","","","20051","","","","","0","1200510005","10"
"101","","","20051","","","","","","1200510006","1200510005"
"3","","","20051","","0","0","","none","1200510007","0"
"91","","","20051","","","","","","1200510008","0"
"13","","","20052","","","","","103","1200520001","100911"
"13","","","20052","","","","","104","1200520002","105611"
"3","","","20052","1","0.2","1","","travel_topdrama_r_2000_talk_thinking","1200520003","100911"
"21","","0","20052","","","0","","vo_travel_talk_20005_00","1200520004","vo_travel_talk"
"11","0","1","20052","1","0","10","0","潛在我內心的黑暗在訴說著……\n眾多的命運的線條會複雜的纏繞著，\n這趟旅程將會成為壯大的冒險記！","1200520005","100911"
"91","","","20052","","","","","","1200520006","0"
"3","","","20052","","0.2","1","","travel_topdrama_r_2000_idle_thinking","1200520007","100911"
"3","","travel_topdrama_r_2000_talk_arm_crossed_loop","20052","1","0.2","0","","travel_topdrama_r_2000_talk_arm_crossed_in","1200520008","105611"
"21","","0","20052","","","0","","vo_travel_talk_20005_01","1200520009","vo_travel_talk"
"11","0","1","20052","1","0","10","0","這樣啊。\n那麼首先，妳可以先接受\n去收集柴火的命運嗎？","1200520010","105611"
"91","","","20052","","","","","","1200520011","0"
"3","","","20052","","0.2","1","","travel_topdrama_r_2000_idle_arm_crossed","1200520012","105611"
"3","","travel_topdrama_r_2000_talk_doya_loop","20052","1","0.2","0","","travel_topdrama_r_2000_talk_doya_in_blink","1200520013","100911"
"21","","0","20052","","","0","","vo_travel_talk_20005_02","1200520014","vo_travel_talk"
"11","0","1","20052","1","0","10","0","哼，那命運的話早就已經接受了！\n……但是，那個，完全收集不全。\n可以的話能幫個忙嗎？","1200520015","100911"
"91","","","20052","","","","","","1200520016","0"
"3","","","20052","","0.2","1","","travel_topdrama_r_2000_idle_doya","1200520017","100911"
"112","","","20052","","","","","","1200520018",""
"91","","","20052","","","","","","1200520019","0"
"1","travel_topdrama_r_2000_idle_kyapi","42","20061","-68","0.8","101","1","110911","1200610001","1"
"1","travel_topdrama_r_2000_idle_doya_sad","-42","20061","-68","0.8","102","0","110811","1200610002","1"
"5","mana","0","20061","-75","1","110","0","0","1200610003","0"
"91","","","20061","","","","","","1200610004","0"
"93","","","20061","","","","","0","1200610005","10"
"101","","","20061","","","","","","1200610006","1200610005"
"3","","","20061","","0","0","","none","1200610007","0"
"91","","","20061","","","","","","1200610008","0"
"13","","","20062","","","","","103","1200620001","110911"
"13","","","20062","","","","","104","1200620002","110811"
"3","","travel_topdrama_r_2000_talk_kyapi_loop","20062","1","0.2","0","","travel_topdrama_r_2000_talk_kyapi_in","1200620003","110911"
"21","","0","20062","","","0","","vo_travel_talk_20006_00","1200620004","vo_travel_talk"
"11","0","1","20062","1","0","10","0","切嚕～☆\n切嚕切啦，切唎啪，\n切切唎啵噗！","1200620005","110911"
"91","","","20062","","","","","","1200620006","0"
"3","","","20062","","0.2","1","","travel_topdrama_r_2000_idle_kyapi","1200620007","110911"
"3","","travel_topdrama_r_2000_talk_doya_loop_sad","20062","1","0.2","0","","travel_topdrama_r_2000_talk_doya_in_sad","1200620008","110811"
"21","","0","20062","","","0","","vo_travel_talk_20006_01","1200620009","vo_travel_talk"
"11","0","1","20062","1","0","10","0","那個啊。我是不介意啦。\n你那腦筋很差的怪聲剛才引來\n了一大堆魔物的事情，已經忘掉了嗎？","1200620010","110811"
"91","","","20062","","","","","","1200620011","0"
"3","","","20062","","0.2","1","","travel_topdrama_r_2000_idle_doya_sad","1200620012","110811"
"3","","","20062","1","0.2","1","","travel_topdrama_r_2000_talk_normal2","1200620013","110911"
"21","","0","20062","","","0","","vo_travel_talk_20006_02","1200620014","vo_travel_talk"
"11","0","1","20062","1","0","10","0","……那個時候\n真的是非常的抱歉。","1200620015","110911"
"91","","","20062","","","","","","1200620016","0"
"3","","","20062","","0.2","1","","travel_topdrama_r_2000_idle_normal","1200620017","110911"
"112","","","20062","","","","","","1200620018",""
"91","","","20062","","","","","","1200620019","0"
"1","travel_topdrama_r_2000_idle_smile","42","20071","-68","0.8","101","1","102911","1200710001","1"
"1","travel_topdrama_r_2000_idle_sad","-42","20071","-68","0.8","102","0","105411","1200710002","1"
"5","mana","0","20071","-75","1","110","0","0","1200710003","0"
"91","","","20071","","","","","","1200710004","0"
"93","","","20071","","","","","0","1200710005","10"
"101","","","20071","","","","","","1200710006","1200710005"
"3","","","20071","","0","0","","none","1200710007","0"
"91","","","20071","","","","","","1200710008","0"
"13","","","20072","","","","","103","1200720001","102911"
"13","","","20072","","","","","104","1200720002","105411"
"3","","travel_topdrama_r_2000_talk_smile_loop","20072","1","0.2","0","","travel_topdrama_r_2000_talk_smile_in","1200720003","102911"
"21","","0","20072","","","0","","vo_travel_talk_20007_00","1200720004","vo_travel_talk"
"11","0","1","20072","1","0","10","0","這附近的地形，\n應該滿適合練習跳舞的吧？\n能陪我練習舞步嗎？","1200720005","102911"
"91","","","20072","","","","","","1200720006","0"
"3","","","20072","","0.2","1","","travel_topdrama_r_2000_idle_smile","1200720007","102911"
"3","","travel_topdrama_r_2000_talk_sad_loop","20072","1","0.2","0","0.2","travel_topdrama_r_2007_dance","1200720008","105411"
"21","","0","20072","","","0","","vo_travel_talk_20007_01","1200720009","vo_travel_talk"
"11","0","1","20072","1","0","10","0","咦，這樣的感覺嗎？\n……哇哇，差點失去平衡！？\n還挺困難的呢……","1200720010","105411"
"91","","","20072","","","","","","1200720011","0"
"3","","","20072","","0.2","1","","travel_topdrama_r_2000_idle_sad","1200720012","105411"
"3","","travel_topdrama_r_2000_talk_smile_loop","20072","1","0.2","0","","travel_topdrama_r_2000_talk_smile_in","1200720013","102911"
"21","","0","20072","","","0","","vo_travel_talk_20007_02","1200720014","vo_travel_talk"
"11","0","1","20072","1","0","10","0","也就是說這是不錯的練習呢！\n在去演唱會前，為了不忘記這地方，\n要把這地方寫下來呢♪","1200720015","102911"
"91","","","20072","","","","","","1200720016","0"
"3","","","20072","","0.2","1","","travel_topdrama_r_2000_idle_smile","1200720017","102911"
"112","","","20072","","","","","","1200720018",""
"91","","","20072","","","","","","1200720019","0"
"1","travel_topdrama_r_2000_idle_sad","42","20081","-68","0.8","101","1","104711","1200810001","1"
"1","travel_topdrama_r_2000_idle_doya","-42","20081","-68","0.8","102","0","107111","1200810002","1"
"5","mana","0","20081","-75","1","110","0","0","1200810003","0"
"91","","","20081","","","","","","1200810004","0"
"93","","","20081","","","","","0","1200810005","10"
"101","","","20081","","","","","","1200810006","1200810005"
"3","","","20081","","0","0","","none","1200810007","0"
"91","","","20081","","","","","","1200810008","0"
"13","","","20082","","","","","103","1200820001","104711"
"13","","","20082","","","","","104","1200820002","107111"
"3","","travel_topdrama_r_2000_talk_sad_loop","20082","1","0.2","0","","travel_topdrama_r_2000_talk_sad_in","1200820003","104711"
"21","","0","20082","","","0","","vo_travel_talk_20008_00","1200820004","vo_travel_talk"
"11","0","1","20082","1","0","10","0","雖然有幾次離開王宮的機會，\n果然還是靜不下來呢……\n發生什麼事的時候也很難對應。","1200820005","104711"
"91","","","20082","","","","","","1200820006","0"
"3","","","20082","","0.2","1","","travel_topdrama_r_2000_idle_sad","1200820007","104711"
"3","","travel_topdrama_r_2000_talk_doya_loop","20082","1","0.2","0","","travel_topdrama_r_2000_talk_doya_in","1200820008","107111"
"21","","0","20082","","","0","","vo_travel_talk_20008_01","1200820009","vo_travel_talk"
"11","0","1","20082","1","0","10","0","現在才在擔心也沒意義吧？\n放鬆心情好好享受這趟旅行吧。\n旅程還很長的呢☆","1200820010","107111"
"91","","","20082","","","","","","1200820011","0"
"3","","","20082","","0.2","1","","travel_topdrama_r_2000_idle_doya","1200820012","107111"
"3","","travel_topdrama_r_2000_talk_guts_loop","20082","1","0.2","0","","travel_topdrama_r_2000_talk_guts_in","1200820013","104711"
"21","","0","20082","","","0","","vo_travel_talk_20008_02","1200820014","vo_travel_talk"
"11","0","1","20082","1","0","10","0","謝謝妳，克莉絲。\n王宮也有優秀的部下在，\n現在還是集中在面前的工作上吧。","1200820015","104711"
"91","","","20082","","","","","","1200820016","0"
"3","","","20082","","0.2","1","","travel_topdrama_r_2000_idle_guts","1200820017","104711"
"112","","","20082","","","","","","1200820018",""
"91","","","20082","","","","","","1200820019","0"
"1","travel_topdrama_r_2000_idle_guts2","42","20091","-68","0.8","101","1","104011","1200910001","1"
"1","travel_topdrama_r_2000_idle_smile","-42","20091","-68","0.8","102","0","101511","1200910002","1"
"5","mana","0","20091","-75","1","110","0","0","1200910003","0"
"91","","","20091","","","","","","1200910004","0"
"93","","","20091","","","","","0","1200910005","10"
"101","","","20091","","","","","","1200910006","1200910005"
"3","","","20091","","0","0","","none","1200910007","0"
"91","","","20091","","","","","","1200910008","0"
"13","","","20092","","","","","103","1200920001","104011"
"13","","","20092","","","","","104","1200920002","101511"
"3","","travel_topdrama_r_2000_talk_guts2_loop","20092","1","0.2","0","","travel_topdrama_r_2000_talk_guts2_in","1200920003","104011"
"21","","0","20092","","","0","","vo_travel_talk_20009_00","1200920004","vo_travel_talk"
"11","0","1","20092","1","0","10","0","這次的冒險有許多公會\n會參加對吧……？\n難道這是，交朋友的好機會……？","1200920005","104011"
"91","","","20092","","","","","","1200920006","0"
"3","","","20092","","0.2","1","","travel_topdrama_r_2000_idle_guts2","1200920007","104011"
"3","","travel_topdrama_r_2000_talk_wish_loop_joy","20092","1","0.2","0","","travel_topdrama_r_2000_talk_wish_in_joy","1200920008","101511"
"21","","0","20092","","","0","","vo_travel_talk_20009_01","1200920009","vo_travel_talk"
"11","0","1","20092","1","0","10","0","呵呵，是啊～\n一定會有不少的邂逅，\n試著多跟人搭話如何～？","1200920010","101511"
"91","","","20092","","","","","","1200920011","0"
"3","","","20092","","0.2","1","","travel_topdrama_r_2000_idle_wish_joy","1200920012","101511"
"3","","travel_topdrama_r_2000_talk_surprise_loop_sad","20092","1","0.2","0","","travel_topdrama_r_2000_talk_surprise_in_sad","1200920013","104011"
"21","","0","20092","","","0","","vo_travel_talk_20009_02","1200920014","vo_travel_talk"
"11","0","1","20092","1","0","10","0","多……跟人搭話……！？\n一瞬間就喪失自信了……\n果然還是走在邊邊就好了……","1200920015","104011"
"91","","","20092","","","","","","1200920016","0"
"3","","","20092","","0.2","1","","travel_topdrama_r_2000_idle_surprise_sad","1200920017","104011"
"112","","","20092","","","","","","1200920018",""
"91","","","20092","","","","","","1200920019","0"
"1","travel_topdrama_r_2000_idle_sad","42","20101","-68","0.8","101","1","102611","1201010001","1"
"1","travel_topdrama_r_2000_idle_doya_sad","-42","20101","-68","0.8","102","0","103311","1201010002","1"
"5","mana","0","20101","-75","1","110","0","0","1201010003","0"
"91","","","20101","","","","","","1201010004","0"
"93","","","20101","","","","","0","1201010005","10"
"101","","","20101","","","","","","1201010006","1201010005"
"3","","","20101","","0","0","","none","1201010007","0"
"91","","","20101","","","","","","1201010008","0"
"13","","","20102","","","","","103","1201020001","102611"
"13","","","20102","","","","","104","1201020002","103311"
"3","","travel_topdrama_r_2000_talk_sad_loop","20102","1","0.2","0","","travel_topdrama_r_2000_talk_sad_in","1201020003","102611"
"21","","0","20102","","","0","","vo_travel_talk_20010_00","1201020004","vo_travel_talk"
"11","0","1","20102","1","0","10","0","呼……呼……！\n已經走了好久了啊～！\n想回家了啦～想懶懶散散地度過～！","1201020005","102611"
"91","","","20102","","","","","","1201020006","0"
"3","","","20102","","0.2","1","","travel_topdrama_r_2000_idle_sad","1201020007","102611"
"3","","travel_topdrama_r_2000_talk_doya_loop_sad","20102","1","0.2","0","","travel_topdrama_r_2000_talk_doya_in_sad","1201020008","103311"
"21","","0","20102","","","0","","vo_travel_talk_20010_01","1201020009","vo_travel_talk"
"11","0","1","20102","1","0","10","0","在說什麼呀～！\n鈴鈴最需要多走走，\n重新鍛鍊身體！","1201020010","103311"
"91","","","20102","","","","","","1201020011","0"
"3","","","20102","","0.2","1","","travel_topdrama_r_2000_idle_doya_sad","1201020012","103311"
"3","","","20102","1","0.2","1","","travel_topdrama_r_2000_talk_dead","1201020013","102611"
"21","","0","20102","","","0","","vo_travel_talk_20010_02","1201020014","vo_travel_talk"
"11","0","1","20102","1","0","10","0","那種事情完全不需要啦……！\n總之讓我休息！休息～！\n不吃個橡子的話，我的腳會開始痠痛的～！","1201020015","102611"
"91","","","20102","","","","","","1201020016","0"
"3","","","20102","","0.2","1","","travel_topdrama_r_2000_idle_dead","1201020017","102611"
"112","","","20102","","","","","","1201020018",""
"91","","","20102","","","","","","1201020019","0"
"1","travel_topdrama_r_2000_idle_smile","42","20111","-68","0.8","101","1","104911","1201110001","1"
"1","travel_topdrama_r_2000_idle_normal","-42","20111","-68","0.8","102","0","101111","1201110002","1"
"5","mana","0","20111","-75","1","110","0","0","1201110003","0"
"91","","","20111","","","","","","1201110004","0"
"93","","","20111","","","","","0","1201110005","10"
"101","","","20111","","","","","","1201110006","1201110005"
"3","","","20111","","0","0","","none","1201110007","0"
"91","","","20111","","","","","","1201110008","0"
"13","","","20112","","","","","103","1201120001","104911"
"13","","","20112","","","","","104","1201120002","101111"
"3","","travel_topdrama_r_2000_talk_smile_loop","20112","1","0.2","0","","travel_topdrama_r_2000_talk_smile_in","1201120003","104911"
"21","","0","20112","","","0","","vo_travel_talk_20011_00","1201120004","vo_travel_talk"
"11","0","1","20112","1","0","10","0","不知道路上有沒有掉什麼好東西呢～？\n能讓弟弟興奮過頭，讓他瞬間忘掉\n最喜歡姐姐以外的感情的寶物之類的。","1201120005","104911"
"91","","","20112","","","","","","1201120006","0"
"3","","","20112","","0.2","1","","travel_topdrama_r_2000_idle_smile","1201120007","104911"
"3","","travel_topdrama_r_2000_talk_shock","20112","1","0.2","0","","travel_topdrama_r_2000_shock_in","1201120008","101111"
"21","","0","20112","","","0","","vo_travel_talk_20011_01","1201120009","vo_travel_talk"
"11","0","1","20112","1","0","10","0","不不不，靜流姐？\n那根本就是受詛咒的裝備了，\n真的發現了也別帶回去喔。","1201120010","101111"
"91","","","20112","","","","","","1201120011","0"
"3","","","20112","","0.2","1","","travel_topdrama_r_2000_idle_normal","1201120012","101111"
"3","","travel_topdrama_r_2000_talk_wish_loop_joy","20112","1","0.2","0","","travel_topdrama_r_2000_talk_wish_in_joy","1201120013","104911"
"21","","0","20112","","","0","","vo_travel_talk_20011_02","1201120014","vo_travel_talk"
"11","0","1","20112","1","0","10","0","唉……算了，也行。\n就算不依靠那種東西，弟弟\n也是最喜歡姐姐的呢♪","1201120015","104911"
"91","","","20112","","","","","","1201120016","0"
"3","","","20112","","0.2","1","","travel_topdrama_r_2000_idle_wish_joy","1201120017","104911"
"112","","","20112","","","","","","1201120018",""
"91","","","20112","","","","","","1201120019","0"
"1","travel_topdrama_r_2000_idle_sad","42","20121","-68","0.8","101","1","101011","1201210001","1"
"1","travel_topdrama_r_2000_idle_guts2_joy","-42","20121","-68","0.8","102","0","101711","1201210002","1"
"5","travel_topdrama_r_2012_empty","-42","20121","-68","0.8","103","0","3","1201210003","3"
"5","mana","0","20121","-75","1","110","0","0","1201210004","0"
"91","","","20121","","","","","","1201210005","0"
"93","","","20121","","","","","0","1201210006","10"
"101","","","20121","","","","","","1201210007","1201210006"
"3","","","20121","","0","0","","none","1201210008","0"
"91","","","20121","","","","","","1201210009","0"
"13","","","20122","","","","","104","1201220001","101011"
"13","","","20122","","","","","105","1201220002","101711"
"3","","travel_topdrama_r_2000_talk_sad_loop","20122","1","0.2","0","","travel_topdrama_r_2000_talk_sad_in","1201220003","101011"
"21","","0","20122","","","0","","vo_travel_talk_20012_00","1201220004","vo_travel_talk"
"11","0","1","20122","1","0","10","0","冒險還真辛苦呢～\n人家已經有點累了，\n香織還很有精神呢～？","1201220005","101011"
"91","","","20122","","","","","","1201220006","0"
"3","","","20122","","0.2","1","","travel_topdrama_r_2000_idle_sad","1201220007","101011"
"3","","travel_topdrama_r_2012_raise_loop_talk","20122","1","0.2","0","","travel_topdrama_r_2012_raise_in","1201220008","101711"
"3","","travel_topdrama_r_2012_raise_loop_talk","20122","1","0.2","0","","travel_topdrama_r_2012_raise_in","1201220009","3"
"21","","0","20122","","","0","","vo_travel_talk_20012_01","1201220010","vo_travel_talk"
"11","0","1","20122","1","0","10","0","都是多虧開口笑呢～♪\n又甜又吃得飽肚子，\n也分一些給真步吧～","1201220011","101711"
"91","","","20122","","","","","","1201220012","0"
"3","","","20122","","0.2","1","","travel_topdrama_r_2012_raise_loop_idle","1201220013","101711"
"3","","","20122","","0.2","1","","travel_topdrama_r_2012_raise_loop_talk","1201220014","3"
"3","","travel_topdrama_r_2000_talk_smile_loop","20122","1","0.2","0","","travel_topdrama_r_2000_talk_smile_in","1201220015","101011"
"21","","0","20122","","","0","","vo_travel_talk_20012_02","1201220016","vo_travel_talk"
"11","0","1","20122","1","0","10","0","謝謝妳呀～♪\n把這給吃下去，人家也要像香織\n一樣有精神的繼續冒險～♪","1201220017","101011"
"91","","","20122","","","","","","1201220018","0"
"3","","","20122","","0.2","1","","travel_topdrama_r_2000_idle_smile","1201220019","101011"
"112","","","20122","","","","","","1201220020",""
"91","","","20122","","","","","","1201220021","0"
"1","travel_topdrama_r_2000_idle_doya","42","20131","-68","0.8","101","1","104411","1201310001","1"
"1","travel_topdrama_r_2000_idle_anger","-42","20131","-68","0.8","102","0","100711","1201310002","1"
