88bdb9e10a4e0de2480bf0e94644460348a0bf1abbcd2dd796b8976d3d624506,eec829b8e9d43ff2229f60c6fe9847875f0f53e8f14639126f02d40181c140de,6af24833ea74f88e2faf4b47e731f2e8bdeaf20add52bd9c6fb24cec4e7fab86,8e79a8e0e59e4ca6b29cc040c98b4b8868c10e9567495f541b0116359b7350e2,0a965c043e984ab8280e26934ec72598a0c43107f6840a4c5be192d1b2c06c89,af8e492b068bc712544356a4d680194f27684eaf8df358144a6326b4f68112a0,cf7fff6e6c17bbbc4d21e9752f3da02abc93962a73469bcea880f3e947057196,8ccdaca0897a888e5fe7062dae5fe0752ed9004c4f51505031a8f1ec188e8411,90d34d6fa94c14afc7ce3f6cbba2a2d06f8af1024587a685240b2b8b418b89f3,c03a5c50817d498c3afde359e1a0fca4c8a0eff4a191f778273b66cb1b31cf6f,a6c45bb426bf8ac30ef0bce35dc51cd9bf7ca32f4a000f285bf5e76891bb7f9a,e4e8e5c584c0fa950b0eb43417a47c046876412763f81f90a95bb543e24ce802
"4","0","0","0","0","1","4","0","0","3.814","2","1020004"
"5","0","vo_minigame_1005_nikki02_001","0","0","0","2","0","vo_minigame_1005","0","2","1020005"
"6","1.67","0","0","239","0","1","2","0","0","2","1020006"
"7","0","0","0","0","1","4","0","0","2.19","2","1020007"
"8","2.455","0","0","314","0","1","3","0","0","2","1020008"
"9","0","0","0","0","1","4","0","0","3.527","2","1020009"
"10","0","vo_minigame_1005_nikki02_002","0","0","0","2","0","vo_minigame_1005","0","2","1020010"
"11","0.454","0","0","104","0","1","4","0","0","2","1020011"
"12","0","0","0","0","1","4","0","0","0.874","2","1020012"
"13","2.154","0","104","392","0","1","4","0","0","2","1020013"
"14","0","0","0","0","1","4","0","0","3.373","2","1020014"
"15","0","vo_minigame_1005_nikki02_003","0","0","0","2","0","vo_minigame_1005","0","2","1020015"
"16","0.895","0","0","125","0","1","5","0","0","2","1020016"
"17","0","0","0","0","1","4","0","0","1.311","2","1020017"
"18","1.114","0","125","265","0","1","5","0","0","2","1020018"
"19","0","0","0","0","1","4","0","0","1.181","2","1020019"
"20","0.497","0","265","340","0","1","5","0","0","2","1020020"
"21","0","0","0","0","1","4","0","0","0.497","2","1020021"
"22","1.37","0","0","189","0","1","6","0","0","2","1020022"
"23","0","0","0","0","1","4","0","0","2.407","2","1020023"
"24","0","vo_minigame_1005_nikki02_004","0","0","0","2","0","vo_minigame_1005","0","2","1020024"
"25","1.616","0","0","295","0","1","7","0","0","2","1020025"
"26","0","0","0","0","1","4","0","0","2.035","2","1020026"
"27","0.951","0","0","68","0","1","8","0","0","2","1020027"
"28","0","0","0","0","1","4","0","0","1.322","2","1020028"
"29","1.924","0","68","258","0","1","8","0","0","2","1020029"
"30","0","0","0","0","1","4","0","0","2.98","2","1020030"
"31","0","vo_minigame_1005_nikki02_005","0","0","0","2","0","vo_minigame_1005","0","2","1020031"
"32","0.93","0","0","83","0","1","9","0","0","2","1020032"
"33","0","0","0","0","1","4","0","0","1.24","2","1020033"
"34","0.879","0","83","257","0","1","9","0","0","2","1020034"
"35","0","0","0","0","1","4","0","0","1.877","2","1020035"
"36","0","vo_minigame_1005_nikki02_006","0","0","0","2","0","vo_minigame_1005","0","2","1020036"
"37","1.148","0","0","164","0","1","10","0","0","2","1020037"
"38","0","0","0","0","1","4","0","0","1.541","2","1020038"
"39","1.145","0","164","367","0","1","10","0","0","2","1020039"
"40","0","0","0","0","1","4","0","0","2.645","2","1020040"
"1","0","0","0","0","3","4","0","0","1","3","1030001"
"2","0","vo_minigame_1005_nikki03_000","0","0","0","2","0","vo_minigame_1005","0","3","1030002"
"3","2.61","0","0","340","0","1","1","0","0","3","1030003"
"4","0","0","0","0","1","4","0","0","3.007","3","1030004"
"5","1.47","0","0","233","0","1","2","0","0","3","1030005"
"6","0","0","0","0","1","4","0","0","2.171","3","1030006"
"7","0","vo_minigame_1005_nikki03_001","0","0","0","2","0","vo_minigame_1005","0","3","1030007"
"8","2.1","0","0","322","0","1","3","0","0","3","1030008"
"9","0","0","0","0","1","4","0","0","2.579","3","1030009"
"10","2.298","0","0","370","0","1","4","0","0","3","1030010"
"11","0","0","0","0","1","4","0","0","3.18","3","1030011"
"12","0","vo_minigame_1005_nikki03_002","0","0","0","2","0","vo_minigame_1005","0","3","1030012"
"13","1.262","0","0","101","0","1","5","0","0","3","1030013"
"14","0","0","0","0","1","4","0","0","1.993","3","1030014"
"15","0","vo_minigame_1005_nikki03_003","0","0","0","2","0","vo_minigame_1005","0","3","1030015"
"16","0.373","0","101","142","0","1","5","0","0","3","1030016"
"17","0","0","0","0","1","4","0","0","0.69","3","1030017"
"18","1.045","0","142","362","0","1","5","0","0","3","1030018"
"19","0","0","0","0","1","4","0","0","2.131","3","1030019"
"20","0","vo_minigame_1005_nikki03_004","0","0","0","2","0","vo_minigame_1005","0","3","1030020"
"21","2.147","0","0","289","0","1","6","0","0","3","1030021"
"22","0","0","0","0","1","4","0","0","2.618","3","1030022"
"23","1.445","0","0","350","0","1","7","0","0","3","1030023"
"24","0","0","0","0","1","4","0","0","2.552","3","1030024"
"25","0","vo_minigame_1005_nikki03_005","0","0","0","2","0","vo_minigame_1005","0","3","1030025"
"26","0.876","0","0","103","0","1","8","0","0","3","1030026"
"27","0","0","0","0","1","4","0","0","1.252","3","1030027"
"28","2.625","0","103","407","0","1","8","0","0","3","1030028"
"29","0","0","0","0","1","4","0","0","4.056","3","1030029"
"30","0","vo_minigame_1005_nikki03_006","0","0","0","2","0","vo_minigame_1005","0","3","1030030"
"31","2.728","0","0","383","0","1","9","0","0","3","1030031"
"32","0","0","0","0","1","4","0","0","3.023","3","1030032"
"33","0.91","0","0","104","0","1","10","0","0","3","1030033"
"34","0","0","0","0","1","4","0","0","1.977","3","1030034"
"35","0","vo_minigame_1005_nikki03_007","0","0","0","2","0","vo_minigame_1005","0","3","1030035"
"36","0.558","0","104","245","0","1","10","0","0","3","1030036"
"37","0","0","0","0","1","4","0","0","0.973","3","1030037"
"38","1.35","0","245","392","0","1","10","0","0","3","1030038"
"39","0","0","0","0","1","4","0","0","2.103","3","1030039"
"40","0","vo_minigame_1005_nikki03_008","0","0","0","2","0","vo_minigame_1005","0","3","1030040"
"41","0.935","0","0","150","0","1","11","0","0","3","1030041"
"42","0","0","0","0","1","4","0","0","2.435","3","1030042"
"1","0","0","0","0","3","4","0","0","1","4","1040001"
"2","0","vo_minigame_1005_nikki04_000","0","0","0","2","0","vo_minigame_1005","0","4","1040002"
"3","1.597","0","0","222","0","1","1","0","0","4","1040003"
"4","0","0","0","0","1","4","0","0","1.881","4","1040004"
"5","1.46","0","0","239","0","1","2","0","0","4","1040005"
"6","0","0","0","0","1","4","0","0","2.457","4","1040006"
"7","0","vo_minigame_1005_nikki04_001","0","0","0","2","0","vo_minigame_1005","0","4","1040007"
"8","1.208","0","0","184","0","1","3","0","0","4","1040008"
"9","0","0","0","0","1","4","0","0","1.578","4","1040009"
"10","0.673","0","184","303","0","1","3","0","0","4","1040010"
"11","0","0","0","0","1","4","0","0","1.009","4","1040011"
"12","0.65","0","303","370","0","1","3","0","0","4","1040012"
"13","0","0","0","0","1","4","0","0","0.729","4","1040013"
"14","0.976","0","0","182","0","1","4","0","0","4","1040014"
"15","0","0","0","0","1","4","0","0","1.993","4","1040015"
"16","0","vo_minigame_1005_nikki04_002","0","0","0","2","0","vo_minigame_1005","0","4","1040016"
"17","0.396","0","182","242","0","1","4","0","0","4","1040017"
"18","0","0","0","0","1","4","0","0","0.864","4","1040018"
"19","0.74","0","242","360","0","1","4","0","0","4","1040019"
"20","0","0","0","0","1","4","0","0","1.855","4","1040020"
"21","0","vo_minigame_1005_nikki04_003","0","0","0","2","0","vo_minigame_1005","0","4","1040021"
"22","0.437","0","0","84","0","1","5","0","0","4","1040022"
"23","0","0","0","0","1","4","0","0","0.497","4","1040023"
"24","1.776","0","84","289","0","1","5","0","0","4","1040024"
"25","0","0","0","0","1","4","0","0","2.233","4","1040025"
"26","1.29","0","0","163","0","1","6","0","0","4","1040026"
"27","0","0","0","0","1","4","0","0","1.638","4","1040027"
"28","1.137","0","163","400","0","1","6","0","0","4","1040028"
"29","0","0","0","0","1","4","0","0","2.3","4","1040029"
"30","0","vo_minigame_1005_nikki04_004","0","0","0","2","0","vo_minigame_1005","0","4","1040030"
"31","0.336","0","0","65","0","1","7","0","0","4","1040031"
"32","0","0","0","0","1","4","0","0","0.826","4","1040032"
"33","1.223","0","65","203","0","1","7","0","0","4","1040033"
"34","0","0","0","0","1","4","0","0","1.223","4","1040034"
"35","0.994","0","203","325","0","1","7","0","0","4","1040035"
"36","0","0","0","0","1","4","0","0","1.487","4","1040036"
"37","0.89","0","0","312","0","1","8","0","0","4","1040037"
"38","0","0","0","0","1","4","0","0","1.567","4","1040038"
"39","0","vo_minigame_1005_nikki04_005","0","0","0","2","0","vo_minigame_1005","0","4","1040039"
"40","0.74","0","0","151","0","1","9","0","0","4","1040040"
"41","0","0","0","0","1","4","0","0","1.731","4","1040041"
"42","0","vo_minigame_1005_nikki04_006","0","0","0","2","0","vo_minigame_1005","0","4","1040042"
"43","1.937","0","0","278","0","1","10","0","0","4","1040043"
"44","0","0","0","0","1","4","0","0","2.435","4","1040044"
"45","0.822","0","0","66","0","1","11","0","0","4","1040045"
"46","0","0","0","0","1","4","0","0","1.376","4","1040046"
"47","0.576","0","66","203","0","1","11","0","0","4","1040047"
"48","0","0","0","0","1","4","0","0","0.923","4","1040048"
"49","0.785","0","203","353","0","1","11","0","0","4","1040049"
"50","0","0","0","0","1","4","0","0","2.285","4","1040050"
"1","0","0","0","0","3","4","0","0","1","5","1050001"
"2","0","vo_minigame_1005_nikki05_000","0","0","0","2","0","vo_minigame_1005","0","5","1050002"
"3","1.419","0","0","183","0","1","1","0","0","5","1050003"
"4","0","0","0","0","1","4","0","0","1.662","5","1050004"
"5","1.614","0","0","265","0","1","2","0","0","5","1050005"
"6","0","0","0","0","1","4","0","0","2.394","5","1050006"
"7","0","vo_minigame_1005_nikki05_001","0","0","0","2","0","vo_minigame_1005","0","5","1050007"
"8","2.658","0","0","394","0","1","3","0","0","5","1050008"
"9","0","0","0","0","1","4","0","0","3.202","5","1050009"
"10","0","vo_minigame_1005_nikki05_002","0","0","0","2","0","vo_minigame_1005","0","5","1050010"
"11","1.745","0","0","298","0","1","4","0","0","5","1050011"
"12","0","0","0","0","1","4","0","0","2.545","5","1050012"
"13","0","vo_minigame_1005_nikki05_003","0","0","0","2","0","vo_minigame_1005","0","5","1050013"
"14","0.964","0","0","84","0","1","5","0","0","5","1050014"
"15","0","0","0","0","1","4","0","0","1.34","5","1050015"
"16","1.919","0","84","394","0","1","5","0","0","5","1050016"
"17","0","0","0","0","1","4","0","0","2.719","5","1050017"
"18","0","vo_minigame_1005_nikki05_004","0","0","0","2","0","vo_minigame_1005","0","5","1050018"
"19","0.434","0","0","103","0","1","6","0","0","5","1050019"
"20","0","0","0","0","1","4","0","0","0.903","5","1050020"
"21","0.8","0","103","250","0","1","6","0","0","5","1050021"
"22","0","0","0","0","1","4","0","0","0.8","5","1050022"
"23","0.262","0","0","25","0","1","7","0","0","5","1050023"
"24","0","0","0","0","1","4","0","0","0.968","5","1050024"
"25","2.473","0","25","309","0","1","7","0","0","5","1050025"
"26","0","0","0","0","1","4","0","0","3.315","5","1050026"
"27","0","vo_minigame_1005_nikki05_005","0","0","0","2","0","vo_minigame_1005","0","5","1050027"
"28","0.509","0","0","28","0","1","8","0","0","5","1050028"
"29","0","0","0","0","1","4","0","0","0.988","5","1050029"
"30","1.775","0","28","364","0","1","8","0","0","5","1050030"
"31","0","0","0","0","1","4","0","0","2.507","5","1050031"
"32","0","vo_minigame_1005_nikki05_006","0","0","0","2","0","vo_minigame_1005","0","5","1050032"
"33","1.139","0","0","201","0","1","9","0","0","5","1050033"
"34","0","0","0","0","1","4","0","0","2.066","5","1050034"
"35","0","vo_minigame_1005_nikki05_007","0","0","0","2","0","vo_minigame_1005","0","5","1050035"
"36","0.665","0","0","60","0","1","10","0","0","5","1050036"
"37","0","0","0","0","1","4","0","0","1.144","5","1050037"
"38","1.389","0","60","282","0","1","10","0","0","5","1050038"
"39","0","0","0","0","1","4","0","0","1.789","5","1050039"
"40","0.823","0","282","376","0","1","10","0","0","5","1050040"
"41","0","0","0","0","1","4","0","0","2.023","5","1050041"
