10ef45138ecc36a7e53101475bc4813dd2939643b1b2beabdafb593355198450,079a633d94297bffe88bde34f5a3f22c2266578d00b4324ae63f743ef1d3a27e,67f80e63f5b9d8aa3b422cfe1962663f422c3ca983bd95490372660dffbe8b2c,6a15885e914ba00004bcb568e91c98d722752d056be28a0368c52d355d35a58a,d25b977b75534435481df8e91d79fde33018cce53720a018af6dfa9c61aecc41,81f43b54a4f8789493e32c2c2036ce5c2336cbdfb7abf84d8917101d12467592,f92aeb880e63a15df1660e7add723c5c52a773f987edc223b9c334252a548878
"180011973","180011971","86","-1","180011972","18001007","280"
"180010183","180010181","87","59","180010182","18001008","1"
"180010283","180010281","88","99","180010282","18001008","60"
"180010383","180010381","89","119","180010382","18001008","100"
"180010483","180010481","90","139","180010482","18001008","120"
"180010583","180010581","91","149","180010582","18001008","140"
"180010683","180010681","92","159","180010682","18001008","150"
"180010783","180010781","93","169","180010782","18001008","160"
"180010883","180010881","94","179","180010882","18001008","170"
"180010983","180010981","95","189","180010982","18001008","180"
"180011083","180011081","96","199","180011082","18001008","190"
"180011183","180011181","97","209","180011182","18001008","200"
"180011283","180011281","98","219","180011282","18001008","210"
"180011383","180011381","99","229","180011382","18001008","220"
"180011483","180011481","100","239","180011482","18001008","230"
"180011583","180011581","101","249","180011582","18001008","240"
"180011683","180011681","102","259","180011682","18001008","250"
"180011783","180011781","103","269","180011782","18001008","260"
"180011883","180011881","104","279","180011882","18001008","270"
"180011983","180011981","105","289","180011982","18001008","280"
"180012083","180012081","106","-1","180012082","18001008","290"
"180010193","180010191","107","59","180010192","18001009","1"
"180010293","180010291","108","99","180010292","18001009","60"
"180010393","180010391","109","119","180010392","18001009","100"
"180010493","180010491","110","139","180010492","18001009","120"
"180010593","180010591","111","149","180010592","18001009","140"
"180010693","180010691","112","159","180010692","18001009","150"
"180010793","180010791","113","169","180010792","18001009","160"
"180010893","180010891","114","179","180010892","18001009","170"
"180010993","180010991","115","189","180010992","18001009","180"
"180011093","180011091","116","199","180011092","18001009","190"
"180011193","180011191","117","209","180011192","18001009","200"
"180011293","180011291","118","219","180011292","18001009","210"
"180011393","180011391","119","229","180011392","18001009","220"
"180011493","180011491","120","239","180011492","18001009","230"
"180011593","180011591","121","249","180011592","18001009","240"
"180011693","180011691","122","259","180011692","18001009","250"
"180011793","180011791","123","269","180011792","18001009","260"
"180011893","180011891","124","279","180011892","18001009","270"
"180011993","180011991","125","289","180011992","18001009","280"
"180012093","180012091","126","299","180012092","18001009","290"
"180012193","180012191","127","309","180012192","18001009","300"
"180012293","180012291","128","319","180012292","18001009","310"
"180012393","180012391","129","329","180012392","18001009","320"
"180012493","180012491","130","-1","180012492","18001009","330"
"190010113","190010111","1001","59","190010112","19001001","1"
"190010213","190010211","1002","99","190010212","19001001","60"
"190010313","190010311","1003","119","190010312","19001001","100"
"190010413","190010411","1004","139","190010412","19001001","120"
"190010513","190010511","1005","149","190010512","19001001","140"
"190010613","190010611","1006","159","190010612","19001001","150"
"190010713","190010711","1007","169","190010712","19001001","160"
"190010813","190010811","1008","-1","190010812","19001001","170"
"190010123","190010121","1009","59","190010122","19001002","1"
"190010223","190010221","1010","99","190010222","19001002","60"
"190010323","190010321","1011","119","190010322","19001002","100"
"190010423","190010421","1012","139","190010422","19001002","120"
"190010523","190010521","1013","149","190010522","19001002","140"
"190010623","190010621","1014","159","190010622","19001002","150"
"190010723","190010721","1015","169","190010722","19001002","160"
"190010823","190010821","1016","-1","190010822","19001002","170"
"190010133","190010131","1017","59","190010132","19001003","1"
"190010233","190010231","1018","99","190010232","19001003","60"
"190010333","190010331","1019","119","190010332","19001003","100"
"190010433","190010431","1020","139","190010432","19001003","120"
"190010533","190010531","1021","149","190010532","19001003","140"
"190010633","190010631","1022","159","190010632","19001003","150"
"190010733","190010731","1023","169","190010732","19001003","160"
"190010833","190010831","1024","179","190010832","19001003","170"
"190010933","190010931","1025","189","190010932","19001003","180"
"190011033","190011031","1026","199","190011032","19001003","190"
"190011133","190011131","1027","209","190011132","19001003","200"
"190011233","190011231","1028","219","190011232","19001003","210"
"190011333","190011331","1029","229","190011332","19001003","220"
"190011433","190011431","1030","239","190011432","19001003","230"
"190011533","190011531","1031","249","190011532","19001003","240"
"190011633","190011631","1032","259","190011632","19001003","250"
"190011733","190011731","1033","269","190011732","19001003","260"
"190011833","190011831","1034","279","190011832","19001003","270"
"190011933","190011931","1035","289","190011932","19001003","280"
"190012033","190012031","1036","299","190012032","19001003","290"
"190012133","190012131","1037","309","190012132","19001003","300"
"190012233","190012231","1038","-1","190012232","19001003","310"
