d57b0b0b6864908c21341016a053d902cdc938f210032698c12ac0f084ac9dc5,ba46b6b6d9d4a5e1b62c90dfc4a70e3a27a7628d8e5a622fb9addb0612ef5da5,9ee6818d201a19513f8cf512c008a82dc74da45fda073dcce2bbb965edd42f64,d94b7e49be8c064f3e3cef32aec7376d29caa4c2f1a821cc119302bf1ae22f08,3984f89228ed48a889c88c3ba7df2a524a1b7e3514b2216f9055f0c2de7e1876,0d5156f016d1d6e9d94f3d938610036de6dafbfac6ada02fd068a288c9b5718f,f9c774ecb38a75163cbab38331adff3819a6a8536c7a6e46340cd493dfeec978
"14","1","29","1","2","0","0"
"15","1","30","1","1","0","0"
"8","2","30","2","1","0","0"
"10","1","30","3","1","13","0"
"10","2","30","4","1","13","0"
"12","2","30","5","1","9","0"
"72","1","30","6","1","6","0"
"2","1","30","7","2","8","0"
"13","1","30","8","2","0","0"
"4","1","31","1","1","8","0"
"1","2","31","2","1","0","0"
"10","1","31","3","1","6","0"
"4","2","31","4","1","0","0"
"9","1","31","5","1","7","0"
"1","2","31","6","1","0","0"
"10","1","32","1","1","6","0"
"10","2","32","2","1","13","0"
"1","3","32","3","1","0","0"
"2","2","32","4","1","11","0"
"2","1","32","5","1","8","0"
"1","3","32","6","1","0","0"
"72","3","32","7","1","7","0"
"6","3","33","1","1","0","0"
"10","1","33","2","3","13","0"
"3","3","33","3","1","3","0"
"72","1","33","4","3","0","0"
"12","3","33","5","1","2","0"
"4","1","34","1","2","6","0"
"5","1","34","2","1","7","0"
"1","2","34","3","1","0","0"
"12","2","34","4","1","8","0"
"1","1","34","5","1","0","0"
"15","1","34","6","2","0","0"
"8","1","35","1","2","0","0"
"72","1","35","2","2","10","0"
"13","1","35","3","2","0","0"
"4","1","36","1","2","0","0"
"6","1","36","2","1","6","0"
"1","1","36","3","1","0","0"
"72","2","36","4","1","10","0"
"9","2","36","5","1","0","0"
"2","2","36","6","2","7","0"
"8","1","37","1","2","7","0"
"4","1","37","2","1","0","0"
"5","2","37","3","1","0","0"
"13","1","37","4","2","6","0"
"13","1","38","1","2","10","0"
"5","1","38","2","1","8","0"
"6","2","38","3","1","7","0"
"1","1","38","4","1","0","0"
"9","2","38","5","1","7","0"
"15","2","38","6","1","13","0"
"8","1","38","7","2","0","0"
"4","1","39","1","2","6","0"
"6","1","39","2","1","13","0"
"72","2","39","3","1","10","0"
"13","1","39","4","2","6","0"
