6590ac8bacf18be6c71f1fc14dbcaceeaba844173d9d7b207c06305ffcda1fb2,e8025c57e9636e96d58ebb41610763f58c335942efa3291505a80aee1a04c017,dae3189247ecd8615181f42bf862281b8fcc48cf44b907c0de484c842dda0dbe,117ad892e8f5e29772b3dbb14ca962e3f06199e1b7e9817322c1faba95c78c88,feb8e682f0ae8ad583b04d8ba595889949a36bcec086b0504471c0183ac62759
"戰鬥開始時，小幅度降低全體角色的ＴＰ上升。","減少ＴＰ上升","3","4100109","10010906"
"戰鬥開始時，特大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100109","10010907"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","4100110","10011001"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100110","10011002"
"戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100110","10011003"
"戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100110","10011004"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100110","10011005"
"戰鬥開始時，中幅度降低全體角色的ＴＰ上升。","減少ＴＰ上升","3","4100110","10011006"
"戰鬥開始時，特大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100110","10011007"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","光屬性獎勵特大幅度提升","15","4100201","10020101"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100201","10020102"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100201","10020103"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100201","10020104"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","風屬性獎勵特大幅度提升","14","4100202","10020201"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100202","10020202"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100202","10020203"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100202","10020204"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","闇屬性獎勵特大幅度提升","16","4100203","10020301"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100203","10020302"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","防禦力（不可降低）提升","boss_def_lower_limit","4100203","10020303"
"將所有怪物承受的傷害減少一定數值。","傷害降低","boss_damage_cut","4100203","10020304"
"提升所有怪物所造成的傷害。","造成傷害提升","damage_up","4100203","10020305"
"提升所有怪物的物理/魔法防禦力。","防禦力提升","boss_def_up","4100203","10020306"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","4100204","10020401"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100204","10020402"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","防禦力（不可降低）提升","boss_def_lower_limit","4100204","10020403"
"將所有怪物承受的傷害減少一定數值。","傷害降低","boss_damage_cut","4100204","10020404"
"提升所有怪物所造成的傷害。","造成傷害提升","damage_up","4100204","10020405"
"提升所有怪物的物理/魔法防禦力。","防禦力提升","boss_def_up","4100204","10020406"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","4100205","10020501"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100205","10020502"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100205","10020503"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100205","10020504"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100205","10020505"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予ＴＰ上升的上限","17","4100205","10020506"
"戰鬥開始時，中幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100205","10020507"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","風屬性獎勵特大幅度提升","14","4100206","10020601"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100206","10020602"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100206","10020603"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100206","10020604"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100206","10020605"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予ＴＰ上升的上限","17","4100206","10020606"
"戰鬥開始時，中幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100206","10020607"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","光屬性獎勵特大幅度提升","15","4100207","10020701"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100207","10020702"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100207","10020703"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100207","10020704"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100207","10020705"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予ＴＰ上升的上限","17","4100207","10020706"
"戰鬥開始時，中幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100207","10020707"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","闇屬性獎勵特大幅度提升","16","4100208","10020801"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100208","10020802"
"戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100208","10020803"
"戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100208","10020804"
"戰鬥開始時，小幅度降低全體角色的ＴＰ上升。","減少ＴＰ上升","3","4100208","10020805"
"戰鬥開始時，特大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100208","10020806"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","4100209","10020901"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100209","10020902"
"戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100209","10020903"
"戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100209","10020904"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100209","10020905"
"戰鬥開始時，小幅度降低全體角色的ＴＰ上升。","減少ＴＰ上升","3","4100209","10020906"
"戰鬥開始時，特大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100209","10020907"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","4100210","10021001"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100210","10021002"
"戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100210","10021003"
"戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100210","10021004"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100210","10021005"
"戰鬥開始時，中幅度降低全體角色的ＴＰ上升。","減少ＴＰ上升","3","4100210","10021006"
"戰鬥開始時，特大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100210","10021007"
