20a3bf9939941af0adc7a50ca10b9af257bb0cf1973cc07a57edce26ff1f4423,90c46d751068f23964bcc6b1bac8ecc951381c4e2cf85f26bb77ca7de93c64ed,f535d12f8bad3c900e1ad1faee4aff163c9a2b474b7845d151ce2a25a4a05e76,e1c7f12a23107f6de259ceee86fcb55cac54a9fd0366263549d12e9c3039a055,aaeb975f91a08ce121d3e72d1d26096be7986833db693c418182a8bebe7e9eef
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407220","55"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407220","56"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407220","57"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407220","58"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407230","59"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407230","60"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407230","61"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407230","62"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407230","63"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407230","64"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407230","65"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407240","66"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407240","67"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407240","68"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407240","69"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407240","70"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407240","71"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407240","72"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407310","73"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407310","74"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407310","75"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407310","76"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407310","77"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407310","78"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407310","79"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407320","80"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407320","81"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407320","82"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407320","83"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407320","84"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407320","85"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407320","86"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407330","87"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407330","88"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407330","89"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407330","90"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407330","91"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407330","92"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407330","93"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407340","94"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407340","95"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407340","96"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407340","97"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407340","98"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407340","99"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407340","100"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408010","101"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408010","102"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408010","103"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408010","104"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408010","105"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408020","106"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408020","107"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408020","108"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408020","109"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408020","110"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408030","111"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408030","112"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408030","113"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408030","114"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408030","115"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408110","116"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408110","117"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408110","118"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408110","119"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408110","120"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408110","121"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408110","122"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408120","123"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408120","124"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408120","125"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408120","126"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408120","127"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408120","128"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408120","129"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408130","130"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408130","131"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408130","132"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408130","133"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408130","134"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408130","135"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408130","136"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408140","137"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408140","138"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408140","139"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408140","140"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408140","141"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408140","142"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408140","143"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408210","144"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408210","145"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408210","146"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408210","147"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408210","148"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408210","149"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408210","150"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408220","151"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408220","152"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408220","153"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408220","154"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408220","155"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408220","156"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408220","157"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408230","158"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408230","159"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408230","160"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408230","161"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408230","162"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408230","163"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408230","164"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408240","165"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408240","166"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408240","167"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408240","168"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408240","169"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408240","170"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408240","171"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408310","172"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408310","173"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408310","174"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408310","175"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408310","176"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408310","177"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408310","178"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408320","179"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408320","180"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408320","181"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408320","182"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408320","183"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408320","184"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408320","185"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408330","186"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408330","187"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408330","188"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408330","189"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408330","190"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408330","191"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408330","192"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","92408340","193"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92408340","194"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92408340","195"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92408340","196"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92408340","197"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92408340","198"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92408340","199"
