89022cb2e54d53696d040d2eede33d478f508e2f7c85e3d14297111bae477a34,edf05e41ff6451436107fed9a1f85c430e9751eaf53d934dd97887953763ed5b,8d9247113091eb2c8d7419d12f4198edbfd53490c3a13a0285e6b50ee2300c46,1d69c78b37f7824e57838bb7f78734c3190743ec5c30a01d10237b511dc7f570,1529625d4b3588b2bada4a89c17e68957e46a473e44547a83b58d5edba1387a6,447e3b2e0d330ab27f2265c775cc84fb7ca061748a93f1cf882882439e2d01d1,5f44b09d12c3c081b709fcadd8068e881a77d3953726a852b08a4aac00bc0ace,0b317f34de9664efa12717832a739d339cec45f54b4fbd4deb16c6728be55949,8b6cbd0e5910fffb241fd894ec414ce103807264f66f7b92c07b46de2abf6bae,7fdd77c2a1594ecf2ca1618a565d365561cc3c4cbc4900f7fb3cca249b56f654,1ea2f9db459f2042052110de122d296d0f22d9e1903eb5a9bbe1bb959a53f1a9
"","1","","-250","501","1","11","31","15010004","11","-850"
"","","","","501","","0","91","15010005","0",""
"","","","6","501","","1800","2","15010006","<unit_id>","-250"
"","","","6","501","","1800","2","15010007","6","-250"
"","","","6","501","","1800","33","15010008","11","-250"
"","","","","501","","se_10053800_surfing_wave","23","15010009","se_10053800",""
"","","","","851","","se_fpc_water_random","23","18510001","se_10053800",""
"cmn_surfing","1.75","0","-850","851","-125","107511","1","18510002","1","45"
"cmn_surfing","1.75","0","-1100","851","-250","107611","1","18510003","1","45"
"cmn_surfing","1.75","0","-1350","851","-125","107811","1","18510004","1","45"
"cmn_surfing","1.75","0","-850","851","-125","1","5","18510005","6","44"
"cmn_surfing","1.75","0","-1100","851","-250","2","5","18510006","6","44"
"cmn_surfing","1.75","0","-1350","851","-125","3","5","18510007","6","44"
"","1","","-125","851","1","1","31","18510008","11","-850"
"","1","","-250","851","1","2","31","18510009","11","-1100"
"","1","","-125","851","1","3","31","18510010","11","-1350"
"","","","6","851","","2350","2","18510011","107511","-125"
"","","","6","851","","2100","2","18510012","107611","-250"
"","","","6","851","","1850","2","18510013","107811","-125"
"","","","6","851","","2350","2","18510014","1","-125"
"","","","6","851","","2100","2","18510015","2","-250"
"","","","6","851","","1850","2","18510016","3","-125"
"","","","6","851","","2350","33","18510017","1","-125"
"","","","6","851","","2100","33","18510018","2","-250"
"","","","6","851","","1850","33","18510019","3","-125"
"","","","","851","","se_10053800_surfing_wave","23","18510020","se_10053800",""
"","","","","851","","","93","18510021","0.3",""
"","","","0","851","","vo_fpc_85101","21","18510022","vo_fpc",""
"","","","","852","","se_fpc_water_random","23","18520001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","852","-125","122411","1","18520002","1","13"
"cmn_swm_flutterKick_floatRing","1.75","0","-1100","852","-250","122511","1","18520003","1","33"
"cmn_swm_flutterKick_floatRing","1.75","0","-1350","852","-125","122611","1","18520004","1","13"
"cmn_swm_flutterKick_floatRing","1.75","0","-850","852","-125","1","5","18520005","1","12"
"cmn_swm_flutterKick_floatRing_blue","1.75","0","-1100","852","-250","2","5","18520006","1","32"
"cmn_swm_flutterKick_floatRing_pink","1.75","0","-1350","852","-125","3","5","18520007","1","12"
"","1","","-125","852","1","1","31","18520008","7","-850"
"","1","","-250","852","1","2","31","18520009","1","-1100"
"","1","","-125","852","1","3","31","18520010","7","-1350"
"","","","10","852","","1750","2","18520011","122411","-125"
"","","","10","852","","1500","2","18520012","122511","-250"
"","","","10","852","","1250","2","18520013","122611","-125"
"","","","10","852","","1750","2","18520014","1","-125"
"","","","10","852","","1500","2","18520015","2","-250"
"","","","10","852","","1250","2","18520016","3","-125"
"","","","10","852","","1750","33","18520017","1","-125"
"","","","10","852","","1500","33","18520018","2","-250"
"","","","10","852","","1250","33","18520019","3","-125"
"","","","","853","","se_fpc_water_random","23","18530001","se_10053800",""
"cmn_swm_breastStroke","1.75","0","-850","853","-125","117211","1","18530002","1","12"
"cmn_swm_breastStroke","1.75","0","-1100","853","-250","117311","1","18530003","1","32"
"cmn_swm_breastStroke","1.75","0","-1350","853","-125","117411","1","18530004","1","12"
"","1","","-125","853","1","1","31","18530005","2","-850"
"","1","","-250","853","1","2","31","18530006","2","-1100"
"","1","","-125","853","1","3","31","18530007","2","-1350"
"","","","10","853","","1750","2","18530008","117211","-125"
"","","","10","853","","1500","2","18530009","117311","-250"
"","","","10","853","","1250","2","18530010","117411","-125"
"","","","10","853","","1750","33","18530011","1","-125"
"","","","10","853","","1500","33","18530012","2","-250"
"","","","10","853","","1250","33","18530013","3","-125"
"","","","","854","","se_fpc_water_random","23","18540001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","854","-125","122711","1","18540002","1","13"
"cmn_swm_flutterKick_floatRing","1.75","0","-1100","854","-250","122811","1","18540003","1","33"
"cmn_swm_flutterKick_floatRing","1.75","0","-1350","854","-125","122911","1","18540004","1","13"
"cmn_swm_flutterKick_floatBoad","1.75","0","-850","854","-125","1","5","18540005","1","12"
"cmn_swm_flutterKick_floatBoad_blue","1.75","0","-1100","854","-250","2","5","18540006","1","32"
"cmn_swm_flutterKick_floatBoad","1.75","0","-1350","854","-125","3","5","18540007","1","12"
"","1","","-125","854","1","1","31","18540008","7","-850"
"","1","","-250","854","1","2","31","18540009","1","-1100"
"","1","","-125","854","1","3","31","18540010","7","-1350"
"","","","10","854","","1750","2","18540011","122711","-125"
"","","","10","854","","1500","2","18540012","122811","-250"
"","","","10","854","","1250","2","18540013","122911","-125"
"","","","10","854","","1750","2","18540014","1","-125"
"","","","10","854","","1500","2","18540015","2","-250"
"","","","10","854","","1250","2","18540016","3","-125"
"","","","10","854","","1750","33","18540017","1","-125"
"","","","10","854","","1500","33","18540018","2","-250"
"","","","10","854","","1250","33","18540019","3","-125"
"","","","","855","","se_fpc_water_random","23","18550001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","855","-125","113411","1","18550002","1","13"
"cmn_swm_flutterKick_floatRing","1.75","0","-1100","855","-250","113511","1","18550003","1","33"
"cmn_swm_flutterKick_floatBoad","1.75","0","-850","855","-125","1","5","18550004","1","12"
"cmn_swm_flutterKick_floatBoad_blue","1.75","0","-1100","855","-250","2","5","18550005","1","32"
"","1","","-125","855","1","1","31","18550006","7","-850"
"","1","","-250","855","1","2","31","18550007","1","-1100"
"","","","10","855","","1750","2","18550008","113411","-125"
"","","","10","855","","1500","2","18550009","113511","-250"
"","","","10","855","","1750","2","18550010","1","-125"
"","","","10","855","","1500","2","18550011","2","-250"
"","","","10","855","","1750","33","18550012","1","-125"
"","","","10","855","","1500","33","18550013","2","-250"
"","","","","856","","se_fpc_water_random","23","18560001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","856","-125","110311","1","18560002","1","13"
"cmn_swm_tread","1.75","0","-1100","856","-250","107711","1","18560003","1","33"
"cmn_swm_tread_pink","1.75","0","-850","856","-125","1","5","18560004","1","12"
"cmn_swm_tread","1.75","0","-1100","856","-250","2","5","18560005","1","32"
"","1","","-125","856","1","1","31","18560006","13","-850"
"","1","","-250","856","1","2","31","18560007","3","-1100"
"","","","13.5","856","","1750","2","18560008","110311","-125"
"","","","13.5","856","","1500","2","18560009","107711","-250"
"","","","13.5","856","","1750","2","18560010","1","-125"
"","","","13.5","856","","1500","2","18560011","2","-250"
"","","","13.5","856","","1750","33","18560012","1","-125"
"","","","13.5","856","","1500","33","18560013","2","-250"
"","","","","857","","se_fpc_water_random","23","18570001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","857","-125","110411","1","18570002","1","13"
"cmn_swm_tread","1.75","0","-1100","857","-250","110511","1","18570003","1","33"
"cmn_swm_tread","1.75","0","-1350","857","-125","115711","1","18570004","1","13"
"cmn_boat_relax","1.75","0","-1600","857","-250","110611","1","18570005","1","33"
"cmn_swm_tread_blue","1.75","0","-850","857","-125","1","5","18570006","1","12"
"cmn_swm_tread","1.75","0","-1100","857","-250","2","5","18570007","1","32"
"cmn_swm_tread_pink","1.75","0","-1350","857","-125","3","5","18570008","1","12"
"cmn_boat_idle_l","1.75","0","-1600","857","-250","4","5","18570009","2","32"
"","1","","-125","857","1","1","31","18570010","13","-850"
"","1","","-250","857","1","2","31","18570011","3","-1100"
"","1","","-125","857","1","3","31","18570012","13","-1350"
"","1","","-250","857","1","4","31","18570013","116","-1600"
"","","","13.5","857","","1750","2","18570014","110411","-125"
"","","","13.5","857","","1500","2","18570015","110511","-250"
"","","","13.5","857","","1250","2","18570016","115711","-125"
"","","","13.5","857","","1000","2","18570017","110611","-250"
"","","","13.5","857","","1750","2","18570018","1","-125"
"","","","13.5","857","","1500","2","18570019","2","-250"
"","","","13.5","857","","1250","2","18570020","3","-125"
"","","","13.5","857","","1000","2","18570021","4","-250"
"","","","13.5","857","","1750","33","18570022","1","-125"
"","","","13.5","857","","1500","33","18570023","2","-250"
"","","","13.5","857","","1250","33","18570024","3","-125"
"","","","13.5","857","","1000","33","18570025","4","-250"
"","","","","858","","se_fpc_water_random","23","18580001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","858","-125","126711","1","18580002","1","13"
"cmn_swm_tread","1.75","0","-850","858","-125","126711","1","18580003","1","13"
"cmn_swm_tread","1.75","0","-1100","858","-250","126811","1","18580004","1","33"
"cmn_swm_tread","1.75","0","-1350","858","-125","108011","1","18580005","1","13"
"cmn_boat_cat","1.75","0","-1600","858","-250","107911","1","18580006","1","33"
"cmn_swm_tread_pink","1.75","0","-850","858","-125","1","5","18580007","1","12"
"cmn_swm_tread","1.75","0","-1100","858","-250","2","5","18580008","1","32"
"cmn_swm_tread_blue","1.75","0","-1350","858","-125","3","5","18580009","1","12"
"cmn_boat_idle_l","1.75","0","-1600","858","-250","4","5","18580010","2","32"
"","1","","-125","858","1","1","31","18580011","13","-850"
"","1","","-250","858","1","2","31","18580012","3","-1100"
"","1","","-125","858","1","3","31","18580013","13","-1350"
"","1","","-250","858","1","4","31","18580014","116","-1600"
"","","","13.5","858","","1750","2","18580015","126711","-125"
"","","","13.5","858","","1500","2","18580016","126811","-250"
"","","","13.5","858","","1250","2","18580017","108011","-125"
"","","","13.5","858","","1000","2","18580018","107911","-250"
"","","","13.5","858","","1750","2","18580019","1","-125"
"","","","13.5","858","","1500","2","18580020","2","-250"
"","","","13.5","858","","1250","2","18580021","3","-125"
"","","","13.5","858","","1000","2","18580022","4","-250"
"","","","13.5","858","","1750","33","18580023","1","-125"
"","","","13.5","858","","1500","33","18580024","2","-250"
"","","","13.5","858","","1250","33","18580025","3","-125"
"","","","13.5","858","","1000","33","18580026","4","-250"
"","","","","859","","se_fpc_water_random","23","18590001","se_10053800",""
"cmn_surfing","1.75","0","-850","859","-125","113111","1","18590002","1","45"
"cmn_surfing","1.75","0","-1100","859","-250","113211","1","18590003","1","45"
"cmn_surfing","1.75","0","-1350","859","-125","113311","1","18590004","1","45"
"cmn_surfing","1.75","0","-1600","859","-250","117011","1","18590005","1","45"
"cmn_surfing","1.75","0","-850","859","-125","1","5","18590006","6","44"
"cmn_surfing","1.75","0","-1100","859","-250","2","5","18590007","6","44"
"cmn_surfing","1.75","0","-1350","859","-125","3","5","18590008","6","44"
"cmn_surfing","1.75","0","-1600","859","-250","4","5","18590009","6","44"
"","1","","-125","859","1","1","31","18590010","11","-850"
"","1","","-250","859","1","2","31","18590011","11","-1100"
"","1","","-125","859","1","3","31","18590012","11","-1350"
"","1","","-250","859","1","4","31","18590013","11","-1600"
"","","","6","859","","2350","2","18590014","113111","-125"
"","","","6","859","","2100","2","18590015","113211","-250"
"","","","6","859","","1850","2","18590016","113311","-125"
"","","","6","859","","1600","2","18590017","117011","-250"
"","","","6","859","","2350","2","18590018","1","-125"
"","","","6","859","","2100","2","18590019","2","-250"
"","","","6","859","","1850","2","18590020","3","-125"
"","","","6","859","","1600","2","18590021","4","-250"
"","","","6","859","","2350","33","18590022","1","-125"
"","","","6","859","","2100","33","18590023","2","-250"
"","","","6","859","","1850","33","18590024","3","-125"
"","","","6","859","","1600","33","18590025","4","-250"
"","","","","859","","se_10053800_surfing_wave","23","18590026","se_10053800",""
"","","","","859","","","93","18590027","0.3",""
"","","","0","859","","vo_fpc_85901","21","18590028","vo_fpc",""
"","","","","860","","se_fpc_water_random","23","18600001","se_10053800",""
"cmn_boat_relax_l","1.75","0","-850","860","-180","110011","1","18600002","1","23"
"cmn_boat_relax","1.75","0","-1200","860","-180","110111","1","18600003","1","23"
"cmn_boat_idle_blue","1.75","0","-850","860","-180","1","5","18600004","2","22"
"cmn_boat_idle_l","1.75","0","-1200","860","-180","2","5","18600005","2","22"
"","1","","-180","860","1","1","31","18600006","116","-850"
"","1","","-180","860","1","2","31","18600007","116","-1200"
"","","","13.5","860","","1750","2","18600008","110011","-180"
"","","","13.5","860","","1400","2","18600009","110111","-180"
"","","","13.5","860","","1750","2","18600010","1","-180"
"","","","13.5","860","","1400","2","18600011","2","-180"
"","","","13.5","860","","1750","33","18600012","1","-180"
"","","","13.5","860","","1400","33","18600013","2","-180"
"","","","","860","","","93","18600014","2.7",""
"","","","0","860","","vo_fpc_86001","21","18600015","vo_fpc",""
"","","","","861","","se_fpc_water_random","23","18610001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","861","-125","129511","1","18610002","1","13"
"cmn_swm_tread","1.75","0","-1100","861","-250","129411","1","18610003","1","33"
"cmn_swm_tread","1.75","0","-1350","861","-125","129311","1","18610004","1","13"
"cmn_swm_tread_pink","1.75","0","-850","861","-125","1","5","18610005","1","12"
"cmn_swm_tread_blue","1.75","0","-1100","861","-250","2","5","18610006","1","32"
"cmn_swm_tread","1.75","0","-1350","861","-125","3","5","18610007","1","12"
"","1","","-125","861","1","1","31","18610008","13","-850"
"","1","","-250","861","1","2","31","18610009","3","-1100"
"","1","","-125","861","1","3","31","18610010","13","-1350"
"","","","13.5","861","","1750","2","18610011","129511","-125"
"","","","13.5","861","","1500","2","18610012","129411","-250"
"","","","13.5","861","","1250","2","18610013","129311","-125"
"","","","13.5","861","","1750","2","18610014","1","-125"
"","","","13.5","861","","1500","2","18610015","2","-250"
"","","","13.5","861","","1250","2","18610016","3","-125"
"","","","13.5","861","","1750","33","18610017","1","-125"
"","","","13.5","861","","1500","33","18610018","2","-250"
"","","","13.5","861","","1250","33","18610019","3","-125"
"","","","","862","","se_fpc_water_random","23","18620001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","862","-125","126711","1","18620002","1","13"
"cmn_swm_tread","1.75","0","-1100","862","-250","126811","1","18620003","1","33"
"02_neneka_floatRing","1.66","0","-1350","862","-180","21","5","18620004","21","22"
"cmn_swm_tread","1.75","0","-850","862","-125","1","5","18620005","1","12"
"cmn_swm_tread_blue","1.75","0","-1100","862","-250","2","5","18620006","1","32"
"","1","","-125","862","1","1","31","18620007","13","-850"
"","1","","-250","862","1","2","31","18620008","3","-1100"
"","1","","-180","862","1","3","31","18620009","102","-1350"
"","","","13.5","862","","1750","2","18620010","126711","-125"
"","","","13.5","862","","1500","2","18620011","126811","-250"
"","","","13.5","862","","1250","2","18620012","21","-180"
"","","","13.5","862","","1750","2","18620013","1","-125"
"","","","13.5","862","","1500","2","18620014","2","-250"
"","","","13.5","862","","1750","33","18620015","1","-125"
"","","","13.5","862","","1500","33","18620016","2","-250"
"","","","13.5","862","","1250","33","18620017","3","-180"
"","","","","863","","se_fpc_water_random","23","18630001","se_10053800",""
"cmn_float","1.75","1","-1100","863","-180","126911","1","18630002","1","22"
"cmn_float","1.75","0","-1350","863","-125","127011","1","18630003","1","12"
"cmn_float","1.75","0","-1600","863","-180","127111","1","18630004","1","22"
"","1","","-180","863","1","2","31","18630005","6","-1070"
"","1","","-125","863","1","3","31","18630006","6","-1350"
"","1","","-180","863","1","4","31","18630007","6","-1600"
"","","","13.5","863","","1500","2","18630008","126911","-180"
"","","","13.5","863","","1250","2","18630009","127011","-125"
"","","","13.5","863","","1000","2","18630010","127111","-180"
"","","","13.5","863","","1530","33","18630011","2","-180"
"","","","13.5","863","","1250","33","18630012","3","-125"
"","","","13.5","863","","1000","33","18630013","4","-180"
"","","","","863","","","93","18630014","2.3",""
"","","","0","863","","vo_fpc_86301","21","18630015","vo_fpc",""
"","","","","864","","se_fpc_water_random","23","18640001","se_10053800",""
"cmn_surfing","1.75","0","-850","864","-125","107811","1","18640002","1","45"
"cmn_surfing","1.75","0","-1100","864","-250","110011","1","18640003","1","45"
"cmn_surfing","1.75","0","-850","864","-125","1","5","18640004","6","44"
"cmn_surfing","1.75","0","-1100","864","-250","2","5","18640005","6","44"
"","1","","-125","864","1","1","31","18640006","11","-850"
"","1","","-250","864","1","2","31","18640007","11","-1100"
"","","","6","864","","2350","2","18640008","107811","-125"
"","","","6","864","","2100","2","18640009","110011","-250"
"","","","6","864","","2350","2","18640010","1","-125"
"","","","6","864","","2100","2","18640011","2","-250"
"","","","6","864","","2350","33","18640012","1","-125"
"","","","6","864","","2100","33","18640013","2","-250"
"","","","","864","","se_10053800_surfing_wave","23","18640014","se_10053800",""
"","","","","864","","","93","18640015","0.2",""
"","","","0","864","","vo_fpc_86401","21","18640016","vo_fpc",""
"","","","","865","","se_fpc_water_random","23","18650001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","865","-125","110311","1","18650002","1","13"
"cmn_swm_flutterKick_floatRing","1.75","0","-1100","865","-250","113111","1","18650003","1","33"
"cmn_swm_flutterKick_floatRing_pink","1.75","0","-850","865","-125","1","5","18650004","1","12"
"cmn_swm_flutterKick_floatRing_blue","1.75","0","-1100","865","-250","2","5","18650005","1","32"
"","1","","-125","865","1","1","31","18650006","7","-850"
"","1","","-250","865","1","2","31","18650007","1","-1100"
"","","","10","865","","1750","2","18650008","110311","-125"
"","","","10","865","","1500","2","18650009","113111","-250"
"","","","10","865","","1750","2","18650010","1","-125"
"","","","10","865","","1500","2","18650011","2","-250"
"","","","10","865","","1750","33","18650012","1","-125"
"","","","10","865","","1500","33","18650013","2","-250"
"","","","","866","","se_fpc_water_random","23","18660001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","866","-125","113411","1","18660002","1","13"
"cmn_swm_flutterKick_floatRing","1.75","0","-1100","866","-250","115711","1","18660003","1","33"
"cmn_swm_flutterKick_floatRing_pink","1.75","0","-850","866","-125","1","5","18660004","1","12"
"cmn_swm_flutterKick_floatRing_blue","1.75","0","-1100","866","-250","2","5","18660005","1","32"
"","1","","-125","866","1","1","31","18660006","7","-850"
"","1","","-250","866","1","2","31","18660007","1","-1100"
"","","","10","866","","1750","2","18660008","113411","-125"
"","","","10","866","","1500","2","18660009","115711","-250"
"","","","10","866","","1750","2","18660010","1","-125"
"","","","10","866","","1500","2","18660011","2","-250"
"","","","10","866","","1750","33","18660012","1","-125"
"","","","10","866","","1500","33","18660013","2","-250"
"","","","","867","","se_fpc_water_random","23","18670001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","867","-125","113211","1","18670002","1","13"
"cmn_swm_tread","1.75","0","-1100","867","-250","127111","1","18670003","1","33"
"cmn_swm_tread_pink","1.75","0","-850","867","-125","1","5","18670004","1","12"
"cmn_swm_tread_blue","1.75","0","-1100","867","-250","2","5","18670005","1","32"
"","1","","-125","867","1","1","31","18670006","13","-850"
"","1","","-250","867","1","2","31","18670007","3","-1100"
"","","","13.5","867","","1750","2","18670008","113211","-125"
"","","","13.5","867","","1500","2","18670009","127111","-250"
"","","","13.5","867","","1750","2","18670010","1","-125"
"","","","13.5","867","","1500","2","18670011","2","-250"
"","","","13.5","867","","1750","33","18670012","1","-125"
"","","","13.5","867","","1500","33","18670013","2","-250"
"","","","","868","","se_fpc_water_random","23","18680001","se_10053800",""
"cmn_swm_diving","1.75","0","-850","868","-125","117011","1","18680002","1","12"
"cmn_swm_diving","1.75","0","-1100","868","-180","117111","1","18680003","1","22"
"","1","","-125","868","1","1","31","18680004","9","-850"
"","1","","-180","868","1","2","31","18680005","9","-1100"
"","","","13.5","868","","1750","2","18680006","117011","-125"
"","","","13.5","868","","1500","2","18680007","117111","-180"
"","","","13.5","868","","1750","33","18680008","1","-125"
"","","","13.5","868","","1500","33","18680009","2","-180"
"","","","","869","","se_fpc_water_random","23","18690001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","869","-125","110511","1","18690002","1","13"
"cmn_swm_flutterKick_floatRing","1.75","0","-1100","869","-250","110011","1","18690003","1","33"
"cmn_swm_flutterKick_floatBoad","1.75","0","-850","869","-125","1","5","18690004","1","12"
"cmn_swm_flutterKick_floatBoad_blue","1.75","0","-1100","869","-250","2","5","18690005","1","32"
"","1","","-125","869","1","1","31","18690006","7","-850"
"","1","","-250","869","1","2","31","18690007","1","-1100"
