62b9ba86919dd0ab126f54358f4f21c18030bf55405d58fbc21f44ef6afe9710,f1971617d6f2ec6df23a832a33ddde1ab68d3b6dc323e58f0f838accdac19042,6b3ba86853519aa739cb9aed2fc556a99adb636d6bab5ee500737b73d68cb120,7dd2865f76e0f0f666f44d2a6e2b32229ed6afed9dd11a44e20136ef7bfcfafc,493995a697128677ae46a8ef8ce4248e87246859f688c2f409e48bdcd5d9b3f2,cf62422e7ef60151b718086a62f9fd87660341908580f9eabe7451f69b592fe0,f3a8b784971652a6b3159f6dd51a19ca8946d7d540f43a77fd4bd94618b4cb77,5797af20d450f802a87f4fcb7bd42a3414aa71cfcdd7483a2f46f4d0864691d5,5cf1e649e092133e9fc69ff6a20e3d7e80eaa263eeadfe4f44e43e81e79a3a51,e18e3f155e660eb4c9a779e6e84dc76f78cf6dfbfe7564c75848840230e9b4ab,5410912cff742191069f0637b715f51f07fa34638674af83b3a1f4921c773ae2
"3","","103","10","","-180","11030008","850","33","",""
"se_10053800","","151","","","","11510001","se_fpc_water_random","23","",""
"1","1.75","151","-850","cmn_swm_flutterKick","22","11510002","<unit_id>","1","-180","0"
"1","1","151","-180","","-850","11510003","1","31","1",""
"0","","151","","","","11510004","0","91","",""
"<unit_id>","","151","10","","-180","11510005","1050","2","",""
"1","","151","10","","-180","11510006","1050","33","",""
"se_10053800","","201","","","","12010001","se_fpc_water_random","23","",""
"1","1.75","201","-850","cmn_swm_breastStroke","22","12010002","<unit_id>","1","-180","0"
"2","1","201","-180","","-850","12010003","2","31","1",""
"0","","201","","","","12010004","0","91","",""
"<unit_id>","","201","10","","-180","12010005","850","2","",""
"2","","201","10","","-180","12010006","850","33","",""
"se_10053800","","251","","","","12510001","se_fpc_water_random","23","",""
"1","1.75","251","-850","cmn_swm_diving","22","12510002","<unit_id>","1","-180","0"
"9","1","251","-180","","-850","12510003","9","31","1",""
"0","","251","","","","12510004","0","91","",""
"<unit_id>","","251","10","","-180","12510005","850","2","",""
"9","","251","10","","-180","12510006","850","33","",""
"se_10053800","","301","","","","13010001","se_fpc_water_random","23","",""
"1","1.75","301","-850","cmn_swm_flutterKick_floatRing","23","13010002","<unit_id>","1","-180","0"
"1","1.75","301","-850","cmn_swm_flutterKick_floatRing_pink","22","13010003","1","5","-180","0"
"1","1","301","-180","","-850","13010004","1","31","1",""
"0","","301","","","","13010005","0","91","",""
"<unit_id>","","301","10","","-180","13010006","1050","2","",""
"1","","301","10","","-180","13010007","1050","2","",""
"1","","301","10","","-180","13010008","1050","33","",""
"se_10053800","","302","","","","13020001","se_fpc_water_random","23","",""
"1","1.75","302","-850","cmn_swm_flutterKick_floatRing","23","13020002","<unit_id>","1","-180","0"
"1","1.75","302","-850","cmn_swm_flutterKick_floatRing_blue","22","13020003","1","5","-180","0"
"1","1","302","-180","","-850","13020004","1","31","1",""
"0","","302","","","","13020005","0","91","",""
"<unit_id>","","302","10","","-180","13020006","1050","2","",""
"1","","302","10","","-180","13020007","1050","2","",""
"1","","302","10","","-180","13020008","1050","33","",""
"se_10053800","","303","","","","13030001","se_fpc_water_random","23","",""
"1","1.75","303","-850","cmn_swm_flutterKick_floatRing","23","13030002","<unit_id>","1","-180","0"
"1","1.75","303","-850","cmn_swm_flutterKick_floatRing","22","13030003","1","5","-180","0"
"1","1","303","-180","","-850","13030004","1","31","1",""
"0","","303","","","","13030005","0","91","",""
"<unit_id>","","303","10","","-180","13030006","1050","2","",""
"1","","303","10","","-180","13030007","1050","2","",""
"1","","303","10","","-180","13030008","1050","33","",""
"se_10053800","","351","","","","13510001","se_fpc_water_random","23","",""
"1","1.75","351","-850","cmn_swm_flutterKick_floatRing","23","13510002","<unit_id>","1","-180","0"
"1","1.75","351","-850","cmn_swm_flutterKick_floatBoad","22","13510003","1","5","-180","0"
"1","1","351","-180","","-850","13510004","1","31","1",""
"0","","351","","","","13510005","0","91","",""
"<unit_id>","","351","10","","-180","13510006","1050","2","",""
"1","","351","10","","-180","13510007","1050","2","",""
"1","","351","10","","-180","13510008","1050","33","",""
"se_10053800","","352","","","","13520001","se_fpc_water_random","23","",""
"1","1.75","352","-850","cmn_swm_flutterKick_floatRing","23","13520002","<unit_id>","1","-180","0"
"1","1.75","352","-850","cmn_swm_flutterKick_floatBoad_blue","22","13520003","1","5","-180","0"
"1","1","352","-180","","-850","13520004","1","31","1",""
"0","","352","","","","13520005","0","91","",""
"<unit_id>","","352","10","","-180","13520006","1050","2","",""
"1","","352","10","","-180","13520007","1050","2","",""
"1","","352","10","","-180","13520008","1050","33","",""
"se_10053800","","401","","","","14010001","se_fpc_water_random","23","",""
"1","1.75","401","-850","cmn_float","22","14010002","<unit_id>","1","-180","0"
"6","1","401","-180","","-850","14010003","6","31","1",""
"0","","401","","","","14010004","0","91","",""
"<unit_id>","","401","10","","-180","14010005","1050","2","",""
"6","","401","10","","-180","14010006","1050","33","",""
"se_10053800","","402","","","","14020001","se_fpc_water_random","23","",""
"1","1.75","402","-850","cmn_float_4","22","14020002","<unit_id>","1","-180","0"
"6","1","402","-180","","-850","14020003","6","31","1",""
"0","","402","","","","14020004","0","91","",""
"<unit_id>","","402","10","","-180","14020005","1050","2","",""
"6","","402","10","","-180","14020006","1050","33","",""
"se_10053800","","451","","","","14510001","se_fpc_water_random","23","",""
"1","1.75","451","-850","cmn_crawl","22","14510002","<unit_id>","1","-180","0"
"1","1","451","-180","","-850","14510003","1","31","1",""
"0","","451","","","","14510004","0","91","",""
"<unit_id>","","451","10","","-180","14510005","1050","2","",""
"1","","451","10","","-180","14510006","1050","33","",""
"se_10053800","","501","","","","15010001","se_fpc_water_random","23","",""
"1","1.75","501","-850","cmn_surfing","45","15010002","<unit_id>","1","-250","0"
"6","1.75","501","-850","cmn_surfing","44","15010003","6","5","-250","0"
"11","1","501","-250","","-850","15010004","11","31","1",""
"0","","501","","","","15010005","0","91","",""
"<unit_id>","","501","6","","-250","15010006","1800","2","",""
"6","","501","6","","-250","15010007","1800","2","",""
"11","","501","6","","-250","15010008","1800","33","",""
"se_10053800","","501","","","","15010009","se_10053800_surfing_wave","23","",""
"se_10053800","","851","","","","18510001","se_fpc_water_random","23","",""
"1","1.75","851","-850","cmn_surfing","45","18510002","107511","1","-125","0"
"1","1.75","851","-1100","cmn_surfing","45","18510003","107611","1","-250","0"
"1","1.75","851","-1350","cmn_surfing","45","18510004","107811","1","-125","0"
"6","1.75","851","-850","cmn_surfing","44","18510005","1","5","-125","0"
"6","1.75","851","-1100","cmn_surfing","44","18510006","2","5","-250","0"
"6","1.75","851","-1350","cmn_surfing","44","18510007","3","5","-125","0"
"11","1","851","-125","","-850","18510008","1","31","1",""
"11","1","851","-250","","-1100","18510009","2","31","1",""
"11","1","851","-125","","-1350","18510010","3","31","1",""
"107511","","851","6","","-125","18510011","2350","2","",""
"107611","","851","6","","-250","18510012","2100","2","",""
"107811","","851","6","","-125","18510013","1850","2","",""
"1","","851","6","","-125","18510014","2350","2","",""
"2","","851","6","","-250","18510015","2100","2","",""
"3","","851","6","","-125","18510016","1850","2","",""
"1","","851","6","","-125","18510017","2350","33","",""
"2","","851","6","","-250","18510018","2100","33","",""
"3","","851","6","","-125","18510019","1850","33","",""
"se_10053800","","851","","","","18510020","se_10053800_surfing_wave","23","",""
"0.3","","851","","","","18510021","","93","",""
"vo_fpc","","851","0","","","18510022","vo_fpc_85101","21","",""
"se_10053800","","852","","","","18520001","se_fpc_water_random","23","",""
"1","1.75","852","-850","cmn_swm_flutterKick_floatRing","13","18520002","122411","1","-125","0"
"1","1.75","852","-1100","cmn_swm_flutterKick_floatRing","33","18520003","122511","1","-250","0"
"1","1.75","852","-1350","cmn_swm_flutterKick_floatRing","13","18520004","122611","1","-125","0"
"1","1.75","852","-850","cmn_swm_flutterKick_floatRing","12","18520005","1","5","-125","0"
"1","1.75","852","-1100","cmn_swm_flutterKick_floatRing_blue","32","18520006","2","5","-250","0"
"1","1.75","852","-1350","cmn_swm_flutterKick_floatRing_pink","12","18520007","3","5","-125","0"
"7","1","852","-125","","-850","18520008","1","31","1",""
"1","1","852","-250","","-1100","18520009","2","31","1",""
"7","1","852","-125","","-1350","18520010","3","31","1",""
"122411","","852","10","","-125","18520011","1750","2","",""
"122511","","852","10","","-250","18520012","1500","2","",""
"122611","","852","10","","-125","18520013","1250","2","",""
"1","","852","10","","-125","18520014","1750","2","",""
"2","","852","10","","-250","18520015","1500","2","",""
"3","","852","10","","-125","18520016","1250","2","",""
"1","","852","10","","-125","18520017","1750","33","",""
"2","","852","10","","-250","18520018","1500","33","",""
"3","","852","10","","-125","18520019","1250","33","",""
"se_10053800","","853","","","","18530001","se_fpc_water_random","23","",""
"1","1.75","853","-850","cmn_swm_breastStroke","12","18530002","117211","1","-125","0"
"1","1.75","853","-1100","cmn_swm_breastStroke","32","18530003","117311","1","-250","0"
"1","1.75","853","-1350","cmn_swm_breastStroke","12","18530004","117411","1","-125","0"
"2","1","853","-125","","-850","18530005","1","31","1",""
"2","1","853","-250","","-1100","18530006","2","31","1",""
"2","1","853","-125","","-1350","18530007","3","31","1",""
"117211","","853","10","","-125","18530008","1750","2","",""
"117311","","853","10","","-250","18530009","1500","2","",""
"117411","","853","10","","-125","18530010","1250","2","",""
"1","","853","10","","-125","18530011","1750","33","",""
"2","","853","10","","-250","18530012","1500","33","",""
"3","","853","10","","-125","18530013","1250","33","",""
"se_10053800","","854","","","","18540001","se_fpc_water_random","23","",""
"1","1.75","854","-850","cmn_swm_flutterKick_floatRing","13","18540002","122711","1","-125","0"
"1","1.75","854","-1100","cmn_swm_flutterKick_floatRing","33","18540003","122811","1","-250","0"
"1","1.75","854","-1350","cmn_swm_flutterKick_floatRing","13","18540004","122911","1","-125","0"
"1","1.75","854","-850","cmn_swm_flutterKick_floatBoad","12","18540005","1","5","-125","0"
"1","1.75","854","-1100","cmn_swm_flutterKick_floatBoad_blue","32","18540006","2","5","-250","0"
"1","1.75","854","-1350","cmn_swm_flutterKick_floatBoad","12","18540007","3","5","-125","0"
"7","1","854","-125","","-850","18540008","1","31","1",""
"1","1","854","-250","","-1100","18540009","2","31","1",""
"7","1","854","-125","","-1350","18540010","3","31","1",""
"122711","","854","10","","-125","18540011","1750","2","",""
"122811","","854","10","","-250","18540012","1500","2","",""
"122911","","854","10","","-125","18540013","1250","2","",""
"1","","854","10","","-125","18540014","1750","2","",""
"2","","854","10","","-250","18540015","1500","2","",""
"3","","854","10","","-125","18540016","1250","2","",""
"1","","854","10","","-125","18540017","1750","33","",""
"2","","854","10","","-250","18540018","1500","33","",""
"3","","854","10","","-125","18540019","1250","33","",""
"se_10053800","","855","","","","18550001","se_fpc_water_random","23","",""
"1","1.75","855","-850","cmn_swm_flutterKick_floatRing","13","18550002","113411","1","-125","0"
"1","1.75","855","-1100","cmn_swm_flutterKick_floatRing","33","18550003","113511","1","-250","0"
"1","1.75","855","-850","cmn_swm_flutterKick_floatBoad","12","18550004","1","5","-125","0"
"1","1.75","855","-1100","cmn_swm_flutterKick_floatBoad_blue","32","18550005","2","5","-250","0"
"7","1","855","-125","","-850","18550006","1","31","1",""
"1","1","855","-250","","-1100","18550007","2","31","1",""
"113411","","855","10","","-125","18550008","1750","2","",""
"113511","","855","10","","-250","18550009","1500","2","",""
"1","","855","10","","-125","18550010","1750","2","",""
"2","","855","10","","-250","18550011","1500","2","",""
"1","","855","10","","-125","18550012","1750","33","",""
"2","","855","10","","-250","18550013","1500","33","",""
"se_10053800","","856","","","","18560001","se_fpc_water_random","23","",""
"1","1.75","856","-850","cmn_swm_tread","13","18560002","110311","1","-125","0"
"1","1.75","856","-1100","cmn_swm_tread","33","18560003","107711","1","-250","0"
"1","1.75","856","-850","cmn_swm_tread_pink","12","18560004","1","5","-125","0"
"1","1.75","856","-1100","cmn_swm_tread","32","18560005","2","5","-250","0"
"13","1","856","-125","","-850","18560006","1","31","1",""
"3","1","856","-250","","-1100","18560007","2","31","1",""
"110311","","856","13.5","","-125","18560008","1750","2","",""
"107711","","856","13.5","","-250","18560009","1500","2","",""
"1","","856","13.5","","-125","18560010","1750","2","",""
"2","","856","13.5","","-250","18560011","1500","2","",""
"1","","856","13.5","","-125","18560012","1750","33","",""
"2","","856","13.5","","-250","18560013","1500","33","",""
"se_10053800","","857","","","","18570001","se_fpc_water_random","23","",""
"1","1.75","857","-850","cmn_swm_tread","13","18570002","110411","1","-125","0"
"1","1.75","857","-1100","cmn_swm_tread","33","18570003","110511","1","-250","0"
"1","1.75","857","-1350","cmn_swm_tread","13","18570004","115711","1","-125","0"
"1","1.75","857","-1600","cmn_boat_relax","33","18570005","110611","1","-250","0"
"1","1.75","857","-850","cmn_swm_tread_blue","12","18570006","1","5","-125","0"
"1","1.75","857","-1100","cmn_swm_tread","32","18570007","2","5","-250","0"
"1","1.75","857","-1350","cmn_swm_tread_pink","12","18570008","3","5","-125","0"
"2","1.75","857","-1600","cmn_boat_idle_l","32","18570009","4","5","-250","0"
"13","1","857","-125","","-850","18570010","1","31","1",""
"3","1","857","-250","","-1100","18570011","2","31","1",""
"13","1","857","-125","","-1350","18570012","3","31","1",""
"116","1","857","-250","","-1600","18570013","4","31","1",""
"110411","","857","13.5","","-125","18570014","1750","2","",""
"110511","","857","13.5","","-250","18570015","1500","2","",""
"115711","","857","13.5","","-125","18570016","1250","2","",""
"110611","","857","13.5","","-250","18570017","1000","2","",""
"1","","857","13.5","","-125","18570018","1750","2","",""
"2","","857","13.5","","-250","18570019","1500","2","",""
"3","","857","13.5","","-125","18570020","1250","2","",""
"4","","857","13.5","","-250","18570021","1000","2","",""
"1","","857","13.5","","-125","18570022","1750","33","",""
"2","","857","13.5","","-250","18570023","1500","33","",""
"3","","857","13.5","","-125","18570024","1250","33","",""
"4","","857","13.5","","-250","18570025","1000","33","",""
"se_10053800","","858","","","","18580001","se_fpc_water_random","23","",""
"1","1.75","858","-850","cmn_swm_tread","13","18580002","126711","1","-125","0"
"1","1.75","858","-850","cmn_swm_tread","13","18580003","126711","1","-125","0"
"1","1.75","858","-1100","cmn_swm_tread","33","18580004","126811","1","-250","0"
"1","1.75","858","-1350","cmn_swm_tread","13","18580005","108011","1","-125","0"
"1","1.75","858","-1600","cmn_boat_cat","33","18580006","107911","1","-250","0"
"1","1.75","858","-850","cmn_swm_tread_pink","12","18580007","1","5","-125","0"
"1","1.75","858","-1100","cmn_swm_tread","32","18580008","2","5","-250","0"
"1","1.75","858","-1350","cmn_swm_tread_blue","12","18580009","3","5","-125","0"
"2","1.75","858","-1600","cmn_boat_idle_l","32","18580010","4","5","-250","0"
"13","1","858","-125","","-850","18580011","1","31","1",""
"3","1","858","-250","","-1100","18580012","2","31","1",""
"13","1","858","-125","","-1350","18580013","3","31","1",""
"116","1","858","-250","","-1600","18580014","4","31","1",""
"126711","","858","13.5","","-125","18580015","1750","2","",""
"126811","","858","13.5","","-250","18580016","1500","2","",""
"108011","","858","13.5","","-125","18580017","1250","2","",""
"107911","","858","13.5","","-250","18580018","1000","2","",""
"1","","858","13.5","","-125","18580019","1750","2","",""
"2","","858","13.5","","-250","18580020","1500","2","",""
"3","","858","13.5","","-125","18580021","1250","2","",""
"4","","858","13.5","","-250","18580022","1000","2","",""
"1","","858","13.5","","-125","18580023","1750","33","",""
"2","","858","13.5","","-250","18580024","1500","33","",""
"3","","858","13.5","","-125","18580025","1250","33","",""
"4","","858","13.5","","-250","18580026","1000","33","",""
"se_10053800","","859","","","","18590001","se_fpc_water_random","23","",""
"1","1.75","859","-850","cmn_surfing","45","18590002","113111","1","-125","0"
"1","1.75","859","-1100","cmn_surfing","45","18590003","113211","1","-250","0"
"1","1.75","859","-1350","cmn_surfing","45","18590004","113311","1","-125","0"
"1","1.75","859","-1600","cmn_surfing","45","18590005","117011","1","-250","0"
"6","1.75","859","-850","cmn_surfing","44","18590006","1","5","-125","0"
"6","1.75","859","-1100","cmn_surfing","44","18590007","2","5","-250","0"
"6","1.75","859","-1350","cmn_surfing","44","18590008","3","5","-125","0"
"6","1.75","859","-1600","cmn_surfing","44","18590009","4","5","-250","0"
"11","1","859","-125","","-850","18590010","1","31","1",""
"11","1","859","-250","","-1100","18590011","2","31","1",""
"11","1","859","-125","","-1350","18590012","3","31","1",""
"11","1","859","-250","","-1600","18590013","4","31","1",""
"113111","","859","6","","-125","18590014","2350","2","",""
"113211","","859","6","","-250","18590015","2100","2","",""
"113311","","859","6","","-125","18590016","1850","2","",""
"117011","","859","6","","-250","18590017","1600","2","",""
"1","","859","6","","-125","18590018","2350","2","",""
"2","","859","6","","-250","18590019","2100","2","",""
"3","","859","6","","-125","18590020","1850","2","",""
"4","","859","6","","-250","18590021","1600","2","",""
"1","","859","6","","-125","18590022","2350","33","",""
"2","","859","6","","-250","18590023","2100","33","",""
"3","","859","6","","-125","18590024","1850","33","",""
"4","","859","6","","-250","18590025","1600","33","",""
"se_10053800","","859","","","","18590026","se_10053800_surfing_wave","23","",""
"0.3","","859","","","","18590027","","93","",""
"vo_fpc","","859","0","","","18590028","vo_fpc_85901","21","",""
"se_10053800","","860","","","","18600001","se_fpc_water_random","23","",""
"1","1.75","860","-850","cmn_boat_relax_l","23","18600002","110011","1","-180","0"
"1","1.75","860","-1200","cmn_boat_relax","23","18600003","110111","1","-180","0"
"2","1.75","860","-850","cmn_boat_idle_blue","22","18600004","1","5","-180","0"
"2","1.75","860","-1200","cmn_boat_idle_l","22","18600005","2","5","-180","0"
"116","1","860","-180","","-850","18600006","1","31","1",""
"116","1","860","-180","","-1200","18600007","2","31","1",""
"110011","","860","13.5","","-180","18600008","1750","2","",""
"110111","","860","13.5","","-180","18600009","1400","2","",""
"1","","860","13.5","","-180","18600010","1750","2","",""
"2","","860","13.5","","-180","18600011","1400","2","",""
"1","","860","13.5","","-180","18600012","1750","33","",""
"2","","860","13.5","","-180","18600013","1400","33","",""
"2.7","","860","","","","18600014","","93","",""
"vo_fpc","","860","0","","","18600015","vo_fpc_86001","21","",""
"se_10053800","","861","","","","18610001","se_fpc_water_random","23","",""
"1","1.75","861","-850","cmn_swm_tread","13","18610002","129511","1","-125","0"
"1","1.75","861","-1100","cmn_swm_tread","33","18610003","129411","1","-250","0"
"1","1.75","861","-1350","cmn_swm_tread","13","18610004","129311","1","-125","0"
"1","1.75","861","-850","cmn_swm_tread_pink","12","18610005","1","5","-125","0"
"1","1.75","861","-1100","cmn_swm_tread_blue","32","18610006","2","5","-250","0"
"1","1.75","861","-1350","cmn_swm_tread","12","18610007","3","5","-125","0"
"13","1","861","-125","","-850","18610008","1","31","1",""
"3","1","861","-250","","-1100","18610009","2","31","1",""
"13","1","861","-125","","-1350","18610010","3","31","1",""
"129511","","861","13.5","","-125","18610011","1750","2","",""
"129411","","861","13.5","","-250","18610012","1500","2","",""
"129311","","861","13.5","","-125","18610013","1250","2","",""
"1","","861","13.5","","-125","18610014","1750","2","",""
"2","","861","13.5","","-250","18610015","1500","2","",""
"3","","861","13.5","","-125","18610016","1250","2","",""
"1","","861","13.5","","-125","18610017","1750","33","",""
"2","","861","13.5","","-250","18610018","1500","33","",""
"3","","861","13.5","","-125","18610019","1250","33","",""
"se_10053800","","862","","","","18620001","se_fpc_water_random","23","",""
"1","1.75","862","-850","cmn_swm_tread","13","18620002","126711","1","-125","0"
"1","1.75","862","-1100","cmn_swm_tread","33","18620003","126811","1","-250","0"
"21","1.66","862","-1350","02_neneka_floatRing","22","18620004","21","5","-180","0"
"1","1.75","862","-850","cmn_swm_tread","12","18620005","1","5","-125","0"
"1","1.75","862","-1100","cmn_swm_tread_blue","32","18620006","2","5","-250","0"
"13","1","862","-125","","-850","18620007","1","31","1",""
"3","1","862","-250","","-1100","18620008","2","31","1",""
"102","1","862","-180","","-1350","18620009","3","31","1",""
"126711","","862","13.5","","-125","18620010","1750","2","",""
"126811","","862","13.5","","-250","18620011","1500","2","",""
"21","","862","13.5","","-180","18620012","1250","2","",""
"1","","862","13.5","","-125","18620013","1750","2","",""
"2","","862","13.5","","-250","18620014","1500","2","",""
"1","","862","13.5","","-125","18620015","1750","33","",""
"2","","862","13.5","","-250","18620016","1500","33","",""
"3","","862","13.5","","-180","18620017","1250","33","",""
"se_10053800","","863","","","","18630001","se_fpc_water_random","23","",""
"1","1.75","863","-1100","cmn_float","22","18630002","126911","1","-180","1"
"1","1.75","863","-1350","cmn_float","12","18630003","127011","1","-125","0"
"1","1.75","863","-1600","cmn_float","22","18630004","127111","1","-180","0"
"6","1","863","-180","","-1070","18630005","2","31","1",""
"6","1","863","-125","","-1350","18630006","3","31","1",""
"6","1","863","-180","","-1600","18630007","4","31","1",""
"126911","","863","13.5","","-180","18630008","1500","2","",""
"127011","","863","13.5","","-125","18630009","1250","2","",""
"127111","","863","13.5","","-180","18630010","1000","2","",""
"2","","863","13.5","","-180","18630011","1530","33","",""
"3","","863","13.5","","-125","18630012","1250","33","",""
"4","","863","13.5","","-180","18630013","1000","33","",""
"2.3","","863","","","","18630014","","93","",""
"vo_fpc","","863","0","","","18630015","vo_fpc_86301","21","",""
"se_10053800","","864","","","","18640001","se_fpc_water_random","23","",""
"1","1.75","864","-850","cmn_surfing","45","18640002","107811","1","-125","0"
"1","1.75","864","-1100","cmn_surfing","45","18640003","110011","1","-250","0"
"6","1.75","864","-850","cmn_surfing","44","18640004","1","5","-125","0"
"6","1.75","864","-1100","cmn_surfing","44","18640005","2","5","-250","0"
"11","1","864","-125","","-850","18640006","1","31","1",""
"11","1","864","-250","","-1100","18640007","2","31","1",""
"107811","","864","6","","-125","18640008","2350","2","",""
"110011","","864","6","","-250","18640009","2100","2","",""
"1","","864","6","","-125","18640010","2350","2","",""
"2","","864","6","","-250","18640011","2100","2","",""
"1","","864","6","","-125","18640012","2350","33","",""
"2","","864","6","","-250","18640013","2100","33","",""
"se_10053800","","864","","","","18640014","se_10053800_surfing_wave","23","",""
"0.2","","864","","","","18640015","","93","",""
"vo_fpc","","864","0","","","18640016","vo_fpc_86401","21","",""
"se_10053800","","865","","","","18650001","se_fpc_water_random","23","",""
"1","1.75","865","-850","cmn_swm_flutterKick_floatRing","13","18650002","110311","1","-125","0"
"1","1.75","865","-1100","cmn_swm_flutterKick_floatRing","33","18650003","113111","1","-250","0"
"1","1.75","865","-850","cmn_swm_flutterKick_floatRing_pink","12","18650004","1","5","-125","0"
"1","1.75","865","-1100","cmn_swm_flutterKick_floatRing_blue","32","18650005","2","5","-250","0"
"7","1","865","-125","","-850","18650006","1","31","1",""
"1","1","865","-250","","-1100","18650007","2","31","1",""
"110311","","865","10","","-125","18650008","1750","2","",""
"113111","","865","10","","-250","18650009","1500","2","",""
"1","","865","10","","-125","18650010","1750","2","",""
"2","","865","10","","-250","18650011","1500","2","",""
"1","","865","10","","-125","18650012","1750","33","",""
"2","","865","10","","-250","18650013","1500","33","",""
"se_10053800","","866","","","","18660001","se_fpc_water_random","23","",""
"1","1.75","866","-850","cmn_swm_flutterKick_floatRing","13","18660002","113411","1","-125","0"
"1","1.75","866","-1100","cmn_swm_flutterKick_floatRing","33","18660003","115711","1","-250","0"
"1","1.75","866","-850","cmn_swm_flutterKick_floatRing_pink","12","18660004","1","5","-125","0"
"1","1.75","866","-1100","cmn_swm_flutterKick_floatRing_blue","32","18660005","2","5","-250","0"
"7","1","866","-125","","-850","18660006","1","31","1",""
"1","1","866","-250","","-1100","18660007","2","31","1",""
"113411","","866","10","","-125","18660008","1750","2","",""
"115711","","866","10","","-250","18660009","1500","2","",""
"1","","866","10","","-125","18660010","1750","2","",""
"2","","866","10","","-250","18660011","1500","2","",""
"1","","866","10","","-125","18660012","1750","33","",""
"2","","866","10","","-250","18660013","1500","33","",""
"se_10053800","","867","","","","18670001","se_fpc_water_random","23","",""
"1","1.75","867","-850","cmn_swm_tread","13","18670002","113211","1","-125","0"
"1","1.75","867","-1100","cmn_swm_tread","33","18670003","127111","1","-250","0"
"1","1.75","867","-850","cmn_swm_tread_pink","12","18670004","1","5","-125","0"
"1","1.75","867","-1100","cmn_swm_tread_blue","32","18670005","2","5","-250","0"
"13","1","867","-125","","-850","18670006","1","31","1",""
"3","1","867","-250","","-1100","18670007","2","31","1",""
"113211","","867","13.5","","-125","18670008","1750","2","",""
"127111","","867","13.5","","-250","18670009","1500","2","",""
"1","","867","13.5","","-125","18670010","1750","2","",""
"2","","867","13.5","","-250","18670011","1500","2","",""
"1","","867","13.5","","-125","18670012","1750","33","",""
"2","","867","13.5","","-250","18670013","1500","33","",""
"se_10053800","","868","","","","18680001","se_fpc_water_random","23","",""
"1","1.75","868","-850","cmn_swm_diving","12","18680002","117011","1","-125","0"
"1","1.75","868","-1100","cmn_swm_diving","22","18680003","117111","1","-180","0"
"9","1","868","-125","","-850","18680004","1","31","1",""
"9","1","868","-180","","-1100","18680005","2","31","1",""
"117011","","868","13.5","","-125","18680006","1750","2","",""
"117111","","868","13.5","","-180","18680007","1500","2","",""
"1","","868","13.5","","-125","18680008","1750","33","",""
"2","","868","13.5","","-180","18680009","1500","33","",""
"se_10053800","","869","","","","18690001","se_fpc_water_random","23","",""
"1","1.75","869","-850","cmn_swm_flutterKick_floatRing","13","18690002","110511","1","-125","0"
"1","1.75","869","-1100","cmn_swm_flutterKick_floatRing","33","18690003","110011","1","-250","0"
"1","1.75","869","-850","cmn_swm_flutterKick_floatBoad","12","18690004","1","5","-125","0"
"1","1.75","869","-1100","cmn_swm_flutterKick_floatBoad_blue","32","18690005","2","5","-250","0"
"7","1","869","-125","","-850","18690006","1","31","1",""
