15afea4ecb60287b93527e0e5cebf5ea996f22f211ee46764deed11b52183a44,2d65789341bdd0d0e22c1aa8d9c8e05f84d48cec3539cff7fc2c582a15bfaf3a,4d6a68862e1ce02f02b725652c9bbe6d39c9c858994d2599fddefaceb083a365,1c047cf354d743538ac7fffc0bc74cd62dfe9f8946f1ed184830f958ae1a8a2d,0a2b8e08fdc671dca64796fb29639e55f6355054e7512416a5d7fcb567367fc2,efa9a7dd98e613752ed241bc0227490957ea22a5a13123ee11c4945ea0766418,5ade7a8ad2945257f26649e5d4abc9e67efbf460af534e7178bdca49140f1cf0,a0102622c90425eb72865b3fcd95edb0ea7e0571a8fbeb4b5308e5ceee8648e4,e9c1621b7bfc226c569b4a3654ecb4812e17671732380843f1f324aee8fc75b0,6cb305d90e5a85758e7195fb309b317a1c2e60f316163e6680c8e981087dcd98,f6032ffc9c219a5ba5d9e437b2afaece0912cfda4fc2c77141066642a8e3e6be
"","","","31","2","26","","31006","","",""
"0.9","","3","31","-80","121","1.2","31007","1.2","10",""
"","0.2","0.2","31","129811","3","","31008","0","drama_joy_makoto",""
"","","","31","1","140","","31009","0","2",""
"28","1","0.28","32","0","5","320","32001","1","1","drama_talk_1"
"28","0","0.28","32","0","5","228","32002","0","2","drama_talk_2"
"64","1","0.26","32","0","5","45","32003","90","3","drama_swing"
"-23","0","0.3","32","0","5","-187","32004","91","4","drama_streach"
"","","","32","1","93","","32005","","0",""
"","","0.2","32","1","3","","32006","0","drama_joy",""
"","","0.2","32","2","3","","32007","0","drama_joy",""
"","","0.2","32","3","3","","32008","0","drama_joy",""
"","","0.2","32","4","3","","32009","0","drama_joy",""
"","","","32","1.5","93","","32010","","0",""
"28","1","0.28","33","0","5","320","33001","1","1","drama_talk_1"
"28","0","0.28","33","0","5","228","33002","0","2","drama_talk_2"
"64","1","0.26","33","0","5","45","33003","90","3","drama_swing"
"-23","0","0.3","33","0","5","-187","33004","91","4","drama_streach"
