212c4de2ff00a93abada932571234e825489111b8757b087b3f95b1ed7212524,f8a453fb96c7f186a9876eed5e1b5319f89888ab5fb289eff37f456e9a02d42f,7b71cfbe0ab84e0a57e4d5a1b1d4cd44a1ed04da7a413dbffdb10802f85af27d,73b7ac264808c7d80503c64fe5ae2136b23c9be644db9fea9c2d8ea112b8244d,6e605fe5fec2d96e7064e2d62a1ef5cc7494a8899af58209baa4ab7f76aa9203,4da184f10e97af08a5a8afb3b120690230c84feda6ecda396ee6fd036517ceef
"1000","0","130041","0","14","6"
"1000","0","130042","0","14","7"
"10","0","130051","0","14","9"
"3000","0","140011","0","14","108"
"5000","0","140021","0","1","2999132"
"5000","0","140031","0","1","2999133"
"2000","0","140041","0","14","2"
"2000","0","140042","0","14","4"
"1000","0","140051","0","14","3"
"1000","0","140052","0","14","5"
"1000","0","150011","0","14","110"
"1000","0","150021","0","14","1"
"50000","0","150031","0","1","2999134"
"50000","0","150032","0","1","2999135"
"50000","0","150033","0","1","2999136"
"50000","0","150034","0","1","2999137"
"50000","0","150035","0","1","2999138"
"50000","0","150041","0","1","2999149"
"50000","0","150042","0","1","2999150"
"50000","0","150043","0","1","2999151"
"50000","0","150044","0","1","2999152"
"50000","0","150045","0","1","2999153"
"5000","0","150051","0","1","2999164"
"10","0","210011","0","14","14"
"20000","0","210021","0","1","2999118"
"20000","0","210031","0","1","2999120"
"4","0","210041","0","14","16"
"2000","0","210051","0","1","2999101"
"4000","0","220011","0","14","105"
"10000","0","220021","0","1","2999122"
"10000","0","220031","0","1","2999125"
"2000","0","220041","0","1","2999127"
"2000","0","220051","0","1","2999128"
"2000","0","230011","0","1","2999129"
"2000","0","230021","0","14","100"
"2000","0","230022","0","14","101"
"6000","0","230031","0","14","107"
"2000","0","230041","0","14","6"
"2000","0","230042","0","14","7"
"20","0","230051","0","14","9"
"6000","0","240011","0","14","108"
"10000","0","240021","0","1","2999132"
"10000","0","240031","0","1","2999133"
"4000","0","240041","0","14","2"
"4000","0","240042","0","14","4"
"2000","0","240051","0","14","3"
"2000","0","240052","0","14","5"
"2000","0","250011","0","14","110"
"2000","0","250021","0","14","1"
"100000","0","250031","0","1","2999139"
"100000","0","250032","0","1","2999140"
"100000","0","250033","0","1","2999141"
"100000","0","250034","0","1","2999142"
"100000","0","250035","0","1","2999143"
"100000","0","250041","0","1","2999154"
"100000","0","250042","0","1","2999155"
"100000","0","250043","0","1","2999156"
"100000","0","250044","0","1","2999157"
"100000","0","250045","0","1","2999158"
"10000","0","250051","0","1","2999165"
"10000","0","300011","0","14","104"
"15","0","310011","0","14","14"
"30000","0","310021","0","1","2999119"
"30000","0","310031","0","1","2999120"
"6","0","310041","0","14","16"
"3000","0","310051","0","1","2999101"
"100","0","310061","0","14","14"
"6000","0","320011","0","14","105"
"15000","0","320021","0","1","2999123"
"15000","0","320031","0","1","2999126"
"3000","0","320041","0","1","2999127"
"3000","0","320051","0","1","2999128"
"2500","0","320061","0","1","2999192"
"3000","0","330011","0","1","2999129"
"3000","0","330021","0","14","100"
"3000","0","330022","0","14","101"
"9000","0","330031","0","14","107"
"3000","0","330041","0","14","6"
"3000","0","330042","0","14","7"
"30","0","330051","0","14","9"
"50000","0","330061","0","14","107"
"50","0","330062","0","14","9"
"9000","0","340011","0","14","108"
"15000","0","340021","0","1","2999132"
"15000","0","340031","0","1","2999133"
"6000","0","340041","0","14","2"
"6000","0","340042","0","14","4"
"3000","0","340051","0","14","3"
"3000","0","340052","0","14","5"
"5000","0","340061","0","1","2999191"
"3000","0","350011","0","14","110"
"3000","0","350021","0","14","1"
"150000","0","350031","0","1","2999144"
"150000","0","350032","0","1","2999145"
"150000","0","350033","0","1","2999146"
"150000","0","350034","0","1","2999147"
"150000","0","350035","0","1","2999148"
"150000","0","350041","0","1","2999159"
"150000","0","350042","0","1","2999160"
"150000","0","350043","0","1","2999161"
"150000","0","350044","0","1","2999162"
"150000","0","350045","0","1","2999163"
"15000","0","350051","0","1","2999166"
"10000","0","350061","0","14","1"
"1500","0","400011","0","14","1"
"1500","0","400012","0","14","102"
"1500","0","400013","0","14","103"
"5000","0","400021","0","14","104"
"0","0","400031","0","8","10"
"5000","0","400041","0","14","100"
"5000","0","400042","0","14","101"
"-2500","0","400043","0","14","6"
"-2500","0","400044","0","14","7"
"1","0","400051","0","2","40005"
"1500","0","400061","0","14","2"
"1500","0","400062","0","14","4"
"1500","0","400063","0","14","108"
"50000","0","400071","0","1","2999193"
"50000","0","400081","0","1","2999194"
"0","0","400091","0","4","3000"
"0","0","400092","0","6","-30"
"2000","0","400101","0","14","109"
"400","1","500011","25","14","2"
"400","1","500012","25","14","4"
"0","0","500021","0","12","0"
"1","30","500031","10000","14","107"
"2500","0","500041","0","1","2999130"
"1","0","500051","0","3","50005"
"50000","0","500061","0","1","2999195"
"50000","0","500062","0","1","2999196"
"50000","0","500071","0","1","2999197"
"50000","0","500072","0","1","2999198"
"50000","0","500073","0","1","2999199"
"50000","0","500074","0","1","2999200"
"50000","0","500075","0","1","2999201"
"50000","0","500081","0","1","2999202"
"1","30","500091","10000","14","100"
"1","30","500092","10000","14","101"
"50000","0","500101","0","1","2999203"
