53e05fcff736f8f6f5fd1773f24cb06ff01cdaf2259b6e73df3cfe1bafd834f4,45ecb9c184a66e0cc0e886fdb3816b61a1b2d086bfe12598b78eaf5b716fedc1,91b8b03caba95a4e38d406c5ec691786b1a8642d0e68159a5cb821430955c68e,9126c67538dfbd313f4e9041247d8487c172cf20ae8619207a6a297551da9a79,2c6d7a216bd6083f9a0ea7fe7368cc135b4c796382580c8b100a4037d4cbcbbb,06b6895021af8c46e1b9564ccf33a696b60f7f898168c97b4a8c7177ce037122,d2232e5ed9139b9783e2eff32bc9f84c7cf90fe9ac66b45c3ad8b2893e34f035,5c346df5e8284bb59b1f62596ddb5212b266d836860ea1eb07e6102776d4c07c,929c19b102d42aa46e98981fc624fffba06b5cc89ee5d6f1d6f1cb9a1c3e6c77,959ff0b0f497e1c5d0bea2b156d04b644f76270c63d6c785cda995214181c765,c621583f77c2c0aaffb601f66e7629495a213a9460b6cc40f29fc3d431bc68f3
"352","13520002","-850","cmn_swm_flutterKick_floatRing","1.75","-180","1","1","23","<unit_id>","0"
"352","13520003","-850","cmn_swm_flutterKick_floatBoad_blue","1.75","-180","1","5","22","1","0"
"352","13520004","-180","","1","1","1","31","-850","1",""
"352","13520005","","","","","0","91","","0",""
"352","13520006","10","","","","<unit_id>","2","-180","1050",""
"352","13520007","10","","","","1","2","-180","1050",""
"352","13520008","10","","","","1","33","-180","1050",""
"401","14010001","","","","","se_10053800","23","","se_fpc_water_random",""
"401","14010002","-850","cmn_float","1.75","-180","1","1","22","<unit_id>","0"
"401","14010003","-180","","1","1","6","31","-850","6",""
"401","14010004","","","","","0","91","","0",""
"401","14010005","10","","","","<unit_id>","2","-180","1050",""
"401","14010006","10","","","","6","33","-180","1050",""
"402","14020001","","","","","se_10053800","23","","se_fpc_water_random",""
"402","14020002","-850","cmn_float_4","1.75","-180","1","1","22","<unit_id>","0"
"402","14020003","-180","","1","1","6","31","-850","6",""
"402","14020004","","","","","0","91","","0",""
"402","14020005","10","","","","<unit_id>","2","-180","1050",""
"402","14020006","10","","","","6","33","-180","1050",""
"451","14510001","","","","","se_10053800","23","","se_fpc_water_random",""
"451","14510002","-850","cmn_crawl","1.75","-180","1","1","22","<unit_id>","0"
"451","14510003","-180","","1","1","1","31","-850","1",""
"451","14510004","","","","","0","91","","0",""
"451","14510005","10","","","","<unit_id>","2","-180","1050",""
"451","14510006","10","","","","1","33","-180","1050",""
"501","15010001","","","","","se_10053800","23","","se_fpc_water_random",""
"501","15010002","-850","cmn_surfing","1.75","-250","1","1","45","<unit_id>","0"
"501","15010003","-850","cmn_surfing","1.75","-250","6","5","44","6","0"
"501","15010004","-250","","1","1","11","31","-850","11",""
"501","15010005","","","","","0","91","","0",""
"501","15010006","6","","","","<unit_id>","2","-250","1800",""
"501","15010007","6","","","","6","2","-250","1800",""
"501","15010008","6","","","","11","33","-250","1800",""
"501","15010009","","","","","se_10053800","23","","se_10053800_surfing_wave",""
"851","18510001","","","","","se_10053800","23","","se_fpc_water_random",""
"851","18510002","-850","cmn_surfing","1.75","-125","1","1","45","107511","0"
"851","18510003","-1100","cmn_surfing","1.75","-250","1","1","45","107611","0"
"851","18510004","-1350","cmn_surfing","1.75","-125","1","1","45","107811","0"
"851","18510005","-850","cmn_surfing","1.75","-125","6","5","44","1","0"
"851","18510006","-1100","cmn_surfing","1.75","-250","6","5","44","2","0"
"851","18510007","-1350","cmn_surfing","1.75","-125","6","5","44","3","0"
"851","18510008","-125","","1","1","11","31","-850","1",""
"851","18510009","-250","","1","1","11","31","-1100","2",""
"851","18510010","-125","","1","1","11","31","-1350","3",""
"851","18510011","6","","","","107511","2","-125","2350",""
"851","18510012","6","","","","107611","2","-250","2100",""
"851","18510013","6","","","","107811","2","-125","1850",""
"851","18510014","6","","","","1","2","-125","2350",""
"851","18510015","6","","","","2","2","-250","2100",""
"851","18510016","6","","","","3","2","-125","1850",""
"851","18510017","6","","","","1","33","-125","2350",""
"851","18510018","6","","","","2","33","-250","2100",""
"851","18510019","6","","","","3","33","-125","1850",""
"851","18510020","","","","","se_10053800","23","","se_10053800_surfing_wave",""
"851","18510021","","","","","0.3","93","","",""
"851","18510022","0","","","","vo_fpc","21","","vo_fpc_85101",""
"852","18520001","","","","","se_10053800","23","","se_fpc_water_random",""
"852","18520002","-850","cmn_swm_flutterKick_floatRing","1.75","-125","1","1","13","122411","0"
"852","18520003","-1100","cmn_swm_flutterKick_floatRing","1.75","-250","1","1","33","122511","0"
"852","18520004","-1350","cmn_swm_flutterKick_floatRing","1.75","-125","1","1","13","122611","0"
"852","18520005","-850","cmn_swm_flutterKick_floatRing","1.75","-125","1","5","12","1","0"
"852","18520006","-1100","cmn_swm_flutterKick_floatRing_blue","1.75","-250","1","5","32","2","0"
"852","18520007","-1350","cmn_swm_flutterKick_floatRing_pink","1.75","-125","1","5","12","3","0"
"852","18520008","-125","","1","1","7","31","-850","1",""
"852","18520009","-250","","1","1","1","31","-1100","2",""
"852","18520010","-125","","1","1","7","31","-1350","3",""
"852","18520011","10","","","","122411","2","-125","1750",""
"852","18520012","10","","","","122511","2","-250","1500",""
"852","18520013","10","","","","122611","2","-125","1250",""
"852","18520014","10","","","","1","2","-125","1750",""
"852","18520015","10","","","","2","2","-250","1500",""
"852","18520016","10","","","","3","2","-125","1250",""
"852","18520017","10","","","","1","33","-125","1750",""
"852","18520018","10","","","","2","33","-250","1500",""
"852","18520019","10","","","","3","33","-125","1250",""
"853","18530001","","","","","se_10053800","23","","se_fpc_water_random",""
"853","18530002","-850","cmn_swm_breastStroke","1.75","-125","1","1","12","117211","0"
"853","18530003","-1100","cmn_swm_breastStroke","1.75","-250","1","1","32","117311","0"
"853","18530004","-1350","cmn_swm_breastStroke","1.75","-125","1","1","12","117411","0"
"853","18530005","-125","","1","1","2","31","-850","1",""
"853","18530006","-250","","1","1","2","31","-1100","2",""
"853","18530007","-125","","1","1","2","31","-1350","3",""
"853","18530008","10","","","","117211","2","-125","1750",""
"853","18530009","10","","","","117311","2","-250","1500",""
"853","18530010","10","","","","117411","2","-125","1250",""
"853","18530011","10","","","","1","33","-125","1750",""
"853","18530012","10","","","","2","33","-250","1500",""
"853","18530013","10","","","","3","33","-125","1250",""
"854","18540001","","","","","se_10053800","23","","se_fpc_water_random",""
"854","18540002","-850","cmn_swm_flutterKick_floatRing","1.75","-125","1","1","13","122711","0"
"854","18540003","-1100","cmn_swm_flutterKick_floatRing","1.75","-250","1","1","33","122811","0"
"854","18540004","-1350","cmn_swm_flutterKick_floatRing","1.75","-125","1","1","13","122911","0"
"854","18540005","-850","cmn_swm_flutterKick_floatBoad","1.75","-125","1","5","12","1","0"
"854","18540006","-1100","cmn_swm_flutterKick_floatBoad_blue","1.75","-250","1","5","32","2","0"
"854","18540007","-1350","cmn_swm_flutterKick_floatBoad","1.75","-125","1","5","12","3","0"
"854","18540008","-125","","1","1","7","31","-850","1",""
"854","18540009","-250","","1","1","1","31","-1100","2",""
"854","18540010","-125","","1","1","7","31","-1350","3",""
"854","18540011","10","","","","122711","2","-125","1750",""
"854","18540012","10","","","","122811","2","-250","1500",""
"854","18540013","10","","","","122911","2","-125","1250",""
"854","18540014","10","","","","1","2","-125","1750",""
"854","18540015","10","","","","2","2","-250","1500",""
"854","18540016","10","","","","3","2","-125","1250",""
"854","18540017","10","","","","1","33","-125","1750",""
"854","18540018","10","","","","2","33","-250","1500",""
"854","18540019","10","","","","3","33","-125","1250",""
"855","18550001","","","","","se_10053800","23","","se_fpc_water_random",""
"855","18550002","-850","cmn_swm_flutterKick_floatRing","1.75","-125","1","1","13","113411","0"
"855","18550003","-1100","cmn_swm_flutterKick_floatRing","1.75","-250","1","1","33","113511","0"
"855","18550004","-850","cmn_swm_flutterKick_floatBoad","1.75","-125","1","5","12","1","0"
"855","18550005","-1100","cmn_swm_flutterKick_floatBoad_blue","1.75","-250","1","5","32","2","0"
"855","18550006","-125","","1","1","7","31","-850","1",""
"855","18550007","-250","","1","1","1","31","-1100","2",""
"855","18550008","10","","","","113411","2","-125","1750",""
"855","18550009","10","","","","113511","2","-250","1500",""
"855","18550010","10","","","","1","2","-125","1750",""
"855","18550011","10","","","","2","2","-250","1500",""
"855","18550012","10","","","","1","33","-125","1750",""
"855","18550013","10","","","","2","33","-250","1500",""
"856","18560001","","","","","se_10053800","23","","se_fpc_water_random",""
"856","18560002","-850","cmn_swm_tread","1.75","-125","1","1","13","110311","0"
"856","18560003","-1100","cmn_swm_tread","1.75","-250","1","1","33","107711","0"
"856","18560004","-850","cmn_swm_tread_pink","1.75","-125","1","5","12","1","0"
"856","18560005","-1100","cmn_swm_tread","1.75","-250","1","5","32","2","0"
"856","18560006","-125","","1","1","13","31","-850","1",""
"856","18560007","-250","","1","1","3","31","-1100","2",""
"856","18560008","13.5","","","","110311","2","-125","1750",""
"856","18560009","13.5","","","","107711","2","-250","1500",""
"856","18560010","13.5","","","","1","2","-125","1750",""
"856","18560011","13.5","","","","2","2","-250","1500",""
"856","18560012","13.5","","","","1","33","-125","1750",""
"856","18560013","13.5","","","","2","33","-250","1500",""
"857","18570001","","","","","se_10053800","23","","se_fpc_water_random",""
"857","18570002","-850","cmn_swm_tread","1.75","-125","1","1","13","110411","0"
"857","18570003","-1100","cmn_swm_tread","1.75","-250","1","1","33","110511","0"
"857","18570004","-1350","cmn_swm_tread","1.75","-125","1","1","13","115711","0"
"857","18570005","-1600","cmn_boat_relax","1.75","-250","1","1","33","110611","0"
"857","18570006","-850","cmn_swm_tread_blue","1.75","-125","1","5","12","1","0"
"857","18570007","-1100","cmn_swm_tread","1.75","-250","1","5","32","2","0"
"857","18570008","-1350","cmn_swm_tread_pink","1.75","-125","1","5","12","3","0"
"857","18570009","-1600","cmn_boat_idle_l","1.75","-250","2","5","32","4","0"
"857","18570010","-125","","1","1","13","31","-850","1",""
"857","18570011","-250","","1","1","3","31","-1100","2",""
"857","18570012","-125","","1","1","13","31","-1350","3",""
"857","18570013","-250","","1","1","116","31","-1600","4",""
"857","18570014","13.5","","","","110411","2","-125","1750",""
"857","18570015","13.5","","","","110511","2","-250","1500",""
"857","18570016","13.5","","","","115711","2","-125","1250",""
"857","18570017","13.5","","","","110611","2","-250","1000",""
"857","18570018","13.5","","","","1","2","-125","1750",""
"857","18570019","13.5","","","","2","2","-250","1500",""
"857","18570020","13.5","","","","3","2","-125","1250",""
"857","18570021","13.5","","","","4","2","-250","1000",""
"857","18570022","13.5","","","","1","33","-125","1750",""
"857","18570023","13.5","","","","2","33","-250","1500",""
"857","18570024","13.5","","","","3","33","-125","1250",""
"857","18570025","13.5","","","","4","33","-250","1000",""
"858","18580001","","","","","se_10053800","23","","se_fpc_water_random",""
"858","18580002","-850","cmn_swm_tread","1.75","-125","1","1","13","126711","0"
"858","18580003","-850","cmn_swm_tread","1.75","-125","1","1","13","126711","0"
"858","18580004","-1100","cmn_swm_tread","1.75","-250","1","1","33","126811","0"
"858","18580005","-1350","cmn_swm_tread","1.75","-125","1","1","13","108011","0"
"858","18580006","-1600","cmn_boat_cat","1.75","-250","1","1","33","107911","0"
"858","18580007","-850","cmn_swm_tread_pink","1.75","-125","1","5","12","1","0"
"858","18580008","-1100","cmn_swm_tread","1.75","-250","1","5","32","2","0"
"858","18580009","-1350","cmn_swm_tread_blue","1.75","-125","1","5","12","3","0"
"858","18580010","-1600","cmn_boat_idle_l","1.75","-250","2","5","32","4","0"
"858","18580011","-125","","1","1","13","31","-850","1",""
"858","18580012","-250","","1","1","3","31","-1100","2",""
"858","18580013","-125","","1","1","13","31","-1350","3",""
"858","18580014","-250","","1","1","116","31","-1600","4",""
"858","18580015","13.5","","","","126711","2","-125","1750",""
"858","18580016","13.5","","","","126811","2","-250","1500",""
"858","18580017","13.5","","","","108011","2","-125","1250",""
"858","18580018","13.5","","","","107911","2","-250","1000",""
"858","18580019","13.5","","","","1","2","-125","1750",""
"858","18580020","13.5","","","","2","2","-250","1500",""
"858","18580021","13.5","","","","3","2","-125","1250",""
"858","18580022","13.5","","","","4","2","-250","1000",""
"858","18580023","13.5","","","","1","33","-125","1750",""
"858","18580024","13.5","","","","2","33","-250","1500",""
"858","18580025","13.5","","","","3","33","-125","1250",""
"858","18580026","13.5","","","","4","33","-250","1000",""
"859","18590001","","","","","se_10053800","23","","se_fpc_water_random",""
"859","18590002","-850","cmn_surfing","1.75","-125","1","1","45","113111","0"
"859","18590003","-1100","cmn_surfing","1.75","-250","1","1","45","113211","0"
"859","18590004","-1350","cmn_surfing","1.75","-125","1","1","45","113311","0"
"859","18590005","-1600","cmn_surfing","1.75","-250","1","1","45","117011","0"
"859","18590006","-850","cmn_surfing","1.75","-125","6","5","44","1","0"
"859","18590007","-1100","cmn_surfing","1.75","-250","6","5","44","2","0"
"859","18590008","-1350","cmn_surfing","1.75","-125","6","5","44","3","0"
"859","18590009","-1600","cmn_surfing","1.75","-250","6","5","44","4","0"
"859","18590010","-125","","1","1","11","31","-850","1",""
"859","18590011","-250","","1","1","11","31","-1100","2",""
"859","18590012","-125","","1","1","11","31","-1350","3",""
"859","18590013","-250","","1","1","11","31","-1600","4",""
"859","18590014","6","","","","113111","2","-125","2350",""
"859","18590015","6","","","","113211","2","-250","2100",""
"859","18590016","6","","","","113311","2","-125","1850",""
"859","18590017","6","","","","117011","2","-250","1600",""
"859","18590018","6","","","","1","2","-125","2350",""
"859","18590019","6","","","","2","2","-250","2100",""
"859","18590020","6","","","","3","2","-125","1850",""
"859","18590021","6","","","","4","2","-250","1600",""
"859","18590022","6","","","","1","33","-125","2350",""
"859","18590023","6","","","","2","33","-250","2100",""
"859","18590024","6","","","","3","33","-125","1850",""
"859","18590025","6","","","","4","33","-250","1600",""
"859","18590026","","","","","se_10053800","23","","se_10053800_surfing_wave",""
"859","18590027","","","","","0.3","93","","",""
"859","18590028","0","","","","vo_fpc","21","","vo_fpc_85901",""
"860","18600001","","","","","se_10053800","23","","se_fpc_water_random",""
"860","18600002","-850","cmn_boat_relax_l","1.75","-180","1","1","23","110011","0"
"860","18600003","-1200","cmn_boat_relax","1.75","-180","1","1","23","110111","0"
"860","18600004","-850","cmn_boat_idle_blue","1.75","-180","2","5","22","1","0"
"860","18600005","-1200","cmn_boat_idle_l","1.75","-180","2","5","22","2","0"
"860","18600006","-180","","1","1","116","31","-850","1",""
"860","18600007","-180","","1","1","116","31","-1200","2",""
"860","18600008","13.5","","","","110011","2","-180","1750",""
"860","18600009","13.5","","","","110111","2","-180","1400",""
"860","18600010","13.5","","","","1","2","-180","1750",""
"860","18600011","13.5","","","","2","2","-180","1400",""
"860","18600012","13.5","","","","1","33","-180","1750",""
"860","18600013","13.5","","","","2","33","-180","1400",""
"860","18600014","","","","","2.7","93","","",""
"860","18600015","0","","","","vo_fpc","21","","vo_fpc_86001",""
"861","18610001","","","","","se_10053800","23","","se_fpc_water_random",""
"861","18610002","-850","cmn_swm_tread","1.75","-125","1","1","13","129511","0"
"861","18610003","-1100","cmn_swm_tread","1.75","-250","1","1","33","129411","0"
"861","18610004","-1350","cmn_swm_tread","1.75","-125","1","1","13","129311","0"
"861","18610005","-850","cmn_swm_tread_pink","1.75","-125","1","5","12","1","0"
"861","18610006","-1100","cmn_swm_tread_blue","1.75","-250","1","5","32","2","0"
"861","18610007","-1350","cmn_swm_tread","1.75","-125","1","5","12","3","0"
"861","18610008","-125","","1","1","13","31","-850","1",""
"861","18610009","-250","","1","1","3","31","-1100","2",""
"861","18610010","-125","","1","1","13","31","-1350","3",""
"861","18610011","13.5","","","","129511","2","-125","1750",""
"861","18610012","13.5","","","","129411","2","-250","1500",""
"861","18610013","13.5","","","","129311","2","-125","1250",""
"861","18610014","13.5","","","","1","2","-125","1750",""
"861","18610015","13.5","","","","2","2","-250","1500",""
"861","18610016","13.5","","","","3","2","-125","1250",""
"861","18610017","13.5","","","","1","33","-125","1750",""
"861","18610018","13.5","","","","2","33","-250","1500",""
"861","18610019","13.5","","","","3","33","-125","1250",""
"862","18620001","","","","","se_10053800","23","","se_fpc_water_random",""
"862","18620002","-850","cmn_swm_tread","1.75","-125","1","1","13","126711","0"
"862","18620003","-1100","cmn_swm_tread","1.75","-250","1","1","33","126811","0"
"862","18620004","-1350","02_neneka_floatRing","1.66","-180","21","5","22","21","0"
"862","18620005","-850","cmn_swm_tread","1.75","-125","1","5","12","1","0"
"862","18620006","-1100","cmn_swm_tread_blue","1.75","-250","1","5","32","2","0"
"862","18620007","-125","","1","1","13","31","-850","1",""
"862","18620008","-250","","1","1","3","31","-1100","2",""
"862","18620009","-180","","1","1","102","31","-1350","3",""
"862","18620010","13.5","","","","126711","2","-125","1750",""
"862","18620011","13.5","","","","126811","2","-250","1500",""
"862","18620012","13.5","","","","21","2","-180","1250",""
"862","18620013","13.5","","","","1","2","-125","1750",""
"862","18620014","13.5","","","","2","2","-250","1500",""
"862","18620015","13.5","","","","1","33","-125","1750",""
"862","18620016","13.5","","","","2","33","-250","1500",""
"862","18620017","13.5","","","","3","33","-180","1250",""
"863","18630001","","","","","se_10053800","23","","se_fpc_water_random",""
"863","18630002","-1100","cmn_float","1.75","-180","1","1","22","126911","1"
"863","18630003","-1350","cmn_float","1.75","-125","1","1","12","127011","0"
"863","18630004","-1600","cmn_float","1.75","-180","1","1","22","127111","0"
"863","18630005","-180","","1","1","6","31","-1070","2",""
"863","18630006","-125","","1","1","6","31","-1350","3",""
"863","18630007","-180","","1","1","6","31","-1600","4",""
"863","18630008","13.5","","","","126911","2","-180","1500",""
"863","18630009","13.5","","","","127011","2","-125","1250",""
"863","18630010","13.5","","","","127111","2","-180","1000",""
"863","18630011","13.5","","","","2","33","-180","1530",""
"863","18630012","13.5","","","","3","33","-125","1250",""
"863","18630013","13.5","","","","4","33","-180","1000",""
"863","18630014","","","","","2.3","93","","",""
"863","18630015","0","","","","vo_fpc","21","","vo_fpc_86301",""
"864","18640001","","","","","se_10053800","23","","se_fpc_water_random",""
"864","18640002","-850","cmn_surfing","1.75","-125","1","1","45","107811","0"
"864","18640003","-1100","cmn_surfing","1.75","-250","1","1","45","110011","0"
"864","18640004","-850","cmn_surfing","1.75","-125","6","5","44","1","0"
"864","18640005","-1100","cmn_surfing","1.75","-250","6","5","44","2","0"
"864","18640006","-125","","1","1","11","31","-850","1",""
"864","18640007","-250","","1","1","11","31","-1100","2",""
"864","18640008","6","","","","107811","2","-125","2350",""
"864","18640009","6","","","","110011","2","-250","2100",""
"864","18640010","6","","","","1","2","-125","2350",""
"864","18640011","6","","","","2","2","-250","2100",""
"864","18640012","6","","","","1","33","-125","2350",""
"864","18640013","6","","","","2","33","-250","2100",""
"864","18640014","","","","","se_10053800","23","","se_10053800_surfing_wave",""
"864","18640015","","","","","0.2","93","","",""
"864","18640016","0","","","","vo_fpc","21","","vo_fpc_86401",""
"865","18650001","","","","","se_10053800","23","","se_fpc_water_random",""
"865","18650002","-850","cmn_swm_flutterKick_floatRing","1.75","-125","1","1","13","110311","0"
"865","18650003","-1100","cmn_swm_flutterKick_floatRing","1.75","-250","1","1","33","113111","0"
"865","18650004","-850","cmn_swm_flutterKick_floatRing_pink","1.75","-125","1","5","12","1","0"
"865","18650005","-1100","cmn_swm_flutterKick_floatRing_blue","1.75","-250","1","5","32","2","0"
"865","18650006","-125","","1","1","7","31","-850","1",""
"865","18650007","-250","","1","1","1","31","-1100","2",""
"865","18650008","10","","","","110311","2","-125","1750",""
"865","18650009","10","","","","113111","2","-250","1500",""
"865","18650010","10","","","","1","2","-125","1750",""
"865","18650011","10","","","","2","2","-250","1500",""
"865","18650012","10","","","","1","33","-125","1750",""
"865","18650013","10","","","","2","33","-250","1500",""
"866","18660001","","","","","se_10053800","23","","se_fpc_water_random",""
"866","18660002","-850","cmn_swm_flutterKick_floatRing","1.75","-125","1","1","13","113411","0"
"866","18660003","-1100","cmn_swm_flutterKick_floatRing","1.75","-250","1","1","33","115711","0"
"866","18660004","-850","cmn_swm_flutterKick_floatRing_pink","1.75","-125","1","5","12","1","0"
"866","18660005","-1100","cmn_swm_flutterKick_floatRing_blue","1.75","-250","1","5","32","2","0"
"866","18660006","-125","","1","1","7","31","-850","1",""
"866","18660007","-250","","1","1","1","31","-1100","2",""
"866","18660008","10","","","","113411","2","-125","1750",""
"866","18660009","10","","","","115711","2","-250","1500",""
"866","18660010","10","","","","1","2","-125","1750",""
"866","18660011","10","","","","2","2","-250","1500",""
"866","18660012","10","","","","1","33","-125","1750",""
"866","18660013","10","","","","2","33","-250","1500",""
"867","18670001","","","","","se_10053800","23","","se_fpc_water_random",""
"867","18670002","-850","cmn_swm_tread","1.75","-125","1","1","13","113211","0"
"867","18670003","-1100","cmn_swm_tread","1.75","-250","1","1","33","127111","0"
"867","18670004","-850","cmn_swm_tread_pink","1.75","-125","1","5","12","1","0"
"867","18670005","-1100","cmn_swm_tread_blue","1.75","-250","1","5","32","2","0"
"867","18670006","-125","","1","1","13","31","-850","1",""
"867","18670007","-250","","1","1","3","31","-1100","2",""
"867","18670008","13.5","","","","113211","2","-125","1750",""
"867","18670009","13.5","","","","127111","2","-250","1500",""
"867","18670010","13.5","","","","1","2","-125","1750",""
"867","18670011","13.5","","","","2","2","-250","1500",""
"867","18670012","13.5","","","","1","33","-125","1750",""
"867","18670013","13.5","","","","2","33","-250","1500",""
"868","18680001","","","","","se_10053800","23","","se_fpc_water_random",""
"868","18680002","-850","cmn_swm_diving","1.75","-125","1","1","12","117011","0"
"868","18680003","-1100","cmn_swm_diving","1.75","-180","1","1","22","117111","0"
"868","18680004","-125","","1","1","9","31","-850","1",""
"868","18680005","-180","","1","1","9","31","-1100","2",""
"868","18680006","13.5","","","","117011","2","-125","1750",""
"868","18680007","13.5","","","","117111","2","-180","1500",""
"868","18680008","13.5","","","","1","33","-125","1750",""
"868","18680009","13.5","","","","2","33","-180","1500",""
"869","18690001","","","","","se_10053800","23","","se_fpc_water_random",""
"869","18690002","-850","cmn_swm_flutterKick_floatRing","1.75","-125","1","1","13","110511","0"
"869","18690003","-1100","cmn_swm_flutterKick_floatRing","1.75","-250","1","1","33","110011","0"
"869","18690004","-850","cmn_swm_flutterKick_floatBoad","1.75","-125","1","5","12","1","0"
"869","18690005","-1100","cmn_swm_flutterKick_floatBoad_blue","1.75","-250","1","5","32","2","0"
