3629a4e6b4600be2edb629b685e165598f5ebb5019b82d9f3f7fa01b4d29dba2,9e705d0a42bf769dc12ff19b3a9cdb192c2cf25632591e66d50c344ee4ba4230,fc0b2a1e48d8b44d948fbe81c9fb37a33ed18a398df5dec18d082ff5e19de92d,81e00ea312fbc27fdc60a1dd15b976ff200db81df9021977285aca859a364cb0,d2130ad12b1fbb0baa31a82a48a6a7f6762958c8d565d1e5b400377e6cf00140,be7b5f495685a35281c3675aaa500281a2764d5d543abb2c5ffcf7e582f13c5f,203a03fb00fefcea1e9f98007bf78a83b42b6c0cde72a35c93e91f9e9c0cb480,0a7bfbcc1c6c03b56f76bd0f0fd5a01c9bf4bc90f65b4459ae65a5c4bd5d3ba5,67a603451dd91042122c9f174c49cbc277e7d43db3216fff9e4bbc31127ebc76,1df6bc84a7027cb3bd9dcca5117a0beab51cb7c061618d94d248c9b78e4eb1f8,d63a16e1de3af1bf5eed34c7d491199ff2fc2d199db3705306fd2d23ba548000
"1050059","","0.2","3","","112511","5","omp_talk_normal","","1",""
"1050060","","","91","","1050057","5","","","",""
"1050061","","0","3","","112511","5","omp_idle_normal","","1",""
"1050062","","0","3","","112611","5","omp_talk_joy2","","1",""
"1050063","","","21","0","vo_omp_7005","5","vo_omp_7005_010","","0",""
"1050064","","","11","1","112611","5","嗯！\n謝謝妳，澀凜凜！！","1","10",""
"1050065","","","91","","0","5","","","",""
"1050066","","","93","","0.4","5","","","",""
"1060001","omp_talk_normal","1.8","1","-180","1","6","112511","-195","1600","0"
"1060002","omp_idle_normal","1.8","1","20","1","6","112411","-190","1500","1"
"1060003","omp_idle_normal","1.8","1","220","1","6","112611","-205","1600","1"
"1060004","","1","31","0","1","6","1","1","0",""
"1060005","","","93","","1","6","","","",""
"1060006","","","21","0","vo_omp_7006","6","vo_omp_7006_000","","0",""
"1060007","","","11","1","112511","6","卯月……\n今天的練習，\n妳很有幹勁呢。","1","10",""
"1060008","","","91","","0","6","","","",""
"1060009","","0","3","","112511","6","omp_idle_normal","","1",""
"1060010","","0","3","","112611","6","omp_talk_joy1","","1",""
"1060011","","","21","0","vo_omp_7006","6","vo_omp_7006_001","","0",""
"1060012","","","11","1","112611","6","嗯嗯！\n就連一起練習的我\n都看得出神了～！\n發生什麼事了嗎，島村村？","1","10",""
"1060013","","","91","","0","6","","","",""
"1060014","","","4","","112411","6","0","","",""
"1060015","","0","3","","112611","6","omp_idle_joy1","","1",""
"1060016","","0","3","","112411","6","omp_talk_joy1","","1",""
"1060017","","","21","0","vo_omp_7006","6","vo_omp_7006_002","","0",""
"1060018","","","11","1","112411","6","欸嘿嘿，謝謝妳們！\n嗯……","1","10",""
"1060019","","","91","","0","6","","","",""
"1060020","","0","3","","112411","6","omp_talk_normal","","1",""
"1060021","","","21","0","vo_omp_7006","6","vo_omp_7006_003","","0",""
"1060022","","","11","1","112411","6","我早上一個人練習時，\n有個散步經過的人\n對我說：\n「妳一直都很努力呢」。","1","10",""
"1060023","","","91","","0","6","","","",""
"1060024","","0","3","","112411","6","omp_talk_thinking","","1",""
"1060025","","","21","0","vo_omp_7006","6","vo_omp_7006_004","","0",""
"1060026","","","11","1","112411","6","對那個人來說或許就是\n一句不經意的話，\n卻讓我非常的開心。","1","10",""
"1060027","","","91","","0","6","","","",""
"1060028","","0","3","","112411","6","omp_talk_normal2","","1",""
"1060029","","","21","0","vo_omp_7006","6","vo_omp_7006_005","","0",""
"1060030","","","11","1","112411","6","所以我想要更加更加努力，\n呈現出最棒的表演，\n希望能藉此回應\n他的那句話……","1","10",""
"1060031","","","91","","0","6","","","",""
"1060032","","0","3","","112411","6","omp_idle_calm","","1",""
"1060033","","0","3","","112611","6","omp_talk_sad","","1",""
"1060034","","","21","0","vo_omp_7006","6","vo_omp_7006_006","","0",""
"1060035","","","11","1","112611","6","島村村……！","1","10",""
"1060036","","","91","","0","6","","","",""
"1060037","","","4","","112411","6","1","","",""
"1060038","","0","3","","112611","6","omp_idle_sad","","1",""
"1060039","","0","3","","112511","6","omp_talk_thinking","","1",""
"1060040","","","21","0","vo_omp_7006","6","vo_omp_7006_007","","0",""
"1060041","","","11","1","112511","6","這樣啊，\n既然卯月這樣想，\n我們也會一起努力的！\n未央也是這樣想的吧？","1","10",""
"1060042","","","91","","0","6","","","",""
"1060043","","","4","","112411","6","0","","",""
"1060044","","0","3","","112511","6","omp_idle_thinking","","1",""
"1060045","","0","3","","112611","6","omp_talk_joy1","","1",""
"1060046","","","21","0","vo_omp_7006","6","vo_omp_7006_008","","0",""
"1060047","","","11","1","112611","6","嗯！接下來也三個人\n一起繼續努力吧！\n島村村、澀凜凜！","1","10",""
"1060048","","","91","","0","6","","","",""
"1060049","","","4","","112411","6","1","","",""
"1060050","","0","3","","112611","6","omp_idle_joy1","","1",""
"1060051","","0","3","","112411","6","omp_talk_joy2","","1",""
"1060052","","","21","0","vo_omp_7006","6","vo_omp_7006_009","","0",""
"1060053","","","11","1","112411","6","小凜、未央……！好的！\n讓我們【new generations】\n一起以最棒的偶像為目標努力吧！","1","10",""
"1060054","","","93","","1.2","6","1","","",""
"1060055","","","4","","112411","6","0","","",""
"1060056","","","91","","1060053","6","","","",""
"1060057","","","2","0","112511","6","-180","1","-195",""
"1060058","","","2","0","112411","6","0","1","-190",""
"1060059","","","2","0","112611","6","180","1","-195",""
"1060060","","0.1","3","","112511","6","omp_psn_dicision_rin","","0",""
"1060061","","0.1","3","","112411","6","omp_psn_dicision_uduki","","0",""
"1060062","","0.1","3","","112611","6","omp_psn_dicision_mio","","0",""
"1060063","","1","31","0","2","6","2","1","0",""
"1060064","","","91","","1060062","6","","","",""
"1060065","","","93","","0.6","6","","","",""
"1070001","omp_idle_normal","1.8","1","-100","1","7","105831","-205","1600","0"
"1070002","omp_idle_normal","1.8","1","-390","1","7","105931","-225","1600","0"
"1070003","omp_idle_normal","1.8","1","-260","1","7","106031","-190","1500","0"
"1070004","omp_idle_normal","1.8","1","250","1","7","112511","-185","1500","1"
"1070005","omp_idle_normal","1.8","1","385","1","7","112411","-220","1600","1"
"1070006","omp_idle_normal","1.8","1","100","1","7","112611","-195","1600","1"
"1070007","","1","31","0","1","7","1","1","0",""
"1070008","","","93","","0.2","7","","","",""
"1070009","","0.1","3","","112611","7","omp_idle_normal","","1",""
"1070010","","0","3","","112411","7","omp_talk_normal","","1",""
"1070011","","0.1","3","","112511","7","omp_idle_normal","","1",""
"1070012","","0.1","3","","105831","7","omp_idle_normal","","1",""
"1070013","","","93","","0.1","7","","","",""
"1070014","","","93","","1","7","","","",""
"1070015","","","21","0","vo_omp_7007","7","vo_omp_7007_000","","0",""
"1070016","","","11","1","112411","7","現在想想……一開始的\n快閃演唱會實在是很緊張呢。","1","10",""
"1070017","","","91","","0","7","","","",""
"1070018","","0.1","3","","112411","7","omp_idle_normal","","1",""
"1070019","","0.1","3","","105831","7","omp_talk_normal","","1",""
"1070020","","","21","0","vo_omp_7007","7","vo_omp_7007_001","","0",""
"1070021","","","11","1","105831","7","看得出來妳們很緊張，\n總覺得連我們都緊張起來，\n感覺腸胃都揪在一起了～","1","10",""
"1070022","","","91","","0","7","","","",""
"1070023","","0","3","","105831","7","omp_idle_normal","","1",""
"1070024","","0","3","","105931","7","omp_talk_worry","","1",""
"1070025","","","21","0","vo_omp_7007","7","vo_omp_7007_002","","0",""
"1070026","","","11","1","105931","7","如果是貪吃佩可小姐的話，\n也有可能是空腹才會造成\n腸胃揪在一起的……","1","10",""
"1070027","","","91","","0","7","","","",""
"1070028","","0","3","","105931","7","omp_idle_worry","","1",""
"1070029","","0","3","","106031","7","omp_talk_normal","","1",""
"1070030","","","21","0","vo_omp_7007","7","vo_omp_7007_003","","0",""
"1070031","","","11","1","106031","7","不過的確是呢，當時\n卯月妳們的快閃演唱會\n真的是表演得慘不忍睹呢！","1","10",""
"1070032","","","91","","0","7","","","",""
"1070033","","0","3","","106031","7","omp_idle_normal","","1",""
"1070034","","0","3","","112611","7","omp_talk_worry","","1",""
"1070035","","","21","0","vo_omp_7007","7","vo_omp_7007_004","","0",""
"1070036","","","11","1","112611","7","真是的，凱留凱留～\n不要那樣說嘛～！\n我們自己也很清楚啦～","1","10",""
"1070037","","","91","","0","7","","","",""
"1070038","","0","3","","112611","7","omp_idle_worry","","1",""
"1070039","","0","3","","105931","7","omp_talk_normal2","","1",""
"1070040","","","21","0","vo_omp_7007","7","vo_omp_7007_005","","0",""
"1070041","","","11","1","105931","7","可是，自己振作起來\n再次站上舞台的身姿……\n讓在下十分感動。","1","10",""
"1070042","","","91","","0","7","","","",""
"1070043","","0","3","","105931","7","omp_idle_calm","","1",""
"1070044","","0","3","","112511","7","omp_talk_normal2","","1",""
"1070045","","","21","0","vo_omp_7007","7","vo_omp_7007_006","","0",""
"1070046","","","11","1","112511","7","畢竟我們才不會因為那點小挫折\n就止步不前呢。\n我一直相信卯月和未央\n都一定能振作起來的。","1","10",""
"1070047","","","91","","0","7","","","",""
