12158744c0e9a09557e8f75b3217734adf37f127c4fb7642e02de528b419dcdc,713c0708f5427079d6157878a730710930829d3fba180797e9dbe4d3f6926dc8,2168a9a8dd498680a69d2cb78d50c42e78b921d4c7dff6667a54d2e240e5c16f,5ca9f84675026cfd16dc8b972685cfb0ff7393303c285cf27e111c4ebb2a7189,0e13624b308dfc96478f3db0d75ceaa2a35ee3ca702571519b9e521ad1d28965
"63","1000000","100311","12","94002"
"64","400","100312","2","20004"
"65","300","100313","2","20004"
"66","200","100314","2","20004"
"67","1000000","100315","12","94002"
"68","1000000","100316","12","94002"
"69","1000000","100317","12","94002"
"70","400","100318","2","20004"
"71","300","100319","2","20004"
"72","200","100320","2","20004"
"73","1000000","100321","12","94002"
"74","1000000","100322","12","94002"
"75","1000000","100323","12","94002"
"76","400","100324","2","20004"
"77","300","100325","2","20004"
"78","200","100326","2","20004"
"79","5000000","100401","12","94002"
"80","2000","100402","2","90008"
"81","20","100403","2","25001"
"82","2500","100404","2","90008"
"83","30","100405","2","25001"
"84","300","100406","8","91002"
"85","1","100407","2","41000"
"86","5000000","100408","12","94002"
"87","1000000","100409","12","94002"
"88","1000000","100410","12","94002"
"89","1000000","100411","12","94002"
"90","400","100412","2","20004"
"91","300","100413","2","20004"
"92","200","100414","2","20004"
"93","1000000","100415","12","94002"
"94","1000000","100416","12","94002"
"95","1000000","100417","12","94002"
"96","400","100418","2","20004"
"97","300","100419","2","20004"
"98","200","100420","2","20004"
"99","1000000","100421","12","94002"
"100","1000000","100422","12","94002"
"101","1000000","100423","12","94002"
"102","400","100424","2","20004"
"103","300","100425","2","20004"
"104","200","100426","2","20004"
"105","5000000","100501","12","94002"
"106","2000","100502","2","90008"
"107","20","100503","2","25001"
"108","2500","100504","2","90008"
"109","30","100505","2","25001"
"110","300","100506","8","91002"
"111","1","100507","2","41000"
"112","5000000","100508","12","94002"
"113","1000000","100509","12","94002"
"114","1000000","100510","12","94002"
"115","1000000","100511","12","94002"
"116","400","100512","2","20004"
"117","300","100513","2","20004"
"118","200","100514","2","20004"
"119","1000000","100515","12","94002"
"120","1000000","100516","12","94002"
"121","1000000","100517","12","94002"
"122","400","100518","2","20004"
"123","300","100519","2","20004"
"124","200","100520","2","20004"
"125","1000000","100521","12","94002"
"126","1000000","100522","12","94002"
"127","1000000","100523","12","94002"
"128","400","100524","2","20004"
"129","300","100525","2","20004"
"130","200","100526","2","20004"
"131","5000000","100601","12","94002"
"132","2000","100602","2","90008"
"133","20","100603","2","25001"
"134","2500","100604","2","90008"
"135","30","100605","2","25001"
"136","300","100606","8","91002"
"137","1","100607","2","41000"
"138","5000000","100608","12","94002"
"139","1000000","100609","12","94002"
"140","1000000","100610","12","94002"
"141","1000000","100611","12","94002"
"142","400","100612","2","20004"
"143","300","100613","2","20004"
"144","200","100614","2","20004"
"145","1000000","100615","12","94002"
"146","1000000","100616","12","94002"
"147","1000000","100617","12","94002"
"148","400","100618","2","20004"
"149","300","100619","2","20004"
"150","200","100620","2","20004"
"151","1000000","100621","12","94002"
"152","1000000","100622","12","94002"
"153","1000000","100623","12","94002"
"154","400","100624","2","20004"
"155","300","100625","2","20004"
"156","200","100626","2","20004"
"157","5000000","100701","12","94002"
"158","2000","100702","2","90008"
"159","20","100703","2","25001"
"160","2500","100704","2","90008"
"161","30","100705","2","25001"
"162","300","100706","8","91002"
"163","1","100707","2","41000"
"164","5000000","100708","12","94002"
"165","1000000","100709","12","94002"
"166","1000000","100710","12","94002"
"167","1000000","100711","12","94002"
"168","400","100712","2","20004"
"169","300","100713","2","20004"
"170","200","100714","2","20004"
"171","1000000","100715","12","94002"
"172","1000000","100716","12","94002"
"173","1000000","100717","12","94002"
"174","400","100718","2","20004"
"175","300","100719","2","20004"
"176","200","100720","2","20004"
"177","1000000","100721","12","94002"
"178","1000000","100722","12","94002"
"179","1000000","100723","12","94002"
"180","400","100724","2","20004"
"181","300","100725","2","20004"
"182","200","100726","2","20004"
"183","5000000","100801","12","94002"
"184","2000","100802","2","90008"
"185","20","100803","2","25001"
"186","2500","100804","2","90008"
"187","30","100805","2","25001"
"188","300","100806","8","91002"
"189","1","100807","2","41000"
"190","5000000","100808","12","94002"
"191","1000000","100809","12","94002"
"192","1000000","100810","12","94002"
"193","1000000","100811","12","94002"
"194","400","100812","2","20004"
"195","300","100813","2","20004"
"196","200","100814","2","20004"
"197","1000000","100815","12","94002"
"198","1000000","100816","12","94002"
"199","1000000","100817","12","94002"
"200","400","100818","2","20004"
"201","300","100819","2","20004"
"202","200","100820","2","20004"
"203","1000000","100821","12","94002"
"204","1000000","100822","12","94002"
"205","1000000","100823","12","94002"
"206","400","100824","2","20004"
"207","300","100825","2","20004"
"208","200","100826","2","20004"
"209","5000000","100901","12","94002"
"210","2000","100902","2","90008"
"211","20","100903","2","25001"
"212","2500","100904","2","90008"
"213","30","100905","2","25001"
"214","300","100906","8","91002"
"215","1","100907","2","41000"
"216","5000000","100908","12","94002"
"217","1000000","100909","12","94002"
"218","1000000","100910","12","94002"
"219","1000000","100911","12","94002"
"220","400","100912","2","20004"
"221","300","100913","2","20004"
"222","200","100914","2","20004"
"223","1000000","100915","12","94002"
"224","1000000","100916","12","94002"
"225","1000000","100917","12","94002"
"226","400","100918","2","20004"
"227","300","100919","2","20004"
"228","200","100920","2","20004"
"229","1000000","100921","12","94002"
"230","1000000","100922","12","94002"
"231","1000000","100923","12","94002"
"232","400","100924","2","20004"
"233","300","100925","2","20004"
"234","200","100926","2","20004"
