46f7ae3a9a58d50beceecc02ccd1ecce51ee855f14fb2a10d961733daeafa952,ccef9b51c69ba03a7c429a51cd4bf96190953deebbc4cb3325384175daf855d8,2bff4fef308deca7ce70b98bab1aac2b5fc1ccad008af2226bcaf97abd833dd8,946e59cede6e171eb6f9114763760c36011bb92a63c4a87f40633b1111d76a72,681a05472fb19b3311a7c4c8f6b4a9942ad04c5a7f8e5249b94c265f0843bf4e,8fa632a9cd8072c50ee03b0764bb7142e19d313d0cfcbd21519470369b1e9f78,27fbcd48d544c4a16e294f780460b51c0e2ef66de5714a1310a5e04bd876fe72,3e236330ec9bb3139134351dc247d4358874d89dc812e3eac3994ea36393fb72,760c335153bb76c710847c119c034a1c41094287c2abd2bcc42c43062bd3fdbf,defc272fa963be2eb1bfb0132df3e6aaa6ab8b8dbfd3b342bd4ebddf922fc1ef,8e385d78c2d5e195fedccbfbb901d64196a8b7dc3dc6ac640a5e1f549fb6d258
"0.85","-230","1007401","","-18","123","","31","0","23","1007401005"
"-220","110","1007401","0","-200","11","NoItem","5","1.7","1","1007401006"
"-220","105","1007401","0","-200","12","NoItem","5","1.7","1","1007401007"
"-220","110","1007401","1","185","21","NoItem","5","1.7","1","1007401008"
"-220","105","1007401","1","185","22","NoItem","5","1.7","1","1007401009"
"0","1","1007401","0","1","1","","6","0","11","1007401010"
"0","1","1007401","0","1","1","","6","0","12","1007401011"
"0","1","1007401","0","1","1","","6","0","21","1007401012"
"0","1","1007401","0","1","1","","6","0","22","1007401013"
"-220","110","1007401","0","-1000","31","NoItem","5","1.7","1","1007401014"
"","","1007401","","","","","91","","0","1007401015"
"","1","1007401","","","mhp_sit_talk_normal","","3","0.2","117531","1007401016"
"","0","1007401","","0","vo_mhp_4001","","21","","vo_mhp_1007401","1007401017"
"0","7","1007401","0","0","下一位請進～","0.5","11","0","117531","1007401018"
"","","1007401","","","","","91","","0","1007401019"
"","1","1007401","","","mhp_sit_idle","","3","0.2","117531","1007401020"
"","1","1007401","","","mhp_anna_walk_sad","","3","0.2","100211","1007401021"
"0","-220","1007401","","4","-200","","2","","100211","1007401022"
"","1","1007401","","","NoItem","","3","0.2","31","1007401023"
"0","-220","1007401","","4","-200","","2","","31","1007401024"
"","","1007401","","","","","91","","0","1007401025"
"1","0","1007401","0.2","mhp_sit_idle_sad","mhp_sit_in_sad","","3","0.2","100211","1007401026"
"","","1007401","","","","","93","","1","1007401027"
"","1","1007401","","","mhp_sit_talk_sad","","3","0.2","100211","1007401028"
"","0","1007401","","0","vo_mhp_4002","","21","","vo_mhp_1007401","1007401029"
"0","7","1007401","0","1","那、那個……久疏問候，好久不見。","0.5","11","0","100211","1007401030"
"","","1007401","","","","","91","","0","1007401031"
"","1","1007401","","","mhp_sit_idle_sad","","3","0.2","100211","1007401032"
"","1","1007401","","","mhp_sit_talk_normal","","3","0.2","117531","1007401033"
"","0","1007401","","0","vo_mhp_4003","","21","","vo_mhp_1007401","1007401034"
"0","6","1007401","0","1","好久不見，優衣。\n上次見面是在大家\n一起去大江戶町的那時候呢。","0.5","11","0","117531","1007401035"
"","","1007401","","","","","91","","0","1007401036"
"","1","1007401","","","mhp_sit_idle","","3","0.2","117531","1007401037"
"","1","1007401","","","mhp_sit_talk_memory","","3","0.2","100211","1007401038"
"","1","1007401","","","mhp_yui_sit_talk_memory","","3","0","31","1007401039"
"","0","1007401","","0","vo_mhp_4004","","21","","vo_mhp_1007401","1007401040"
"0","3","1007401","0","1","是啊，那時候雖然很辛苦，\n卻過得很開心呢，\n真想再去泡溫泉──\n溫、泉……啊，啊……","1.5","11","0","100211","1007401041"
"","","1007401","","","1","","93","","14","1007401042"
"","1","1007401","","","mhp_yui_hot","","3","0.2","100211","1007401043"
"","1","1007401","","","mhp_yui_hot","","3","0.2","31","1007401044"
"","","1007401","","","1","","32","","123","1007401045"
"","","1007401","","","se_10031400_love","","23","","se_10031400","1007401046"
"","","1007401","","","","","91","","1007401041","1007401047"
"","","1007401","","","0","","93","","3","1007401048"
"","1","1007401","","","mhp_sit_talk_worry","","3","0.2","117531","1007401049"
"","0","1007401","","0","vo_mhp_4005","","21","","vo_mhp_1007401","1007401050"
"0","6","1007401","0","1","怎麼了？妳的臉很紅喔？","0.5","11","0","117531","1007401051"
"","","1007401","","","","","91","","0","1007401052"
"","","1007401","","","0","","32","","123","1007401053"
"","1","1007401","","","mhp_sit_idle","","3","0.2","117531","1007401054"
"","1","1007401","","","mhp_yui_sit_talk_worry","","3","0.2","100211","1007401055"
"","1","1007401","","","NoItem","","3","0.2","31","1007401056"
"","0","1007401","","0","vo_mhp_4006","","21","","vo_mhp_1007401","1007401057"
"0","3","1007401","0","1","關、關於這個，\n我最近經常臉頰突然發燙……\n這是什麼疾病嗎？","0.5","11","0","100211","1007401058"
"","","1007401","","","","","91","","0","1007401059"
"0","1","1007401","","","mhp_yui_sit_idle_sad","","3","0.2","100211","1007401060"
"0","1","1007401","","","mhp_sit_talk_thinking","","3","0.2","117531","1007401061"
"","0","1007401","","0","vo_mhp_4007","","21","","vo_mhp_1007401","1007401062"
"0","4","1007401","0","1","我沒有辦法馬上斷定，\n但那說不定是很嚴重的疾病，\n而且還是不治之症呢。","0.5","11","0","117531","1007401063"
"","","1007401","","","","","91","","0","1007401064"
"","1","1007401","","","mhp_sit_idle_thinking","","3","0.2","117531","1007401065"
"","1","1007401","","","mhp_yui_sit_talk_sad","","3","0.2","100211","1007401066"
"","0","1007401","","0","vo_mhp_4008","","21","","vo_mhp_1007401","1007401067"
"0","8","1007401","0","1","怎麼會……","0.5","11","0","100211","1007401068"
"","","1007401","","","","","91","","0","1007401069"
"","1","1007401","","","mhp_yui_sit_idle_sad","","3","0.2","100211","1007401070"
"","1","1007401","","","mhp_sit_talk_normal","","3","0.2","117531","1007401071"
"","0","1007401","","0","vo_mhp_4009","","21","","vo_mhp_1007401","1007401072"
"0","4","1007401","0","1","一般來說是不會危及性命，\n但要是拖得太久，可就麻煩了，\n所以今天就先──","0.5","11","0","117531","1007401073"
"","","1007401","","","","","91","","0","1007401074"
"","","1007401","","","0","","22","","0","1007401075"
"","0","1007401","","","1007401079","","103","","拿條冷毛巾敷在額頭上。","1007401076"
"","0","1007401","","","1007401125","","103","","放空腦袋好好休息。","1007401077"
"","0","1007401","","","1007401142","","103","","我開個特製的中藥給妳。","1007401078"
"1","0","1007401","0","mhp_idle_normal","mhp_sit_out","","3","0.2","117531","1007401079"
"","","1007401","","","0","","93","","0.6","1007401080"
"1","0","1007401","0","mhp_idle_normal","mhp_sit_out","","3","0.2","100211","1007401081"
"","","1007401","","","0","","93","","0.2","1007401082"
"0","1","1007401","","","mhp_walk","","3","0.2","100211","1007401083"
"0","-220","1007401","","1.5","35","","2","","100211","1007401084"
"0","-220","1007401","","1.5","35","","2","","31","1007401085"
"0","-220","1007401","","1.5","35","","2","","11","1007401086"
"0","-220","1007401","","1.5","35","","2","","12","1007401087"
"","","1007401","","","0","","93","","0.3","1007401088"
"1","0","1007401","0","mhp_handover_loop","mhp_handover_in","","3","0.2","117531","1007401089"
"1","1","1007401","0","1","1","","6","0","21","1007401090"
"1","1","1007401","0","1","1","","6","0","22","1007401091"
"1","0","1007401","0","mhp_handover_loop","mhp_handover_in","","3","0.2","21","1007401092"
"1","0","1007401","0","mhp_item_EX0015_handover_loop","mhp_item_EX0015_handover_in","","3","0.2","22","1007401093"
"","","1007401","","","0","","93","","1.2","1007401094"
"1","0","1007401","0","mhp_handover_receive_loop","mhp_handover_receive_in","","3","0.2","100211","1007401095"
"1","1","1007401","0","1","1","","6","0","11","1007401096"
"1","1","1007401","0","1","1","","6","0","12","1007401097"
"1","0","1007401","0","mhp_receive_yui_loop","mhp_receive_yui_in","","3","0.2","11","1007401098"
"1","0","1007401","0","mhp_item_EX0015_receive_loop","mhp_item_EX0015_receive_in","","3","0.2","12","1007401099"
"","","1007401","","","0","","93","","0.6","1007401100"
"1","1","1007401","0","1","1","","6","0.4","22","1007401101"
"","","1007401","","","0","","93","","0.4","1007401102"
"1","0","1007401","0","mhp_idle_normal","mhp_handover_out","","3","0.2","117531","1007401103"
"1","0","1007401","0","NoItem_idle","mhp_handover_out","","3","0.2","21","1007401104"
"1","0","1007401","0","NoItem_idle","mhp_item_EX0015_handover_out","","3","0.2","22","1007401105"
"","","1007401","","","0","","93","","0.4","1007401106"
"1","0","1007401","0","mhp_idle_normal","mhp_handover_receive_out","","3","0.2","100211","1007401107"
"1","0","1007401","0","NoItem_idle","mhp_receive_yui_out","","3","0.2","11","1007401108"
"1","0","1007401","0","NoItem_idle","mhp_item_EX0015_receive_out","","3","0.2","12","1007401109"
"","","1007401","","","0","","93","","2","1007401110"
"","1","1007401","","","mhp_talk_worry","","3","0.2","100211","1007401111"
"","0","1007401","","0","vo_mhp_4010","","21","","vo_mhp_1007401","1007401112"
"0","6","1007401","0","1","這、這樣就能治好了嗎？","0.5","11","0","100211","1007401113"
"","","1007401","","","","","91","","0","1007401114"
"","1","1007401","","","mhp_idle_worry","","3","0.2","100211","1007401115"
"","1","1007401","","","mhp_talk_normal","","3","0.2","117531","1007401116"
"","0","1007401","","0","vo_mhp_4011","","21","","vo_mhp_1007401","1007401117"
"0","5","1007401","0","1","不，這單純是症狀治療喔。\n但現在這樣就夠了，\n如果有什麼問題，妳就再來吧。","0.5","11","0","117531","1007401118"
"","","1007401","","","","","91","","0","1007401119"
"","","1007401","","","0","","22","","0","1007401120"
"1","0","1007401","0.2","mhp_sit_idle","mhp_sit_in","","3","0.2","117531","1007401121"
"","0","1007401","","","mhp_yui_pekori","","3","0.2","100211","1007401122"
"","","1007401","","","","","91","","0","1007401123"
"","","1007401","","","","","101","","1007401186","1007401124"
"","1","1007401","","","mhp_sit_idle","","3","0.2","117531","1007401125"
"","1","1007401","","","mhp_sit_talk_worry","","3","0.2","100211","1007401126"
"","0","1007401","","0","vo_mhp_4012","","21","","vo_mhp_1007401","1007401127"
"0","11","1007401","0","1","那個，不需要吃藥之類的嗎……","0.5","11","0","100211","1007401128"
"","","1007401","","","","","91","","0","1007401129"
"","1","1007401","","","mhp_sit_idle_sad","","3","0.2","100211","1007401130"
"","1","1007401","","","mhp_sit_talk_thinking","","3","0.2","117531","1007401131"
"","0","1007401","","0","vo_mhp_4013","","21","","vo_mhp_1007401","1007401132"
"0","5","1007401","0","1","不需要喔。想太多對身體不好，\n所以在生活中保持平靜的心靈，\n就是最好的方法。","0.5","11","0","117531","1007401133"
"","","1007401","","","","","91","","0","1007401134"
"","","1007401","","","0","","22","","0","1007401135"
"","1","1007401","","","mhp_sit_idle","","3","0.2","117531","1007401136"
"","0","1007401","","","mhp_yui_sit_pekori","","3","0.2","100211","1007401137"
"","","1007401","","","","","91","","0","1007401138"
"","0","1007401","","","mhp_sit_out","","3","0.2","100211","1007401139"
"","","1007401","","","","","91","","0","1007401140"
"","","1007401","","","","","101","","1007401186","1007401141"
"1","0","1007401","0","mhp_idle_normal","mhp_sit_out","","3","0.2","117531","1007401142"
"","","1007401","","","0","","93","","0.6","1007401143"
"1","0","1007401","0","mhp_idle_normal","mhp_sit_out","","3","0.2","100211","1007401144"
"","","1007401","","","0","","93","","0.2","1007401145"
"0","1","1007401","","","mhp_walk","","3","0.2","100211","1007401146"
"0","-220","1007401","","1.5","35","","2","","100211","1007401147"
"0","-220","1007401","","1.5","35","","2","","31","1007401148"
"0","-220","1007401","","1.5","35","","2","","11","1007401149"
"0","-220","1007401","","1.5","35","","2","","12","1007401150"
"","","1007401","","","0","","93","","0.3","1007401151"
"1","0","1007401","0","mhp_handover_loop","mhp_handover_in","","3","0.2","117531","1007401152"
"1","1","1007401","0","1","1","","6","0","21","1007401153"
"1","1","1007401","0","1","1","","6","0","22","1007401154"
"1","0","1007401","0","mhp_handover_loop","mhp_handover_in","","3","0.2","21","1007401155"
"1","0","1007401","0","mhp_item_EX0007_handover_loop","mhp_item_EX0007_handover_in","","3","0.2","22","1007401156"
"","","1007401","","","0","","93","","1.2","1007401157"
"1","0","1007401","0","mhp_handover_receive_loop","mhp_handover_receive_in","","3","0.2","100211","1007401158"
"1","1","1007401","0","1","1","","6","0","11","1007401159"
"1","1","1007401","0","1","1","","6","0","12","1007401160"
"1","0","1007401","0","mhp_receive_yui_loop","mhp_receive_yui_in","","3","0.2","11","1007401161"
"1","0","1007401","0","mhp_item_EX0007_receive_loop","mhp_item_EX0007_receive_in","","3","0.2","12","1007401162"
"","","1007401","","","0","","93","","0.6","1007401163"
"1","1","1007401","0","1","1","","6","0.4","22","1007401164"
"","","1007401","","","0","","93","","0.4","1007401165"
"1","0","1007401","0","mhp_idle_normal","mhp_handover_out","","3","0.2","117531","1007401166"
"1","0","1007401","0","NoItem_idle","mhp_handover_out","","3","0.2","21","1007401167"
"1","0","1007401","0","NoItem_idle","mhp_item_EX0007_handover_out","","3","0.2","22","1007401168"
"","","1007401","","","0","","93","","0.4","1007401169"
"1","0","1007401","0","mhp_idle_normal","mhp_handover_receive_out","","3","0.2","100211","1007401170"
"1","0","1007401","0","NoItem_idle","mhp_receive_yui_out","","3","0.2","11","1007401171"
"1","0","1007401","0","NoItem_idle","mhp_item_EX0007_receive_out","","3","0.2","12","1007401172"
"","","1007401","","","0","","93","","2","1007401173"
"","1","1007401","","","mhp_talk_wish","","3","0.2","100211","1007401174"
"","0","1007401","","0","vo_mhp_4014","","21","","vo_mhp_1007401","1007401175"
"0","4","1007401","0","1","中藥……總覺得好像會很有效……\n謝謝妳，深月小姐。","0.5","11","0","100211","1007401176"
"","","1007401","","","","","91","","0","1007401177"
"","1","1007401","","","mhp_idle_wish","","3","0.2","100211","1007401178"
"","1","1007401","","","mhp_talk_thinking","","3","0.2","117531","1007401179"
"","0","1007401","","0","vo_mhp_4015","","21","","vo_mhp_1007401","1007401180"
"0","6","1007401","0","1","（但因為那是滋補身體的中藥，\n所以完全無關就是了。）","0.5","11","0","117531","1007401181"
"","","1007401","","","","","91","","0","1007401182"
"","","1007401","","","0","","22","","0","1007401183"
"1","0","1007401","0.2","mhp_sit_idle","mhp_sit_in","","3","0.2","117531","1007401184"
"","0","1007401","","","mhp_yui_pekori","","3","0.2","100211","1007401185"
"","","1007401","","","","","91","","0","1007401186"
"","1","1007401","","","mhp_walk","","3","0.2","100211","1007401187"
"","","1007401","","","1","","4","","100211","1007401188"
"0","-220","1007401","","5","-1000","","2","","100211","1007401189"
"","","1007401","","","0","","93","","4","1007401190"
"","1","1007401","","","mhp_sit_talk_worry","","3","0.2","117631","1007401191"
"","0","1007401","","0","vo_mhp_4016","","21","","vo_mhp_1007401","1007401192"
"0","4","1007401","0","1","醫生，那個人真的有生病嗎？","0.5","11","0","117631","1007401193"
"","","1007401","","","","","91","","0","1007401194"
"","1","1007401","","","mhp_sit_idle","","3","0.2","117631","1007401195"
"","1","1007401","","","mhp_sit_talk_thinking","","3","0.2","117531","1007401196"
"","0","1007401","","0","vo_mhp_4017","","21","","vo_mhp_1007401","1007401197"
"0","3","1007401","0","1","是啊，而且病得很重喔。\n得好好為她看病才行呢。\n呵呵，年輕真好呢。","0.5","11","","117531","1007401198"
"","","1007401","","","","","91","","0","1007401199"
"","","1007401","","","0.5","","22","","0","1007401200"
"","","1007401","","","","","91","","0","1007401201"
"-240","100","1007402","0","-1000","100211","mhp_idle_normal","1","1.7","1","1007402001"
"-220","100","1007402","1","185","117531","mhp_sit_idle","1","1.7","1","1007402002"
"-200","100","1007402","1","365","117631","mhp_sit_idle","1","1.7","1","1007402003"
"0.85","-240","1007402","","-154","1","","31","1","1","1007402004"
"-220","110","1007402","0","-200","11","NoItem","5","1.7","1","1007402005"
"-220","105","1007402","0","-200","12","NoItem","5","1.7","1","1007402006"
"-220","110","1007402","1","185","21","NoItem","5","1.7","1","1007402007"
"-220","105","1007402","1","185","22","NoItem","5","1.7","1","1007402008"
"0","1","1007402","0","1","1","","6","0","11","1007402009"
"0","1","1007402","0","1","1","","6","0","12","1007402010"
"0","1","1007402","0","1","1","","6","0","21","1007402011"
"0","1","1007402","0","1","1","","6","0","22","1007402012"
"-220","110","1007402","0","-1000","31","NoItem","5","1.7","1","1007402013"
"","","1007402","","","","","91","","0","1007402014"
"","1","1007402","","","mhp_sit_talk_normal","","3","0.2","117531","1007402015"
"","0","1007402","","0","vo_mhp_4101","","21","","vo_mhp_1007402","1007402016"
"0","5","1007402","0","0","優衣，請進～","0.5","11","0","117531","1007402017"
"","","1007402","","","","","91","","0","1007402018"
"","1","1007402","","","mhp_sit_idle","","3","0.2","117531","1007402019"
"","1","1007402","","","mhp_yui_walk_sad2","","3","0.2","100211","1007402020"
"0","-220","1007402","","4","-200","","2","","100211","1007402021"
"","","1007402","","","","","91","","0","1007402022"
"1","0","1007402","0.2","mhp_yui_sit_idle_sad","mhp_yui_sit_in_sad","","3","0.2","100211","1007402023"
"","","1007402","","","0","","93","","1","1007402024"
"","1","1007402","","","mhp_sit_talk_normal","","3","0.2","117531","1007402025"
"","0","1007402","","0","vo_mhp_4102","","21","","vo_mhp_1007402","1007402026"
"0","5","1007402","0","1","謝謝妳過來。\n妳今天是要問胸口不舒服的問題嗎？","0.5","11","0","117531","1007402027"
"","","1007402","","","","","91","","0","1007402028"
"","1","1007402","","","mhp_sit_idle","","3","0.2","117531","1007402029"
"","1","1007402","","","mhp_yui_sit_talk_surprise","","3","0.2","100211","1007402030"
"","0","1007402","","0","vo_mhp_4103","","21","","vo_mhp_1007402","1007402031"
"0","5","1007402","0","1","我、我什麼都還沒說耶！？\n真不愧是深月小姐……","0.5","11","0","100211","1007402032"
"","","1007402","","","","","91","","0","1007402033"
"","1","1007402","","","mhp_yui_sit_talk_sad","","3","0.2","100211","1007402034"
"","0","1007402","","0","vo_mhp_4104","","21","","vo_mhp_1007402","1007402035"
"0","3","1007402","0","1","是的，我的胸口難過得受不了……\n這、這果然是重病嗎？","0.5","11","0","100211","1007402036"
"","","1007402","","","","","91","","0","1007402037"
"","1","1007402","","","mhp_yui_sit_idle_sad","","3","0.2","100211","1007402038"
"","1","1007402","","","mhp_sit_talk_sad2","","3","0.2","117531","1007402039"
"","0","1007402","","0","vo_mhp_4105","","21","","vo_mhp_1007402","1007402040"
"0","4","1007402","0","1","我之前也說過了，\n這不會直接危及性命，\n但有時可能會痛苦到比死還要難受呢。","0.5","11","0","117531","1007402041"
"","","1007402","","","","","91","","0","1007402042"
"","1","1007402","","","mhp_sit_idle","","3","0.2","117531","1007402043"
"","1","1007402","","","mhp_yui_sit_talk_wish","","3","0.2","100211","1007402044"
"","0","1007402","","0","vo_mhp_4106","","21","","vo_mhp_1007402","1007402045"
"0","5","1007402","0","1","怎麼會……\n我、我該怎麼辦……","0.5","11","0","100211","1007402046"
"","","1007402","","","","","91","","0","1007402047"
"","1","1007402","","","mhp_yui_sit_idle_sad","","3","0.2","100211","1007402048"
"","1","1007402","","","mhp_sit_talk_wish","","3","0.2","117531","1007402049"
"","0","1007402","","0","vo_mhp_4107","","21","","vo_mhp_1007402","1007402050"
"0","6","1007402","0","1","沒事的，醫生就是為此存在的啊。\n好了，胸口不舒服就要──","0.5","11","0","117531","1007402051"
"","","1007402","","","","","91","","0","1007402052"
"","","1007402","","","0","","22","","0","1007402053"
"","0","1007402","","","1007402057","","103","","我開心悸的藥給妳吧。","1007402054"
"","0","1007402","","","1007402102","","103","","這是大江戶特產的甜點。","1007402055"
"","0","1007402","","","1007402147","","103","","去數羊吧。","1007402056"
"1","0","1007402","0","mhp_idle_normal","mhp_sit_out","","3","0.2","117531","1007402057"
"","","1007402","","","0","","93","","0.6","1007402058"
"1","0","1007402","0","mhp_idle_normal","mhp_sit_out","","3","0.2","100211","1007402059"
"","","1007402","","","0","","93","","0.2","1007402060"
"0","1","1007402","","","mhp_walk","","3","0.2","100211","1007402061"
"0","-220","1007402","","1.5","35","","2","","100211","1007402062"
"0","-220","1007402","","1.5","35","","2","","31","1007402063"
"0","-220","1007402","","1.5","35","","2","","11","1007402064"
"0","-220","1007402","","1.5","35","","2","","12","1007402065"
"","","1007402","","","0","","93","","0.3","1007402066"
"1","0","1007402","0","mhp_handover_loop","mhp_handover_in","","3","0.2","117531","1007402067"
"1","1","1007402","0","1","1","","6","0","21","1007402068"
"1","1","1007402","0","1","1","","6","0","22","1007402069"
"1","0","1007402","0","mhp_handover_loop","mhp_handover_in","","3","0.2","21","1007402070"
"1","0","1007402","0","mhp_item_EX0009_handover_loop","mhp_item_EX0009_handover_in","","3","0.2","22","1007402071"
"","","1007402","","","0","","93","","1.2","1007402072"
"1","0","1007402","0","mhp_handover_receive_loop","mhp_handover_receive_in","","3","0.2","100211","1007402073"
"1","1","1007402","0","1","1","","6","0","11","1007402074"
"1","1","1007402","0","1","1","","6","0","12","1007402075"
"1","0","1007402","0","mhp_receive_yui_loop","mhp_receive_yui_in","","3","0.2","11","1007402076"
"1","0","1007402","0","mhp_item_EX0009_receive_loop","mhp_item_EX0009_receive_in","","3","0.2","12","1007402077"
"","","1007402","","","0","","93","","0.6","1007402078"
"1","1","1007402","0","1","1","","6","0.4","22","1007402079"
"","","1007402","","","0","","93","","0.4","1007402080"
"1","0","1007402","0","mhp_idle_normal","mhp_handover_out","","3","0.2","117531","1007402081"
"1","0","1007402","0","NoItem_idle","mhp_handover_out","","3","0.2","21","1007402082"
"1","0","1007402","0","NoItem_idle","mhp_item_EX0009_handover_out","","3","0.2","22","1007402083"
"","","1007402","","","0","","93","","0.4","1007402084"
"1","0","1007402","0","mhp_idle_normal","mhp_handover_receive_out","","3","0.2","100211","1007402085"
"1","0","1007402","0","NoItem_idle","mhp_receive_yui_out","","3","0.2","11","1007402086"
"1","0","1007402","0","NoItem_idle","mhp_item_EX0009_receive_out","","3","0.2","12","1007402087"
"","","1007402","","","0","","93","","2","1007402088"
"","1","1007402","","","mhp_talk_sad","","3","0.2","100211","1007402089"
"","0","1007402","","0","vo_mhp_4108","","21","","vo_mhp_1007402","1007402090"
"0","5","1007402","0","1","領到藥後，我總覺得放心多了，\n希望這樣就能治好……","0.5","11","0","100211","1007402091"
"","","1007402","","","","","91","","0","1007402092"
"","1","1007402","","","mhp_idle_sad","","3","0.2","100211","1007402093"
"","1","1007402","","","mhp_idle_thinking","","3","0.2","117531","1007402094"
"","0","1007402","","0","vo_mhp_4109","","21","","vo_mhp_1007402","1007402095"
"0","6","1007402","0","1","（但那其實只是彈珠汽水糖就是了。\n如果不是真的生病，這麼做是最好的。）","0.5","11","0","117531","1007402096"
"","","1007402","","","","","91","","0","1007402097"
"","","1007402","","","0","","22","","0","1007402098"
"1","0","1007402","0.2","mhp_sit_idle","mhp_sit_in","","3","0.2","117531","1007402099"
"","","1007402","","","0","","93","","1","1007402100"
"","","1007402","","","","","101","","1007402160","1007402101"
"1","0","1007402","0","mhp_idle_normal","mhp_sit_out","","3","0.2","117531","1007402102"
"","","1007402","","","0","","93","","0.6","1007402103"
"1","0","1007402","0","mhp_idle_normal","mhp_sit_out","","3","0.2","100211","1007402104"
"","","1007402","","","0","","93","","0.2","1007402105"
"0","1","1007402","","","mhp_walk","","3","0.2","100211","1007402106"
"0","-220","1007402","","1.5","35","","2","","100211","1007402107"
"0","-220","1007402","","1.5","35","","2","","31","1007402108"
"0","-220","1007402","","1.5","35","","2","","11","1007402109"
"0","-220","1007402","","1.5","35","","2","","12","1007402110"
"","","1007402","","","0","","93","","0.3","1007402111"
"1","0","1007402","0","mhp_handover_loop","mhp_handover_in","","3","0.2","117531","1007402112"
"1","1","1007402","0","1","1","","6","0","21","1007402113"
"1","1","1007402","0","1","1","","6","0","22","1007402114"
"1","0","1007402","0","mhp_handover_loop","mhp_handover_in","","3","0.2","21","1007402115"
"1","0","1007402","0","mhp_item_EX0010_handover_loop","mhp_item_EX0010_handover_in","","3","0.2","22","1007402116"
"","","1007402","","","0","","93","","1.2","1007402117"
"1","0","1007402","0","mhp_handover_receive_loop","mhp_handover_receive_in","","3","0.2","100211","1007402118"
"1","1","1007402","0","1","1","","6","0","11","1007402119"
"1","1","1007402","0","1","1","","6","0","12","1007402120"
"1","0","1007402","0","mhp_receive_yui_loop","mhp_receive_yui_in","","3","0.2","11","1007402121"
"1","0","1007402","0","mhp_item_EX0010_receive_loop","mhp_item_EX0010_receive_in","","3","0.2","12","1007402122"
"","","1007402","","","0","","93","","0.6","1007402123"
"1","1","1007402","0","1","1","","6","0.4","22","1007402124"
"","","1007402","","","0","","93","","0.4","1007402125"
"1","0","1007402","0","mhp_idle_normal","mhp_handover_out","","3","0.2","117531","1007402126"
"1","0","1007402","0","NoItem_idle","mhp_handover_out","","3","0.2","21","1007402127"
"1","0","1007402","0","NoItem_idle","mhp_item_EX0010_handover_out","","3","0.2","22","1007402128"
"","","1007402","","","0","","93","","0.4","1007402129"
"1","0","1007402","0","mhp_idle_normal","mhp_handover_receive_out","","3","0.2","100211","1007402130"
"1","0","1007402","0","NoItem_idle","mhp_receive_yui_out","","3","0.2","11","1007402131"
"1","0","1007402","0","NoItem_idle","mhp_item_EX0010_receive_out","","3","0.2","12","1007402132"
"","","1007402","","","0","","93","","2","1007402133"
