381d93dfbc5b6f3c5b23d86ee7920f4c35593876899a62f58adfcc6c740e2ebf,0d59c00ead8790833df336bc9bd95a2a19870479ec9d3a3110b27b9f35f9abba,efe84ae461e44fe457d8af5c9252bec76d6e8788a448a95da97c808aa46c2731,28465a67450546f8d4dcf3161d787369061669ef5988bd9b1044e929ea6d715e,d68afc9df241f2e4e262dcaab9168d55c4c32f913ffab0ac1bc4aaf6f1b9cb27,2920161f29e35ed100a37f24864be52a8a50d0e03ad1cbf880494da71ec47b4a,1ea61c5414ad822185459989ac52ba83659f59c9e7f812bb09917a0a5e2c2fe9,986d041d24e4dbe3258642bae7cb83835393d01971b309cad4ee8a94f9bf6eae,af4fdb0ba7146fcd004a2b021ace9abece9726baed5588d5ffa9e420cfcaca8f,37b8b950602487c5d55004e7511c52f2d2ccd73671d1766f3f8c13494ead3742,535fdd46f2e9e642becf88e3d827194215480a1aa9db67c8b3b0003862e820c1
"6","21","122611","0","1","21005","0","0.5","日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？","11","0"
"","21","0","","","21006","","","","91",""
"1","21","122611","0.2","","21007","","","sjr_talk_idle","3",""
"0","21","122411","0.2","sjr_talk_guts2_joy_loop","21008","0","","sjr_talk_laugh_guts","3","0"
"0","21","vo_minigame_1010","","0","21009","","","vo_minigame_1010_top_talk_2_015","21",""
"5","21","122411","0","1","21010","0","0.5","妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪","11","0"
"","21","0","","","21011","","","","91",""
"1","21","122411","0.2","","21012","","","sjr_talk_idle","3",""
"100","22","1","1.65","72","22001","-194","sjr_talk_idle","122511","1","1"
"100","22","1","1.65","-72","22002","-194","sjr_talk_idle","122411","1","0"
"0","22","122511","0.2","sjr_talk_arm_crossed_normal_loop","22003","1","","sjr_talk_arm_crossed_normal","3","0"
"0","22","vo_minigame_1010","","0","22004","","","vo_minigame_1010_top_talk_2_016","21",""
"5","22","122511","0","1","22005","0","0.5","就算對手是日和，\n我也沒打算輸喔。","11","0"
"","22","0","","","22006","","","","91",""
"1","22","122511","0.2","","22007","","","sjr_talk_idle","3",""
"0","22","122411","0.2","sjr_talk_guts_loop","22008","1","","sjr_talk_guts","3","0"
"0","22","vo_minigame_1010","","0","22009","","","vo_minigame_1010_top_talk_2_017","21",""
"6","22","122411","0","1","22010","0","0.5","對手是怜的話，\n我也會\n火力全開喔！","11","0"
"","22","0","","","22011","","","","91",""
"1","22","122411","0.2","","22012","","","sjr_talk_idle","3",""
"100","23","1","1.65","72","23001","-194","sjr_talk_idle","122511","1","1"
"100","23","1","1.65","-72","23002","-194","sjr_talk_idle","122411","1","0"
"0","23","122411","0.2","sjr_talk_eieio_loop","23003","1","","sjr_talk_fun_eieio","3","0"
"0","23","vo_minigame_1010","","0","23004","","","vo_minigame_1010_top_talk_2_018","21",""
"5","23","122411","0","1","23005","0","0.5","夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！","11","0"
"","23","0","","","23006","","","","91",""
"1","23","122411","0.2","","23007","","","sjr_talk_idle","3",""
"1","23","122511","0.2","","23008","","","sjr_talk_mouth_hidden_sad","3",""
"0","23","vo_minigame_1010","","0","23009","","","vo_minigame_1010_top_talk_2_019","21",""
"6","23","122511","0","1","23010","0","0.5","老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？","11","0"
"","23","0","","","23011","","","","91",""
"1","23","122511","0.2","","23012","","","sjr_talk_idle","3",""
"0","23","122411","0.2","sjr_talk_arm_opened_guru","23013","1","","sjr_talk_arm_opened_joy_guru","3","0"
"0","23","vo_minigame_1010","","0","23014","","","vo_minigame_1010_top_talk_2_020","21",""
"4","23","122411","0","1","23015","0","0.5","沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？","11","0"
"","23","0","","","23016","","","","91",""
"1","23","122411","0.2","","23017","","","sjr_talk_idle","3",""
"100","24","1","1.65","72","24001","-194","sjr_talk_idle","122511","1","1"
"100","24","1","1.65","-72","24002","-194","sjr_talk_idle","122411","1","0"
"1","24","122411","0.2","","24003","","","sjr_talk_mouth_hidden_sad","3",""
"0","24","vo_minigame_1010","","0","24004","","","vo_minigame_1010_top_talk_2_021","21",""
"5","24","122411","0","1","24005","0","1","優衣不要緊吧～？\n希望她別跌倒\n就好了……","11","0"
"","24","0","","","24006","","","","91",""
"1","24","122411","0.2","","24007","","","sjr_talk_idle","3",""
"0","24","122511","0.2","sjr_talk_arm_crossed_joy_loop","24008","0","","sjr_talk_arm_crossed_normal_joy","3","0"
"0","24","vo_minigame_1010","","0","24009","","","vo_minigame_1010_top_talk_2_022","21",""
"4","24","122511","0","1","24010","0","0.5","不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。","11","0"
"","24","0","","","24011","","","","91",""
"1","24","122511","0.2","","24012","","","sjr_talk_idle","3",""
"1","24","122411","0.2","","24013","","","sjr_talk_laugh","3",""
"0","24","vo_minigame_1010","","0","24014","","","vo_minigame_1010_top_talk_2_023","21",""
"6","24","122411","0","1","24015","0","0.5","欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪","11","0"
"","24","0","","","24016","","","","91",""
"1","24","122411","0.2","","24017","","","sjr_talk_idle","3",""
