9a580ae5f36564dc71008039ad4f1bffe430647cf3cc761df624f5666d6b8c5d,90915ee43deb71d6762d0a443bc1c4160466544e0990046171ab3cb173bf7214,73744c5b8d1f475d221fefc0e11c9e083c0c419a005b8dbf6acc2b06be053d8e,70a09e21b89bdb043799ab6f1b36a499b5871ee0ccc3e3d9d1a11e4d2fcaabf6,115f36a970de090e016cefcef79daf15bd382093f5efda30e5c8dd3addd93fe3,2077fe527fea255c4b2baf9f99ee7e5f2643d09271a1883a41c1e8faa04a0081,593f935e1c3ee10542ee76f23a5870df39c3ed10e3ee5da77cd30e7400df290b,26145180aa64c556daeb24f15d5b8cdb7553a76a3141632adeb9c2928cb8d90c,1f99865e1bbe5ab291dc5c5cf4ceec6d3cf7bc26813ab5eb78070620526a4cb5,0bcbc5699804e0d5709a9d4a650cecd5a90f56d23e3a429adce9b3b87acbadbf,0e0e6f7fafcb40b7f33543304ce85d8d841eed764e26609269ffe11efed73c8e,8c744899b6ef2ded61e534e6a033931b1c6f6d1d8706942a5451fa7ad14896ea,e003aa68d1d3815a2ede848f7e9ceb5ee30a7e96d33016d329323e377117bad1,98995fab30d1aa6a9c267575dd4ba603220837044900893cd57cd22b5d57455a,e2d775b6e967bb784f3813fed3e4ae6f906c0c32c9b947902d2a3c0218804cff
"13003","雪菲","13","-363","0","2099/12/17 14:59:59","0","2","0","2104010","2015/12/17 15:00:00","裡頭裝有許多\n和大家一起的重要回憶呢\n希望能跟各位一同回想\n雋刻於心上","106401","1","1"
"13004","貪吃佩可","13","-363","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","看到你有很多\n和女生共度的回憶哦！\n嗚呼嗚呼♪\n你很受歡迎呢☆","105801","1","1"
"14001","可可蘿","14","-363","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","這是可以獲得培育\n所需的道具的冒險。\n為了主人，在下\n一定會變強的呦","105901","1","1"
"14002","雪菲","14","-363","0","2099/12/17 14:59:59","0","2","0","2104010","2015/12/17 15:00:00","只要攻略這個冒險，\n似乎就能取得道具。\n為了變得更強，\n要拚命努力啊！","106401","1","1"
"14003","貪吃佩可","14","-363","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","攻略這個冒險的話，\n可以得到道具哦\n蒐集許多道具，變得\n越來越強吧！","105801","1","1"
"14004","凱留","14","-363","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","攻略冒險的話，\n聽說就能得到道具\n能拿的東西，\n我們就要拿到！","106001","1","1"
"15001","可可蘿","15","-470","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","主人，做好行前準備\n一起完成充實的冒險吧。","105901","1","1"
"16001","雪菲","16","-363","0","2099/12/17 14:59:59","0","2","0","2104010","2015/12/17 15:00:00","欸……要不要加入戰隊？\n一個人是很開心，但跟大家\n一起很熱鬧，我覺得很棒","106401","1","1"
"16002","貪吃佩可","16","-363","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","要加入戰隊看看嗎？\n和大家一起冒險\n非常開心哦！","105801","1","1"
"16003","凱留","16","-363","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","似乎可以加入戰隊哦\n機會難得，加入看看吧？\n好像挺好玩的哦♪","106001","1","1"
"16004","可可蘿","16","-363","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","在這裡可以加入戰隊，\n有很多厲害的戰隊，\n真令人目不暇給。","105901","1","1"
"17002","可可蘿","17","-363","0","2099/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00"," 在這邊可以回顧\n與同伴一同參加戰隊競賽時\n大顯身手的樣子。","105901","1","1"
"17004","凱留","25","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","模擬戰的戰績裡如果有你\n喜歡的內容在裡面的話，\n可以存檔喔","106001","1","1"
"17005","可可蘿","25","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","主人，您這次在戰隊競賽的\n活躍表現已存檔\n請用來作為未來戰鬥時的參考吧","105901","1","1"
"17006","雪菲","25","-363","0","2030/12/17 14:59:59","0","2","0","2104010","2015/12/17 15:00:00","這次的戰隊競賽\n戰況如何？\n看戰績，或許能活用到\n下次的戰鬥上","106401","1","1"
"17007","貪吃佩可","25","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","可以複習一下這次戰隊競賽\n的戰績喔！\n也讓我看看吧☆","105801","1","1"
"18001","花凜","18","-363","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","歡迎！\n在這裡提供主頁或\n公會小屋播放音樂的\n變更與購買服務喔。","190801","1","1"
"18002","花凜","18","-363","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","BGM的變更與購買\n都可以在這裡進行喔\n我們為您準備了，\n很多動人的樂曲喔！","190801","1","2"
"19001","花凜","19","-470","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","主頁或公會小屋的BGM\n都可以更改喔\n您喜歡的樂曲，\n也請讓我聽聽看吧。","190801","1","3"
"19002","花凜","19","-470","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","在這裡，\n可以將BGM更改喔\n您要更改為什麼樂曲呢？\n呵呵呵，我也很期待呢♪","190801","1","4"
"20001","花凜","20","-470","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","在這裡，\n可以讓您購買BGM喔，\n也可以讓您試聽，\n請仔細挑選吧。","190801","1","5"
"20002","花凜","20","-470","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","歡迎光臨！\n請到這裡購買BGM\n有很多優秀的樂曲，\n讓人挑得目不暇給呢。","190801","1","6"
"21001","凱留","21","-363","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","在這裡好像可以用取得的道具\n來製作專用裝備呢\n如果收集到了道具\n就立刻來試做吧！","106001","1","1"
"21002","可可蘿","21","-363","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","攻略時有可能\n獲得稀有的道具喔\n有了這類道具\n好像可以用來製作專用裝備。","105901","1","1"
"21003","雪菲","21","-363","0","2030/12/17 14:59:59","0","2","0","2104010","2015/12/17 15:00:00","想要專用裝備的話\n就挑戰這個冒險吧\n靠著收集到的素材\n變得更強更強吧","106401","1","1"
"21004","貪吃佩可","21","-363","0","2030/12/17 14:59:59","0","1","0","0","2019/03/06 16:00:00","好像可以獲得\n製作專用裝備的必要道具\n多多收集、\n越裝就會越強大！","105801","1","1"
"22001","花凜","22","-430","0","2030/12/17 14:59:59","0","1","0","0","2019/07/24 16:00:00","投票請到這邊。\n請為你支持的女孩\n投下你心意滿滿的\n一票吧！","190801","1","1"
"22002","花凜","22","-430","0","2030/12/17 14:59:59","0","1","0","0","2019/07/24 16:00:00","歡迎！\n你喜愛的女孩\n是哪一位呢？\n請幫她加油吧！","190801","1","2"
"23001","花凜","23","-430","0","2030/12/17 14:59:59","0","1","0","0","2019/07/24 16:00:00","謝謝你們\n踴躍的投票。\n請大家耐心等候，\n敬請期待結果發表喔！","190801","1","3"
"23002","花凜","23","-430","0","2030/12/17 14:59:59","0","1","0","0","2019/07/24 16:00:00","目前正在統計\n人氣投票結果。\n在結果統計完畢之前\n請再稍候一下喔。","190801","1","4"
"24001","惠理子（情人節）","24","-385","8","2030/12/17 14:59:59","10011","1","4.08","0","2019/07/01 16:00:00","有大人您幫忙製作的\n巧克力蛋糕。\n一定會很美味的。","109001","2","1"
"24002","惠理子（情人節）","24","-385","8","2030/12/17 14:59:59","10011","1","5","0","2019/07/01 16:00:00","這種失誤絕對不是\n大人您會犯的。\n再挑戰一次看看吧。","109001","2","2"
"24003","惠理子（情人節）","24","-385","8","2030/12/17 14:59:59","10011","1","10.11","0","2019/07/01 16:00:00","原本要為了大人您而製作的蛋糕，\n結果卻讓您來幫忙……。\n事情竟然變成這樣……嘻嘻嘻嘻。","109001","2","3"
"24004","惠理子（情人節）","24","-385","8","2030/12/17 14:59:59","10011","1","4","0","2019/07/01 16:00:00","您不需要太過煩惱。\n今後我會花費許多時間\n來教導您的。","109001","2","4"
"24005","惠理子（情人節）","24","-385","8","2030/12/17 14:59:59","10011","1","6","0","2019/07/01 16:00:00","您這次的狀態不太好……嗎？\n如果是大人您幫忙做的話，\n不論是什麼我都……嘻嘻嘻嘻。","109001","2","5"
"24006","惠理子（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","大人您親自製作的巧克力蛋糕\n對我來說是寶物……\n膽敢取笑你的人是不會有活路的。","109002","1","6"
"24007","惠理子（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","這賣相做得實在太完美了！\n做出了非常符合\n大人您氣質的巧克力蛋糕。","109002","1","7"
"24008","惠理子（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","幫忙了我的大人您\n已然是我的俘虜了……\n讓我來邀請您蒞臨這甜蜜的世界。","109002","1","8"
"24009","惠理子（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","您的愛情我確實地收下了。\n這是……我們第一次的\n共同作業呢……嘻嘻嘻嘻。","109002","1","9"
"24010","惠理子（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","這是世界第一的巧克力蛋糕。\n因為這是大人您\n拿出看家本領製作的嘛。","109002","1","10"
"24011","靜流（情人節）","24","-385","8","2030/12/17 14:59:59","10011","1","2.12","0","2019/07/01 16:00:00","做得不太好覺得很可惜嗎？\n不過，弟弟的心意讓我很開心呢。\n姐姐會一直陪在你身邊的♪","109101","2","1"
"24012","靜流（情人節）","24","-385","8","2030/12/17 14:59:59","10011","5","4.19","0","2019/07/01 16:00:00","嗯，弟弟難得的\n緊張了吧？\n要再挑戰一次看看嗎？","109101","2","2"
"24013","靜流（情人節）","24","-385","8","2030/12/17 14:59:59","10011","2","2.3","0","2019/07/01 16:00:00","你幫了姐姐的忙，\n做得很棒喔！\n啊，還不可以偷吃啦！","109101","4","3"
"24014","靜流（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","你看你看！\n海綿蛋糕的顏色烤得很美喔。\n不愧是弟弟呢！","109102","1","4"
"24015","靜流（情人節）","24","-385","8","2030/12/17 14:59:59","10011","5","5.23","0","2019/07/01 16:00:00","好啦好啦，不要沮喪了。\n外觀上……是蠻有個性的，\n不過味道絕對會好吃的！","109101","2","5"
"24016","靜流（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","像弟弟一樣可愛\n的蛋糕出爐囉！\n很想快點吃看看吧♪","109102","1","6"
"24017","靜流（情人節）","24","-385","8","2030/12/17 14:59:59","10011","1","5.01","0","2019/07/01 16:00:00","哎呀呀？弟弟，你的手指上\n沾到巧克力囉？\n姐姐來幫你舔乾淨唷，啊呣！","109101","2","7"
"24018","靜流（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","做得還挺不錯的嘛？\n不過弟弟還能做得更好！\n姐姐很相信你唷。","109102","1","8"
"24019","靜流（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","哇～做得好像非常的美味呢！\n因為弟弟做的很熟練了，\n姐姐能放心交給你製作了呢！","109102","1","9"
"24020","靜流（情人節）","24","0","0","2030/12/17 14:59:59","10011","1","0","0","2019/07/01 16:00:00","呀～是弟弟幫忙做的\n巧克力蛋糕！\n做的看起來非常美味呢♪","109102","1","10"
"26001","雪菲","26","-363","0","2030/12/17 14:59:59","0","2","0","2104010","2015/12/17 15:00:00","往前面走好像是個神聖的地方\n那裡究竟沉睡著怎麼樣的寶藏，\n真期待接下來的探索♪","106401","1","1"
"26002","貪吃佩可","26","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","往前面走\n好像是個神聖的地方。\n究竟能獲得怎樣的寶藏， \n真令人期待呢！","105801","1","1"
"26003","凱留","26","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","前面好像是個神聖的地方。\n雖然能獲得稀有的寶物，\n不過要是不小心一點，\n可能會受到慘痛的教訓喔。","106001","1","1"
"26004","可可蘿","26","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","往前面走\n是個神聖的地方。\n繃緊神經\n調查寶藏進行探索吧！","105901","1","1"
"27001","雪菲","27","-363","0","2030/12/17 14:59:59","0","2","0","2104010","2015/12/17 15:00:00","在這裡好像沉睡著道具，\n能夠讓人得到更強大的力量……\n大家是這麼說的。呵呵，\n那就來挑戰看看吧","106401","1","1"
"27002","貪吃佩可","27","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","在這裡好像沉睡著道具，\n能夠讓人得到\n更強大的力量！　要從哪裡開始挑戰，\n真令人苦惱呢！","105801","1","1"
"27003","凱留","27","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","在這裡好像沉睡著道具，\n能夠讓人得到更強大的力量！\n不斷地去挑戰，\n一起變強大吧！","106001","1","1"
"27004","可可蘿","27","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","在這裡好像沉睡著道具，\n似乎能夠讓人得到\n更強大的力量。主人，您要從哪裡\n開始挑戰呢？","105901","1","1"
"28001","花凜","28","-363","0","2030/12/17 14:59:59","0","1","0","0","2019/12/12 16:00:00","歡迎！\n公會管理協會\n會幫助大家\n讓大家有美好的邂逅！","190801","1","1"
"28002","花凜","28","-363","0","2030/12/17 14:59:59","0","1","0","0","2019/12/12 16:00:00","這裡是公會管理協會。\n關於朋友，\n請從這裡確認。","190801","1","2"
"29001","花凜","29","-409","0","2030/12/17 14:59:59","0","1","0","0","2019/12/12 16:00:00","這裡是\n您的朋友。\n請和他們\n建立美好的關係吧！","190801","1","3"
"29002","花凜","29","-409","0","2030/12/17 14:59:59","0","1","0","0","2019/12/12 16:00:00","這裡的一覽表\n可以確認\n朋友的個人頁面喔。","190801","1","4"
"30001","花凜","30","-409","0","2030/12/17 14:59:59","0","1","0","0","2019/12/12 16:00:00","朋友管理\n請至這裡查看。\n敬請期待\n和新朋友的邂逅吧！","190801","1","5"
"30002","花凜","30","-409","0","2030/12/17 14:59:59","0","1","0","0","2019/12/12 16:00:00","可以進行朋友申請\n和接受朋友申請囉。\n希望您能獲得不錯的交流！","190801","1","6"
"31001","花凜","31","-409","0","2030/12/17 14:59:59","0","1","0","0","2020/02/18 16:00:00","進行好友對戰，\n來比一比戰力吧\n，可以測試一下實力呢，\n請多加油！","190801","1","7"
"31002","花凜","31","-409","0","2030/12/17 14:59:59","0","1","0","0","2020/02/18 16:00:00","和你所關注的好友隊伍\n對戰看看吧！\n究竟誰會獲得勝利，\n我也很期待呢。","190801","1","8"
"32001","花凜","32","-409","0","2020/05/15 04:59:59","0","1","0","0","2020/04/22 05:00:00","我們特別為各位\n新手朋友準備了\n特別的任務！\n請務必挑戰看看！","190801","1","1"
"32002","花凜","32","-409","0","2020/05/15 04:59:59","0","1","0","0","2020/04/22 05:00:00","正在舉辦\n期間限定活動！\n一起來\n挑戰任務吧！","190801","1","2"
"33001","花凜","33","-409","0","2020/05/15 04:59:59","0","1","0","0","2020/04/22 05:00:00","成為好友，\n一起支援新手吧！\n有很厲害的獎勵等著你哦！","190801","1","3"
"33002","花凜","33","-409","0","2020/05/15 04:59:59","0","1","0","0","2020/04/22 05:00:00","正在舉辦\n期間限定活動！\n一起來\n挑戰任務吧！","190801","1","4"
"34001","花凜","34","-409","0","2020/05/21 04:59:59","0","1","0","0","2020/04/22 05:00:00","辛苦了！\n可以從這裡\n領取任務獎勵哦！","190801","1","5"
"34002","花凜","34","-409","0","2020/05/21 04:59:59","0","1","0","0","2020/04/22 05:00:00","從這裡領取\n任務獎勵！\n領取獎勵時，\n請注意不要遺漏了！","190801","1","6"
"38001","貪吃佩可","38","-458","0","2030/12/17 14:59:59","0","1","5.3","0","2020/06/18 16:00:00","享受過去的\n劇情活動吧！\n如果有尚未遊玩過的活動，\n就一起玩玩看吧♪","105801","2","1"
"38002","貪吃佩可","38","-458","0","2030/12/17 14:59:59","0","1","6.5","0","2020/06/18 16:00:00","好像還能獲得\n能讓至今活動中登場的\n限定角色成為夥伴的\n記憶碎片哦。太讚了吧☆","105801","2","2"
"39005","貪吃佩可","39","9999","9999","2023/04/08 23:59:59","0","3","0","0","2023/04/01","","105801","3","0"
"40001","花凜","40","-430","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","可以回顧到目前為止\n出現過的問題。\n複習很重要喔♪","190801","1","2"
"41001","雪菲","41","-363","0","2030/12/17 14:59:59","0","1","0","2104010","2015/12/17 15:00:00","聽說可以在這裡\n試試身手哦。\n正好可以用來\n測試自己的實力呢。","106401","1","1"
"41002","貪吃佩可","41","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","在這裡試試身手吧！\n火力全開，\n好好加油喔～！","105801","1","1"
"41003","凱留","41","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","可以在這裡\n試試身手的樣子呢。\n試一下也無妨吧。","106001","1","1"
"41004","可可蘿","41","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","好像可以試試身手。\n在這裡反覆練習，\n在實戰中靈活運用吧。","105901","1","1"
"42001","可可蘿","42","-416.5","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","據說根據訓練的成果，\n可以獲得對應的獎勵。\n我們一起努力吧。","105901","1","1"
"42002","雪菲","42","-416.5","0","2030/12/17 14:59:59","0","1","0","2104010","2015/12/17 15:00:00","只要達成目標，\n就能獲得獎勵的樣子。\n值得努力挑戰看看呢。","106401","1","1"
"42003","貪吃佩可","42","-416.5","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","努力通過測試的話，\n可以獲得獎勵喔！\n快來挑戰看看吧☆","105801","1","1"
"42004","凱留","42","-416.5","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","聽說完成任務的話，\n會有獎勵的樣子喔。\n我們一起試試看吧！","106001","1","1"
"43001","貪吃佩可","43","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","接下來可以\n挑戰競技場喔！\n仔細編組隊伍，\n挑戰敵人吧！","105801","1","1"
"43002","可可蘿","43","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","接下來可以\n挑戰競技場。\n編組出有主人風格的隊伍，\n挑戰敵人吧。","105901","1","1"
"43003","凱留","43","-363","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","接下來可以\n挑戰競技場哦！\n好好思考如何編組隊伍，\n挑戰敵人吧！","106001","1","1"
"43004","愛梅斯","44","-416.5","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","完成任務就可以獲得獎勵喔。\n請盡情完成任務，\n賣力進行強化♪","123001","1","1"
"43005","愛梅斯","44","-416.5","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","現在可不是發呆的時候啊。\n請快點去完成任務，\n領取獎勵！","123001","1","2"
"43006","愛梅斯","45","-416.5","0","2030/12/17 14:59:59","0","1","5.79","0","2015/12/17 15:00:00","你等一下，不是有獎勵\n可以領取嗎！\n別忘了確認啊。\n這可是與愛梅斯大人的約定喔？","123001","2","3"
"46001","愛梅斯","46","-371.5","0","2030/12/17 14:59:59","0","1","0","0","2015/12/17 15:00:00","好了，辛苦了。\n在這裡可以使用\n專精券，取得\n專精強化素材。","123001","1","1"
