3fbe86707b929f95bbbbe93381209982ac6d569c15e5c2a3bf5a8edd9aa8e760,07ec3abadf3618991602ed88bd41feef7625b28a7da3fd74e2ca815bfa252628,ed10542e1dfb800aaf46b99da22a2a24a190f87aa67d0e9f096b751782f0f4df,87813031bf537cb7c3b16c88529740e4f4f517397acd26b3890663ef21139a59,46bd416e99c19ca231bb61370e821c2427f392b2466eedde1df8ab1f3f740180,059bee1a4f6152af4189d25a195e69199aaff4ffa5b6eb3c966fe05792754402,1cec244565f3d6cf0715de57bb89d20ec54f9b6b32e50fd9bdf49cacae6b3301,47f403fdd3f6ef640601fd35437757e2b8a6cd6bd9ebe364d0714413848fbfce,eb49dfa013bb84d576f8a45cd1b6f8ed0f186398909354a2d2fe6b12d2742e5f,580b879765410010c0abccd59322ec7b2a83009ffdb4ccb8e5c4627e0e57eaa6,fdf2e743442a510813ec9975029b8f9cdab68b82b1566720c7951c7c0127f2b6
"<weapon>_run","1001003","311","0","","","103110042","1","","3","0"
"<weapon>_run","1001004","311","0","","","103110043","1","","3","0"
"<weapon>_run","1001005","311","0","","","103110044","1","","3","0"
"950","1001001","311","","3","","103110045","-240","","2","0"
"880","1001002","311","","3","","103110046","-165","","2","0"
"810","1001003","311","","3","","103110047","-255","","2","0"
"740","1001004","311","","3","","103110048","-165","","2","0"
"670","1001005","311","","3","","103110049","-240","","2","0"
"950","1001001","311","","3","","103110050","-240","","33","0"
"880","1001002","311","","3","","103110051","-165","","33","0"
"810","1001003","311","","3","","103110052","-255","","33","0"
"740","1001004","311","","3","","103110053","-165","","33","0"
"670","1001005","311","","3","","103110054","-240","","33","0"
"<weapon>_run","1002001","311","0","","","103110055","1","","3","0"
"<weapon>_run","1002002","311","0","","","103110056","1","","3","0"
"<weapon>_run","1002003","311","0","","","103110057","1","","3","0"
"<weapon>_run","1002004","311","0","","","103110058","1","","3","0"
"<weapon>_run","1002005","311","0","","","103110059","1","","3","0"
"700","1002001","311","","3","","103110060","-60","","2","0"
"630","1002002","311","","3","","103110061","15","","2","0"
"560","1002003","311","","3","","103110062","-75","","2","0"
"490","1002004","311","","3","","103110063","15","","2","0"
"420","1002005","311","","3","","103110064","-60","","2","0"
"700","1002001","311","","3","","103110065","-60","","33","0"
"630","1002002","311","","3","","103110066","15","","33","0"
"560","1002003","311","","3","","103110067","-75","","33","0"
"490","1002004","311","","3","","103110068","15","","33","0"
"420","1002005","311","","3","","103110069","-60","","33","0"
"<weapon>_run","1003001","311","0","","","103110070","1","","3","0"
"<weapon>_run","1003002","311","0","","","103110071","1","","3","0"
"<weapon>_run","1003003","311","0","","","103110072","1","","3","0"
"<weapon>_run","1003004","311","0","","","103110073","1","","3","0"
"<weapon>_run","1003005","311","0","","","103110074","1","","3","0"
"450","1003001","311","","3","","103110075","-250","","2","0"
"380","1003002","311","","3","","103110076","-175","","2","0"
"310","1003003","311","","3","","103110077","-265","","2","0"
"240","1003004","311","","3","","103110078","-175","","2","0"
"170","1003005","311","","3","","103110079","-250","","2","0"
"450","1003001","311","","3","","103110080","-250","","33","0"
"380","1003002","311","","3","","103110081","-175","","33","0"
"310","1003003","311","","3","","103110082","-265","","33","0"
"240","1003004","311","","3","","103110083","-175","","33","0"
"170","1003005","311","","3","","103110084","-250","","33","0"
"1","10020","311","","","","103110085","","","32",""
"0","2.5","311","","","","103110086","","","93",""
"1","10031","311","","","","103110087","","","32",""
"0","0.4","311","","","","103110088","","","93",""
"0","0","311","","","","103110089","","","91",""
