13ee8a60c90e4f2537f701e805c144f20c0c17b3a4c99967b69617506ad3c4b7,a36a0132b83e706321b657effe2f6ef7015edc729107bc0d514376baa5375494
"142","背"
"143","肺"
"144","俳"
"145","班"
"146","晚"
"147","否"
"148","批"
"149","秘"
"150","腹"
"151","奮"
"152","並"
"153","陛"
"154","閉"
"155","片"
"156","補"
"157","暮"
"158","寶"
"159","訪"
"160","亡"
"161","忘"
"162","棒"
"163","枚"
"164","幕"
"165","密"
"166","盟"
"167","模"
"168","譯"
"169","郵"
"170","優"
"171","幼"
"172","欲"
"173","翌"
"174","亂"
"175","卵"
"176","覽"
"177","裏"
"178","律"
"179","臨"
"180","朗"
"181","論"
"182","壓"
"183","移"
"184","因"
"185","永"
"186","營"
"187","衛"
"188","易"
"189","益"
"190","液"
"191","演"
"192","應"
"193","往"
"194","櫻"
"195","恩"
"196","可"
"197","假"
"198","價"
"199","河"
"200","過"
"201","賀"
"202","快"
"203","解"
"204","格"
"205","確"
"206","額"
"207","刊"
"208","幹"
"209","慣"
"210","眼"
"211","基"
"212","寄"
"213","規"
"214","技"
"215","義"
"216","逆"
"217","久"
"218","舊"
"219","居"
"220","許"
"221","境"
"222","均"
"223","禁"
"224","句"
"225","群"
"226","經"
"227","潔"
"228","件"
"229","券"
"230","險"
"231","檢"
"232","限"
"233","現"
"234","減"
"235","故"
"236","個"
"237","護"
"238","效"
"239","厚"
"240","耕"
"241","礦"
"242","構"
"243","興"
"244","講"
"245","混"
"246","查"
"247","再"
"248","災"
"249","妻"
"250","採"
"251","際"
"252","在"
"253","財"
"254","罪"
"255","雜"
"256","酸"
"257","贊"
"258","支"
"259","志"
"260","枝"
"261","師"
"262","資"
"263","飼"
"264","示"
"265","似"
"266","識"
"267","質"
"268","舍"
"269","謝"
"270","授"
"271","修"
"272","述"
"273","術"
"274","準"
"275","序"
"276","招"
"277","承"
"278","證"
"279","條"
"280","狀"
"281","常"
"282","情"
"283","織"
"284","職"
"285","制"
"286","性"
"287","政"
"288","勢"
"289","精"
"290","製"
"291","稅"
"292","責"
"293","績"
"294","接"
"295","設"
"296","舌"
"297","絕"
"298","錢"
"299","祖"
"300","素"
"301","總"
"302","造"
"303","像"
"304","增"
"305","則"
"306","測"
"307","屬"
"308","率"
"309","損"
"310","退"
"311","貸"
"312","態"
"313","團"
"314","斷"
"315","築"
"316","張"
"317","提"
"318","程"
"319","適"
"320","敵"
"321","統"
"322","銅"
"323","導"
"324","德"
"325","獨"
"326","任"
"327","燃"
"328","能"
"329","破"
"330","犯"
"331","判"
"332","版"
"333","比"
"334","肥"
"335","非"
"336","備"
"337","俵"
"338","評"
"339","貧"
"340","布"
"341","婦"
"342","富"
"343","武"
"344","復"
"345","複"
"346","佛"
"347","編"
"348","弁"
"349","保"
"350","墓"
"351","報"
"352","豐"
"353","防"
"354","貿"
"355","暴"
"356","務"
"357","夢"
"358","迷"
"359","綿"
"360","輸"
"361","余"
"362","預"
"363","容"
"364","略"
"365","留"
"366","領"
"367","愛"
"368","案"
"369","以"
"370","衣"
"371","位"
"372","圍"
"373","胃"
"374","印"
"375","英"
"376","榮"
"377","鹽"
"378","億"
"379","加"
"380","果"
"381","貨"
"382","課"
"383","芽"
"384","改"
"385","械"
"386","害"
"387","街"
"388","各"
"389","覺"
"390","完"
"391","官"
"392","管"
"393","關"
"394","觀"
"395","願"
"396","希"
"397","季"
"398","紀"
"399","喜"
"400","旗"
"401","器"
"402","機"
"403","議"
"404","求"
"405","泣"
"406","救"
"407","給"
"408","拳"
"409","漁"
"410","共"
"411","協"
"412","鏡"
"413","競"
"414","極"
"415","訓"
"416","軍"
"417","郡"
"418","徑"
"419","型"
"420","景"
"421","芸"
"422","欠"
"423","結"
"424","建"
"425","健"
"426","驗"
"427","固"
"428","功"
"429","好"
"430","候"
"431","航"
"432","康"
"433","告"
"434","差"
"435","菜"
"436","最"
"437","材"
"438","昨"
"439","札"
"440","刷"
"441","殺"
"442","察"
"443","參"
"444","產"
"445","散"
"446","殘"
"447","士"
"448","氏"
"449","史"
"450","司"
"451","試"
"452","兒"
"453","治"
"454","辭"
"455","失"
"456","借"
"457","種"
"458","周"
"459","祝"
"460","順"
"461","初"
"462","松"
"463","笑"
"464","唱"
"465","燒"
"466","象"
"467","照"
"468","賞"
"469","臣"
"470","信"
"471","成"
"472","省"
"473","清"
"474","靜"
"475","席"
"476","積"
"477","折"
"478","節"
"479","說"
"480","淺"
"481","戰"
"482","選"
"483","然"
"484","爭"
"485","倉"
"486","巢"
"487","束"
"488","側"
"489","續"
"490","卒"
"491","孫"
"492","帶"
"493","隊"
"494","達"
"495","單"
"496","置"
"497","仲"
"498","貯"
"499","兆"
"500","腸"
"501","低"
"502","底"
"503","停"
"504","的"
"505","典"
"506","傳"
"507","徒"
"508","努"
"509","燈"
"510","堂"
"511","働"
"512","特"
"513","得"
"514","毒"
"515","熱"
"516","念"
"517","敗"
"518","梅"
"519","博"
"520","飯"
"521","飛"
"522","費"
"523","必"
"524","票"
"525","標"
"526","不"
"527","夫"
"528","付"
"529","府"
"530","副"
"531","粉"
"532","兵"
"533","別"
"534","邊"
"535","變"
"536","便"
"537","包"
"538","法"
"539","望"
"540","牧"
"541","末"
"542","滿"
"543","未"
"544","脈"
"545","民"
"546","無"
"547","約"
"548","勇"
"549","要"
"550","養"
"551","浴"
"552","利"
"553","陸"
"554","良"
"555","料"
"556","量"
"557","輪"
"558","類"
"559","令"
"560","冷"
"561","例"
"562","歷"
"563","連"
"564","老"
"565","勞"
"566","錄"
"567","惡"
"568","安"
"569","暗"
"570","醫"
"571","委"
"572","意"
"573","育"
"574","員"
"575","院"
"576","飲"
"577","運"
"578","泳"
"579","駅"
"580","央"
"581","橫"
"582","屋"
"583","溫"
"584","化"
"585","荷"
"586","界"
"587","開"
"588","階"
"589","寒"
"590","感"
"591","漢"
"592","館"
"593","岸"
"594","起"
"595","期"
"596","客"
"597","究"
"598","急"
"599","級"
"600","宮"
"601","球"
"602","去"
"603","橋"
"604","業"
"605","曲"
"606","局"
"607","銀"
"608","區"
"609","苦"
"610","具"
"611","君"
"612","係"
"613","輕"
"614","血"
"615","決"
"616","研"
"617","縣"
"618","庫"
"619","湖"
"620","向"
"621","幸"
"622","港"
"623","號"
"624","根"
"625","祭"
"626","皿"
"627","仕"
"628","死"
"629","使"
"630","始"
"631","指"
"632","齒"
"633","詩"
"634","次"
"635","事"
"636","持"
"637","式"
"638","實"
"639","寫"
"640","者"
"641","主"
"642","守"
"643","取"
"644","酒"
"645","受"
"646","州"
"647","拾"
"648","終"
"649","習"
"650","集"
"651","住"
"652","重"
"653","宿"
"654","所"
"655","暑"
"656","助"
"657","昭"
"658","消"
"659","商"
"660","章"
"661","勝"
"662","乘"
"663","植"
"664","申"
"665","身"
"666","神"
"667","真"
"668","深"
"669","進"
"670","世"
"671","整"
"672","昔"
"673","全"
"674","相"
"675","送"
"676","想"
"677","息"
"678","速"
"679","族"
"680","他"
"681","打"
"682","對"
"683","待"
"684","代"
"685","第"
"686","題"
"687","炭"
"688","短"
"689","談"
"690","着"
"691","注"
"692","柱"
"693","丁"
"694","帳"
"695","調"
"696","追"
"697","定"
"698","庭"
"699","笛"
"700","鐵"
"701","轉"
"702","都"
"703","度"
"704","投"
"705","豆"
"706","島"
"707","湯"
"708","登"
"709","等"
"710","動"
"711","童"
"712","農"
"713","波"
"714","配"
"715","被"
"716","箱"
"717","畑"
"718","發"
"719","反"
"720","坂"
"721","板"
"722","皮"
"723","悲"
"724","美"
"725","鼻"
"726","筆"
"727","冰"
"728","表"
"729","秒"
"730","病"
"731","品"
"732","負"
"733","部"
"734","服"
"735","福"
"736","物"
"737","平"
"738","返"
"739","勉"
"740","放"
"741","味"
"742","命"
"743","面"
"744","問"
"745","役"
"746","藥"
"747","由"
"748","油"
"749","有"
"750","遊"
"751","予"
"752","羊"
"753","洋"
"754","葉"
"755","陽"
"756","樣"
"757","落"
"758","流"
"759","旅"
"760","兩"
"761","綠"
"762","禮"
"763","列"
"764","練"
"765","路"
"766","和"
"767","引"
"768","羽"
"769","雲"
"770","園"
"771","遠"
"772","何"
"773","科"
"774","夏"
"775","家"
"776","歌"
"777","畫"
"778","回"
"779","會"
"780","海"
"781","繪"
"782","外"
"783","角"
"784","樂"
"785","活"
"786","間"
"787","丸"
"788","岩"
"789","顏"
"790","汽"
"791","記"
"792","歸"
"793","弓"
"794","牛"
"795","魚"
"796","京"
"797","強"
"798","教"
"799","近"
"800","兄"
"801","形"
"802","計"
"803","元"
"804","言"
"805","原"
"806","戶"
"807","古"
"808","午"
"809","後"
"810","語"
"811","工"
"812","公"
"813","廣"
"814","交"
"815","光"
"816","考"
"817","行"
"818","高"
"819","黃"
"820","合"
"821","谷"
"822","國"
"823","黑"
"824","今"
"825","才"
"826","細"
"827","作"
"828","算"
"829","止"
"830","市"
"831","矢"
"832","姉"
"833","思"
"834","紙"
"835","寺"
"836","自"
"837","時"
"838","室"
"839","社"
"840","弱"
"841","首"
"842","秋"
"843","週"
"844","春"
"845","書"
"846","少"
"847","場"
"848","色"
"849","食"
"850","心"
"851","新"
"852","親"
"853","圖"
"854","數"
"855","西"
"856","聲"
"857","星"
"858","晴"
"859","切"
"860","雪"
"861","船"
"862","線"
"863","前"
"864","組"
"865","走"
"866","多"
"867","太"
"868","體"
"869","台"
"870","地"
"871","池"
"872","知"
"873","茶"
"874","晝"
"875","長"
"876","鳥"
"877","朝"
"878","直"
"879","通"
"880","弟"
"881","店"
"882","點"
"883","電"
"884","刀"
"885","冬"
"886","當"
"887","東"
"888","答"
"889","頭"
"890","同"
"891","道"
"892","讀"
"893","內"
"894","南"
"895","肉"
"896","馬"
"897","賣"
"898","買"
"899","麥"
"900","半"
"901","番"
"902","父"
"903","風"
"904","分"
"905","聞"
"906","米"
"907","步"
"908","母"
"909","方"
"910","北"
"911","每"
"912","妹"
"913","萬"
"914","明"
"915","鳴"
"916","毛"
"917","門"
"918","夜"
"919","野"
"920","友"
"921","用"
"922","曜"
"923","來"
"924","里"
"925","理"
"926","話"
"927","一"
"928","右"
"929","雨"
"930","圓"
"931","王"
"932","音"
"933","下"
"934","火"
"935","花"
"936","貝"
"937","學"
"938","氣"
"939","九"
"940","休"
"941","玉"
"942","金"
"943","空"
"944","月"
"945","犬"
"946","見"
"947","五"
"948","口"
"949","校"
"950","左"
"951","三"
"952","山"
"953","子"
"954","四"
"955","糸"
"956","字"
"957","耳"
"958","七"
"959","車"
"960","手"
"961","十"
"962","出"
"963","女"
"964","小"
"965","上"
"966","森"
"967","人"
"968","水"
"969","正"
"970","生"
"971","青"
"972","夕"
"973","石"
"974","赤"
"975","千"
"976","川"
"977","先"
"978","早"
"979","草"
"980","足"
"981","村"
"982","大"
"983","男"
"984","竹"
"985","中"
"986","蟲"
"987","町"
"988","天"
"989","田"
"990","土"
"991","二"
"992","日"
"993","入"
"994","年"
"995","白"
"996","八"
"997","百"
"998","文"
"999","木"
"1000","本"
"1001","名"
"1002","目"
"1003","立"
"1004","力"
"1005","林"
"1006","六"
"1007","辮"
"1008","辯"
"1009","辦"
"1010","瓣"
"1011","動"
"1012","姊"
"1013","伊"
"1014","氧"
"1015","氰"
"1016","鋰"
"1017","鈉"
"1018","鉀"
"1019","銣"
"1020","鍶"
"1021","鋇"
"1022","鐳"
"1023","蓑"
"1024","笠"
"1025","雀"
"1026","矮"
"1027","乙"
"1028","裴"
"1029","網"
"1030","餅"
"1031","亞"
"1032","肩"
"1033","微"
"1034","嚕"
"1035","塊"
"1036","磚"
"1037","房"
"1038","茜"
"1039","莉"
"1040","或"
"1041","與"
"1042","依"
"1043","普"
"1044","銷"
"1045","巨"
"1046","萊"
"1047","喵"
"1048","鈴"
"1049","霖"
"1050","喊"
"1051","昇"
"1052","婆"
"1053","醜"
"1054","跆"
"1055","華"
"1056","麗"
"1057","艾"
"1058","游"
"1059","契"
"1060","智"
"1061","栞"
"1062","緒"
"1063","祈"
"1064","梨"
"1065","嘉"
"1066","胡"
"1067","桃"
"1068","綾"
