30396ae1496460d7582e58e5b4ec89bb50cb987544d7821d202b9c8f55db2190,e97256940d89e57581083de18e36a5af1c0543bd378d949b75c235be753b344c,422cc46635f30d2934bd09ededf86583b9f53ed51fd1a02b3ef8e0869cf86320,f1e6ad28a2df800bad94ab6ed2e8dbfc9a8773dc6d2075148e768eb9502d362e,f7d17443dfee3a5e3a1e8db39ea445858351323fab72c731645242cb56c580d7,b756d5f0383c0abee124b18f10ca2eb767e713a4c296432587794d1e5a376d81,0ff2e6eef4354b051ff7599ce37be5906bdedc1c3c52cc617c654ad80a9620be,048547a3668167dea42088b5ef26e979ae2f2c9664fb7e74310676e04ae52715
"ㄛ","10005","2","1000502","ㄕ","1","魔法石","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。"
"ㄧㄡ","10005","3","1000503","ㄣ","1","秋乃的胸針","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。"
"ㄗ","10005","3","1000504","ㄕ","1","紫藤紅輝石","「秋乃」的專用裝備。紫藤家代代相傳的輝石。"
"ㄧ","10006","1","1000600","ㄧㄡ","1","啤酒","用穀物釀成的酒類。"
"ㄧㄡ","10006","1","1000601","ㄟ","1","酒杯","用單手拿著，裝飲料用的容器。"
"ㄞ","10006","2","1000602","ㄧㄡ","1","麥酒","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。"
"ㄥ","10006","3","1000603","ㄨㄟ","1","生命之水","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。"
"ㄨㄥ","10007","1","1000700","ㄧㄢ","1","弓箭","用弓與箭組成的武器。"
"ㄧㄢ","10007","1","1000701","ㄕ","1","箭矢","「箭」的別種說法。"
"ㄩㄢ","10007","2","1000702","ㄧ","1","遠距離武器","指可以飛得很遠的攻擊型武器。"
"ㄧㄡ","10007","2","1000703","ㄜ","1","邱比特","羅馬神話中的小愛神。"
"ㄚ","10007","2","1000704","ㄧㄝ","1","打獵","獵殺動物的行為。"
"ㄡ","10007","2","1000705","ㄧㄝ","1","狩獵","人類獵殺動物以取得資源的行為。"
"ㄧㄣ","10008","1","1000800","ㄨ","1","音符","在音樂上用來表示音高的記號。"
"ㄩㄢ","10008","1","1000801","ㄩ","1","旋律","音樂中音符的流動。"
"ㄡ","10008","2","1000802","ㄧ","1","ㄉㄡㄖㄨㄟㄇㄧ","將音階由低到高排列 3個。"
"ㄜ","10008","2","1000803","ㄧㄢ","1","和弦","數個音符根據樂理結成的組合。"
"ㄧㄢ","10009","1","1000900","ㄧㄠ","1","顏料","為了在畫上著色的材料。"
"ㄨㄟ","10009","1","1000901","ㄞ","1","水彩","水性的顏料。"
"ㄨㄢ","10009","2","1000902","ㄨㄢ","1","軟管","盛裝膏狀物的容器。"
"ㄢ","10009","2","1000903","ㄜ","1","藍色","藍色。或是憂鬱的顏色。"
"ㄧㄢ","10010","1","1001000","ㄧㄢ","1","劍","以刀刃進行攻擊的武器總稱。"
"ㄨ","10010","2","1001001","ㄧ","1","武器","用於戰鬥的工具。"
"ㄨㄢ","10010","2","1001002","ㄧㄢ","1","短劍","長度較短的劍。"
"ㄧㄣ","10010","2","1001003","ㄧ","1","近戰武器","近身格鬥用的武器。"
"ㄨㄥ","10010","3","1001004","ㄧㄢ","1","公主之劍","「貪吃佩可」的專用裝備。能帶給貪吃佩可更加強大的力量，「皇家裝備」真正的模樣。"
"ㄧㄢ","10011","1","1001100","ㄧㄥ","1","眼鏡","為了補正視力，在眼睛周邊戴在身上的道具。"
"ㄧㄥ","10011","2","1001101","ㄧㄢ","1","鏡片","用在眼鏡或各式東西上，折射光線用的透明物體。"
"ㄨ","10011","2","1001102","ㄗ","1","書呆子","只知道念書並對其餘事情一竅不通的人。"
"ㄢ","10011","2","1001103","ㄩ","1","扮裝道具","用來變裝，拿下後原來是美女的眼鏡。"
"ㄨㄚ","10011","3","1001104","ㄧㄥ","1","花凜的眼鏡","公會小屋的管理員「花凜」戴著的眼鏡。"
"ㄤ","10012","1","1001200","ㄧㄥ","1","放大鏡","為了把小東西放大觀看用的道具。"
"ㄧㄥ","10012","1","1001201","ㄧㄢ","1","鏡片","用在放大鏡或各式物品上，讓光線曲折用的透明物體。"
"ㄨ","10012","2","1001202","ㄧㄥ","1","凸透鏡","具有放大效果的透鏡。"
"ㄣ","10012","3","1001203","ㄧㄣ","1","偵探必備的物品","名偵探「霞」愛用的偵探道具之一。"
"ㄡ","10013","1","1001300","ㄡ","1","肉","拿去烤就會噗滋地流出肉汁，是很棒的食材。"
"ㄧㄠ","10013","2","1001301","ㄧ","1","料理","食材經過巧手烹飪後的完美傑作，讓人忍不住要品嚐美味。"
"ㄞ","10013","2","1001302","ㄡ","1","帶骨肉","帶骨的肉。或是以該狀態料理的食物。光是帶骨就看起來莫名的美味。"
"ㄨㄥ","10013","3","1001303","ㄡ","1","龍肉","這麼棒的帶骨肉，該不會是傳說中存在於艾爾皮斯島上的「龍」吧。"
"ㄩㄝ","10014","1","1001400","ㄧㄤ","1","月亮","在夜空中閃耀著金黃色的美麗星球。"
"ㄢ","10014","1","1001401","ㄩㄝ","1","滿月","渾圓的閃耀著的月亮。"
"ㄨ","10014","2","1001402","ㄚ","1","露娜","「月亮」的拉丁文讀音。"
"ㄨㄥ","10014","2","1001403","ㄧㄝ","1","中秋節","農曆八月十五號。"
"ㄨㄟ","10014","2","1001404","ㄧㄥ","1","衛星","繞著行星公轉的天體。"
"ㄧㄢ","10015","1","1001500","ㄨ","1","蝙蝠","少數會飛行的哺乳類。雖然給人會吸血的印象，但是會吸血的品種非常少。"
"ㄜ","10015","2","1001501","ㄚ","1","德古拉","著名的吸血鬼。"
"ㄧ","10015","3","1001502","ㄨ","1","伊莉亞的眷屬","一份簡單的工作，只要摸摸女孩的頭，或抱抱她就好。"
"ㄧㄠ","10016","1","1001600","ㄟ","1","鳥類","全身覆滿著羽毛，用翅膀飛翔的物種的統稱。"
"ㄛ","10016","2","1001601","ㄨ","1","魔物","在蘭德索爾全境裡出現的怪物總稱。"
"ㄕ","10016","2","1001602","ㄧㄠ","1","始祖鳥","現代鳥類的始祖。"
"ㄥ","10016","2","1001603","ㄧㄣ","1","猛禽","具有攻擊性的鳥類。"
"ㄧ","10016","3","1001604","ㄗ","1","席茲","被封印在書中的鳥型魔物。是初音、栞所擊退的。"
"ㄧㄝ","10017","1","1001700","ㄗ","1","鞋子","穿在腳上之物。能保護腳底免於碰到小石頭或口香糖之類的文明頂端之物。"
"ㄨㄢ","10017","1","1001701","ㄩㄝ","1","短靴","能夠保護到腳踝的鞋子。"
"ㄧ","10017","2","1001702","ㄧㄝ","1","皮鞋","從大叔到女高中生的廣泛客層都愛用的流行物品。不過很可惜，煮了也不能吃。"
"ㄩㄝ","10017","2","1001703","ㄗ","1","靴子","包住腳的長靴。尤其編織款的時尚度無人可及。"
"ㄤ","10017","2","1001704","ㄩ","1","防具","提供防護效果的衣物。"
"ㄠ","10018","1","1001800","ㄧ","1","貓咪","貓科的哺乳類。因為是人類很熟悉的動物，在可愛的牠面前，人類實在無法抵抗。"
"ㄨㄚ","10018","1","1001801","ㄠ","1","花貓","帶有花紋的貓。"
"ㄨ","10018","3","1001802","ㄧㄡ","1","珠希的朋友","是指貓咪們。珠希會餵牠們吃飯，不過花費可不能小覷。"
"ㄧㄣ","10019","1","1001900","ㄩ","1","金魚","觀賞用的紅色小型魚類。在廟會時讓人不能不去撈的邪惡東西。"
"ㄧㄠ","10019","1","1001901","ㄩ","1","小魚","魚類一般的稱呼方式。傳說吃了會變聰明。"
"ㄩ","10019","1","1001902","ㄩ","1","魚","魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。"
"ㄨㄢ","10019","2","1001903","ㄩ","1","觀賞魚","用於觀賞而非食用所飼養的魚。"
"ㄠ","10020","1","1002000","ㄨ","1","老鼠","囓齒類的一種。"
"ㄓ","10020","1","1002001","ㄓ","1","吱吱","老鼠的叫聲，或是暱稱。"
"ㄧㄝ","10020","2","1002002","ㄨ","1","齧齒生物","咬食性哺乳動物的總稱。"
"ㄢ","10021","1","1002100","ㄢ","1","蛋","由鳥類或爬蟲類等的雌性所產下，以殼包覆著的球狀物體。"
"ㄨㄢ","10021","2","1002101","ㄨㄢ","1","卵","雌性生物的生殖細胞。"
"ㄧㄠ","10021","2","1002102","ㄠ","1","鳥巢","鳥類用樹枝築成的家，會在這裡産卵。"
"ㄧㄢ","10021","2","1002103","ㄨㄛ","1","燕窩","燕子所築的巢，中醫認為其有高度營養價值。"
"ㄨㄢ","10022","1","1002200","ㄨㄢ","1","船","載著人或物在水上前進的交通工具。"
"ㄩㄣ","10022","1","1002201","ㄧㄢ","1","軍艦","海軍使用的軍用船隻。"
"ㄢ","10022","2","1002202","ㄨㄢ","1","帆船","張帆後以風力前進的船。"
"ㄤ","10022","2","1002203","ㄞ","1","航海","以大型船隻航海。"
"ㄚ","10022","2","1002204","ㄞ","1","大航海時代","十五世紀歐洲人開始開發遠程海上航線的時代。"
"ㄠ","10022","2","1002205","ㄧ","1","貿易","互通有無的大規模商業行為。"
"ㄧㄡ","10023","1","1002300","ㄞ","1","牛奶","牛所流出的乳汁。除了可以直接飲用，還能加工成起司或奶油，是很棒的東西。"
"ㄟ","10023","2","1002301","ㄟ","1","ㄋㄟㄋㄟ","「牛奶」的別種說法。要說出口有點丟臉。"
"ㄨㄢ","10023","2","1002302","ㄞ","1","酸奶","某些地區是這麼稱呼優酪乳的。"
"ㄧ","10023","3","1002303","ㄞ","1","伊麗莎白","伊麗莎白牧場裡的牛的名字，是真陽的夥伴。"
"ㄧㄠ","10024","1","1002400","ㄧ","1","巧克力","將可可豆加工後的點心。在2月14日會被人大量消耗。"
"ㄨ","10024","2","1002401","ㄧ","1","朱古力","賭神愛吃的甜食。"
"ㄧㄢ","10024","2","1002402","ㄕ","1","甜食","味道是甜的，疲倦時會想吃。"
"ㄨㄛ","10024","3","1002403","ㄧ","1","哆啦喜歡的東西","一旦試過就再也無法放手。"
"ㄧㄤ","10025","1","1002500","ㄨㄛ","1","橡果","堅硬樹木的果實。不適合人類食用，但會刺激小孩子的收集慾望，充滿魅力的樹木的果實。"
"ㄨㄛ","10025","2","1002501","ㄕ","1","果實","會長成樹木的果實。"
"ㄧㄢ","10025","2","1002502","ㄨㄛ","1","堅果","被硬殼包覆著食用的果實。可放入點心或是當成下酒菜，在各處受到重用。"
"ㄧㄥ","10025","3","1002503","ㄧㄣ","1","鈴的點心","雖然不及紅豆麵包，但鈴好像也喜歡的樣子。對戰時丟向敵人能讓其暈眩。"
"ㄠ","10026","1","1002600","ㄟ","1","草莓","小小的又酸酸甜甜的水果。一顆顆的會被以為是種子，其實是果實。"
"ㄧㄝ","10026","2","1002601","ㄟ","1","野莓","在野外自由生長的莓果。"
"ㄟ","10026","2","1002602","ㄨㄛ","1","莓果","一種小的、果肉狀的且可經常食用的水果。"
"ㄠ","10027","1","1002700","ㄨ","1","老虎","大型貓科猛獸，肉食動物。"
"ㄥ","10027","2","1002701","ㄡ","1","猛獸","高攻擊性動物的俗稱，通常是肉食動物。"
"ㄛ","10027","3","1002702","ㄧㄥ","1","茉莉的憧憬","虎虎！"
"ㄨ","10027","3","1002703","ㄨ","1","無敵英雄虎虎","茉莉仰慕的正義英雄。不能吐嘈那名字。"
"ㄨ","10028","1","1002800","ㄗ","1","兔子","有著長長耳朵和短短尾巴的可愛哺乳類。作為寵物也很受歡迎。"
"ㄨㄢ","10028","1","1002801","ㄡ","1","玩偶","將布縫合後裝入棉花，做成像人或動物的形狀的東西。"
"ㄨㄚ","10028","2","1002802","ㄨㄚ","1","娃娃","仿造人或生物製作的東西。有各種材質，可當玩具或作觀賞用、祭祀用等有各種用途。"
"ㄧㄚ","10028","3","1002803","ㄜ","1","亞瑟","真步的一隻玩偶。名稱的意象來自亞瑟王和圓桌騎士。"
"ㄚ","10029","1","1002900","ㄢ","1","炸彈","爆發後會產生熱與衝擊，並破壞、殺傷對方的一種兵器。超危險。"
"ㄨㄟ","10029","2","1002901","ㄧㄣ","1","危險物品","可能會危及生物或環境的物質。操作時可能需要有證照。"
"ㄩㄢ","10029","2","1002902","ㄧ","1","遠距離武器","指可以飛得很遠的攻擊型武器，會爆炸的東西還是丟的遠遠的比較好吧？"
"ㄧ","10029","3","1002903","ㄩ","1","禊的惡作劇道具","還是好好地被罵一次比較好。"
"ㄧ","10030","1","1003000","ㄨㄚ","1","西瓜","瓜科的大型果實。綠色條紋的外皮，紅色果肉與黑色種子令人印象深刻。"
"ㄧㄚ","10030","2","1003001","ㄧㄥ","1","夏天風情","用來表示夏天感覺的東西。除了西瓜，其他還有大海或煙火等。"
"ㄧㄥ","10030","2","1003002","ㄨㄛ","1","清涼退火","某些食物吃了會有消暑的感覺。"
"ㄚ","10031","1","1003100","ㄚ","1","馬","馬科的大型哺乳類。由於力量強大，還能快速跑步，大家很常將其作為家畜或賽馬。"
"ㄩ","10031","1","1003101","ㄗ","1","驢子","馬科的哺乳類。和馬比起來雖然小，但力量強大，作為勞動力很受人重視。"
"ㄨㄣ","10031","2","1003102","ㄚ","1","純種馬","用馬的種類將品種改良成競賽用的類型。"
"ㄥ","10031","3","1003103","ㄧㄢ","1","夢魘","戰隊競賽時登場的馬型魔物。"
"ㄧ","10032","1","1003200","ㄗ","1","椅子","為了坐下用的家具。也有顯示職位、地位的意義。"
"ㄧㄚ","10032","2","1003201","ㄩ","1","家具","放在室內，平時使用的道具總稱。"
"ㄧㄠ","10032","2","1003202","ㄧ","1","小學椅","小學生使用的課桌椅。"
"ㄨㄥ","10032","3","1003203","ㄩ","1","公會小屋道具","放在公會小屋的家具或裝飾品。從豪華的設計到獨特的物品，其變化非常豐富。"
"ㄞ","10033","1","1003300","ㄞ","1","海","在陸地之外的凹陷處會不斷蓄滿水的地方。"
"ㄧㄢ","10033","1","1003301","ㄢ","1","淺灘","陸地和大海相連的地方。"
"ㄠ","10033","2","1003302","ㄧ","1","潮汐","受到月球引力影響，海水往陸地推移或遠離的現象。"
"ㄤ","10033","2","1003303","ㄨㄚ","1","浪花","海浪受岸邊地形影響被打散時所出現的四濺水花。"
"ㄚ","10033","3","1003304","ㄢ","1","瑪爾傑海岸","雖然是可以從蘭德索爾徒步到達的受歡迎海灘，但是常出現魔物，意外的很危險。"
"ㄟ","10034","1","1003400","ㄜ","1","貝殼","包覆在貝類外側的殼。掉在沙灘上會讓人不自覺想收集。"
"ㄧㄚ","10034","2","1003401","ㄟ","1","甲殼類","有著堅硬外骨骼的節肢動物。蝦、蟹，還有水蚤都算在內。"
"ㄧ","10034","3","1003402","ㄕ","1","寄居蟹騎士","蘭德索爾的所到之處出現的魔物。外觀像鎧甲一樣堅硬，是難對付的敵人。"
"ㄧ","10035","1","1003500","ㄧ","1","笛","一般是指木管樂器。分為直笛與橫笛。"
"ㄓ","10035","1","1003501","ㄧ","1","直笛","木管樂器之一。不能用來玩擊劍遊戲。"
"ㄨㄢ","10035","2","1003502","ㄧ","1","管樂器","樂器分類中的一種。吹入氣息，震動管內的空氣來發出聲音。"
"ㄨ","10035","2","1003503","ㄧ","1","豎笛","以直立方式吹奏的笛子。直笛或單簧管等。"
"ㄨ","10036","1","1003600","ㄣ","1","書本","在一疊紙上印刷文字或圖畫後裝訂成冊的東西。"
"ㄧ","10036","1","1003601","ㄧ","1","筆記","寫下文字或圖畫用的文具。"
"ㄧㄠ","10036","2","1003602","ㄨㄛ","1","小說","創作的故事。有戀愛、歷史、推理等，種類繁多。"
"ㄞ","10036","3","1003603","ㄨ","1","凱留的魔導書","是書嗎？還是魔杖？"
"ㄩ","10037","1","1003700","ㄩ","1","魚","魚類一般的稱呼方式。傳說吃了會變聰明。"
"ㄧㄠ","10037","1","1003701","ㄩ","1","小魚","魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。"
"ㄨㄟ","10037","2","1003702","ㄩ","1","鮪魚","魚的一種。又大又美味的高級魚。說到壽司就是這個。"
"ㄞ","10037","2","1003703","ㄨ","1","海洋生物","生活在海洋中的生命體。"
"ㄨ","10038","1","1003800","ㄨ","1","樹","是樹木。"
"ㄢ","10038","2","1003801","ㄨ","1","杉木","用來當聖誕樹的針葉樹。大株的還會長到40公尺。"
"ㄥ","10038","2","1003802","ㄧㄝ","1","聖誕節","雖然不清楚是何時開始及為什麼，但是聖誕老公公送禮的日子。"
"ㄧㄝ","10038","2","1003803","ㄨ","1","耶誕樹","耶誕節時的標誌裝飾物，將燈飾、彩帶等飾品掛在樹上而成。"
"ㄧㄥ","10038","2","1003804","ㄧㄝ","1","平安夜","聖誕節前一天的夜晚，也指聖誕節天亮前的深夜。"
"ㄨㄤ","10038","3","1003805","ㄜ","1","忘却的頌歌","和千歌一起，在聖夜於咲戀育幼院發生的奇蹟故事。"
"ㄤ","10039","1","1003900","ㄤ","1","棒棒糖","有棍子的糖果。"
"ㄧㄢ","10039","2","1003901","ㄕ","1","甜食","甜甜的很好吃，含在口中的感覺最棒了！"
"ㄜ","10039","3","1003902","ㄧㄣ","1","克蘿依的點心","光是拿著，那畫面就像一幅畫。"
"ㄨㄢ","10040","1","1004000","ㄨㄟ","1","玩具槌","上面是柔軟的，用波浪管製成的玩具。被打到會發出滑稽的聲音。"
"ㄧㄝ","10040","2","1004001","ㄨㄟ","1","鐵鎚","上面是由金屬製成的鈍器。被打到會很痛。"
"ㄧㄠ","10040","2","1004002","ㄨㄟ","1","小槌","小槌子。搖晃它可能會出現各種東西，也可能不會出現。"
"ㄧ","10040","3","1004003","ㄧ","1","祈梨的武器","祈梨的武器。動作很可愛，但進行的攻擊很兇狠。"
"ㄧㄥ","10041","1","1004100","ㄧㄥ","1","星星","在夜空發光的天體。"
"ㄞ","10041","2","1004101","ㄧㄥ","1","海星","星形的海洋生物。不適合食用。"
"ㄧㄤ","10041","2","1004102","ㄧㄥ","1","亮晶晶","發光模樣的一種表現。"
"ㄧㄡ","10041","2","1004103","ㄧㄥ","1","流星","初音的必殺技"
"ㄢ","10041","3","1004104","ㄨㄤ","1","蘭德索爾的形狀","不從空中看的話不會知道。"
"ㄠ","10042","1","1004200","ㄗ","1","帽子","戴在頭上的飾品。"
"ㄣ","10042","1","1004201","ㄕ","1","紳士","謹守禮儀的男士，也可以指社經地位高的人士。"
"ㄧ","10042","2","1004202","ㄠ","1","禮帽","「帽子」的種類之一。"
"ㄟ","10043","1","1004300","ㄗ","1","杯子","裝飲料等的容器。"
"ㄜ","10043","1","1004301","ㄜ","1","可可","以可可樹的果實製成的飲品。"
"ㄚ","10043","2","1004302","ㄟ","1","馬克杯","「杯子」的種類之一。"
"ㄛ","10043","2","1004303","ㄚ","1","摩卡","混合巧克力的咖啡。"
"ㄡ","10044","1","1004400","ㄡ","1","狗","會汪汪叫的動物。"
"ㄩㄢ","10044","1","1004401","ㄩㄢ","1","犬","「狗」的別種說法。"
"ㄤ","10044","2","1004402","ㄤ","1","狼","「狗」的同類。野生之力。"
"ㄩㄝ","10044","2","1004403","ㄩㄝ","1","月月","哈士奇的暱稱。"
"ㄚ","10044","2","1004404","ㄧ","1","哈士奇","非常像狼的大型犬種，可以當作寵物，如果你可以接受牠許多讓人哭笑不得的行為。"
"ㄧ","10045","1","1004500","ㄗ","1","旗子","輕飄飄的布。"
"ㄢ","10045","2","1004501","ㄧ","1","戰旗","軍隊在戰鬥時使用的旗子，用以分辨敵我，也可以當作下達指令的工具。"
"ㄧㄣ","10045","2","1004502","ㄧ","1","信號旗","用來傳遞訊息的旗子，通常是透過暗號或旗語來運作。"
"ㄢ","10046","1","1004600","ㄠ","1","蛋糕","很棒的點心。甜甜的很好吃。"
"ㄧㄢ","10046","2","1004601","ㄧㄣ","1","點心","很棒的食物。"
"ㄥ","10046","2","1004602","ㄜ","1","生日快樂","準備好要唱生日快樂歌了嗎？"
"ㄧ","10046","3","1004603","ㄨ","1","羈絆點數","羈絆的深遠不只是共同渡過的時間。卡路里也是羈絆的證明……"
"ㄨㄥ","10046","3","1004604","ㄠ","1","綜合莓果蛋糕","大家的最愛，就不說是什麼了，直接加上30羈絆值。"
"ㄞ","10047","1","1004700","ㄥ","1","麥克風","將聲音轉換成信號的裝置。"
"ㄤ","10047","2","1004701","ㄜ","1","唱歌","麥克風是唱歌的必需品！"
"ㄧㄢ","10047","2","1004702","ㄨㄟ","1","演唱會","在舞台上現場演奏。"
"ㄡ","10047","2","1004703","ㄧㄣ","1","偶像的必備物品","要是沒有這個就無法開始。"
"ㄢ","10047","3","1004704","ㄥ","1","閃耀麥克風","望的專用裝備。有慈樂之音的標誌！"
"ㄡ","10048","1","1004800","ㄨㄥ","1","口紅","能襯出嘴唇的化妝品。"
"ㄨㄣ","10048","1","1004801","ㄠ","1","唇膏","抹在嘴唇上，用來保護嘴唇的保養品。"
"ㄨㄚ","10048","2","1004802","ㄧㄣ","1","化妝品","為了美觀而塗抹在臉上的物品。"
"ㄧㄢ","10049","1","1004900","ㄠ","1","年糕","將穀物蒸煮後的東西。也是吉祥物。"
"ㄚ","10049","1","1004901","ㄨ","1","麻糬","「年糕」的別種說法。"
"ㄧㄥ","10049","2","1004902","ㄧㄥ","1","鏡餅","新年時可以供奉神佛，一大一小相疊的糯米糕。"
"ㄢ","10049","2","1004903","ㄨ","1","碳水化合物","年糕的主要營養素。小心不要吃太多。"
"ㄨㄛ","10049","2","1004904","ㄠ","1","糯米糕","以糯米製成的點心。"
"ㄧㄠ","10050","1","1005000","ㄧㄥ","1","妖精","嬌小又長著翅膀的種族。"
"ㄧㄝ","10050","3","1005001","ㄧㄚ","1","涅比亞","住在公會小屋的惡作劇妖精。"
"ㄩ","10051","1","1005100","ㄢ","1","雨傘","主要是避雨用的傘。"
"ㄜ","10051","2","1005101","ㄢ","1","遮陽傘","主要是遮陽用的傘。"
"ㄧㄤ","10051","2","1005102","ㄢ","1","陽傘","主要是遮陽用的傘。"
"ㄢ","10051","3","1005103","ㄖ","1","貪吃佩可夏日","盛夏時海灘公主的必需品！"
"ㄞ","10052","1","1005200","ㄗ","1","骰子","為了產生亂數用的道具。"
"ㄨ","10052","2","1005201","ㄛ","1","賭博","賭博。骰子上的數字讓人一喜一憂。"
"ㄧㄡ","10052","2","1005202","ㄧ","1","六面體","一般的骰子形狀。"
"ㄚ","10052","2","1005203","ㄨㄥ","1","大富翁","使用骰子的桌遊。"
"ㄧ","10052","2","1005204","ㄚ","1","洗八啦","一種以骰子進行的賭博遊戲，許多香腸攤老闆都對這個遊戲有自己的見解。"
"ㄧㄣ","10053","1","1005300","ㄧㄣ","1","信","將無法言喻的心意化為文字。"
"ㄧㄡ","10053","2","1005301","ㄧㄢ","1","郵件","透過郵遞系統移動的書信或包裹。"
"ㄧㄥ","10053","2","1005302","ㄨ","1","情書","用來傳達愛意的信。"
"ㄨ","10053","2","1005303","ㄧㄣ","1","書信","用來傳遞訊息的文件。"
"ㄟ","10053","2","1005304","ㄨ","1","飛鴿傳書","古代利用鴿子傳遞訊息的方法。"
"ㄨ","10054","1","1005400","ㄠ","1","葡萄","是一串的。旁邊的好像很酸。"
"ㄗ","10054","1","1005401","ㄠ","1","紫葡萄","紫色的葡萄，說到葡萄，還是紫色的最常見。"
"ㄩ","10054","2","1005402","ㄥ","1","巨峰","「葡萄」的種類之一。"
"ㄧㄢ","10055","1","1005500","ㄧㄤ","1","綿羊","有著鬆軟的毛。"
"ㄧㄤ","10055","1","1005501","ㄧㄝ","1","羊咩咩","對小孩子說羊的時候，有時候會這麼說。"
"ㄞ","10055","2","1005502","ㄧㄤ","1","白羊","白色的羊。"
"ㄚ","10055","2","1005503","ㄧㄤ","1","瑪莉有隻小綿羊","真可愛呀～♪"
"ㄡ","10056","1","1005600","ㄨ","1","豆腐","用豆子製成的東國料理。"
"ㄨ","10056","2","1005601","ㄨ","1","木綿豆腐","「豆腐」的種類之一。野性的口感。"
"ㄧㄤ","10056","2","1005602","ㄨ","1","涼拌豆腐","代表性的豆腐料理。"
"ㄧㄥ","10056","2","1005603","ㄨ","1","杏仁豆腐","杏仁做成的形狀像豆腐的甜品。"
"ㄧㄚ","10057","1","1005700","ㄗ","1","鴨子","不會飛的鳥。會嗄嗄的叫。"
"ㄧㄠ","10057","2","1005701","ㄟ","1","鳥類","也有會飛的鳥。也有不會飛的鳥。"
"ㄨㄟ","10057","2","1005702","ㄧㄠ","1","水鳥","依水而生的鳥類。"
"ㄧㄥ","10058","1","1005800","ㄧㄥ","1","蜻蜓","在空中飛的昆蟲。"
"ㄧㄢ","10058","2","1005801","ㄧㄥ","1","晏蜓","「蜻蜓」的種類之一。"
"ㄨㄣ","10058","2","1005802","ㄨㄥ","1","昆蟲","六支腳的動物。"
"ㄟ","10058","2","1005803","ㄨㄥ","1","飛龍","「蜻蜓」的英文稱呼，直譯後的意思，很厲害吧。"
"ㄧㄝ","10059","1","1005900","ㄗ","1","葉子","高等植物的營養器官。"
"ㄨ","10059","1","1005901","ㄧㄝ","1","樹葉","樹木的葉子。"
"ㄩ","10059","2","1005902","ㄧㄝ","1","綠葉","綠色的葉子。"
"ㄧ","10059","3","1005903","ㄧㄡ","1","碧的朋友","碧可以毫無顧慮聊天的少數的朋友。是朋友。"
"ㄧㄝ","10060","1","1006000","ㄓ","1","戒指","戴在手指上的飾品。"
"ㄨㄢ","10060","1","1006001","ㄧㄝ","1","鑽戒","鑲有鑽石的戒指。"
