cacfb2c8b31b20fda36bb4992ec4bada34890492670566847a882e98fdad0adb,4e7e44c1180b826de7c3693ce8abdde0f530e0489c0b7400bad5d4ebd5b89a9b,96367c0ef2d427a0e3767346694740bc39ada4e8ebf421b267a241163c30f557,7024a99b595e7e443caec5d33a1ebf007175d3d949bc54aca4d57fa0b380de09,d0449a417853a88fdd5c99616079fe362e98f8d0a66df51dc1cba06e95945ed3,42f80972fe4701b84b53c47ed30a210c03b8c487b2c495c687ccb1ab5c3bdb80,0f9e418aeafb0d301857a165dd740440eeffc0bbdc9c1402864d2ef9931a3273,aaece7f6496362341ba01f6646298e52c166f5b426476295373fb98d4ca137c2,011cece186a611b39f70cf0db8ccc686f50083a39f975bb742fcdefc0e7d43f5,ea49eeb18030ef589fd6e64cc0cb396598d80c5ad642c388eccba2b08e5af23e,72aa6116774bda42ddeb39891b537f88b415b6b421bf9c7d4814f1dd861c776e
"3","","-15","102110038","640","","","0","211","1001004","2"
"3","","-90","102110039","570","","","0","211","1001005","2"
"3","","-90","102110040","850","","","0","211","1001001","33"
"3","","-15","102110041","780","","","0","211","1001002","33"
"3","","-105","102110042","710","","","0","211","1001003","33"
"3","","-15","102110043","640","","","0","211","1001004","33"
"3","","-90","102110044","570","","","0","211","1001005","33"
"","0","1","102110045","<weapon>_run","","","0","211","1002001","3"
"","0","1","102110046","<weapon>_run","","","0","211","1002002","3"
"","0","1","102110047","<weapon>_run","","","0","211","1002003","3"
"","0","1","102110048","<weapon>_run","","","0","211","1002004","3"
"","0","1","102110049","<weapon>_run","","","0","211","1002005","3"
"3","","-240","102110050","450","","","0","211","1002001","2"
"3","","-165","102110051","380","","","0","211","1002002","2"
"3","","-255","102110052","310","","","0","211","1002003","2"
"3","","-165","102110053","240","","","0","211","1002004","2"
"3","","-240","102110054","170","","","0","211","1002005","2"
"3","","-240","102110055","450","","","0","211","1002001","33"
"3","","-165","102110056","380","","","0","211","1002002","33"
"3","","-255","102110057","310","","","0","211","1002003","33"
"3","","-165","102110058","240","","","0","211","1002004","33"
"3","","-240","102110059","170","","","0","211","1002005","33"
"","","","102110060","1","","","","211","10020","32"
"","","","102110061","0","","","","211","2.5","93"
"","","","102110062","1","","","","211","10031","32"
"","","","102110063","0","","","","211","0.4","93"
"","","","102110064","0","","","","211","0","91"
"","","0","103110001","se_travel_start_3pt","","","","311","se_travel","23"
"0","1","0","103110002","10010","","","1","311","10010","31"
"0","1","0","103110003","10011","","","1","311","10011","31"
"0","0","0","103110004","10020","","","1","311","10020","31"
"0","0.68","62","103110005","1001001","0","<weapon>_idle","-240","311","2","1"
"-70","0.68","61","103110006","1001002","0","<weapon>_idle","-165","311","2","1"
"-140","0.68","63","103110007","1001003","0","<weapon>_idle","-255","311","2","1"
"-210","0.68","61","103110008","1001004","0","<weapon>_idle","-165","311","2","1"
"-280","0.68","62","103110009","1001005","0","<weapon>_idle","-240","311","2","1"
"-240","1","0","103110010","1001001","0","","0.68","311","10012","31"
"-165","1","-70","103110011","1001002","0","","0.68","311","10012","31"
"-255","1","-140","103110012","1001003","0","","0.68","311","10012","31"
"-165","1","-210","103110013","1001004","0","","0.68","311","10012","31"
"-240","1","-280","103110014","1001005","0","","0.68","311","10012","31"
"-250","0.68","52","103110015","1002001","0","<weapon>_idle","-60","311","2","1"
"-320","0.68","51","103110016","1002002","0","<weapon>_idle","15","311","2","1"
"-390","0.68","53","103110017","1002003","0","<weapon>_idle","-75","311","2","1"
"-460","0.68","51","103110018","1002004","0","<weapon>_idle","15","311","2","1"
"-530","0.68","52","103110019","1002005","0","<weapon>_idle","-60","311","2","1"
"-60","1","-250","103110020","1002001","0","","0.68","311","10012","31"
"15","1","-320","103110021","1002002","0","","0.68","311","10012","31"
"-75","1","-390","103110022","1002003","0","","0.68","311","10012","31"
"15","1","-460","103110023","1002004","0","","0.68","311","10012","31"
"-60","1","-530","103110024","1002005","0","","0.68","311","10012","31"
"-500","0.68","62","103110025","1003001","0","<weapon>_idle","-250","311","2","1"
"-570","0.68","61","103110026","1003002","0","<weapon>_idle","-175","311","2","1"
"-640","0.68","63","103110027","1003003","0","<weapon>_idle","-265","311","2","1"
"-710","0.68","61","103110028","1003004","0","<weapon>_idle","-175","311","2","1"
"-780","0.68","62","103110029","1003005","0","<weapon>_idle","-250","311","2","1"
"-250","1","-500","103110030","1003001","0","","0.68","311","10012","31"
"-175","1","-570","103110031","1003002","0","","0.68","311","10012","31"
"-265","1","-640","103110032","1003003","0","","0.68","311","10012","31"
"-175","1","-710","103110033","1003004","0","","0.68","311","10012","31"
"-250","1","-780","103110034","1003005","0","","0.68","311","10012","31"
"0","0","0","103110035","10030","","","1","311","10030","31"
"0","0","0","103110036","10031","","","1","311","10031","31"
"","","","103110037","0","","","","311","","91"
"","","","103110038","1","","","","311","10030","32"
"","","","103110039","0","","","","311","0","91"
"","0","1","103110040","<weapon>_run","","","0","311","1001001","3"
"","0","1","103110041","<weapon>_run","","","0","311","1001002","3"
"","0","1","103110042","<weapon>_run","","","0","311","1001003","3"
"","0","1","103110043","<weapon>_run","","","0","311","1001004","3"
"","0","1","103110044","<weapon>_run","","","0","311","1001005","3"
"3","","-240","103110045","950","","","0","311","1001001","2"
"3","","-165","103110046","880","","","0","311","1001002","2"
"3","","-255","103110047","810","","","0","311","1001003","2"
"3","","-165","103110048","740","","","0","311","1001004","2"
"3","","-240","103110049","670","","","0","311","1001005","2"
"3","","-240","103110050","950","","","0","311","1001001","33"
"3","","-165","103110051","880","","","0","311","1001002","33"
"3","","-255","103110052","810","","","0","311","1001003","33"
"3","","-165","103110053","740","","","0","311","1001004","33"
"3","","-240","103110054","670","","","0","311","1001005","33"
"","0","1","103110055","<weapon>_run","","","0","311","1002001","3"
"","0","1","103110056","<weapon>_run","","","0","311","1002002","3"
"","0","1","103110057","<weapon>_run","","","0","311","1002003","3"
"","0","1","103110058","<weapon>_run","","","0","311","1002004","3"
"","0","1","103110059","<weapon>_run","","","0","311","1002005","3"
"3","","-60","103110060","700","","","0","311","1002001","2"
"3","","15","103110061","630","","","0","311","1002002","2"
"3","","-75","103110062","560","","","0","311","1002003","2"
"3","","15","103110063","490","","","0","311","1002004","2"
"3","","-60","103110064","420","","","0","311","1002005","2"
"3","","-60","103110065","700","","","0","311","1002001","33"
"3","","15","103110066","630","","","0","311","1002002","33"
"3","","-75","103110067","560","","","0","311","1002003","33"
"3","","15","103110068","490","","","0","311","1002004","33"
"3","","-60","103110069","420","","","0","311","1002005","33"
"","0","1","103110070","<weapon>_run","","","0","311","1003001","3"
"","0","1","103110071","<weapon>_run","","","0","311","1003002","3"
"","0","1","103110072","<weapon>_run","","","0","311","1003003","3"
"","0","1","103110073","<weapon>_run","","","0","311","1003004","3"
"","0","1","103110074","<weapon>_run","","","0","311","1003005","3"
"3","","-250","103110075","450","","","0","311","1003001","2"
"3","","-175","103110076","380","","","0","311","1003002","2"
"3","","-265","103110077","310","","","0","311","1003003","2"
"3","","-175","103110078","240","","","0","311","1003004","2"
"3","","-250","103110079","170","","","0","311","1003005","2"
"3","","-250","103110080","450","","","0","311","1003001","33"
"3","","-175","103110081","380","","","0","311","1003002","33"
"3","","-265","103110082","310","","","0","311","1003003","33"
"3","","-175","103110083","240","","","0","311","1003004","33"
"3","","-250","103110084","170","","","0","311","1003005","33"
"","","","103110085","1","","","","311","10020","32"
"","","","103110086","0","","","","311","2.5","93"
"","","","103110087","1","","","","311","10031","32"
"","","","103110088","0","","","","311","0.4","93"
"","","","103110089","0","","","","311","0","91"
