c56a89e6205e161408a8e2a4ce4462abdcdf91ae3ef3df168da083e66aad3661,0662a582dc50d9e8fda5f28f6dc0cc51271e85e595eb17eb9615a1f6b861b3a7,71164610632079e7a6727b3b4324fcd77d2710b033c236a8a43e74839935f00a,1e9fa946e969e2b1ab68f5b1fd086a772da985379313f0941f21771d6d5d964b,2f255e0139ad8c5945827c6ec86d0cf939c549f9fcb862de7a5269240702d742,e9466875c63628382e8d191936bc39441081579e17320a308d44c066fa0bbb11,abe52b1302e9d4cd8a2e8026f34246c71160855919debe99a567ca2054c0f9b2,a614914a5f0c2eda7304575369350ed9cbe5563c452c7cdafbf738c04733bea6,c3b5f63ce94459660a9ce551102485ca28d75e42197a94de911b49ae22bb0543,b11f99489845247d74169319775d65d973c32405d5ceb1de6141097d54279229,5c4ed447ff9f3c60bb5b7b25c4bfabbf9d946cfa17591c757c652a18a91fb2fa
"","1","","10","","","106031","反正我也挺感興趣，\n就陪陪妳們吧。","","11","1010028"
"","1","","","","","0","","","91","1010029"
"","1","","10","","","112431","好♪大家一起\n加油以登頂\n為目標吧！","","11","1010030"
"","1","","","","","0","","","91","1010031"
"0","2","0","100","02_uek_cmn_idol_def_N","1.3","1","104431","0","1","1020001"
"","2","02_uek_02_ilya_loop","0","","","104431","02_uek_02_ilya","0","3","1020002"
"","2","0","10","","","104431","哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","","11","1020003"
"","2","","","","","0","","0","91","1020004"
"0","3","-140","100","01_uek_cmn_idol_def_N","1.3","1","105831","-10","1","1030001"
"1","3","120","100","01_uek_cmn_idol_def_N","1.3","1","105931","10","1","1030002"
"1","3","0","100","01_uek_cmn_idol_def_N","1.3","1","106031","0","1","1030003"
"","3","01_uek_03_peko_loop","0","","","105831","01_uek_03_peko","0","3","1030004"
"","3","01_uek_03_kyaru_loop","0","","","106031","01_uek_03_kyaru","0","3","1030005"
"","3","0","10","","","105831","小凱留！\n妳快看，\n景色很棒哦☆","","11","1030006"
"","3","","","","","0","","","91","1030007"
"","3","0","10","","","106031","喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","","11","1030008"
"","3","","","","","0","","","91","1030009"
"","3","01_uek_cmn_idol_def_N","0","","","105931","01_uek_03_kokkoro","1","3","1030010"
"","3","0","10","","","105931","呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","","11","1030011"
"0","4","-120","100","02_uek_cmn_idol_def_N","1.3","1","101131","-30","1","1040001"
"1","4","20","100","02_uek_cmn_idol_def_N","1.3","1","104931","-5","1","1040002"
"","4","","1","","","101131","02_uek_talk_joy2","","3","1040003"
"","4","0","10","","","101131","千萬行星也要\n始於腳下！\n我會加油的！","","11","1040004"
"","4","","","","","0","","","91","1040005"
"","4","","1","","0.2","101131","02_uek_cmn_idol_def_N","","3","1040006"
"","4","","1","","0.2","104931","02_uek_04_shizuru","","3","1040007"
"","4","0","10","","","104931","妳要說的應該是\n千里之行始於\n足下喔，璃乃。","","11","1040008"
"","4","","","","","0","","","91","1040009"
"","4","","1","","0.2","104931","02_uek_cmn_idol_def_N","","3","1040010"
"0","5","-70","100","02_uek_cmn_idol_def_N","1.3","1","105031","0","1","1050001"
"1","5","70","100","02_uek_cmn_idol_def_N","1.3","1","101631","1","1","1050002"
"","5","02_uek_05_misaki_loop","0","","","105031","02_uek_05_misaki","-15","3","1050003"
"","5","02_uek_05_suzuna_loop","0","","","101631","02_uek_05_suzuna","0","3","1050004"
"","5","0","10","","","105031","我要登上大人\n的階梯了～！","","11","1050005"
"","5","","","","","0","","0","91","1050006"
"","5","0","10","","","101631","人家也要成為\n超級巨星名模囉！","","11","1050007"
"1","6","120","100","02_uek_cmn_idol_def_N","1.3","1","100531","25","1","1060001"
"0","6","-20","100","02_uek_cmn_idol_def_N","1.3","1","103731","5","1","1060002"
"","6","","1","","","100531","02_uek_cmn_pose04","","3","1060003"
"","6","0","10","","","100531","如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","","11","1060004"
"","6","","","","","0","","","91","1060005"
"","6","","1","","0.2","103731","02_uek_talk_normal","","3","1060006"
"","6","0","10","","","103731","嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","","11","1060007"
"","6","","","","","0","","","91","1060008"
"","6","","1","","0.2","103731","02_uek_cmn_idol_def_N","","3","1060009"
"0","7","-60","100","02_uek_cmn_idol_def_N","1.3","1","103831","-20","1","1070001"
"","7","","1","","0.2","103831","02_uek_07_shiori","","3","1070002"
"","7","","10","","","103831","奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","","11","1070003"
"0","8","90","100","02_uek_08_kuka_loop","1.3","1","104531","40","1","1080001"
"","8","60","90","","1","2","2","1","31","1080002"
"","8","0","10","","","104531","啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","0","11","1080003"
"","8","","","","","0","","","91","1080004"
"0","9","-195","100","05_idle","0.9","2","105831","-35","1","1090001"
"0","9","150","1000","302102_idle","1.2","2","302102","-30","1","1090002"
"","9","50","150","","1","102","15","1","31","1090003"
"","9","400","150","","1","103","16","1","31","1090004"
"0","10","-160","100","01_uek_cmn_idol_def_N","1.3","1","112531","-25","1","1100001"
"1","10","-40","100","01_uek_cmn_idol_def_N","1.3","1","112431","-5","1","1100002"
"1","10","125","100","01_uek_cmn_idol_def_N","1.3","1","112631","20","1","1100003"
"","10","","1","","","112631","01_uek_talk_surprise2","0","3","1100004"
"","10","0","10","","","112631","嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","0","11","1100005"
"","10","","","","","0","","","91","1100006"
"","10","","1","","0.2","112631","01_uek_cmn_idol_def_N","0","3","1100007"
"","10","","1","","","112431","01_uek_talk_joy1","","3","1100008"
"","10","0","10","","","112431","有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","0","11","1100009"
"","10","","","","","0","","","91","1100010"
"","10","","1","","0.2","112431","01_uek_cmn_idol_def_N","","3","1100011"
"","10","","1","","","112531","01_uek_talk_normal","","3","1100012"
"","10","0","10","","","112531","雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","0","11","1100013"
"","10","","","","","0","","","91","1100014"
"","10","","1","","0.2","112531","01_uek_cmn_idol_def_N","","3","1100015"
"","10","","","","","0","","","91","1100016"
"0","11","-135","100","03_uek_cmn_idol_def_N","1.3","1","104731","-20","1","1110001"
"1","11","100","100","03_uek_cmn_idol_def_N","1.3","1","107131","5","1","1110002"
"","11","03_uek_11_jun_loop","0","","0","104731","03_uek_11_jun","1","3","1110003"
"0.2","11","03_uek_cmn_idol_def_N","0","","0","107131","03_uek_11_chris","1","3","1110004"
"","11","","10","","","104731","唔，視野一片白……\n小克莉絲，\n妳要小心！","0","11","1110005"
"","11","","","","","0","","","91","1110006"
"","11","0","10","","","107131","哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","0","11","1110007"
"","11","","","","","1.5","","","93","1110008"
"","11","1.5","0","","","104731","-135","1","2","1110009"
"","11","","","","","1110007","","","91","1110010"
"0","12","-120","100","03_uek_cmn_idol_def_N","1.3","1","101031","-20","1","1120001"
"1","12","10","100","03_uek_cmn_idol_def_N","1.3","1","101431","-5","1","1120002"
"","12","","1","","","101031","03_uek_talk_joy1","0","3","1120003"
"","12","0","10","","","101031","好可愛的雲呀，\n真想一起\n帶回去啊♪","0","11","1120004"
"","12","","","","","0","","","91","1120005"
"","12","","1","","0.2","101031","03_uek_cmn_idol_def_N","0","3","1120006"
"","12","","1","","","101431","03_uek_talk_normal","0","3","1120007"
"","12","0","10","","","101431","再怎麼說\n那未免也\n太困難了吧……？","0","11","1120008"
"","12","","","","","0","","","91","1120009"
"","12","","1","","0.2","101431","03_uek_cmn_idol_def_N","0","3","1120010"
"0","13","-165","100","01_uek_cmn_idol_def_N","1.3","1","105831","-45","1","1130001"
"0","13","-45","100","01_uek_cmn_idol_def_N","1.3","1","105931","-20","1","1130002"
"1","13","120","100","01_uek_cmn_idol_def_N","1.3","1","106031","-5","1","1130003"
"","13","","1","","","105931","01_uek_talk_normal","1","3","1130004"
"","13","0","10","","","105931","已經爬到滿高的\n地方來了呢……","0","11","1130005"
"","13","","","","","0","","","91","1130006"
"","13","01_uek_cmn_idol_def_N","0","","0.2","105931","01_uek_13_kokkoro","1","3","1130007"
"","13","01_uek_13_kyaru_loop","0","","","106031","01_uek_13_kyaru","1","3","1130008"
"","13","0","10","","","106031","根本完全\n看不見頂端啊！\n到底有多高啊！","0","11","1130009"
"","13","","","","","0","","","91","1130010"
"","13","","1","","","105831","01_uek_13_peco_loop","0","3","1130011"
"","13","0","10","","","105831","有什麼關係嘛。\n運動後吃的東西\n會格外美味哦☆","0","11","1130012"
"","13","","","","","0","","","91","1130013"
"0","14","-86","100","03_uek_cmn_idol_def_N","1.3","1","104031","-25","1","1140001"
"","14","250","0","","1","1","1","1","31","1140002"
"","14","03_uek_14_aoi_loop","0","","","104031","03_uek_14_aoi","1","3","1140003"
"","14","0","10","","","104031","嗚嗚，這風是\n對邊緣人的\n猛烈排擠嗎！？","0","11","1140004"
"0","15","-75","100","03_uek_cmn_idol_def_N","1.3","1","100731","-20","1","1150001"
"1","15","65","100","03_uek_15_father","1.3","1","103131","10","1","1150002"
"","15","","1","","","100731","03_uek_15_miyako","0","3","1150003"
"","15","0","10","","","100731","天上好舒服哦～\n這就是所謂的\n幸福到快升天嗎？","0","11","1150004"
"","15","","","","","0","","","91","1150005"
"","15","","1","","","103131","03_uek_15_father","0","3","1150006"
"","15","0","10","","","103131","小鬼妳也是嗎？\n本大爺的身體也\n變得好輕啊！","0","11","1150007"
"","15","","","","","0","","","91","1150008"
"","15","","1","","","103131","03_uek_talk_normal","0","3","1150009"
"","15","0","10","","","103131","宮子\n妳可不能\n真的升天哦……？","0","11","1150010"
"","15","","","","","0","","","91","1150011"
"","15","","1","","0.2","103131","03_uek_cmn_idol_def_N","0","3","1150012"
"0","16","-110","100","01_uek_cmn_idol_def_N","1.3","1","112431","-45","1","1160001"
"1","16","40","100","01_uek_cmn_idol_def_N","1.3","1","105831","-15","1","1160002"
"1","16","140","100","01_uek_cmn_idol_def_N","1.3","1","105931","10","1","1160003"
"","16","01_uek_cmn_idol_def_N","0","","","105931","01_uek_01_kokkoro","0","3","1160004"
"","16","01_uek_cmn_idol_def_N","0","","","112431","01_uek_01_uduki","1","3","1160005"
"","16","01_uek_cmn_idol_def_N","0","","","105831","01_uek_01_peko","1","3","1160006"
"","16","","","","","0","","","91","1160007"
"","16","","1","","","105931","01_uek_talk_normal","1","3","1160008"
"","16","0","10","","","105931","卯月小姐。前路似乎\n還很漫長，\n您不休息沒問題嗎？","0","11","1160009"
"","16","","","","","0","","","91","1160010"
"","16","","1","","","105931","01_uek_cmn_idol_def_N","1","3","1160011"
"","16","","1","","","112431","01_uek_talk_joy1","","3","1160012"
"","16","0","10","","","112431","嗯，沒問題！\n我很樂在其中，\n太讚了吧☆","0","11","1160013"
"","16","","","","","1.5","","","93","1160014"
"","16","01_uek_16_uduki_loop","0","","0.2","112431","01_uek_16_uduki","1","3","1160015"
"","16","","","","","1160013","","","91","1160016"
"","16","","1","","","105831","01_uek_talk_joy1","","3","1160017"
"","16","0","10","","","105831","妳很有活力呢！\n卯月，我們\n一起加油吧～☆","0","11","1160018"
"","16","","","","","2.2","","","93","1160019"
"","16","01_uek_16_uduki_loop","0","","0.2","105831","01_uek_16_peco","1","3","1160020"
"","16","","","","","1160018","","","91","1160021"
"1","17","150","300","03_uek_cmn_idol_def_N","1.3","1","102331","10","1","1170001"
"0","17","-100","100","03_uek_cmn_idol_def_N","1.3","1","102131","-15","1","1170002"
"","17","10","20","","0","3","3","1.3","31","1170003"
"0.2","17","03_uek_17_ayane_loop","0","","0.2","102331","03_uek_17_ayane","1","3","1170004"
"","17","03_uek_cmn_idol_def_N","0","","0.2","102131","03_uek_cmn_pose05","1","3","1170005"
"","17","","","","","3","1","","32","1170006"
"","17","0","10","","","102331","妳看妳看！\n我用雲做出了\n噗吉哦～！","0","11","1170007"
"","17","","","","","0","","","91","1170008"
"","17","","1","","0.2","102131","03_uek_talk_joy1","","3","1170009"
"","17","0","10","","","102131","哇，好厲害～！\n我也想\n做點什麼呢……♪","0","11","1170010"
"","17","","","","","0","","","91","1170011"
"","17","","1","","0.2","102131","03_uek_cmn_idol_def_N","","3","1170012"
"0","18","229","100","01_uek_cmn_idol_def_N","1.3","1","112631","45","1","1180001"
"0","18","170","110","01_uek_cmn_idol_def_N","1.3","1","105831","20","1","1180002"
"0","18","-85","100","01_uek_cmn_idol_def_N","1.3","1","105931","-10","1","1180003"
"","18","01_uek_18_mio_loop","0","","","112631","01_uek_18_mio","1","3","1180004"
"","18","0","10","","","112631","已經爬了很高呢～\n來看看底下的\n景色吧！","0","11","1180005"
"","18","","","","","0","","","91","1180006"
"","18","01_uek_18_mio_loop","0","","","105831","01_uek_18_mio","1","3","1180007"
"","18","0","10","","","105831","是啊！\n嗯，我看看…\n唔，哇哇哇哇！","0","11","1180008"
"","18","","","","","3","","","93","1180009"
"","18","2","5","","","105831","170","1","2","1180010"
"","18","","","","","1180008","","","91","1180011"
"","18","01_uek_cmn_idol_def_N","0","","","105931","01_uek_18_kokkoro","1","3","1180012"
"","18","0","10","","","105931","呵呵，兩位\n嬉嬉鬧鬧的，\n好像很開心呢。","0","11","1180013"
"0","19","402","100","02_uek_19_hatsune","1.3","1","101231","110","1","1190001"
"0","19","166","100","02_uek_talk_surprise2","1.3","1","103831","30","1","1190002"
"","19","","1","","0.2","103831","02_uek_talk_surprise2","0","3","1190003"
"","19","0","10","","","103831","啊！姊姊！\n在這種地方睡著\n很危險的！","0","11","1190004"
"","19","","","","","0","","","91","1190005"
"","19","0","10","","","101231","我好像聽到了\n小栞的聲音……\n呼嚕……☆","0","11","1190006"
"0","20","-195","100","05_idle","0.9","2","105831","-35","1","1200001"
"0","20","150","1000","304602_idle","1.4","2","304602","30","1","1200002"
"","20","50","150","","1","102","17","1","31","1200003"
"","20","400","150","","1","103","18","1","31","1200004"
"0","21","185","110","01_uek_21_kokkoro_loop","1.3","1","105931","25","1","1210001"
"0","21","65","120","01_uek_21_rin_loop","1.3","1","112531","-5","1","1210002"
"0","21","-140","100","01_uek_cmn_idol_def_N","1.3","1","106031","-35","1","1210003"
"","21","0","10","","","105931","風吹得好舒服呢。\n像在溫柔地對我們\n輕聲呢喃一樣。","0","11","1210004"
"","21","","","","","0","","","91","1210005"
"","21","0","10","","","112531","說不定蒼風有什麼話\n想對向上邁進的\n我們說呢……","0","11","1210006"
"","21","","","","","0","","","91","1210007"
"","21","01_uek_cmn_idol_def_N","0","","","106031","01_uek_21_kyaru","1","3","1210008"
"","21","0","10","","","106031","……妳們好像\n在奇妙的地方\n同步了呢。","0","11","1210009"
"","21","","","","","0","","","91","1210010"
"0","22","180","100","01_uek_cmn_idol_def_N","1.3","1","105831","40","1","1220001"
"","22","250","420","","1","4","4","1.3","31","1220002"
"","22","","1","","0.2","105831","01_uek_cmn_pose03","","3","1220003"
"","22","0","10","","","105831","像飯糰的雲\n會是什麼味道呢\n……流口水☆","0","11","1220004"
"","22","","","","","0","","","91","1220005"
"0","23","33","100","03_uek_cmn_idol_def_N","1.3","1","105231","5","1","1230001"
"0","23","200","1010","03_uek_23_rin","1.3","1","102631","40","1","1230002"
"0","23","-110","100","03_uek_cmn_idol_def_N","1.3","1","103331","-25","1","1230003"
"","23","32","220","","1","5","5","1","31","1230004"
"","23","","1","","0.2","102631","03_uek_23_rin","","3","1230005"
"","23","0","10","","","102631","這朵雲軟綿綿的\n好舒服～\n好像能睡得很熟～","0","11","1230006"
"","23","","","","","0","","","91","1230007"
"","23","45","40","","","102631","1100","0","2","1230008"
"","23","45","32","","","5","1120","0","33","1230009"
"","23","","1","","0.2","105231","03_uek_cmn_pose04","","3","1230010"
"","23","","1","","0.2","103331","03_uek_talk_surprise2","","3","1230011"
"","23","0","10","","","105231","鈴睡在上面的\n那朵雲飄走了！\n怎、怎麼辦！","0","11","1230012"
"","23","","","","","0","","","91","1230013"
"","23","0","10","","","103331","乾草比這\n更軟的啦！\n快點回來啦！","0","11","1230014"
"","23","","","","","0","","","91","1230015"
"0","24","-240","10","03_uek_24_ayumi","1.3","1","105531","-45","1","1240001"
"","24","","1","","","105531","03_uek_24_ayumi","0","3","1240002"
"","24","0","10","","","105531","啊，\n前輩在那裡，\n盯……………","0","11","1240003"
"1","25","175","100","03_uek_cmn_idol_def_N","1.3","1","103631","15","1","1250001"
"0","25","-36","100","03_uek_cmn_idol_def_N","1.3","1","100431","-10","1","1250002"
"0","25","-158","100","03_uek_cmn_idol_def_N","1.3","1","102031","-45","1","1250003"
"","25","","1","","","102031","03_uek_cmn_pose06","0","3","1250004"
"","25","0","10","","","102031","在天上玩耍\n真的很舒服呢。\n嚕啦啦～♪","0","11","1250005"
"","25","","","","","0","","","91","1250006"
"","25","03_uek_25_misogi_loop","0","","","100431","03_uek_25_misogi","1","3","1250007"
"","25","0","10","","","100431","對啊！鏡華也\n這樣覺得吧？\n……哇！","0","11","1250008"
"","25","03_uek_25_kyouka_loop","1","","","103631","03_uek_25_kyouka","0","3","1250009"
"","25","","","","","0","","","91","1250010"
"","25","0","10","","","103631","慢著，禊！\n掉下去會很危險，\n妳不要嚇我啦！","0","11","1250011"
"","25","","","","","0","","","91","1250012"
"0","27","-179","100","01_uek_cmn_idol_def_N","1.3","1","104831","-43","1","1270001"
"0","27","0","100","01_uek_27_tamaki_loop","1.3","1","104631","-14","1","1270002"
"1","27","200","100","01_uek_cmn_idol_def_N","1.3","1","103231","24","1","1270003"
"","27","0","10","","","104631","呼呼……\n到、到極限了喵……\n我想回去喵……","0","11","1270004"
"","27","","","","","0","","","91","1270005"
"","27","01_uek_talk_normal","0","","","104831","01_uek_cmn_pose02","1","3","1270006"
"","27","0","10","","","104831","步行只要有效率地\n分配體力，\n這點程度不算什麼。","0","11","1270007"
"","27","","","","","0","","","91","1270008"
"","27","","1","","0.3","104831","01_uek_cmn_idol_def_N","0","3","1270009"
"","27","","1","","","103231","01_uek_27_akino_loop","0","3","1270010"
"","27","0","10","","","103231","喔――呵呵呵！\n風景真不錯！\n之後景色真讓人期待","0","11","1270011"
"0","28","0","110","04_uek_cmn_idol_def_N","1.3","1","102931","-10","1","1280001"
"0","28","-120","120","04_uek_cmn_idol_def_N","1.3","1","104231","-30","1","1280002"
"0","28","120","100","04_uek_cmn_idol_def_N","1.3","1","105431","10","1","1280003"
"","28","10","35","","0","6","6","1.3","31","1280004"
"","28","-10","-85","","0","6","9","1.3","31","1280005"
"","28","30","155","","0","6","10","1.3","31","1280006"
"","28","","1","","0.2","102931","04_uek_28_nozomi","","3","1280007"
"","28","","1","","0.2","104231","04_uek_28_chika","","3","1280008"
"","28","","1","","0.2","105431","04_uek_28_tsumugi","","3","1280009"
"","28","","","","","6","1","","32","1280010"
"","28","","","","","9","1","","32","1280011"
"","28","","","","","10","1","","32","1280012"
"","28","0","10","","","102931","就算在天空上\n慈樂之音也要…\n站上舞台！","0","11","1280013"
"","28","","","","","0","","","91","1280014"
"","28","0","10","","","104231","風吹得真舒服……！\n精靈們好像\n也很開心！","0","11","1280015"
"","28","","","","","0","","","91","1280016"
"","28","0","10","","","105431","太棒了呢！\n就一路嗨到\n安可吧！","0","11","1280017"
"","28","","","","","0","","","91","1280018"
"0","29","-40","100","03_uek_cmn_idol_def_N","1.3","1","101531","-10","1","1290001"
"1","29","95","100","03_uek_cmn_idol_def_N","1.3","1","101831","10","1","1290002"
"","29","","1","","","101831","03_uek_talk_joy1","0","3","1290003"
"","29","0","10","","","101831","真是宜人的地方呢，\n要不要在遠足的時候\n帶學生們來這裡呢？","0","11","1290004"
"","29","","","","","0","","","91","1290005"
"","29","","1","","0.3","101831","03_uek_cmn_idol_def_N","0","3","1290006"
"","29","","1","","0.3","101531","03_uek_talk_joy1","0","3","1290007"
"","29","0","10","","","101531","哎呀哎呀～那還真想\n讓村裡的孩子們\n也一起來呢～","0","11","1290008"
"","29","","","","","0","","","91","1290009"
"","29","","1","","0.3","101531","03_uek_cmn_idol_def_N","0","3","1290010"
"0","30","-195","100","05_idle","0.9","2","105831","-35","1","1300001"
"0","30","150","1000","307505_idle","1.5","2","307505","-50","1","1300002"
"","30","50","150","","1","102","19","1","31","1300003"
"","30","400","150","","1","103","20","1","31","1300004"
"","30","307505_idle","0","","0","307505","307505_awake","1","3","1300005"
"0","31","140","110","01_uek_cmn_idol_def_N","1.3","1","105831","10","1","1310001"
"0","31","20","110","01_uek_cmn_idol_def_N","1.3","1","105931","0","1","1310002"
"0","31","-200","110","01_uek_26_kyaru_loop","1.3","1","106031","-55","1","1310003"
"","31","","","","","1","","","93","1310004"
"","31","","","","","105831","1","","4","1310005"
"","31","","1","","0","105831","01_uek_cmn_pose04","","3","1310006"
"","31","","10","","","105831","妳們快看！\n是星星的世界！\n好棒的景色呢☆","","11","1310007"
"","31","","","","","2.3","","","93","1310008"
"","31","","0","","0.2","105831","01_uek_cmn_idol_def_N","0","3","1310009"
"","31","","","","","1310007","","","91","1310010"
"","31","","1","","0.2","105831","01_uek_cmn_idol_def_N","0","3","1310011"
"","31","","1","","","105931","01_uek_talk_normal","","3","1310012"
"","31","","10","","","105931","真的是\n很棒的地方呢，\n我們好好享受吧。","","11","1310013"
"","31","","","","","0","","","91","1310014"
"","31","","1","","0.2","105931","01_uek_cmn_idol_def_N","","3","1310015"
"","31","","10","","","106031","妳們也太冷靜了吧！\n這一切都\n太奇怪了吧……！","","11","1310016"
"1","32","255","100","02_uek_32_kuka_loop","1.3","1","104531","91","1","1320001"
"0","32","-97","100","02_uek_cmn_idol_def_N","1.3","1","105331","-29","1","1320002"
"0","32","50","100","02_uek_cmn_idol_def_N","1.3","1","103031","0","1","1320003"
"","32","","0","","0.5","104531","02_uek_32_kuka","0","3","1320004"
"","32","02_uek_talk_surprise2","0","","0.5","105331","02_uek_cmn_shock_def_N","1","3","1320005"
"","32","02_uek_talk_surprise2","0","","0.5","103031","02_uek_cmn_shock_def_N","1","3","1320006"
"","32","","","","","0","","","91","1320007"
"","32","","1","","0.5","103031","02_uek_talk_surprise2","0","3","1320008"
"","32","0","10","","","103031","好不容易找到的\n空花\n又要飛走了！","0","11","1320009"
"","32","","","","","0","","","91","1320010"
"","32","","1","","0.5","105331","02_uek_talk_surprise2","0","3","1320011"
"","32","0","10","","","105331","她果然\n很開心的樣子！？","0","11","1320012"
"1","33","0","100","02_uek_cmn_idol_def_N","1.3","1","100831","0","1","1330001"
"","33","130","-120","","1","7","7","1.3","31","1330002"
"","33","02_uek_33_yuki_loop","0","","0.2","100831","02_uek_33_yuki","1","3","1330003"
"","33","0","10","","","100831","沐浴在星星的\n光輝之下，讓我\n顯得更加美麗了…","0","11","1330004"
"","33","","","","","0","","","91","1330005"
"1","34","10","110","02_uek_cmn_idol_def_N","1.3","1","100931","0","1","1340001"
"1","34","180","110","02_uek_cmn_idol_def_N","1.3","1","101331","10","1","1340002"
"","34","","","","","1","","","93","1340003"
"0.2","34","02_uek_cmn_idol_def_N","1","","0.2","101331","02_uek_cmn_pose01","1","3","1340004"
"","34","0","10","","","101331","來到宇宙啦！\n人家超嗨\n爆嗨的啦！","0","11","1340005"
"","34","","","","","0","","","91","1340006"
"0","34","02_uek_34_anna_loop","0","","0.2","100931","02_uek_34_anna","1","3","1340007"
"","34","0","10","","","100931","呵呵呵……我強烈地\n感受到星星之力了！\n覺醒的時刻近了…！","0","11","1340008"
"1","35","-200","100","01_uek_cmn_idol_def_N","1.3","1","100231","-60","1","1350001"
"1","35","0","100","01_uek_cmn_idol_def_N","1.3","1","100331","10","1","1350002"
"1","35","200","100","01_uek_cmn_idol_def_N","1.3","1","100131","20","1","1350003"
"","35","270","0","","1","8","8","1","31","1350004"
"0.2","35","01_uek_35_yui_loop","0","","0.2","100231","01_uek_35_yui","1","3","1350005"
"0.2","35","01_uek_35_rei_loop","0","","0.2","100331","01_uek_35_rei","1","3","1350006"
"","35","","1","","0.2","100131","01_uek_cmn_pose03","","3","1350007"
"","35","0","10","","","100231","快看，是流星…！\n大家一起\n許願吧！","0","11","1350008"
"","35","","","","","0","","","91","1350009"
"","35","0","10","","","100331","嗯，是呀。\n這個情境\n很適合我們呢。","0","11","1350010"
"","35","","","","","0","","","91","1350011"
"","35","0","10","","","100131","贊成！\n那麼我要許……\n嗯、嗯……！","0","11","1350012"
"","35","","","","","0","","","91","1350013"
"0","36","105","110","03_uek_cmn_idol_def_N","1.3","1","102531","5","1","1360001"
