6c567e11a2bcc1787e55908b8a6d17906dd81997cd0df7fdd69633f566ff7ea1,7192ef615414565589476f5c7272a9df15c1003a6aa7fb11343c061e40fcb9e1,a3c1b32fe75be4f0e44e69303b30f108f4522652b9de8508641f0344fdc56298,de9ecc1c55e98774fafd41bec354e321c5e8a2b69f2bd3687e1dd008dfd2787b,20f0bf46e7d9b67f8be234c6962dd349ea3a3d189c9c04c947dcddfd73f3af6c,53d88631de27711ed6438d2717ae15ab498a35fedfc10aeef3b989a98ad99321,2ad7a92e26576a17c3f4e75b32001cefc6b3d2532b286c222b5a3aca0f6742a8,973e4272fb8796fc3e15b2936bc5fd1574a9f299ce02937dfdece123f2f23345,48d6bae0fc0d952d0839adba869a21a4eced8cfa046f53e59d206faca7f8a2ec
"25","1","0","0","30000","0","2","1234001","3"
"20","1","0","0","30000","0","2","1235001","3"
"20","1","0","0","30000","0","2","1236001","3"
"20","1","0","0","30000","0","2","1237001","3"
"25","1","0","0","3000","0","2","1238001","2"
"35","1","0","0","3000","0","2","1239001","1"
"20","1","0","0","3000","0","2","1240001","2"
"1240003","0","0","0","0","0","21","1240002","3000"
"25","1","0","0","30000","0","2","1240003","1"
"-10","1","0","0","3000","0","2","1241001","2"
"1241003","0","0","0","0","0","21","1241002","3000"
"-25","2","0","0","30000","0","2","1241003","1"
"-20","2","0","0","30000","0","2","1242001","1"
"-20","2","0","0","30000","0","2","1242002","2"
"-75","2","0","0","1500","0","2","1244001","3"
"20","1","0","0","30000","0","2","1246001","3"
"30","1","0","0","30000","0","2","1247001","3"
"1247003","0","0","0","0","0","21","1247002","3000"
"25","1","0","0","3000","0","2","1247003","1"
"75","1","0","0","3000","0","2","1248001","1"
"-90","2","0","0","1500","0","2","1249001","3"
"10","1","0","0","30000","0","2","2101001","2"
"10","1","0","0","30000","0","2","2102001","2"
"-15","2","0","0","3000","0","2","2103001","2"
"-15","2","0","0","3000","0","2","2103002","3"
"-25","2","0","0","3000","0","2","2105001","3"
"25","1","0","0","30000","0","2","2107001","3"
"10","1","0","0","30000","0","2","2108001","3"
"10","1","0","0","30000","0","2","2109001","3"
"10","1","0","0","30000","0","2","2110001","3"
"15","1","0","0","3000","0","2","2111001","2"
"25","1","0","0","3000","0","2","2112001","1"
"10","1","0","0","3000","0","2","2113001","2"
"2113003","0","0","0","0","0","21","2113002","3000"
"25","1","0","0","30000","0","2","2113003","1"
"-10","1","0","0","3000","0","2","2114001","2"
"2114003","1","0","0","0","0","21","2114002","3000"
"-25","2","0","0","30000","0","2","2114003","1"
"-10","2","0","0","30000","0","2","2116001","1"
"-10","2","0","0","30000","0","2","2116002","2"
"-50","2","0","0","1500","0","2","2117001","3"
"3301002","0","0","0","0","0","21","3301001","300"
"1","0","20","0","30","0","20","3301002","2"
"0","2","100","0","1","0","1","3301101","1"
"0","2","40","0","1","0","1","3302001","1"
"0","2","60","0","1","0","1","3302002","1"
"0","2","12","0","1","0","1","3303001","1"
"0","2","28","0","1","0","1","3303002","1"
"0","2","40","0","1","0","1","3304001","1"
"0","2","100","0","1","0","1","3304002","1"
"3305011","0","0","0","0","0","21","3305001","200"
"3305012","0","0","0","0","0","21","3305002","200"
"3305013","0","0","0","0","0","21","3305003","200"
"3305014","0","0","0","0","0","21","3305004","200"
"3305015","0","0","0","0","0","21","3305005","200"
"3305016","0","0","0","0","0","21","3305006","200"
"1","0","15","0","26","30","20","3305011","2"
"1","0","8","0","29","15","20","3305012","2"
"1","0","0","0","30","0","20","3305013","2"
"1","0","-8","0","29","-15","20","3305014","2"
"1","0","-15","0","26","-30","20","3305015","2"
"30000","1","0","0","180","0","10","3305016","1"
"0","2","20","0","1","0","1","3305101","1"
"1","0","29","0","274","0","20","3402001","2"
"500000","3","0","0","0","0","11","3402101","2000"
"3403002","0","0","0","0","0","21","3403001","200"
"200000","1","0","0","0","0","10","3403002","1"
"0","3","0","0","0","0","4","4001001","0"
"99999","3","0","0","0","0","1","4001002","0"
"99999","3","9","9","9","9","1","4002001","9"
