e4af8cbd9a081c6f83a9a5c4e6da445707663aae06f8ab740d0082b8334c21a8,adfca8b45739638dad6ef9881c6c8275b6f5c054af919cc3e905f6be45dfeea2,9d399c0a7cae78e90c5c4c583f37e868c84c297a95437f817a56dc18b268e44b,6d9e4e0cc2d4df47a6e4fda63757f3ae7fd1cd79344104e369d4ae209d0c772a,20d0e94cb87a9ab78b896f1f08cbd4cb83b1850e86d6aa7f1a09aeec6e80b786
"12","boss_def_lower_limit","提升物理防禦力（不可降低）","92407030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"13","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"14","17","賦予TP上升的上限","92407030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"15","9","降低HP吸收","92407030","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"16","12","火屬性獎勵特大幅度提升","92407110","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"17","18","傷害值衰減","92407110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"18","boss_def_lower_limit","提升物理防禦力（不可降低）","92407110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"19","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"20","17","賦予TP上升的上限","92407110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"21","9","降低HP吸收","92407110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"22","boss_tp_down_cut","減少降低TP","92407110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"23","12","火屬性獎勵特大幅度提升","92407120","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"24","18","傷害值衰減","92407120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"25","boss_def_lower_limit","提升物理防禦力（不可降低）","92407120","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"26","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407120","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"27","17","賦予TP上升的上限","92407120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"28","9","降低HP吸收","92407120","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"29","boss_tp_down_cut","減少降低TP","92407120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"30","12","火屬性獎勵特大幅度提升","92407130","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"31","18","傷害值衰減","92407130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"32","boss_def_lower_limit","提升物理防禦力（不可降低）","92407130","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"33","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407130","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"34","17","賦予TP上升的上限","92407130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"35","9","降低HP吸收","92407130","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"36","boss_tp_down_cut","減少降低TP","92407130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"37","12","火屬性獎勵特大幅度提升","92407140","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"38","18","傷害值衰減","92407140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"39","boss_def_lower_limit","提升物理防禦力（不可降低）","92407140","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"40","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407140","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"41","17","賦予TP上升的上限","92407140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"42","9","降低HP吸收","92407140","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"43","boss_tp_down_cut","減少降低TP","92407140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"44","12","火屬性獎勵特大幅度提升","92407210","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"45","18","傷害值衰減","92407210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"46","boss_def_lower_limit","提升物理防禦力（不可降低）","92407210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"47","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"48","17","賦予TP上升的上限","92407210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"49","9","降低HP吸收","92407210","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"50","boss_tp_down_cut","減少降低TP","92407210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"51","energy_recover","TP恢復","92407210","戰鬥開始時，所有怪物特大幅度恢復自身的ＴＰ。"
"52","12","火屬性獎勵特大幅度提升","92407220","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"53","18","傷害值衰減","92407220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"54","boss_def_lower_limit","提升物理防禦力（不可降低）","92407220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"55","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"56","17","賦予TP上升的上限","92407220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"57","9","降低HP吸收","92407220","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"58","boss_tp_down_cut","減少降低TP","92407220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"59","12","火屬性獎勵特大幅度提升","92407230","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"60","18","傷害值衰減","92407230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"61","boss_def_lower_limit","提升物理防禦力（不可降低）","92407230","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"62","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407230","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"63","17","賦予TP上升的上限","92407230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"64","9","降低HP吸收","92407230","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"65","boss_tp_down_cut","減少降低TP","92407230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"66","12","火屬性獎勵特大幅度提升","92407240","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"67","18","傷害值衰減","92407240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"68","boss_def_lower_limit","提升物理防禦力（不可降低）","92407240","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"69","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407240","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"70","17","賦予TP上升的上限","92407240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"71","9","降低HP吸收","92407240","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"72","boss_tp_down_cut","減少降低TP","92407240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"73","12","火屬性獎勵特大幅度提升","92407310","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"74","18","傷害值衰減","92407310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"75","boss_def_lower_limit","提升物理防禦力（不可降低）","92407310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"76","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"77","17","賦予TP上升的上限","92407310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"78","9","降低HP吸收","92407310","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"79","boss_tp_down_cut","減少降低TP","92407310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"80","12","火屬性獎勵特大幅度提升","92407320","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"81","18","傷害值衰減","92407320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82","boss_def_lower_limit","提升物理防禦力（不可降低）","92407320","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"83","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407320","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"84","17","賦予TP上升的上限","92407320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"85","9","降低HP吸收","92407320","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"86","boss_tp_down_cut","減少降低TP","92407320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"87","12","火屬性獎勵特大幅度提升","92407330","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"88","18","傷害值衰減","92407330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"89","boss_def_lower_limit","提升物理防禦力（不可降低）","92407330","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"90","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407330","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"91","17","賦予TP上升的上限","92407330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"92","9","降低HP吸收","92407330","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"93","boss_tp_down_cut","減少降低TP","92407330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"94","12","火屬性獎勵特大幅度提升","92407340","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"95","18","傷害值衰減","92407340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"96","boss_def_lower_limit","提升物理防禦力（不可降低）","92407340","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"97","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92407340","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"98","17","賦予TP上升的上限","92407340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"99","9","降低HP吸收","92407340","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"100","boss_tp_down_cut","減少降低TP","92407340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"101","13","水屬性獎勵特大幅度提升","92408010","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"102","boss_def_lower_limit","提升物理防禦力（不可降低）","92408010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"103","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"104","17","賦予TP上升的上限","92408010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"105","9","降低HP吸收","92408010","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"106","13","水屬性獎勵特大幅度提升","92408020","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"107","boss_def_lower_limit","提升物理防禦力（不可降低）","92408020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"108","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"109","17","賦予TP上升的上限","92408020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"110","9","降低HP吸收","92408020","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"111","13","水屬性獎勵特大幅度提升","92408030","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"112","boss_def_lower_limit","提升物理防禦力（不可降低）","92408030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"113","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"114","17","賦予TP上升的上限","92408030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"115","9","降低HP吸收","92408030","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"116","13","水屬性獎勵特大幅度提升","92408110","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"117","boss_def_lower_limit","提升物理防禦力（不可降低）","92408110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"118","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"119","boss_tp_down_cut","減少降低TP","92408110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"120","18","傷害值衰減","92408110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"121","17","賦予TP上升的上限","92408110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"122","9","降低HP吸收","92408110","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"123","13","水屬性獎勵特大幅度提升","92408120","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"124","boss_def_lower_limit","提升物理防禦力（不可降低）","92408120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"125","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408120","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"126","boss_tp_down_cut","減少降低TP","92408120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"127","18","傷害值衰減","92408120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"128","17","賦予TP上升的上限","92408120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"129","9","降低HP吸收","92408120","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"130","13","水屬性獎勵特大幅度提升","92408130","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"131","boss_def_lower_limit","提升物理防禦力（不可降低）","92408130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"132","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"133","boss_tp_down_cut","減少降低TP","92408130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"134","18","傷害值衰減","92408130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"135","17","賦予TP上升的上限","92408130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"136","9","降低HP吸收","92408130","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"137","13","水屬性獎勵特大幅度提升","92408140","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"138","boss_def_lower_limit","提升物理防禦力（不可降低）","92408140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"139","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"140","boss_tp_down_cut","減少降低TP","92408140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"141","18","傷害值衰減","92408140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"142","17","賦予TP上升的上限","92408140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"143","9","降低HP吸收","92408140","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"144","13","水屬性獎勵特大幅度提升","92408210","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"145","boss_def_lower_limit","提升物理防禦力（不可降低）","92408210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"146","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"147","boss_tp_down_cut","減少降低TP","92408210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"148","18","傷害值衰減","92408210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"149","17","賦予TP上升的上限","92408210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"150","9","降低HP吸收","92408210","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"151","13","水屬性獎勵特大幅度提升","92408220","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"152","boss_def_lower_limit","提升物理防禦力（不可降低）","92408220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"153","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"154","boss_tp_down_cut","減少降低TP","92408220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"155","18","傷害值衰減","92408220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"156","17","賦予TP上升的上限","92408220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"157","9","降低HP吸收","92408220","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"158","13","水屬性獎勵特大幅度提升","92408230","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"159","boss_def_lower_limit","提升物理防禦力（不可降低）","92408230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"160","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"161","boss_tp_down_cut","減少降低TP","92408230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"162","18","傷害值衰減","92408230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"163","17","賦予TP上升的上限","92408230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"164","9","降低HP吸收","92408230","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"165","13","水屬性獎勵特大幅度提升","92408240","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"166","boss_def_lower_limit","提升物理防禦力（不可降低）","92408240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"167","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"168","boss_tp_down_cut","減少降低TP","92408240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"169","18","傷害值衰減","92408240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"170","17","賦予TP上升的上限","92408240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"171","9","降低HP吸收","92408240","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"172","13","水屬性獎勵特大幅度提升","92408310","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"173","boss_def_lower_limit","提升物理防禦力（不可降低）","92408310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"174","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"175","boss_tp_down_cut","減少降低TP","92408310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"176","18","傷害值衰減","92408310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"177","17","賦予TP上升的上限","92408310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"178","9","降低HP吸收","92408310","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"179","13","水屬性獎勵特大幅度提升","92408320","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"180","boss_def_lower_limit","提升物理防禦力（不可降低）","92408320","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"181","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"182","boss_tp_down_cut","減少降低TP","92408320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"183","18","傷害值衰減","92408320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"184","17","賦予TP上升的上限","92408320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"185","9","降低HP吸收","92408320","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"186","13","水屬性獎勵特大幅度提升","92408330","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"187","boss_def_lower_limit","提升物理防禦力（不可降低）","92408330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"188","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"189","boss_tp_down_cut","減少降低TP","92408330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"190","18","傷害值衰減","92408330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"191","17","賦予TP上升的上限","92408330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"192","9","降低HP吸收","92408330","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"193","13","水屬性獎勵特大幅度提升","92408340","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"194","boss_def_lower_limit","提升物理防禦力（不可降低）","92408340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"195","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92408340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"196","boss_tp_down_cut","減少降低TP","92408340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"197","18","傷害值衰減","92408340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"198","17","賦予TP上升的上限","92408340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"199","9","降低HP吸收","92408340","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。"
"200","16","闇屬性獎勵特大幅度提升","92409010","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
