95582746ea3cc80aa4b7b4fb87b7beb28470cd236e49de6aa54d0ff4e6b31281,3a4f9f0a9d15743ca7f2d38213c9951d271a5ecd39ea584cd92dc825d4f0ef35,c3471de52b97b7906471f2129fe9b8354f85d09dd51395075c888b6e3d5f545c,3576233a27c235e8ce98bbe7197d80b52f9b2829a78f37500af83e9ef32c301a,7f781a0ae9d5b46621967ba076682552b695341cc64a75af38ec71ceec622c4f
"2","20004","95","100404","300"
"2","90008","96","100405","1000"
"2","25001","97","100406","10"
"8","91002","98","100407","40"
"12","94002","99","100407","1000000"
"2","20004","100","100407","300"
"2","90008","101","100408","1000"
"2","41000","102","100409","1"
"2","25001","103","100409","10"
"12","94002","104","100410","1000000"
"2","20004","105","100410","400"
"2","90008","106","100411","1500"
"8","91002","107","100412","40"
"2","25001","108","100412","9"
"12","94002","109","100413","1000000"
"2","20004","110","100413","400"
"2","90008","111","100414","1500"
"2","41000","112","100415","1"
"12","94002","113","100416","1000000"
"2","20004","114","100416","500"
"8","91002","115","100417","40"
"2","90008","116","100417","1500"
"12","94002","117","100418","2000000"
"2","90008","118","100418","2000"
"12","94002","119","100501","3000000"
"2","20004","120","100501","300"
"2","90008","121","100502","1000"
"2","25001","122","100503","12"
"12","94002","123","100504","1000000"
"2","20004","124","100504","300"
"2","90008","125","100505","1000"
"2","25001","126","100506","10"
"8","91002","127","100507","40"
"12","94002","128","100507","1000000"
"2","20004","129","100507","300"
"2","90008","130","100508","1000"
"2","41000","131","100509","1"
"2","25001","132","100509","10"
"12","94002","133","100510","1000000"
"2","20004","134","100510","400"
"2","90008","135","100511","1500"
"8","91002","136","100512","40"
"2","25001","137","100512","9"
"12","94002","138","100513","1000000"
"2","20004","139","100513","400"
"2","90008","140","100514","1500"
"2","41000","141","100515","1"
"12","94002","142","100516","1000000"
"2","20004","143","100516","500"
"8","91002","144","100517","40"
"2","90008","145","100517","1500"
"12","94002","146","100518","2000000"
"2","90008","147","100518","2000"
"12","94002","148","100601","3000000"
"2","20004","149","100601","300"
"2","90008","150","100602","1000"
"2","25001","151","100603","12"
"12","94002","152","100604","1000000"
"2","20004","153","100604","300"
"2","90008","154","100605","1000"
"2","25001","155","100606","10"
"8","91002","156","100607","40"
"12","94002","157","100607","1000000"
"2","20004","158","100607","300"
"2","90008","159","100608","1000"
"2","41000","160","100609","1"
"2","25001","161","100609","10"
"12","94002","162","100610","1000000"
"2","20004","163","100610","400"
"2","90008","164","100611","1500"
"8","91002","165","100612","40"
"2","25001","166","100612","9"
"12","94002","167","100613","1000000"
"2","20004","168","100613","400"
"2","90008","169","100614","1500"
"2","41000","170","100615","1"
"12","94002","171","100616","1000000"
"2","20004","172","100616","500"
"8","91002","173","100617","40"
"2","90008","174","100617","1500"
"12","94002","175","100618","2000000"
"2","90008","176","100618","2000"
