c843c9550e70130d615b2e71f4eeef0b8ccd8060727aa3918b06446806dc6fe3,35f8d8b27a26b3c13b1b7614fe1011b9e359c56453a37a10d3114c1aae2b4b4a,866bc0e634dcf7d7831b49f01c7b5ef6274c63563a403dfceb28ff8f6eaf05ed,54505207c5bc58f7f912dd0474649a15e7054dbd7c9835d69af84cec25c17a5c,a459bd7a8393a0648f8ad1d87aecfb6d6567d5937828dc0b8ae398270c45c810,7858eae88e2ed497e00d2a1d65cd59266040ab28f96d7dc22ed6ae051ebe9707,78a7aed9943b8b2fbdcb011218bae263ed9b93ff5c8e784a9a2ecb870d377e0d,1956a49e8d97bb9cde565623bfe3068f7289f74610198cdd2fe91c3b2a30b895,2bb121b878b9c1bc596aa28be89106f898e70f2d6c23173fbe9769e2665935db,751f81b0fcb791c10826e45a103c2d544fde7f390a6e0a70cff7e34a2db5542d,0274eb0d384c8132821963ea8a9b824787f44f90440b540aec6c85ae57f87d5e,6330afba000c68b1d830d665270d699002e377cf88765d4a902a704b54fe555b,d13ba2bd3b0bc03ee68593cba8f688a384c2559e835d06d13c1e76059c53d036,a403adeaf6b975ab2f34e4eb9f39f354dd4c5263d212ca8f40e20492d6f05d34,41f6db12b2c692c05a367bcf0514c107f0c5583a663cbdb22ce524f9df531fe7,06abea98fb70141dc22c0e8d7c8d200c0bc8641383848ec7633bf79e27c05e54,1872cca35e02b0be3049e18f4b2ed078bdb043cb4787e90268e25431f749575f,72dce2480ee1e77a54ad4f0d3ead0b355cb5d6aa6539958afca4d1efd8eb2d6d,5652544c243edb203f385ea2cf45a9a15cf7bc76d32750d7e1e8df0346571ddc
"11","10201","0","0","0","0","91002","潛入，阿斯特朗　\n七個願望與創世之殘響 終幕","5201010","0","20","0","0","0","1","誕生的願望，結下的約定","8","1","0"
"12","10201","0","0","0","0","91002","潛入，阿斯特朗　\n七個願望與創世之殘響 終幕","5201011","1","20","0","0","0","1","殘響消失之時","8","1","0"
"0","10201","0","0","0","0","91002","潛入，阿斯特朗　\n七個願望與創世之殘響 ","5201051","0","50","0","0","0","0","活動PV","8","2","0"
"0","10201","0","0","0","0","0","潛入，阿斯特朗　\n七個願望與創世之殘響 ","5201052","0","0","0","0","0","0","預告","0","3","0"
"0","10201","0","0","0","0","0","潛入，阿斯特朗　\n七個願望與創世之殘響 ","5201053","0","0","0","0","0","0","開場動畫","0","4","0"
"0","10201","0","0","0","0","91002","晶的末端裝置 第1話","5201061","0","20","0","0","0","0","七冠專用群組聊天","8","5","4"
"0","10201","0","0","0","0","91002","晶的末端裝置 第2話","5201062","0","20","0","0","0","0","平時的群組聊天","8","5","4"
"0","10201","0","0","0","0","91002","變色龍玩偶 第1話","5201063","0","20","0","0","0","0","七冠會議‧變色龍篇","8","5","4"
"0","10201","0","0","0","0","91002","線上會議_紀錄 第1話","5201064","0","20","0","0","0","0","七冠會議‧線上篇","8","5","4"
"0","10201","0","0","0","0","91002","怪物設定資料 第1話","5201066","0","20","0","0","0","0","美麗設計","8","5","4"
"0","10201","0","0","0","0","91002","怪物設定資料 第2話","5201074","0","20","0","0","0","0","正常的感性","8","5","4"
"0","10201","0","0","0","0","91002","企劃資料 第1話","5201075","0","20","0","0","0","0","會議在跳舞，然而毫無進展","8","5","4"
"0","10201","0","0","0","0","91002","企劃資料 第2話","5201076","0","20","0","0","0","0","失控的創作者魂","8","5","4"
"0","10201","0","0","0","0","91002","綜合莓果蛋糕 第1話","5201077","0","20","0","0","0","0","現士實似似花與蛋糕","8","5","4"
"0","10201","0","0","0","0","91002","綜合莓果蛋糕 第2話","5201078","0","20","0","0","0","0","由此而生的好感度","8","5","4"
"0","10201","0","0","0","0","91002","訪談新聞_校閱用 第1話","5201079","0","20","0","0","0","0","華麗報導","8","5","4"
"0","10201","0","0","0","0","91002","訪談新聞_校閱用 第2話","5201081","0","20","0","0","0","0","華麗報導的背後","8","5","4"
"0","10201","0","0","0","0","91002","角色服裝設定資料 第1話","5201083","0","20","0","0","0","0","嚮導老君的憂慮","8","5","4"
"0","10201","0","0","0","0","91002","種族設定資料 第1話","5201085","0","20","0","0","0","0","何以何故獸人族","8","5","4"
"0","10201","0","0","0","0","91002","埋沒在資料裡的照片 第1話","5201087","0","20","0","0","0","0","停止的時間，殘留的思念","8","5","4"
"0","10201","0","0","0","0","91002","埋沒在資料裡的照片 第2話","5201088","0","20","0","0","0","0","前進的時間，刻下的回憶","8","5","4"
"1","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 序幕","5202000","0","20","0","0","0","1","充滿謎團的序曲","8","1","0"
"2","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 第1話","5202001","1","20","0","0","0","1","不齊的起音","8","1","0"
"3","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 第2話","5202002","1","20","0","0","0","1","蕩漾的旋律","8","1","0"
"4","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 第3話","5202003","1","20","0","0","0","1","相位相合","8","1","0"
"5","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 第4話","5202004","0","20","0","0","0","1","過去的不協和音","8","1","0"
"6","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 第5話","5202005","0","20","0","0","0","1","扭曲","8","1","0"
"7","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 第6話","5202006","0","20","0","0","0","1","祈禱之鎮魂曲","8","1","0"
"8","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 終幕","5202007","0","20","0","0","0","1","未來是行板節奏","8","1","0"
"0","10202","0","0","0","0","91002","Andante‧With‧You　\n祈禱的雙唱響起時 ","5202051","0","50","0","0","0","0","活動PV","8","2","0"
"0","10202","0","0","0","0","0","Andante‧With‧You　\n祈禱的雙唱響起時 ","5202052","0","0","0","0","0","0","預告","0","3","0"
"0","10202","0","0","0","0","0","Andante‧With‧You　\n祈禱的雙唱響起時 ","5202053","0","0","0","0","0","0","開場動畫","0","4","0"
"0","10202","0","0","0","0","91002","演唱會海報","5202061","0","50","0","0","0","0","安可曲要輕聲地唱","8","5","4"
"0","10202","0","0","0","0","91002","演唱會海報","5202062","0","50","0","0","0","0","教教我吧，千歌老師！","8","5","4"
"0","10202","0","0","0","0","91002","演唱會海報","5202063","0","50","0","0","0","0","因為想配合你的喜好","8","5","4"
"0","10202","0","0","0","0","91002","演唱會海報","5202064","0","50","0","0","0","0","於是心意相連","8","5","4"
"1","10203","0","0","0","0","91002","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸4.1秒前～ 序幕","5203000","0","20","0","0","0","1","榮光的日落","8","1","0"
"2","10203","0","0","0","0","91002","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸4.1秒前～ 第1話","5203001","0","20","0","0","0","1","怪獸，來襲","8","1","0"
"3","10203","0","0","0","0","91002","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸4.1秒前～ 第2話","5203002","0","20","0","0","0","1","超鋼少女，屹立於大地","8","1","0"
"4","10203","0","0","0","0","91002","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸4.1秒前～ 第3話","5203003","0","20","0","0","0","1","她的名字是「冥」","8","1","0"
"5","10203","0","0","0","0","91002","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸4.1秒前～ 第4話","5203004","0","20","0","0","0","1","友情，心，相合","8","1","0"
"6","10203","0","0","0","0","91002","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸4.1秒前～ 第5話","5203005","0","20","0","0","0","1","紅色閃電‧超鋼飛翼","8","1","0"
"7","10203","0","0","0","0","91002","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸4.1秒前～ 第6話","5203006","0","20","0","0","0","1","巨型最後之日","8","1","0"
"8","10203","0","0","0","0","91002","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸4.1秒前～ 終幕","5203007","0","20","0","0","0","1","歡迎回來","8","1","0"
"0","10203","0","0","0","0","0","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸４.１秒前～ ","5203051","0","0","0","0","0","0","預告","0","3","0"
"0","10203","0","0","0","0","0","超鋼少女巨型克蘿茜　\n～大出擊！蘭德索爾爆炸４.１秒前～ ","5203052","0","0","0","0","0","0","開場動畫","0","4","0"
"0","10203","0","0","0","0","0","克蘿茜大解密 GIGANTIC VISOR","5203061","0","0","0","0","0","0","也有助於殺時間！巨型護目罩","0","5","4"
"0","10203","0","0","0","0","91002","克蘿茜大解密 GIGANTIC HEAD","5203062","0","30","0","0","0","0","克蘿茜大解密其一","8","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 GIGANTIC TWIN-EYE","5203063","0","0","0","0","0","0","搭載令人驚愕的新武裝！巨型雙眼","0","5","4"
"0","10203","0","0","0","0","91002","克蘿茜大解密 COCKPIT","5203064","0","30","0","0","0","0","克蘿茜大解密其二","8","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 駕駛艙內部","5203065","0","0","0","0","0","0","熟能生巧才是對的？給新手駕駛員的考驗！","0","5","4"
"0","10203","0","0","0","0","91002","克蘿茜大解密 GIGANTIC MISSILE","5203066","0","30","0","0","0","0","克蘿茜大解密其三","8","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 GIGANTIC THRUSTER","5203067","0","0","0","0","0","0","推動超重量的強大輸出！巨型推進器","0","5","4"
"0","10203","0","0","0","0","91002","克蘿茜大解密 GIGANTIC ARM＋","5203068","0","30","0","0","0","0","克蘿茜大解密其四","8","5","4"
"0","10203","0","0","0","0","91002","克蘿茜大解密 GIGANTIC TAIL DRILL","5203069","0","30","0","0","0","0","克蘿茜大解密其五","8","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 GIGANTIC LEG","5203070","0","0","0","0","0","0","流線型的壓倒性質量！巨型雙腿","0","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 AERIAL VISOR","5203071","0","0","0","0","0","0","可愛是最重要項目？多功能武裝護目罩","0","5","4"
"0","10203","0","0","0","0","91002","克蘿茜大解密 AERIAL THRUSTER","5203072","0","30","0","0","0","0","克蘿茜大解密其六","8","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 CHEST ARMOR","5203073","0","0","0","0","0","0","最大充電充滿胸腔！可變式能量儲存槽","0","5","4"
"0","10203","0","0","0","0","91002","克蘿茜大解密 AERIAL ARM","5203074","0","30","0","0","0","0","克蘿茜大解密其七","8","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 AERIAL OHADA","5203075","0","0","0","0","0","0","柔軟Q彈新觸感！講究規格的美肌","0","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 AERIAL TAIL CABLE","5203076","0","0","0","0","0","0","搭載能量供給機能！尾巴可不是虛有其表","0","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 AERIAL WEAPON","5203077","0","0","0","0","0","0","進行分離與合體！航空軀體的新裝備！","0","5","4"
"0","10203","0","0","0","0","0","克蘿茜大解密 AERIAL LEG","5203078","0","0","0","0","0","0","克蘿茜瘋狂特訓！不擅長走路的新型雙腿","0","5","4"
"1","10204","0","0","0","0","91002","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 序幕","5204000","0","20","0","0","0","1","通緝犯‧露易絲瑪莉","8","1","0"
"2","10204","0","0","0","0","91002","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 第1話","5204001","1","20","0","0","0","1","另一位天才鍊金術師","8","1","0"
"3","10204","0","0","0","0","91002","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 第2話","5204002","1","20","0","0","0","1","17歲的祖母","8","1","0"
"4","10204","0","0","0","0","91002","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 第3話","5204003","1","20","0","0","0","1","彩羽的大江戶漫遊記","8","1","0"
"5","10204","0","0","0","0","91002","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 第4話","5204004","0","20","0","0","0","1","撼動熾熱之心的盟友","8","1","0"
"6","10204","0","0","0","0","91002","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 第5話","5204005","0","20","0","0","0","1","阿爾克絲＆暮光！","8","1","0"
"7","10204","0","0","0","0","91002","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 第6話","5204006","0","20","0","0","0","1","混合的「究極鍊成」！","8","1","0"
"8","10204","0","0","0","0","91002","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 終幕","5204007","0","20","0","0","0","1","密醫與鍊金術師","8","1","0"
"0","10204","0","0","0","0","0","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 ","5204051","0","0","0","0","0","0","預告","0","3","0"
"0","10204","0","0","0","0","0","集結！　阿爾克絲＆暮光　\n密醫與兩位鍊金術師 ","5204052","0","0","0","0","0","0","開場動畫","0","4","0"
"0","10204","0","0","0","0","91002","鍊金術‧重播 序幕","5204061","0","20","0","0","0","0","能夠再體驗前世的祕藥","8","5","4"
"0","10204","0","0","0","0","91002","鍊金術‧重播 第1話","5204062","0","20","0","0","0","0","小龍蝦、小菜與詩","8","5","4"
"0","10204","0","0","0","0","91002","鍊金術‧重播 第2話","5204063","0","20","0","0","0","0","莫名其妙被纏上了","8","5","4"
"0","10204","0","0","0","0","91002","鍊金術‧重播 第3話","5204064","0","20","0","0","0","0","正中所有女生喜好的作品","8","5","4"
"0","10204","0","0","0","0","91002","鍊金術‧重播 第4話","5204065","0","20","0","0","0","0","戀愛的勁敵……！？","8","5","4"
"0","10204","0","0","0","0","91002","鍊金術‧重播 第5話","5204066","0","20","0","0","0","0","舉辦！「愛‧椿丘」","8","5","4"
"0","10204","0","0","0","0","91002","鍊金術‧重播 第6話","5204067","0","20","0","0","0","0","成人彩羽與小孩苑？","8","5","4"
"0","10204","0","0","0","0","91002","鍊金術‧重播 終幕","5204068","0","20","0","0","0","0","最後，再次重新體驗前世","8","5","4"
"0","10204","0","0","0","0","91002","鍊金術‧重播 額外章節","5204069","0","20","0","0","0","0","神奇因緣、孽緣","8","5","4"
"1","10205","0","0","0","0","91002","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ 序幕","5205000","0","20","0","0","0","1","華隸大小姐，魔卡封印","8","1","0"
"2","10205","0","0","0","0","91002","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ 第1話","5205001","1","20","0","0","0","1","牽引絲線的粉紅","8","1","0"
"3","10205","0","0","0","0","91002","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ 第2話","5205002","1","20","0","0","0","1","水火不容搭檔，對抗陰謀","8","1","0"
"4","10205","0","0","0","0","91002","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ 第3話","5205003","1","20","0","0","0","1","硬碰硬搭檔，大顯神威","8","1","0"
"5","10205","0","0","0","0","91002","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ 第4話","5205004","0","20","0","0","0","1","鑽頭大小姐，背叛","8","1","0"
"6","10205","0","0","0","0","91002","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ 第5話","5205005","0","20","0","0","0","1","叛徒大小姐，心心念念的？","8","1","0"
"7","10205","0","0","0","0","91002","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ 第6話","5205006","0","20","0","0","0","1","華麗的兩人，雪恥","8","1","0"
"8","10205","0","0","0","0","91002","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ 終幕","5205007","0","20","0","0","0","1","相似的兩人，約定再會","8","1","0"
"0","10205","0","0","0","0","0","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ ","5205051","0","0","0","0","0","0","預告","0","3","0"
"0","10205","0","0","0","0","0","華隸大小姐華音的華麗復仇　\n～與傲嬌粉紅相伴～ ","5205052","0","0","0","0","0","0","開場動畫","0","4","0"
"0","10205","0","0","0","0","91002","華隸大小姐的更生挑戰　序幕","5205061","0","30","0","0","0","0","華隸大小姐，遭受懲罰。","8","5","4"
"0","10205","0","0","0","0","91002","華隸大小姐的更生挑戰　第1話","5205062","0","30","0","0","0","0","華隸大小姐，由於非法入侵","8","5","4"
"0","10205","0","0","0","0","91002","華隸大小姐的更生挑戰　第2話","5205063","0","30","0","0","0","0","華隸大小姐，由於毒殺未遂","8","5","4"
"0","10205","0","0","0","0","91002","華隸大小姐的更生挑戰　第3話","5205064","0","30","0","0","0","0","華隸大小姐，由於謀反未遂","8","5","4"
"0","10205","0","0","0","0","91002","華隸大小姐的更生挑戰　第4話","5205065","0","30","0","0","0","0","華隸大小姐，由於吵架噪音","8","5","4"
"0","10205","0","0","0","0","91002","華隸大小姐的更生挑戰　第5話","5205066","0","30","0","0","0","0","華隸大小姐，由於忘記敲門","8","5","4"
"0","10205","0","0","0","0","91002","華隸大小姐的更生挑戰　終幕","5205067","0","30","0","0","0","0","罪孽深重的華隸大小姐，在那之後。","8","5","4"
"1","10206","0","0","0","0","91002","Summer Dream Refrain　\n水平線彼端的旅途 序幕","5206000","0","20","0","0","0","1","今天的騎士先生‧暑假篇","8","1","0"
"2","10206","0","0","0","0","91002","Summer Dream Refrain　\n水平線彼端的旅途 第1話","5206001","1","20","0","0","0","1","真的會實現願望的海岸？","8","1","0"
"3","10206","0","0","0","0","91002","Summer Dream Refrain　\n水平線彼端的旅途 第2話","5206002","1","20","0","0","0","1","雪菲與小嬰兒們","8","1","0"
"4","10206","0","0","0","0","91002","Summer Dream Refrain　\n水平線彼端的旅途 第3話","5206003","1","20","0","0","0","1","小樂的請託","8","1","0"
"5","10206","0","0","0","0","91002","Summer Dream Refrain　\n水平線彼端的旅途 第4話","5206004","0","20","0","0","0","1","不合與不法的兩人之旅","8","1","0"
"6","10206","0","0","0","0","91002","Summer Dream Refrain　\n水平線彼端的旅途 第5話","5206005","0","20","0","0","0","1","斷夢的殘影","8","1","0"
"7","10206","0","0","0","0","91002","Summer Dream Refrain　\n水平線彼端的旅途 第6話","5206006","0","20","0","0","0","1","做能做的事","8","1","0"
"8","10206","0","0","0","0","91002","Summer Dream Refrain　\n水平線彼端的旅途 終幕","5206007","0","20","0","0","0","1","總有一天，在水平線的另一邊","8","1","0"
"0","10206","0","0","0","0","0","Summer Dream Refrain　\n水平線彼端的旅途 ","5206051","0","0","0","0","0","0","預告","0","3","0"
"0","10206","0","0","0","0","0","Summer Dream Refrain　\n水平線彼端的旅途 ","5206052","0","0","0","0","0","0","開場動畫","0","4","0"
"1","10207","0","0","0","0","91002","Summer Anemos, \nSummer Qualia 序幕","5207000","0","20","0","0","0","1","要不要來場夏日冒險呢？","8","1","0"
"2","10207","0","0","0","0","91002","Summer Anemos, \nSummer Qualia 第1話","5207001","0","20","0","0","0","1","一個人與一個人的旅行","8","1","0"
"3","10207","0","0","0","0","91002","Summer Anemos, \nSummer Qualia 第2話","5207002","0","20","0","0","0","1","有川有崖有秘密？","8","1","0"
"4","10207","0","0","0","0","91002","Summer Anemos, \nSummer Qualia 第3話","5207003","0","20","0","0","0","1","享受＆驚喜！","8","1","0"
"5","10207","0","0","0","0","91002","Summer Anemos, \nSummer Qualia 第4話","5207004","0","20","0","0","0","1","疼痛的傷口","8","1","0"
"6","10207","0","0","0","0","91002","Summer Anemos, \nSummer Qualia 第5話","5207005","0","20","0","0","0","1","放棄繞遠路","8","1","0"
"7","10207","0","0","0","0","91002","Summer Anemos, \nSummer Qualia 第6話","5207006","0","20","0","0","0","1","花開之處","8","1","0"
"8","10207","0","0","0","0","91002","Summer Anemos, \nSummer Qualia 終幕","5207007","0","20","0","0","0","1","兩人的夏日回憶","8","1","0"
"0","10207","0","0","0","0","0","Summer Anemos, \nSummer Qualia ","5207051","0","0","0","0","0","0","預告","0","3","0"
"0","10207","0","0","0","0","0","Summer Anemos, \nSummer Qualia ","5207052","0","0","0","0","0","0","開場動畫","0","4","0"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 序幕","5207061","0","20","0","0","0","0","大奧㊙大作戰始末之書","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 第1話","5207062","0","20","0","0","0","0","壹　邀請可璃亞之卷","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 第2話","5207063","0","20","0","0","0","0","壹　邀請安涅默涅之卷","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 第3話","5207064","0","20","0","0","0","0","參　妄想邀請似似花之卷","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 第4話","5207065","0","20","0","0","0","0","肆　妄想邀請步未之卷","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 第5話","5207066","0","20","0","0","0","0","伍　妄想邀請靜流之卷","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 第6話","5207067","0","20","0","0","0","0","陸　妄想邀請鈴奈之卷","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 第7話","5207068","0","20","0","0","0","0","柒　妄想邀請露易絲瑪莉之卷","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 第8話","5207069","0","20","0","0","0","0","捌　妄想邀請雪之卷","8","5","4"
"0","10207","0","0","0","0","91002","妮諾，建立大奧 終幕","5207070","0","20","0","0","0","0","通往大奧之路遙不可及……！	","8","5","4"
