4138af59d7badeb865e5bcb94092c7f9d0122f20669a65bd63c10f9e8e8a15e4,9c8d705e4d06f65427e1e14e26162ee82e911c2a2325e71a38ac4c10ce0e6fbb,4a7676e7741f0d53803ca1de448526790187cab84f6094706bd0c41892e9ebf4,066ae74d555f7a311cc4c7678ca037c3f4d7b6ac787c6281bac5fc603b568026,7b3abed053604f0a6e313419b41d58a0375a2431a3b83a33c2e14f305dd231ce,ff6a24d305e3c799d99868aec3ef8736b9e4560257e40942c956d31967a74e7b,06194a8f8c171062dae6f96d31640105d37f7e88bde17ea296cc0fa6d516a285,0fdae240239147f1e25de167d64512d3c528a13592dbe7f4d950017d3d8e98d5,33cbccd19305c9e2ae3bb5de45d1b8bfda86b4520b443c73d929c726362f0bdf,63a5058001c9f3a337f74996151ba49b540d98ad99081d769ea1657b5e71b8f0,1c6c16b23200ca6b51ee3e843570e65df97cf086bd14990a91f650c078d93603,ddf892491fe30e7a93d449fe9e065d16f3f0c6decf5978efbee809cc8f578aef,3098a71d11cd24dc5a6e103d52ea70272304c6b53dd69ec3a48f5d63928cbe00,39fcaf00a00230eb91ee6ac471035082ff040f4f77b293cd7897e3e34b328c5c,9858cf94bd05c6080abd9c724aa6dacaff6c1393d1ef71da5ba4c58c0058ef78,d4ee17c683f99f909153748837b325f101c10bf1e2219dd1277b55a53308d784,9cc3aade1544d57cbc58f1e447b232674986813972cd6054e8f8b5dbd3403912,f04fd7e1d04ca22d96804a35b6ee93269292ce9901e93d43274d5b6e8b3743e6,4ebf2fb6fb0698f57c267620bf833cb6b6d75e36f2e2ee6eb5728778f678996a,20ff79ef5660e3f045e27ca44c3772ee9e93453737c3772476df0433c8124b6f,aff445f2e64def5f5978e987ec0be3a96a999a6cecffc51b8132b26c1e62c94c
"8000","4500","0","25","2","0","0","31025","21","56","0","0","1005","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31025","51","57","0","0","1005","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31025","101","58","0","0","1005","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31025","251","59","0","0","1005","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31025","501","60","0","0","1005","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31025","1001","61","0","0","1005","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31025","2001","62","0","0","1005","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31025","3001","63","0","0","1005","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31025","5001","64","0","0","1005","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31025","10001","65","0","0","1005","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31043","1","66","0","0","1006","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31043","2","67","0","0","1006","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31043","3","68","0","0","1006","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31043","4","69","0","0","1006","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31043","21","70","0","0","1006","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31043","51","71","0","0","1006","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31043","101","72","0","0","1006","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31043","251","73","0","0","1006","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31043","501","74","0","0","1006","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31043","1001","75","0","0","1006","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31043","2001","76","0","0","1006","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31043","3001","77","0","0","1006","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31043","5001","78","0","0","1006","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31043","10001","79","0","0","1006","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31022","1","80","0","0","1007","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31022","2","81","0","0","1007","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31022","3","82","0","0","1007","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31022","4","83","0","0","1007","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31022","21","84","0","0","1007","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31022","51","85","0","0","1007","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31022","101","86","0","0","1007","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31022","251","87","0","0","1007","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31022","501","88","0","0","1007","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31022","1001","89","0","0","1007","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31022","2001","90","0","0","1007","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31022","3001","91","0","0","1007","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31022","5001","92","0","0","1007","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31022","10001","93","0","0","1007","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31042","1","94","0","0","1008","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31042","2","95","0","0","1008","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31042","3","96","0","0","1008","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31042","4","97","0","0","1008","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31042","21","98","0","0","1008","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31042","51","99","0","0","1008","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31042","101","100","0","0","1008","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31042","251","101","0","0","1008","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31042","501","102","0","0","1008","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31042","1001","103","0","0","1008","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31042","2001","104","0","0","1008","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31042","3001","105","0","0","1008","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31042","5001","106","0","0","1008","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31042","10001","107","0","0","1008","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31018","1","108","0","0","1009","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31018","2","109","0","0","1009","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31018","3","110","0","0","1009","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31018","4","111","0","0","1009","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31018","21","112","0","0","1009","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31018","51","113","0","0","1009","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31018","101","114","0","0","1009","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31018","251","115","0","0","1009","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31018","501","116","0","0","1009","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31018","1001","117","0","0","1009","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31018","2001","118","0","0","1009","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31018","3001","119","0","0","1009","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31018","5001","120","0","0","1009","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31018","10001","121","0","0","1009","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31025","1","122","0","0","1010","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31025","2","123","0","0","1010","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31025","3","124","0","0","1010","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31025","4","125","0","0","1010","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31025","21","126","0","0","1010","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31025","51","127","0","0","1010","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31025","101","128","0","0","1010","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31025","251","129","0","0","1010","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31025","501","130","0","0","1010","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31025","1001","131","0","0","1010","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31025","2001","132","0","0","1010","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31025","3001","133","0","0","1010","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31025","5001","134","0","0","1010","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31025","10001","135","0","0","1010","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31043","1","136","0","0","1011","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31043","2","137","0","0","1011","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31043","3","138","0","0","1011","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31043","4","139","0","0","1011","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31043","21","140","0","0","1011","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31043","51","141","0","0","1011","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31043","101","142","0","0","1011","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31043","251","143","0","0","1011","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31043","501","144","0","0","1011","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31043","1001","145","0","0","1011","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31043","2001","146","0","0","1011","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31043","3001","147","0","0","1011","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31043","5001","148","0","0","1011","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31043","10001","149","0","0","1011","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31022","1","150","0","0","1012","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31022","2","151","0","0","1012","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31022","3","152","0","0","1012","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31022","4","153","0","0","1012","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31022","21","154","0","0","1012","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31022","51","155","0","0","1012","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31022","101","156","0","0","1012","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31022","251","157","0","0","1012","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31022","501","158","0","0","1012","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31022","1001","159","0","0","1012","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31022","2001","160","0","0","1012","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31022","3001","161","0","0","1012","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31022","5001","162","0","0","1012","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31022","10001","163","0","0","1012","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31042","1","164","0","0","1013","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31042","2","165","0","0","1013","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31042","3","166","0","0","1013","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31042","4","167","0","0","1013","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31042","21","168","0","0","1013","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31042","51","169","0","0","1013","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31042","101","170","0","0","1013","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31042","251","171","0","0","1013","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31042","501","172","0","0","1013","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31042","1001","173","0","0","1013","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31042","2001","174","0","0","1013","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31042","3001","175","0","0","1013","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31042","5001","176","0","0","1013","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31042","10001","177","0","0","1013","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31018","1","178","0","0","1014","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31018","2","179","0","0","1014","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31018","3","180","0","0","1014","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31018","4","181","0","0","1014","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31018","21","182","0","0","1014","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31018","51","183","0","0","1014","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31018","101","184","0","0","1014","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31018","251","185","0","0","1014","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31018","501","186","0","0","1014","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31018","1001","187","0","0","1014","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31018","2001","188","0","0","1014","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31018","3001","189","0","0","1014","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31018","5001","190","0","0","1014","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31018","10001","191","0","0","1014","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31042","1","192","0","0","1015","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31042","2","193","0","0","1015","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31042","3","194","0","0","1015","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31042","4","195","0","0","1015","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31042","21","196","0","0","1015","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31042","51","197","0","0","1015","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31042","101","198","0","0","1015","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31042","251","199","0","0","1015","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31042","501","200","0","0","1015","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31042","1001","201","0","0","1015","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31042","2001","202","0","0","1015","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31042","3001","203","0","0","1015","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31042","5001","204","0","0","1015","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31042","10001","205","0","0","1015","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31025","1","206","0","0","1016","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31025","2","207","0","0","1016","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31025","3","208","0","0","1016","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31025","4","209","0","0","1016","8","2","20","0","1","91002","0","90006"
"8000","5000","0","30","2","0","0","31025","21","210","0","0","1016","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31025","51","211","0","0","1016","8","2","150","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31025","151","212","0","0","1016","8","2","300","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31025","301","213","0","0","1016","8","2","700","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31025","701","214","0","0","1016","8","2","1300","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31025","1301","215","0","0","1016","8","2","2500","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31025","2501","216","0","0","1016","8","2","4000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31025","4001","217","0","0","1016","8","2","6000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31025","6001","218","0","0","1016","8","2","10000","0","1","91002","0","90006"
"750","750","0","7","2","0","0","31025","10001","219","0","0","1016","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31043","1","220","0","0","1017","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31043","2","221","0","0","1017","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31043","3","222","0","0","1017","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31043","4","223","0","0","1017","8","2","20","0","1","91002","0","90006"
"8000","5000","0","30","2","0","0","31043","21","224","0","0","1017","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31043","51","225","0","0","1017","8","2","150","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31043","151","226","0","0","1017","8","2","300","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31043","301","227","0","0","1017","8","2","700","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31043","701","228","0","0","1017","8","2","1300","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31043","1301","229","0","0","1017","8","2","2500","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31043","2501","230","0","0","1017","8","2","4000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31043","4001","231","0","0","1017","8","2","6000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31043","6001","232","0","0","1017","8","2","10000","0","1","91002","0","90006"
"750","750","0","7","2","0","0","31043","10001","233","0","0","1017","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31022","1","234","0","0","1018","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31022","2","235","0","0","1018","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31022","3","236","0","0","1018","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31022","4","237","0","0","1018","8","2","20","0","1","91002","0","90006"
"8000","5000","0","30","2","0","0","31022","21","238","0","0","1018","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31022","51","239","0","0","1018","8","2","150","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31022","151","240","0","0","1018","8","2","300","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31022","301","241","0","0","1018","8","2","700","0","1","91002","0","90006"
