03e46192a43081a1d6247882c5979c7cec84b9f8726432b0ef9e27da4a9f806a,66f186d2924eff748ee0c0ba41b6d129b7c11609c02916f7aa43700d5ce652ac,2978506d83b8557a35a5b2cb06cea22dd1f4e470a4cd1691d9f7d7fad8ea72fa,8086ef3ce39ebeb91845c9f177992436a3e65490700c0ed48abadd37d970946e,22f4d15d1417f014276f80b7f34703914581dbfc67e4b514b88a7e6003603db9,6775669e7d4a3d95c73867f5eb025dce1bdc2e1d2cf19af97630a1507afb71cf,6bbb587d3c427c9a302a95fd337257a137ade30a5d8d0548701a15401c6fd8f3,90a39bf67260c2c87bffe8351e21131e297ecfe95cbb2968a2ae14fecae554c4,1cc80a2e738d14f666c1d9733dc1e9c8beb45d1e27bbc9478abec5eba4726be0,45feb67c3df35e82cf6965caca6cf21fe8faff39b5a49bf5bcfcd0f19bfc4c9d,a7cf986ff7d56b0500cb9c8249cec9e970c8a6f67657ffb249acf48ffdc66eb3,75f4b20d4c811704efff44ac45d43710a5824ec998f12ed5a590843aad5ce9e9
"0","0","1","4","0","1.2","5154062","0","0","48","515406248","0"
"1.5","415","0","1","61","0","5154062","0","9","49","515406249","0"
"0","0","1","4","0","2.5","5154062","0","0","50","515406250","0"
"0","0","0","2","0","0","5154062","vo_abd","0","51","515406251","vo_abd_0110"
"0.2","28","0","1","0","0","5154062","0","10","52","515406252","0"
"0","0","1","4","0","0.6","5154062","0","0","53","515406253","0"
"1.3","400","0","1","28","0","5154062","0","10","54","515406254","0"
"0","0","1","4","0","2.3","5154062","0","0","55","515406255","0"
"0","0","0","2","0","0","5154062","vo_abd","0","56","515406256","vo_abd_0111"
"0.3","60","0","1","0","0","5154062","0","11","57","515406257","0"
"0","0","1","4","0","1.2","5154062","0","0","58","515406258","0"
"1","315","0","1","60","0","5154062","0","11","59","515406259","0"
"0","0","1","4","0","0.8","5154063","0","0","1","515406301","0"
"0","0","0","2","0","0","5154063","vo_abd","0","2","515406302","vo_abd_0201"
"1.5","350","0","1","0","0","5154063","0","1","3","515406303","0"
"0","0","1","4","0","2.25","5154063","0","0","4","515406304","0"
"0","0","0","2","0","0","5154063","vo_abd","0","5","515406305","vo_abd_0202"
"1.8","390","0","1","0","0","5154063","0","2","6","515406306","0"
"0","0","1","4","0","3","5154063","0","0","7","515406307","0"
"0","0","0","2","0","0","5154063","vo_abd","0","8","515406308","vo_abd_0203"
"1.5","330","0","1","0","0","5154063","0","3","9","515406309","0"
"0","0","1","4","0","1.8","5154063","0","0","10","515406310","0"
"0","0","0","2","0","0","5154063","vo_abd","0","11","515406311","vo_abd_0204"
"1.3","300","0","1","0","0","5154063","0","4","12","515406312","0"
"0","0","1","4","0","2.5","5154063","0","0","13","515406313","0"
"0","0","0","2","0","0","5154063","vo_abd","0","14","515406314","vo_abd_0205"
"1.5","360","0","1","0","0","5154063","0","5","15","515406315","0"
"0","0","1","4","0","2","5154063","0","0","16","515406316","0"
"0","0","0","2","0","0","5154063","vo_abd","0","17","515406317","vo_abd_0206"
"1.8","310","0","1","0","0","5154063","0","6","18","515406318","0"
"0","0","1","4","0","3","5154063","0","0","19","515406319","0"
"0","0","0","2","0","0","5154063","vo_abd","0","20","515406320","vo_abd_0207"
"1.2","138","0","1","0","0","5154063","0","8","21","515406321","0"
"0","0","1","4","0","1.6","5154063","0","0","22","515406322","0"
"0.45","400","0","1","138","0","5154063","0","8","23","515406323","0"
"0","0","1","4","0","0.45","5154063","0","0","24","515406324","0"
"0","0","0","2","0","0","5154063","vo_abd","0","25","515406325","vo_abd_0208"
"1.1","360","0","1","0","0","5154063","0","9","26","515406326","0"
"0","0","1","4","0","1.6","5154063","0","0","27","515406327","0"
"0","0","0","2","0","0","5154063","vo_abd","0","28","515406328","vo_abd_0209"
"0.5","280","0","1","0","0","5154063","0","10","29","515406329","0"
"0","0","1","4","0","0.5","5154063","0","0","30","515406330","0"
"0","0","0","2","0","0","5154063","vo_abd","0","31","515406331","vo_abd_0210"
"1","360","0","1","0","0","5154063","0","11","32","515406332","0"
"0","0","1","4","0","0.8","5154064","0","0","1","515406401","0"
"0","0","0","2","0","0","5154064","vo_abd","0","2","515406402","vo_abd_0301"
"2","400","0","1","0","0","5154064","0","1","3","515406403","0"
"0","0","1","4","0","2.8","5154064","0","0","4","515406404","0"
"0","0","0","2","0","0","5154064","vo_abd","0","5","515406405","vo_abd_0302"
"2","400","0","1","0","0","5154064","0","2","6","515406406","0"
"0","0","1","4","0","3.5","5154064","0","0","7","515406407","0"
"0","0","0","2","0","0","5154064","vo_abd","0","8","515406408","vo_abd_0303"
"2.8","425","0","1","0","0","5154064","0","3","9","515406409","0"
"0","0","1","4","0","3.5","5154064","0","0","10","515406410","0"
"0","0","0","2","0","0","5154064","vo_abd","0","11","515406411","vo_abd_0304"
"3","450","0","1","0","0","5154064","0","4","12","515406412","0"
"0","0","1","4","0","4","5154064","0","0","13","515406413","0"
"0","0","0","2","0","0","5154064","vo_abd","0","14","515406414","vo_abd_0305"
"0.2","63","0","1","0","0","5154064","0","5","15","515406415","0"
"0","0","1","4","0","1.05","5154064","0","0","16","515406416","0"
"2","420","0","1","63","0","5154064","0","5","17","515406417","0"
"0","0","1","4","0","3.5","5154064","0","0","18","515406418","0"
"0","0","0","2","0","0","5154064","vo_abd","0","19","515406419","vo_abd_0306"
"1","151","0","1","0","0","5154064","0","6","20","515406420","0"
"0","0","1","4","0","1.7","5154064","0","0","21","515406421","0"
"1","260","0","1","151","0","5154064","0","6","22","515406422","0"
"0","0","1","4","0","2.8","5154064","0","0","23","515406423","0"
"0.8","48","0","1","0","0","5154064","0","7","24","515406424","0"
"0","0","1","4","0","0.96","5154064","0","0","25","515406425","0"
"0","0","0","2","0","0","5154064","vo_abd","0","26","515406426","vo_abd_0307"
"1.5","360","0","1","48","0","5154064","0","7","27","515406427","0"
"0","0","1","4","0","1.7","5154064","0","0","28","515406428","0"
"0.8","360","0","1","360","0","5154064","0","7","29","515406429","0"
"0","0","1","4","0","2","5154064","0","0","30","515406430","0"
"0","0","0","2","0","0","5154064","vo_abd","0","31","515406431","vo_abd_0308"
"1","254","0","1","0","0","5154064","0","8","32","515406432","0"
"0","0","1","4","0","2","5154064","0","0","33","515406433","0"
"0.3","254","0","1","254","0","5154064","0","8","34","515406434","0"
"0","0","1","4","0","1.5","5154064","0","0","35","515406435","0"
"0.8","400","0","1","254","0","5154064","0","8","36","515406436","0"
"0","0","1","4","0","2","5154064","0","0","37","515406437","0"
"0","0","0","2","0","0","5154064","vo_abd","0","38","515406438","vo_abd_0309"
"2","96","0","1","0","0","5154064","0","9","39","515406439","0"
"0","0","1","4","0","2.65","5154064","0","0","40","515406440","0"
"1","425","0","1","96","0","5154064","0","9","41","515406441","0"
"0","0","1","4","0","2","5154064","0","0","42","515406442","0"
"0","0","0","2","0","0","5154064","vo_abd","0","43","515406443","vo_abd_0310"
"2.5","400","0","1","0","0","5154064","0","10","44","515406444","0"
"0","0","1","4","0","4","5154064","0","0","45","515406445","0"
"0","0","0","2","0","0","5154064","vo_abd","0","46","515406446","vo_abd_0311"
"1.2","115","0","1","0","0","5154064","0","11","47","515406447","0"
"0","0","1","4","0","2","5154064","0","0","48","515406448","0"
"1","295","0","1","115","0","5154064","0","11","49","515406449","0"
"0","0","1","4","0","2.5","5154064","0","0","50","515406450","0"
"0.5","430","0","1","295","0","5154064","0","11","51","515406451","0"
"0","0","1","4","0","0.8","5154065","0","0","1","515406501","0"
"0","0","0","2","0","0","5154065","vo_abd","0","2","515406502","vo_abd_0401"
"2","400","0","1","0","0","5154065","0","1","3","515406503","0"
"0","0","1","4","0","3.2","5154065","0","0","4","515406504","0"
"0","0","0","2","0","0","5154065","vo_abd","0","5","515406505","vo_abd_0402"
"2","420","0","1","0","0","5154065","0","2","6","515406506","0"
"0","0","1","4","0","3.7","5154065","0","0","7","515406507","0"
"0","0","0","2","0","0","5154065","vo_abd","0","8","515406508","vo_abd_0403"
"2","400","0","1","0","0","5154065","0","3","9","515406509","0"
"0","0","1","4","0","3","5154065","0","0","10","515406510","0"
"0","0","0","2","0","0","5154065","vo_abd","0","11","515406511","vo_abd_0404"
"1","188","0","1","0","0","5154065","0","4","12","515406512","0"
"0","0","1","4","0","1.15","5154065","0","0","13","515406513","0"
"1","425","0","1","188","0","5154065","0","4","14","515406514","0"
"0","0","1","4","0","2.5","5154065","0","0","15","515406515","0"
"0","0","0","2","0","0","5154065","vo_abd","0","16","515406516","vo_abd_0405"
"2.4","450","0","1","0","0","5154065","0","5","17","515406517","0"
"0","0","1","4","0","2.9","5154065","0","0","18","515406518","0"
"0","0","0","2","0","0","5154065","vo_abd","0","19","515406519","vo_abd_0407"
"1","300","0","1","0","0","5154065","0","6","20","515406520","0"
"0","0","1","4","0","1.5","5154065","0","0","21","515406521","0"
"0","0","0","2","0","0","5154065","vo_abd","0","22","515406522","vo_abd_0408"
"1","320","0","1","0","0","5154065","0","7","23","515406523","0"
"0","0","1","4","0","1","5154065","0","0","24","515406524","0"
"0","0","0","2","0","0","5154065","vo_abd","0","25","515406525","vo_abd_0409"
"1","320","0","1","320","0","5154065","0","7","26","515406526","0"
"0","0","1","4","0","2","5154065","0","0","27","515406527","0"
"0","0","0","2","0","0","5154065","vo_abd","0","28","515406528","vo_abd_0410"
"0.2","70","0","1","0","0","5154065","0","8","29","515406529","0"
"0","0","1","4","0","0.7","5154065","0","0","30","515406530","0"
"1.5","350","0","1","70","0","5154065","0","8","31","515406531","0"
"0","0","1","4","0","2.5","5154065","0","0","32","515406532","0"
"0","0","0","2","0","0","5154065","vo_abd","0","33","515406533","vo_abd_0411"
"0.2","75","0","1","0","0","5154065","0","9","34","515406534","0"
"0","0","1","4","0","1.08","5154065","0","0","35","515406535","0"
"0.3","340","0","1","75","0","5154065","0","9","36","515406536","0"
"0","0","1","4","0","0.9","5154065","0","0","37","515406537","0"
"1.5","200","0","1","0","0","5154065","0","10","38","515406538","0"
