a14b3740b1d232cc92fc1faced6894b2899bba8529d8dace6f37f04cfa7cb92c,34b9b06fdb8b6d4e0b98e0d6cd2615ec33f93aaa2dc7a33e2204ccc0459000a4,bc0e0dd1a37c32189658f9129a1c18213665c73308911eb8f5d31b8b52c7407f,d0c3255fddbff21c8724d850a747bdb4eefc82079394112663ddf049a34b91a4,75659ee72b94f1d8c9aec6fa1ab8e9c375ac209918793844fc7e93cf5f441317,8ca957b9573308f195e5909992401ee36cedf37efd3e03c334081af790b0513b,5b1936774afd0b70cae4d41bd81b6037361765176d66caaefcb0a2bada3bb5cb,a6de8294654aac6a3ec82f48b3e99043f609cab1da05d58518ada2f663f3f576,4b0ba1d9c5794a4d9983643cc861abcd67eba4e99d79dcd9b8cae81244245023,0cdd51039385fdfefd9dc714d5ac53e1b1851e20accba68d4bb8b35a2fe5a913,0ca9cdc9b83da3b43b5c2334420f9c474142dd4e68df0cb98dce2cccbaff18fe,d86c168b195903036cc575c61f6f7d65c26de91a2c7462e3427a0d5b39852276,79b76fe0a6da530d882ffd0534c571b2f1747f9263d0be254e7d6746705ffa70,f508963d3b975d66369b4687c375682b79b919bfc97e2b562cd3912631fb2889,f5fe57b90a9b94030526a372c450f432dd1a524c0e6860253e0d7cb67880363b,cc995e292dcdd20336506e45dd0ae63ff82ef1c98c085359f3baf8173b57600c,ff088f0ed8c81ade308ab42b2ca0e78cc22679fb6b2a35671cc84e45fb6d9233,2101533a3a9bc290f5f62d61dfd7623e5eaca79732f9c026afa2526880b928c4
"542","0","9419","10","0","0","0","0","","0","35","4","","0","0","0","37","0"
"543","0","9420","11","0","0","0","0","","0","36","4","","0","0","0","37","0"
"550","0","9319","110","0","0","0","0","","0","1","5","","30","0","0","0","908"
"561","0","9421","4","0","0","0","0","","0","37","4","","0","0","0","34","0"
"562","0","9422","5","0","0","0","0","","0","38","4","","0","0","0","31","0"
"563","0","9423","6","0","0","0","0","","0","39","4","","0","0","0","37","0"
"564","0","9424","7","0","0","0","0","","0","40","4","","0","0","0","38","0"
"565","0","9425","8","0","0","0","0","","0","41","4","","0","0","0","37","0"
"566","0","9426","9","0","0","0","0","","0","42","4","","0","0","0","37","0"
"567","0","9427","10","0","0","0","0","","0","43","4","","0","0","0","37","0"
"568","0","9428","11","0","0","0","0","","0","44","4","","0","0","0","37","0"
"569","0","9429","12","0","0","0","0","","0","45","4","","0","0","0","37","0"
"570","0","9430","13","0","0","0","0","","0","46","4","","0","0","0","37","0"
"571","0","9319","111","0","0","0","0","","0","1","5","","30","0","0","0","908"
"572","0","9319","112","0","0","0","0","","0","1","5","","30","0","0","0","908"
"575","0","9319","113","0","0","0","0","","0","1","5","","30","0","0","0","908"
"609","0","9319","114","0","0","0","0","","0","1","5","","30","0","0","0","908"
"616","0","9319","124","0","0","0","0","","0","1","5","","30","0","0","0","908"
"617","0","99634","115","0","0","0","0","","0","27","0","","0","0","0","0","0"
"618","0","99635","116","0","0","0","0","","0","28","0","","0","0","0","0","0"
"619","0","99636","117","0","0","0","0","","0","29","0","","0","0","0","0","0"
"620","0","99638","118","0","0","0","0","","0","30","0","","0","0","0","0","0"
"621","0","99639","119","0","0","0","0","","0","11","4","","0","0","0","0","0"
"622","0","99640","120","0","0","0","0","","0","12","4","","0","0","0","0","0"
"623","0","99641","121","0","0","0","0","","0","13","4","","0","0","0","0","0"
"624","0","99642","122","0","0","0","0","","0","14","4","","0","0","0","0","0"
"625","0","99643","123","0","0","0","0","","0","15","4","","0","0","0","0","0"
"626","0","9319","125","0","0","0","0","","0","1","5","","30","0","0","0","908"
"627","0","9431","126","0","0","0","0","","0","1","6","","0","0","0","0","0"
"628","0","9431","127","0","0","0","0","","0","1","6","","0","0","0","0","0"
"629","0","99650","128","0","0","0","0","","0","31","0","","0","0","0","0","0"
"630","0","99651","129","0","0","0","0","","0","32","0","","0","0","0","0","0"
"631","0","99652","117","0","0","0","0","","0","33","0","","0","0","0","0","0"
"632","0","9319","130","0","0","0","0","","0","1","5","","30","0","0","0","908"
"633","0","9319","131","0","0","0","0","","0","1","7","","0","0","0","0","0"
"634","0","9432","132","0","0","0","0","","0","2","6","","0","0","0","0","0"
"635","0","9432","133","0","0","0","0","","0","2","6","","0","0","0","0","0"
"637","0","99658","117","0","0","0","0","","0","34","0","","0","0","0","0","0"
"638","0","99659","134","0","0","0","0","","0","35","0","","0","0","0","0","0"
"639","0","99660","135","0","0","0","0","","0","36","0","","0","0","0","0","0"
"640","0","99661","136","0","0","0","0","","0","37","0","","0","0","0","0","0"
"641","0","9319","137","0","0","0","0","","0","1","5","","30","0","0","0","908"
"642","0","9433","138","0","0","0","0","","0","3","6","","0","0","0","0","0"
"643","0","99669","117","0","0","0","0","","0","34","0","","0","0","0","0","0"
"644","0","99670","134","0","0","0","0","","0","35","0","","0","0","0","0","0"
"645","0","99671","135","0","0","0","0","","0","36","0","","0","0","0","0","0"
"646","0","99672","136","0","0","0","0","","0","37","0","","0","0","0","0","0"
"648","0","99674","139","0","0","0","0","","0","2","6","","0","0","0","0","0"
"649","0","9319","140","0","0","0","0","","0","1","5","","30","0","0","0","908"
"650","0","99677","141","0","0","0","0","","0","5","6","","0","0","0","0","0"
"651","0","9435","142","0","0","0","0","","0","6","6","","0","0","0","0","0"
"652","0","9435","143","0","0","0","0","","0","7","6","","0","0","0","0","0"
"653","0","9435","144","0","0","0","0","","0","8","6","","0","0","0","0","0"
"654","0","9435","145","0","0","0","0","","0","9","6","","0","0","0","0","0"
"655","0","9435","146","0","0","0","0","","0","10","6","","0","0","0","0","0"
"656","0","9319","147","0","0","0","0","","0","1","5","","30","0","0","0","908"
"657","0","9434","148","0","0","0","0","","0","4","6","","0","0","0","0","0"
"659","0","99687","117","0","0","0","0","","0","34","0","","0","0","0","0","0"
"660","0","99688","134","0","0","0","0","","0","35","0","","0","0","0","0","0"
"661","0","99689","136","0","0","0","0","","0","37","0","","0","0","0","0","0"
"662","0","9438","149","0","0","0","0","","0","5","6","","0","0","0","0","0"
"663","0","9434","150","0","0","0","0","","0","4","6","","0","0","0","0","0"
"664","0","9319","151","0","0","0","0","","0","1","5","","30","0","0","0","908"
"665","0","9437","152","0","0","0","0","","0","6","6","","0","0","0","0","0"
"666","0","99674","139","0","0","0","0","","0","5","6","","0","0","0","0","0"
"667","0","9435","142","0","0","0","0","","0","7","6","","0","0","0","0","0"
"668","0","9435","143","0","0","0","0","","0","8","6","","0","0","0","0","0"
"669","0","9435","144","0","0","0","0","","0","9","6","","0","0","0","0","0"
"670","0","9435","145","0","0","0","0","","0","10","6","","0","0","0","0","0"
"671","0","9435","146","0","0","0","0","","0","11","6","","0","0","0","0","0"
"672","0","9439","153","0","0","0","0","","0","3","6","","0","0","0","0","0"
"673","0","9438","154","0","0","0","0","","0","14","6","","0","0","0","0","0"
"674","0","9319","155","0","0","0","0","","0","1","5","","30","0","0","0","908"
"675","0","99677","139","0","0","0","0","","0","3","6","","0","0","0","0","0"
"676","0","9434","156","0","0","0","0","","0","4","6","","0","0","0","0","0"
"677","0","9437","157","0","0","0","0","","0","5","6","","0","0","0","0","0"
"678","0","9436","158","0","0","0","0","","0","8","6","","0","0","0","0","0"
"679","0","9436","159","0","0","0","0","","0","7","6","","0","0","0","0","0"
"680","0","9436","160","0","0","0","0","","0","6","6","","0","0","0","0","0"
"681","0","9436","142","0","0","0","0","","0","9","6","","0","0","0","0","0"
"682","0","9436","143","0","0","0","0","","0","10","6","","0","0","0","0","0"
"683","0","9436","144","0","0","0","0","","0","11","6","","0","0","0","0","0"
"684","0","9436","145","0","0","0","0","","0","12","6","","0","0","0","0","0"
"685","0","9436","146","0","0","0","0","","0","13","6","","0","0","0","0","0"
"686","0","9436","158","0","0","0","0","","0","12","6","","0","0","0","0","0"
"687","0","9436","159","0","0","0","0","","0","11","6","","0","0","0","0","0"
"688","0","9436","160","0","0","0","0","","0","10","6","","0","0","0","0","0"
"689","0","9436","142","0","0","0","0","","0","13","6","","0","0","0","0","0"
"690","0","9436","143","0","0","0","0","","0","14","6","","0","0","0","0","0"
"691","0","9436","144","0","0","0","0","","0","12","6","","0","0","0","0","0"
"692","0","9436","145","0","0","0","0","","0","13","6","","0","0","0","0","0"
"693","0","9436","146","0","0","0","0","","0","14","6","","0","0","0","0","0"
"694","0","9437","161","0","0","0","0","","0","8","6","","0","0","0","0","0"
"695","0","9434","162","0","0","0","0","","0","7","6","","0","0","0","0","0"
"696","0","99695","139","0","0","0","0","","0","4","6","","0","0","0","0","0"
"697","0","9319","163","0","0","0","0","","0","1","5","","30","0","0","0","908"
"698","0","9319","164","0","0","0","0","","0","1","5","","30","0","0","0","908"
"699","0","9433","165","0","0","0","0","","0","22","6","","0","0","0","0","0"
"700","0","9444","166","0","0","0","0","","0","20","6","","0","0","0","0","0"
"701","0","9443","167","0","0","0","0","","0","19","6","","0","0","0","0","0"
"703","0","99697","117","0","0","0","0","","0","34","0","","0","0","0","0","0"
"704","0","99698","134","0","0","0","0","","0","35","0","","0","0","0","0","0"
"705","0","99699","136","0","0","0","0","","0","37","0","","0","0","0","0","0"
"706","0","99700","168","0","0","0","0","","0","31","0","","0","0","0","0","0"
"707","0","99701","169","0","0","0","0","","0","32","0","","0","0","0","0","0"
"708","0","9434","170","0","0","0","0","","0","9","6","","0","0","0","0","0"
"709","0","9437","171","0","0","0","0","","0","10","6","","0","0","0","0","0"
"710","0","9441","139","0","0","0","0","","0","7","6","","0","0","0","0","0"
"711","0","9436","158","0","0","0","0","","0","13","6","","0","0","0","0","0"
"712","0","9436","159","0","0","0","0","","0","12","6","","0","0","0","0","0"
"713","0","9436","160","0","0","0","0","","0","11","6","","0","0","0","0","0"
"714","0","9436","142","0","0","0","0","","0","14","6","","0","0","0","0","0"
"715","0","9436","143","0","0","0","0","","0","15","6","","0","0","0","0","0"
"716","0","9436","144","0","0","0","0","","0","16","6","","0","0","0","0","0"
"717","0","9436","145","0","0","0","0","","0","17","6","","0","0","0","0","0"
"718","0","9436","146","0","0","0","0","","0","18","6","","0","0","0","0","0"
"719","0","9319","172","0","0","0","0","","0","1","5","","30","0","0","0","908"
"720","0","9445","173","0","0","0","0","","0","6","6","","0","0","0","0","0"
"721","0","9438","174","0","0","0","0","","0","8","6","","0","0","0","0","0"
"722","0","9446","175","0","0","0","0","","0","5","6","","0","0","0","0","0"
"723","0","9448","176","0","0","0","0","","0","1","6","","0","0","0","0","0"
"724","0","99709","177","0","0","0","0","","0","9","6","","0","0","0","0","0"
"725","0","9438","174","0","0","0","0","","0","11","6","","0","0","0","0","0"
"726","0","9437","178","0","0","0","0","","0","0","6","","0","0","0","0","0"
"727","0","9434","179","0","0","0","0","","0","0","6","","0","0","0","0","0"
"728","0","99695","180","0","0","0","0","","0","0","6","","0","0","0","0","0"
"729","0","9436","158","0","0","0","0","","0","0","6","","0","0","0","0","0"
"730","0","9436","159","0","0","0","0","","0","0","6","","0","0","0","0","0"
"731","0","9436","160","0","0","0","0","","0","0","6","","0","0","0","0","0"
"732","0","9436","142","0","0","0","0","","0","0","6","","0","0","0","0","0"
"733","0","9436","143","0","0","0","0","","0","0","6","","0","0","0","0","0"
"734","0","9436","144","0","0","0","0","","0","0","6","","0","0","0","0","0"
"735","0","9436","145","0","0","0","0","","0","0","6","","0","0","0","0","0"
"736","0","9436","146","0","0","0","0","","0","0","6","","0","0","0","0","0"
"737","0","9319","181","0","0","0","0","","0","1","5","","30","0","0","0","908"
"738","0","9450","182","0","0","0","0","30天內活動禮包","0","0","10","","30","0","6","0","0"
"739","0","9451","183","0","0","0","0","","0","2","6","","0","0","0","0","0"
"741","0","99712","117","0","0","0","0","","0","34","0","","0","0","0","0","0"
"742","0","99713","134","0","0","0","0","","0","35","0","","0","0","0","0","0"
"743","0","99714","136","0","0","0","0","","0","37","0","","0","0","0","0","0"
"744","0","99715","184","0","0","0","0","","0","31","0","","0","0","0","0","0"
"745","0","99716","185","0","0","0","0","","0","32","0","","0","0","0","0","0"
"746","0","9451","183","0","0","0","0","","0","11","0","","0","0","0","0","0"
"749","0","9440","186","0","0","0","0","","0","11","5","","30","0","0","0","908"
"750","0","9438","174","0","0","0","0","","0","14","6","","0","0","0","0","0"
"751","0","9437","187","0","0","0","0","","0","16","6","","0","0","0","0","0"
"752","0","9525","188","0","0","0","0","","0","15","6","","0","0","0","0","0"
"753","0","9441","180","0","0","0","0","","0","13","6","","0","0","0","0","0"
"756","0","9526","189","0","0","0","0","","0","12","6","","0","0","0","0","0"
