2ebf7a640a14fb499038a66bb7862934d7cb9e0b819f39c04639e44ec41fb9f1,e48728ac43d6a5e9499f4f34ba84c2a96638db2bfc3a270e106615dc9944f65a,a07cd03fc933e55f875bdf38805fe29145f17477cd4a955e157898bc39639a86,2cf080b1084c224fdf3eda89c6d50eaa48593be2865d1dbfc1979c01dc1b13ee,b13935e993bf78c41b4c0cbb056bd60165542410b94e3756bf04b2fc936cf63d,6de6fb903c5b792e532971cb49c5029563c861bb02a67d8e893822e62ab43cf9,3e2e1994026b45e254eb3fb4df7c2675c4fc0ce48e01f6fb97054c770645f166,2068bd3bb9392534de2d73fb5d2492b836dbad7fa025d512d3a65ac2d7e096d2,4d73cf07c64bb67b013516aa742dca4e5326beaa751c5ed2d7d8d4bb6451f508,bc3d856c096b6293c4c59ddd4460eec27b38e0814b592e6bc5f9b288ba2b2938,b7c6baed6da2ec6c4a38b29417c4125d5558fa18dec56b8a333709dd4d36ccc1,c095e3673742a3f1b6357f019b421f0a4787120946286ebbaba4426751715583
"0","0","1.26753246753247","1150035","0","361","0","726","7","35","15","1"
"0","0","0","1150036","2.51753246753247","0","1","0","7","36","15","4"
"vo_10011600_1513","vo_10011600","0","1150037","0","0","0","0","0","37","15","2"
"0","0","1.99480519480519","1150038","0","0","0","793","8","38","15","1"
"0","0","0","1150039","2.49480519480519","0","1","0","8","39","15","4"
"vo_10011600_1514","vo_10011600","0","1150040","0","0","0","0","0","40","15","2"
"0","0","1.03896103896104","1150041","0","793","0","793","8","41","15","1"
"0","0","0","1150042","2.53896103896104","0","1","0","8","42","15","4"
"0","0","0.01","1150043","0","0","0","400","9","43","15","1"
"0","0","0","1150044","0","0","1","0","9","44","15","4"
"vo_10011600_1515","vo_10011600","0","1150045","0","0","0","0","0","45","15","2"
"0","0","1.32987012987013","1150046","0","400","0","720","9","46","15","1"
"vo_10011600_1601","vo_10011600","0","1160001","0","0","0","0","0","1","16","2"
"0","0","0.623376623376623","1160002","0","0","0","150","1","2","16","1"
"0","0","0","1160003","2.12337662337662","0","1","0","1","3","16","4"
"vo_10011600_1602","vo_10011600","0","1160004","0","0","0","0","0","4","16","2"
"0","0","3.63636363636364","1160005","0","0","0","716","2","5","16","1"
"0","0","0","1160006","5.13636363636364","0","1","0","2","6","16","4"
"vo_10011600_1603","vo_10011600","0","1160007","0","0","0","0","0","7","16","2"
"0","0","1.18441558441558","1160008","0","0","0","396","3","8","16","1"
"0","0","0","1160009","2.18441558441558","0","1","0","3","9","16","4"
"vo_10011600_1604","vo_10011600","0","1160010","0","0","0","0","0","10","16","2"
"0","0","0.353246753246753","1160011","0","396","0","460","3","11","16","1"
"0","0","0","1160012","0.553246753246753","0","1","0","3","12","16","4"
"vo_10011600_1605","vo_10011600","0","1160013","0","0","0","0","0","13","16","2"
"0","0","1.1012987012987","1160014","0","460","0","704","3","14","16","1"
"0","0","0","1160015","1.1012987012987","0","1","0","3","15","16","4"
"0","0","1.95324675324675","1160016","0","0","0","458","4","16","16","1"
"0","0","0","1160017","2.45324675324675","0","1","0","4","17","16","4"
"vo_10011600_1606","vo_10011600","0","1160018","0","0","0","0","0","18","16","2"
"0","0","0.78961038961039","1160019","0","458","0","758","4","19","16","1"
"0","0","0","1160020","1.78961038961039","0","1","0","4","20","16","4"
"vo_10011600_1607","vo_10011600","0","1160021","0","0","0","0","0","21","16","2"
"0","0","1.99480519480519","1160022","0","0","0","492","5","22","16","1"
"0","0","0","1160023","2.99480519480519","0","1","0","5","23","16","4"
"vo_10011600_1608","vo_10011600","0","1160024","0","0","0","0","0","24","16","2"
"0","0","0.748051948051948","1160025","0","492","0","712","5","25","16","1"
"0","0","0","1160026","1.99805194805195","0","1","0","5","26","16","4"
"vo_10011600_1609","vo_10011600","0","1160027","0","0","0","0","0","27","16","2"
"0","0","1.53766233766234","1160028","0","0","0","260","6","28","16","1"
"0","0","0","1160029","2.13766233766234","0","1","0","6","29","16","4"
"vo_10011600_1610","vo_10011600","0","1160030","0","0","0","0","0","30","16","2"
"0","0","1.41298701298701","1160031","0","260","0","728","6","31","16","1"
"0","0","0","1160032","1.41298701298701","0","1","0","6","32","16","4"
"0","0","0.78961038961039","1160033","0","0","0","165","7","33","16","1"
"0","0","0","1160034","2.33961038961039","0","1","0","7","34","16","4"
"vo_10011600_1611","vo_10011600","0","1160035","0","0","0","0","0","35","16","2"
"0","0","0.706493506493507","1160036","0","165","0","341","7","36","16","1"
"0","0","0","1160037","1.00649350649351","0","1","0","7","37","16","4"
"vo_10011600_1612","vo_10011600","0","1160038","0","0","0","0","0","38","16","2"
"0","0","1.45454545454545","1160039","0","341","0","710","7","39","16","1"
"0","0","0","1160040","2.95454545454545","0","1","0","7","40","16","4"
"vo_10011600_1613","vo_10011600","0","1160041","0","0","0","0","0","41","16","2"
"0","0","0.249350649350649","1160042","0","710","0","770","7","42","16","1"
"0","0","0","1160043","0.749350649350649","0","1","0","7","43","16","4"
"vo_10011600_1614","vo_10011600","0","1160044","0","0","0","0","0","44","16","2"
"0","0","2.31896103896104","1160045","0","0","0","522","8","45","16","1"
"0","0","0","1160046","3.71896103896104","0","1","0","8","46","16","4"
"vo_10011600_1615","vo_10011600","0","1160047","0","0","0","0","0","47","16","2"
"0","0","0.714805194805195","1160048","0","522","0","730","8","48","16","1"
"0","0","0","1160049","2.71480519480519","0","1","0","8","49","16","4"
"0","0","0.01","1160050","0","0","0","560","9","50","16","1"
"0","0","0","1160051","0","0","1","0","9","51","16","4"
"vo_10011600_1616","vo_10011600","0","1160052","0","0","0","0","0","52","16","2"
"0","0","0.623376623376623","1160053","0","560","0","710","9","53","16","1"
"vo_10011600_1701","vo_10011600","0","1170001","0","0","0","0","0","1","17","2"
"0","0","0.664935064935065","1170002","0","0","0","160","1","2","17","1"
"0","0","0","1170003","2.16493506493507","0","1","0","1","3","17","4"
"vo_10011600_1702","vo_10011600","0","1170004","0","0","0","0","0","4","17","2"
"0","0","0.730519480519481","1170005","0","0","0","125","2","5","17","1"
"0","0","0","1170006","1.53051948051948","0","1","0","2","6","17","4"
"vo_10011600_1703","vo_10011600","0","1170007","0","0","0","0","0","7","17","2"
"0","0","3.35064935064935","1170008","0","125","0","770","2","8","17","1"
"0","0","0","1170009","4.85064935064935","0","1","0","2","9","17","4"
"vo_10011600_1704","vo_10011600","0","1170010","0","0","0","0","0","10","17","2"
"0","0","0.851948051948052","1170011","0","0","0","205","3","11","17","1"
"0","0","0","1170012","2.10194805194805","0","1","0","3","12","17","4"
"vo_10011600_1705","vo_10011600","0","1170013","0","0","0","0","0","13","17","2"
"0","0","2.72727272727273","1170014","0","205","0","730","3","14","17","1"
"0","0","0","1170015","4.47727272727273","0","1","0","3","15","17","4"
"vo_10011600_1706","vo_10011600","0","1170016","0","0","0","0","0","16","17","2"
"0","0","1.66233766233766","1170017","0","0","0","432","4","17","17","1"
"0","0","0","1170018","2.86233766233766","0","1","0","4","18","17","4"
"vo_10011600_1707","vo_10011600","0","1170019","0","0","0","0","0","19","17","2"
"0","0","1.28831168831169","1170020","0","432","0","710","4","20","17","1"
"0","0","0","1170021","3.03831168831169","0","1","0","4","21","17","4"
"vo_10011600_1708","vo_10011600","0","1170022","0","0","0","0","0","22","17","2"
"0","0","2.36883116883117","1170023","0","0","0","718","5","23","17","1"
"0","0","0","1170024","3.76883116883117","0","1","0","5","24","17","4"
"vo_10011600_1709","vo_10011600","0","1170025","0","0","0","0","0","25","17","2"
"0","0","1.4961038961039","1170026","0","0","0","333","6","26","17","1"
"0","0","0","1170027","2.2461038961039","0","1","0","6","27","17","4"
"vo_10011600_1710","vo_10011600","0","1170028","0","0","0","0","0","28","17","2"
"0","0","0.976623376623377","1170029","0","333","0","595","6","29","17","1"
"0","0","0","1170030","1.97662337662338","0","1","0","6","30","17","4"
"vo_10011600_1711","vo_10011600","0","1170031","0","0","0","0","0","31","17","2"
"0","0","1.3838961038961","1170032","0","0","0","316","7","32","17","1"
"0","0","0","1170033","2.7838961038961","0","1","0","7","33","17","4"
"vo_10011600_1712","vo_10011600","0","1170034","0","0","0","0","0","34","17","2"
"0","0","0.818701298701299","1170035","0","316","0","527","7","35","17","1"
"0","0","0","1170036","1.8187012987013","0","1","0","7","36","17","4"
"vo_10011600_1713","vo_10011600","0","1170037","0","0","0","0","0","37","17","2"
"0","0","0.872727272727273","1170038","0","527","0","740","7","38","17","1"
"0","0","0","1170039","2.67272727272727","0","1","0","7","39","17","4"
"vo_10011600_1714","vo_10011600","0","1170040","0","0","0","0","0","40","17","2"
"0","0","0.581818181818182","1170041","0","0","0","180","8","41","17","1"
"0","0","0","1170042","1.38181818181818","0","1","0","8","42","17","4"
"vo_10011600_1715","vo_10011600","0","1170043","0","0","0","0","0","43","17","2"
"0","0","1.35064935064935","1170044","0","180","0","723","8","44","17","1"
"0","0","0","1170045","2.60064935064935","0","1","0","8","45","17","4"
"vo_10011600_1716","vo_10011600","0","1170046","0","0","0","0","0","46","17","2"
"0","0","0.976623376623377","1170047","0","723","0","723","8","47","17","1"
"0","0","0","1170048","2.97662337662338","0","1","0","8","48","17","4"
"0","0","0.01","1170049","0","0","0","470","9","49","17","1"
"0","0","0","1170050","0","0","1","0","9","50","17","4"
"vo_10011600_1717","vo_10011600","0","1170051","0","0","0","0","0","51","17","2"
"0","0","1.19480519480519","1170052","0","470","0","700","9","52","17","1"
