be1ef0c892151bfe6b3aa0849f97ecd7166ede43764ccb42ae0da247c8162996,e0026c0fd8bf742f383f48ae9944cb39c645ec0c4e53bc9c5a48d6cb54bf32f9,ad4b42976655b146af22d95b3fa4fad9c240214d05315f020e98aa02f0a51116,41c68a827da4d3337ebc8f4b3a12263048212c8e87b8f631a66b2e366088cc48,fc374fa7924919b9d6a8d1d51cbbc7251e0eaf107cd91d0fc4c7443682690dba,43d8efc36cbaa9af5713a343735f0838018d4ca377d69d3fe67199d41c5ed566,b81f1cd3e6bdf9667938b45b1317ddc3ee3305e1e91c2c5f21c34cc8018e146b,45d472c13e89a8ac31ba98398079d1f45dd9e1e1ea4b99e9685c5abb5073ec06,2e736e30de9508439d8ae6c0cea3c724b6755384372fe697597022202335f0a8,e872527e61de0fa2d03d4a17e21f14dd75099ab04fa895dac98f56b168df6d03,60e0b88fb5f213940078fe446c92984eb5d272793add93321d7c3042452e3550
"3","","122611","1","0.2","","","sjr_talk_idle","4006","4",""
"1","sjr_talk_idle","1","100","1.65","1","40","122611","5001","5","-194"
"3","","122611","0","0.2","0","sjr_talk_guts2_anger_loop","sjr_talk_guts2_anger","5002","5","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_005","5003","5",""
"11","1","122611","6","0","0","1","怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！","5004","5","0"
"91","","0","","","","","","5005","5",""
"3","","122611","1","0.2","","","sjr_talk_idle","5006","5",""
"1","sjr_talk_idle","1","100","1.65","1","40","122511","6001","6","-194"
"3","","122511","0","0.2","0","sjr_talk_arm_crossed_look_loop","sjr_talk_arm_crossed_joy_look","6002","6","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_006","6003","6",""
"11","1","122511","5","0","0","1","像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。","6004","6","0"
"91","","0","","","","","","6005","6",""
"3","","122511","1","0.2","","","sjr_talk_idle","6006","6",""
"1","sjr_talk_idle","1","100","1.65","1","40","122511","7001","7","-194"
"3","","122511","1","0.2","","","sjr_talk_mouth_hidden2_shy","7002","7",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_007","7003","7",""
"11","1","122511","4","0","0","1","穿這樣跑\n好羞恥啊……\n別盯著我看……","7004","7","0"
"91","","0","","","","","","7005","7",""
"3","","122511","1","0.2","","","sjr_talk_idle","7006","7",""
"1","sjr_talk_idle","1","100","1.65","1","40","122511","8001","8","-194"
"3","","122511","1","0.2","","","sjr_talk_mouth_hidden","8002","8",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_008","8003","8",""
"11","1","122511","5","0","0","1","哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！","8004","8","0"
"91","","0","","","","","","8005","8",""
"3","","122511","1","0.2","","","sjr_talk_idle","8006","8",""
"1","sjr_talk_idle","1","100","1.65","1","40","122511","9001","9","-194"
"3","","122511","1","0.2","","","sjr_talk_stepback_surprise","9002","9",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_009","9003","9",""
"11","1","122511","5","0","0","1","路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？","9004","9","0"
"91","","0","","","","","","9005","9",""
"3","","122511","1","0.2","","","sjr_talk_idle","9006","9",""
"1","sjr_talk_idle","1","100","1.65","1","40","122511","10001","10","-194"
"3","","122511","1","0.2","","","sjr_talk_thinking_blink","10002","10",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_010","10003","10",""
"11","1","122511","4","0","0","1","優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。","10004","10","0"
"91","","0","","","","","","10005","10",""
"3","","122511","1","0.2","","","sjr_talk_idle","10006","10",""
"1","sjr_talk_idle","1","100","1.65","1","40","122411","11001","11","-194"
"3","","122411","0","0.2","0","sjr_talk_eieio_loop","sjr_talk_eieio","11002","11","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_011","11003","11",""
"11","1","122411","5","0","0","1","暖身運動也很完美！\n我會第一個\n搶到的──！","11004","11","0"
"91","","0","","","","","","11005","11",""
"3","","122411","1","0.2","","","sjr_talk_idle","11006","11",""
"1","sjr_talk_idle","1","100","1.65","1","40","122411","12001","12","-194"
"3","","122411","1","0.2","","","sjr_talk_arm_opened_wink","12002","12",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_012","12003","12",""
"11","1","122411","6","0","0","1","欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！","12004","12","0"
"91","","0","","","","","","12005","12",""
"3","","122411","1","0.2","","","sjr_talk_idle","12006","12",""
"1","sjr_talk_idle","1","100","1.65","1","40","122411","13001","13","-194"
"3","","122411","0","0.2","0","sjr_talk_doya_loop","sjr_talk_doya","13002","13","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_013","13003","13",""
"11","1","122411","8","0","0","1","啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪","13004","13","0"
"91","","0","","","","","","13005","13",""
"3","","122411","1","0.2","","","sjr_talk_idle","13006","13",""
"1","sjr_talk_idle","1","100","1.65","1","40","122411","14001","14","-194"
"3","","122411","0","0.2","0","sjr_talk_swing_joy","sjr_talk_watch_arm_opened","14002","14","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_014","14003","14",""
"11","1","122411","6","0","0","1","要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！","14004","14","0"
"91","","0","","","","","","14005","14",""
"3","","122411","1","0.2","","","sjr_talk_idle","14006","14",""
"1","sjr_talk_idle","1","100","1.65","1","40","122411","15001","15","-194"
"3","","122411","1","0.2","","","sjr_talk_wish_doya","15002","15",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_015","15003","15",""
"11","1","122411","5","0","0","1","好想和優衣與怜\n她們兩人一起\n競爭呢！","15004","15","0"
"91","","0","","","","","","15005","15",""
"3","","122411","1","0.2","","","sjr_talk_idle","15006","15",""
"1","sjr_talk_idle","1","100","1.65","1","72","122611","16001","16","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122511","16002","16","-194"
"3","","122611","1","0.2","","","sjr_talk_wish_doya","16003","16",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_001","16004","16",""
"11","1","122611","4","0","0","1","怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。","16005","16","0"
"91","","0","","","","","","16006","16",""
"3","","122611","1","0.2","","","sjr_talk_idle","16007","16",""
"3","","122511","0","0.2","0","sjr_talk_arm_crossed_joy_loop","sjr_talk_arm_crossed_normal_joy","16008","16","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_002","16009","16",""
"11","0.5","122511","5","0","0","1","優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！","16010","16","0"
"91","","0","","","","","","16011","16",""
"3","","122511","1","0.2","","","sjr_talk_idle","16012","16",""
"1","sjr_talk_idle","1","100","1.65","1","72","122611","17001","17","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122511","17002","17","-194"
"3","","122511","1","0.2","","","sjr_talk_worry_shy","17003","17",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_003","17004","17",""
"11","0.5","122511","7","0","0","1","我說優衣，\n要穿著泳裝跑步\n是不是有點……","17005","17","0"
"91","","0","","","","","","17006","17",""
"3","","122511","1","0.2","","","sjr_talk_idle","17007","17",""
"3","","122611","1","0.2","","","sjr_talk_wish_shy","17008","17",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_004","17009","17",""
"11","0.5","122611","5","0","0","1","嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！","17010","17","0"
"91","","0","","","","","","17011","17",""
"3","","122611","1","0.2","","","sjr_talk_idle","17012","17",""
"3","","122511","0","0.2","0","sjr_talk_thinking_light","sjr_talk_thinking_blink_light","17013","17","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_005","17014","17",""
"11","0.5","122511","6","0","0","1","不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！","17015","17","0"
"91","","0","","","","","","17016","17",""
"3","","122511","1","0.2","","","sjr_talk_idle","17017","17",""
"1","sjr_talk_idle","1","100","1.65","1","72","122611","18001","18","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122511","18002","18","-194"
"3","","122611","1","0.2","","","sjr_talk_wish_surprise","18003","18",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_006","18004","18",""
"11","0.5","122611","6","0","0","1","總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……","18005","18","0"
"91","","0","","","","","","18006","18",""
"3","","122611","1","0.2","","","sjr_talk_idle","18007","18",""
"3","","122511","0","0.2","0","sjr_talk_arm_crossed_normal2_loop","sjr_talk_arm_crossed_normal2","18008","18","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_007","18009","18",""
"11","0.5","122511","6","0","0","1","不能在意喔！\n這種時候坦率地\n享受是最好的！","18010","18","0"
"91","","0","","","","","","18011","18",""
"3","","122511","1","0.2","","","sjr_talk_idle","18012","18",""
"1","sjr_talk_idle","1","100","1.65","1","72","122611","19001","19","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122411","19002","19","-194"
"3","","122611","0","0.2","0","sjr_talk_idle_joy","sjr_talk_wave_hand","19003","19","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_008","19004","19",""
"11","0.5","122611","8","0","0","1","日和\n覺得享受嗎？","19005","19","0"
"91","","0","","","","","","19006","19",""
"3","","122611","1","0.2","","","sjr_talk_idle","19007","19",""
"3","","122411","0","0.2","0","sjr_talk_swing_joy2","sjr_talk_fun","19008","19","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_009","19009","19",""
"11","0.5","122411","7","0","0","1","那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！","19010","19","0"
"91","","0","","","","","","19011","19",""
"3","","122411","1","0.2","","","sjr_talk_idle","19012","19",""
"3","","122611","1","0.2","","","sjr_talk_laugh","19013","19",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_010","19014","19",""
"11","0.5","122611","7","0","0","1","妳說得對。\n呵呵，我也\n要向日和\n學習才行……！","19015","19","0"
"91","","0","","","","","","19016","19",""
"3","","122611","1","0.2","","","sjr_talk_idle","19017","19",""
"1","sjr_talk_idle","1","100","1.65","1","72","122611","20001","20","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122411","20002","20","-194"
"3","","122411","0","0.2","0","sjr_talk_guts2_loop","sjr_talk_guts2","20003","20","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_011","20004","20",""
"11","0.5","122411","6","0","0","1","優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──","20005","20","0"
"91","","0","","","","","","20006","20",""
"3","","122411","1","0.2","","","sjr_talk_idle","20007","20",""
"3","","122611","0","0.2","0","sjr_talk_mouth_hidden_guru","sjr_talk_mouth_hidden_dere_guru","20008","20","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_012","20009","20",""
"11","0.5","122611","5","0","0","1","埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……","20010","20","0"
"91","","0","","","","","","20011","20",""
"3","","122411","0","0.2","0","sjr_talk_shock_loop","sjr_talk_shock","20012","20","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_013","20013","20",""
"11","0.5","122411","15","0","0","1","哇──！？\n優衣！？\n妳眼睛在轉喔──！？","20014","20","0"
"91","","0","","","","","","20015","20",""
"3","","122611","1","0.2","","","sjr_talk_idle","20016","20",""
"3","","122411","1","0.2","","","sjr_talk_idle","20017","20",""
"1","sjr_talk_idle","1","100","1.65","1","72","122611","21001","21","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122411","21002","21","-194"
"3","","122611","1","0.2","","","sjr_talk_worry_sad","21003","21",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_014","21004","21",""
"11","0.5","122611","6","0","0","1","日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？","21005","21","0"
"91","","0","","","","","","21006","21",""
"3","","122611","1","0.2","","","sjr_talk_idle","21007","21",""
"3","","122411","0","0.2","0","sjr_talk_guts2_joy_loop","sjr_talk_laugh_guts","21008","21","0"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_015","21009","21",""
"11","0.5","122411","5","0","0","1","妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪","21010","21","0"
"91","","0","","","","","","21011","21",""
"3","","122411","1","0.2","","","sjr_talk_idle","21012","21",""
"1","sjr_talk_idle","1","100","1.65","1","72","122511","22001","22","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122411","22002","22","-194"
"3","","122511","0","0.2","0","sjr_talk_arm_crossed_normal_loop","sjr_talk_arm_crossed_normal","22003","22","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_016","22004","22",""
"11","0.5","122511","5","0","0","1","就算對手是日和，\n我也沒打算輸喔。","22005","22","0"
"91","","0","","","","","","22006","22",""
"3","","122511","1","0.2","","","sjr_talk_idle","22007","22",""
"3","","122411","0","0.2","0","sjr_talk_guts_loop","sjr_talk_guts","22008","22","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_017","22009","22",""
"11","0.5","122411","6","0","0","1","對手是怜的話，\n我也會\n火力全開喔！","22010","22","0"
"91","","0","","","","","","22011","22",""
"3","","122411","1","0.2","","","sjr_talk_idle","22012","22",""
"1","sjr_talk_idle","1","100","1.65","1","72","122511","23001","23","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122411","23002","23","-194"
"3","","122411","0","0.2","0","sjr_talk_eieio_loop","sjr_talk_fun_eieio","23003","23","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_018","23004","23",""
"11","0.5","122411","5","0","0","1","夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！","23005","23","0"
"91","","0","","","","","","23006","23",""
"3","","122411","1","0.2","","","sjr_talk_idle","23007","23",""
"3","","122511","1","0.2","","","sjr_talk_mouth_hidden_sad","23008","23",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_019","23009","23",""
"11","0.5","122511","6","0","0","1","老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？","23010","23","0"
"91","","0","","","","","","23011","23",""
"3","","122511","1","0.2","","","sjr_talk_idle","23012","23",""
"3","","122411","0","0.2","0","sjr_talk_arm_opened_guru","sjr_talk_arm_opened_joy_guru","23013","23","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_020","23014","23",""
"11","0.5","122411","4","0","0","1","沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？","23015","23","0"
"91","","0","","","","","","23016","23",""
"3","","122411","1","0.2","","","sjr_talk_idle","23017","23",""
"1","sjr_talk_idle","1","100","1.65","1","72","122511","24001","24","-194"
"1","sjr_talk_idle","1","100","1.65","0","-72","122411","24002","24","-194"
"3","","122411","1","0.2","","","sjr_talk_mouth_hidden_sad","24003","24",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_021","24004","24",""
"11","1","122411","5","0","0","1","優衣不要緊吧～？\n希望她別跌倒\n就好了……","24005","24","0"
"91","","0","","","","","","24006","24",""
"3","","122411","1","0.2","","","sjr_talk_idle","24007","24",""
"3","","122511","0","0.2","0","sjr_talk_arm_crossed_joy_loop","sjr_talk_arm_crossed_normal_joy","24008","24","0"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_022","24009","24",""
"11","0.5","122511","4","0","0","1","不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。","24010","24","0"
"91","","0","","","","","","24011","24",""
"3","","122511","1","0.2","","","sjr_talk_idle","24012","24",""
"3","","122411","1","0.2","","","sjr_talk_laugh","24013","24",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_2_023","24014","24",""
"11","0.5","122411","6","0","0","1","欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪","24015","24","0"
"91","","0","","","","","","24016","24",""
"3","","122411","1","0.2","","","sjr_talk_idle","24017","24",""
