182935b54fa755be86b74cec9e57e67eb44c637367782648806d1b4e1966e089,35797bcc0bfe4a1031c384a82f2f964be69983ad310aa7ce0d5026683e53753d,64d54eee6d6e0bd8754e580da0fdd2abda3a638e84d4391677824ebe7f3dd56f,07fb06ae5fc7c164d1878d2c19f7378fe2de63ebdb11bb2e15d826459ff10170,ad70698b9827e374c90b3531b074ebb95f07038a7a8dfb3437e11e195c69b1b6
"31","開始時恢復TP","74001403","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover"
"32","Boss物理傷害降低","74001403","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","boss_physics_cut"
"33","追加2隻闇影","74001403","追加空花（大江戶）與似似花的闇影。","add_shadow"
"34","Boss UB強化","74001404","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"35","開始時恢復TP","74001404","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover"
"36","Boss物理傷害降低","74001404","戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","boss_physics_cut"
"37","追加2隻闇影","74001404","追加空花（大江戶）與似似花的闇影。","add_shadow"
"38","戰鬥時間限制","74001405","戰鬥時間變成60秒。","limit_time"
"39","Boss UB強化","74001405","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"40","開始時恢復TP","74001405","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover"
"41","Boss物理傷害降低","74001405","戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。","boss_physics_cut"
"42","追加2隻闇影","74001405","追加空花（大江戶）與似似花的闇影。","add_shadow"
"43","開始時提升攻擊力","74001502","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","boss_atk_up"
"44","編組角色人數限制","74001503","可以編組的角色變成4個。","limit_chara_num"
"45","開始時提升攻擊力","74001503","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","boss_atk_up"
"46","編組角色人數限制","74001504","可以編組的角色變成4個。","limit_chara_num"
"47","Boss UB強化","74001504","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"48","開始時提升攻擊力","74001504","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","boss_atk_up"
"49","編組角色人數限制","74001505","可以編組的角色變成4個。","limit_chara_num"
"50","降低角色的最大HP","74001505","隊伍角色的最大HP降低20%。","max_hp_down"
"51","Boss UB強化","74001505","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"52","開始時提升攻擊力","74001505","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","boss_atk_up"
"53","追加1隻闇影","74002102","追加花凜的闇影。","add_shadow"
"54","強化闇影","74002103","對宮子、優花梨、步未的闇影追加專用裝備。","star6_shadow"
"55","追加1隻闇影","74002103","追加花凜的闇影。","add_shadow"
"56","強化闇影","74002104","宮子、優花梨、步未的闇影變成★6。","star6_shadow"
"57","追加1隻闇影","74002104","追加花凜的闇影。","add_shadow"
"58","提升闇影物理攻擊力","74002105","所有闇影的物理攻擊力大幅度提升。","boss_atk_up"
"59","強化闇影","74002105","宮子、優花梨、步未的闇影變成★6。","star6_shadow"
"60","追加1隻闇影","74002105","追加花凜的闇影。","add_shadow"
"61","追加1隻闇影","74002202","追加嘉夜（解放者）的闇影。","add_shadow"
"62","強化闇影","74002203","對紡希（萬聖節）、真陽（聖誕節）、深月、霞（魔法少女）的闇影追加專用裝備。","star6_shadow"
"63","追加1隻闇影","74002203","追加嘉夜（解放者）的闇影。","add_shadow"
"64","強化闇影","74002204","深月的闇影變成★6。對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備。","star6_shadow"
"65","追加1隻闇影","74002204","追加嘉夜（解放者）的闇影。","add_shadow"
"66","提升闇影魔法防禦力","74002205","所有闇影的魔法防禦力大幅度提升。","boss_magic_def_up"
"67","強化闇影","74002205","對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備，且深月的闇影變成★6。","star6_shadow"
"68","追加1隻闇影","74002205","追加嘉夜（解放者）的闇影。","add_shadow"
"69","追加1隻闇影","74002302","追加望的闇影。","add_shadow"
"70","追加2隻闇影","74002303","追加望與凱留（公主）的闇影。","add_shadow"
"71","編組角色人數限制","74002304","可以編組的角色變成4個。","limit_chara_num"
"72","強化闇影","74002304","望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","star6_shadow"
"73","追加2隻闇影","74002304","追加望與凱留（公主）的闇影。","add_shadow"
"74","編組角色人數限制","74002305","可以編組的角色變成4個。","limit_chara_num"
"75","開始時提升物理防禦力","74002305","戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","boss_def_up"
"76","開始時提升魔法防禦力","74002305","戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","boss_magic_def_up"
"77","強化闇影","74002305","望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","star6_shadow"
"78","追加2隻闇影","74002305","追加望與凱留（公主）的闇影。","add_shadow"
"79","追加1隻闇影","74002402","追加綾音的闇影。","add_shadow"
"80","追加2隻闇影","74002403","追加綾音與貪吃佩可（夏日）的闇影。","add_shadow"
"81","編組角色人數限制","74002404","可以編組的角色變成4個。","limit_chara_num"
"82","強化闇影","74002404","綾音與貪吃佩可（夏日）的闇影變成★6。","star6_shadow"
"83","追加2隻闇影","74002404","追加綾音與貪吃佩可（夏日）的闇影。","add_shadow"
"84","編組角色人數限制","74002405","可以編組的角色變成4個。","limit_chara_num"
"85","開始時提升物理防禦力","74002405","戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","boss_def_up"
"86","開始時提升魔法防禦力","74002405","戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","boss_magic_def_up"
"87","強化闇影","74002405","綾音與貪吃佩可（夏日）的闇影變成★6。","star6_shadow"
"88","追加2隻闇影","74002405","追加綾音與貪吃佩可（夏日）的闇影。","add_shadow"
"89","戰鬥時間限制","74002502","戰鬥時間變成70秒。","limit_time"
"90","戰鬥時間限制","74002503","戰鬥時間變成60秒。","limit_time"
"91","戰鬥時間限制","74002504","戰鬥時間變成60秒。","limit_time"
"92","Boss UB強化","74002504","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"93","戰鬥時間限制","74002505","戰鬥時間變成45秒。","limit_time"
"94","Boss UB強化","74002505","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"95","強化闇影","74003102","對霞、初音、優衣（公主）的闇影追加專用裝備。","star6_shadow"
"96","追加1隻闇影","74003103","追加雪的闇影。","add_shadow"
"97","強化闇影","74003103","初音、雪的闇影變成★6。","star6_shadow"
"98","編組角色人數限制","74003104","可以編組的角色變成4個。","limit_chara_num"
"99","編組角色人數限制","74003105","可以編組的角色變成4個。","limit_chara_num"
"100","闇影提升最大HP","74003105","所有闇影的最大HP大幅度提升。","max_hp_up"
"101","追加1隻怪物","74003202","追加詛咒‧遠古遺物。","add_shadow"
"102","強化闇影","74003203","碧的闇影變成★6。","star6_shadow"
"103","開始時魔法傷害降低","74003204","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少50%的狀態。","boss_magic_cut"
"104","強化怪物","74003204","強化詛咒‧遠古遺物的技能。","boss_ub_enhance"
"105","開始時魔法傷害降低","74003205","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少75%的狀態。","boss_magic_cut"
"106","編組角色人數限制","74003205","可以編組的角色變成4個。","limit_chara_num"
"107","追加1隻怪物","74003302","追加治癒‧遠古遺物。","add_shadow"
"108","強化闇影","74003303","對凱留（新年）的闇影追加專用裝備。","star6_shadow"
"109","開始時物理傷害降低","74003304","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少50%的狀態。","boss_physics_cut"
"110","強化怪物","74003304","強化治癒‧遠古遺物的技能。","boss_ub_enhance"
"111","開始時物理傷害降低","74003305","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少75%的狀態。","boss_physics_cut"
"112","編組角色人數限制","74003305","可以編組的角色變成4個。","limit_chara_num"
"113","提升Boss物理防禦力（不可降低）","74003402","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"114","提升Boss魔法防禦力（不可降低）","74003402","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"115","戰鬥時間限制","74003403","戰鬥時間變成70秒。","limit_time"
"116","提升Boss物理防禦力（不可降低）","74003403","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"117","提升Boss魔法防禦力（不可降低）","74003403","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"118","戰鬥時間限制","74003404","戰鬥時間變成70秒。","limit_time"
"119","Boss UB強化","74003404","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"120","減少降低Boss TP","74003404","戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","boss_tp_down_cut"
"121","提升Boss物理防禦力（不可降低）","74003404","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"122","提升Boss魔法防禦力（不可降低）","74003404","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"123","戰鬥時間限制","74003405","戰鬥時間變成50秒。","limit_time"
"124","Boss UB強化","74003405","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"125","減少降低Boss TP","74003405","戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","boss_tp_down_cut"
"126","提升Boss物理防禦力（不可降低）","74003405","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"127","提升Boss魔法防禦力（不可降低）","74003405","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"128","提升Boss物理防禦力（不可降低）","74003502","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"129","提升Boss魔法防禦力（不可降低）","74003502","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"130","提升Boss物理防禦力（不可降低）","74003503","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"131","提升Boss魔法防禦力（不可降低）","74003503","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"132","追加1隻怪物","74003504","追加露娜聚光燈。","add_shadow"
"133","提升Boss物理防禦力（不可降低）","74003504","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"134","提升Boss魔法防禦力（不可降低）","74003504","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"135","追加1隻闇影","74003505","追加霸瞳皇帝的闇影。","add_shadow"
"136","提升Boss物理防禦力（不可降低）","74003505","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"137","提升Boss魔法防禦力（不可降低）","74003505","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"138","強化闇影","74004102","對祈梨、咲戀、依里、優妮的闇影追加專用裝備。","star6_shadow"
"139","追加1隻闇影","74004103","追加咲戀（夏日）的闇影。","add_shadow"
"140","強化闇影","74004103","咲戀、依里的闇影變成★6。","star6_shadow"
"141","編組角色人數限制","74004104","可以編組的角色變成4個。","limit_chara_num"
"142","編組角色人數限制","74004105","可以編組的角色變成4個。","limit_chara_num"
"143","闇影提升最大HP","74004105","所有闇影的最大HP大幅度提升。","max_hp_up"
"144","追加1隻怪物","74004202","追加守護‧遠古遺物。","add_shadow"
"145","強化闇影","74004203","對似似花（新年）的闇影追加專用裝備。","star6_shadow"
"146","強化怪物","74004204","強化守護‧遠古遺物的技能。","boss_ub_enhance"
"147","開始時恢復HP","74004204","戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","hp_recover"
"148","開始時恢復HP","74004205","戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","hp_recover"
"149","開始時賦予持續恢復TP","74004205","戰鬥開始時，守護‧遠古遺物將賦予我方全體持續恢復TP的狀態。","energy_recover"
"150","追加1隻怪物","74004302","追加戰鬥‧遠古遺物。","add_shadow"
"151","強化闇影","74004303","莉瑪的闇影變成★6。","star6_shadow"
"152","強化怪物","74004304","強化戰鬥‧遠古遺物的技能。","boss_ub_enhance"
"153","開始時展開提升行動速度領域","74004305","戰鬥開始時，戰鬥‧遠古遺物將展開特大幅度提升我方全體行動速度的領域。","boss_haste"
"154","降低角色的最大HP","74004402","隊伍角色的最大HP降低20%。","max_hp_down"
"155","戰鬥時間限制","74004403","戰鬥時間變成75秒。","limit_time"
"156","降低角色的最大HP","74004403","隊伍角色的最大HP降低20%。","max_hp_down"
"157","戰鬥時間限制","74004404","戰鬥時間變成75秒。","limit_time"
"158","編組角色人數限制","74004404","可以編組的角色變成4個。","limit_chara_num"
"159","降低角色的最大HP","74004404","隊伍角色的最大HP降低20%。","max_hp_down"
"160","戰鬥時間限制","74004405","戰鬥時間變成60秒。","limit_time"
"161","編組角色人數限制","74004405","可以編組的角色變成4個。","limit_chara_num"
"162","降低角色的最大HP","74004405","隊伍角色的最大HP降低20%。","max_hp_down"
"163","降低角色的最大HP","74004502","隊伍角色的最大HP降低20%。","max_hp_down"
"164","BossUB、技能強化","74004503","Boss怪物的必殺技與技能會受到強化。","boss_ub_enhance"
"165","減少降低Boss TP","74004503","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"166","降低角色的最大HP","74004503","隊伍角色的最大HP降低20%。","max_hp_down"
"167","追加1隻怪物","74004504","追加露娜聚光燈。","add_shadow"
"168","減少降低Boss TP","74004504","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"169","降低角色的最大HP","74004504","隊伍角色的最大HP降低20%。","max_hp_down"
"170","追加1隻闇影","74004505","追加綾音的闇影。","add_shadow"
"171","減少降低Boss TP","74004505","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"172","降低角色的最大HP","74004505","隊伍角色的最大HP降低20%。","max_hp_down"
"173","強化闇影","74005102","對莉瑪、嘉夜、祈梨、咲戀（夏日）的闇影追加專用裝備。","star6_shadow"
"174","強化闇影","74005103","莉瑪、嘉夜、祈梨的闇影變成★6。","star6_shadow"
"175","物理傷害降低","74005103","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","boss_physics_cut"
"176","編組角色人數限制","74005104","可以編組的角色變成4個。","limit_chara_num"
"177","物理傷害降低","74005104","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","boss_physics_cut"
"178","編組角色人數限制","74005105","可以編組的角色變成4個。","limit_chara_num"
"179","物理傷害降低","74005105","戰鬥開始時，所有怪物的物理傷害為減少100％的狀態。","boss_physics_cut"
"180","強化闇影","74005202","對宮子、怜（新年）、優花梨、初音、美咲（萬聖節）的闇影追加專用裝備。","star6_shadow"
"181","強化闇影","74005203","宮子、怜（新年）、優花梨、初音的闇影變成★6。","star6_shadow"
"182","魔法傷害降低","74005203","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","boss_magic_cut"
"183","編組角色人數限制","74005204","可以編組的角色變成4個。","limit_chara_num"
"184","魔法傷害降低","74005204","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","boss_magic_cut"
"185","編組角色人數限制","74005205","可以編組的角色變成4個。","limit_chara_num"
"186","魔法傷害降低","74005205","戰鬥開始時，所有怪物的魔法傷害為減少100％的狀態。","boss_magic_cut"
"187","傷害值衰減","74005301","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"188","賦予TP上升的上限","74005301","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"189","提升物理防禦力（不可降低）","74005301","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"190","提升魔法防禦力（不可降低）","74005301","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"191","降低HP吸收","74005301","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"192","追加怪物","74005302","追加軟泥怪、雷雲長老。","add_shadow"
"193","傷害值衰減","74005302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"194","賦予TP上升的上限","74005302","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"195","提升物理防禦力（不可降低）","74005302","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"196","提升魔法防禦力（不可降低）","74005302","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"197","降低HP吸收","74005302","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"198","追加怪物","74005303","追加優花梨、帆稀（新年）。","add_shadow"
"199","傷害值衰減","74005303","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"200","賦予TP上升的上限","74005303","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"201","提升物理防禦力（不可降低）","74005303","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"202","提升魔法防禦力（不可降低）","74005303","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"203","降低HP吸收","74005303","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"204","追加怪物","74005304","追加露娜聚光燈。","add_shadow"
"205","傷害值衰減","74005304","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"206","賦予TP上升的上限","74005304","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"207","提升物理防禦力（不可降低）","74005304","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"208","提升魔法防禦力（不可降低）","74005304","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"209","降低HP吸收","74005304","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"210","戰鬥時間限制","74005305","戰鬥時間變成60秒。","limit_time"
"211","傷害值衰減","74005305","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"212","賦予TP上升的上限","74005305","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"213","提升物理防禦力（不可降低）","74005305","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"214","提升魔法防禦力（不可降低）","74005305","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"215","降低HP吸收","74005305","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"216","傷害值衰減","74005401","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"217","賦予TP上升的上限","74005401","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"218","提升物理防禦力（不可降低）","74005401","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"219","提升魔法防禦力（不可降低）","74005401","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"220","降低HP吸收","74005401","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"221","追加怪物","74005402","追加岩龜暴君、鬼燈螢。","add_shadow"
"222","傷害值衰減","74005402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"223","賦予TP上升的上限","74005402","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"224","提升物理防禦力（不可降低）","74005402","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"225","提升魔法防禦力（不可降低）","74005402","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"226","降低HP吸收","74005402","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"227","追加怪物","74005403","追加靜流（黑暗）、可可蘿（夏日）。","add_shadow"
"228","傷害值衰減","74005403","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"229","賦予TP上升的上限","74005403","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"230","提升物理防禦力（不可降低）","74005403","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"231","提升魔法防禦力（不可降低）","74005403","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"232","降低HP吸收","74005403","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"233","追加怪物","74005404","追加露娜聚光燈。","add_shadow"
"234","傷害值衰減","74005404","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"235","賦予TP上升的上限","74005404","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"236","提升物理防禦力（不可降低）","74005404","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"237","提升魔法防禦力（不可降低）","74005404","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"238","降低HP吸收","74005404","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"239","戰鬥時間限制","74005405","戰鬥時間變成60秒。","limit_time"
"240","傷害值衰減","74005405","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"241","賦予TP上升的上限","74005405","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"242","提升物理防禦力（不可降低）","74005405","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"243","提升魔法防禦力（不可降低）","74005405","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"244","降低HP吸收","74005405","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"245","傷害值衰減","74005501","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"246","賦予TP上升的上限","74005501","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"247","提升物理防禦力（不可降低）","74005501","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"248","提升魔法防禦力（不可降低）","74005501","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"249","降低HP吸收","74005501","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"250","減少降低TP","74005501","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"251","追加怪物","74005502","追加魔像、烏帕魯帕。","add_shadow"
"252","傷害值衰減","74005502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"253","賦予TP上升的上限","74005502","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
