ee23bac5e06770a8507242329e9750cd7236504a2da8f32171a0b51ae95bcd56,79d4f04f3dafc5bf59b9a48aea6e55681e75ac170ef912855b95464aea1f883d,37c5ab60c8da8e7d7b3ab1c4b6b901342c193b89b5e1503519dccd5125d7e0d6,c8dd35f9639f1d498a1b7b6ee0500757b3d7fa3fc8469ab99dfc4f55afdb9d07,1c08794c386e887b1784b323f9c1886363f11a938aad7b5cd99b94a03a9da1cb,b091d2efb05407fcccf2575e27321b33ee9373116a48d2531070ce351fca7958,0372c42f3527c53bc2e57695225d38e39a009463f6c65b2573d139c131f64cac,491a6465637771ab82c3801020a69e6b7d293ea4d448dd3a7429ec8c57f4e393,679cf81ad567f86e9bbef5ed0b9840286bdd24d9884dc86ca417685352a1fe2f,07bc9d4c19e39be8df4c9f30fbe67e0903f906e495655091806d2498da39f56f,74da89f737e1b779fc43318da788e053da6975ea542336520732b8418ebc022d
"0.5","7","1","106011","0","0","2","11","2013","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。","0"
"","","","4","","","2","93","2014","1",""
"","1","","106011","0.2","","2","3","2015","psy_talk_sad",""
"","","","2013","","","2","91","2016","",""
"","1","","106011","0.2","","2","3","2017","psy_idle_sad",""
"","0","psy_miyako_thinking4","119931","0.2","0.2","2","3","2018","psy_miyako_appear","1"
"","0","psy_smoke_start","1","0","0","2","3","2019","psy_smoke_appear","0"
"","0","0","vo_minigame_1008","","","2","21","2020","vo_minigame_1008_drama_0301",""
"1","4","1","119931","0","0","2","11","2021","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……","0"
"","","","1","","","2","93","2022","1",""
"","0","psy_idle_surprise2","106011","0.2","0.2","2","3","2023","psy_surprise","1"
"","","","2021","","","2","91","2024","",""
"","","","0","","","2","22","2025","0",""
"","1","","119931","0.2","","2","3","2026","psy_miyako_idle_thinking",""
"","1","","106011","0.2","","2","3","2027","psy_talk_surprise2",""
"","0","0","vo_minigame_1008","","","2","21","2028","vo_minigame_1008_drama_0307",""
"0.5","6","1","106011","0","0","2","11","2029","呀啊！？\n妳突然冒出來是幹什麼呀！","0"
"","","","0","","","2","91","2030","",""
"","1","","106011","0.2","","2","3","2031","psy_idle_surprise2",""
"","1","","119931","0.2","","2","3","2032","psy_miyako_anger1",""
"","0","0","vo_minigame_1008","","","2","21","2033","vo_minigame_1008_drama_0302",""
"1","4","1","119931","0","0","2","11","2034","擅自進來的人是妳喲，\n宮子沒有錯。\n不要妨礙宮子來的……嗯？\n妳……","0"
"","","","8","","","2","93","2035","1",""
"","1","","119931","0.2","","2","3","2036","psy_miyako_thinking2",""
"","","","2034","","","2","91","2037","",""
"","","","0","","","2","22","2038","0",""
"","1","","106011","0.2","","2","3","2039","psy_talk_sad",""
"","0","0","vo_minigame_1008","","","2","21","2040","vo_minigame_1008_drama_0308",""
"0.5","9","1","106011","0","0","2","11","2041","幹、幹什麼……","0"
"","","","0","","","2","91","2042","",""
"","1","","106011","0.2","","2","3","2043","psy_idle_sad",""
"","1","","119931","0.2","","2","3","2044","psy_miyako_run",""
"","-200","2","119931","","","2","2","2045","0","0"
"","","","2","","","2","93","2046","",""
"","1","","119931","0.2","","2","3","2047","psy_miyako_thinking2",""
"","0","0","vo_minigame_1008","","","2","21","2048","vo_minigame_1008_drama_0303",""
"1","5","1","119931","0","0","2","11","2049","嗯嗯嗯嗯嗯……\n總覺得妳很美味來的……","0"
"","","","0","","","2","91","2050","",""
"","","","0","","","2","22","2051","0",""
"","","","0.5","","","2","93","2052","",""
"","1","","106011","0.2","","2","3","2053","psy_talk_sad",""
"","0","0","vo_minigame_1008","","","2","21","2054","vo_minigame_1008_drama_0309",""
"0.5","4","1","106011","0","0","2","11","2055","啥？","0"
"","","","0","","","2","91","2056","",""
"","1","","106011","0.2","","2","3","2057","psy_idle_sad",""
"","0","0","vo_minigame_1008","","","2","21","2058","vo_minigame_1008_drama_0304",""
"0.5","5","1","119931","0","0","2","11","2059","人家要把妳變成布丁喲～～！！","0"
"","","","0.5","","","2","93","2060","1",""
"","0","psy_miyako_attack_loop","119931","0.2","0","2","3","2061","psy_miyako_attack_in","1"
"","","","0.2","","","2","93","2062","1",""
"","0","psy_idle_surprise2","106011","0.2","0.2","2","3","2063","psy_surprise","1"
"","","","2059","","","2","91","2064","",""
"","","","0","","","2","22","2065","0",""
"","1","","106011","0.2","","2","3","2066","psy_talk_surprise2",""
"","0","0","vo_minigame_1008","","","2","21","2067","vo_minigame_1008_drama_0310",""
"0.5","7","1","106011","0","0","2","11","2068","搞、搞什麼呀這間店～～！！","0"
"","","","0","","","2","91","2069","",""
"","","","106011","","","2","4","2070","0",""
"","1","","106011","0.2","","2","3","2071","psy_run_shy",""
"","1","","119931","0.2","","2","3","2072","psy_miyako_attack_loop_move",""
"","-220","3","106011","","","2","2","2073","1000","0"
"","-220","5","119931","","","2","2","2074","1000","0"
"","","","3.5","","","2","93","2075","",""
"","","","0","","","2","22","2076","0",""
"","","","0","","","2","91","2077","",""
"psy_miyako_gasagoso_B","100","-250","1","1.65","1","3","1","3001","119931","-150"
"psy_walk","100","340","1","1.7","1","3","1","3002","105511","-180"
"","0","0","1","1","","3","31","3003","11","1"
"psy_smoke_start","101","-300","1","1.7","0","3","5","3004","1","-220"
"","-180","2","105511","","","3","2","3005","225","0"
"","","","2","","","3","93","3006","",""
"","1","","105511","0.2","","3","3","3007","psy_talk_wish",""
"","0","0","vo_minigame_1008","","","3","21","3008","vo_minigame_1008_drama_0203",""
"0.5","7","1","105511","0","0","3","11","3009","這、這裡就是前輩工作的地方吧？","0"
"","","","0","","","3","91","3010","",""
"","0","psy_ayumi_kyoro_loop","105511","0.2","0","3","3","3011","psy_ayumi_kyoro_in","1"
"","","","1.8","","","3","93","3012","",""
"","1","","105511","0.2","","3","3","3013","psy_talk_joy1",""
"","0","0","vo_minigame_1008","","","3","21","3014","vo_minigame_1008_drama_0204",""
"0.5","6","1","105511","0","0","3","11","3015","哇～好多看起來很美味的甜點\n擺在那邊呢……前輩做的甜點\n是不是也在裡面呢？","0"
"","","","0","","","3","91","3016","",""
"","1","","105511","0.2","","3","3","3017","psy_talk_call",""
"","0","0","vo_minigame_1008","","","3","21","3018","vo_minigame_1008_drama_0205",""
"0.5","7","1","105511","0","0","3","11","3019","那個……請給我一份這個甜點。\n那個～不好意思～\n沒聽到我的聲音嗎？","0"
"","","","3","","","3","93","3020","1",""
"0","0.8","1","119931","0","0","3","12","3021","5","0"
"","","","119931","","","3","4","3022","0",""
"","1","","119931","0","","3","3","3023","psy_miyako_idle_thinking",""
"","","","1.5","","","3","93","3024","1",""
"","","","119931","","","3","4","3025","1",""
"","1","","119931","0","","3","3","3026","psy_miyako_gasagoso_B",""
"","","","0.5","","","3","93","3027","1",""
"","1","","105511","0.2","","3","3","3028","psy_talk_sad",""
"","","","3019","","","3","91","3029","",""
"","1","","105511","0.2","","3","3","3030","psy_talk_wish",""
"","0","0","vo_minigame_1008","","","3","21","3031","vo_minigame_1008_drama_0206",""
"0.5","6","1","105511","0","0","3","11","3032","總、總之我把錢放在這裡了，\n再見！","0"
"","","","2","","","3","93","3033","1",""
"","1","","105511","0.2","","3","3","3034","psy_gasagoso_B2",""
"","","","1","","","3","93","3035","1",""
"","0","psy_idle_normal","105511","0.2","0.2","3","3","3036","psy_pekori","1"
"","","","3032","","","3","91","3037","",""
"","","","105511","","","3","4","3038","0",""
"","1","","105511","0.2","","3","3","3039","psy_run",""
"","-180","3","105511","","","3","2","3040","1000","0"
"","","","3","","","3","93","3041","",""
"","","","0.5","","","3","93","3042","",""
"","1","","119931","0","","3","3","3043","psy_miyako_idle_thinking",""
"","","","2","","","3","93","3044","",""
"","","","119931","","","3","4","3045","0",""
"","1","","119931","0.2","","3","3","3046","psy_miyako_run",""
"","-165","2","119931","","","3","2","3047","0","0"
"","","","2","","","3","93","3048","",""
"","1","","119931","0.2","","3","3","3049","psy_miyako_thinking4",""
"","0","0","vo_minigame_1008","","","3","21","3050","vo_minigame_1008_drama_0201",""
"0.5","4","1","119931","0","0","3","11","3051","……？\n不知不覺出現了錢幣喲！\n剛才明明沒看到來的！\n好可怕！該不會有幽靈吧？","0"
"","","","4","","","3","93","3052","1",""
"","1","","119931","0.2","","3","3","3053","psy_miyako_panic1",""
"","","","3051","","","3","91","3054","",""
"","","","0","","","3","22","3055","0",""
"","0","psy_miyako_surprise2_loop","119931","0.2","0","3","3","3056","psy_miyako_surprise2_in","1"
"","0","0","vo_minigame_1008","","","3","21","3057","vo_minigame_1008_drama_0202",""
"1","4","1","119931","0","0","3","11","3058","……！\n突然想到了布丁的靈感喲！\n不過腦海中浮現出的臉，宮子沒有印象。\n這傢伙…………是誰來的？","0"
"","","","4","","","3","93","3059","1",""
"","1","","119931","0.2","","3","3","3060","psy_miyako_thinking4",""
"","","","3058","","","3","91","3061","",""
"","","","0","","","3","22","3062","0",""
"","","","1","","","3","93","3063","",""
"","","","0","","","3","91","3064","",""
"psy_miyako_start","100","-300","1","1.7","0","4","1","4001","119931","-200"
"psy_walk","100","300","1","1.7","1","4","1","4002","107131","-220"
"","0","0","1","1","","4","31","4003","11","1"
"psy_smoke_start","101","-300","1","1.7","0","4","5","4004","1","-200"
"","-220","2","107131","","","4","2","4005","185","0"
"","","","2","","","4","93","4006","",""
"","0","psy_talk_doya_loop","107131","0.2","0.2","4","3","4007","psy_talk_doya","1"
"","0","0","vo_minigame_1008","","","4","21","4008","vo_minigame_1008_drama_0405",""
"0.5","6","1","107131","0","0","4","11","4009","聽說這間店蔚為話題，\n克莉絲提娜我便來拜訪了唷☆","0"
"","","","0","","","4","91","4010","",""
"","1","","107131","0.2","","4","3","4011","psy_idle_doya",""
"","1","","107131","0.2","","4","3","4012","psy_talk_sad",""
"","0","0","vo_minigame_1008","","","4","21","4013","vo_minigame_1008_drama_0406",""
"0.5","6","1","107131","0","0","4","11","4014","……嗯？這不是沒人在嗎？\n難得我來替慈樂之音\n買點慰勞品。\n喂，有沒有人在啊？","0"
"","","","6","","","4","93","4015","1",""
"","1","","107131","0.2","","4","3","4016","psy_talk_call",""
"","","","4014","","","4","91","4017","",""
"","1","","107131","0.2","","4","3","4018","psy_idle_arm_crossed",""
"","0","psy_miyako_talk_joy1","119931","0","0.2","4","3","4019","psy_miyako_appear","1"
"","0","psy_smoke_start","1","0","0","4","3","4020","psy_smoke_appear","0"
"","0","0","vo_minigame_1008","","","4","21","4021","vo_minigame_1008_drama_0401",""
"0.5","5","1","119931","0","0","4","11","4022","啊！妳是！\n給人家巨大布丁的傢伙來的！\n又要送布丁給宮子了嗎？","0"
"","","","0","","","4","91","4023","",""
"","","","0","","","4","22","4024","0",""
"","1","","119931","0.2","","4","3","4025","psy_miyako_idle",""
"","1","","107131","0.2","","4","3","4026","psy_talk_normal",""
"","0","0","vo_minigame_1008","","","4","21","4027","vo_minigame_1008_drama_0407",""
"0.5","6","1","107131","0","0","4","11","4028","妳是……哦，之前\n在聖誕節有碰過面呢。\n今天我不是聖誕老人，\n而是作為客人過來的。","0"
"","","","0","","","4","91","4029","",""
"","1","","107131","0.2","","4","3","4030","psy_idle_normal",""
"","1","","119931","0.2","","4","3","4031","psy_miyako_sad1",""
"","0","0","vo_minigame_1008","","","4","21","4032","vo_minigame_1008_drama_0402",""
"0.5","4","1","119931","0","0","4","11","4033","人家沒空理不給布丁的人喲。\n老奶奶也不在家，\n快滾吧。","0"
"","","","5","","","4","93","4034","1",""
"","1","","119931","0.2","","4","3","4035","psy_miyako_talk4",""
"","","","4033","","","4","91","4036","",""
"","","","0","","","4","22","4037","0",""
"","1","","119931","0.2","","4","3","4038","psy_miyako_idle2",""
"","0","psy_ahaha_loop","107131","0.2","0.2","4","3","4039","psy_ahaha_in","1"
"","0","0","vo_minigame_1008","","","4","21","4040","vo_minigame_1008_drama_0408",""
"0.5","5","1","107131","0","0","4","11","4041","哈哈哈！\n對我克莉絲提娜竟然如此\n口無遮攔。真是有趣☆","0"
"","","","1.7","","","4","93","4042","1",""
"","1","","107131","0.2","","4","3","4043","psy_talk_joy1",""
"","","","4041","","","4","91","4044","",""
"","0","psy_talk_doya_loop","107131","0.2","0.2","4","3","4045","psy_talk_doya","1"
"","0","0","vo_minigame_1008","","","4","21","4046","vo_minigame_1008_drama_0409",""
"0.5","6","1","107131","0","0","4","11","4047","這下無論如何我都要\n買到妳的甜點了。","0"
"","","","0","","","4","91","4048","",""
"","1","","107131","0.2","","4","3","4049","psy_idle_wish",""
"","1","","119931","0.2","","4","3","4050","psy_miyako_panic1",""
"","0","0","vo_minigame_1008","","","4","21","4051","vo_minigame_1008_drama_0403",""
"0.5","5","1","119931","0","0","4","11","4052","為什麼會變成這樣！？\n趕快回去來的！","0"
"","","","0","","","4","91","4053","",""
"","","","0","","","4","22","4054","0",""
"","1","","119931","0.2","","4","3","4055","psy_miyako_idle_panic",""
"","0","psy_cris_approach_loop","107131","0.2","0","4","3","4056","psy_cris_approach_in","1"
"","0","0","vo_minigame_1008","","","4","21","4057","vo_minigame_1008_drama_0410",""
"0.5","7","1","107131","0","0","4","11","4058","哦？這不是有\n做到一半的布丁嗎？\n嗯……親手製作的慰勞品\n應該也蠻讓人高興的吧。","0"
"","","","4","","","4","93","4059","1",""
"","0","psy_talk_arm_crossed_loop","107131","0.2","0","4","3","4060","psy_talk_arm_crossed","1"
"","","","4058","","","4","91","4061","",""
"","1","","107131","0.2","","4","3","4062","psy_talk_joy1",""
"","0","0","vo_minigame_1008","","","4","21","4063","vo_minigame_1008_drama_0411",""
"0.5","5","1","107131","0","0","4","11","4064","好！我就來做布丁吧！\n妳也來幫忙，\n還我聖誕節的人情吧。","0"
"","","","0","","","4","91","4065","",""
"","1","","107131","0.2","","4","3","4066","psy_idle_joy1",""
"","1","","119931","0.2","","4","3","4067","psy_miyako_anger2",""
"","0","0","vo_minigame_1008","","","4","21","4068","vo_minigame_1008_drama_0404",""
"0.5","6","1","119931","0","0","4","11","4069","為、為什麼會變成那樣──！？","0"
"","","","4","","","4","93","4070","",""
"","","","0","","","4","91","4071","",""
"psy_miyako_start","100","-300","1","1.7","0","5","1","5001","119931","-200"
"psy_walk","100","300","1","1.7","1","5","1","5002","104931","-220"
"","0","0","1","1","","5","31","5003","11","1"
"psy_smoke_start","101","-300","1","1.7","0","5","5","5004","1","-200"
"","-220","2","104931","","","5","2","5005","185","0"
"","","","2","","","5","93","5006","",""
"","1","","104931","0.2","","5","3","5007","psy_talk_wish",""
"","0","0","vo_minigame_1008","","","5","21","5008","vo_minigame_1008_drama_0504",""
"0.5","5","1","104931","0","0","5","11","5009","弟弟和璃乃\n就是在這間甜點店幫忙吧！\n弟弟！姐姐來找你了唷！！","0"
"","","","4.3","","","5","93","5010","1",""
"","1","","104931","0.2","","5","3","5011","psy_talk_joy1",""
"","","","5009","","","5","91","5012","",""
"","1","","104931","0.2","","5","3","5013","psy_idle_joy1",""
"","0","psy_miyako_talk3","119931","0","0.2","5","3","5014","psy_miyako_appear","1"
"","0","psy_smoke_start","1","0","0","5","3","5015","psy_smoke_appear","0"
"","0","0","vo_minigame_1008","","","5","21","5016","vo_minigame_1008_drama_0501",""
"0.5","5","1","119931","0","0","5","11","5017","吵死了喲。\n突然喊什麼喊啊？","0"
"","","","0","","","5","91","5018","",""
"","","","0","","","5","22","5019","0",""
"","1","","119931","0.2","","5","3","5020","psy_miyako_idle",""
"","1","","104931","0.2","","5","3","5021","psy_talk_joy1",""
"","0","0","vo_minigame_1008","","","5","21","5022","vo_minigame_1008_drama_0505",""
"0.5","6","1","104931","0","0","5","11","5023","啊！妳就是宮子吧？\n我有聽璃乃提過妳！\n初次見面，我是弟弟的姐姐唷！","0"
"","","","4","","","5","93","5024","",""
"","1","","104931","0.2","","5","3","5025","psy_talk_wish",""
"","","","5023","","","5","91","5026","",""
"","","","0","","","5","91","5027","",""
"","1","","104931","0.2","","5","3","5028","psy_idle_wish",""
"","1","","119931","0.2","","5","3","5029","psy_miyako_anger3",""
"","0","0","vo_minigame_1008","","","5","21","5030","vo_minigame_1008_drama_0502",""
"0.5","4","1","119931","0","0","5","11","5031","妳是不是那傢伙的姐姐\n都與人家無關喲。\n宮子正在忙著做布丁喲。","0"
"","","","5","","","5","93","5032","1",""
"","0","psy_miyako_arm_crossed_loop","119931","0.2","0","5","3","5033","psy_miyako_arm_crossed_in","1]"
"","","","5031","","","5","91","5034","",""
"","","","0","","","5","22","5035","0",""
"","1","","119931","0.2","","5","3","5036","psy_miyako_arm_crossed_idle",""
"","1","","104931","0.2","","5","3","5037","psy_talk_wish",""
"","0","0","vo_minigame_1008","","","5","21","5038","vo_minigame_1008_drama_0506",""
"0.5","7","1","104931","0","0","5","11","5039","第一次遇到這種無所謂的反應，\n姐姐還是有點受傷的！\n畢竟愛的相反\n聽說就是漠不關心呢！","0"
"","","","0","","","5","91","5040","",""
"","1","","104931","0.2","","5","3","5041","psy_talk_joy2",""
"","0","0","vo_minigame_1008","","","5","21","5042","vo_minigame_1008_drama_0507",""
"0.5","7","1","104931","0","0","5","11","5043","好～！\n我現在馬上來向宮子獻上\n關於弟弟與姐姐，\n愛與命運交織的故事吧！","0"
"","","","0","","","5","91","5044","",""
"","1","","104931","0.2","","5","3","5045","psy_talk_memory",""
"","0","0","vo_minigame_1008","","","5","21","5046","vo_minigame_1008_drama_0508",""
"0.5","8","1","104931","0","0","5","11","5047","首先從命運的相遇聽我娓娓道來……","0"
"","","","0","","","5","91","5048","",""
"","1","","104931","0.2","","5","3","5049","psy_idle_memory",""
"","1","","119931","0.2","","5","3","5050","psy_miyako_sad1",""
"","0","0","vo_minigame_1008","","","5","21","5051","vo_minigame_1008_drama_0503",""
"0.5","5","1","119931","0","0","5","11","5052","（好像有什麼開始了……\n因為很麻煩宮子要消失……）","0"
"","","","0","","","5","91","5053","",""
"","","","0","","","5","22","5054","0",""
"","0","","119931","0.2","","5","3","5055","psy_miyako_hide",""
"","0","psy_smoke_start","1","0","0","5","3","5056","psy_smoke_hide","0"
"","","","2","","","5","93","5057","",""
"","","","0","","","5","91","5058","",""
"psy_miyako_idle_thinking","100","-300","1","1.7","1","6","1","6001","119931","-200"
"psy_walk","100","300","1","1.7","1","6","1","6002","103131","-220"
"","0","0","1","1","","6","31","6003","11","1"
"0","2","0","119931","0","0","6","12","6004","17","0"
"","-220","2","103131","","","6","2","6005","185","0"
"","","","2","","","6","93","6006","",""
"","1","","103131","0.2","","6","3","6007","psy_talk_wish",""
"","0","0","vo_minigame_1008","","","6","21","6008","vo_minigame_1008_drama_0605",""
"0.5","4","1","103131","0","0","6","11","6009","午安，\n我聽說宮子在甜點店幫忙，\n就過來看看了。","0"
"","","","0","","","6","91","6010","",""
"","1","","103131","0.2","","6","3","6011","psy_idle_wish",""
"","","","119931","","","6","4","6012","0",""
"","0","psy_miyako_talk_joy2","119931","0.2","0.2","6","3","6013","psy_miyako_surprise2_in","1"
"","","","1","","","6","93","6014","",""
"","0","0","vo_minigame_1008","","","6","21","6015","vo_minigame_1008_drama_0601",""
"0.5","5","1","119931","0","0","6","11","6016","忍！妳來得正好！\n宮子現在遇到了一點麻煩喲！","0"
"","","","3","","","6","93","6017","1",""
"","1","","119931","0.2","","6","3","6018","psy_miyako_talk2",""
"","","","6016","","","6","91","6019","",""
"","","","0","","","6","22","6020","0",""
"","1","","119931","0.2","","6","3","6021","psy_miyako_idle_sad",""
"","1","","103131","0.2","","6","3","6022","psy_talk_sad",""
"","0","0","vo_minigame_1008","","","6","21","6023","vo_minigame_1008_drama_0606",""
"0.5","6","1","103131","0","0","6","11","6024","怎麼了嗎？\n啊，難道妳把要賣的布丁\n不小心吃掉了嗎？\n那麼我們一起道歉吧。","0"
"","","","0","","","6","91","6025","",""
"","1","","103131","0.2","","6","3","6026","psy_idle_sad",""
"","1","","119931","0.2","","6","3","6027","psy_miyako_panic3",""
"","0","0","vo_minigame_1008","","","6","21","6028","vo_minigame_1008_drama_0602",""
"0.5","3","1","119931","0","0","6","11","6029","不是啦！宮子現在打算做出\n究極的布丁喲！\n不過，想不到什麼\n好點子……","0"
"","","","5.5","","","6","93","6030","1",""
"","1","","119931","0.2","","6","3","6031","psy_miyako_sad2",""
"","","","6029","","","6","91","6032","",""
"","","","0","","","6","22","6033","0",""
"","1","","119931","0.2","","6","3","6034","psy_miyako_idle_sad",""
"","0","psy_talk_surprise1","103131","0.2","0.2","6","3","6035","psy_surprise","1"
"","0","0","vo_minigame_1008","","","6","21","6036","vo_minigame_1008_drama_0607",""
"0.5","6","1","103131","0","0","6","11","6037","宮子……自己……\n做布丁……","0"
"","","","0","","","6","91","6038","",""
"","1","","103131","0.2","","6","3","6039","psy_idle_surprise1",""
"","1","","119931","0.2","","6","3","6040","psy_miyako_talk2",""
"","0","0","vo_minigame_1008","","","6","21","6041","vo_minigame_1008_drama_0603",""
"0.5","5","1","119931","0","0","6","11","6042","妳怎麼了？","0"
"","","","0","","","6","91","6043","",""
"","","","0","","","6","22","6044","0",""
"","1","","119931","0.2","","6","3","6045","psy_miyako_idle",""
"","1","","103131","0.2","","6","3","6046","psy_talk_joy1",""
"","0","0","vo_minigame_1008","","","6","21","6047","vo_minigame_1008_drama_0608",""
"0.5","5","1","103131","0","0","6","11","6048","呵呵，不，沒事。\n雖然不知道我能不能派上用場，\n我會盡全力幫忙的。","0"
"","","","4","","","6","93","6049","1",""
"","1","","103131","0.2","","6","3","6050","psy_talk_wish",""
"","","","6048","","","6","91","6051","",""
"","1","","103131","0.2","","6","3","6052","psy_idle_wish",""
"","1","","119931","0.2","","6","3","6053","psy_miyako_joy1",""
"","0","0","vo_minigame_1008","","","6","21","6054","vo_minigame_1008_drama_0604",""
"0.5","5","1","119931","0","0","6","11","6055","謝謝妳喲！\n只要忍跟宮子一起就是最強的！\n絕對能夠做出\n好吃的布丁喲！","0"
"","","","5","","","6","93","6056","1",""
"","0","psy_miyako_guts1_loop","119931","0.2","0","6","3","6057","psy_miyako_guts1_in","1"
"","","","6055","","","6","91","6058","",""
"","","","0","","","6","22","6059","0",""
"","","","1.5","","","6","93","6060","",""
"","","","0","","","6","91","6061","",""
"psy_miyako_idle","100","-200","1","1.7","0","7","1","7001","119931","-200"
"psy_fairy_idle","100","125","1","1.7","0","7","5","7002","1","-220"
"","0","0","1","1","","7","31","7003","11","1"
"","","","2","","","7","93","7004","",""
"","1","","1","0.2","","7","3","7005","psy_fairy_talk",""
"","0","0","vo_minigame_1008","","","7","21","7006","vo_minigame_1008_drama_9902",""
"0.5","3","1","1","0","0","7","11","7007","啾啾！","0"
"","","","0","","","7","91","7008","",""
