052c88934ca6ba02ad85cb395934c9e8da0a462e3deaefee59e48ad8db9ee266,f67fa6a0d3bf1a702fd8beda5ad4c10c2201b1f07f4e84507ac36b3d112c93eb,6843d8febf06baa46335192071490508cfed913e531c5ccb0e049642d9ea26b5,f794318e4225857dab1a7280b9223ddc930cb168eb4bf747ce448d9bc094147e,df3ceede5346416a8265364a488294aee32dbe747355959c7643a2895c781c13,e18ffeac4d10421c499593a774780f24d46ee0230176d5e74cb0b97c93bad0b3,b8f45ec2d7d2ad52647ab062b36b1f450fa202bfb03218aaaa89fede9e44b442,7448be5a7a518ce899be08a25bb224a7cdab58bebbe0e0d44b3821b34efb5914
"11","175","5","1661","282","174","-46","11"
"1","222","6","1741","-252","240","-11","1"
"2","311","6","1761","-19","245","-96","2"
"3","261","6","1771","-46","221","95","3"
"4","166","6","1781","152","237","83","4"
"5","183","6","1782","227","229","-100","5"
"1","223","7","1811","-249","183","-46","1"
"2","337","7","1881","-159","247","54","2"
"3","202","7","1921","30","191","-70","3"
"4","176","7","1941","173","215","0","4"
"5","204","7","1981","292","236","77","5"
"1","209","8","2001","-472","254","89","1"
"2","250","8","2031","-375","282","-77","2"
"3","241","8","2051","-280","223","110","3"
"4","243","8","2101","-148","270","-85","4"
"5","274","8","2131","3","264","74","5"
"6","321","8","2171","155","302","-36","6"
"7","199","8","2201","283","277","82","7"
"8","349","8","2271","374","344","0","8"
"1","240","9","2321","-275","301","-30","1"
"2","106","9","2361","-132","108","-115","2"
"3","106","9","2371","-132","108","-115","3"
"4","202","9","2381","-73","246","32","4"
"5","114","9","2411","-43","84","-140","5"
"6","114","9","2421","-43","84","-140","6"
"7","86","9","2461","50","84","65","8"
"8","86","9","2471","50","84","65","9"
"9","185","9","2481","80","137","-110","10"
"10","185","9","2491","80","137","-110","11"
"11","301","9","2521","131","377","24","7"
"12","190","9","2531","280","305","-50","12"
"1","123","10","2601","-527","145","-137","3"
"2","123","10","2611","-527","145","-137","4"
"3","408","10","2621","-379","295","35","1"
"4","171","10","2622","-299","192","103","2"
"5","342","10","2623","-138","244","-64","6"
"6","224","10","2701","-47","254","9","5"
"7","253","10","2781","131","204","-88","8"
"8","110","10","2791","89","139","23","9"
"9","110","10","2801","89","139","23","10"
"10","292","10","2811","275","249","42","7"
"11","126","10","2821","274","151","-120","11"
"12","126","10","2831","274","151","-120","12"
"13","276","10","2841","448","316","-17","13"
"1","158","11","2901","-292","203","-87","1"
"2","256","11","3011","-224","187","123","2"
"3","144","11","3031","-65","225","-80","3"
"4","149","11","3111","80","214","-84","4"
"5","201","11","3131","227","194","112","5"
"6","161","11","3141","159","111","-111","6"
"7","161","11","3151","159","111","-111","7"
"8","166","11","3171","307","209","-80","8"
"1","364","12","3211","-185","206","-106","3"
"2","160","12","3221","-304","277","34","1"
"3","249","12","3231","-107","275","45","2"
"4","167","12","3321","31","233","-46","5"
"5","174","12","3381","135","130","-122","7"
"6","174","12","3391","135","130","-122","8"
"7","244","12","3431","127","223","101","4"
"8","235","12","3441","254","246","-24","6"
"9","167","12","3461","303","156","-114","9"
"10","167","12","3471","303","156","-114","10"
"11","108","12","3491","338","94","152","11"
"12","108","12","3501","338","94","152","12"
"1","210","13","3531","-286","270","-48","3"
"2","92","13","3541","-310","103","144","2"
"3","228","13","3551","-152","219","-90","3"
"4","94","13","3561","-148","103","99","4"
"5","110","13","3571","-12","71","-157","5"
"6","209","13","3581","-5","274","-2","1"
"7","219","13","3691","141","292","-72","6"
"8","88","13","3701","146","104","143","7"
"9","160","13","3741","299","135","131","8"
"10","160","13","3751","299","135","131","9"
"11","179","13","3791","301","268","-82","10"
"1","197","14","3801","-470","286","6","2"
"2","134","14","3811","-520","89","-123","3"
"3","204","14","3821","-369","236","103","1"
"4","176","14","3861","-283","241","-74","5"
"5","156","14","3891","-151","236","-83","6"
"6","219","14","3911","-174","226","108","4"
"7","107","14","3921","-51","96","-130","10"
"8","179","14","3931","-5","251","50","9"
"9","113","14","3941","100","102","-106","11"
"10","242","14","3951","268","317","-41","12"
"11","209","14","3961","138","240","79","7"
"12","209","14","3971","138","240","79","8"
"13","125","14","4021","441","93","-125","14"
"14","219","14","4031","485","279","22","13"
