f63c11bf8a4cd5cfb6b1f004fdff651a166f36e83bf135da3fadc56f3fe16fb9,8e6d5410f262090b8e65614be78e0c3ae2b48bd47248bef08e9c2ff623607fa0,9dd178aa8bb42867194d3a0324a56bc769376ae5fd75b05af73dc18604438c21,f5d47964f8ea80f8da885f1718c21ffe30fe2ced0389024fcde4f8e47bd870c2,a085259a2e5c7bf0aa43c03cefaa773f82af11d7455910bfeda65f10985e3607,65d027cb506d4a4a0b043c0fd24bee6e9696ba7920ac29c88abede3f8dc5a3a8,83c2e62faece11552c929cdc5ba6f4014637fabe8f125af01bd79e3d7577345c,a9e1d7077b756fbac337319c48545860743b4311774c6700d1125896ab4c9ad1,445c284319f32d636bcbbbf41d32c1830b27d9ca1c26dcbf4c769bd9afef78b6,885f1b4fda841a8714f877a8562f83cac0b47ec4047798d1c75c802009f680cf,b8ca8a68321f9f6707d3753d8ab1c016f00c83f6ae979666dd04dc8e042a5c90
"vo_minigame_1006","7","0","0","","21","1070003","","","","vo_minigame_1006_top_201"
"113411","7","8","0","0","11","1070004","0","0","0","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！"
"3.4","7","","","","93","1070005","","","",""
"113411","7","0","pkb_idle_normal","0.2","3","1070006","0.2","","1","pkb_talk_handsup"
"1070004","7","","","","91","1070007","","","",""
"113411","7","1","","","3","1070008","0.2","","","pkb_idle_normal"
"1","8","100","64","1","1","1080001","1.65","pkb_idle_normal","-175","113411"
"113411","8","1","","","3","1080002","0.2","","","pkb_talk_joy2"
"vo_minigame_1006","8","0","0","","21","1080003","","","","vo_minigame_1006_top_202"
"113411","8","8","0","0","11","1080004","0","-1","0","初音也要一起\n幫忙練習～！\n閃亮亮～☆"
"3.6","8","","","","93","1080005","","","",""
"113411","8","0","","","3","1080006","0.2","","","pkb_hatsune_kiran"
"1080004","8","","","","91","1080007","","","",""
"113411","8","1","","","3","1080008","0.2","","","pkb_idle_normal"
"1","9","100","64","1","1","1090001","1.65","pkb_idle_normal","-175","113411"
"113411","9","1","","","3","1090002","0.2","","","pkb_talk_joy2"
"vo_minigame_1006","9","0","0","","21","1090003","","","","vo_minigame_1006_top_203"
"113411","9","6","0","0","11","1090004","0","0","0","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！"
"3","9","","","","93","1090005","","","",""
"113411","9","0","pkb_idle_surprise1","0.2","3","1090006","0.2","","1","pkb_surprise"
"1","9","","","","93","1090007","","","",""
"113411","9","1","","","3","1090008","0.2","","","pkb_talk_joy3"
"1090004","9","","","","91","1090009","","","",""
"113411","9","1","","","3","1090010","0.2","","","pkb_idle_normal"
"1","10","100","64","1","1","1100001","1.65","pkb_idle_normal","-175","106531"
"106531","10","0","pkb_idle_arm_crossed","","3","1100002","0.2","","1","pkb_talk_arm_crossed"
"vo_minigame_1006","10","0","0","","21","1100003","","","","vo_minigame_1006_top_301"
"106531","10","8","0","0","11","1100004","0","0","0","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！"
"2.8","10","","","","93","1100005","","","",""
"106531","10","1","","","3","1100006","0.2","","","pkb_talk_joy1"
"1100004","10","","","","91","1100007","","","",""
"106531","10","1","","","3","1100008","0.2","","","pkb_idle_normal"
"1","11","100","64","1","1","1110001","1.65","pkb_idle_normal","-175","106531"
"106531","11","1","","","3","1110002","0.2","","","pkb_talk_normal"
"vo_minigame_1006","11","0","0","","21","1110003","","","","vo_minigame_1006_top_302"
"106531","11","8","0","0","11","1110004","0","0","0","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？"
"3.2","11","","","","93","1110005","","","",""
"106531","11","0","pkb_idle_arm_crossed","0.2","3","1110006","0.2","","1","pkb_talk_arm_crossed"
"1110004","11","","","","91","1110007","","","",""
"106531","11","1","","","3","1110008","0.2","","","pkb_idle_normal"
"1","12","100","64","1","1","1120001","1.65","pkb_idle_normal","-175","106531"
"106531","12","0","pkb_idle_arm_crossed","0.2","3","1120002","0.2","","1","pkb_talk_arm_crossed"
"vo_minigame_1006","12","0","0","","21","1120003","","","","vo_minigame_1006_top_303"
"106531","12","8","0","0","11","1120004","0","0.5","0","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！"
"3.2","12","","","","93","1120005","","","",""
"106531","12","0","pkb_idle_doya","","3","1120006","0.2","","1","pkb_talk_doya"
"1120004","12","","","","91","1120007","","","",""
"106531","12","1","","","3","1120008","0.2","","","pkb_idle_normal"
"1","13","100","64","1","1","1130001","1.65","pkb_idle_normal","-175","102311"
"102311","13","0","pkb_talk_joy1","0.4","3","1130002","0.2","","1","pkb_talk_fun"
"vo_minigame_1006","13","0","0","","21","1130003","","","","vo_minigame_1006_top_401"
"102311","13","8","0","0","11","1130004","0","0","0","今天也要打很多球！\n一起加油吧，\n噗吉！"
"1130004","13","","","","91","1130005","","","",""
"102311","13","1","","","3","1130006","0.2","","","pkb_idle_normal"
"1","14","100","64","1","1","1140001","1.65","pkb_idle_normal","-175","102311"
"102311","14","1","","","3","1140002","0.2","","","pkb_talk_joy1"
"vo_minigame_1006","14","0","0","","21","1140003","","","","vo_minigame_1006_top_402"
"102311","14","8","0","0","11","1140004","0","0","0","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！"
"3","14","","","","93","1140005","","","",""
"102311","14","0","pkb_idle_doya","","3","1140006","0.2","","1","pkb_talk_doya"
"1140004","14","","","","91","1140007","","","",""
"102311","14","1","","","3","1140008","0.2","","","pkb_idle_normal"
"1","15","100","64","1","1","1150001","1.65","pkb_idle_normal","-175","102311"
"102311","15","1","","","3","1150002","0.2","","","pkb_talk_wish"
"vo_minigame_1006","15","0","0","","21","1150003","","","","vo_minigame_1006_top_403"
"102311","15","8","0","0","11","1150004","0","-0.5","0","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！"
"2.4","15","","","","93","1150005","","","",""
"102311","15","0","pkb_talk_joy1","0.4","3","1150006","0.2","","1","pkb_talk_fun"
"1150004","15","","","","91","1150007","","","",""
"102311","15","1","","","3","1150008","0.2","","","pkb_idle_normal"
"1","16","100","64","1","5","1160001","57","pkb_idle_normal_l","-155","1"
"1","16","0","pkb_idle_arm_crossed_l","0.2","3","1160002","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","16","0","0","","21","1160003","","","","vo_minigame_1006_top_701"
"1","16","8","0","0","11","1160004","0","0","0","以全國大賽為目標，\n今天也來努力練習吧！"
"2.6","16","","","","93","1160005","","","",""
"1","16","0","pkb_idle_doya_l","0.2","3","1160006","0.2","","1","pkb_talk_doya_l"
"1160004","16","","","","91","1160007","","","",""
"1","16","1","","","3","1160008","0.2","","","pkb_idle_normal_l"
"1","17","100","64","1","5","1170001","57","pkb_idle_normal_l","-155","1"
"1","17","0","pkb_idle_guts_l","","3","1170002","0.2","","1","pkb_talk_guts_l"
"vo_minigame_1006","17","0","0","","21","1170003","","","","vo_minigame_1006_top_702"
"1","17","8","0","0","11","1170004","0","0","0","為了實現夢想，\n大家來盡全力\n練習吧！"
"0","17","","","","91","1170005","","","",""
"1","17","1","","","3","1170006","0.2","","","pkb_idle_normal_l"
"1","18","100","64","1","5","1180001","57","pkb_idle_normal_l","-155","1"
"1","18","0","pkb_idle_arm_crossed_l","0.2","3","1180002","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","18","0","0","","21","1180003","","","","vo_minigame_1006_top_703"
"1","18","8","0","0","11","1180004","0","0","0","社員們也都\n進步了好多……\n我可不能落後了！"
"2.9","18","","","","93","1180005","","","",""
"1","18","0","pkb_idle_guts_l","","3","1180006","0.2","","1","pkb_talk_guts_l"
"1180004","18","","","","91","1180007","","","",""
"1","18","1","","","3","1180008","0.2","","","pkb_idle_normal_l"
"2","19","100","64","1","5","1190001","57","pkb_idle_normal_l","-155","2"
"2","19","0","pkb_idle_arm_crossed_l","0.2","3","1190002","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","19","0","0","","21","1190003","","","","vo_minigame_1006_top_801"
"2","19","8","0","0","11","1190004","0","0","0","我會把我的進步\n展現出來，畢竟\n我也是選手啊。"
"3.8","19","","","","93","1190005","","","",""
"2","19","0","pkb_idle_guts_l","","3","1190006","0.2","","1","pkb_talk_guts_l"
"1190004","19","","","","91","1190007","","","",""
"2","19","1","","","3","1190008","0.2","","","pkb_idle_normal_l"
"2","20","100","64","1","5","1200001","57","pkb_idle_normal_l","-155","2"
"2","20","0","pkb_idle_guts_l","","3","1200002","0.2","","1","pkb_talk_guts_l"
"vo_minigame_1006","20","0","0","","21","1200003","","","","vo_minigame_1006_top_802"
"2","20","8","0","0","11","1200004","0","0","0","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。"
"3.2","20","","","","93","1200005","","","",""
"2","20","0","pkb_idle_doya_l","","3","1200006","0.2","","1","pkb_talk_doya_l"
"1200004","20","","","","91","1200007","","","",""
"2","20","1","","","3","1200008","0.2","","","pkb_idle_normal_l"
"2","21","100","64","1","5","1210001","57","pkb_idle_normal_l","-155","2"
"2","21","0","pkb_idle_arm_crossed_l","0.2","3","1210002","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","21","0","0","","21","1210003","","","","vo_minigame_1006_top_803"
"2","21","8","0","0","11","1210004","0","0","0","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。"
"0","21","","","","91","1210005","","","",""
"2","21","1","","","3","1210006","0.2","","","pkb_idle_normal_l"
"1","22","100","-20","0","1","1220001","1.6","pkb_idle_normal","-150","113511"
"1","22","100","170","1","1","1220002","1.6","pkb_idle_normal","-150","113411"
"113511","22","1","","","3","1220003","0.2","","","pkb_talk_joy1"
"vo_minigame_1006","22","0","0","","21","1220004","","","","vo_minigame_1006_top_talk_1_101"
"113511","22","6","0","0","11","1220005","0","-0.5","0","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪"
"0","22","","","","91","1220006","","","",""
"113511","22","1","","","3","1220007","0.2","","","pkb_idle_normal"
"113411","22","1","","","3","1220008","0.2","","","pkb_talk_joy1"
"vo_minigame_1006","22","0","0","","21","1220009","","","","vo_minigame_1006_top_talk_1_202"
"113411","22","6","0","0","11","1220010","0","-0.5","0","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！"
"4","22","","","","93","1220011","","","",""
"113411","22","0","pkb_idle_normal","0","3","1220012","0.2","","1","pkb_talk_handsup"
"1220010","22","","","","91","1220013","","","",""
"113411","22","1","","","3","1220014","0.2","","","pkb_idle_normal"
"1","23","100","170","1","1","1230001","1.6","pkb_idle_normal","-150","113411"
"1","23","100","-20","0","1","1230002","1.6","pkb_idle_normal","-150","113511"
"113411","23","1","","","3","1230003","0.2","","","pkb_talk_normal"
"vo_minigame_1006","23","0","0","","21","1230004","","","","vo_minigame_1006_top_talk_2_201"
"113411","23","8","0","0","11","1230005","0","-1.5","0","美里老師也來一起\n幫忙加油嘛！"
"0","23","","","","91","1230006","","","",""
"113411","23","1","","","3","1230007","0.2","","","pkb_idle_normal"
"113511","23","1","","","3","1230008","0.2","","","pkb_talk_normal"
"vo_minigame_1006","23","0","0","","21","1230009","","","","vo_minigame_1006_top_talk_2_102"
"113511","23","5","0","0","11","1230010","0","3","0","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！"
"4","23","","","","93","1230011","","","",""
"113511","23","0","pkb_talk_fun","0.2","3","1230012","0.2","","0","pkb_talk_fun"
"2.7","23","","","","93","1230013","","","",""
"113511","23","0","pkb_talk_joy1","0.2","3","1230014","0.2","","1","pkb_idle_normal"
"1230010","23","","","","91","1230015","","","",""
"113511","23","1","","","3","1230016","0.2","","","pkb_idle_normal"
"1","24","100","170","1","1","1240001","1.6","pkb_idle_normal","-150","113511"
"3","24","100","-20","0","5","1240002","55","pkb_idle_normal","-130","3"
"113511","24","1","","","3","1240003","0.2","","","pkb_talk_joy3"
"vo_minigame_1006","24","0","0","","21","1240004","","","","vo_minigame_1006_top_talk_3_101"
"113511","24","6","0","0","11","1240005","0","-1","0","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～"
"4","24","","","","93","1240006","","","",""
"113511","24","1","","","3","1240007","0.2","","","pkb_talk_wish"
"1240005","24","","","","91","1240008","","","",""
"113511","24","1","","","3","1240009","0.2","","","pkb_idle_normal"
"3","24","1","","","3","1240010","0.2","","","pkb_talk_normal"
"vo_minigame_1006","24","0","0","","21","1240011","","","","vo_minigame_1006_top_talk_3_602"
"3","24","6","0","0","11","1240012","0","-1","0","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！"
"2","24","","","","93","1240013","","","",""
"3","24","0","pkb_idle_doya","","3","1240014","0.2","","1","pkb_talk_doya"
"1240012","24","","","","91","1240015","","","",""
"3","24","1","","","3","1240016","0.2","","","pkb_idle_normal"
"3","25","100","-20","0","5","1250001","55","pkb_idle_normal","-130","3"
"1","25","100","170","1","1","1250002","1.6","pkb_idle_normal","-150","113511"
"3","25","0","pkb_idle_arm_crossed","0.2","3","1250003","0.2","","1","pkb_talk_arm_crossed"
"vo_minigame_1006","25","0","0","","21","1250004","","","","vo_minigame_1006_top_talk_4_601"
"3","25","8","0","0","11","1250005","0","-0.5","0","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！"
"3","25","","","","93","1250006","","","",""
"3","25","0","pkb_idle_guts","","3","1250007","0.2","","1","pkb_talk_guts"
"1250005","25","","","","91","1250008","","","",""
"3","25","1","","","3","1250009","0.2","","","pkb_idle_normal"
"113511","25","1","","","3","1250010","0.2","","","pkb_talk_wish"
"vo_minigame_1006","25","0","0","","21","1250011","","","","vo_minigame_1006_top_talk_4_102"
"113511","25","6","0","0","11","1250012","0","1","0","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪"
"5.6","25","","","","93","1250013","","","",""
"113511","25","0","pkb_idle_normal","0.2","3","1250014","0.2","","1","pkb_talk_handsup"
"0","25","","","","91","1250015","","","",""
"113511","25","1","","","3","1250016","0.2","","","pkb_idle_normal"
"1","26","100","170","1","1","1260001","1.6","pkb_idle_normal","-150","113511"
"1","26","100","-20","0","5","1260002","55","pkb_idle_normal","-130","1"
"113511","26","1","","","3","1260003","0.2","","","pkb_talk_joy3"
"vo_minigame_1006","26","0","0","","21","1260004","","","","vo_minigame_1006_top_talk_5_101"
"113511","26","6","0","0","11","1260005","0","0","0","呵呵，老師也會\n一起協助你們練習的～"
"0","26","","","","91","1260006","","","",""
"113511","26","1","","","3","1260007","0.2","","","pkb_idle_normal"
"1","26","0","pkb_idle_guts","0.2","3","1260008","0.2","","1","pkb_talk_guts"
"vo_minigame_1006","26","0","0","","21","1260009","","","","vo_minigame_1006_top_talk_5_702"
"1","26","8","0","0","11","1260010","0","-1","0","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！"
"0","26","","","","91","1260011","","","",""
"1","26","1","","","3","1260012","0.2","","","pkb_idle_normal"
"1","27","100","-20","0","5","1270001","55","pkb_idle_normal","-130","1"
"1","27","100","170","1","1","1270002","1.6","pkb_idle_normal","-150","113511"
"1","27","0","pkb_idle_arm_crossed","0.2","3","1270003","0.2","","1","pkb_talk_arm_crossed"
"vo_minigame_1006","27","0","0","","21","1270004","","","","vo_minigame_1006_top_talk_6_701"
"1","27","8","0","0","11","1270005","0","-0.5","0","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！"
"2.6","27","","","","93","1270006","","","",""
"1","27","0","pkb_idle_guts","0.2","3","1270007","0.2","","1","pkb_talk_guts"
"1270005","27","","","","91","1270008","","","",""
"1","27","1","","","3","1270009","0.2","","","pkb_idle_normal"
"113511","27","1","","","3","1270010","0.2","","","pkb_talk_joy3"
"vo_minigame_1006","27","0","0","","21","1270011","","","","vo_minigame_1006_top_talk_6_102"
"113511","27","6","0","0","11","1270012","0","0.5","0","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪"
"4","27","","","","93","1270013","","","",""
"113511","27","1","","","3","1270014","0.2","","","pkb_talk_wish"
"1270012","27","","","","91","1270015","","","",""
"113511","27","1","","","3","1270016","0.2","","","pkb_idle_normal"
"1","28","100","170","1","1","1280001","1.6","pkb_idle_normal","-150","113411"
"3","28","100","-20","0","5","1280002","55","pkb_idle_normal","-130","3"
"113411","28","0","pkb_talk_joy1","0.2","3","1280003","0.2","","1","pkb_talk_yell"
"vo_minigame_1006","28","0","0","","21","1280004","","","","vo_minigame_1006_top_talk_7_201"
"113411","28","8","0","0","11","1280005","0","-0.5","0","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！"
"4.6","28","","","","93","1280006","","","",""
"113411","28","0","pkb_idle_normal","0.2","3","1280007","0.2","","1","pkb_talk_fun"
"1280005","28","","","","91","1280008","","","",""
"113411","28","1","","","3","1280009","0.2","","","pkb_idle_normal"
"3","28","0","pkb_idle_guts","","3","1280010","0.2","","1","pkb_talk_guts"
"vo_minigame_1006","28","0","0","","21","1280011","","","","vo_minigame_1006_top_talk_7_602"
"3","28","8","0","0","11","1280012","0","0","0","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！"
"5","28","","","","93","1280013","","","",""
"3","28","0","pkb_idle_normal","","3","1280014","0.2","","1","pkb_talk_handsup"
"1280012","28","","","","91","1280015","","","",""
"3","28","1","","","3","1280016","0.2","","","pkb_idle_normal"
"3","29","100","-20","0","5","1290001","55","pkb_idle_normal","-130","3"
"1","29","100","170","1","1","1290002","1.6","pkb_idle_normal","-150","113411"
"3","29","0","pkb_idle_arm_crossed","0.2","3","1290003","0.2","","1","pkb_talk_arm_crossed"
"vo_minigame_1006","29","0","0","","21","1290004","","","","vo_minigame_1006_top_talk_8_601"
"3","29","8","0","0","11","1290005","0","-1","0","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！"
"2.8","29","","","","93","1290006","","","",""
"3","29","0","pkb_idle_guts","","3","1290007","0.2","","1","pkb_talk_guts"
"1290005","29","","","","91","1290008","","","",""
"3","29","1","","","3","1290009","0.2","","","pkb_idle_normal"
"113411","29","1","","","3","1290010","0.2","","","pkb_talk_joy1"
"vo_minigame_1006","29","0","0","","21","1290011","","","","vo_minigame_1006_top_talk_8_202"
"113411","29","8","0","0","11","1290012","0","-0.5","0","包在我身上！\n我會比平常還要\n更努力加油打氣的～！"
"2.2","29","","","","93","1290013","","","",""
"113411","29","0","pkb_smile","0.4","3","1290014","0.2","","0","pkb_talk_fun"
"2.2","29","","","","93","1290015","","","",""
"113411","29","1","","","3","1290016","0.2","","","pkb_idle_normal"
"1290012","29","","","","91","1290017","","","",""
"113411","29","1","","","3","1290018","0.2","","","pkb_idle_normal"
"1","30","100","170","1","1","1300001","1.6","pkb_idle_normal","-150","113411"
"1","30","100","-20","0","5","1300002","55","pkb_idle_normal","-130","1"
"113411","30","1","","","3","1300003","0.2","","","pkb_talk_joy1"
"vo_minigame_1006","30","0","0","","21","1300004","","","","vo_minigame_1006_top_talk_9_201"
"113411","30","8","0","0","11","1300005","0","1","0","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！"
"5","30","","","","93","1300006","","","",""
"113411","30","0","pkb_idle_normal","","3","1300007","0.2","","1","pkb_talk_handsup"
"1300005","30","","","","91","1300008","","","",""
"113411","30","1","","","3","1300009","0.2","","","pkb_idle_normal"
"1","30","1","","","3","1300010","0.2","","","pkb_talk_normal"
"vo_minigame_1006","30","0","0","","21","1300011","","","","vo_minigame_1006_top_talk_9_702"
"1","30","8","0","0","11","1300012","0","-1","0","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！"
"3.3","30","","","","93","1300013","","","",""
"1","30","0","pkb_idle_guts","","3","1300014","0.2","","1","pkb_talk_guts"
"1300012","30","","","","91","1300015","","","",""
"1","30","1","","","3","1300016","0.2","","","pkb_idle_normal"
"1","31","100","-20","0","5","1310001","55","pkb_idle_normal","-130","1"
"1","31","100","170","1","1","1310002","1.6","pkb_idle_normal","-150","113411"
"1","31","0","pkb_idle_arm_crossed","0.2","3","1310003","0.2","","1","pkb_talk_arm_crossed"
"vo_minigame_1006","31","0","0","","21","1310004","","","","vo_minigame_1006_top_talk_10_701"
"1","31","8","0","0","11","1310005","0","-1.5","0","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！"
"3.6","31","","","","93","1310006","","","",""
"1","31","0","pkb_idle_doya","","3","1310007","0.2","","1","pkb_talk_doya"
"1310005","31","","","","91","1310008","","","",""
"1","31","1","","","3","1310009","0.2","","","pkb_idle_normal"
"113411","31","1","","","3","1310010","0.2","","","pkb_talk_joy1"
"vo_minigame_1006","31","0","0","","21","1310011","","","","vo_minigame_1006_top_talk_10_202"
"113411","31","8","0","0","11","1310012","0","-0.5","0","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆"
"3.6","31","","","","93","1310013","","","",""
"113411","31","0","pkb_talk_fun","","3","1310014","0.2","","0","pkb_talk_fun"
"3","31","","","","93","1310015","","","",""
"113411","31","1","","","3","1310016","0.2","","","pkb_idle_normal"
"1310012","31","","","","91","1310017","","","",""
"2","32","100","-20","0","5","1320001","55","pkb_idle_normal","-130","2"
"1","32","100","170","1","1","1320002","1.6","pkb_idle_normal","-150","113411"
"2","32","0","pkb_idle_guts","","3","1320003","0.2","","1","pkb_talk_guts"
"vo_minigame_1006","32","0","0","","21","1320004","","","","vo_minigame_1006_top_talk_11_801"
"2","32","8","0","0","11","1320005","0","0","0","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。"
"5","32","","","","93","1320006","","","",""
"2","32","0","pkb_idle_doya","","3","1320007","0.2","","1","pkb_talk_doya"
"1320005","32","","","","91","1320008","","","",""
"2","32","1","","","3","1320009","0.2","","","pkb_idle_normal"
"113411","32","1","","","3","1320010","0.2","","","pkb_talk_joy2"
"vo_minigame_1006","32","0","0","","21","1320011","","","","vo_minigame_1006_top_talk_11_202"
"113411","32","8","0","0","11","1320012","0","0","0","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！"
"4.6","32","","","","93","1320013","","","",""
"113411","32","0","pkb_idle_normal","0.2","3","1320014","0.2","","1","pkb_hatsune_kiran"
"1320012","32","","","","91","1320015","","","",""
"113411","32","1","","","3","1320016","0.2","","","pkb_idle_normal"
"1","33","100","170","1","1","1330001","1.6","pkb_idle_normal","-150","102311"
"2","33","100","-20","0","5","1330002","55","pkb_idle_normal","-130","2"
"102311","33","1","","","3","1330003","0.2","","","pkb_talk_normal"
"vo_minigame_1006","33","0","0","","21","1330004","","","","vo_minigame_1006_top_talk_12_401"
"102311","33","8","0","0","11","1330005","0","-0.5","0","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！"
"1.6","33","","","","93","1330006","","","",""
"102311","33","0","pkb_talk_joy1","0.2","3","1330007","0.2","","1","pkb_talk_yell"
"1330005","33","","","","91","1330008","","","",""
"102311","33","1","","","3","1330009","0.2","","","pkb_idle_normal"
"vo_minigame_1006","33","0","0","","21","1330010","","","","vo_minigame_1006_top_talk_12_802"
"2","33","8","0","0","11","1330011","0","0","0","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。"
"0.5","33","","","","93","1330012","","","",""
"2","33","0","","","3","1330013","0.2","","","pkb_talk_yell"
