952cd36646f4ded1ddb9b9fc7c4a22e208f01b237f6843a2c29fc986091ee7dc,97562a3ec0c7a32b7b65491e1ad2c5af3510bf3c9af5f798055ec0350a759062,d14adc79f7f62ec3468e61b791f0de1742ee735d79e8681a903d13c5e0b2abc1,81e58a206fe9a82cb120e82ff57b4876cd28318f67a2ed5482003ffcbf65929b,63ee371768d066986c2cacf746db3ee0e79b01f91b676027c4aeff1f6c2c204c,f7e912ed0b4ae75f94dc2ff2bcfd7de4126a6a6c38aed1f7958ebb78335a6792,461ec3c9b3d60e9757428f6a0a3d9bb3220aa896eef226298e8df9a3eacece06,fdecb20375d3adc2a49410ad0347f74f959bc2795caf5b71b0cee39ed4933efd,59254db8b278bfeb8c4cbd6221dbef428db7de177067d83121198fe1f12e301c,5283b8f9821bd08f1f25f0371f652e5539eea434029f030779869c3b3ef292a1,8b5b4de675b99172f57572e7679702fa3d7c2ff6269bbd1b392568770c1ee02b,3181187ab06cff94038fb2c1a7ce297144720996121d5adb8620c1e597961408,04ed4fff762965237b6ce756fa3dcfc036aa90793b1f9dc05de521b271077c82,82f1b23a1c5aa4904ce8bf775ecb3e6559e763ac7dbc4d096547138d6f0e8f70
"7","1.78","歡迎光臨。\n好啦騎士氏。你想要什麼東西\n當下地獄的伴手禮呢？","1","2025/04/17 16:00:00","133002","格蕾斯","2025/07/23 15:59:59","10026","0","2","1","2002","-470"
"7","6.15","每次購買商品時，\n都會給你小格蕾點數。\n我開玩笑的啦。","7","2025/04/17 16:00:00","133002","格蕾斯","2025/07/23 15:59:59","10027","0","1","2","2002","-470"
"7","4.28","歡迎光臨。\n……接待客人\n是像這樣子做就可以了嗎？","2","2025/04/17 16:00:00","133102","薇歐莉特","2025/07/23 15:59:59","10028","0","6","1","2002","-470"
"7","0","因為這裡沒有\n潮濕的商品，\n所以請放心選購。","1","2025/04/17 16:00:00","133102","薇歐莉特","2025/07/23 15:59:59","10029","0","1","2","2002","-470"
"8","5.53","歡迎光臨，\n需要什麼嗎？\n也有賣章魚燒滴喔！","1","2025/07/16 16:00:00","136902","璐璐伊","2025/10/17 15:59:59","10030","0","2","1","2002","-470"
"8","6.05","那枚硬幣……亮晶晶的，\n會害偶想收集，\n會被罵的……","7","2025/07/16 16:00:00","136902","璐璐伊","2025/10/17 15:59:59","10031","0","9","2","2002","-470"
"8","0","既然是公主的朋友，\n以禮款待就是爺爺我的職責。\n來，說說看想要什麼？","1","2025/07/16 16:00:00","137001","杜蘭","2025/10/17 15:59:59","10032","0","2","1","2002","-470"
"8","0","能不能別拿巡遊幣，\n換成拿首級來支付呢？\n……此乃玩笑哦？","1","2025/07/16 16:00:00","137001","杜蘭","2025/10/17 15:59:59","10033","0","2","2","2002","-470"
"9","0","喲，\n喜歡什麼就拿來吧。","2","2025/10/10 16:00:00","135902","剎鬼","2026/01/17 15:59:59","10034","0","2","1","2002","-470"
"9","4.935","別做出把錢留到隔天\n那樣掃興的事啊，\n要是運氣耗盡了可別怪我沒提醒你喔。","6","2025/10/10 16:00:00","135902","剎鬼","2026/01/17 15:59:59","10035","0","1","2","2002","-470"
"9","7.441","歡、歡、歡迎光臨……\n你有什麼想要的東西嗎？\n刨、刨冰之類的怎麼樣……？","5","2025/10/10 16:00:00","135802","雪野","2026/01/17 15:59:59","10036","0","2","1","2002","-470"
"9","0","別、別那樣看儂……\n儂可不是拿來賣的\n東西喔……？","7","2025/10/10 16:00:00","135802","雪野","2026/01/17 15:59:59","10037","0","7","2","2002","-470"
"10","2.295","在找庫露露嗎？\n那麼作為答謝，這裡的\n寶石也請收下吧～♪","2","2026/01/10 16:00:00","130901","庫露露","2026/04/17 15:59:59","10038","0","2","1","2002","-470"
"10","6.281","啊！怎麼可以跟\n英雄收錢呢！\n拿走吧拿走吧……咦、不可以嗎？","6","2026/01/10 16:00:00","130901","庫露露","2026/04/17 15:59:59","10039","0","1","2","2002","-470"
"10","5.549","唷！今天的老娘\n不是守門人，而是守店人。\n記憶碎片～水晶球～之類的喔！","1","2026/01/10 16:00:00","137701","沃爾加諾","2026/04/17 15:59:59","10040","0","2","1","2002","-470"
"10","2.64","……莉瑪小姐的照片？\n當然要買啊！\n全都拿去吧，你這小偷！","6","2026/01/10 16:00:00","137701","沃爾加諾","2026/04/17 15:59:59","10041","0","3","2","2002","-470"
"11","7.642","這、這樣的裝扮……烏爾姆說\n會有招來客人的效果……\n……這是真的嗎？","4","2026/04/10 16:00:00","132801","萊拉耶爾","2026/07/17 15:59:59","10042","0","7","1","2002","-470"
"11","0","居然讓吾顧店……\n沒全部買光的話可饒不了你，\n儘管為吾的國庫做出貢獻吧。","1","2026/04/10 16:00:00","132802","萊拉耶爾","2026/07/17 15:59:59","10043","0","1","2","2002","-470"
"11","0","分析！\n今天的推薦商品……\n是這個♪","1","2026/04/10 16:00:00","134502","克蘿茜","2026/07/17 15:59:59","10044","0","1","1","2002","-470"
"11","3.72","巨型克蘿茜，\n要不要來一架？\n記得要準備機庫哦。","1","2026/04/10 16:00:00","134501","克蘿茜","2026/07/17 15:59:59","10045","0","2","2","2002","-470"
