861b58a42a9761b540b5556297c9bd81de11c58e00d8e4c0621f62417de236ca,2f0c43b8c762dd9c8be80c78e9e8c6a723e2b97957927e2fb26adb9cda20a1ed,e3a87cb7b310955e7c4ef8335c2c3f2fc4f9d37a652d7ddfa8b8a62eb940e522,5e4afc51abf21859a6c75a9881faf5d2e0403a55e52c190dd3fc7b326c8a738e,114fd2768c3ea623d0c9aca86584d82c3e618b8ca681a9f56df8457a6c627e43,6cb38c93f2ca4eeb25fafb2e6df994e1fc1a11a0a3b461aae4a951c3ce25d84b
"101","5082005","2","3","501483","10109"
"103","5084001","2","3","500368","10112"
"104","5084002","2","3","510306","10112"
"105","5084003","2","3","500039","10112"
"106","5085002","2","3","500368","10113"
"107","5085003","2","3","510203","10113"
"108","5085004","2","3","500272","10113"
"109","5085005","2","3","501501","10113"
"110","1011001","1","2","0","10110101"
"111","20037112","1","1","0","20037101"
"112","5066005","2","3","501291","20037"
"113","5088005","2","3","501810","10115"
"114","5114000","2","3","500016","10114"
"115","5114003","2","3","501952","10114"
"116","5068001","2","3","501341","20038"
"117","5090002","2","3","501541","10117"
"121","5070004","2","3","501353","20039"
"122","5070005","2","3","500016","20039"
"123","5116004","2","3","500837","10116"
"124","5092001","2","3","501031","10119"
"125","5092004","2","3","501551","10119"
"126","5118002","2","3","500133","10118"
"127","5118003","2","3","500810","10118"
"128","5118007","2","3","500133","10118"
"129","5072004","2","3","501364","20040"
"130","5072006","2","3","501365","20040"
"132","5124003","2","3","501614","10124"
"133","5074001","2","3","501383","20041"
"135","5094001","2","3","501593","10121"
"136","5122000","2","3","502003","10122"
"137","5122002","2","3","502015","10122"
"138","5096002","2","3","501613","10123"
"139","5076005","2","3","505036","20042"
"140","5078004","2","3","501451","20043"
"141","5098000","2","3","501031","10125"
"143","5100003","2","3","500837","10127"
"144","5080005","2","3","501463","20044"
"145","5128001","2","3","502063","10128"
"146","5102002","2","3","501873","10129"
"147","20045105","1","1","0","20045101"
"148","20045108","1","1","0","20045102"
"149","20045111","1","1","0","20045103"
"150","5082002","2","3","501160","20045"
"151","5082004","2","3","501031","20045"
"152","5082005","2","3","501483","20045"
"153","5084001","2","3","500368","20046"
"154","5084002","2","3","510306","20046"
"155","5084003","2","3","500039","20046"
"156","5085002","2","3","500368","20047"
"157","5085003","2","3","510203","20047"
"158","5085004","2","3","500272","20047"
"159","5085005","2","3","501501","20047"
"160","5130001","2","3","500016","10130"
"161","5130007","2","3","500133","10130"
"162","5104003","2","3","500133","10131"
"163","5136002","2","3","500143","10136"
"164","5136004","2","3","500175","10136"
"165","5137002","2","3","501622","10137"
"166","5137005","2","3","500133","10137"
"167","5088005","2","3","501810","20048"
"168","5134007","2","3","500553","10134"
"169","5108002","2","3","501911","10135"
"170","5110005","2","3","501931","10138"
"171","5111005","2","3","500013","10139"
"172","5090002","2","3","501541","20049"
"173","1013801","1","2","0","10138101"
"174","5114000","2","3","500016","10141"
"175","5114003","2","3","501952","10141"
"180","5140002","2","3","502224","10140"
"181","5092001","2","3","501031","20050"
"182","5092004","2","3","501551","20050"
"183","5142001","2","3","501683","10142"
"184","5116004","2","3","500837","10143"
"185","5118002","2","3","500133","10145"
"186","5118003","2","3","500810","10145"
"187","5118007","2","3","500133","10145"
"188","5094001","2","3","501593","20051"
"189","5096002","2","3","501613","20052"
"1014601","5146001","2","3","502283","10146"
"1014901","5122000","2","3","502003","10149"
"1014902","5122002","2","3","502015","10149"
"1015101","5124003","2","3","501614","10151"
"2005301","5098000","2","3","501031","20053"
"2005401","5100003","2","3","500837","20054"
