0b4100418668da818cb780806bb17be2b02580edf9724504f3e043dd8d5462e3,2ecb6fce627522bcc793debc21da7638825b977b38add13551208f1f0ec4b3a4,f5ba2204c83395f10ec68b4712c8992a0ff5c97c5b987a7f959f1fed1cce5ad9,6c1a05180884cb6a26cbe6329c143978a7bdc08c36b73f14c05c5bcdaf31784c,edcd63f04869d49d273a61a7eafd2ba5a9a22a5b7a86ccaae7e662316f6d168f
"以這雙手來守護！","2021/12/09 12:00:00","2099/08/01 14:59:59","104701","75"
"ＮＯ！","2015/04/01 14:00:00","2099/08/01 14:59:59","104801","54"
"抱歉呦♡","2015/04/01 14:00:00","2099/08/01 14:59:59","104901","55"
"快振作！！","2015/04/01 14:00:00","2099/08/01 14:59:59","105001","56"
"做實驗做實驗……♪","2021/12/09 12:00:00","2099/08/01 14:59:59","105101","76"
"呸呸！","2021/12/09 12:00:00","2099/08/01 14:59:59","105201","77"
"給我等一下！！","2015/04/01 14:00:00","2099/08/01 14:59:59","105301","57"
"真是沒辦法呀","2021/12/09 12:00:00","2099/08/01 14:59:59","105401","78"
"辛苦了！","2021/12/09 12:00:00","2099/08/01 14:59:59","105501","58"
"不用顧慮啦","2021/12/09 12:00:00","2099/08/01 14:59:59","105601","79"
"嗨！！","2015/04/01 14:00:00","2099/08/01 14:59:59","105801","26"
"幹的好","2015/04/01 14:00:00","2099/08/01 14:59:59","105901","27"
"給我記住","2015/04/01 14:00:00","2099/08/01 14:59:59","106001","28"
"哈～哈哈哈！","2021/12/09 12:00:00","2099/08/01 14:59:59","106101","80"
"請多指教囉。","2021/12/09 12:00:00","2099/08/01 14:59:59","106401","81"
"打架時間到了！","2021/12/09 12:00:00","2099/08/01 14:59:59","106501","82"
"不管那麼多了！","2021/12/09 12:00:00","2099/08/01 14:59:59","106601","83"
"答對了～♪","2021/12/09 12:00:00","2099/08/01 14:59:59","106701","84"
"歡迎你！","2021/12/09 12:00:00","2099/08/01 14:59:59","106801","85"
"我模仿看看","2021/12/09 12:00:00","2099/08/01 14:59:59","107001","86"
"來盡情享受吧","2021/12/09 12:00:00","2099/08/01 14:59:59","107101","87"
"真令人沮喪──","2021/12/09 12:00:00","2099/08/01 14:59:59","110801","88"
"好喜歡！","2021/12/09 12:00:00","2099/08/01 14:59:59","110901","89"
"非常有趣","2021/12/09 12:00:00","2099/08/01 14:59:59","111001","90"
"OK唷！","2023/01/20 16:00:00","2099/08/01 14:59:59","111101","2"
"嗨呵～！","2023/01/20 16:00:00","2099/08/01 14:59:59","111201","3"
"謝謝♪","2023/01/20 16:00:00","2099/08/01 14:59:59","111301","4"
"最～喜歡了！","2023/01/20 16:00:00","2099/08/01 14:59:59","111401","5"
"好興奮喔","2023/01/20 16:00:00","2099/08/01 14:59:59","111501","6"
"你也一起來★","2023/01/20 16:00:00","2099/08/01 14:59:59","111601","7"
"不賴嘛","2023/01/20 16:00:00","2099/08/01 14:59:59","111701","8"
"呼嚕呼嚕……","2023/01/20 16:00:00","2099/08/01 14:59:59","111801","9"
"加油！加油！","2023/01/20 16:00:00","2099/08/01 14:59:59","111901","10"
"嗨起來～♪","2023/01/20 16:00:00","2099/08/01 14:59:59","112001","11"
"呀～！","2023/01/20 16:00:00","2099/08/01 14:59:59","112101","12"
"討厭喵～！","2023/01/20 16:00:00","2099/08/01 14:59:59","112201","13"
"咦咦！？","2023/01/20 16:00:00","2099/08/01 14:59:59","112301","14"
"心跳加速","2023/01/20 16:00:00","2099/08/01 14:59:59","112401","15"
"怎、怎麼回事！","2023/01/20 16:00:00","2099/08/01 14:59:59","112501","16"
"這很簡單啊","2023/01/20 16:00:00","2099/08/01 14:59:59","112601","17"
"真幸福♪","2023/01/20 16:00:00","2099/08/01 14:59:59","112701","18"
"各位同志們！","2023/01/20 16:00:00","2099/08/01 14:59:59","112801","19"
"很順利呢～♪","2023/01/20 16:00:00","2099/08/01 14:59:59","112901","20"
"好棒棒♪","2023/01/20 16:00:00","2099/08/01 14:59:59","113001","21"
"我不會輸的/才沒有","2023/01/20 16:00:00","2099/08/01 14:59:59","113101","22"
"最高效率","2023/01/20 16:00:00","2099/08/01 14:59:59","113201","23"
"這是祕密","2023/01/20 16:00:00","2099/08/01 14:59:59","113301","24"
"登台！","2023/01/20 16:00:00","2099/08/01 14:59:59","113401","25"
"加油──！！","2025/07/10 10:00:00","2099/08/01 14:59:59","113501","1"
