b118c24ea54b781918118f87677854a4694531fe01fd78b2b9f8342011211693,a93b732099a01d692ff3765ee375fcd94b0e43847ff9a094caf463b8b2084883,4f99f0e0a67633ab165f1dac9acb2b3f0422b7c62924d6853c5e8e060ef12d94,9f8c3b3d223ddc4b42f1a53af35f3bb0db5764237a5240c50a44c2ef08d8a80f,6e8ca464e0114dbe86a392355c114dc3d2073de11bd256527e7da7557691e8e9,5738590ec4a58e6571f4a92b751df8ae0c8a5e1ce8846631e12e03b6603cc36b,66394926f556102217e8b3fd97ab87c84f78373013e58b6129625d7109aa2394,e9c105ea3625f3f51343b8c2815c682b22ebecb4e9eb950b4f72ab19927ad8ee,e7f6ae84781305167f88e842385bc1487ab6ae0559914d5d003dbd88f4d4d387,e2bacf72593d8b4642a4b806741759f6c71d84d7c1d82393834df9f30ded4dec,51ad0a3828c29244c050795f3f51c21debde8ac644331f8d556a26abfa091018,7fd6bb62cf0bd1687a8063c1ffd7bd6660747452f5f851b8a2a8e8d4cb0759eb,622b2850f980fb69e0575c20cbe109609aa9485827a6f6d04c9b879de5b04271,88cbe2350c6c5c189c451db225fedc618fb8eb4bd20a61f733020232c53f3065
"降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。","0.018","18","0","0","18","118","105","1.5","130","95","1","2","113201"
"以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。","0.021","19","0","1","19","119","110","2.5","160","108","0","2","117001"
"引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。","0.036","20","1","0","20","120","110","2.5","255","105","0","1","113501"
"擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。","0.02","21","1","0","21","121","105","2.5","350","105","0","3","113401"
"在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。","0.018","22","0","0","22","122","110","2.5","130","105","1","1","110101"
"泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。","0.03","23","0","1","23","123","105","3.5","160","111","0","3","110001"
"讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。","0.027","24","0","0","24","124","110","1.5","130","103","1","1","117201"
"美聲響徹海洋的海岸邊歌姬。在守護頌歌與精靈加護下，保護自己不受障礙物傷害。","0.02","25","0","1","25","125","105","3.5","160","108","0","2","117301"
"在夏天依然彆扭，風平浪靜夕陽下的裁縫師。以遍布的魔法之線，奪走其他跑者的自由。","0.04","26","1","0","26","126","110","2.5","350","105","0","3","117401"
"非常適合向日葵的海邊姐姐。是祕密結社的一員，卓越的身體能力是其最強的武器。","0.009","27","1","0","27","127","110","3.5","350","105","0","1","117101"
"在海岸邊的乖巧小兔兔女孩。小兔子之力全開，在路線中活蹦亂跳。","0.022","28","1","0","28","128","120","3.5","255","105","0","1","122901"
"天真爛漫的夏色淘氣女孩。就算在沙灘也做好了要惡作劇的萬全準備！將在競賽中引起大騷動！？","0.028","29","0","0","29","129","110","2.5","130","105","1","3","122801"
"即使在海邊也很認真的夏色優等生。解放提高的魔力，在一瞬間甩開其他跑者。","0.023","30","0","1","30","130","105","3.5","130","108","0","2","122701"
