dc2cf6607773ab865e54a9a0849ebd57e7f97bff61885d85bc6d4ec109bad0a2,b097dc1d3adb3c95362d4e88768637206796b8816d2dca63c4926c7b5df10df7,343a222647e02a59885d6acf4340de2fbafdf4a20e448f0f6bc5ac0ab0adafcb,e400b9e669d6a23e3d6e5ea287a830b4b41e82b13d33d2db671500830829e379,bb96ac412d3a9ead4fe480dd4fd99271b756fe81482a1c3d6664c8454bdfc017,e8ed96a7dc24a0959f4ac9388ff70784f70163826e8f94dfb7a4839920738336,6c6012043095fc507ef69304a0ce931aa3561d17df9f5063380c99aa72c1daf3,6b517bb56bb87f5f2cec024ba1f42d4317b38ee0d1cf4b4fc51724da430ad6e0
"3","7311","2","1","104","4","200","5"
"3","7411","2","1","103","4","1","5"
"3","7511","2","1","102","4","1","5"
"3","7611","2","1","2","4","250","5"
"3","7612","2","1","4","4","250","5"
"3","7711","2","1","104","4","200","5"
"3","7811","2","1","101","4","2","5"
"3","7911","2","1","100","4","2","5"
"3","8011","2","1","104","4","200","5"
"3","8111","2","1","6","4","150","5"
"3","8112","2","1","7","4","150","5"
"3","8211","2","1","101","4","2","5"
"3","8311","2","1","2","4","250","5"
"3","8312","2","1","4","4","250","5"
"3","8411","2","1","103","4","1","5"
"3","8511","2","1","104","4","200","5"
"3","8611","2","1","100","4","2","5"
"3","8711","2","1","102","4","1","5"
"3","8811","2","1","103","4","1","5"
"3","8911","2","1","104","4","200","5"
"3","9011","2","1","102","4","1","5"
"3","9111","2","1","104","4","200","5"
"3","9211","2","1","2","4","250","5"
"3","9212","2","1","4","4","250","5"
"3","9311","2","1","104","4","200","5"
"3","9411","2","1","102","4","1","5"
"3","9511","2","1","103","4","1","5"
"3","9611","2","1","104","4","200","5"
"3","9711","2","1","104","4","200","5"
"3","9811","2","1","101","4","2","5"
"3","9911","2","1","104","4","200","5"
"3","10011","2","1","102","4","1","5"
"3","10111","2","1","103","4","1","5"
"3","10211","2","1","104","4","200","5"
"3","10311","2","1","2","4","250","5"
"3","10312","2","1","4","4","250","5"
"3","10411","2","1","100","4","2","5"
"3","10511","2","1","104","4","200","5"
"3","10611","2","1","103","4","1","5"
"3","10711","2","1","104","4","200","5"
"3","10811","2","1","103","4","1","5"
"3","10911","2","1","100","4","2","5"
"3","11011","2","1","104","4","200","5"
"3","11111","2","1","101","4","2","5"
"3","11211","2","1","104","4","200","5"
"3","11311","2","1","102","4","1","5"
"3","11411","2","1","104","4","200","5"
"3","11511","2","1","103","4","1","5"
"3","11611","2","1","104","4","200","5"
"3","11711","2","1","102","4","1","5"
"3","11811","2","1","104","4","200","5"
"3","11911","2","1","6","4","150","5"
"3","11912","2","1","7","4","150","5"
"3","12011","2","1","104","4","200","5"
"3","12111","2","1","102","4","1","5"
"3","12211","2","1","103","4","1","5"
"3","12311","2","1","100","4","2","5"
"3","12411","2","1","102","4","1","5"
"3","12511","2","1","104","4","200","5"
"3","12611","2","1","101","4","2","5"
