77764d00577c7c8e09b2291c0a891db8675d57e000433859d8f3619e7290035c,7dde82b8e470c420bb438c08b5c5644d83b7a4f17568c4a9797a6efd5ed60376,192e10665820666e1cb2cc1e7b65c6874e4e191fa5f136b7bdca06f97c5f8e67,9bb7138835ce42a596d86702f66ff05f051dea2aad6dbebdf3041506ac6af5a8,c7860c8f922e360bc1fa6265a4391b11cebf6d8525cf41c196f54746fc66156b,0078dc0613d7b61213d36a443e4a26a785cda9041bff78a14ffa4c8293b1878a,d634aba226c12dbf3827d7b0651f6f6e302a5e3d5f91ce00bb9995a0025151db,cea56815fa9b251786149731bf02d9ff1b3f776230db5eef3385c715ac6c8784,089895d3cc3d0576c4f2ddfdacff0779f4076dbc2d9c60ad7f2401ecab419a5a,023d1d12a8da0eec350ce8ac27c7bc0f2d8d0ad6b60c785be7076be85b9797ba,393f3f8468e0a9e1419695340311e1fad1f1d4c472f9f74ea8713e85febeb40a
"6","0","1007002","1","0","113511","大人游泳時濺起的水花，\n一定能製成比任何秘藥\n都更有效的靈藥！","11","0","0","1007002034"
"","","1007002","","","0","","91","","","1007002035"
"1","","1007002","","","113511","svd_idle_memory","3","","0.2","1007002036"
"1","","1007002","","","113411","svd_talk_worry","3","","0.2","1007002037"
"0","","1007002","","","vo_svd","vo_svd_0224","21","0","","1007002038"
"6","0","1007002","1","0","113411","惠理子……\n那樣好像有點太過火了……","11","0","0","1007002039"
"","","1007002","","","0","","91","","","1007002040"
"1","","1007002","","","113411","svd_idle_worry","3","","0.2","1007002041"
"1","","1007002","","","113511","svd_talk_thinking","3","","0.2","1007002042"
"0","","1007002","","","vo_svd","vo_svd_0225","21","0","","1007002043"
"6","0","1007002","1","0","113511","看來靜流是不需要呢。\n那我就一人獨吞吧……","11","0","0","1007002044"
"","","1007002","","","0","","91","","","1007002045"
"1","","1007002","","","113511","svd_idle_thinking","3","","0.2","1007002046"
"0","","1007002","","0","113411","4","12","","0","1007002047"
"0","","1007002","","","113411","svd_surprise","3","","0.2","1007002048"
"","","1007002","","","1","","93","","","1007002049"
"1","","1007002","","","113411","svd_talk_joy2","3","","0.2","1007002050"
"0","","1007002","","","vo_svd","vo_svd_0226","21","0","","1007002051"
"8","0","1007002","1","0","113411","我想要！\n想用漂亮的小瓶子裝起來！","11","0","0","1007002052"
"","","1007002","","","0","","91","","","1007002053"
"1","","1007002","","","113411","svd_idle_joy1","3","","0.2","1007002054"
"","","1007002","","","","","102","","","1007002055"
"","","1007002","","","1","","93","","","1007002056"
"1","","1007002","","0","113511","8","12","","0","1007002057"
"1","","1007002","","","113511","svd_talk_memory","3","","0.2","1007002058"
"","","1007002","","","3","","93","","","1007002059"
"1","","1007002","","","113511","svd_idle_memory","3","","0.2","1007002060"
"1","","1007002","","0","113411","1","12","","0","1007002061"
"1","1","1007002","","","113411","svd_talk_worry","3","","0.2","1007002062"
"","","1007002","","","3","","93","","","1007002063"
"1","1","1007002","","","113411","svd_idle_worry","3","","0.2","1007002064"
"1","","1007002","","0","113511","11","12","","0","1007002065"
"0","1","1007002","","0.2","113511","svd_talk_guts2","3","svd_idle_guts2","0.2","1007002066"
"","","1007002","","","3","","93","","","1007002067"
"1","","1007002","","","113511","svd_idle_guts2","3","","0.2","1007002068"
"1","","1007002","","0","113411","7","12","","0","1007002069"
"1","1","1007002","","","113411","svd_talk_joy1","3","","0.2","1007002070"
"","","1007002","","","3","","93","","","1007002071"
"1","1","1007002","","","113411","svd_idle_joy1","3","","0.2","1007002072"
"","","1007002","","","1007002057","","101","","","1007002073"
"1","0","1007002","","0","333","1","6","1","1","1007002074"
"","","1007002","","","113511","1","4","","","1007002075"
"1","","1007002","","","113511","svd_run","3","","0.2","1007002076"
"-300","0","1007002","","","113511","-750","2","0.8","","1007002077"
"","","1007002","","","113411","0","4","","","1007002078"
"1","","1007002","","","113411","svd_run","3","","0.2","1007002079"
"-300","0","1007002","","","113411","750","2","0.8","","1007002080"
"","","1007002","","","0.6","","93","","","1007002081"
"1","0","1007002","","0","113511","1","6","1","0.2","1007002082"
"1","0","1007002","","0","113411","1","6","1","0.2","1007002083"
"","","1007002","","","0","","91","","","1007002084"
"100","-300","1007003","svd_idle_normal","0","1","113511","5","-750","2.08","1007003001"
"100","-300","1007003","svd_idle_normal","1","2","113411","5","650","2.08","1007003002"
"0","0","1007003","svd_white_loop","0","3","333","5","0","1","1007003003"
"1","0","1007003","","0","333","1","6","1","0","1007003004"
"0","","1007003","","","113511","2","7","0","","1007003005"
"-300","0","1007003","","","113511","-750","2","0.5","","1007003006"
"1","0","1007003","","0","113411","1","6","1","0","1007003007"
"-140","0.8","1007003","","","6","16","31","-40","0","1007003008"
"0","","1007003","","","16","2","34","0","","1007003009"
"","","1007003","","","1","","93","","","1007003010"
"1","0.4","1007003","","0","333","1","6","1","0.8","1007003011"
"0","1","1007003","","0","113511","svd_idle_see_sad_pre","3","svd_idle_see_sad","0.2","1007003012"
"-300","0","1007003","","","113511","-600","2","1.1","","1007003013"
"","","1007003","","","1","","93","","","1007003014"
"","","1007003","","","16","1","32","","","1007003015"
"","","1007003","","","0","","91","","","1007003016"
"260","80","1007003","","","113511","240","94","0","","1007003017"
"","","1007003","","","16","0","32","","","1007003018"
"1","","1007003","","0","113511","17","12","","0","1007003019"
"1","","1007003","","","113511","svd_walk_sad","3","","0.2","1007003020"
"2","","1007003","","","113511","0","7","0","","1007003021"
"-300","0","1007003","","","113511","-250","2","2.4","","1007003022"
"","","1007003","","","2.4","","93","","","1007003023"
"1","","1007003","","","113511","svd_idle_sad","3","","0.2","1007003024"
"","","1007003","","","0.5","","93","","","1007003025"
"","","1007003","","","0","","91","","","1007003026"
"1","","1007003","","","113511","svd_talk_sad","3","","0.2","1007003027"
"0","","1007003","","","vo_svd","vo_svd_0321","21","0","","1007003028"
"7","0","1007003","1","0","113511","本來想送弟弟一隻\n巨大的獨角仙\n當作禮物的……","11","0","0","1007003029"
"","","1007003","","","0","","91","","","1007003030"
"1","","1007003","","","113511","svd_idle_sad","3","","0.2","1007003031"
"1","","1007003","","","113411","svd_walk","3","","0.2","1007003032"
"-300","0","1007003","","","113411","250","2","2","","1007003033"
"1","1","1007003","","0","113411","1","6","1","0.4","1007003034"
"","","1007003","","","2","","93","","","1007003035"
"1","","1007003","","","113411","svd_idle_normal","3","","0.2","1007003036"
"","","1007003","","","0.4","","93","","","1007003037"
"1","","1007003","","","113411","svd_talk_thinking","3","","0.2","1007003038"
"0","","1007003","","","vo_svd","vo_svd_0322","21","0","","1007003039"
"6","0","1007003","1","0","113411","確實是有些可惜。\n但也因此看到了\n更有價值的事物呢。","11","0","0","1007003040"
"","","1007003","","","0","","91","","","1007003041"
"1","","1007003","","","113411","svd_idle_thinking","3","","0.2","1007003042"
"1","","1007003","","","113511","svd_talk_joy1","3","","0.2","1007003043"
"0","","1007003","","","vo_svd","vo_svd_0323","21","0","","1007003044"
"6","0","1007003","1","0","113511","溫柔的弟弟很迷人唷！\n下次再挑戰\n抓獨角仙吧！","11","0","0","1007003045"
"","","1007003","","","0","","91","","","1007003046"
"1","","1007003","","","113511","svd_talk_sad","3","","0.2","1007003047"
"0","","1007003","","","vo_svd","vo_svd_0324","21","0","","1007003048"
"6","0","1007003","1","0","113511","如果還是抓不到，\n到時候就……","11","0","0","1007003049"
"","","1007003","","","0","","91","","","1007003050"
"1","","1007003","","","113511","svd_idle_sad","3","","0.2","1007003051"
"1","","1007003","","","113411","svd_talk_sad","3","","0.2","1007003052"
"0","","1007003","","","vo_svd","vo_svd_0325","21","0","","1007003053"
"6","0","1007003","1","0","113411","如果還有下次……就由\n我們來假扮獨角仙吧。\n我會扮演得惟妙惟肖。","11","0","0","1007003054"
"","","1007003","","","5","","93","","","1007003055"
"1","","1007003","","","113411","svd_talk_wish2","3","","0.2","1007003056"
"","","1007003","","","1007003054","","91","","","1007003057"
"1","","1007003","","","113411","svd_idle_wish2","3","","0.2","1007003058"
"","","1007003","","","","","102","","","1007003059"
"","","1007003","","","1","","93","","","1007003060"
"1","","1007003","","0","113511","12","12","","0","1007003061"
"0","1","1007003","","0.2","113511","svd_cmn_think","3","svd_idle_normal","0.2","1007003062"
"","","1007003","","","3","","93","","","1007003063"
"1","","1007003","","","113511","svd_idle_normal","3","","0.2","1007003064"
"1","","1007003","","0","113411","10","12","","0","1007003065"
"1","1","1007003","","","113411","svd_talk_normal","3","","0.2","1007003066"
"","","1007003","","","3","","93","","","1007003067"
"1","1","1007003","","","113411","svd_idle_normal","3","","0.2","1007003068"
"1","","1007003","","0","113511","1","12","","0","1007003069"
"1","","1007003","","","113511","svd_talk_sad","3","","0.2","1007003070"
"","","1007003","","","3","","93","","","1007003071"
"1","","1007003","","","113511","svd_idle_sad","3","","0.2","1007003072"
"1","","1007003","","0","113411","7","12","","0","1007003073"
"1","1","1007003","","","113411","svd_talk_wish","3","","0.2","1007003074"
"","","1007003","","","3","","93","","","1007003075"
"1","1","1007003","","","113411","svd_idle_wish","3","","0.2","1007003076"
"","","1007003","","","1007003061","","101","","","1007003077"
"1","0","1007003","","0","333","1","6","1","1","1007003078"
"","","1007003","","","113511","1","4","","","1007003079"
"1","","1007003","","","113511","svd_run","3","","0.2","1007003080"
"-300","0","1007003","","","113511","-750","2","0.8","","1007003081"
"","","1007003","","","113411","0","4","","","1007003082"
"1","","1007003","","","113411","svd_run","3","","0.2","1007003083"
"-300","0","1007003","","","113411","750","2","0.8","","1007003084"
"","","1007003","","","0.6","","93","","","1007003085"
"1","0","1007003","","0","113511","1","6","1","0.2","1007003086"
"1","0","1007003","","0","113411","1","6","1","0.2","1007003087"
"","","1007003","","","0","","91","","","1007003088"
"100","-560","1007004","svd_idle_normal","0","1","113511","5","-250","2.08","1007004001"
"100","-560","1007004","svd_idle_normal","1","2","113411","5","250","2.08","1007004002"
"0","0","1007004","svd_white_loop","0","3","333","5","0","1","1007004003"
"1","0","1007004","","0","333","1","6","1","0","1007004004"
"1","0","1007004","","0","113511","1","6","1","0","1007004005"
"1","0","1007004","","0","113411","1","6","1","0","1007004006"
"","","1007004","","","1","","93","","","1007004007"
"1","0.4","1007004","","0","333","1","6","1","0.8","1007004008"
"0","1","1007004","","0.2","113511","svd_jump1","3","svd_idle_normal","0.2","1007004009"
"0","1","1007004","","0.2","113411","svd_jump1","3","svd_idle_normal","0.2","1007004010"
"","","1007004","","","0.3","","93","","","1007004011"
"-300","0","1007004","","","113511","-250","2","0.75","","1007004012"
"-300","0","1007004","","","113411","250","2","0.75","","1007004013"
"1","1","1007004","","0","113511","1","6","1","0.4","1007004014"
"1","1","1007004","","0","113411","1","6","1","0.4","1007004015"
"","","1007004","","","1.2","","93","","","1007004016"
"","","1007004","","","0","","91","","","1007004017"
"1","","1007004","","","113411","svd_idle_normal","3","","0.2","1007004018"
"1","","1007004","","","113511","svd_talk_joy1","3","","0.2","1007004019"
"0","","1007004","","","vo_svd","vo_svd_0421","21","0","","1007004020"
"6","0","1007004","1","0","113511","月光學院的大家\n都是好孩子呢！\n校園生活也感覺很有趣──","11","0","0","1007004021"
"","","1007004","","","0","","91","","","1007004022"
"1","","1007004","","","113511","svd_idle_joy1","3","","0.2","1007004023"
"1","","1007004","","","113411","svd_talk_thinking","3","","0.2","1007004024"
"0","","1007004","","","vo_svd","vo_svd_0422","21","0","","1007004025"
"6","0","1007004","1","0","113411","有小伊緒這名\n優秀的老師教導，\n有點讓人羨慕呢……","11","0","0","1007004026"
"","","1007004","","","0","","91","","","1007004027"
"1","","1007004","","","113411","svd_idle_thinking","3","","0.2","1007004028"
"1","","1007004","","","113511","svd_talk_normal","3","","0.2","1007004029"
"0","","1007004","","","vo_svd","vo_svd_0423","21","0","","1007004030"
"7","0","1007004","1","0","113511","欸欸，我們兩個……\n也進去就讀怎麼樣？","11","0","0","1007004031"
"","","1007004","","","0","","91","","","1007004032"
"1","","1007004","","","113511","svd_idle_joy1","3","","0.2","1007004033"
"0","1","1007004","","0.2","113411","svd_surprise","3","svd_talk_joy1","0.2","1007004034"
"0","","1007004","","","vo_svd","vo_svd_0424","21","0","","1007004035"
"6","0","1007004","1","0","113411","……！真是個好主意！\n那就快去拿\n入學申請書吧！","11","0","0","1007004036"
"","","1007004","","","0","","91","","","1007004037"
"1","","1007004","","","113411","svd_idle_joy1","3","","0.2","1007004038"
"","","1007004","","","","","102","","","1007004039"
"","","1007004","","","1","","93","","","1007004040"
"1","","1007004","","0","113511","7","12","","0","1007004041"
"1","","1007004","","","113511","svd_talk_normal","3","","0.2","1007004042"
"","","1007004","","","3","","93","","","1007004043"
"1","","1007004","","","113511","svd_idle_normal","3","","0.2","1007004044"
"1","","1007004","","0","113411","6","12","","0","1007004045"
"1","1","1007004","","","113411","svd_talk_joy1","3","","0.2","1007004046"
"","","1007004","","","3","","93","","","1007004047"
"1","1","1007004","","","113411","svd_idle_joy1","3","","0.2","1007004048"
"1","","1007004","","0","113511","10","12","","0","1007004049"
"1","","1007004","","","113511","svd_talk_joy2","3","","0.2","1007004050"
"","","1007004","","","3","","93","","","1007004051"
"1","","1007004","","","113511","svd_idle_joy2","3","","0.2","1007004052"
"1","","1007004","","0","113411","10","12","","0","1007004053"
"0","1","1007004","","0.2","113411","svd_cmn_smile3","3","svd_idle_joy1","0.2","1007004054"
"","","1007004","","","3","","93","","","1007004055"
"1","1","1007004","","","113411","svd_idle_joy1","3","","0.2","1007004056"
"","","1007004","","","1007004041","","101","","","1007004057"
"1","0","1007004","","0","333","1","6","1","1","1007004058"
"","","1007004","","","113511","1","4","","","1007004059"
"1","","1007004","","","113511","svd_run","3","","0.2","1007004060"
"-300","0","1007004","","","113511","-750","2","0.8","","1007004061"
"","","1007004","","","113411","0","4","","","1007004062"
"1","","1007004","","","113411","svd_run","3","","0.2","1007004063"
"-300","0","1007004","","","113411","750","2","0.8","","1007004064"
"","","1007004","","","0.6","","93","","","1007004065"
"1","0","1007004","","0","113511","1","6","1","0.2","1007004066"
"1","0","1007004","","0","113411","1","6","1","0.2","1007004067"
"","","1007004","","","0","","91","","","1007004068"
"110","-300","1007005","svd_idle_normal","0","1","113511","5","-700","2.08","1007005001"
"100","-300","1007005","svd_idle_normal","0","2","113411","5","-550","2.08","1007005002"
"0","0","1007005","svd_white_loop","0","3","333","5","0","1","1007005003"
"1","0","1007005","","0","333","1","6","1","0","1007005004"
"-630","1.3","1007005","","","3","13","31","60","0","1007005005"
"1","0","1007005","","0","113511","1","6","1","0","1007005006"
"1","0","1007005","","0","113411","1","6","1","0","1007005007"
"","","1007005","","","1","","93","","","1007005008"
"1","0.4","1007005","","0","333","1","6","1","0.8","1007005009"
"1","","1007005","","","113511","svd_walk_glad","3","","0.2","1007005010"
"-300","0","1007005","","","113511","-250","2","2","","1007005011"
"1","","1007005","","","113411","svd_walk_glad2","3","","0.2","1007005012"
"-300","0","1007005","","","113411","-50","2","2.2","","1007005013"
"1","1","1007005","","0","113511","1","6","1","0.4","1007005014"
"1","1","1007005","","0","113411","1","6","1","0.4","1007005015"
"","","1007005","","","13","1","32","","","1007005016"
"60","0","1007005","","","13","-180","33","2","","1007005017"
"","","1007005","","","2","","93","","","1007005018"
"","","1007005","","","13","0","32","","","1007005019"
"1","","1007005","","","113511","svd_idle_normal","3","","0.2","1007005020"
"","","1007005","","","0.2","","93","","","1007005021"
"","","1007005","","","113411","1","4","","","1007005022"
"1","","1007005","","","113411","svd_idle_normal","3","","0.2","1007005023"
"","","1007005","","","0.5","","93","","","1007005024"
"0.5","","1007005","","0","113511","10","12","","0","1007005025"
"0.5","","1007005","","0","113411","10","12","","0","1007005026"
"0","1","1007005","","0.2","113511","svd_wink","3","svd_idle_normal","0.2","1007005027"
"0","1","1007005","","0.2","113411","svd_wink","3","svd_idle_normal","0.2","1007005028"
"","","1007005","","","1.5","","93","","","1007005029"
"","","1007005","","","113411","0","4","","","1007005030"
"1","","1007005","","","113411","svd_walk","3","","0.2","1007005031"
"-300","0","1007005","","","113411","250","2","1","","1007005032"
"","","1007005","","","1","","93","","","1007005033"
"0","1","1007005","","0","113411","svd_idle_normal","3","svd_idle_normal","0.4","1007005034"
"","","1007005","","","0","","93","","","1007005035"
"","","1007005","","","113411","1","4","","","1007005036"
"","","1007005","","","0.6","","93","","","1007005037"
"1","","1007005","","","113511","svd_talk_joy1","3","","0.2","1007005038"
"0","","1007005","","","vo_svd","vo_svd_0521","21","0","","1007005039"
"5","0","1007005","1","0","113511","和弟弟在平靜的島上生活……\n這裡真的是天堂呢。","11","0","0","1007005040"
"","","1007005","","","0","","91","","","1007005041"
"1","","1007005","","","113511","svd_idle_memory","3","","0.2","1007005042"
"1","","1007005","","","113411","svd_talk_memory","3","","0.2","1007005043"
"0","","1007005","","","vo_svd","vo_svd_0522","21","0","","1007005044"
"6","0","1007005","1","0","113411","如果這都不算幸福，\n還有什麼能\n稱得上是幸福……","11","0","0","1007005045"
"","","1007005","","","0","","91","","","1007005046"
"1","","1007005","","","113411","svd_idle_memory","3","","0.2","1007005047"
"1","","1007005","","","113511","svd_talk_memory","3","","0.2","1007005048"
"0","","1007005","","","vo_svd","vo_svd_0523","21","0","","1007005049"
"6","0","1007005","1","0","113511","從早到晚\n都能和弟弟\n待在一起……","11","0","0","1007005050"
"","","1007005","","","0","","91","","","1007005051"
"1","","1007005","","","113511","svd_idle_memory","3","","0.2","1007005052"
"1","","1007005","","","113411","svd_talk_memory","3","","0.2","1007005053"
"0","","1007005","","","vo_svd","vo_svd_0524","21","0","","1007005054"
"4","0","1007005","1","0","113411","無論是剛睡醒的可愛一面\n還是祥和的睡臉\n都能看個夠……","11","0","0","1007005055"
"","","1007005","","","0","","91","","","1007005056"
"1","","1007005","","","113411","svd_idle_memory","3","","0.2","1007005057"
"1","","1007005","","","113511","svd_talk_joy2","3","","0.2","1007005058"
"0","","1007005","","","vo_svd","vo_svd_0525","21","0","","1007005059"
"8","0","1007005","1","0","113511","為了回報這份幸福之恩，\n我們來做一棟最棒的房子吧！\n惠理子！","11","0","0","1007005060"
"","","1007005","","","4","","93","","","1007005061"
"0","1","1007005","","0.2","113511","svd_talk_guts","3","svd_idle_guts","0.2","1007005062"
"","","1007005","","","1007005060","","91","","","1007005063"
"1","","1007005","","","113511","svd_idle_guts","3","","0.2","1007005064"
"0","1","1007005","","0.2","113411","svd_talk_guts2","3","svd_idle_guts2","0.2","1007005065"
"0","","1007005","","","vo_svd","vo_svd_0526","21","0","","1007005066"
"6","0","1007005","1","0","113411","那當然！","11","0","0","1007005067"
"","","1007005","","","0","","91","","","1007005068"
"","","1007005","","","","","102","","","1007005069"
"","","1007005","","","1","","93","","","1007005070"
"1","","1007005","","0","113511","9","12","","0","1007005071"
"1","","1007005","","","113511","svd_talk_memory","3","","0.2","1007005072"
"","","1007005","","","3","","93","","","1007005073"
"1","","1007005","","","113511","svd_idle_memory","3","","0.2","1007005074"
"1","","1007005","","0","113411","7","12","","0","1007005075"
