72625129ea11657994e8d11f16bdbd159e8a13eae70155dd769fe8fce144438d,b2ae4d7098119bfd4e36fc3255b69bcf664711e2b01247f9ab360ca2d969f5de,3dda1c71e5be1cf544b8e382147dff300fb1d06fff6fb53748f51a55f088110a,c9ac7843f52725fed3f178053f11fbcd56ef0510f6cbe998829836c34b3d8176,57c76ea00df9b8c79acfa73d85f54c5b074350f2ee579a14256750d329d25073
"100100604","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001006","boss_def_lower_limit"
"100100605","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001006","boss_magic_def_lower_limit"
"100100606","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001006","9"
"100100701","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001007","12"
"100100702","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001007","11"
"100100703","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001007","17"
"100100704","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001007","boss_def_lower_limit"
"100100705","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001007","boss_magic_def_lower_limit"
"100100706","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001007","9"
"100100801","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001008","12"
"100100802","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001008","11"
"100100803","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001008","17"
"100100804","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001008","boss_def_lower_limit"
"100100805","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001008","boss_magic_def_lower_limit"
"100100806","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001008","9"
"100100901","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001009","12"
"100100902","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001009","11"
"100100903","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001009","17"
"100100904","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001009","boss_def_lower_limit"
"100100905","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001009","boss_magic_def_lower_limit"
"100100906","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001009","9"
"100101001","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001010","12"
"100101002","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001010","11"
"100101003","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001010","17"
"100101004","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001010","boss_def_lower_limit"
"100101005","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001010","boss_magic_def_lower_limit"
"100101006","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001010","9"
"100101007","減少TP下降","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","81001010","boss_tp_down_cut"
"100101008","賦予火傷","戰鬥開始時，使全體角色火傷。","81001010","1"
"100101101","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001011","12"
"100101102","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001011","11"
"100101103","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001011","17"
"100101104","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001011","boss_def_lower_limit"
"100101105","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001011","boss_magic_def_lower_limit"
"100101106","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001011","9"
"100101201","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001012","12"
"100101202","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001012","11"
"100101203","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001012","17"
"100101204","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001012","boss_def_lower_limit"
"100101205","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001012","boss_magic_def_lower_limit"
"100101206","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001012","9"
"100101301","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001013","12"
"100101302","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001013","11"
"100101303","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001013","17"
"100101304","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001013","boss_def_lower_limit"
"100101305","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001013","boss_magic_def_lower_limit"
"100101306","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001013","9"
"100101401","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001014","12"
"100101402","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001014","11"
"100101403","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001014","17"
"100101404","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001014","boss_def_lower_limit"
"100101405","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001014","boss_magic_def_lower_limit"
"100101406","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001014","9"
"100101501","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001015","12"
"100101502","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001015","11"
"100101503","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001015","17"
"100101504","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001015","boss_def_lower_limit"
"100101505","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001015","boss_magic_def_lower_limit"
"100101506","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001015","9"
"100101601","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001016","12"
"100101602","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001016","11"
"100101603","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001016","17"
"100101604","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001016","boss_def_lower_limit"
"100101605","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001016","boss_magic_def_lower_limit"
"100101606","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001016","9"
"100101701","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001017","12"
"100101702","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001017","11"
"100101703","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001017","17"
"100101704","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001017","boss_def_lower_limit"
"100101705","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001017","boss_magic_def_lower_limit"
"100101706","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001017","9"
"100101801","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001018","12"
"100101802","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001018","11"
"100101803","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001018","17"
"100101804","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001018","boss_def_lower_limit"
"100101805","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001018","boss_magic_def_lower_limit"
"100101806","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001018","9"
"100101901","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001019","12"
"100101902","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001019","11"
"100101903","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001019","17"
"100101904","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001019","boss_def_lower_limit"
"100101905","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001019","boss_magic_def_lower_limit"
"100101906","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001019","9"
"100102001","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001020","12"
"100102002","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001020","11"
"100102003","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001020","17"
"100102004","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001020","boss_def_lower_limit"
"100102005","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001020","boss_magic_def_lower_limit"
"100102006","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001020","9"
"100102007","減少TP下降","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","81001020","boss_tp_down_cut"
"100102008","降低物理防禦力","戰鬥開始時，大幅度降低全體角色的物理防禦力。","81001020","7"
"100102101","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001021","12"
"100102102","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001021","11"
"100102103","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001021","17"
"100102104","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001021","boss_def_lower_limit"
"100102105","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001021","boss_magic_def_lower_limit"
"100102106","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001021","9"
"100102201","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001022","12"
"100102202","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001022","11"
"100102203","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001022","17"
"100102204","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001022","boss_def_lower_limit"
"100102205","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001022","boss_magic_def_lower_limit"
"100102206","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001022","9"
"100102301","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001023","12"
"100102302","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001023","11"
"100102303","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001023","17"
"100102304","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001023","boss_def_lower_limit"
"100102305","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001023","boss_magic_def_lower_limit"
"100102306","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001023","9"
"100102401","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001024","12"
"100102402","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001024","11"
"100102403","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001024","17"
"100102404","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001024","boss_def_lower_limit"
"100102405","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001024","boss_magic_def_lower_limit"
"100102406","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001024","9"
"100102501","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001025","12"
"100102502","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001025","11"
"100102503","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001025","17"
"100102504","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001025","boss_def_lower_limit"
"100102505","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001025","boss_magic_def_lower_limit"
"100102506","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001025","9"
"100102601","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001026","12"
"100102602","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001026","11"
"100102603","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001026","17"
"100102604","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001026","boss_def_lower_limit"
"100102605","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001026","boss_magic_def_lower_limit"
"100102606","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001026","9"
"100102701","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001027","12"
"100102702","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001027","11"
"100102703","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001027","17"
"100102704","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001027","boss_def_lower_limit"
"100102705","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001027","boss_magic_def_lower_limit"
"100102706","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001027","9"
"100102801","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001028","12"
"100102802","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001028","11"
"100102803","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001028","17"
"100102804","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001028","boss_def_lower_limit"
"100102805","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001028","boss_magic_def_lower_limit"
"100102806","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001028","9"
"100102901","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001029","12"
"100102902","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001029","11"
"100102903","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001029","17"
"100102904","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001029","boss_def_lower_limit"
"100102905","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001029","boss_magic_def_lower_limit"
"100102906","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001029","9"
"100103001","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001030","12"
"100103002","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001030","11"
"100103003","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001030","17"
"100103004","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001030","boss_def_lower_limit"
"100103005","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001030","boss_magic_def_lower_limit"
"100103006","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。","81001030","9"
"100103007","減少TP下降","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","81001030","boss_tp_down_cut"
"100103008","降低HP恢復量","戰鬥開始時，特大幅度減少全體角色的HP回復量。","81001030","2"
"100103101","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001031","12"
"100103102","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001031","11"
"100103103","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001031","17"
"100103104","提升物理防禦力（不可降低）","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001031","boss_def_lower_limit"
"100103105","提升魔法防禦力（不可降低）","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001031","boss_magic_def_lower_limit"
"100103106","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","81001031","9"
"100103201","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001032","12"
"100103202","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","81001032","11"
"100103203","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。","81001032","17"
"100103204","提升物理防禦力（不可降低）","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","81001032","boss_def_lower_limit"
"100103205","提升魔法防禦力（不可降低）","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","81001032","boss_magic_def_lower_limit"
"100103206","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。","81001032","9"
"100103301","火屬性獎勵特大幅度提升","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","81001033","12"
