045edfde31ad7df0e8725929c30c082d60327df9265129ace67a00af91d7c398,d8b6f0f49c935f5b80e696fc795337655c7670f603e053bd5c972d7aff93e4bf,7950e75b92c85104b674ada03f3a2d2510d64493dd14ba5c4b8ee5d9b513399b,ebe3debd956398f3643fadb9fd69ec6904c1c18dad670dcece97b5382b345069,18db5b63d540589bc4de5628c0452e236fab9eab921f128c0d00c0239f5b65c3,9d7d1cb0c86524c3865df96cc074e3abb4860f3692cfbc5540eb1dd1ea75095d,ee6d52cc3aa758c73d6b0351059e22092003e903f5da5b48d19d5adacbfca3cb,36566d04fc1ac6d71e646fcd927f1394d2b10af3d1329c6d222fd9eac324a6eb,c36d51669551a004f5ed7a06f013cfeebfa5b87152d8c5f9ab5d3cdae84cb105,aab904eba385a87a33f8704a3a8036b1591a2bf55e8c9576ab6e951dd8abcefd,00cfd856f445bbf8cac73ba729ee860f3d9dfb5209f6b33db06ac3f745c3f336,3e3767c527e235500070503ebaba5e5790f0e9f2e31c437156b192e8eda9aa9e,4a57c61b93b9ac24cbdbfd6c3b5ee2a0bdc06f6ef2aea5df86247461391aa563
"2","0","0","1","201250","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降20％。","降低自身的攻擊速度與敵人的攻擊力","127811","0","0","0","2222501","烏爾姆"
"3","20126002","20126001","1","201260","提升COST上限３0％、\n提升HP50％。","提升COST上限跟HP","130911","0","0","0","0","庫露露"
"2","0","0","1","201270","降低敵人的攻擊力跟攻擊速度15％。","降低對方的攻擊力跟攻擊速度","129611","0","0","0","2222701","安涅默涅"
"3","0","0","1","201280","戰鬥開始1.5秒內，\n使敵人的移動速度下降３5％。","降低對方的移動速度","129711","0","0","0","2222801","涅妃‧涅羅"
"2","0","20129001","1","201290","提升攻擊力50％、\n提升移動速度20％。","提升攻擊力跟移動速度","131311","0","0","0","2222901","莉莉"
"2","0","0","1","201300","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力50％。","提升攻擊速度跟攻擊力","127711","0","0","0","2223001","琳德"
"2","0","20131001","1","201310","提升最大HP50％。","提升最大HP","105811","0","0","0","0","貪吃佩可"
"2","0","0","1","201320","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","降低敵方的移動速度","106011","0","0","0","2223201","凱留"
"2","0","20133001","1","201330","提升COST上限100％。","提升COST上限","105911","0","0","0","0","可可蘿"
"3","0","0","1","201340","提升移動速度25％。","提升移動速度","106411","0","0","0","2223401","雪菲"
"2","0","20135001","1","201350","提升攻擊力50％、\n提升移動速度20％。","提升攻擊力跟移動速度","131311","0","0","0","2223501","莉莉"
"2","0","20136001","1","201360","提升最大HP50％、\n提升移動速度20％。","提升最大HP跟移動速度","131411","0","0","0","2223601","可璃亞"
"2","0","20137001","1","201370","提升COST上限50％、\n提升移動速度20％。","提升COST上限跟移動速度","131511","0","0","0","2223701","普蕾西亞"
"2","0","20138001","1","201380","提升攻擊力50％，\n戰鬥開始３秒內，提升攻擊速度25％。","提升攻擊力跟攻擊速度","126411","0","0","0","2223801","克蘿茜"
"3","0","0","1","201390","戰鬥開始３秒內，\n提升攻擊力３5％。","提升攻擊力","126511","0","0","0","2223901","萊拉耶爾"
"2","0","0","1","201400","戰鬥開始３秒內，提升攻擊速度20％，\n然後提升攻擊力25％。","提升攻擊速度跟攻擊力","127711","0","0","0","2224001","琳德"
"2","0","0","1","201410","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。","降低自身的攻擊速度與敵人的攻擊力","127811","0","0","0","2224101","烏爾姆"
"3","20142002","20142001","1","201420","提升COST上限50％、\n提升HP50％。","提升COST上限跟HP","130911","0","0","0","0","庫露露"
"2","0","0","1","201430","降低敵人的攻擊力跟攻擊速度20％。","降低對方的攻擊力跟攻擊速度","129611","0","0","0","2224301","安涅默涅"
"3","0","0","1","201440","戰鬥開始1.5秒內，\n使敵人的移動速度下降75％。","降低對方的移動速度","129711","0","0","0","2224401","涅妃‧涅羅"
"2","0","20145001","1","201450","提升最大HP100％。","提升最大HP","105811","0","0","0","0","貪吃佩可"
"2","0","20146001","1","201460","提升COST上限100％。","提升COST上限","105911","0","0","0","0","可可蘿"
"2","0","20147001","1","201470","提升攻擊力75％、\n提升移動速度３0％。","提升攻擊力跟移動速度","131311","0","0","0","2224701","莉莉"
"3","0","0","1","201480","戰鬥開始３秒內，\n提升攻擊力75％。","提升攻擊力","126511","0","0","0","2224801","萊拉耶爾"
"3","0","0","1","201490","戰鬥開始1.5秒內，\n使敵人的移動速度下降90％。","降低對方的移動速度","129711","0","0","0","2224901","涅妃‧涅羅"
"2","0","20150001","1","201500","提升最大HP200％。","提升最大HP","105811","0","0","0","0","貪吃佩可"
