c8144ae0641f3719f121cb421ead3ecc5e0a993685df1abfea9e6b9cbdbc2ba1,5103cb1de4b2cfad5489d8c9f1b133f3f8add1dfdf0a79b7361d15132257432f,a79400b98ce43ef73247a1a1f19695c8d2341f6e1de0ede5130fc301af34330b,67bac522b252991b122585b6f7526792a730dae2a28ea4fea37f5377c4937856,673ff79f296c5c2b99affbf50f7b5900b39e7f664a4558f52bd409dafcb55893,01476d909d2f072b869189232a03f3e3847c92f909061db4b7498cb4508f38c0,faf1b0ba6e30b3ba12e50217e668610948a2e6ab9a2a6a7513934988862cd9b3,6dce1b015e2f86c8e33c3e20b403cd69dd80682b867e86faf277f53d40487bf5,c6beac2df0c029d5e37e0c15af005bdcc1202e5d1afd0bf35df7111f226a5d5b,17c63fb48efc95bb193d5020d2af545ff7c88a45bceb8da8031570ac80885479,a142e31b8f938612026fac4e181329e698eefbe77783d991aa87261d0a788961,1e552ecda4e1fae28d30495174be866adf4759439c5dc243dbe873460be74446,6b825142989b2db306caa0ea6906181bba1dc939a9283cf2dd2c2d077027fe22,851c491dc798372511338137f69f0ce3a72a751ad7f69a0ef899232b73df6e1e,699187d537fabcadffc6b2b4efe822335534c6c2cc40856a422bc5664efed5b1,5410a727a908e484e6671b690b3e8d0ec2e9e5da7e1f072d9d39410d5e756cd9,24d2df120a8f3da5ef1d82df99b58bc339a1bad23a00992d428ab3195a0c23bb,e0a8eb6a7660ad6d976b87700a5d932c768961096e57f1ebf1d1b9d63f80bd75,8fddbdedcdefe312b1d6329856f3a4a36adc2b2f0388a8ce6702b26756190e26,013e61ffb39de601fd6bc1c4d5cdd5ea94dd3b81505a6002f34402a058b703bd
"32080","這個的名稱是什麼？","1","6","1018","40165","不死鳥之終結","6","6","6","0","32066","不死鳥終結","不死鳥之終結","19981","1","6","27515","1","「咲戀（★6）」的必殺技。"
"21512","這個的名稱是什麼？","1","6","1019","33678","伊麗莎白聯合攻擊","6","6","6","0","32879","伊麗莎聯合","伊麗莎白聯合攻擊","20234","2","6","40599","1","「真陽（★6）」的必殺技。"
"26143","這個的名稱是什麼？","1","6","1020","34253","宇宙藍色行星","6","6","6","0","34892","宇宙藍行星","宇宙藍色行星","23431","2","6","23449","1","「鏡華（★6）」的必殺技。"
"25171","這個的名稱是什麼？","1","6","1021","20840","噗吉旋風全壘打","6","6","6","0","22744","噗吉全壘打","噗吉旋風全壘打","22103","2","6","21513","1","「綾音（★6）」的必殺技。"
"21133","這個的名稱是什麼？","1","6","1022","38712","","6","6","6","0","26039","天樓霸斷劍","天樓霸斷劍","22825","1","6","27155","1","「矛依未」的必殺技。"
"32085","這個的名稱是什麼？","1","6","1023","22823","切嚕切嚕☆大滅絕","6","6","6","0","28357","嚕切大滅絕","切嚕切嚕☆大滅絕","22165","1","6","20999","1","「琪愛兒」的必殺技。"
"32218","這個的名稱是什麼？","1","6","1067","38626","安全撤離路線","6","6","6","0","36335","全撤離路線","安全撤離路線","20840","2","6","25764","2","登山時，改變預定行程後用以下山的路徑。"
"23376","這是什麼？","1","6","1068","29226","有金屬爪的鞋子","6","6","6","0","38795","金屬爪鞋子","有金屬爪的鞋子","37329","3","6","23660","2","請解釋「冰爪鞋套」"
"77","這是什麼？","1","1","1070","48","3000M以上的山","1","1","2","0","48","3000M","3000M以上的山","51","2","1","48","2","山岳分級，請解釋「高山」"
"30340","這是什麼？","1","6","1071","36317","進行中長距離的走路鍛鍊","6","6","6","0","38626","中長距離的","進行中長距離的走路鍛鍊","20013","2","6","38263","2","請解釋「遠足」"
"20013","這是什麼？","1","6","1075","22312","","6","6","6","0","27700","手臂在水中","手臂在水中","25163","3","6","33218","2","划水是運用□□□□□的合理動作來產生推進速度的技能，是游泳的重點技術環節"
"26827","這個的名稱是什麼？","1","6","1076","35199","","6","6","6","0","27915","冰上西洋棋","冰上西洋棋","20912","1","6","19978","2","冰壺是一種冬季運動，因其高戰略性，也被稱為□□□□□"
"27085","這個的名稱是什麼？","1","6","1077","36339","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","6","6","6","0","27161","撐桿跳標槍","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","25744","1","6","26751","2","男子十項全能第二天比賽順序為"
"25216","這個的名稱是什麼？","1","6","1078","30070","投技、固技、當身技","6","6","6","0","36523","固技當身技","投技、固技、當身技","22266","1","6","25216","2","柔道分為三種技巧"
"21521","這個的名稱是什麼？","1","6","1079","37341","","6","6","6","0","26041","逆時針方向","逆時針方向","36870","1","6","26178","2","棒球的打擊手將球擊出後，採□□□□□，從本壘起跑。"
"21729","這個的名稱是什麼？","1","6","1080","23432","","6","6","6","0","38272","十名守門員","十名守門員","21313","1","6","21517","2","在標準的足球比賽中，兩隊各派十一名球員參賽，裡面包括□□球員與一名□□□。"
"35215","這個的名稱是什麼？","1","6","1081","24615","","6","6","6","0","29359","技術性犯規","技術性犯規","25216","2","6","34899","2","籃球犯規之一。某一方球員，用語言或動作挑逗對手、包括恐嚇、威脅對手會稱為："
"32178","這個的名稱是什麼？","1","6","1082","29699","發球、接發球、舉球、扣球、攔網、防守","6","6","6","0","25876","接發球攔網","發球、接發球、舉球、扣球、攔網、防守","25509","1","6","30332","2","排球的六種技術"
"35475","這個的名稱是什麼？","1","6","1083","21729","","6","6","6","0","23459","運動員宣誓","運動員宣誓","36939","1","6","21205","2","在運動會的開幕典禮上，會有選手代表出來宣讀承諾"
"36305","這個的名稱是什麼？","1","6","1085","24335","","6","6","6","0","36215","蹲踞式起跑","蹲踞式起跑","36466","1","6","36382","2","在陸上競技或游泳中，於起跑時以上身低伏的姿勢出發。"
"36093","這個的名稱是什麼？","1","6","1086","36039","","6","6","6","0","26684","團體資格賽","團體資格賽","22296","3","6","39636","2","體操有分團體與個人資格賽，計分方式為6 – 5 – 4 的是屬於哪一種"
"33151","這個的名稱是什麼？","1","6","1095","24335","","6","6","6","0","25171","海豚式打腿","海豚式打腿","28023","2","6","35930","2","游泳時腳不胡亂擺動，而是雙腳同時用力踢水。近似於某種動物的游泳方式。另一種說法為海豚踢"
"25802","這個的名稱是什麼？","1","6","1096","29138","日和燃燒衝擊","6","6","6","1096","34909","和燃燒衝擊","日和燃燒衝擊","21644","3","6","29123","1","「日和（★6）」的必殺技。"
"29699","這個的名稱是什麼？","1","6","1099","28040","初音☆消失球","6","6","6","1099","22833","初音消失球","初音☆消失球","21021","2","6","38899","1","小遊戲「 美里的全壘打訓練場」中投手「初音」所使用的消失的魔球。"
"29699","這個的名稱是什麼？","1","6","1100","32066","","6","6","6","1102","32080","昇龍終結球","昇龍終結球","26119","2","6","40845","1","小遊戲「 美里的全壘打訓練場」中投手「嘉夜」所使用的燃燒的魔球。"
"27169","這個的名稱是什麼？","1","6","1101","27683","","6","6","6","0","21517","超人氣名模","超人氣名模","36229","1","6","20154","1","小遊戲「 美里的全壘打訓練場」中「鈴奈」受社員們愛戴的□□□超級□□。"
"23798","這個的名稱是什麼？","1","6","1102","30382","","6","6","6","0","26031","艾爾皮斯島","艾爾皮斯島","33406","2","6","29246","1","小遊戲「 大激戰！龍人們的接龍競賽」是在哪一個島舉行？"
"25802","這個的名稱是什麼？","1","6","1104","26827","","6","6","6","0","25331","西洋棋拳擊","西洋棋拳擊","35199","3","6","27915","2","同時比拚精神與肉體強度的競技。交互進行西洋棋與某種運動。"
"20998","這個的名稱是什麼？","1","6","1105","23616","","1","6","6","0","50","發球局2分","發球局2分","30332","2","6","29699","2","網球一局比賽只有一名球員發球，稱為該球員的「□□□」，率先贏得至少 4 分並多出對手至少 □□ 的運動員贏得一局。"
"26495","這個的名稱是什麼？","1","6","1106","35069","","6","6","6","0","34180","塑膠製薄板","塑膠製薄板","22609","3","6","33184","2","在美式足球的護目鏡裡，為了保護眼睛而裝在頭盔面罩上的一種材料。"
"29699","這個的名稱是什麼？","1","6","1107","27204","","6","6","6","0","27414","美式橄欖球","美式橄欖球","32654","1","6","24335","2","美式足球的另一種名稱。"
"49","這個的名稱是什麼？","1","1","1115","50","","1","1","1","0","51","24231","24231","50","2","1","52","2","籃球比賽中，每隊要在□□秒內進攻，投籃成功的話一般是□分，如果是在三分線以外投籃的話，就會得到□分，而在罰球情況下成功的會有□分。"
"37341","這個的名稱是什麼？","1","6","1116","25351","地圖指南針","6","6","6","0","21335","地圖指南針","地圖指南針","22320","3","6","22294","2","野外定向是利用□□與□□□，於限時內找出預設的控制點。"
"21063","這個的名稱是什麼？","1","1","1117","49","","6","1","6","0","35215","501規則","501規則","53","3","1","48","2","現在飛鏢比賽最常見的規則，也是飛鏢世錦賽的規則"
"89","這個的名稱是什麼？","1","2","1120","71","","2","2","2","0","69","BOGEY","BOGEY","66","2","2","79","2","高爾夫的得分名稱，比標準桿多一桿。(請用英文回答)"
"36093","這個的名稱是什麼？","1","6","1121","26463","提前結束比賽","6","6","6","0","27604","前結束比賽","提前結束比賽","21069","2","6","32080","2","意指棒球比賽因遭遇惡劣天候或比分差距過大等情況時，於中途提前結束。"
"25237","這個的名稱是什麼？","1","6","1122","39080","龍捲風式投法","6","6","6","0","24335","龍捲風式投","龍捲風式投法","40845","1","6","25458","2","棒球的投球方式之一。大幅扭轉身體投球的動作令人聯想到龍捲風。"
"38634","這個的名稱是什麼？","1","6","1123","24335","自由式滑雪","6","6","6","0","28369","自由式滑雪","自由式滑雪","33258","1","6","30001","2","滑雪的一種。運動員使用滑雪板和雪杖於特定的雪場上做出指定和自選的動作"
"22580","這個的名稱是什麼？","1","6","1127","31478","戰鬥競技場","6","6","6","0","25216","戰鬥競技場","戰鬥競技場","25136","1","6","39717","1","在《超異域公主連結Re:Dive》中，自己可以組成1支隊伍，與其他玩家設定好的1支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名"
"22580","這個的名稱是什麼？","1","6","1130","31478","公主競技場","6","6","6","0","25216","公主競技場","公主競技場","20844","1","6","20027","1","在《超異域公主連結Re:Dive》中，自己可以組成3支隊伍，與其他玩家設定好的3支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名"
"37327","這個的名稱是什麼？","1","2","1131","19978","TP上升(或下降)量","6","6","6","0","21319","TP上升量","TP上升(或下降)量","84","2","2","80","2","在《超異域公主連結Re:Dive》的戰鬥中，和「TP」有莫大關聯的能力。"
"101","這個的名稱是什麼？","1","2","1132","98","Table Tennis","3","3","3","0","108","Table","Table Tennis","84","1","3","97","2","「棒球」是「Baseball」。那麼「桌球」是？"
"27861","這個的名稱是什麼？","1","6","1134","29699","","6","6","6","0","25171","上旋球打法","上旋球打法","19978","3","6","26059","2","什麼樣的打法的桌球拍正反兩面都會使用反膠，比較容易打旋轉球"
"37586","這個的名稱是什麼？","1","6","1136","37586","","6","6","6","0","20013","大前鋒中鋒","大前鋒中鋒","22823","1","6","21069","2","籃球位置有五個。控球後衛、得分後衛、小前鋒、□□□與□□"
"38957","這個的名稱是什麼？","1","6","1138","23567","蛋頭、小平頭、中平頭","6","6","6","0","24179","蛋頭小平頭","蛋頭、小平頭、中平頭","34507","3","6","38957","2","羽球球拍分為三種。"
"23068","這個的名稱是什麼？","1","6","1140","32114","克莉絲提娜","6","6","6","0","25552","克莉絲提娜","克莉絲提娜","20811","2","6","33673","1","會使用必殺技「亂數聖域」的角色。"
"29575","這個的名稱是什麼？","1","6","1141","24515","","6","6","6","0","36339","最大心跳率","最大心跳率","26368","2","6","22823","2","在進行有氧運動時，心跳須達到□□□□□的65%到85%區間，持續至少20分鐘，才是有效的有氧運動。"
"39636","這個的名稱是什麼？","1","6","1142","30340","極度的呼吸與身體鍛鍊","6","6","6","0","36523","極度的身體","極度的呼吸與身體鍛鍊","26997","2","6","24230","2","哈達瑜珈是最常見的瑜珈。它是以□□□呼吸與□□鍛鍊為主"
"32244","這個的名稱是什麼？","1","6","1146","24118","","6","6","6","0","35347","阻力帶訓練","阻力帶訓練","38459","1","6","21147","2","使用阻力帶進行重量訓練稱為？"
"20992","這個的名稱是什麼？","1","6","1151","29246","尼泊爾廓爾喀彎刀","6","6","6","0","24398","尼泊爾彎刀","尼泊爾廓爾喀彎刀","23612","2","6","27850","2","世界歷史十大名刀排行第四。"
"21069","這個的名稱是什麼？","1","6","1153","26041","進攻方提前移動","6","6","6","0","25552","進攻方提前","進攻方提前移動","36914","2","6","25915","2","美式足球常見犯規之一。進攻隊伍的隊員在開球前移動。"
"20154","這個的名稱是什麼？","1","6","1157","20154","十一人制與九人制","6","6","6","0","20061","十一人九人","十一人制與九人制","21313","3","6","19968","2","雙人跳水的評分裁判分為？"
"24180","這個的名稱是什麼？","1","6","1164","33457","似似花（新年）","6","6","6","0","26032","似似花新年","似似花（新年）","20284","1","6","20284","1","使用必殺技「新年稜鏡」的角色"
"31680","這個的名稱是什麼？","1","6","1166","32854","咲戀（聖誕節）","6","6","6","0","35477","咲戀聖誕節","咲戀（聖誕節）","21682","3","6","25088","1","使用必殺技「庭園之盾」的角色"
"25802","這個的名稱是什麼？","1","6","1168","21147","噗吉全力揮擊","6","6","6","0","25582","吉全力揮擊","噗吉全力揮擊","21513","2","6","20840","1","在【美里的夏日聲援！追夢的盛夏棒球隊】的劇情裡，綾音每次進行打擊時會喊的口號是？"
"110","這個的名稱是什麼？","1","2","1170","71","BB槍=BB Guns","3","2","3","0","117","BBGun","BB槍=BB Guns","66","1","2","66","2","「BB槍」的英文稱呼。"
"20027","這個的名稱是什麼？","1","6","1171","34367","可可蘿（公主）","6","6","6","0","20844","可可蘿公主","可可蘿（公主）","21487","1","6","21487","1","使用必殺技「極光聖界」的角色"
"111","這個的名稱是什麼？","1","2","1172","111","挑釁=Provocative","3","3","3","1172","118","Provo","挑釁=Provocative","80","2","3","114","1","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。（請用英文作答）"
"35703","這個的名稱是什麼？","1","6","1173","21560","物理吸收護盾","6","6","6","1173","25910","物理吸收護","物理吸收護盾","29289","2","6","29702","1","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。"
"36070","這個的名稱是什麼？","1","6","1174","20043","劍聖之天賦","6","6","6","0","22825","劍聖之天賦","劍聖之天賦","21133","3","6","32854","1","「吉塔（★6）」的EX技能。戰鬥開始時，大幅度提升自己的物理攻擊力。"
"30340","這個的名稱是什麼？","1","6","1175","24801","融心惡魔的魅惑","6","6","6","0","39764","融心惡魔的","融心惡魔的魅惑","34701","2","6","24515","1","「茜里（★6）」的必殺技。"
"73","這個的名稱是什麼？","1","2","1176","76","MULTI TARGETS","2","2","2","1176","84","MULTI","MULTI TARGETS","77","1","2","85","1","《超異域公主連結Re:Dive》\n的戰鬥用語之一。"
"32954","這個的名稱是什麼？","1","6","1178","24335","開放式水肺","6","6","6","0","27700","開放式水肺","開放式水肺","38283","3","6","25918","2","關於水肺潛水，潛水者通過呼吸調節器從壓縮氣瓶中呼吸，廢氣直接排放在水中。"
"20843","這個的名稱是什麼？","1","6","1179","20843","黑白相間與八乘八網格","6","6","6","0","20056","黑白八乘八","黑白相間與八乘八網格","40657","1","6","30333","2","西洋棋的棋盤是由64個□□相間與□□□網格組成。"
"20992","這個的名稱是什麼？","1","6","1180","27494","","6","6","6","0","22763","日本武士刀","日本武士刀","26085","2","6","26412","2","世界歷史十大名刀排行第二。"
"32763","這是什麼？","1","6","1181","21521","雙手向前翻","6","6","6","0","21069","雙手向前翻","雙手向前翻","38617","2","6","25163","2","跑酷的技能：護身，是以雙腳著地後，用□□□□□滾的動作"
"36554","這是什麼？","1","6","1182","33258","游泳⇒自行車⇒長跑","6","6","6","0","34892","游泳自行車","游泳⇒自行車⇒長跑","28216","3","6","27891","2","如何將連續進行3種運動的「鐵人三項」按照項目的順序來排列？"
"69","這個的名稱是什麼？","1","2","1183","65","","2","2","2","0","82","SPARE","SPARE","83","2","2","80","2","為保齡球用語，第一球沒有全倒，第二球全部擊倒。(請用英文作答)"
"89","這個的名稱是什麼？","1","2","1184","75","TURKEY","2","2","2","0","69","URKEY","TURKEY","85","2","2","82","2","為保齡球用語，連續三次全倒。(請用英文作答)"
"21046","這個的名稱是什麼？","1","6","1185","20725","突破僵局制","6","6","6","0","23616","突破僵局制","突破僵局制","31361","2","6","30772","2","在棒球等運動中，若是陷入同分的膠著時，為了得到結果所適用的特別規則。"
"69","這個的名稱是什麼？","1","2","1186","73","STRIKE","2","2","2","0","75","TRIKE","STRIKE","84","2","2","82","2","為保齡球用語，第一球全倒。(請用英文作答)"
"29699","這個的名稱是什麼？","1","6","1187","26751","撞球桿撞擊母球","6","6","6","0","27597","撞球桿母球","撞球桿撞擊母球","25758","1","6","29699","2","撞球是使用□□□來撞擊□□。"
"101","這個的名稱是什麼？","1","3","1188","98","Double Bogey","3","3","3","0","108","ouble","Double Bogey","111","2","3","117","2","在高爾夫中，用了比標準桿數多1次才打完為「柏忌」。那多出2次是什麼？(請用英文作答)"
"22120","這個的名稱是什麼？","1","6","1189","25351","","6","6","6","0","31034","咬鉤指示器","咬鉤指示器","21676","2","6","37476","2","釣魚工具的一種。任何負責將魚鉤的水下狀態變化傳遞到水面讓釣者能察覺的漁具。"
"23376","這個的名稱是什麼？","1","6","1190","22823","沙子的大袋子","6","6","6","0","34955","沙子大袋子","沙子的大袋子","27801","1","6","23376","2","在拳擊等運動中，沙包用於打拳訓練，裝滿□□的□□□。"
"25943","這個的名稱是什麼？","1","6","1191","36215","一次起跳失敗","6","6","6","0","22833","一次起失敗","一次起跳失敗","19968","2","6","27425","2","跳遠比賽中，賽次每個人只有三次試跳機會，每次起跳都要準確地在起跳線完成，如果起跳時超越了起跳線，則被判罰為？"
"27493","這個的名稱是什麼？","1","6","1192","36899","旋轉和連接步","6","6","6","0","25509","旋轉連接步","旋轉和連接步","26059","2","6","36681","2","花式滑冰指定動作的短曲，包括跳躍、□□和□□□。"
"38957","這個的名稱是什麼？","1","6","1193","22303","混凝土或木頭","6","6","6","0","26408","混凝土木頭","混凝土或木頭","28151","2","6","20957","2","雪橇的滑道是由□□□或□□所建成"
"23660","這個的名稱是什麼？","1","6","1194","30340","","6","6","6","0","37329","滑行的金屬","滑行的金屬","28369","2","6","34892","2","比賽用的雪橇為木製，前方沒有舵板，在後方也沒有制動閘，只於底部有一對用以□□□□□滑板。"
"36466","這個的名稱是什麼？","1","6","1195","33289","仰臥推舉、深蹲、硬舉","6","6","6","0","28145","臥推舉深蹲","仰臥推舉、深蹲、硬舉","33253","2","6","25512","2","重量訓練清單中的三巨頭有仰□□□、□□、硬舉。"
"89","這個的名稱是什麼？","1","2","1196","79","","2","2","2","0","70","GOOFY","GOOFY","71","2","2","79","2","單板滑雪中，左腳踩在前方滑稱為Regular stance，那反過來稱為什麼？ (請用英文作答)"
"32773","這個的名稱是什麼？","1","6","1197","30772","","6","6","6","1197","22750","水靈破壞者","水靈破壞者","27700","1","6","38728","1","水之精靈注入精靈之力的斧頭。"
"26381","這個的名稱是什麼？","1","6","1198","24037","","6","6","6","1198","20316","皮革工作服","皮革工作服","30382","1","6","38761","1","新人冒險者身上得攜帶的物品非常多，所以這些口袋對他們來說非常重要。"
"105","這個未經省略的全稱是？","1","3","1199","99","SMG=Sub machine gun","3","3","3","0","104","machi","SMG=Sub machine gun","109","3","3","97","2","SMG(衝鋒槍)的全名。"
"101","這個未經省略的全稱是？","1","2","1200","105","SR=Snipe rifle","3","3","3","0","112","Snipe","SR=Snipe rifle","83","3","3","110","2","SR(狙擊槍)的全名。"
"100","這個的名稱是什麼？","1","3","1201","97","Snowboard","3","3","3","0","114","board","Snowboard","98","1","3","111","2","滑雪有兩種，一種叫做「雙板(ski)」，另一種叫做？ (請用英文作答)"
"25970","這個的名稱是什麼？","1","6","1202","33139","腳尖和腳跟敲","6","6","6","0","36319","腳尖腳跟敲","腳尖和腳跟敲","33139","1","6","23574","2","踢踏舞是使用專用的鞋子，一邊用□□和□□□響地板一邊跳舞。"
"97","這個的名稱是什麼？","1","3","1203","105","Medical Officer","3","3","3","0","99","edica","Medical Officer","101","2","3","100","2","軍隊中「軍醫」的英文稱呼是？"
"34899","這個的名稱是什麼？","1","6","1204","39135","斷糧食戰術","6","6","6","0","25136","斷糧食戰術","斷糧食戰術","26039","2","6","31975","2","在戰爭中，包圍敵人的城，等待對方食物耗盡並投降的戰法。"
"116","這個的名稱是什麼？","1","2","1205","103","LMG=Light machine gun","3","3","3","0","104","Light","LMG=Light machine gun","76","3","3","105","2","LMG(輕機槍)的全名。"
"24863","這個的名稱是什麼？","1","6","1206","24841","","6","6","6","0","24709","跑者愉悅感","跑者愉悅感","36305","2","6","32773","2","跑步持續跑了一定程度的時間後，就會暫時產生的一種快感。"
"97","這個的名稱是什麼？","1","3","1207","116","格鬥技=Martial arts","3","3","3","0","105","artia","格鬥技=Martial arts","97","2","3","114","2",""
"99","這個的名稱是什麼？","1","2","1208","114","Struck","3","3","3","0","117","Struc","Struck","83","2","3","116","2","比賽棒球投球準確度的遊戲。要瞄準並擊中寫有1到9的數字的板子。(請用英文作答)"
"20992","這個的名稱是什麼？","1","6","1209","30333","","6","6","6","1209","27387","百華白櫻刀","百華白櫻刀","30334","2","6","33775","2","具備有映照潔白、盛開的櫻花般美麗的刀。"
"25802","這個的名稱是什麼？","1","6","1210","38738","夏日青狼之擊","6","6","6","0","29436","夏日青狼擊","夏日青狼之擊","22799","2","6","26085","1","「真琴（夏日）」的必殺技。"
"26494","這個的名稱是什麼？","1","6","1211","39340","","6","6","6","0","25289","雪上馬拉松","雪上馬拉松","38634","2","6","19978","2","越野滑雪因需要大量體力，所以又被稱為："
"21147","這個的名稱是什麼？","1","6","1212","24392","速度和彈跳力","6","6","6","0","36339","速度彈跳力","速度和彈跳力","36895","1","6","24230","2","跳台滑雪的運動員需藉由□□和□□□沿跳台下滑。"
"29699","這個的名稱是什麼？","1","6","1213","21046","","6","6","6","0","36275","五人制足球","五人制足球","20116","1","6","20154","2","由足球衍生出來的運動，是室內五對五的足球。"
"21147","這個的名稱是什麼？","1","6","1214","38275","夏日閃耀之力","6","6","6","0","32768","夏日閃耀力","夏日閃耀之力","22799","2","6","26085","2","「咲戀（夏日）」的必殺技。"
"29699","這個的名稱是什麼？","1","6","1215","39636","","6","6","6","0","25805","橡膠體操球","橡膠體操球","27233","1","6","33184","2","韻律體操的球操是使用甚麼球？"
"76","這個的名稱是什麼？","1","2","1216","84","TOTAL DAMAGE","2","2","2","0","65","TOTAL","TOTAL DAMAGE","84","1","2","79","1","《超異域公主連結Re:Dive》的戰鬥用語之一。通常顯示於王關的左上方"
"31995","這個的名稱是什麼？","1","6","1217","25136","神盾戰鬥系統","6","6","6","0","39717","神盾戰鬥系","神盾戰鬥系統","31070","2","6","30462","2","某種系統名稱。它的核心是一套電腦化的指揮決策與武器管制系統。英文名稱為Aegis combat system"
"31680","這個的名稱是什麼？","1","6","1218","32854","宮子（聖誕節）","6","6","6","0","35477","宮子聖誕節","宮子（聖誕節）","23470","3","6","23376","1","在提升物理攻擊力和物理爆擊率的布丁能量領域內也會強化自己的技能，使出突襲的角色。"
"22120","這個的名稱是什麼？","1","6","1219","29031","全像武器照準器","6","6","6","0","28310","全像照準器","全像武器照準器","20840","2","6","20687","2","用槍時，為求瞄準而使用的一種「瞄準裝置」。使用了所謂的「全像投影」技術。"
"22120","這個的名稱是什麼？","1","6","1220","25233","","6","6","6","0","21046","聲音抑制器","聲音抑制器","32882","2","6","38899","2","經常出現在諜報電影裡，為消除槍聲而裝設在槍口的裝置。也被稱作「消音器」。"
"36948","這個的名稱是什麼？","1","6","1221","26519","","6","6","6","0","26031","拉比林斯達","拉比林斯達","25289","1","6","27604","1","使用必殺技「物件創造」的角色。"
"38570","這個的名稱是什麼？","1","6","1222","20540","","6","6","6","0","20882","經驗值冒險","經驗值冒險","32147","1","6","39511","1","在《超異域公主連結Re:Dive》中，可獲得大量的EXP藥水，一天可挑戰的次數為2次。"
"26454","這個的名稱是什麼？","1","6","1223","31461","","6","6","6","1223","35441","純真童話杖","純真童話杖","32020","1","6","30495","1","「真步」的專用裝備名稱。"
