5f7346fef7563e16aa41411a82e728a2c44993ed0a116b086af91ed3afd4044d,032d2b7088ffcdfcc889ec2939f69f4a54b64f4ccf040dfce67d34275563214d,325b5f6186a23dde6628d987974e33c956f54172b955fd29ca7cf54a9396d08f,dfd67f8d690397097ab7df6467a88289c88cf34ec143a34b14a93b1a969d6256,f8a41c82fc1244c9192bbdc1fb76c844045637630f84b1f1432f2a0d3e03c9dc,75809871733378a4314b6915259519b20561ac7cfd74cd62084eea87abdd86ba,26c6dd1bbab83c1171a174d034d081464f3d1715a50a47942e06af2708d75a4b,a96a24e6287fbad7e9d1a7a706896c25b28392b453107866f2a3f0e35cd1c0f8,e69d3a42607a3d38ba989cad9c6fed9f25df545256f8102e137179a087003b00,50bd957323f3b881eba220b3f8244fecef1fa0ec31289476c5bd01f3c0fc5216,3e96a1587c95a695b280869df044af53f6a054f5b25e7ec76d10de0f58633530
"75","2","2","17","25011","91002","8","281001024","24","25021","10"
"77","2","2","18","25011","91002","8","281001025","25","25021","10"
"79","2","2","18","25011","91002","8","281001026","26","25021","10"
"82","2","2","19","25011","91002","8","281001027","27","25021","10"
"84","2","2","19","25011","91002","8","281001028","28","25021","10"
"86","2","2","19","25011","91002","8","281001029","29","25021","10"
"89","2","2","20","25011","91002","8","281001030","30","25021","30"
"94","2","2","20","25011","91002","8","281001031","31","25021","10"
"96","2","2","21","25011","91002","8","281001032","32","25021","10"
"99","2","2","21","25011","91002","8","281001033","33","25021","10"
"101","2","2","22","25011","91002","8","281001034","34","25021","10"
"103","2","2","22","25011","91002","8","281001035","35","25021","10"
"106","2","2","23","25011","91002","8","281001036","36","25021","10"
"108","2","2","23","25011","91002","8","281001037","37","25021","10"
"111","2","2","24","25011","91002","8","281001038","38","25021","10"
"113","2","2","25","25011","91002","8","281001039","39","25021","10"
"115","2","2","25","25011","91002","8","281001040","40","25021","30"
"121","2","2","26","25011","91002","8","281001041","41","25021","10"
"123","2","2","27","25011","91002","8","281001042","42","25021","10"
"125","2","2","28","25011","91002","8","281001043","43","25021","10"
"128","2","2","28","25011","91002","8","281001044","44","25021","10"
"130","2","2","29","25011","91002","8","281001045","45","25021","10"
"132","2","2","30","25011","91002","8","281001046","46","25021","10"
"135","2","2","30","25011","91002","8","281001047","47","25021","10"
"137","2","2","31","25011","91002","8","281001048","48","25021","10"
"139","2","2","31","25011","91002","8","281001049","49","25021","10"
"142","2","2","31","25011","91002","8","281001050","50","25021","30"
"144","2","2","32","25011","91002","8","281001051","51","25021","10"
"146","2","2","32","25011","91002","8","281001052","52","25021","10"
"149","2","2","32","25011","91002","8","281001053","53","25021","10"
"152","2","2","33","25011","91002","8","281001054","54","25021","10"
"155","2","2","33","25011","91002","8","281001055","55","25021","10"
"157","2","2","33","25011","91002","8","281001056","56","25021","10"
"160","2","2","34","25011","91002","8","281001057","57","25021","10"
"163","2","2","34","25011","91002","8","281001058","58","25021","10"
"166","2","2","34","25011","91002","8","281001059","59","25021","10"
"169","2","2","35","25011","91002","8","281001060","60","25021","30"
"171","2","2","35","25011","91002","8","281001061","61","25021","10"
"174","2","2","35","25011","91002","8","281001062","62","25021","10"
"177","2","2","36","25011","91002","8","281001063","63","25021","10"
"180","2","2","36","25011","91002","8","281001064","64","25021","10"
"182","2","2","36","25011","91002","8","281001065","65","25021","10"
"185","2","2","37","25011","91002","8","281001066","66","25021","10"
"187","2","2","37","25011","91002","8","281001067","67","25021","10"
"190","2","2","37","25011","91002","8","281001068","68","25021","10"
"193","2","2","38","25011","91002","8","281001069","69","25021","10"
"196","2","2","38","25011","91002","8","281001070","70","25021","30"
"200","2","2","39","25011","91002","8","281001071","71","25021","10"
"204","2","2","39","25011","91002","8","281001072","72","25021","10"
"208","2","2","40","25011","91002","8","281001073","73","25021","10"
"212","2","2","40","25011","91002","8","281001074","74","25021","10"
"216","2","2","41","25011","91002","8","281001075","75","25021","10"
"220","2","2","41","25011","91002","8","281001076","76","25021","10"
"224","2","2","42","25011","91002","8","281001077","77","25021","10"
"228","2","2","42","25011","91002","8","281001078","78","25021","10"
"232","2","2","43","25011","91002","8","281001079","79","25021","10"
"236","2","2","43","25011","91002","8","281001080","80","25021","30"
"240","2","2","44","25011","91002","8","281001081","81","25021","10"
"244","2","2","44","25011","91002","8","281001082","82","25021","10"
"248","2","2","45","25011","91002","8","281001083","83","25021","10"
"252","2","2","45","25011","91002","8","281001084","84","25021","10"
"256","2","2","46","25011","91002","8","281001085","85","25021","10"
"260","2","2","46","25011","91002","8","281001086","86","25021","10"
"264","2","2","47","25011","91002","8","281001087","87","25021","10"
"268","2","2","47","25011","91002","8","281001088","88","25021","10"
"272","2","2","48","25011","91002","8","281001089","89","25021","10"
"276","2","2","48","25011","91002","8","281001090","90","25021","30"
"280","2","2","49","25011","91002","8","281001091","91","25021","10"
"284","2","2","49","25011","91002","8","281001092","92","25021","10"
"288","2","2","50","25011","91002","8","281001093","93","25021","10"
"292","2","2","50","25011","91002","8","281001094","94","25021","10"
"296","2","2","51","25011","91002","8","281001095","95","25021","10"
"300","2","2","51","25011","91002","8","281001096","96","25021","10"
"304","2","2","52","25011","91002","8","281001097","97","25021","10"
"308","2","2","52","25011","91002","8","281001098","98","25021","10"
"312","2","2","53","25011","91002","8","281001099","99","25021","10"
"316","2","2","53","25011","91002","8","281001100","100","25021","30"
