8a755fd864e56a344ca425df7d208be28162c86e7b685e90be0f21241ecb2fb0,015246c8c89e93ede7cc660bd2fc75117d22eeea9750bded65d70f08d4d81ae6,cc6d565ad2207e88f842c278f63df2065cdf70f511a8d91788cb596a40596b09,1b62d541d29bdcfd71d0c8fa1427a118f1f7e73b67113bf1bce6f4c517181087,4cbb8e7d0404663dd52111e57e023d1381fd35345221401749c8f13ee9e1c38f,d45b8de90e3e652bb446bd62f4da66943f72c4763f82b05d75a85022cf02b45c
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","107101","10201551","10201031","2025/06/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","107101","10201551","10201032","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","107001","10201551","10201033","2025/06/01 16:00:00","3003"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","107001","10201551","10201034","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","106801","10201551","10201035","2025/06/01 16:00:00","3001"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","106801","10201551","10201036","2025/06/01 16:00:00","3014"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","111501","10201551","10201037","2025/06/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","111501","10201551","10201038","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","123801","10201551","10201039","2025/06/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","123801","10201551","10201040","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","133901","10201551","10201041","2025/06/12 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","133901","10201551","10201042","2025/06/12 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體賦予持續恢復HP的狀態。","115001","10201551","10201043","2025/06/01 16:00:00","3005"
"戰鬥開始後，\n我方全體無法行動狀態無效2次。","115001","10201551","10201044","2025/06/01 16:00:00","3013"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法攻擊力","126601","10201551","10201045","2025/06/01 16:00:00","3003"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","126601","10201551","10201046","2025/06/01 16:00:00","3014"
"戰鬥開始90秒內，\n我方全體中幅度提升ＴＰ上升。","133801","10201551","10201047","2025/06/22 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體大幅度提升行動速度。（可重複）","133801","10201551","10201048","2025/06/22 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","121201","10201551","10201049","2025/06/01 16:00:00","3001"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","121201","10201551","10201050","2025/06/01 16:00:00","3014"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","133701","10201551","10201051","2025/06/01 16:00:00","3003"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","133701","10201551","10201052","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","104201","10202501","10202001","2025/07/01 16:00:00","3001"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","104201","10202501","10202002","2025/07/01 16:00:00","3014"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的物理防禦力","118101","10202501","10202003","2025/07/01 16:00:00","3011"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的魔法防禦力","118101","10202501","10202004","2025/07/01 16:00:00","3011"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","108401","10202501","10202005","2025/07/01 16:00:00","3001"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","108401","10202501","10202006","2025/07/01 16:00:00","3014"
"戰鬥開始90秒內，\n我方全體賦予持續恢復HP的狀態。","117301","10202501","10202007","2025/07/01 16:00:00","3005"
"戰鬥開始後，\n我方全體無法行動狀態無效2次。","117301","10202501","10202008","2025/07/01 16:00:00","3013"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法攻擊力","134401","10202501","10202009","2025/07/16 16:00:00","3003"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","134401","10202501","10202010","2025/07/16 16:00:00","3014"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法攻擊力","126901","10202501","10202011","2025/07/01 16:00:00","3003"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","126901","10202501","10202012","2025/07/01 16:00:00","3014"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","134301","10202501","10202013","2025/07/04 16:00:00","3003"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","134301","10202501","10202014","2025/07/04 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體中幅度提升ＴＰ上升。","105901","10202501","10202015","2025/07/01 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體大幅度提升行動速度。（可重複）","105901","10202501","10202016","2025/07/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","106401","10202501","10202017","2025/07/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","106401","10202501","10202018","2025/07/01 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理防禦力","105401","10202501","10202019","2025/07/01 16:00:00","3002"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法防禦力","105401","10202501","10202020","2025/07/01 16:00:00","3004"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","104001","10203501","10203001","2025/08/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","104001","10203501","10203002","2025/08/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","126401","10203501","10203003","2025/08/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","126401","10203501","10203004","2025/08/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","110701","10203501","10203005","2025/08/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","110701","10203501","10203006","2025/08/01 16:00:00","3010"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的物理防禦力","116701","10203501","10203007","2025/08/01 16:00:00","3011"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的魔法防禦力","116701","10203501","10203008","2025/08/01 16:00:00","3011"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","122101","10203501","10203009","2025/08/01 16:00:00","3001"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","122101","10203501","10203010","2025/08/01 16:00:00","3014"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的物理防禦力","134601","10203501","10203011","2025/08/01 16:00:00","3011"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的魔法防禦力","134601","10203501","10203012","2025/08/01 16:00:00","3011"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法攻擊力","134501","10203501","10203013","2025/08/09 16:00:00","3003"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","134501","10203501","10203014","2025/08/09 16:00:00","3014"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法攻擊力","127801","10203501","10203015","2025/08/01 16:00:00","3003"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","127801","10203501","10203016","2025/08/01 16:00:00","3014"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","126501","10203501","10203017","2025/08/01 16:00:00","3003"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","126501","10203501","10203018","2025/08/01 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","134701","10203501","10203019","2025/08/16 16:00:00","3001"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","134701","10203501","10203020","2025/08/16 16:00:00","3014"
