b5eadaf7519d65d804aa8368cfae88487bd5702d598887da449e77e895b3e76e,e692f76cb7b15dd4406e1dd23c01814b4b4d3672e330da47ea8b89c7a26ec61c,8344b430313ea8ac4c5a97138b6f2b868f76f71949242a297e940314a0f85641,e5a584762968af2dd221cfa86c1ce4e6e4fca312cf0b418db10a6c242a595fb4,04cf9062018655e06c095d17435fa7b549e0ac714abc73fb57bfad480fc1d365,f5b425288a32772bbcc3b94db4a718f8b5828624abead22b36947a4d099a9309,5cd683a99c6bb385df6b31d5375d4fac629f2fd494dc9da45611c8e20386a1fd,6b552235f0f968f974a9f3380b3c08583763320ace94e5661c4aefe706f6660a,6157183e4bbbc3b506ec026df219718830e7571887a70269d0edec70555562c4,c6006664e2aa7fbf2bfd4c5ca673ab977156f7acfff4d41d7ab6c91f0bba8219,ae185f5214f1de847953d5bcdec3a3e6613c228341b5ddeedb2175042a39a417,61170c47d345bd96c74c227c18a050bb0cb86676ecc4e867a05b41b33dc09c3b
"6","1","1","32","1","1","1","300","101201","1","1","320"
"6","1","1","32","1","1","1","300","101202","-1","1","320"
"6","1","1","32","1","1","1","-1","101203","-1","1","320"
"5","1","1","32","1","1","1","300","101204","1","1","320"
"5","1","1","32","1","1","1","300","101205","-1","1","320"
"5","1","1","32","1","1","1","-1","101206","-1","1","320"
"6","1","1","32","1","1","1","300","101301","3","1","330"
"6","1","1","32","1","1","1","300","101302","-1","1","330"
"6","1","1","32","1","1","1","-1","101303","-1","1","330"
"5","1","1","32","1","1","1","300","101304","3","1","330"
"5","1","1","32","1","1","1","300","101305","-1","1","330"
"5","1","1","32","1","1","1","-1","101306","-1","1","330"
"6","1","1","32","1","1","1","300","101401","3","1","340"
"6","1","1","32","1","1","1","300","101402","-1","1","340"
"6","1","1","32","1","1","1","-1","101403","-1","1","340"
"5","1","1","32","1","1","1","300","101404","3","1","340"
"5","1","1","32","1","1","1","300","101405","-1","1","340"
"5","1","1","32","1","1","1","-1","101406","-1","1","340"
"6","1","1","32","1","1","1","300","101501","3","1","350"
"6","1","1","32","1","1","1","300","101502","-1","1","350"
"6","1","1","32","1","1","1","-1","101503","-1","1","350"
"5","1","1","32","1","1","1","300","101504","3","1","350"
"5","1","1","32","1","1","1","300","101505","-1","1","350"
"5","1","1","32","1","1","1","-1","101506","-1","1","350"
"6","1","1","32","1","1","1","310","101601","5","1","360"
"6","1","1","32","1","1","1","310","101602","-1","1","360"
"6","1","1","32","1","1","1","-1","101603","-1","1","360"
"5","1","1","32","1","1","1","310","101604","5","1","360"
"5","1","1","32","1","1","1","310","101605","-1","1","360"
"5","1","1","32","1","1","1","-1","101606","-1","1","360"
"6","1","1","32","1","1","1","310","101701","5","1","380"
"6","1","1","32","1","1","1","310","101702","-1","1","380"
"6","1","1","32","1","1","1","-1","101703","-1","1","380"
"5","1","1","32","1","1","1","310","101704","5","1","380"
"5","1","1","32","1","1","1","310","101705","-1","1","380"
"5","1","1","32","1","1","1","-1","101706","-1","1","380"
"6","1","1","32","1","1","1","310","101801","5","1","400"
"6","1","1","32","1","1","1","310","101802","-1","1","400"
"6","1","1","32","1","1","1","-1","101803","-1","1","400"
"5","1","1","32","1","1","1","310","101804","5","1","400"
"5","1","1","32","1","1","1","310","101805","-1","1","400"
"5","1","1","32","1","1","1","-1","101806","-1","1","400"
"6","1","1","32","1","1","1","310","111601","5","1","400"
"6","1","1","32","1","1","1","310","111602","-1","1","400"
"6","1","1","32","1","1","1","-1","111603","-1","1","400"
"5","1","1","32","1","1","1","310","111604","5","1","400"
"5","1","1","32","1","1","1","310","111605","-1","1","400"
"5","1","1","32","1","1","1","-1","111606","-1","1","400"
"6","1","1","32","1","1","1","310","111701","5","1","425"
"6","1","1","32","1","1","1","310","111702","-1","1","425"
"6","1","1","32","1","1","1","-1","111703","-1","1","425"
"5","1","1","32","1","1","1","310","111704","5","1","425"
"5","1","1","32","1","1","1","310","111705","-1","1","425"
"5","1","1","32","1","1","1","-1","111706","-1","1","425"
"6","1","1","32","1","1","1","310","111801","5","1","450"
"6","1","1","32","1","1","1","310","111802","-1","1","450"
"6","1","1","32","1","1","1","-1","111803","-1","1","450"
"5","1","1","32","1","1","1","310","111804","5","1","450"
"5","1","1","32","1","1","1","310","111805","-1","1","450"
"5","1","1","32","1","1","1","-1","111806","-1","1","450"
