2ee36b009db87a1f0fe18c7bb2948d3ef753f4d303024afb6124c9aa6c7b3297,7175bf9004fdc71935f390011c61eb36db64b5a1fb5a18cf94e1e6004effa68c,baf2717976e37c179845691a775e2d1eba0f9e3f5ee65e8339a32f19f38b02b2
"[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]10[-][3C404E]（※目標的弱化效果與職階專精共通）[-]","16","全角色 強化減益"
"[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","17","全角色 強化魔法造成的傷害"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","18","全角色 強化ＨＰ"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","19","強化屬性獎勵"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","20","全角色 強化ＨＰ"
"[3C404E]挑戰中，陳列於商店的道具價格[-][FFBB00,CE4F00]25％OFF[-][3C404E]（僅使用「始源盧幣」購買的商店有效）[-]","21","始源盧幣商店折扣"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","22","全角色 強化物理攻擊力"
"[3C404E]所有角色的普通攻擊強化能力提升[-][FFBB00,CE4F00]30[-][3C404E][-]","23","全角色 強化普通攻擊"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","24","全角色 強化魔法攻擊力"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","25","全角色 強化物理防禦力"
"[3C404E]所有角色的恢復強化能力提升[-][FFBB00,CE4F00]15[-][3C404E][-]","26","全角色 強化恢復"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","27","全角色 強化魔法防禦力"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","28","全角色 強化物理暴擊率"
"[3C404E]所有角色的狀態異常命中能力提升[-][FFBB00,CE4F00]30[-][3C404E][-]","29","全角色 強化狀態異常命中"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","30","全角色 強化魔法暴擊率"
"[3C404E]挑戰開始時，可追加獲得與所選擇之公會對應的[-][FFBB00,CE4F00]迷宮遺物[-][3C404E][-]","31","追加挑戰開始時的迷宮遺物"
"[3C404E]所有角色的物理暴擊傷害提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","32","全角色 強化物理暴擊傷害"
"[3C404E]所有角色的增益強化能力提升[-][FFBB00,CE4F00]15[-][3C404E]（※目標的強化效果與職階專精共通）[-]","33","全角色 強化增益"
"[3C404E]所有角色的魔法暴擊傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","34","全角色 強化魔法暴擊傷害"
"[3C404E]所有角色物理造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","35","全角色 強化物理造成的傷害"
"[3C404E]所有角色的減益強化能力提升[-][FFBB00,CE4F00]15[-][3C404E]（※目標的弱化效果與職階專精共通）[-]","36","全角色 強化減益"
"[3C404E]所有角色魔法造成的傷害[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E]提升[-]","37","全角色 強化魔法造成的傷害"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","38","全角色 強化ＨＰ"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","39","強化屬性獎勵"
"[3C404E]所有角色的{parameterName}提升[-][FFBB00,CE4F00]{enhanceValue}{percentage}[-][3C404E][-]","40","全角色 強化ＨＰ"
"[3C404E]戰鬥勝利時的始源盧幣獲得量增加[-][FFBB00,CE4F00]50％[-][3C404E][-]","41","增加戰鬥勝利時的獎勵"
