5afd05b74d0077f1b243353590b6648a7f8a876f52d5f213d19c6f87aa2bdaf7,53bbcc9305040c5c426703cd5fac994e52228b6f12e6ab63dd05856cd07101d2,cc12403af1a2214450995d7b6678427b03be6977da6c68fe100c40f5ce5a4543,99a26b23b4ba023936c4dd313b725c8590f98695fc60ceab3ab2816e39a54248,d08704ecf62deb536528e2b13d285e2b9f78cc31523af149d7fdd193111339e2,441f84a4538079dfa0773dc76f91983bbd07565a79e01df15461d6e3de13411d,ad091eb3f489899be36d7fd84d247ebfaeaca18808d8b82519ff3b9284a37f46,1e6784e02d3fa125ef3b7984e5554b92afcb35507b9791ec1cd4fe223a93f7eb,ede949b62fd79bc56fe7c26d3ff0c36d24f840bda3aac2ed2f7802f78ccb15df,14a757f71a53328e5910a3d890085b382fd40c4256465d177b6e2ec05f8ece71,c70d64abda28ddd6465359fc91e79d1bb3c20042b7d19934ac2d1fe41c8157d6,af4d54adc04047db23af7d6b5ab75fdc0338370de9eb407ce3f95720ea79c946,8ad015a8a8d83e618f9bf1241a901204f0176c7373d3a66bdae4375e614479b4,7359745bfcbd15102e9c040d4ac1b7c4d8b6bf27b76214b9db8a7d0045bfbd7f,385ce4c4aa9204b5583299ca45ed55e3aa75adf8542b52b3907779634f9f2d20,1b7a6f0622061ee4b3c2a8b2a7d4285eea4038c5779d4d617372b1bae8b449f8
"咲戀育幼院","43","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","悠木碧","為了大小姐而努力的冒失女僕","人族","0","鈴莓","12","154","服侍","O","9","12","102501","15"
"伊麗莎白牧場","42","test","小岩井ことり","視玩樂與睡眠為第一的懶惰少女","獸人族","0","鈴","1","144","紅豆麵包","B","11","1","102601","17"
"暮光流星群","43","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","橋本ちなみ","專情於命中注定對象的少女","魔族","0","惠理子","30","154","實驗、裁縫、料理","B","13","7","102701","16"
"咲戀育幼院","43","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","堀江由衣","經營育幼院的庶民派溫柔大小姐","精靈族","0","咲戀","4","156","經營、茶會","A","9","10","102801","17"
"慈樂之音","40","總有一天要讓世界上所有的人成為我的粉絲！\n在成為超級偶像的那天之前，\n還請你繼續支持我喔♪","日笠陽子","能歌善舞的超人氣偶像","人族","0","望","24","157","看舞台劇，跳舞","B","4","1","102901","17"
"純白之翼 蘭德索爾分部","51","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","佐藤聡美","東國的神祕，請告訴我！","人族","0","妮諾","31","163","忍法開發","O","15","8","103001","16"
"惡魔偽王國軍","42","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","大坪由佳","擅長占卜的靈能少女","魔族","0","忍","22","157","占卜","AB","7","12","103101","18"
"墨丘利財團","45","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","松嵜麗","目標成為頂尖商人的元氣大小姐","人族","0","秋乃","12","157","慈善事業","AB","12","3","103201","18"
"伊麗莎白牧場","35","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","新田恵海","令大家歡笑的歡樂牧場主人","人族","0","真陽","3","142","相聲","B","11","3","103301","20"
"墨丘利財團","55","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","今井麻美","既純情又放心不下的成熟女性","精靈族","0","優花梨","16","164","隨意逛街","A","12","3","103401","22"
"小小甜心","21","test","小倉唯","端莊正直的嬌小優等生","精靈族","0","鏡華","2","118","讀書","A","5","2","103601","8"
"王宮騎士團","43","test","茅原実里","重情義愛捉弄人的劍術少女","人族","0","智","11","149","劍術、戲弄長輩","A","8","8","103701","13"
"伊麗莎白牧場","40","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","小清水亜美","喜愛讀書的體弱少女","獸人族","0","栞","3","153","讀書、散步","A","11","11","103801","14"
"森林守衛","44","在交到新朋友之前……\n就先在BB團\n進行特訓吧！","花澤香菜","嚮往「朋友」的精靈之森女孩","精靈族","0","碧","6","158","交朋友的想像訓練","AB","6","6","104001","13"
"慈樂之音","46","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","福原綾香","守護人們而歌唱的唱喚士少女","人族","0","千歌","3","163","各種樂器","O","4","6","104201","17"
"哞哞自衛隊","54","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","小松未可子","不輸男人的狂野義氣少女","獸人族","0","真琴","9","168","做點心","O","10","8","104301","17"
"惡魔偽王國軍","50","test","丹下桜","曾經支配黑夜的最強吸血鬼","魔族","0","伊莉亞","5","172","征服世界","A","7","5","104401","??"
"純白之翼 蘭德索爾分部","49","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","長妻樹里","最愛妄想！其實是個害羞少女","人族","0","空花","19","157","閱讀小說","AB","15","11","104501","18"
"墨丘利財團","48","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","沼倉愛美","鋤強扶弱的貓娘","獸人族","0","珠希","1","158","與貓咪玩耍","AB","12","3","104601","18"
"王宮騎士團","50","？？？","川澄綾子","看不見面容的沉著女騎士","人族","0","純","25","171","格鬥技、入浴","A","8","10","104701","25"
"墨丘利財團","49","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","田所あずさ","公事私事都效率至上的傭兵少女","人族","0","美冬","11","163","傭兵等等的打工","O","12","11","104801","20"
"拉比林斯","54","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","生天目仁美","姐姐會照顧你的呦！","人族","0","靜流","24","168","所有家事","O","3","10","104901","18"
"月光學院","22","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","久野美咲","稍微有點差距的少女戀情","魔族","0","美咲","3","120","閱讀流行雜誌、蒐集化妝品","A","14","1","105001","11"
"暮光流星群","53","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","三石琴乃","興趣是實驗的危險科學家","人族","0","深月","7","166","研究、實驗","A","13","3","105101","27"
"伊麗莎白牧場","100","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","徳井青空","少女心的毛茸茸生物","獸人族","0","莉瑪","14","150","理毛、聊天","A","11","3","105201","18"
"純白之翼 蘭德索爾分部","33","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","辻あゆみ","外表與內心都是孩子的異國軍人","人族","0","莫妮卡","28","140","逛點心店","A","15","7","105301","18"
"慈樂之音","45","test","木戸衣吹","最愛時尚的可愛女孩","人族","0","紡希","7","153","裁縫","AB","4","9","105401","14"
"純白之翼 蘭德索爾分部","43","test","大関英里","何時都會一見鍾情，純情少女","精靈族","0","步未","7","155","觀察","O","15","4","105501","16"
"暮光流星群","54","test","佐藤利奈","散發人情味的帥氣「大姐頭」","人族","0","流夏","11","167","釣魚","B","13","7","105601","25"
"？？？","45","我呢，想要成為獨當一面的騎空士。\n有朝一日變成像父親那樣的騎空士，\n旅行直到天空的盡頭。這是我的夢想喔！","金元寿子","夢想前往天空冒險的騎空士少女","人族","0","吉塔","10","156","冒險、聊天","O","","3","105701","17"
"美食殿堂","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","M・A・O","元氣滿點的空腹少女","人族","0","貪吃佩可","31","156","邊走邊吃、料理","O","1","3","105801","17"
"美食殿堂","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","伊藤美来","仰慕主人，小小嚮導","精靈族","0","可可蘿","11","140","冥想、養育動植物","B","1","5","105901","11"
"美食殿堂","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","立花理香","倒在路旁的謎之貓耳魔法師","獸人族","0","凱留","2","152","和貓咪玩耍","A","1","9","106001","14"
"？？？","40","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","潘めぐみ","徬徨的謎樣少女","人族","0","矛依未","11","148","冒險、回憶故事","O","","8","106101","16"
"？？？","42","","優木かな","目標成為森林守護者的精靈族少女","精靈族","0","亞里莎","17","155","蒐集漂亮的葉子","O","","6","106301","15"
"美食殿堂","???","","近藤玲奈","失去記憶的龍人族少女","龍人族","0","雪菲","14","147","讀書、伸展運動","B","1","12","106401","14"
"龍族巢穴","???","","小市眞琴","專門用拳頭來交朋友的打手龍少女","龍人族","0","嘉夜","25","156","格鬥技","B","17","6","106501","16"
"龍族巢穴","???","","藤田茜","嘴上功夫一流的廢材龍娘","龍人族","0","祈梨","29","145","遊戲","AB","17","9","106601","13"
"龍族巢穴","???","","大西沙織","面帶詭譎的笑容看透一切的臥龍首領。","龍人族","0","帆稀","17","168","繪畫、讀書","O","17","4","106701","25"
"拉比林斯","??","","沢城みゆき","祕密結社拉比林斯的「迷宮女王」","人族","0","拉比林斯達","25","160","觀察人類","AB","3","7","106801","25"
"？？？","??","","蒼井翔太","謎團重重的蘭德索爾之主","獸人族","0","霸瞳皇帝","1","166","占卜、支配","AB","","7","106901","29"
"？？？","??","","井口裕香","隱居在研究所，相當文靜的大姊姊","精靈族","0","似似花","24","149","模仿、藝術欣賞","O","","3","107001","24"
"王宮騎士團","??","","たかはし智秋","自視甚高的王宮騎士團副團長","人族","0","克莉絲提娜","7","165","和強敵之間的競爭","O","8","2","107101","27"
"美食殿堂","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","M・A・O","元氣滿點的空腹少女","人族","0","貪吃佩可（夏日）","31","156","邊走邊吃、料理","O","1","3","107501","17"
"美食殿堂","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","伊藤美来","仰慕主人，小小嚮導","精靈族","0","可可蘿（夏日）","11","140","冥想、養育動植物","B","1","5","107601","11"
"咲戀育幼院","43","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","悠木碧","為了大小姐而努力的冒失女僕","人族","0","鈴莓（夏日）","12","154","服侍","O","9","12","107701","15"
"美食殿堂","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","立花理香","倒在路旁的謎之貓耳魔法師","獸人族","0","凱留（夏日）","2","152","和貓咪玩耍","A","1","9","107801","14"
"墨丘利財團","48","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","沼倉愛美","鋤強扶弱的貓娘","獸人族","0","珠希（夏日）","1","158","與貓咪玩耍","AB","12","3","107901","18"
"墨丘利財團","49","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","田所あずさ","公事私事都效率至上的傭兵少女","人族","0","美冬（夏日）","11","163","傭兵等等的打工","O","12","11","108001","20"
"惡魔偽王國軍","42","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","大坪由佳","擅長占卜的靈能少女","魔族","0","忍（萬聖節）","22","157","占卜","AB","7","12","108101","18"
"惡魔偽王國軍","32","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","雨宮天","最愛布丁的幽靈少女","魔族","0","宮子（萬聖節）","23","130","吃布丁","B","7","1","108201","14"
"月光學院","22","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","久野美咲","稍微有點差距的少女戀情","魔族","0","美咲（萬聖節）","3","120","閱讀流行雜誌、蒐集化妝品","A","14","1","108301","11"
"慈樂之音","46","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","福原綾香","守護人們而歌唱的唱喚士少女","人族","0","千歌（聖誕節）","3","163","各種樂器","O","4","6","108401","17"
"咲戀育幼院","40","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","植田佳奈","愛哭又膽小，令人想去保護的女孩","人族","0","胡桃（聖誕節）","9","150","看戲、扮家家酒","B","9","6","108501","12"
"咲戀育幼院","38","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","芹澤優","永遠跟噗吉在一起！","人族","0","綾音（聖誕節）","10","148","能在房間裡玩的遊戲","B","9","5","108601","14"
"破曉之星","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","東山奈央","最愛幫助別人！　正向思考的格鬥少女","獸人族","0","日和（新年）","27","155","助人、打氣加油","A","2","8","108701","16"
"破曉之星","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","種田梨沙","擅長支援戰鬥，心地善良的少女","人族","0","優衣（新年）","5","158","料理、觀察人類","O","2","4","108801","17"
"破曉之星","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","早見沙織","冷酷又率直的劍士","魔族","0","怜（新年）","12","163","讀書、騎馬、茶","B","2","1","108901","18"
"暮光流星群","43","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","橋本ちなみ","專情於命中注定對象的少女","魔族","0","惠理子（情人節）","30","154","實驗、裁縫、料理","B","13","7","109001","16"
"拉比林斯","54","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","生天目仁美","姐姐會照顧你的呦！","人族","0","靜流（情人節）","24","168","所有家事","O","3","10","109101","18"
"？？？","55","我是安！總之算是馬納歷亞王國的\n第一公主…不過別太拘謹，\n如果能輕鬆地和我變成好朋友的話，我會很開心的！","日笠陽子","和英靈締結契約的馬納歷亞天才公主","人族","0","安","1","156","讀書","AB","","12","109201","17"
"？？？","45","我叫做露！正在就讀\n馬納歷亞魔法學院。你也願意成為\n露的好朋友嗎？","こやまきみこ","馬納歷亞魔法學院新生","人族","0","露","4","144","吃飯，睡覺","O","","2","109301","15"
"？？？","67","我是古蕾婭。同時繼承了\n龍與人的血統…\n那個…請、請多指教","福原綾香","擁有超越人類力量的善良龍人公主","半人半龍","0","古蕾婭","3","167","鋼琴","B","","11","109401","17"
"純白之翼 蘭德索爾分部","49","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","長妻樹里","最愛妄想！其實是個害羞少女","人族","0","空花（大江戶）","19","157","閱讀小說","AB","15","11","109501","18"
"純白之翼 蘭德索爾分部","51","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","佐藤聡美","東國的神祕，請告訴我！","人族","0","妮諾（大江戶）","31","163","忍法開發","O","15","8","109601","16"
"？？？","??","","水瀬いのり","有如鬼助的萬能妹妹女僕","鬼族","0","雷姆","2","154","戲劇欣賞、詩和散文","?","","2","109701","17"
"？？？","??","","村川梨衣","毒舌系魔鬼姐姐女僕","鬼族","0","拉姆","2","154","讀書","?","","2","109801","17"
"？？？","??","","高橋李依","穩重成熟的銀髮半妖精","半妖精族","0","愛蜜莉雅","23","164","幫帕克梳理毛髮、念書","?","","9","109901","114"
"月光學院","48","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","上坂すみれ","天真浪漫的人氣超級名模","魔族","0","鈴奈（夏日）","10","167","時尚","O","14","4","110001","18"
"月光學院","52","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","伊藤静","魅惑眾多男性的純潔女老師","魔族","0","伊緒（夏日）","14","162","看戀愛小說、戀愛劇、戀愛漫畫","B","14","8","110101","23"
"月光學院","22","","久野美咲","稍微有點差距的少女戀情","魔族","0","美咲（夏日）","3","120","閱讀流行雜誌、蒐集化妝品","A","14","1","110201","11"
"咲戀育幼院","43","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","堀江由衣","經營育幼院的庶民派溫柔大小姐","精靈族","0","咲戀（夏日）","4","156","經營、茶會","A","9","10","110301","17"
"哞哞自衛隊","54","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","小松未可子","不輸男人的狂野義氣少女","獸人族","0","真琴（夏日）","9","168","做點心","O","10","8","110401","17"
"哞哞自衛隊","53","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","高森奈津美","隨時都「船到橋頭自然直」的天真少女","獸人族","0","香織（夏日）","7","158","跳舞、空手道","A","10","7","110501","19"
"哞哞自衛隊","42","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","内田真礼","真步真步王國的公主","獸人族","0","真步（夏日）","22","155","幻想、蒐集玩偶","O","10","9","110601","16"
"森林守衛","44","","花澤香菜","嚮往「朋友」的精靈之森女孩","精靈族","0","碧（插班生）","6","158","交朋友的想像訓練","AB","6","6","110701","13"
"聖德蕾莎女子學院（好朋友社）","42","","種﨑敦美","生長在市區的陰暗系精靈族","精靈族","0","克蘿依","7","154","飛鏢","O","16","8","110801","17"
"聖德蕾莎女子學院（好朋友社）","46","","佐倉綾音","天生自由奔放的失禮現代小孩","人族","0","琪愛兒","15","156","跳舞、卡拉OK","O","16","9","110901","16"
"聖德蕾莎女子學院（好朋友社）","36","","小原好美","沉睡於書庫的小小賢人","人族","0","優妮","28","142","讀書","O","16","2","111001","18"
"小小甜心","21","","小倉唯","端莊正直的嬌小優等生","精靈族","0","鏡華（萬聖節）","2","118","讀書","A","5","2","111101","8"
"小小甜心","27","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","諸星すみれ","愛好冒險的搗蛋鬼","人族","0","禊（萬聖節）","10","128","惡作劇、探險","O","5","8","111201","9"
"小小甜心","21","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","日高里菜","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","獸人族","0","美美（萬聖節）","3","117","蒐集可愛的東西","O","5","4","111301","10"
"？？？","28","","小倉唯","到處找人做朋友的死靈術師少女","人族","0","露娜","?","142","找「朋友」之事","?","","?","111401","??"
"王宮騎士團","??","","たかはし智秋","自視甚高的王宮騎士團副團長","人族","0","克莉絲提娜（聖誕節）","7","165","和強敵之間的競爭","O","8","2","111501","27"
"慈樂之音","40","","日笠陽子","能歌善舞的超人氣偶像","人族","0","望（聖誕節）","24","157","看舞台劇，跳舞","B","4","1","111601","17"
"惡魔偽王國軍","50","","丹下桜","曾經支配黑夜的最強吸血鬼","魔族","0","伊莉亞（聖誕節）","5","172","征服世界","A","7","5","111701","??"
"美食殿堂","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","M・A・O","元氣滿點的空腹少女","人族","0","貪吃佩可（新年）","31","156","邊走邊吃、料理","O","1","3","111801","17"
"美食殿堂","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","伊藤美来","仰慕主人，小小嚮導","精靈族","0","可可蘿（新年）","11","140","冥想、養育動植物","B","1","5","111901","11"
"美食殿堂","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","立花理香","倒在路旁的謎之貓耳魔法師","獸人族","0","凱留（新年）","2","152","和貓咪玩耍","A","1","9","112001","14"
"咲戀育幼院","43","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","悠木碧","為了大小姐而努力的冒失女僕","人族","0","鈴莓（新年）","12","154","服侍","O","9","12","112101","15"
"哞哞自衛隊","41","","水瀬いのり","頭腦聰明的美少女名偵探","獸人族","0","霞（魔法少女）","3","152","讀書、推理","AB","10","11","112201","15"
"伊麗莎白牧場","40","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","小清水亜美","喜愛讀書的體弱少女","獸人族","0","栞（魔法少女）","3","153","讀書、散步","A","11","11","112301","14"
"new generations","45","","大橋彩香","燦爛的笑容！　夢想成為偶像的女孩","人族","0","卯月（NGs）","24","159","與好友長談","O","100","4","112401","17"
"new generations","44","","福原綾香","冷酷又美麗的「蒼藍劍士」","人族","0","凜（NGs）","10","165","遛狗","B","100","8","112501","15"
"new generations","46","","原紗友里","目標成為超級巨星的活力女孩☆☆★","人族","0","未央（NGs）","1","161","購物","B","100","12","112601","15"
"伊麗莎白牧場","42","","小岩井ことり","視玩樂與睡眠為第一的懶惰少女","獸人族","0","鈴（遊俠）","1","144","紅豆麵包","B","11","1","112701","17"
"伊麗莎白牧場","35","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","新田恵海","令大家歡笑的歡樂牧場主人","人族","0","真陽（遊俠）","3","142","相聲","B","11","3","112801","20"
