7e949f6846d7605dfaae69cf32717a1d0a966582024dface80f739bb8541f6d0,a3af6a5e8299ec87ba979468c10059808c35a8e84fbd592763dab27ff00f133d,7efaa55e3062a8d26d9839df90c93339cb18d395705391c29349c966a5873b7a,884fd268c19c56f7ab6b04f45094d928c9c246f3e5c444e2bd9d84e18036e01d,fff2ad7ce7f6dcd6419e53246a1d867d49d56cbca34af78be670ef9bb3d57758,c5a33fe9ee132223195f0cb1d0b0f1c953c732da0e57b51d0a4db0aab8a02ed2,50ca44a1516df4e95f6aa3a3347b227d8e71c0e229bd5c88ee77026764f80aa9,6066a2dd5a1b31f1585b934f9107754e8e2b4baf45134e2cb8de748b39334d07,e93861edc92970c23f0e41fb512ef4360204107221b4a35183a57af5bb4a3727,9bac9fff1fb2ee54140c77add84a29a281c1dfe91510290e980c2b7c592dab10,28a86cbfbb47c5f335b530b277f38c425f6cf52e7b934bf8ce1e9e7ef60804b5,8965f1683f2c713669ebf72447cc6eca628864b7a74c1ee620efea7cebc4d83a
"1","8201","0","0","2","0","82","11011","0","81","101","82"
"3","8301","0","0","4","0","83","10501","0","82","50","83"
"1","8401","0","0","3","0","84","11031","0","83","103","84"
"4","8501","0","0","2","0","85","11041","0","84","104","85"
"2","8601","0","0","3","0","86","11001","0","85","100","86"
"2","8701","0","0","2","0","87","11021","0","86","102","87"
"2","8801","0","0","1","0","88","11031","0","87","103","88"
"4","8901","0","0","3","0","89","11041","0","88","104","89"
"1","9001","0","0","2","0","90","11021","0","89","102","90"
"4","9101","0","0","3","0","91","11041","0","90","104","91"
"3","9201","0","0","4","0","92","10501","0","91","50","92"
"4","9301","0","0","3","0","93","11041","0","92","104","93"
"1","9401","0","0","2","0","94","11021","0","93","102","94"
"2","9501","0","0","2","0","95","11031","0","94","103","95"
"4","9601","0","0","3","0","96","11041","0","95","104","96"
