0068b2efe020b6efa8c068df5d208cf83ee7ca9e06356a58a08f90a9d23f33d1,17b9e0d47f9a64d358197584a6ecbc1f8fc1e2e148483d1768fee5f733be9d7d,bfe178ed70e0d197c6ef3cc7a96f1bc8376eeb00df08b9507f11741d3ba33e37,449988e23c9b7769f8d1aecaf046f5b4c5978e5a7fe8bf1d417c51255cd0dc22,a886597f1e0ddfd18d6835d24c0b3be6911771351497bae963f888a3a328cc42,1c02f50a32fcbffc0e64c1ba879f04eea0277036eaafbfc06bb81c891c2cbb45,1940cc8242fcba4793d98f70e80eee868e1c1f6fb3eff0f6de740d29eb8820f9,6b104b73e0024c368dea78b57b8971ac93d0158cf3488ed973cb0ec28b2a3e35,21d180f5287b57b6b4f0939bd6ad3f6875dc1d69642437c6b8e32ca4bb32876c,6543a053e4aff1c79740c49fd92b5c949125e147617e33b62e4b2f3bf7b7072e,40ce5e6e37af9eef02ea6dfb066815f849fe8a6d06db67767de36064baaef1f3,1f89495f074ef936f07415f7ac78ff5380eb642fe9dde600c6a6ae72b7c94581,f989b28b5e15657d67c31b5f0963b52a5cd11d0af059596d89349618f0ea48b0,fa124999f0b8bcb012b9d764f3127939a9f16084f4c2d68b51f0621aa4ae5638,91b096c22deedb643bda2d7f2ae3e4ced18ed0861e5480010902e56d8bba3e1a
"雪菲","0","1","1","2104010","13","2","2015/12/17 15:00:00","裡頭裝有許多\n和大家一起的重要回憶呢\n希望能跟各位一同回想\n雋刻於心上","13003","0","-363","2099/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","13","1","2015/12/17 15:00:00","看到你有很多\n和女生共度的回憶哦！\n嗚呼嗚呼♪\n你很受歡迎呢☆","13004","0","-363","2099/12/17 14:59:59","105801","0"
"可可蘿","0","1","1","0","14","1","2015/12/17 15:00:00","這是可以獲得培育\n所需的道具的冒險。\n為了主人，在下\n一定會變強的呦","14001","0","-363","2099/12/17 14:59:59","105901","0"
"雪菲","0","1","1","2104010","14","2","2015/12/17 15:00:00","只要攻略這個冒險，\n似乎就能取得道具。\n為了變得更強，\n要拚命努力啊！","14002","0","-363","2099/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","14","1","2015/12/17 15:00:00","攻略這個冒險的話，\n可以得到道具哦\n蒐集許多道具，變得\n越來越強吧！","14003","0","-363","2099/12/17 14:59:59","105801","0"
"凱留","0","1","1","0","14","1","2015/12/17 15:00:00","攻略冒險的話，\n聽說就能得到道具\n能拿的東西，\n我們就要拿到！","14004","0","-363","2099/12/17 14:59:59","106001","0"
"可可蘿","0","1","1","0","15","1","2015/12/17 15:00:00","主人，做好行前準備\n一起完成充實的冒險吧。","15001","0","-470","2099/12/17 14:59:59","105901","0"
"雪菲","0","1","1","2104010","16","2","2015/12/17 15:00:00","欸……要不要加入戰隊？\n一個人是很開心，但跟大家\n一起很熱鬧，我覺得很棒","16001","0","-363","2099/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","16","1","2015/12/17 15:00:00","要加入戰隊看看嗎？\n和大家一起冒險\n非常開心哦！","16002","0","-363","2099/12/17 14:59:59","105801","0"
"凱留","0","1","1","0","16","1","2015/12/17 15:00:00","似乎可以加入戰隊哦\n機會難得，加入看看吧？\n好像挺好玩的哦♪","16003","0","-363","2099/12/17 14:59:59","106001","0"
"可可蘿","0","1","1","0","16","1","2015/12/17 15:00:00","在這裡可以加入戰隊，\n有很多厲害的戰隊，\n真令人目不暇給。","16004","0","-363","2099/12/17 14:59:59","105901","0"
"可可蘿","0","1","1","0","17","1","2015/12/17 15:00:00"," 在這邊可以回顧\n與同伴一同參加戰隊競賽時\n大顯身手的樣子。","17002","0","-363","2099/12/17 14:59:59","105901","0"
"凱留","0","1","1","0","25","1","2015/12/17 15:00:00","模擬戰的戰績裡如果有你\n喜歡的內容在裡面的話，\n可以存檔喔","17004","0","-363","2030/12/17 14:59:59","106001","0"
"可可蘿","0","1","1","0","25","1","2015/12/17 15:00:00","主人，您這次在戰隊競賽的\n活躍表現已存檔\n請用來作為未來戰鬥時的參考吧","17005","0","-363","2030/12/17 14:59:59","105901","0"
"雪菲","0","1","1","2104010","25","2","2015/12/17 15:00:00","這次的戰隊競賽\n戰況如何？\n看戰績，或許能活用到\n下次的戰鬥上","17006","0","-363","2030/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","25","1","2015/12/17 15:00:00","可以複習一下這次戰隊競賽\n的戰績喔！\n也讓我看看吧☆","17007","0","-363","2030/12/17 14:59:59","105801","0"
"花凜","0","1","1","0","18","1","2019/03/06 16:00:00","歡迎！\n在這裡提供主頁或\n公會小屋播放音樂的\n變更與購買服務喔。","18001","0","-363","2030/12/17 14:59:59","190801","0"
"花凜","0","2","1","0","18","1","2019/03/06 16:00:00","BGM的變更與購買\n都可以在這裡進行喔\n我們為您準備了，\n很多動人的樂曲喔！","18002","0","-363","2030/12/17 14:59:59","190801","0"
"花凜","0","3","1","0","19","1","2019/03/06 16:00:00","主頁或公會小屋的BGM\n都可以更改喔\n您喜歡的樂曲，\n也請讓我聽聽看吧。","19001","0","-470","2030/12/17 14:59:59","190801","0"
"花凜","0","4","1","0","19","1","2019/03/06 16:00:00","在這裡，\n可以將BGM更改喔\n您要更改為什麼樂曲呢？\n呵呵呵，我也很期待呢♪","19002","0","-470","2030/12/17 14:59:59","190801","0"
"花凜","0","5","1","0","20","1","2019/03/06 16:00:00","在這裡，\n可以讓您購買BGM喔，\n也可以讓您試聽，\n請仔細挑選吧。","20001","0","-470","2030/12/17 14:59:59","190801","0"
"花凜","0","6","1","0","20","1","2019/03/06 16:00:00","歡迎光臨！\n請到這裡購買BGM\n有很多優秀的樂曲，\n讓人挑得目不暇給呢。","20002","0","-470","2030/12/17 14:59:59","190801","0"
"凱留","0","1","1","0","21","1","2019/03/06 16:00:00","在這裡好像可以用取得的道具\n來製作專用裝備呢\n如果收集到了道具\n就立刻來試做吧！","21001","0","-363","2030/12/17 14:59:59","106001","0"
"可可蘿","0","1","1","0","21","1","2019/03/06 16:00:00","攻略時有可能\n獲得稀有的道具喔\n有了這類道具\n好像可以用來製作專用裝備。","21002","0","-363","2030/12/17 14:59:59","105901","0"
"雪菲","0","1","1","2104010","21","2","2015/12/17 15:00:00","想要專用裝備的話\n就挑戰這個冒險吧\n靠著收集到的素材\n變得更強更強吧","21003","0","-363","2030/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","21","1","2019/03/06 16:00:00","好像可以獲得\n製作專用裝備的必要道具\n多多收集、\n越裝就會越強大！","21004","0","-363","2030/12/17 14:59:59","105801","0"
"花凜","0","1","1","0","22","1","2019/07/24 16:00:00","投票請到這邊。\n請為你支持的女孩\n投下你心意滿滿的\n一票吧！","22001","0","-430","2030/12/17 14:59:59","190801","0"
"花凜","0","2","1","0","22","1","2019/07/24 16:00:00","歡迎！\n你喜愛的女孩\n是哪一位呢？\n請幫她加油吧！","22002","0","-430","2030/12/17 14:59:59","190801","0"
"花凜","0","3","1","0","23","1","2019/07/24 16:00:00","謝謝你們\n踴躍的投票。\n請大家耐心等候，\n敬請期待結果發表喔！","23001","0","-430","2030/12/17 14:59:59","190801","0"
"花凜","0","4","1","0","23","1","2019/07/24 16:00:00","目前正在統計\n人氣投票結果。\n在結果統計完畢之前\n請再稍候一下喔。","23002","0","-430","2030/12/17 14:59:59","190801","0"
"惠理子（情人節）","8","1","2","0","24","1","2019/07/01 16:00:00","有大人您幫忙製作的\n巧克力蛋糕。\n一定會很美味的。","24001","4.08","-385","2030/12/17 14:59:59","109001","10011"
"惠理子（情人節）","8","2","2","0","24","1","2019/07/01 16:00:00","這種失誤絕對不是\n大人您會犯的。\n再挑戰一次看看吧。","24002","5","-385","2030/12/17 14:59:59","109001","10011"
"惠理子（情人節）","8","3","2","0","24","1","2019/07/01 16:00:00","原本要為了大人您而製作的蛋糕，\n結果卻讓您來幫忙……。\n事情竟然變成這樣……嘻嘻嘻嘻。","24003","10.11","-385","2030/12/17 14:59:59","109001","10011"
"惠理子（情人節）","8","4","2","0","24","1","2019/07/01 16:00:00","您不需要太過煩惱。\n今後我會花費許多時間\n來教導您的。","24004","4","-385","2030/12/17 14:59:59","109001","10011"
"惠理子（情人節）","8","5","2","0","24","1","2019/07/01 16:00:00","您這次的狀態不太好……嗎？\n如果是大人您幫忙做的話，\n不論是什麼我都……嘻嘻嘻嘻。","24005","6","-385","2030/12/17 14:59:59","109001","10011"
"惠理子（情人節）","0","6","1","0","24","1","2019/07/01 16:00:00","大人您親自製作的巧克力蛋糕\n對我來說是寶物……\n膽敢取笑你的人是不會有活路的。","24006","0","0","2030/12/17 14:59:59","109002","10011"
"惠理子（情人節）","0","7","1","0","24","1","2019/07/01 16:00:00","這賣相做得實在太完美了！\n做出了非常符合\n大人您氣質的巧克力蛋糕。","24007","0","0","2030/12/17 14:59:59","109002","10011"
"惠理子（情人節）","0","8","1","0","24","1","2019/07/01 16:00:00","幫忙了我的大人您\n已然是我的俘虜了……\n讓我來邀請您蒞臨這甜蜜的世界。","24008","0","0","2030/12/17 14:59:59","109002","10011"
"惠理子（情人節）","0","9","1","0","24","1","2019/07/01 16:00:00","您的愛情我確實地收下了。\n這是……我們第一次的\n共同作業呢……嘻嘻嘻嘻。","24009","0","0","2030/12/17 14:59:59","109002","10011"
"惠理子（情人節）","0","10","1","0","24","1","2019/07/01 16:00:00","這是世界第一的巧克力蛋糕。\n因為這是大人您\n拿出看家本領製作的嘛。","24010","0","0","2030/12/17 14:59:59","109002","10011"
"靜流（情人節）","8","1","2","0","24","1","2019/07/01 16:00:00","做得不太好覺得很可惜嗎？\n不過，弟弟的心意讓我很開心呢。\n姐姐會一直陪在你身邊的♪","24011","2.12","-385","2030/12/17 14:59:59","109101","10011"
"靜流（情人節）","8","2","2","0","24","5","2019/07/01 16:00:00","嗯，弟弟難得的\n緊張了吧？\n要再挑戰一次看看嗎？","24012","4.19","-385","2030/12/17 14:59:59","109101","10011"
"靜流（情人節）","8","3","4","0","24","2","2019/07/01 16:00:00","你幫了姐姐的忙，\n做得很棒喔！\n啊，還不可以偷吃啦！","24013","2.3","-385","2030/12/17 14:59:59","109101","10011"
"靜流（情人節）","0","4","1","0","24","1","2019/07/01 16:00:00","你看你看！\n海綿蛋糕的顏色烤得很美喔。\n不愧是弟弟呢！","24014","0","0","2030/12/17 14:59:59","109102","10011"
"靜流（情人節）","8","5","2","0","24","5","2019/07/01 16:00:00","好啦好啦，不要沮喪了。\n外觀上……是蠻有個性的，\n不過味道絕對會好吃的！","24015","5.23","-385","2030/12/17 14:59:59","109101","10011"
"靜流（情人節）","0","6","1","0","24","1","2019/07/01 16:00:00","像弟弟一樣可愛\n的蛋糕出爐囉！\n很想快點吃看看吧♪","24016","0","0","2030/12/17 14:59:59","109102","10011"
"靜流（情人節）","8","7","2","0","24","1","2019/07/01 16:00:00","哎呀呀？弟弟，你的手指上\n沾到巧克力囉？\n姐姐來幫你舔乾淨唷，啊呣！","24017","5.01","-385","2030/12/17 14:59:59","109101","10011"
"靜流（情人節）","0","8","1","0","24","1","2019/07/01 16:00:00","做得還挺不錯的嘛？\n不過弟弟還能做得更好！\n姐姐很相信你唷。","24018","0","0","2030/12/17 14:59:59","109102","10011"
"靜流（情人節）","0","9","1","0","24","1","2019/07/01 16:00:00","哇～做得好像非常的美味呢！\n因為弟弟做的很熟練了，\n姐姐能放心交給你製作了呢！","24019","0","0","2030/12/17 14:59:59","109102","10011"
"靜流（情人節）","0","10","1","0","24","1","2019/07/01 16:00:00","呀～是弟弟幫忙做的\n巧克力蛋糕！\n做的看起來非常美味呢♪","24020","0","0","2030/12/17 14:59:59","109102","10011"
"雪菲","0","1","1","2104010","26","2","2015/12/17 15:00:00","往前面走好像是個神聖的地方\n那裡究竟沉睡著怎麼樣的寶藏，\n真期待接下來的探索♪","26001","0","-363","2030/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","26","1","2015/12/17 15:00:00","往前面走\n好像是個神聖的地方。\n究竟能獲得怎樣的寶藏， \n真令人期待呢！","26002","0","-363","2030/12/17 14:59:59","105801","0"
"凱留","0","1","1","0","26","1","2015/12/17 15:00:00","前面好像是個神聖的地方。\n雖然能獲得稀有的寶物，\n不過要是不小心一點，\n可能會受到慘痛的教訓喔。","26003","0","-363","2030/12/17 14:59:59","106001","0"
"可可蘿","0","1","1","0","26","1","2015/12/17 15:00:00","往前面走\n是個神聖的地方。\n繃緊神經\n調查寶藏進行探索吧！","26004","0","-363","2030/12/17 14:59:59","105901","0"
"雪菲","0","1","1","2104010","27","2","2015/12/17 15:00:00","在這裡好像沉睡著道具，\n能夠讓人得到更強大的力量……\n大家是這麼說的。呵呵，\n那就來挑戰看看吧","27001","0","-363","2030/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","27","1","2015/12/17 15:00:00","在這裡好像沉睡著道具，\n能夠讓人得到\n更強大的力量！　要從哪裡開始挑戰，\n真令人苦惱呢！","27002","0","-363","2030/12/17 14:59:59","105801","0"
"凱留","0","1","1","0","27","1","2015/12/17 15:00:00","在這裡好像沉睡著道具，\n能夠讓人得到更強大的力量！\n不斷地去挑戰，\n一起變強大吧！","27003","0","-363","2030/12/17 14:59:59","106001","0"
"可可蘿","0","1","1","0","27","1","2015/12/17 15:00:00","在這裡好像沉睡著道具，\n似乎能夠讓人得到\n更強大的力量。主人，您要從哪裡\n開始挑戰呢？","27004","0","-363","2030/12/17 14:59:59","105901","0"
"花凜","0","1","1","0","28","1","2019/12/12 16:00:00","歡迎！\n公會管理協會\n會幫助大家\n讓大家有美好的邂逅！","28001","0","-363","2030/12/17 14:59:59","190801","0"
"花凜","0","2","1","0","28","1","2019/12/12 16:00:00","這裡是公會管理協會。\n關於朋友，\n請從這裡確認。","28002","0","-363","2030/12/17 14:59:59","190801","0"
"花凜","0","3","1","0","29","1","2019/12/12 16:00:00","這裡是\n您的朋友。\n請和他們\n建立美好的關係吧！","29001","0","-409","2030/12/17 14:59:59","190801","0"
"花凜","0","4","1","0","29","1","2019/12/12 16:00:00","這裡的一覽表\n可以確認\n朋友的個人頁面喔。","29002","0","-409","2030/12/17 14:59:59","190801","0"
"花凜","0","5","1","0","30","1","2019/12/12 16:00:00","朋友管理\n請至這裡查看。\n敬請期待\n和新朋友的邂逅吧！","30001","0","-409","2030/12/17 14:59:59","190801","0"
"花凜","0","6","1","0","30","1","2019/12/12 16:00:00","可以進行朋友申請\n和接受朋友申請囉。\n希望您能獲得不錯的交流！","30002","0","-409","2030/12/17 14:59:59","190801","0"
"花凜","0","7","1","0","31","1","2020/02/18 16:00:00","進行好友對戰，\n來比一比戰力吧\n，可以測試一下實力呢，\n請多加油！","31001","0","-409","2030/12/17 14:59:59","190801","0"
"花凜","0","8","1","0","31","1","2020/02/18 16:00:00","和你所關注的好友隊伍\n對戰看看吧！\n究竟誰會獲得勝利，\n我也很期待呢。","31002","0","-409","2030/12/17 14:59:59","190801","0"
"花凜","0","1","1","0","32","1","2020/04/22 05:00:00","我們特別為各位\n新手朋友準備了\n特別的任務！\n請務必挑戰看看！","32001","0","-409","2020/05/15 04:59:59","190801","0"
"花凜","0","2","1","0","32","1","2020/04/22 05:00:00","正在舉辦\n期間限定活動！\n一起來\n挑戰任務吧！","32002","0","-409","2020/05/15 04:59:59","190801","0"
"花凜","0","3","1","0","33","1","2020/04/22 05:00:00","成為好友，\n一起支援新手吧！\n有很厲害的獎勵等著你哦！","33001","0","-409","2020/05/15 04:59:59","190801","0"
"花凜","0","4","1","0","33","1","2020/04/22 05:00:00","正在舉辦\n期間限定活動！\n一起來\n挑戰任務吧！","33002","0","-409","2020/05/15 04:59:59","190801","0"
"花凜","0","5","1","0","34","1","2020/04/22 05:00:00","辛苦了！\n可以從這裡\n領取任務獎勵哦！","34001","0","-409","2020/05/21 04:59:59","190801","0"
"花凜","0","6","1","0","34","1","2020/04/22 05:00:00","從這裡領取\n任務獎勵！\n領取獎勵時，\n請注意不要遺漏了！","34002","0","-409","2020/05/21 04:59:59","190801","0"
"貪吃佩可","0","1","2","0","38","1","2020/06/18 16:00:00","享受過去的\n劇情活動吧！\n如果有尚未遊玩過的活動，\n就一起玩玩看吧♪","38001","5.3","-458","2030/12/17 14:59:59","105801","0"
"貪吃佩可","0","2","2","0","38","1","2020/06/18 16:00:00","好像還能獲得\n能讓至今活動中登場的\n限定角色成為夥伴的\n記憶碎片哦。太讚了吧☆","38002","6.5","-458","2030/12/17 14:59:59","105801","0"
"貪吃佩可","9999","0","3","0","39","3","2023/04/01","","39005","0","9999","2023/04/08 23:59:59","105801","0"
"花凜","0","2","1","0","40","1","2015/12/17 15:00:00","可以回顧到目前為止\n出現過的問題。\n複習很重要喔♪","40001","0","-430","2030/12/17 14:59:59","190801","0"
"雪菲","0","1","1","2104010","41","1","2015/12/17 15:00:00","聽說可以在這裡\n試試身手哦。\n正好可以用來\n測試自己的實力呢。","41001","0","-363","2030/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","41","1","2015/12/17 15:00:00","在這裡試試身手吧！\n火力全開，\n好好加油喔～！","41002","0","-363","2030/12/17 14:59:59","105801","0"
"凱留","0","1","1","0","41","1","2015/12/17 15:00:00","可以在這裡\n試試身手的樣子呢。\n試一下也無妨吧。","41003","0","-363","2030/12/17 14:59:59","106001","0"
"可可蘿","0","1","1","0","41","1","2015/12/17 15:00:00","好像可以試試身手。\n在這裡反覆練習，\n在實戰中靈活運用吧。","41004","0","-363","2030/12/17 14:59:59","105901","0"
"可可蘿","0","1","1","0","42","1","2015/12/17 15:00:00","據說根據訓練的成果，\n可以獲得對應的獎勵。\n我們一起努力吧。","42001","0","-416.5","2030/12/17 14:59:59","105901","0"
"雪菲","0","1","1","2104010","42","1","2015/12/17 15:00:00","只要達成目標，\n就能獲得獎勵的樣子。\n值得努力挑戰看看呢。","42002","0","-416.5","2030/12/17 14:59:59","106401","0"
"貪吃佩可","0","1","1","0","42","1","2015/12/17 15:00:00","努力通過測試的話，\n可以獲得獎勵喔！\n快來挑戰看看吧☆","42003","0","-416.5","2030/12/17 14:59:59","105801","0"
"凱留","0","1","1","0","42","1","2015/12/17 15:00:00","聽說完成任務的話，\n會有獎勵的樣子喔。\n我們一起試試看吧！","42004","0","-416.5","2030/12/17 14:59:59","106001","0"
"貪吃佩可","0","1","1","0","43","1","2015/12/17 15:00:00","接下來可以\n挑戰競技場喔！\n仔細編組隊伍，\n挑戰敵人吧！","43001","0","-363","2030/12/17 14:59:59","105801","0"
"可可蘿","0","1","1","0","43","1","2015/12/17 15:00:00","接下來可以\n挑戰競技場。\n編組出有主人風格的隊伍，\n挑戰敵人吧。","43002","0","-363","2030/12/17 14:59:59","105901","0"
"凱留","0","1","1","0","43","1","2015/12/17 15:00:00","接下來可以\n挑戰競技場哦！\n好好思考如何編組隊伍，\n挑戰敵人吧！","43003","0","-363","2030/12/17 14:59:59","106001","0"
"愛梅斯","0","1","1","0","44","1","2015/12/17 15:00:00","完成任務就可以獲得獎勵喔。\n請盡情完成任務，\n賣力進行強化♪","43004","0","-416.5","2030/12/17 14:59:59","123001","0"
"愛梅斯","0","2","1","0","44","1","2015/12/17 15:00:00","現在可不是發呆的時候啊。\n請快點去完成任務，\n領取獎勵！","43005","0","-416.5","2030/12/17 14:59:59","123001","0"
"愛梅斯","0","3","2","0","45","1","2015/12/17 15:00:00","你等一下，不是有獎勵\n可以領取嗎！\n別忘了確認啊。\n這可是與愛梅斯大人的約定喔？","43006","5.79","-416.5","2030/12/17 14:59:59","123001","0"
"愛梅斯","0","1","1","0","46","1","2015/12/17 15:00:00","好了，辛苦了。\n在這裡可以使用\n專精券，取得\n專精強化素材。","46001","0","-371.5","2030/12/17 14:59:59","123001","0"
