b6fc80ce3fe5797afcf93a46e48480486cf84c06a5bb2a6ff0a14bbfdf24eb02,5d7698e80017d7200b0d36e5e4ec85bd73d052ac69feaa913f2a5a4b7f62a896,9577f9338357996a04741fe808f6fe33bfcfde98abe77fa1b23e305263b9c0e2,fce9e37ac19e1b6fb2041773246fedaeca233bb93a97fbd4a4cb18c92c3f4ec9,331e780e3cd7da8c914492c8afc5b8616035140bebb0f478edf17801448c6b1d,ae510348a8918cae16e5567d9642c19532d5dac059d0da991a6a9f53fbef14c5,4828672f1cfcae4819bb039cb2e49a5fbd3244efeea7f0cc58727340ac17858c,763558d2e0f43a344786111b0ea22e8d7b00db44f8973d9ed38dfc33fc61ef0a,ba1c93f37a63cf2e7be4fa82707fa972085b3bc697df7c826107e0ca06761ba4,e334469c87e2cd22534f2e6ccece452bb9a767fe2d7990d93f7aeab9419f302f,df973ef562e131de80a62657ab58753d4f34ab92563e9d7475f833b689e19893,24bd855dd177c7a7c68fd6e90c74212837d08012694358e07718e21069f1036e,7cf1c43ebdea4a7732be1ea0d8b8abb012cf009e3070298f36997624f29e74bc,c8293bfac24a105190855dd62138e68a89b50843b344cc77ab2a996ec014f73c,6dce926eb75044fa4306ccd134ed7897d67b5360ccc9aa11a9925ba7f764ff8a,98b9612e456e665e3da139a3a1129fc288021111957d68030f922c673f3e3f24,886ee66dd14ecb76562531ec3529b13d2cd7cb17fb8e9b5d780434d54c155e1b,027f7647c83c27e45cbe8ac9659be62ab07d3cd2ca1f278803d805c8f5956513,ecf04da701a9af333aa9fe8112e6cea3f8ce20aea713dfc2049bfc978a1b8e11,b1b3c2a50f1b8e0f8df7df0d41b7e4ae93aeb0c9c0f0720f737ca6490209cf52,0fdf9bd0a18eefaa4db7afcb559b5efd02d09186bee1b86c55d33a12c11768e4
"NONE","WaterMelon","BeachTrap","0","BeachTrap","0","NONE","3500","0","1500","0","SummerEnemyC","SummerJumpOverEnemyC","1000","NONE","500","3000","BeachTrap","2000","NONE","1023"
"NONE","SpeedTerritoryA_NoColl","EnemyB_NoColl","0","Balloon","0","SummerJumpOverEnemyC","3200","0","1300","3700","SummerEnemyB","SummerEnemyA_NoColl","600","NONE","400","2300","BeachTrap","1800","NONE","1024"
"NONE","AccelBoardA","AccelBoardA","0","AccelBoardA","0","NONE","0","0","2000","0","EnemyB","AccelBoardA","1300","NONE","900","3400","NONE","2700","NONE","1025"
"NONE","BeachJumpBoard","NONE","0","AccelBoardA","0","NONE","0","0","1500","0","EnemyB","WaterMelon","800","NONE","400","0","NONE","2500","NONE","1026"
"NONE","EnemyB_NoColl","SummerEnemyA_NoColl","0","BeachTrap","0","NONE","3100","0","700","0","SpeedTerritoryA","Balloon","630","NONE","400","2600","BeachJumpBoard","1700","NONE","1027"
"NONE","BeachTrap","AccelBoardA","0","AccelBoardA","0","NONE","0","0","2300","0","SpeedTerritoryA","SummerEnemyD","1400","NONE","600","3200","NONE","2700","NONE","1028"
"NONE","WarpGateA","NONE","0","BeachTrap","0","NONE","0","0","1700","0","SummerEnemyC","SpeedTerritoryA","1000","NONE","500","0","NONE","2500","NONE","1029"
"NONE","BeachTrap","BeachTrap","0","AccelBoardA","0","NONE","3500","0","2000","0","WaterMelon","AccelBoardA","1500","NONE","500","2800","SpeedTerritoryA","2500","NONE","1030"
"NONE","BeachTrap","SummerEnemyD","0","SpeedTerritoryA_NoColl","0","NONE","3500","0","2200","0","Balloon","SpeedTerritoryA_NoColl","1200","NONE","350","3200","AccelBoardA","2900","NONE","1031"
"NONE","NONE","NONE","0","SummerEnemyA","0","NONE","0","0","3000","0","AccelBoardA","SummerEnemyA","1500","NONE","700","0","NONE","0","NONE","1032"
"NONE","SpeedTerritoryA","NONE","0","AccelBoardA","0","NONE","0","0","2200","0","BeachTrap","SummerEnemyA","1400","NONE","700","0","NONE","3100","NONE","1033"
"NONE","SummerJumpOverEnemyD","SummerJumpOverEnemyA","0","BeachJumpOverTrap","0","NONE","3500","0","2000","0","BeachTrap","SummerJumpOverEnemyC","1000","NONE","500","3000","SpeedTerritoryB","2500","NONE","1034"
"NONE","Balloon","EnemyB_NoColl","0","SummerEnemyC","0","EnemyB_NoColl","2700","0","1200","3100","BeachJumpOverTrap","BeachTrap","800","NONE","400","2300","BeachTrap_NoCall","1500","NONE","1035"
"NONE","NONE","NONE","0","SpeedTerritoryA","0","NONE","0","0","2700","0","AccelBoardA","BeachTrap","1200","NONE","500","0","NONE","0","NONE","1036"
"NONE","AccelBoardA","NONE","0","AccelBoardA","0","NONE","0","0","2000","0","SummerEnemyD","BeachTrap","1000","NONE","500","0","NONE","3000","NONE","1037"
"NONE","EnemyB","AccelBoardA","0","WaterMelon","0","NONE","3500","0","2200","0","SpeedTerritoryB","AccelBoardA","1000","NONE","500","3000","AccelBoardA","2700","NONE","1038"
"NONE","NONE","NONE","0","BeachTrap","0","NONE","0","0","2500","0","SpeedTerritoryA","WarpGateA","1700","NONE","800","3100","NONE","2400","NONE","1039"
"NONE","SummerJumpOverEnemyA","WarpGateA","0","SummerEnemyC","0","NONE","0","0","1400","0","EnemyB","SummerJumpOverEnemyA","1000","NONE","500","2500","NONE","1800","NONE","1040"
"NONE","SummerEnemyC","AccelBoardA","0","BeachTrap","0","NONE","0","0","2000","0","BeachTrap","AccelBoardA","1500","NONE","1000","3300","NONE","2800","NONE","1041"
"NONE","WaterMelon","SummerJumpOverEnemyA","0","BeachTrap","0","NONE","3300","0","1300","0","BeachTrap","AccelBoardA","900","NONE","500","2700","AccelBoardA","1800","NONE","1042"
"NONE","SummerEnemyC","BeachTrap","0","SummerEnemyB","0","NONE","0","0","1500","0","AccelBoardA","AccelBoardA","1100","NONE","500","2700","NONE","2200","NONE","1043"
"NONE","SpeedTerritoryB","NONE","0","SummerEnemyB","0","NONE","0","0","2300","0","AccelBoardA","BeachJumpBoard","1400","NONE","500","0","NONE","3300","NONE","1044"
"NONE","AccelBoardA","NONE","0","AccelBoardA","0","NONE","0","0","2300","0","EnemyB","AccelBoardA","1900","NONE","1280","0","NONE","2700","NONE","1045"
"NONE","EnemyB","BeachJumpBoard","0","AccelBoardA","0","NONE","0","0","1300","0","AccelBoardA","AccelBoardA","900","NONE","400","2500","NONE","2000","NONE","1046"
"NONE","NONE","NONE","0","AccelBoardA","0","NONE","0","0","2400","0","SpeedTerritoryB","WarpGateA","1500","NONE","700","0","NONE","0","NONE","1047"
"NONE","BeachTrap","NONE","0","AccelBoardA","0","NONE","0","0","2500","0","SummerEnemyD","BeachTrap","1600","NONE","550","0","NONE","3100","NONE","1048"
"NONE","BeachJumpOverTrap","BeachTrap","0","WaterMelon","0","NONE","3500","0","2000","0","SpeedTerritoryB","AccelBoardA","1000","NONE","500","3000","BeachTrap","2500","NONE","1049"
"NONE","BeachJumpOverTrap","BeachJumpOverTrap","0","BeachJumpOverTrap","0","NONE","3600","0","1800","0","BeachJumpOverTrap","BeachJumpOverTrap","1200","NONE","600","3000","BeachJumpOverTrap","2400","NONE","1050"
"NONE","BeachJumpBoard","NONE","0","BeachJumpBoard","0","NONE","0","0","2200","0","BeachJumpBoard","BeachJumpBoard","1300","NONE","500","0","NONE","3000","NONE","1051"
"NONE","SpeedTerritoryA","NONE","0","BeachJumpBoard","0","NONE","0","0","2100","0","BeachJumpBoard","BeachJumpBoard","1200","NONE","300","0","NONE","3500","NONE","1052"
"NONE","BeachTrap","BeachTrap","0","BeachJumpOverTrap","0","NONE","3600","0","1800","0","BeachJumpOverTrap","BeachJumpOverTrap","1200","NONE","600","3000","BeachTrap","2400","NONE","1053"
"NONE","NONE","NONE","0","NONE","0","NONE","0","0","0","0","BeachJumpBoard","NONE","0","NONE","500","0","NONE","0","NONE","1054"
"NONE","EnemyB","NONE","0","BeachJumpBoard","0","NONE","0","0","2100","0","BeachJumpBoard","BeachJumpBoard","1200","NONE","300","0","NONE","3500","NONE","1055"
"NONE","BeachJumpOverTrap","BeachJumpOverTrap","0","BeachJumpOverTrap","0","NONE","3600","0","1800","0","BeachJumpOverTrap","BeachJumpOverTrap","1200","NONE","600","3000","BeachTrap","2400","NONE","1056"
"NONE","NONE","NONE","0","BeachJumpBoard","0","NONE","0","0","2500","0","BeachJumpBoard","BeachJumpBoard","1500","NONE","500","0","NONE","0","NONE","1057"
"NONE","SummerEnemyC","NONE","0","BeachJumpBoard","0","NONE","0","0","2100","0","BeachJumpBoard","BeachJumpBoard","1200","NONE","300","0","NONE","3500","NONE","1058"
"NONE","BeachJumpOverTrap","BeachTrap","0","BeachJumpOverTrap","0","NONE","3600","0","1800","0","BeachJumpOverTrap","BeachJumpOverTrap","1200","NONE","600","3000","BeachTrap","2400","NONE","1059"
"NONE","NONE","NONE","0","BeachJumpBoard","0","NONE","0","0","0","0","BeachJumpBoard","NONE","2500","NONE","1300","0","NONE","0","NONE","1060"
"NONE","SummerJumpOverEnemyB","NONE","0","BeachJumpBoard","0","NONE","0","0","2100","0","BeachJumpBoard","BeachJumpBoard","1200","NONE","300","0","NONE","3500","NONE","1061"
"NONE","BeachJumpOverTrap","BeachJumpOverTrap","0","BeachTrap","0","NONE","0","0","1800","0","SummerEnemyD","AccelBoardA","1200","NONE","500","3300","NONE","2600","NONE","1062"
"NONE","NONE","NONE","0","SpeedTerritoryB","0","NONE","0","0","3300","0","BeachJumpBoard","AccelBoardA","2300","NONE","700","0","NONE","0","NONE","1063"
"NONE","EnemyB","ShellFlyingItem","0","ShaveIce","0","ShellFlyingItem","2800","0","1600","3200","SpeedTerritoryB","ShellFlyingItem","1200","NONE","600","2400","SummerEnemyG","2000","NONE","1064"
"SummerEnemyG","EnemyB","ShellFlyingItem","0","BeachTrap","3600","ShellFlyingItem","2400","3200","1200","2800","SummerEnemyD","ShaveIce","800","NONE","400","2000","SummerEnemyA","1600","SummerEnemyG","1065"
"SummerEnemyG","ShaveIce","EnemyB","0","SummerEnemyA_NoColl","0","SummerEnemyG","2800","3600","1600","3200","BeachJumpBoard","SummerEnemyG","800","NONE","400","2400","SummerEnemyC","2000","NONE","1066"
"NONE","SpeedTerritoryA","ShaveIce","0","AccelBoardA","0","SummerEnemyA","3200","0","1800","3600","AccelBoardA","AccelBoardA","1100","NONE","400","2800","EnemyB","2400","NONE","1067"
"NONE","ShaveIce","NONE","0","WaterMelon","0","NONE","0","0","2000","0","WaterMelon","WaterMelon","1300","NONE","300","0","NONE","2700","NONE","1068"
"NONE","WaterMelon","NONE","0","WaterMelon","0","NONE","0","0","2200","0","WaterMelon","WaterMelon","1200","NONE","300","0","NONE","3200","NONE","1069"
"NONE","ShaveIce","NONE","0","WaterMelon","0","NONE","0","0","1850","0","WaterMelon","WaterMelon","1150","NONE","300","0","NONE","2550","NONE","1070"
"NONE","ShaveIce","NONE","0","WaterMelon","0","NONE","0","0","1700","0","WaterMelon","WaterMelon","1000","NONE","300","0","NONE","2400","NONE","1071"
"NONE","WaterMelon","NONE","0","SpeedTerritoryB","0","NONE","0","0","1200","0","BeachTrap","SummerEnemyA","800","NONE","400","0","NONE","1600","NONE","1072"
"NONE","Balloon","NONE","0","SpeedTerritoryB","0","NONE","0","0","1200","0","BeachTrap","SummerEnemyB","800","NONE","400","0","NONE","1600","NONE","1073"
"NONE","BeachJumpBoard","NONE","0","SpeedTerritoryB","0","NONE","0","0","1200","0","BeachTrap","SummerEnemyC","800","NONE","400","0","NONE","1600","NONE","1074"
"NONE","ShaveIce","NONE","0","SpeedTerritoryB","0","NONE","0","0","1200","0","BeachTrap","SummerEnemyD","800","NONE","400","0","NONE","1600","NONE","1075"
"NONE","ShaveIce","EnemyB","0","SummerJumpOverEnemyC","0","SummerEnemyG","3000","0","1200","3600","SummerEnemyD","EnemyB","800","NONE","400","2400","ShellFlyingItem","1800","NONE","1076"
"NONE","ShaveIce","SummerEnemyC","0","WaterMelon","0","SummerEnemyG","3200","0","1600","3600","SpeedTerritoryA","SpeedTerritoryA","800","NONE","400","2600","EnemyB","2000","NONE","1077"
"NONE","SummerEnemyG","BeachJumpOverTrap","0","ShellFlyingItem","0","NONE","3600","0","1600","3600","Surf","SummerEnemyB","800","NONE","400","2800","SummerEnemyG","2000","NONE","1078"
"NONE","Surf","ShellFlyingItem","0","BeachJumpOverTrap","0","SummerEnemyB","2400","0","1200","2800","BeachTrap","BeachTrap","800","NONE","400","2000","ShellFlyingItem","1600","NONE","1079"
"ShellFlyingItem","SummerEnemyB","SummerEnemyC","0","SummerEnemyA_NoColl","3200","SummerEnemyB","2000","2800","1000","2400","BeachJumpBoard","BeachTrap_NoCall","700","NONE","400","1600","Surf","1300","SummerEnemyB","1080"
"NONE","SummerEnemyB","SummerEnemyB","0","Surf","0","BeachJumpOverTrap","2800","0","1200","3600","SummerEnemyA","ShellFlyingItem","800","NONE","400","2000","BeachTrap","1600","NONE","1081"
"NONE","SurfB","SummerEnemyB","0","ShellFlyingItem","0","BeachJumpOverTrap","3200","0","1600","3600","SurfB","BeachTrap","800","NONE","400","2400","SummerEnemyB","2000","NONE","1082"
"SummerEnemyG","SummerEnemyB","Surf","0","SurfB","0","ShellFlyingItem","2600","3400","1100","3000","SpeedTerritoryA","ShellFlyingItem","800","NONE","400","2000","SummerEnemyC","1800","NONE","1083"
"NONE","SummerEnemyC","SurfB","0","EnemyB","0","SummerEnemyC","2800","0","1500","3600","Surf","ShellFlyingItem","800","NONE","300","2500","SummerEnemyG","1800","NONE","1084"
"NONE","SummerEnemyC","SurfB","0","EnemyB","0","SummerEnemyC","2800","0","1500","3600","SurfB","BeachJumpOverTrap","800","NONE","300","2500","SummerEnemyG","1800","NONE","1085"
"NONE","SummerEnemyC","SurfB","0","EnemyB","0","BeachJumpOverTrap","2800","0","1500","3600","Surf","ShellFlyingItem","800","NONE","300","2500","SummerEnemyG","1800","NONE","1086"
"NONE","SummerEnemyC","SurfB","0","EnemyB","0","BeachTrap","2800","0","1500","3600","Surf","ShellFlyingItem","800","NONE","300","2500","SummerEnemyG","1800","NONE","1087"
"NONE","NONE","NONE","0","NONE","0","NONE","0","0","0","0","Carpet500","NONE","0","NONE","400","0","NONE","0","NONE","1088"
"NONE","BeachJumpOverTrap","AccelBoardA","0","SummerEnemyB","0","SummerJumpOverEnemyA","3000","0","1500","3500","SummerEnemyA","BeachTrap","1000","NONE","500","2600","BeachJumpOverTrap","2100","NONE","1089"
"NONE","AccelBoardA","SummerEnemyB","0","SpeedTerritoryA","0","BeachTrap","2800","0","1500","3300","BeachTrap","SummerJumpOverEnemyA","900","NONE","400","2300","SummerEnemyC","1900","NONE","1090"
"NONE","SummerEnemyB","SummerEnemyA","0","BeachTrap","0","NONE","0","0","2200","0","WaterMelon","SummerEnemyA","1500","NONE","500","3200","NONE","2700","NONE","1091"
"NONE","SummerJumpOverEnemyA","SpeedTerritoryA","0","SummerEnemyA","0","NONE","3300","0","1700","0","BeachJumpOverTrap","BeachTrap","1100","NONE","600","2600","BeachTrap","2200","NONE","1092"
"NONE","ShaveIce","SummerEnemyG","0","EnemyB","0","NONE","3400","0","1500","0","Surf","ShellFlyingItem","900","NONE","500","3000","SummerEnemyC","2600","NONE","1093"
"NONE","EnemyB","SummerEnemyG","0","BeachJumpOverTrap","0","NONE","3400","0","1300","0","SummerEnemyC","ShaveIce","800","NONE","400","2700","SummerEnemyC","2000","NONE","1094"
"NONE","ShaveIce","SummerEnemyC","0","WaterMelon","0","NONE","3300","0","1900","0","BeachTrap","SpeedTerritoryA","1000","NONE","500","2800","ShellFlyingItem","2300","NONE","1095"
"NONE","ShaveIce","ShellFlyingItem","0","BeachJumpBoard","0","NONE","3500","0","1800","0","SummerJumpOverEnemyA","SummerEnemyB","900","NONE","400","3000","SummerEnemyC","2500","NONE","1096"
"NONE","SummerEnemyC","AccelBoardA","0","SpeedTerritoryA","0","SummerEnemyA","3000","0","1400","3400","SummerEnemyA","AccelBoardA","800","NONE","400","2200","SummerEnemyB","1900","NONE","1097"
"NONE","BeachTrap","SummerEnemyC","0","AccelBoardA","0","BeachTrap","3000","0","1500","3300","BeachTrap","SummerEnemyB","900","NONE","500","2400","SummerEnemyB","1900","NONE","1098"
"NONE","AccelBoardA","SummerEnemyA","0","BeachTrap","0","NONE","3000","0","1400","0","SummerEnemyB","SummerEnemyC","800","NONE","400","2500","SummerEnemyB","1900","NONE","1099"
"NONE","SpeedTerritoryA","SummerEnemyD","0","BeachTrap","0","SummerEnemyB","3000","0","1300","3400","SummerEnemyA","AccelBoardA","900","NONE","500","2300","BeachTrap","1900","NONE","1100"
"NONE","SummerEnemyB","SummerEnemyB","0","BeachTrap","0","NONE","3300","0","1600","0","SummerEnemyA","SpeedTerritoryA","1000","NONE","600","2700","BeachTrap","2100","NONE","1101"
"SummerEnemyB","SummerEnemyB","SummerEnemyC","0","SummerEnemyA","0","SummerEnemyA","2700","3400","1500","3000","BeachTrap","AccelBoardA","900","NONE","500","2300","BeachTrap","1900","NONE","1102"
"NONE","SpeedTerritoryA","SummerEnemyB","0","SummerEnemyC","0","SummerEnemyC","3300","0","1500","3600","SummerEnemyB","BeachTrap","1100","NONE","600","2800","SpeedTerritoryA","1900","NONE","1103"
"SummerEnemyC","SummerEnemyA","AccelBoardA","0","SummerEnemyD","0","SpeedTerritoryA","2600","3300","1400","2900","BeachTrap","BeachTrap","1000","NONE","600","2200","SummerEnemyA","1800","NONE","1104"
"SummerEnemyA","SummerEnemyA","SummerEnemyD","0","SummerJumpOverEnemyD","0","SummerEnemyD","2800","3500","1500","3100","SummerJumpOverEnemyA","SummerEnemyC","1000","NONE","500","2400","SummerJumpOverEnemyC","1900","NONE","1105"
"NONE","SummerEnemyD","SummerJumpOverEnemyB","0","SummerEnemyA","0","SummerEnemyC","3100","0","1500","3500","SummerJumpOverEnemyC","SummerJumpOverEnemyB","900","NONE","500","2500","SummerEnemyD","2000","NONE","1106"
"NONE","SummerJumpOverEnemyA","SummerEnemyA","0","SummerJumpOverEnemyC","0","NONE","3400","0","1800","0","SummerEnemyA","SummerJumpOverEnemyC","1200","NONE","600","2800","SummerJumpOverEnemyB","2300","NONE","1107"
"NONE","SummerJumpOverEnemyC","SummerEnemyA","0","SummerEnemyD","0","NONE","3500","0","1700","0","SummerJumpOverEnemyB","SummerJumpOverEnemyA","1000","NONE","500","2900","SummerEnemyB","2400","NONE","1108"
"NONE","SummerEnemyG","SummerEnemyG","0","ShellFlyingItem","0","NONE","0","0","1300","0","SurfC","SummerEnemyB","1000","NONE","700","3000","NONE","2000","NONE","8001"
"NONE","SummerEnemyA","SummerEnemyG","0","SummerEnemyA","0","NONE","0","0","1300","0","SurfC","EnemyB","1000","NONE","700","3000","NONE","2000","NONE","8002"
"AccelBoardA","BeachTrap","BeachJumpOverTrap","0","SummerEnemyA","0","SpeedTerritoryB","2500","3100","1600","2800","SurfB","SummerJumpOverEnemyA","1300","NONE","300","2200","SpeedTerritoryA","1900","NONE","8003"
"NONE","SpeedTerritoryA_NoColl","WarpGateA","0","BeachJumpBoard","0","NONE","3200","0","1600","0","SurfB","SummerEnemyA_NoColl","1300","NONE","300","2200","WaterMelon","1800","NONE","8004"
"NONE","SpeedTerritoryA_NoColl","NONE","0","Balloon","0","NONE","0","0","2000","0","SurfB","SummerEnemyA_NoColl","1300","NONE","300","0","NONE","2400","NONE","8005"
"AccelBoardA","BeachTrap","BeachJumpOverTrap","0","SummerEnemyA","3000","SpeedTerritoryB","1500","2100","600","1800","NONE","SummerJumpOverEnemyA","300","NONE","0","1200","SpeedTerritoryA","900","SurfB","8006"
"NONE","SpeedTerritoryA_NoColl","WarpGateA","0","BeachJumpBoard","0","SurfB","2200","0","600","3000","NONE","SummerEnemyA_NoColl","300","NONE","0","1200","WaterMelon","800","NONE","8007"
"NONE","SpeedTerritoryA_NoColl","SurfB","0","Balloon","0","NONE","0","0","1000","0","NONE","SummerEnemyA_NoColl","300","NONE","0","3000","NONE","1300","NONE","8008"
"NONE","NONE","NONE","0","NONE","0","NONE","0","0","1000","0","NONE","NONE","300","NONE","0","3000","NONE","1300","NONE","8009"
"NONE","BeachJumpBoard","NONE","0","AccelBoardA","0","NONE","0","0","2000","0","AccelBoardA","WarpGateA","1000","NONE","500","0","NONE","3100","NONE","9990"
"NONE","SummerJumpOverEnemyB","EnemyB","0","BeachTrap","0","NONE","3000","0","1300","0","AccelBoardA","BeachTrap","800","NONE","500","2500","NONE","2000","NONE","9991"
"NONE","EnemyB","AccelBoardA","0","SummerEnemyC","0","NONE","3300","0","1400","0","AccelBoardA","SummerJumpOverEnemyB","1100","NONE","500","2800","BeachTrap","2100","NONE","9992"
"NONE","AccelBoardA","SummerEnemyB","0","SummerJumpOverEnemyA","0","SummerEnemyA","3300","0","2000","3600","AccelBoardA","SummerEnemyA","1200","NONE","500","3000","SummerEnemyA","2500","NONE","9993"
"NONE","AccelBoardA","AccelBoardA","0","AccelBoardA","0","NONE","3000","0","1500","0","WaterMelon","AccelBoardA","1000","NONE","300","2500","AccelBoardA","2000","NONE","9994"
"NONE","SpeedTerritoryA","BeachJumpOverTrap","0","EnemyB","0","NONE","3000","0","1400","0","SummerJumpOverEnemyA","BeachJumpOverTrap","900","NONE","500","2600","SummerJumpOverEnemyA","1700","NONE","9995"
"NONE","AccelBoardA","NONE","0","WarpGateA","0","NONE","0","0","1900","0","SummerJumpOverEnemyB","AccelBoardA","700","NONE","400","0","NONE","2700","NONE","9996"
