0e3de9641c7fc6d1242e90ab52ba71dcdd9632f52d363f371dd43a5563709eea,02fb1ac20d19710dca1045c07d07165730c20a653353e57f79bc784339d0d0ef,d0efd454de454d68d3ff30d0cdc985c167ce7385d7b178f66bee0742e29686f1,dc808f0215585e26ab05f68232786b080223326e683b279a9a2860674ddaf458,3305b8f896739c04bf2ba885e1b8958307cc9a40ac1c139ead8598f23570c503,c2eda6288d002665548482e6263f71c1e56a017c04dde0eb6aff2ede0316c2ae
"1","803100256","2145064","300224","112","208"
"1","803100256","2145065","300225","110","212"
"0","803100256","2145066","300226","102","105"
"0","803100256","2145067","300227","103","106"
"0","803100256","2145068","300228","101","107"
"0","803100257","2145071","300301","100","104"
"0","803100257","2145072","300302","101","107"
"0","803100257","2145073","300303","101","107"
"1","803100257","2145074","300304","113","202"
"1","803100257","2145075","300305","114","203"
"0","803100257","2145076","300306","100","104"
"0","803100257","2145077","300307","101","107"
"1","803100257","2145078","300308","111","204"
"1","803100257","2145079","300309","112","205"
"0","803100257","2145080","300310","100","104"
"0","803100258","2145081","300311","101","107"
"0","803100258","2145082","300312","101","107"
"1","803100258","2145083","300313","113","202"
"1","803100258","2145084","300314","114","203"
"0","803100258","2145085","300315","100","104"
"0","803100258","2145086","300316","101","107"
"1","803100258","2145087","300317","111","204"
"1","803100258","2145088","300318","112","205"
"0","803100258","2145089","300319","100","104"
"0","803100258","2145090","300320","101","107"
"0","803100259","2145091","300321","100","104"
"0","803100259","2145092","300322","101","107"
"1","803100259","2145093","300323","113","202"
"1","803100259","2145094","300324","112","208"
"0","803100259","2145095","300325","100","104"
"0","803100259","2145096","300326","101","107"
"1","803100259","2145097","300327","111","204"
"1","803100259","2145098","300328","112","205"
"0","803100260","2146011","300401","102","105"
"0","803100260","2146012","300402","102","105"
"1","803100260","2146013","300403","113","202"
"1","803100260","2146014","300404","114","203"
"0","803100260","2146015","300405","102","105"
"1","803100260","2146016","300406","113","202"
"1","803100260","2146017","300407","114","203"
"0","803100260","2146018","300408","102","105"
"0","803100260","2146019","300409","102","105"
"0","803100260","2146020","300410","102","105"
"0","803100261","2146021","300411","102","105"
"1","803100261","2146022","300412","113","202"
"1","803100261","2146023","300413","114","203"
"0","803100261","2146024","300414","102","105"
"1","803100261","2146025","300415","113","202"
"1","803100261","2146026","300416","114","203"
"0","803100261","2146027","300417","102","105"
"0","803100261","2146028","300418","102","105"
"1","803100261","2146029","300419","113","202"
"1","803100261","2146030","300420","113","202"
"1","803100262","2146031","300421","113","202"
"1","803100262","2146032","300422","114","203"
"0","803100262","2146033","300423","102","105"
"1","803100262","2146034","300424","112","208"
"1","803100262","2146035","300425","110","212"
"1","803100262","2146036","300426","113","202"
"1","803100262","2146037","300427","113","202"
"0","803100262","2146038","300428","102","105"
"0","803100264","2146051","300501","100","104"
"0","803100264","2146052","300502","100","104"
"0","803100264","2146053","300503","100","104"
"0","803100264","2146054","300504","100","104"
"0","803100264","2146055","300505","102","105"
"0","803100264","2146056","300506","103","106"
"0","803100264","2146057","300507","100","104"
"0","803100264","2146058","300508","100","104"
"0","803100264","2146059","300509","102","105"
"0","803100264","2146060","300510","103","106"
"0","803100265","2146061","300511","100","104"
"0","803100265","2146062","300512","100","104"
"0","803100265","2146063","300513","100","104"
"0","803100265","2146064","300514","100","104"
"0","803100265","2146065","300515","102","105"
"0","803100265","2146066","300516","103","106"
"0","803100265","2146067","300517","100","104"
"0","803100265","2146068","300518","100","104"
"0","803100265","2146069","300519","102","105"
"0","803100265","2146070","300520","103","106"
"0","803100266","2146071","300521","100","104"
"0","803100266","2146072","300522","100","104"
"1","803100266","2146073","300523","113","202"
"1","803100266","2146074","300524","114","203"
"0","803100266","2146075","300525","100","104"
"1","803100266","2146076","300526","112","208"
"1","803100266","2146077","300527","110","212"
"1","803100266","2146078","300528","113","202"
"1","803100266","2146079","300529","114","203"
"0","803100266","2146080","300530","100","104"
"1","803100268","2146091","300601","114","203"
"1","803100268","2146092","300602","113","202"
"0","803100268","2146093","300603","102","105"
"1","803100268","2146094","300604","114","203"
"0","803100268","2146095","300605","103","106"
"1","803100268","2146096","300606","114","203"
"1","803100268","2146097","300607","111","204"
"1","803100268","2146098","300608","114","203"
"1","803100268","2146099","300609","113","202"
"0","803100268","2146100","300610","102","105"
"1","803100269","2147011","300611","114","203"
"0","803100269","2147012","300612","103","106"
"1","803100269","2147013","300613","114","203"
"1","803100269","2147014","300614","111","204"
"1","803100269","2147015","300615","110","212"
"1","803100269","2147016","300616","114","203"
"0","803100269","2147017","300617","102","105"
"0","803100269","2147018","300618","103","106"
"1","803100270","2147021","300701","111","204"
"0","803100270","2147022","300702","100","104"
"0","803100270","2147023","300703","101","107"
"1","803100270","2147024","300704","113","202"
"1","803100270","2147025","300705","114","203"
"0","803100270","2147026","300706","102","105"
"1","803100270","2147027","300707","112","205"
"1","803100270","2147028","300708","111","204"
"0","803100270","2147029","300709","100","104"
"0","803100270","2147030","300710","101","107"
"1","803100271","2147031","300711","113","202"
"1","803100271","2147032","300712","114","203"
"0","803100271","2147033","300713","102","105"
"1","803100271","2147034","300714","112","205"
"0","803100271","2147035","300715","107","110"
"1","803100271","2147036","300716","111","204"
"0","803100271","2147037","300717","100","104"
"0","803100271","2147038","300718","101","107"
