434f266d59f7cc3c34ab242293e4c3c88c7082169c3f0060b5acb3d14a3f21e9,77d733cd5437682efd2ca2085b652c20fba001edf00a929030c91cbc36e9d699,74f45354f0700e88661ec8f432ce742a6fc8ef346608586803974f8ea47b90a3,e76ea56672572a0701f81df5d50e6e7140230b630f4dea33154b66c6a866a389,95d8ae39eeed22cb18651fed38da192abe75aa9f15846a5c849e2bfca9e8ce1e,b563e02498d284ae51f9d6d4298dddb5b9622c64c50a7ce7128d7ce8d24d06b4,dee62227be113916d8e66fe3fff3f9a3422481c317d556e2b97615f3a2ca0b3c
"12","2","8","10","2","0","1"
"12","1","8","5","3","0","1"
"5","1","8","12","4","0","1"
"1","2","8","10","5","0","1"
"5","1","8","12","6","0","1"
"5","1","8","12","7","0","1"
"1","2","8","10","8","0","1"
"8","2","8","9","9","0","1"
"4","1","8","9","10","0","2"
"4","1","9","8","1","0","1"
"5","1","9","10","2","0","1"
"4","2","9","7","3","0","1"
"6","2","9","8","4","0","1"
"1","1","9","10","5","0","1"
"11","1","9","11","6","0","1"
"1","1","9","6","7","0","1"
"5","2","9","8","8","0","1"
"8","2","9","7","9","0","1"
"4","1","9","6","10","0","1"
"11","2","10","10","1","0","1"
"1","1","10","7","2","0","1"
"8","1","10","8","3","0","2"
"5","2","10","9","4","0","1"
"10","1","10","8","5","0","1"
"1","1","10","7","6","0","2"
"2","1","10","6","7","0","2"
"11","1","10","10","8","0","1"
"8","2","10","10","9","0","1"
"9","1","11","8","1","0","1"
"5","2","11","0","2","0","1"
"6","2","11","12","3","0","1"
"1","1","11","5","4","0","1"
"5","2","11","10","5","0","1"
"6","2","11","12","6","0","1"
"1","1","11","4","7","0","1"
"11","1","11","0","8","0","1"
"6","1","11","0","9","0","1"
"1","2","11","10","10","0","1"
"6","1","11","11","11","0","1"
"1","2","11","12","12","0","1"
"5","2","11","6","13","0","1"
"10","1","11","7","14","0","1"
"4","2","11","7","15","0","1"
"11","2","12","4","1","0","1"
"1","1","12","5","2","0","1"
"6","2","12","10","3","0","1"
"5","2","12","10","4","0","1"
"11","1","12","0","5","0","1"
"6","2","12","0","6","0","1"
"12","2","12","17","7","0","1"
"5","1","12","1","8","0","1"
"1","1","12","2","9","0","1"
"6","2","12","10","10","0","1"
"4","2","12","10","11","0","1"
"1","1","12","0","12","0","1"
"5","1","12","13","13","0","1"
"11","2","12","8","14","0","1"
"8","1","12","10","15","0","1"
"11","1","13","10","1","0","1"
"11","3","13","8","2","0","1"
"6","2","13","0","3","0","1"
"11","1","13","10","4","0","1"
"11","2","13","7","5","0","1"
"2","3","13","6","6","0","1"
"1","3","13","0","7","1500","1"
"11","1","13","5","8","0","3"
"5","3","13","10","9","0","1"
"1","2","13","4","10","0","1"
"1","1","13","4","11","0","1"
"6","3","13","6","12","0","1"
"4","1","13","6","13","0","1"
"9","1","13","10","14","0","3"
"8","3","13","10","15","0","1"
"4","1","13","6","16","0","1"
"1","3","13","0","17","0","1"
"8","2","13","8","18","0","1"
"11","1","14","0","1","0","1"
"2","1","14","13","2","0","2"
"11","3","14","10","3","0","1"
"1","1","14","10","4","0","1"
"4","1","14","10","5","0","2"
"11","2","14","0","6","0","1"
"1","2","14","0","7","0","1"
"1","1","14","10","8","0","1"
"12","3","14","12","9","0","1"
"12","3","14","12","10","0","1"
"5","3","14","0","11","0","1"
"5","1","14","12","12","0","1"
"10","1","14","6","13","0","2"
"11","1","14","10","14","0","1"
"10","1","14","6","15","0","3"
"11","1","14","10","16","0","1"
"2","1","14","6","17","0","3"
"10","1","14","6","18","0","2"
"11","1","14","4","19","0","1"
"8","2","14","10","20","0","1"
"8","1","14","4","21","0","3"
"12","2","15","10","1","0","1"
"12","1","15","12","2","0","1"
"11","3","15","12","3","0","1"
"11","1","15","6","4","0","1"
"12","2","15","12","5","0","1"
"5","2","15","0","6","0","1"
"11","1","15","12","7","0","1"
"1","1","15","0","8","0","1"
"5","1","15","0","9","0","1"
"12","1","15","12","10","0","2"
"11","3","15","0","11","0","1"
"12","3","15","11","12","0","1"
"1","2","15","9","13","0","1"
"1","1","15","12","14","0","1"
"12","1","15","0","15","0","1"
"12","1","15","9","16","0","1"
"11","2","15","4","17","0","1"
"11","1","15","4","18","0","3"
"5","2","15","12","19","0","1"
"12","2","15","0","20","0","1"
"12","2","15","7","21","0","1"
"12","1","15","12","22","0","3"
"1","1","15","7","23","0","3"
"4","3","15","0","24","0","1"
"4","1","15","10","25","0","3"
"8","2","15","0","26","0","1"
"11","1","15","0","27","0","1"
"11","2","15","0","28","0","1"
"6","1","16","0","1","0","1"
"11","2","16","10","2","0","1"
"12","3","16","0","3","0","1"
"4","2","16","0","4","0","1"
"6","1","16","12","5","0","1"
"6","1","16","0","6","0","1"
"4","2","16","4","7","0","1"
"5","3","16","4","8","0","1"
"1","3","16","0","9","0","1"
"12","1","16","17","10","0","1"
"11","2","16","0","11","0","1"
"1","3","16","10","12","0","1"
"11","2","16","11","13","0","1"
"11","3","16","0","14","0","1"
"12","1","16","12","15","0","1"
"11","1","16","10","16","0","1"
"11","1","16","10","17","0","1"
"6","1","16","6","18","0","1"
"11","2","16","6","19","0","1"
"1","3","16","8","20","0","1"
"5","3","16","8","21","0","1"
"4","1","16","9","22","0","1"
"11","1","16","10","23","0","1"
"11","1","17","4","1","0","1"
"4","1","17","10","2","0","3"
"11","1","17","4","3","0","1"
"1","1","17","0","4","0","1"
"1","1","17","10","5","0","2"
"11","2","17","4","6","0","1"
"1","1","17","10","7","0","2"
"11","2","17","4","8","0","1"
"1","3","17","0","9","0","1"
"8","1","17","10","10","0","2"
"12","1","17","12","11","0","1"
"11","3","17","4","12","0","1"
"1","1","17","4","13","0","3"
"11","1","17","10","14","0","1"
"1","1","17","0","15","0","2"
"11","1","17","4","16","0","2"
"8","1","17","7","17","0","2"
"11","1","17","0","18","0","1"
"2","1","17","6","19","0","3"
"10","1","17","10","20","0","1"
"11","2","17","10","21","0","1"
"8","3","17","7","22","0","1"
"11","1","18","4","1","0","1"
"5","1","18","13","2","0","2"
"4","1","18","10","3","0","1"
"4","2","18","10","4","0","1"
"11","3","18","10","5","0","1"
"5","1","18","7","6","0","3"
"11","1","18","10","7","0","1"
"4","3","18","10","8","0","1"
"11","2","18","10","9","0","1"
"5","1","18","6","10","0","3"
"11","1","18","10","11","0","1"
"11","2","18","10","12","0","1"
"4","3","18","10","13","0","1"
"5","1","18","8","14","0","2"
"6","1","18","6","15","0","2"
"10","3","18","0","16","0","1"
"10","2","18","0","17","0","1"
"10","1","18","0","18","0","1"
"10","1","18","7","19","0","2"
"8","1","18","10","20","0","1"
"11","1","18","10","21","0","1"
"2","1","18","9","22","0","2"
"13","1","19","0","1","0","2"
"4","1","19","8","2","0","2"
"8","1","19","0","3","0","2"
"14","1","20","10","1","0","2"
"8","1","20","0","2","0","2"
"15","1","21","13","1","0","2"
"15","1","22","0","1","0","2"
"13","1","22","0","2","0","2"
"42","1","23","0","1","0","2"
"72","1","23","0","2","0","2"
"43","1","24","0","1","0","2"
"44","1","25","0","1","0","2"
"45","1","26","0","1","0","2"
"46","1","27","0","1","0","2"
"47","1","28","0","1","0","2"
"14","1","29","0","1","0","2"
"15","1","30","0","1","0","1"
"8","2","30","0","2","0","1"
"10","1","30","13","3","0","1"
"10","2","30","13","4","0","1"
"12","2","30","9","5","0","1"
"72","1","30","6","6","0","1"
"2","1","30","8","7","0","2"
"13","1","30","0","8","0","2"
"4","1","31","8","1","0","1"
"1","2","31","0","2","0","1"
"10","1","31","6","3","0","1"
"4","2","31","0","4","0","1"
"9","1","31","7","5","0","1"
"1","2","31","0","6","0","1"
"10","1","32","6","1","0","1"
"10","2","32","13","2","0","1"
"1","3","32","0","3","0","1"
"2","2","32","11","4","0","1"
"2","1","32","8","5","0","1"
"1","3","32","0","6","0","1"
"72","3","32","7","7","0","1"
"6","3","33","0","1","0","1"
"10","1","33","13","2","0","3"
"3","3","33","3","3","0","1"
"72","1","33","0","4","0","3"
"12","3","33","2","5","0","1"
"4","1","34","6","1","0","2"
"5","1","34","7","2","0","1"
"1","2","34","0","3","0","1"
"12","2","34","8","4","0","1"
"1","1","34","0","5","0","1"
"15","1","34","0","6","0","2"
"8","1","35","0","1","0","2"
"72","1","35","10","2","0","2"
"13","1","35","0","3","0","2"
"4","1","36","0","1","0","2"
"6","1","36","6","2","0","1"
"1","1","36","0","3","0","1"
"72","2","36","10","4","0","1"
"9","2","36","0","5","0","1"
"2","2","36","7","6","0","2"
"8","1","37","7","1","0","2"
"4","1","37","0","2","0","1"
"5","2","37","0","3","0","1"
"13","1","37","6","4","0","2"
"13","1","38","10","1","0","2"
"5","1","38","8","2","0","1"
"6","2","38","7","3","0","1"
"1","1","38","0","4","0","1"
"9","2","38","7","5","0","1"
"15","2","38","13","6","0","1"
"8","1","38","0","7","0","2"
"4","1","39","6","1","0","2"
"6","1","39","13","2","0","1"
"72","2","39","10","3","0","1"
"13","1","39","6","4","0","2"
