3ca69b18b383682b7ec51cfd906cc85683a26de8c88f24c433e1d0a645e6056c,cea7ace792b64d392fc27c448ea8a8d4bbc159e1a1e420f87af16900e7555bff,c3065c4e65fdb48cd496d6c055e755a259d2291378c8323b46a1d68fb95a9f7b,1f961aad2689df8098dc2bd912a33756c7c47774301930c0e84d660945119d8c,caa504119b169b367dd4bca0a2c878d8c03826036b96ad72c25d11ee6c7ea5ec,fd73fc3851a4393fe865cd8aa3fb0de9c9efc357bcf776a3fb2dfdd7add60f07,2bc9bab6f1e1d1bf09712e4848a4f5c14570b766e930c994f537224025445834,14b56ed3f8024c72839972bb362a938264b83091b5c0b9e1b064fdf0651a362e,945a35fa1f89eb07a7126bcaa5afd1db4b530894199277075bf35f8a9796ca73,d55c167d9fc39c2575b39dec31a02c40faa8a068b8728beb8b001090f89d40f4,bcfd88e1d15bd609c4a22a9198a322075f1627324d85ccdf50b679481627ce6c,a3233dd612f1a47a62982119f10b9615bf55d50fbec15319052eba105d912efc,1abea73281cb8eee8959f61476cb83900aedbdddb6d681a0823bf490f356ea9a,10999fc9e98c42e421dc3450a63d5756229cd47700837307f4207683a75e1233,9760f92c7988bd8d7464ac74695b238103878eb9caecb67549d0702ab976979a,ebf91694240396c38c6b12b0060ccf3f49864a57521dc885b8a23bf6bbe2af66,30bd04476aa8cf6ba3059fb3c01235c05f3b098a7f4fad0eec50b2656c8d9601,3e78c1acacfda111e2f1e6420e8fc7101245d8a24e4806760624f4202cc91c65,196272d432c21f16403461b314d3be3a1915cc272f589aa3cd00026648349bc4
"35","1","90008","3","94002","90005","140001","140000","2","1","1000","4","2","5","1000000","32002","12","2","4"
"40","1","90008","4","0","94002","25001","140001","1","2","1000","4","2","1000000","0","32002","0","12","2"
"45","1","90008","4","94002","90005","140001","140000","2","1","1250","4","2","5","2000000","32002","12","2","4"
"50","1","90008","4","0","94002","25001","140001","1","2","1500","4","2","2000000","0","32002","0","12","2"
"5","1","90008","1","94002","90005","140001","140000","2","1","500","4","2","10","500000","32003","12","2","4"
"10","1","91002","1","94002","25001","140001","21951","2","1","200","2","8","1","500000","32003","12","2","4"
"15","1","90008","2","94002","90005","140001","140000","2","1","700","4","2","5","750000","32003","12","2","4"
"20","1","91002","2","0","94002","25001","140001","1","2","300","4","8","750000","0","32003","0","12","2"
"25","1","90008","2","94002","90005","140001","140000","2","1","700","4","2","5","750000","32003","12","2","4"
"30","1","91002","3","0","94002","25001","140001","1","2","500","4","8","750000","0","32003","0","12","2"
"35","1","90008","3","94002","90005","140001","140000","2","1","1000","4","2","5","1000000","32003","12","2","4"
"40","1","90008","4","0","94002","25001","140001","1","2","1000","4","2","1000000","0","32003","0","12","2"
"45","1","90008","4","94002","90005","140001","140000","2","1","1250","4","2","5","2000000","32003","12","2","4"
"50","1","90008","4","0","94002","25001","140001","1","2","1500","4","2","2000000","0","32003","0","12","2"
"5","1","90008","1","94002","90005","140001","140000","2","1","500","4","2","10","500000","32004","12","2","4"
"10","1","91002","1","94002","25001","140001","21951","2","1","200","2","8","1","500000","32004","12","2","4"
"15","1","90008","2","94002","90005","140001","140000","2","1","700","4","2","5","750000","32004","12","2","4"
"20","1","91002","2","0","94002","25001","140001","1","2","300","4","8","750000","0","32004","0","12","2"
"25","1","90008","2","94002","90005","140001","140000","2","1","700","4","2","5","750000","32004","12","2","4"
"30","1","91002","3","0","94002","25001","140001","1","2","500","4","8","750000","0","32004","0","12","2"
"35","1","90008","3","94002","90005","140001","140000","2","1","1000","4","2","5","1000000","32004","12","2","4"
"40","1","90008","4","0","94002","25001","140001","1","2","1000","4","2","1000000","0","32004","0","12","2"
"45","1","90008","4","94002","90005","140001","140000","2","1","1250","4","2","5","2000000","32004","12","2","4"
"50","1","90008","4","0","94002","25001","140001","1","2","1500","4","2","2000000","0","32004","0","12","2"
"5","1","90008","1","94002","90005","140001","140000","2","1","500","4","2","10","500000","32005","12","2","4"
"10","1","91002","1","94002","25001","140001","21951","2","1","200","2","8","1","500000","32005","12","2","4"
"15","1","90008","2","94002","90005","140001","140000","2","1","700","4","2","5","750000","32005","12","2","4"
"20","1","91002","2","0","94002","25001","140001","1","2","300","4","8","750000","0","32005","0","12","2"
"25","1","90008","2","94002","90005","140001","140000","2","1","700","4","2","5","750000","32005","12","2","4"
"30","1","91002","3","0","94002","25001","140001","1","2","500","4","8","750000","0","32005","0","12","2"
"35","1","90008","3","94002","90005","140001","140000","2","1","1000","4","2","5","1000000","32005","12","2","4"
"40","1","90008","4","0","94002","25001","140001","1","2","1000","4","2","1000000","0","32005","0","12","2"
"45","1","90008","4","94002","90005","140001","140000","2","1","1250","4","2","5","2000000","32005","12","2","4"
"50","1","90008","4","0","94002","25001","140001","1","2","1500","4","2","2000000","0","32005","0","12","2"
"5","1","90008","1","94002","90005","140001","140000","2","1","500","4","2","10","500000","32006","12","2","4"
"10","1","91002","1","94002","25001","140001","21951","2","1","200","2","8","1","500000","32006","12","2","4"
"15","1","90008","2","94002","90005","140001","140000","2","1","700","4","2","5","750000","32006","12","2","4"
"20","1","91002","2","0","94002","25001","140001","1","2","300","4","8","750000","0","32006","0","12","2"
"25","1","90008","2","94002","90005","140001","140000","2","1","700","4","2","5","750000","32006","12","2","4"
"30","1","91002","3","0","94002","25001","140001","1","2","500","4","8","750000","0","32006","0","12","2"
"35","1","90008","3","94002","90005","140001","140000","2","1","1000","4","2","5","1000000","32006","12","2","4"
"40","1","90008","4","0","94002","25001","140001","1","2","1000","4","2","1000000","0","32006","0","12","2"
"45","1","90008","4","94002","90005","140001","140000","2","1","1250","4","2","5","2000000","32006","12","2","4"
"50","1","90008","4","0","94002","25001","140001","1","2","1500","4","2","2000000","0","32006","0","12","2"
"5","1","90008","1","0","94002","90005","140001","10","15","500","4","2","500000","0","32007","0","12","2"
"10","1","91002","1","94002","25001","140001","21951","5","1","100","2","8","1","500000","32007","12","2","4"
"15","1","90008","2","0","94002","90005","140001","5","15","1000","4","2","750000","0","32007","0","12","2"
"20","1","91002","2","0","94002","25001","140001","1","5","150","4","8","750000","0","32007","0","12","2"
"25","1","90008","2","0","94002","90005","140001","5","15","1500","4","2","750000","0","32007","0","12","2"
"30","1","91002","3","94002","25001","140001","90008","5","3000","250","2","8","1","750000","32007","12","2","4"
"35","1","90008","3","0","94002","90005","140001","5","15","3500","4","2","1000000","0","32007","0","12","2"
"40","1","90008","4","0","94002","25001","140001","1","5","4000","4","2","1000000","0","32007","0","12","2"
"45","1","90008","4","0","94002","90005","140001","5","15","4500","4","2","2000000","0","32007","0","12","2"
"50","1","90008","4","0","94002","25001","140001","1","5","5000","4","2","2000000","0","32007","0","12","2"
"5","1","90008","1","0","94002","90005","140001","10","15","500","4","2","500000","0","32008","0","12","2"
"10","1","91002","1","94002","25001","140001","21951","5","1","100","2","8","1","500000","32008","12","2","4"
"15","1","90008","2","0","94002","90005","140001","5","15","1000","4","2","750000","0","32008","0","12","2"
"20","1","91002","2","0","94002","25001","140001","1","5","150","4","8","750000","0","32008","0","12","2"
"25","1","90008","2","0","94002","90005","140001","5","15","1500","4","2","750000","0","32008","0","12","2"
"30","1","91002","3","94002","25001","140001","90008","5","3000","250","2","8","1","750000","32008","12","2","4"
"35","1","90008","3","0","94002","90005","140001","5","15","3500","4","2","1000000","0","32008","0","12","2"
"40","1","90008","4","0","94002","25001","140001","1","5","4000","4","2","1000000","0","32008","0","12","2"
"45","1","90008","4","0","94002","90005","140001","5","15","4500","4","2","2000000","0","32008","0","12","2"
"50","1","90008","4","0","94002","25001","140001","1","5","5000","4","2","2000000","0","32008","0","12","2"
"5","1","90008","1","0","94002","90005","140001","10","15","500","4","2","500000","0","32009","0","12","2"
"10","1","91002","1","94002","25001","140001","21951","5","1","100","2","8","1","500000","32009","12","2","4"
"15","1","90008","2","0","94002","90005","140001","5","15","1000","4","2","750000","0","32009","0","12","2"
"20","1","91002","2","0","94002","25001","140001","1","5","150","4","8","750000","0","32009","0","12","2"
"25","1","90008","2","0","94002","90005","140001","5","15","1500","4","2","750000","0","32009","0","12","2"
"30","1","91002","3","94002","25001","140001","90008","5","3000","250","2","8","1","750000","32009","12","2","4"
"35","1","90008","3","0","94002","90005","140001","5","15","3500","4","2","1000000","0","32009","0","12","2"
"40","1","90008","4","0","94002","25001","140001","1","5","4000","4","2","1000000","0","32009","0","12","2"
"45","1","90008","4","0","94002","90005","140001","5","15","4500","4","2","2000000","0","32009","0","12","2"
"50","1","90008","4","0","94002","25001","140001","1","5","5000","4","2","2000000","0","32009","0","12","2"
"5","1","90008","1","0","94002","90005","140001","10","15","500","4","2","500000","0","32010","0","12","2"
"10","1","91002","1","94002","25001","140001","21951","5","1","100","2","8","1","500000","32010","12","2","4"
"15","1","90008","2","0","94002","90005","140001","5","15","1000","4","2","750000","0","32010","0","12","2"
"20","1","91002","2","0","94002","25001","140001","1","5","150","4","8","750000","0","32010","0","12","2"
"25","1","90008","2","0","94002","90005","140001","5","15","1500","4","2","750000","0","32010","0","12","2"
"30","1","91002","3","94002","25001","140001","90008","5","3000","250","2","8","1","750000","32010","12","2","4"
"35","1","4101401","3","94002","90005","140001","90008","15","3500","1","2","18","5","1000000","32010","12","2","4"
"40","1","90008","4","0","94002","25001","140001","1","5","4000","4","2","1000000","0","32010","0","12","2"
"45","1","4109401","4","94002","90005","140001","90008","15","4500","1","2","18","5","2000000","32010","12","2","4"
"50","1","90008","4","0","94002","25001","140001","1","5","5000","4","2","2000000","0","32010","0","12","2"
"5","1","90008","1","0","94002","90005","140001","10","15","500","4","2","500000","0","32011","0","12","2"
"10","1","91002","1","94002","25001","140001","21951","5","1","100","2","8","1","500000","32011","12","2","4"
"15","1","90008","2","0","94002","90005","140001","5","15","1000","4","2","750000","0","32011","0","12","2"
"20","1","91002","2","0","94002","25001","140001","1","5","150","4","8","750000","0","32011","0","12","2"
"25","1","90008","2","0","94002","90005","140001","5","15","1500","4","2","750000","0","32011","0","12","2"
"30","1","91002","3","94002","25001","140001","90008","5","3000","250","2","8","1","750000","32011","12","2","4"
"35","1","4301401","3","94002","90005","140001","90008","15","3500","1","2","18","5","1000000","32011","12","2","4"
"40","1","90008","4","0","94002","25001","140001","1","5","4000","4","2","1000000","0","32011","0","12","2"
"45","1","4303401","4","94002","90005","140001","90008","15","4500","1","2","18","5","2000000","32011","12","2","4"
"50","1","90008","4","0","94002","25001","140001","1","5","5000","4","2","2000000","0","32011","0","12","2"
