f06a3203d7826ab8077ce599cf5c5d61256a92995fc9e57537da3ef4683bfac8,a92f856b087de1d4708acd2e6b7a7765fda795d34e5f314efd89c90349d492ab,64b28806e0d92cdc5ca17e43c46e721dd001803a5910cd9ea3b3bb29ceaef22a,1a27eb8d62c2bc09a25bbeb77f44efd170426822f68f98dced12859ad3e287b9,00595c25dc755ae86f4d0da8e18bb532d04768b5873400c535d93d28777063d9,4ddcb97e8fd7f5645c691f90e19193425ddcd1b5875dbc626ff1d2eb349c75dd,013cce0eb49bef0c8dff2cc33d3e30f9610797fae41b625fc178a425858173f9,1021abadd3b71c5833ef19f6c041bf92975ab827286880e6b5fa70a0b01b703f,02f08856aab9911b9ecd85f89d31f72294abd72cf13e97983ddff42fcd70c376,d7f861cb81a03d6f92e4dfb7dc38fd660668e53bcfd1056980ff5ccb5fa42e88,142feb089d924235d6425a06737cb1adf05a3d5e6fd37c603975a582691aabd9,4477a3a05760f4230f5170e6a47c8a0a506a0f4feebe2aa680cd40044974868a,6fc05e03519d64d6e0af23e455c1160fa27d35982dadb41b85504234b9aa2bbf
"新聞紙","0","0","0","1","雑誌","0","蛍光灯","3410003","段ボール","1","0","1"
"オレンジ","0","0","0","1","黄","0","青","3410004","緑","0","0","1"
"放置","0","0","0","1","報告","0","練習","3410005","連絡","0","0","1"
"黄","0","0","0","1","赤","0","紫","3410006","青","1","0","1"
"リサイクル","0","0","0","1","リデュース","0","リスタート","3410007","リユース","1","0","1"
"孫","0","0","0","1","妻","0","親友","3410008","祖父","1","0","1"
"輪切り","0","0","0","1","みじん切り","0","指切り","3410010","せん切り","1","0","1"
"豆乳","0","0","0","1","納豆","0","豆板醤","3410011","豆腐","1","0","1"
"ピンクペッパー","0","0","0","1","ブラックペッパー","0","レッドペッパー","3410013","ホワイトペッパー","1","0","1"
"ジャスミン","0","0","0","1","ウーロン","0","ブルーマウンテン","3410015","プーアル","1","0","1"
"ヒヨリ","0","0","0","1","ユイ","0","カオリ","3411001","レイ","1","0","1"
"キョウカ","0","0","0","1","ミミ","0","ユニ","3411002","ミソギ","1","0","1"
"天然ガス","0","0","0","1","石油","0","薪","3420001","石炭","1","0","1"
"行政","0","0","0","1","司法","0","憲法","3420002","立法","1","0","1"
"電車賃","0","0","0","1","電気代","0","新聞代","3420003","水道代","0","0","1"
"迎春","0","0","0","1","謹賀新年","0","惜春","3420004","賀正","1","0","1"
"のち雨","0","0","0","1","ときどき雨","0","しばしば雨","3420005","一時雨","1","0","1"
"単5","0","0","0","1","単1","0","単7","3420007","単3","1","0","1"
"ボックス","0","0","0","1","マイナス","0","スライス","3420009","プラス","1","0","1"
"高野豆腐","0","0","0","1","絹ごし豆腐","0","喉ごし豆腐","3420010","木綿豆腐","1","0","1"
"ヨーグルト","0","0","0","1","チーズ","0","マヨネーズ","3420011","バター","1","0","1"
"エッグベネディクト","0","0","0","1","オムレツ","0","カルパッチョ","3420012","スクランブルエッグ","1","0","1"
"くち米","0","0","0","1","うるち米","0","すだち米","3420014","もち米","0","0","1"
"ひやむぎ","0","0","0","1","うどん","0","そば","3420015","スパゲッティ","1","0","1"
"リノ","0","0","0","1","キャル","0","エリコ","3421001","ニノン","0","0","1"
"キャラバンガチャ","0","0","0","1","プレミアムガチャ","0","おにぎりガチャ","3421002","レアガチャ","0","0","1"
"G","0","0","0","1","E","0","P","3430001","Z","0","0","1"
"ばあちゃん","0","0","0","1","かあちゃん","0","とうちゃん","3430002","じいちゃん","1","0","1"
"台所","0","0","0","1","居間","0","ベランダ","3430004","キッチン","1","0","1"
"布袋","0","0","0","1","恵比寿","0","達磨","3430005","大黒天","1","0","1"
"振動","0","0","0","1","地盤沈下","0","インフルエンザ","3430007","騒音","1","0","1"
"スロープ","0","0","0","1","車椅子","0","エスカレーター","3430008","歩行器","1","0","1"
"小学三年生","0","0","0","1","生後半年","0","中学三年生","3430009","幼稚園児","0","0","1"
"卵","0","0","0","1","酢","0","牛乳","3430010","油","1","0","1"
"ビール","0","0","0","1","焼酎","0","ワイン","3430011","ウィスキー","1","0","1"
"背脂","0","0","0","1","醤油","0","酒","3430012","酢","0","0","1"
"ナズナ","0","0","0","1","スズナ","0","ゴボウ","3430013","ハコベラ","1","0","1"
"オートミール","0","0","0","1","コーンフレーク","0","サラミ","3430015","グラノーラ","1","0","1"
"フラッグは譲れない","0","0","0","1","譲れないサマーゲーム","0","砂浜のプリンセス","3431001","サマーゲームの覇者","0","0","1"
"渚の不動の4番","0","0","0","1","渚の4番見習い","0","ぷうきちストライク","3431002","渚のスラッガー","1","0","1"
"チェス","0","0","0","1","オセロ","0","将棋","3510001","囲碁","1","0","1"
"リコーダー","0","0","0","1","尺八","0","バイオリン","3510002","フルート","1","0","1"
"尺八","0","0","0","1","太鼓","0","インターネット","3510003","クラリネット","1","0","1"
"ビショップ","0","0","0","1","ポーン","0","ジェネラル","3510004","クイーン","1","0","1"
"騎士","0","0","0","1","王将","0","塔","3510005","歩","0","0","1"
"ダーツ","0","0","0","1","モノポリー","0","トランプ","3510006","ツイスター","1","0","1"
"1","0","0","0","1","3","0","2","3510007","4","1","0","1"
"カン","0","0","0","1","ポン","0","ツモ","3510008","チー","1","0","1"
"シ","0","0","0","1","ファ","0","ミ","3510009","ラ","0","0","1"
"パイプオルガン","0","0","0","1","バイオリン","0","フルート","3510013","コントラバス","0","0","1"
"トライアングル","0","0","0","1","タンバリン","0","ベース","3510014","ティンパニー","1","0","1"
"トランペット","0","0","0","1","フルート","0","チューバ","3510015","ファゴット","0","0","1"
"","4","2","1","1","","3","","3511001","","0","0","1"
"メモリーピース","0","0","0","1","プリンセスオーブ","0","プリンセスハート","3511002","ピュアメモリーピース","1","0","1"
"キャスト","0","0","0","1","スティルメイト","0","ストレート","3520001","チェックメイト","0","0","1"
"麻雀","0","0","0","1","チンチロリン","0","花札","3520002","すごろく","1","0","1"
"スクリュードライバー","0","0","0","1","ブラッディマリー","0","ジントニック","3520003","レッドアイ","0","0","1"
"チェロ","0","0","0","1","ビオラ","0","ギター","3520004","バイオリン","1","0","1"
"刺し箸","0","0","0","1","迷い箸","0","伏せ箸","3520005","渡し箸","1","0","1"
"狂言","0","0","0","1","歌舞伎","0","京劇","3520006","能","1","0","1"
"金","0","0","0","1","飛車","0","歩","3520009","角","0","0","1"
"エレクトリック","0","0","0","1","アップライト","0","グレート","3520010","グランド","1","0","1"
"桃","0","0","0","1","桜","0","椿","3520011","梅","0","0","1"
"K","0","0","0","1","C","0","Q","3520012","D","0","0","1"
"灰色","0","0","0","1","黒","0","赤","3520015","白","1","0","1"
"V","0","0","0","1","S","0","E","3520016","U","1","0","1"
"チョコ","0","0","0","1","バニラ","0","イチゴ","3521001","ミント","0","0","1"
"キウイ","0","0","0","1","イチゴ","0","メロン","3521002","ブドウ","1","0","1"
"1～12","0","0","0","1","奇数","0","40","3530001","赤","1","0","1"
"猫間","0","0","0","1","水腰","0","犬間","3530002","腰板","1","0","1"
"ギター","0","0","0","1","三味線","0","ベース","3530003","バラライカ","0","0","1"
"9","0","0","0","1","J","0","2","3530005","A","0","0","1"
"Creative","0","0","0","1","Carbon","0","Call","3530006","Copy","0","0","1"
"真打","0","0","0","1","前座","0","一ツ目","3530007","二ツ目","1","0","1"
"カラット","0","0","0","1","カット","0","カーボン","3530008","カラー","1","0","1"
"1000","0","0","0","1","10000","0","2500","3530010","5000","1","0","1"
"オーボエ","0","0","0","1","フルート","0","クラリネット","3530011","ピッコロ","0","0","1"
"フルハウス","0","0","0","1","ストレート","0","スリーペア","3530012","フラッシュ","1","0","1"
"スピード","0","0","0","1","ポーカー","0","ヨット","3530013","ダウト","1","0","1"
"鯉","0","0","0","1","猪","0","銀杏","3530016","蝶","0","0","1"
"あかっご泣いても、蓋とるな","0","0","0","0","うつっわに乗せて、ふーふーふー","0","な～か、ぱっぱ","3531001","はじっめ、ちょろちょろ","1","1","1"
"レインボーたい焼き","0","0","0","1","ゼリー入りあんこたい焼き","0","プラチナたい焼き","3531002","贅沢たい焼き","0","0","1"
"平均台","0","0","0","0","ダンス","0","吊り輪","3610003","鉄棒","1","1","1"
"バット","0","0","0","1","ミトン","0","ミット","3610004","ラケット","0","0","1"
"サッカー","0","0","0","1","テニス","0","バスケットボール","3610005","野球","0","0","1"
"剣道","0","0","0","1","アーチェリー","0","ラクロス","3610006","弓道","0","0","1"
"レスリング","0","0","0","1","水泳","0","柔道","3610007","スキー","0","0","1"
"テニス","0","0","0","1","バレーボール","0","バスケットボール","3610008","バドミントン","1","0","1"
"テニス","0","0","0","1","スキー","0","サーフィン","3610010","スケート","0","0","1"
"ミッドフィルダー","0","0","0","0","ゴールキーパー","0","ディフェンダー","3610011","フォワード","1","1","1"
"テニス","0","0","0","1","アイスホッケー","0","野球","3610012","サッカー","0","0","1"
"レスリング","0","0","0","1","剣道","0","スカイダイビング","3610013","フェンシング","0","0","1"
"ボクシング","0","0","0","1","レスリング","0","剣道","3610014","柔道","1","0","1"
"スカイダイビング","0","0","0","1","サーフィン","0","ボクシング","3610015","シュノーケリング","0","0","1"
"ポセイドン・嵐撃の槍","0","0","0","1","ラースドラゴン","0","ジャバウォック","3611001","黒月の守護像","1","0","1"
"リマ","0","0","0","1","ノゾミ","0","ミヤコ","3611002","クウカ","0","0","1"
"100m","0","0","0","1","25m","0","15m","3620001","50m","0","0","1"
"足払い","0","0","0","1","二刀流","0","場外に出る","3620002","突き","0","0","1"
"小手","0","0","0","1","面","0","すね","3620003","胴","1","0","1"
"はさみ跳び","0","0","0","1","背面跳び","0","三段跳び","3620006","ベリーロール","1","0","1"
"ゼロワン","0","0","0","1","クリケット","0","カウントダウン","3620007","カウントアップ","1","0","1"
"正五角形","0","0","0","0","正三角形","0","正六角形","3620008","正四角形","1","1","0"
"黒","0","0","0","1","赤","0","青","3620009","白","0","0","1"
"長距離走","0","0","0","1","水泳","0","砲丸投げ","3620010","自転車","1","0","1"
"ファイブボール","0","0","0","1","ナインボール","0","イレブンボール","3620013","セブンボール","0","0","1"
"スクワット","0","0","0","0","ボディビル","0","ベンチプレス","3620014","デッドリフト","1","1","1"
"レフト","0","0","0","1","ファースト","0","ライト","3620015","セカンド","0","0","1"
"タッグ","0","0","0","1","グレコローマン","0","オールレンジ","3620016","フリースタイル","0","0","1"
"ガーゴイル・バースト","0","0","0","1","ガーゴイル・マギ","0","ガーゴイル","3621001","マグスガーゴイル","0","0","1"
"カリン","0","0","0","1","モニカ","0","アメス","3621002","サレン（サマー）","1","0","1"
"7番","0","0","0","0","1番","0","10番","3630001","5番","1","1","0"
"ブランケット","0","0","0","1","クリケット","0","ロケット","3630003","アルティメット","0","0","1"
"バドミントン","0","0","0","0","バレーボール","0","テニス","3630004","卓球","1","1","1"
"一丁投げ","0","0","0","1","一本背負い","0","二丁投げ","3630005","二本背負い","0","1","0"
"准将","0","0","0","1","大将","0","将軍","3630006","副将","0","0","1"
"セカンド","0","0","0","1","キャッチャー","0","サード","3630007","ファースト","0","0","1"
"小結","0","0","0","1","大関","0","横綱","3630008","関脇","1","0","1"
"鉄棒","0","0","0","1","床","0","平行棒","3630010","跳馬","0","0","1"
"グラップ","0","0","0","1","シェークハンド","0","つまみ持ち","3630012","ペンホルダー","0","0","1"
"リベロ","0","0","0","1","ポイントガード","0","ディフェンダー","3630013","パワーフォワード","0","0","1"
"ラインバッカー","0","0","0","1","ランニングバック","0","シューティングガード","3630014","センター","1","0","1"
"スパイカー","0","0","0","1","リベロ","0","センターブロッカー","3630016","セッター","0","0","1"
"ブルーブラッド","0","0","0","1","ターコイズ・ノア","0","ガイアバルディッシュ","3631001","アクアスラッシャー","0","0","1"
"レヴィアタンランス","0","0","0","1","スプレッドアフェクション","0","覇海姫・竜征冥風裂波斬","3631002","タイフーン・ラブドリーム","1","0","1"
