7621bbdbe0d621f290a527db0c5e0540bbda93fc86b65a4e386869c9b70c2827,8332488f60bce556797e7093f244b38edb1b5062cb8f61fe03aed1389b7b3b75,8ee82d1b7f0d59db59137c9e0da3ebadd13ca1ef8c8ca620858674171641d695,8b6a06fc4f9b9e33762930b7428c8c9b40327239161e3bad5a6e8704faf06a1f,b6c4cfb4482a3e74b6f2e21a18dab695f7c7767342cb1813b7e51eabc8cab274,0409c3d1f6640d85e1ff838f6f8ca2d829c0ee89fc9e3112315c86ac25cc73a8,71f294c663fe7c3c5f63045ef9f1f2a7ef78cc2df07196fe2cc995ea6a5af2c4,2803c6f087a9b39df18e987476c14c0cbd24d3993ec50c3258badf925c04a456,5eb1e63091935e6011e2d5defc18f5e95a0df84e0b80cece30f2cde7b6626000,52e4438aad3c35b3a0bdd0f0bbc52e6b4b3ac0d2cdfb711a507ea49db1f21ccf,8e3d800d956ebb02d99889f076108ae952121c82480f998e22d4524e545b9893,34ef0fdd98ea615e843ff59124c9a8a0ccca4dfb89ae4261e0e93d72644f48be
"44","0","1","0","2","44","0","103","0","43","4401","11031"
"45","0","4","0","1","45","0","104","0","44","4501","11041"
"46","0","3","0","3","46","0","101","0","45","4601","11011"
"47","0","1","0","4","47","0","102","0","46","4701","11021"
"48","0","4","0","2","48","0","104","0","47","4801","11041"
"49","0","2","0","3","49","0","103","0","48","4901","11031"
"50","0","4","0","2","50","0","104","0","49","5001","11041"
"51","0","2","0","1","51","0","101","0","50","5101","11011"
"52","0","3","0","2","52","0","102","0","51","5201","11021"
"53","0","4","0","3","53","0","104","0","52","5301","11041"
"54","0","1","0","4","54","0","52","0","53","5401","10521"
"55","0","3","0","3","55","0","103","0","54","5501","11031"
"56","0","4","0","4","56","0","104","0","55","5601","11041"
"57","0","1","0","2","57","0","100","0","56","5701","11001"
"58","0","3","0","3","58","0","101","0","57","5801","11011"
"59","0","2","0","4","59","0","103","0","58","5901","11031"
"60","0","4","0","3","60","0","104","0","59","6001","11041"
"61","0","1","0","1","61","0","102","0","60","6101","11021"
"62","0","3","0","2","62","0","50","0","61","6201","10501"
"63","0","4","0","1","63","0","104","0","62","6301","11041"
"64","0","2","0","2","64","0","103","0","63","6401","11031"
"65","0","1","0","3","65","0","102","0","64","6501","11021"
"66","0","4","0","2","66","0","104","0","65","6601","11041"
"67","0","1","0","3","67","0","52","0","66","6701","10521"
"68","0","2","0","2","68","0","102","0","67","6801","11021"
"69","0","4","0","4","69","0","104","0","68","6901","11041"
"70","0","2","0","3","70","0","103","0","69","7001","11031"
"71","0","3","0","2","71","0","101","0","70","7101","11011"
"72","0","2","0","3","72","0","100","0","71","7201","11001"
"73","0","4","0","1","73","0","104","0","72","7301","11041"
"74","0","1","0","1","74","0","103","0","73","7401","11031"
"75","0","3","0","3","75","0","102","0","74","7501","11021"
"76","0","1","0","4","76","0","50","0","75","7601","10501"
"77","0","4","0","3","77","0","104","0","76","7701","11041"
"78","0","2","0","2","78","0","101","0","77","7801","11011"
"79","0","3","0","3","79","0","100","0","78","7901","11001"
"80","0","4","0","2","80","0","104","0","79","8001","11041"
"81","0","3","0","1","81","0","52","0","80","8101","10521"
"82","0","1","0","2","82","0","101","0","81","8201","11011"
"83","0","3","0","4","83","0","50","0","82","8301","10501"
"84","0","1","0","3","84","0","103","0","83","8401","11031"
"85","0","4","0","2","85","0","104","0","84","8501","11041"
"86","0","2","0","3","86","0","100","0","85","8601","11001"
"87","0","2","0","2","87","0","102","0","86","8701","11021"
"88","0","2","0","1","88","0","103","0","87","8801","11031"
"89","0","4","0","3","89","0","104","0","88","8901","11041"
"90","0","1","0","2","90","0","102","0","89","9001","11021"
"91","0","4","0","3","91","0","104","0","90","9101","11041"
"92","0","3","0","4","92","0","50","0","91","9201","10501"
"93","0","4","0","3","93","0","104","0","92","9301","11041"
"94","0","1","0","2","94","0","102","0","93","9401","11021"
"95","0","2","0","2","95","0","103","0","94","9501","11031"
"96","0","4","0","3","96","0","104","0","95","9601","11041"
"97","0","4","0","2","97","0","104","0","96","9701","11041"
"98","0","2","0","2","98","0","101","0","97","9801","11011"
"99","0","4","0","3","99","0","104","0","98","9901","11041"
"100","0","1","0","1","100","0","102","0","99","10001","11021"
"101","0","3","0","3","101","0","103","0","100","10101","11031"
"102","0","4","0","4","102","0","104","0","101","10201","11041"
"103","0","3","0","2","103","0","50","0","102","10301","10501"
"104","0","1","0","3","104","0","100","0","103","10401","11001"
"105","0","4","0","4","105","0","104","0","104","10501","11041"
"106","0","2","0","2","106","0","103","0","105","10601","11031"
"107","0","4","0","1","107","0","104","0","106","10701","11041"
"108","0","2","0","3","108","0","103","0","107","10801","11031"
"109","0","3","0","3","109","0","100","0","108","10901","11001"
"110","0","4","0","1","110","0","104","0","109","11001","11041"
"111","0","3","0","2","111","0","101","0","110","11101","11011"
"112","0","4","0","4","112","0","104","0","111","11201","11041"
"113","0","1","0","3","113","0","102","0","112","11301","11021"
"114","0","4","0","2","114","0","104","0","113","11401","11041"
"115","0","2","0","4","115","0","103","0","114","11501","11031"
"116","0","4","0","3","116","0","104","0","115","11601","11041"
"117","0","2","0","2","117","0","102","0","116","11701","11021"
"118","0","4","0","2","118","0","104","0","117","11801","11041"
"119","0","3","0","1","119","0","52","0","118","11901","10521"
"120","0","4","0","3","120","0","104","0","119","12001","11041"
"121","0","1","0","3","121","0","102","0","120","12101","11021"
"122","0","3","0","4","122","0","103","0","121","12201","11031"
"123","0","2","0","2","123","0","100","0","122","12301","11001"
"124","0","1","0","1","124","0","102","0","123","12401","11021"
"125","0","4","0","3","125","0","104","0","124","12501","11041"
"126","0","2","0","2","126","0","101","0","125","12601","11011"
"127","0","3","0","1","127","0","100","0","126","12701","11001"
"128","0","2","0","2","128","0","50","0","127","12801","10501"
"129","0","4","0","3","129","0","104","0","128","12901","11041"
"130","0","1","0","1","130","0","101","0","129","13001","11011"
"131","0","3","0","3","131","0","103","0","130","13101","11031"
"132","0","4","0","4","132","0","104","0","131","13201","11041"
"133","0","3","0","3","133","0","102","0","132","13301","11021"
"134","0","1","0","3","134","0","100","0","133","13401","11001"
"135","0","4","0","2","135","0","104","0","134","13501","11041"
"136","0","4","0","1","136","0","104","0","135","13601","11041"
"137","0","1","0","1","137","0","101","0","136","13701","11011"
"138","0","2","0","3","138","0","100","0","137","13801","11001"
"139","0","4","0","4","139","0","104","0","138","13901","11041"
"140","0","3","0","2","140","0","101","0","139","14001","11011"
"141","0","4","0","1","141","0","104","0","140","14101","11041"
"142","0","3","0","2","142","0","52","0","141","14201","10521"
"143","0","2","0","3","143","0","100","0","142","14301","11001"
"144","0","1","0","4","144","0","103","0","143","14401","11031"
"145","0","4","0","2","145","0","104","0","144","14501","11041"
"146","0","4","0","3","146","0","104","0","145","14601","11041"
"147","0","2","0","2","147","0","102","0","146","14701","11021"
"148","0","2","0","1","148","0","103","0","147","14801","11031"
"149","0","4","0","3","149","0","104","0","148","14901","11041"
"150","0","3","0","3","150","0","102","0","149","15001","11021"
"151","0","1","0","4","151","0","103","0","150","15101","11031"
"152","0","4","0","2","152","0","104","0","151","15201","11041"
"153","0","2","0","1","153","0","102","0","152","15301","11021"
"154","0","4","0","3","154","0","104","0","153","15401","11041"
"155","0","3","0","2","155","0","101","0","154","15501","11011"
"156","0","4","0","4","156","0","104","0","155","15601","11041"
