cc7b6c1d1748ea6fbcdf45095d56748b953ee7c28b7abf7922c9f3d87d11bedc,419b608157de588373fefc46b99018e42b06fe1c66d49ead6a5a659e83b00fe9,d1d2e2b846089358756874246ae732e81d4e8811ad2aa148291e73166813b52e,689bdbc143bebfd038320f681fdedb24950a7256c734e38c6ff0ea1944bc838b,d31e61ed41becc1693e5c1a566dec5d87901aad61dbdad28082c128714dcbc65,e0b49402ef80d032b5af76355be7f43e4bfaa041c7842a9de9bb0135c5aef3a2,4c9f4c202f86e78346e3e2271254792a3da07c13bc325fc3c5939c060a0988b7,214b3a93d89e48d49280f786af69a01a59c51f6fe7fc1ae0f9222bbb43a4941d,efba51914fa1a2f625a1d24bc72f67f6b91abdccb30aea872ebd4fe8f22ee66d,c836db830b0941226c28095f4934feb1ed2c397471184df7bda0e78be7c1b29a,66212e2ee9271b88243fe20156bf05baf1b963fb75d5cac3b47dd68867d7ab13
"","2","0","3012","","-250","","1000002","130120073","2","1500"
"","93","","3012","","","","1","130120074","","0"
"0.2","6","0","3012","","1","","1000002","130120075","1","1"
"0.2","3","","3012","","1","","1000001","130120076","","run_gatein"
"","2","0","3012","","-200","","1000001","130120077","1","360"
"","93","","3012","","","","0.5","130120078","","0"
"0.4","6","0","3012","","1","","1000001","130120079","1","1"
"","93","","3012","","","","0.4","130120080","","0"
"","113","","3012","","","","1","130120081","","0"
"0","31","1","3013","","345.4","","301300","130130001","0","301300"
"","91","","3013","","","","0","130130002","",""
"0.2","3","","3013","","0","","1000001","130130003","","wait_gradeUp"
"","32","","3013","","","","301300","130130004","","1"
"","93","","3013","","","","0.1","130130005","","0"
"","32","","3013","","","","2","130130006","","0"
"","93","","3013","","","","0.8","130130007","","0"
"0","123","0","3013","","1.05","","1.05","130130008","1.05","1.05"
"","122","","3013","","0.5","","5","130130009","","5"
"","93","","3013","","","","1.1","130130010","","0"
"0","123","0","3013","","1.05","","1.05","130130011","1.05","1.05"
"","122","","3013","","0.5","","10","130130012","","10"
"","93","","3013","","","","0.8","130130013","","0"
"0.2","3","","3013","","0","","1000001","130130014","","glad"
"","93","","3013","","","","0.1","130130015","","0"
"2","123","2","3013","","0.907","","0.907","130130016","0.907","0.907"
"","93","","3013","","","","0.3","130130017","","0"
"","32","","3013","","","","996","130130018","","1"
"","93","","3013","","","","0.5","130130019","","0"
"0.2","3","","3013","","0","","1000001","130130020","","joy"
"","93","","3013","","","","1.7","130130021","","0"
"0","3","","3013","","1","","1000001","130130022","","run_gatein"
"","2","0","3013","","-195","","1000001","130130023","1","450"
"","93","","3013","","","","0.5","130130024","","1"
"0.4","6","0","3013","","1","0","1000001","130130025","1","1"
"","93","","3013","","","","0.4","130130026","","0"
"","113","","3013","","","","1","130130027","",""
"0","31","1","3014","","345.4","","301400","130140001","0","301400"
"","91","","3014","","","","0","130140002","",""
"0","123","7.4","3014","","1.05","","1.05","130140003","1.05","1.05"
"0.2","3","","3014","","0","","1000001","130140004","","wait"
"","32","","3014","","","","301400","130140005","","1"
"","93","","3014","","","","0.1","130140006","","0"
"","32","","3014","","","","2","130140007","","0"
"","93","","3014","","","","3.4","130140008","","0"
"5","123","3.2","3014","","0.95","","0.95","130140009","0.95","0.95"
"","93","","3014","","","","1.6","130140010","","0"
"0.2","3","","3014","","0","","1000001","130140011","","relief"
"","32","","3014","","","","996","130140012","","1"
"","93","","3014","","","","1.7","130140013","","0"
"0","3","","3014","","1","","1000001","130140014","","run_gatein"
"","2","0","3014","","-195","","1000001","130140015","1","450"
"","93","","3014","","","","0.5","130140016","","1"
"0.4","6","0","3014","","1","0","1000001","130140017","1","1"
"","93","","3014","","","","0.4","130140018","","0"
"","113","","3014","","","","1","130140019","",""
"0","31","1","3015","","345.4","","301501","130150001","0","301501"
"1","31","1","3015","","345.4","","301500","130150002","0","301500"
"","91","","3015","","","","0","130150003","",""
"0","123","7.4","3015","","1.05","","1.05","130150004","1.05","1.05"
"0.2","3","","3015","","0","","1000001","130150005","","wait_wakuwaku"
"","35","","3015","","","","2","130150006","","1"
"","93","","3015","","","","5.4","130150007","","0"
"0","123","0.4","3015","","0.95","","0.95","130150008","0.95","0.95"
"0.2","3","","3015","","0","","1000001","130150009","","glad"
"","32","","3015","","","","301501","130150010","","1"
"","32","","3015","","","","996","130150011","","1"
"","93","","3015","","","","0.1","130150012","","0"
"","32","","3015","","","","2","130150013","","0"
"","32","","3015","","","","3","130150014","","0"
"","93","","3015","","","","1.5","130150015","","0"
"0.2","3","","3015","","0","","1000001","130150016","","joy"
"","93","","3015","","","","1.7","130150017","","0"
"0","3","","3015","","1","","1000001","130150018","","run_gatein"
"","2","0","3015","","-195","","1000001","130150019","1","450"
"","93","","3015","","","","0.5","130150020","","1"
"0.4","6","0","3015","","1","0","1000001","130150021","1","1"
"","93","","3015","","","","0.4","130150022","","0"
"","113","","3015","","","","1","130150023","",""
"0","31","1","3016","","345.4","","6","130160001","0","6"
"0","31","1","3016","","345.4","","8","130160002","0","8"
"0","31","1","3016","","345.4","","301600","130160003","-80","301600"
"0","31","1","3016","","345.4","","301601","130160004","0","301601"
"1","31","1","3016","","345.4","","990002","130160005","0","990002"
"","91","","3016","","","","0","130160006","",""
"0","123","7.4","3016","","1.05","","1.05","130160007","1.05","1.05"
"0.2","3","","3016","","0","","1000001","130160008","","wait"
"","35","","3016","","","","2","130160009","","1"
"","93","","3016","","","","5.4","130160010","","0"
"0","123","0.4","3016","","0.95","","0.95","130160011","0.95","0.95"
"","32","","3016","","","","8","130160012","","1"
"","35","","3016","","","","8","130160013","","0"
"","32","","3016","","","","301600","130160014","","1"
"","32","","3016","","","","6","130160015","","1"
"","93","","3016","","","","0.1","130160016","","0"
"","32","","3016","","","","2","130160017","","0"
"","32","","3016","","","","3","130160018","","0"
"0.1","3","","3016","","0","","1000001","130160019","","glad"
"","23","","3016","","0","","se_travel","130160020","","se_travel_treasure_success_butterfly"
"","93","","3016","","","","0.5","130160021","","0"
"","35","","3016","","","","8","130160022","","1"
"","93","","3016","","","","1.1","130160023","","0"
"","32","","3016","","","","301601","130160024","","1"
"","32","","3016","","","","996","130160025","","1"
"0.2","3","","3016","","0","","1000001","130160026","","joy"
"","93","","3016","","","","1.67","130160027","","0"
"0","3","","3016","","1","","1000001","130160028","","run_gatein"
"","23","","3016","","0","","se_travel","130160029","","se_travel_treasure_cha_run"
"","2","0","3016","","-195","","1000001","130160030","1","450"
"","93","","3016","","","","0.5","130160031","","1"
"0.4","6","0","3016","","1","0","1000001","130160032","1","1"
"","93","","3016","","","","0.4","130160033","","0"
"","113","","3016","","","","1","130160034","",""
"0","31","1","3017","","345.4","","310000","130170001","0","310000"
"0","31","1","3017","","0","","310001","130170002","0","310001"
"0","31","1","3017","","345.4","","301700","130170003","0","301700"
"0","31","1","3017","","740","","301701","130170004","-115","301701"
"0","31","1","3017","","345.4","","301702","130170005","0","301702"
"0","31","1","3017","","345.4","","301703","130170006","0","301703"
"0.44","5","-235","3017","empty","100","0","5","130170007","610","15"
"0.44","5","-235","3017","empty","55","0","5","130170008","610","16"
"","91","","3017","","","","0","130170009","",""
"0","123","7.4","3017","","1.05","","1.05","130170010","1.05","1.05"
"0.2","3","","3017","","0","","1000001","130170011","","wait"
"","35","","3017","","","","2","130170012","","1"
"","93","","3017","","","","5.4","130170013","","0"
"0","123","0.3","3017","","0.95","","0.95","130170014","0.95","0.95"
"","32","","3017","","","","310000","130170015","","1"
"","32","","3017","","","","310001","130170016","","1"
"","93","","3017","","","","0.2","130170017","","0"
"","122","","3017","","0.6","","50","130170018","","50"
"0.2","3","","3017","","0","","1000001","130170019","","shock"
"","93","","3017","","","","1.6","130170020","","0"
"","32","","3017","","","","301700","130170021","","1"
"","93","","3017","","","","1.2","130170022","","0"
"","23","","3017","","0","","se_travel","130170023","","se_travel_treasure_croce_ui"
"","3","","3017","","0","","15","130170024","","punch"
"","3","","3017","","0","","16","130170025","","punch_B"
"","93","","3017","","","","0.2","130170026","","0"
"11","123","0.1","3017","","1.05","","1.05","130170027","1.05","1.05"
"","93","","3017","","","","0.1","130170028","","0"
"0","123","0.3","3017","","0.95","","0.95","130170029","0.95","0.95"
"","93","","3017","","","","1","130170030","","0"
"","23","","3017","","0","","se_travel","130170031","","se_travel_treasure_croce_door"
"","93","","3017","","","","0.4","130170032","","0"
"","32","","3017","","","","301701","130170033","","1"
"","93","","3017","","","","0.9","130170034","","0"
"0","123","0","3017","","1.05","","1.05","130170035","1.05","1.05"
"","122","","3017","","0.6","","75","130170036","","75"
"","32","","3017","","","","301702","130170037","","1"
"","93","","3017","","","","0.4","130170038","","0"
"","32","","3017","","","","2","130170039","","0"
"","32","","3017","","","","310000","130170040","","0"
"","93","","3017","","","","0.4","130170041","","0"
"11","123","2","3017","","0.95","","0.95","130170042","0.95","0.95"
"","93","","3017","","","","0.2","130170043","","0"
"0.2","3","","3017","","0","","1000001","130170044","","glad"
"","32","","3017","","","","301703","130170045","","1"
"","93","","3017","","","","0.1","130170046","","0"
"","32","","3017","","","","996","130170047","","1"
"","93","","3017","","","","0.9","130170048","","0"
"0.2","3","","3017","","0","","1000001","130170049","","joy"
"","93","","3017","","","","1.7","130170050","","0"
"0","3","","3017","","1","","1000001","130170051","","run_gatein"
"","23","","3017","","","","se_travel","130170052","","se_travel_treasure_cha_run"
"","2","0","3017","","-195","","1000001","130170053","1","450"
"","93","","3017","","","","0.5","130170054","","1"
"0.4","6","0","3017","","1","0","1000001","130170055","1","1"
"","93","","3017","","","","0.4","130170056","","0"
"","113","","3017","","","","1","130170057","",""
"0","31","1","3100","","345.4","","310000","131000001","0","310000"
"0","31","1","3100","","0","","310001","131000002","0","310001"
"","91","","3100","","","","0","131000003","",""
"0","123","7.4","3100","","1.05","","1.05","131000004","1.05","1.05"
"0.2","3","","3100","","0","","1000001","131000005","","wait"
"","35","","3100","","","","2","131000006","","1"
"","93","","3100","","","","5.4","131000007","","0"
"0","123","0.3","3100","","0.95","","0.95","131000008","0.95","0.95"
"","32","","3100","","","","310000","131000009","","1"
"","32","","3100","","","","310001","131000010","","1"
"","93","","3100","","","","0.2","131000011","","0"
"","122","","3100","","0.6","","50","131000012","","50"
"0.2","3","","3100","","0","","1000001","131000013","","shock"
"","93","","3100","","","","1.6","131000014","","0"
"","113","","3100","","","","2","131000015","",""
"0","31","1","3111","","345.4","","6","131110001","0","6"
"0","31","1","3111","","345.4","","7","131110002","0","7"
"0","31","1","3111","","345.4","","8","131110003","0","8"
"1.3","5","0","3111","appear","55","0","3","131110004","8000","13"
"","91","","3111","","","","0","131110005","",""
"0","6","0","3111","","1","0","13","131110006","1","1"
"","2","0","3111","","-250","","13","131110007","0","95"
"0","123","7.4","3111","","1.05","","1.05","131110008","1.05","1.05"
"0.2","3","","3111","","0","","1000001","131110009","","wait"
"","35","","3111","","","","2","131110010","","1"
"","93","","3111","","","","4.9","131110011","","0"
"0","123","0.3","3111","","0.95","","0.95","131110012","0.95","0.95"
"","23","","3111","","0","","se_travel","131110013","","se_travel_treasure_ghost_fail"
"","32","","3111","","","","8","131110014","","1"
"","35","","3111","","","","8","131110015","","0"
"","32","","3111","","","","6","131110016","","1"
"","93","","3111","","","","0.1","131110017","","0"
"","32","","3111","","","","2","131110018","","0"
"","32","","3111","","","","3","131110019","","0"
"","3","","3111","","0","","1000001","131110020","","dotEyes"
"","93","","3111","","","","0.3","131110021","","0"
"","3","","3111","","0","","13","131110022","","appear"
"0","6","1","3111","","1","0","13","131110023","1","1"
"","93","","3111","","","","0.67","131110024","","0"
"","3","","3111","","0","","1000001","131110025","","shock_jump"
"","2","0","3111","","-250","","1000001","131110026","1","70"
"","93","","3111","","","","1.1","131110027","","0"
"","3","","3111","","1","","1000001","131110028","","escape"
"","2","0","3111","","-250","","1000001","131110029","1.2","-350"
"","3","","3111","","0","","13","131110030","","march"
"","93","","3111","","","","0.2","131110031","","0"
"","32","","3111","","","","7","131110032","","1"
"","93","","3111","","","","0.1","131110033","","0"
"","32","","3111","","","","6","131110034","","0"
"","93","","3111","","","","1.6","131110035","","0"
"","113","","3111","","","","2","131110036","",""
"0.2","3","","3112","","1","","1000001","131120001","","idle"
"0","31","1","3112","","0","","301200","131120002","0","13"
"0","31","1","3112","","0","","101","131120003","0","14"
"0","31","1","3112","","0","","301205","131120004","0","15"
"0","31","1","3112","","130","","301206","131120005","-170","16"
"0","31","1","3112","","345.4","","6","131120006","0","18"
"0","31","1","3112","","345.4","","301201","131120007","0","20"
"0","31","1","3112","","345.4","","301202","131120008","0","21"
"1","5","-234","3112","round_monster_walk","55","0","1","131120009","9340","3"
"","91","","3112","","","","0","131120010","",""
"0","6","0","3112","","1","0","3","131120011","1","1"
"0","2","0","3112","","-234","0","3","131120012","0","345"
"0","123","7.4","3112","","1.05","0","1.05","131120013","1.05","1.05"
"0.2","3","","3112","","0","","1000001","131120014","","wait"
"","35","","3112","","","","2","131120015","","1"
"","93","","3112","","","","4.3","131120016","","0"
"0","123","0.4","3112","","0.95","","0.95","131120017","0.95","0.95"
"","32","","3112","","","","21","131120018","","1"
"","35","","3112","","","","21","131120019","","0"
"","23","","3112","","","","se_travel","131120020","","se_travel_treasure_monster_failure"
"","32","","3112","","","","18","131120021","","1"
"","93","","3112","","","","0.1","131120022","","0"
"","32","","3112","","","","2","131120023","","0"
"0.3","6","1","3112","","1","0","3","131120024","1","1"
"","32","","3112","","","","13","131120025","","1"
"","3","","3112","","0","","3","131120026","","round_monster_appear"
"","3","","3112","","0","","1000001","131120027","","back"
"","93","","3112","","","","0.67","131120028","","0"
"0.2","3","","3112","","0","","3","131120029","","round_monster_walk"
"0","2","0","3112","","-234","0","3","131120030","1.4","220"
"","32","","3112","","","","20","131120031","","1"
"","93","","3112","","","","0.1","131120032","","0"
"","32","","3112","","","","18","131120033","","0"
"","93","","3112","","","","1","131120034","","0"
"0.3","3","","3112","","0","","3","131120035","","round_monster_attack"
"","93","","3112","","","","0.5","131120036","","0"
"","32","","3112","","","","15","131120037","","1"
"0.2","3","","3112","","1","","1000001","131120038","","back_loop"
"","93","","3112","","","","1","131120039","","0"
"","32","","3112","","","","16","131120040","","1"
"","122","","3112","","0.5","","0","131120041","","50"
"","2","0","3112","","-250","","1000001","131120042","0","40"
"0","3","","3112","","0","","1000001","131120043","","shock_jump"
