daf36bb11d472a3bdeebe2a7a6fea34bd02eff919d4d74455e2de3c37bfe6725,479145f33ea3dbc22045d5a44587aed9db38b7f57127ad04a122a778cfa02cf3,d193b1435f1daaee6e87c14edf8e112c06f116faa91d0853d0d3966b8bb675f9,353c201c3829eae7d804659783041a3a850e783ac1aa27f446e1aa702e518502,a68bd147bb7c3ae8eaa3dd8bfa52974cb23e433560f14ba022bcf63ea06a5135,0d28aba723674cf75d3414d7aaa198886c51326f662721d3b0b4fbea0ad17a3b
"ルーペ","1","1","10012","1001202","「虫眼鏡」のまた別の呼び方。"
"ズーム","2","1","10012","1001203","レンズを用いて、物を大きく見たり小さく見たりする操作。"
"たんていのひっすアイテム","3","1","10012","1001204","名探偵「カスミ」が愛用する探偵道具の一つ。"
"ディテクティブルーペ","3","1","10012","1001205","「カスミ」の専用装備。このルーペと、数々の事件を共にしてきた。"
"にく","1","1","10013","1001300","焼けばジュワっと肉汁あふれる、素敵な食材。"
"りょうり","2","1","10013","1001301","食材を加工して、食べるために味をつけたり整えたりしたも\nの。"
"ミート","2","1","10013","1001302","「肉」の英語読み。"
"ほねつきにく","2","1","10013","1001303","骨についたままの肉。また、その状態のまま料理したもの。骨についているだけでなんだか美味しそうに見える。"
"ドラゴンのにく","3","1","10013","1001304","こんなに立派な骨付き肉、もしかするとエルピス島に存在すると噂される「ドラゴン」のものなのかもしれない。"
"つき","1","1","10014","1001400","夜空に黄金に輝く美しい衛星。"
"まんげつ","1","1","10014","1001401","まん丸に輝いた状態の月。"
"ムーン","2","1","10014","1001402","「月」の英語読み。"
"ルナ","2","1","10014","1001403","「月」のラテン語読み。"
"めいげつ","3","1","10014","1001404","特に美しく見える月。"
"こうもり","1","1","10015","1001500","数少ない飛翔する哺乳類。血を吸うイメージだが、吸血種は極わずかしかいない。"
"バット","1","1","10015","1001501","「こうもり」の英語読み。"
"きゅうけつき","2","1","10015","1001502","民話や伝説に登場する種族。"
"イリヤのけんぞく","3","1","10015","1001503","幼女の頭を撫でたり抱きしめたりするだけの簡単なお仕事。"
"とり","1","1","10016","1001600","鳥類の総称。全身を羽毛に覆われ、翼で飛翔する。"
"まもの","1","1","10016","1001601","ランドソル全土に現れる怪物の総称。"
"バード","2","1","10016","1001602","「とり」の英語読み。"
"ジズ","3","1","10016","1001603","本に封じられていた鳥型の魔物。ハツネ・シオリ姉妹が退治した。"
"くつ","1","1","10017","1001700","足に履く物。小石やガムなどから足の裏を護る文明の極み。"
"ズック","1","1","10017","1001701","「くつ」のまた別の呼び方。最近あんまり言わなくない？"
"シューズ","2","1","10017","1001702","「くつ」の英語読み。行動速度が５くらい上がりそうな読み\n方。"
"かわぐつ","2","1","10017","1001703","おじさんから女子高生まで幅広く愛用されるおしゃれアイテ\nム。残念ながら煮ても食べられない。"
"ブーツ","2","1","10017","1001704","脚を覆う長い靴。特に編み上げの物はおしゃれ度において他の追随を許さない。"
"ねこ","1","1","10018","1001800","ネコ科の哺乳類。人間と馴染みの深い動物で、そのかわいさの前に人間はただただ無力。"
"キャット","1","1","10018","1001801","「ねこ」の英語読み。"
"とらねこ","2","1","10018","1001802","虎のようなしま模様のねこ。タビーとも呼ばれる。"
"にゃんこ","2","1","10018","1001803","猫を指す幼児語。意外と大人も言う。"
"タマキのおともだち","3","1","10018","1001804","猫たちのこと。タマキがご飯を与えているが、出費が馬鹿にならないらしい。"
"きんぎょ","1","1","10019","1001900","観賞用の赤く小さな魚類。縁日ですくわずにはいられないニクいやつ。"
"おさかな","1","1","10019","1001901","魚類の一般的な呼び方。食べると頭がよくなるという噂。"
"さかな","1","1","10019","1001902","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。"
"らんちゅう","2","1","10019","1001903","金魚の一種。ずんぐりとした体型で顔がこぶ状に隆起しているのが特徴。"
"ねずみ","1","1","10020","1002000","げっ歯類の一種。"
"マウス","1","1","10020","1002001","「ねずみ」の英語読み。かわいくて愛される方は大体マウス。"
"ちゅーちゅー","2","1","10020","1002002","ねずみの鳴き声、あるいは愛称。"
"ラット","2","1","10020","1002003","「ねずみ」の英語読み。科学実験に用いられる方は大体ラッ\nト。"
"たまご","1","1","10021","1002100","鳥などの雌が産む殻に包まれた球状の物体。"
"エッグ","2","1","10021","1002101","「たまご」の英語読み。"
"こども","2","1","10021","1002102","幼い生き物。基本小さくてかわいい。"
"とりのす","2","1","10021","1002103","鳥のすみかで、ここで産卵を行ったりする。"
"ふね","1","1","10022","1002200","人や物を載せて水上を進む乗り物。"
"クルージング","2","1","10022","1002201","大型の船で航海すること。"
"はんせん","2","1","10022","1002202","帆を張って風力で進む船。"
"シップ","2","1","10022","1002203","「ふね」の英語読み。"
"ぎゅうにゅう","1","1","10023","1002300","牛がだす乳汁。そのまま飲むのはもちろん、チーズやバターなどに加工できる優れもの。"
"ミルク","1","1","10023","1002301","「ぎゅうにゅう」の英語読み。"
"おちち","2","1","10023","1002302","「ぎゅうにゅう」のまた別の呼び方。口に出すのはちょっと恥ずかしい。"
"エリザベス","3","1","10023","1002303","エリザベスパークにいる牛の名前にしてマヒルのパートナー。"
"チョコレート","1","1","10024","1002400","カカオを加工したお菓子。２月14日に大量消費される。"
"おかし","1","1","10024","1002401","通常の食事以外で食す嗜好品。"
"あまいもの","2","1","10024","1002402","甘い味のするもの。疲れた時にほしくなる。"
"カカオ","2","1","10024","1002403","チョコレートの原料。含有量が多いほどビターな味わいにな\nる。"
"ドラちゃんのこうぶつ","3","1","10024","1002404","味をしめたらしい。"
"どんぐり","1","1","10025","1002500","硬い木の実。人が食すにはあまり適さないが、子どもの収集欲を刺激する魅惑の木の実。"
"きのみ","1","1","10025","1002501","木になる実。"
"ナッツ","2","1","10025","1002502","硬い殻に包まれた食用の実。お菓子に入れたり酒のつまみにと色々重宝する。"
"リンのおやつ","3","1","10025","1002503","アンパンほどではないが、好きらしい。バトルのときは敵にぶつけてスタンさせる。"
"いちご","1","1","10026","1002600","小さく甘酸っぱい果物。種と思われる粒々は実は果実。"
"ストロベリー","1","1","10026","1002601","「いちご」の英語読み。"
"ジャム","2","1","10026","1002602","果物を加工した食品。パンやクラッカーに塗ったり、紅茶に入れたりする。"
"とら","1","1","10027","1002700","大型のネコ科の猛獣。肉食。酔っぱらいを指す言葉としても使われる。"
"タイガー","1","1","10027","1002701","「とら」の英語読み。"
"ねこ","2","1","10027","1002702","ネコ科の哺乳類。人間となじみの深い動物で、そのかわいさの前に人間はただただ無力。"
"けもの","2","1","10027","1002703","全身を毛におおわれ、四足で歩く哺乳類。"
"マツリのあこがれ","3","1","10027","1002704","トラタイガー！"
"むてきヒーロートラタイガー","3","1","10027","1002705","マツリが憧れる正義のヒーロー。名前にツッコんではいけな\nい。"
"ぬいぐるみ","1","1","10028","1002800","布を縫合し綿などを詰めて人や動物を似せて形作ったもの。"
"うさぎ","1","1","10028","1002801","長い耳と短い尻尾がかわいい哺乳類。ペットとしても人気が高い。"
"にんぎょう","1","1","10028","1002802","人や生き物を模ったもの。材質も様々で、玩具や観賞用、祭礼と用途は様々。"
"ラビット","2","1","10028","1002803","「うさぎ」の英語読み。"
"アーサー","3","1","10028","1002804","マホのぬいぐるみの一体。名称はアーサー王と円卓の騎士がモチーフ。"
"ばくだん","1","1","10029","1002900","爆発による熱と衝撃で対象を破壊、殺傷する兵器。超危ない。"
"ボム","1","1","10029","1002901","「ばくだん」の英語読み。"
"きけんぶつ","2","1","10029","1002902","生物や環境に危険を及ぼす可能性のある物質。取り扱いには資格が必要になることもある。"
"とびどうぐ","2","1","10029","1002903","遠くから飛ばして攻撃するタイプの武器のこと。反則的な発想やアイデアという意味で使われることもある。"
"ミソギのいたずらグッズ","3","1","10029","1002904","一度ちゃんと怒られた方がいい。"
"すいか","1","1","10030","1003000","ウリ科の大きな果実。緑のしま模様の皮、赤い果肉と黒い種が印象的。"
"こだますいか","2","1","10030","1003001","小ぶりのスイカ。小玉といえどまあまあデカい。"
"なつのふうぶつし","2","1","10030","1003002","夏の感じを表す物事。スイカの他に海や花火など。"
"うま","1","1","10031","1003100","ウマ科の大型の哺乳類。力が強く速く走れるため、家畜や競走馬としてなじみ深い。"
"ろば","1","1","10031","1003101","ウマ科の哺乳類。馬に比べて小型だが力が強く労働力として重宝される。"
"ホース","2","1","10031","1003102","「うま」の英語読み。"
"ぱかぱか","2","1","10031","1003103","馬が歩く時のひづめの音。"
"サラブレッド","2","1","10031","1003104","馬の種類で競走用に品種改良されたもの。"
"ムーバ","3","1","10031","1003105","クランバトルに登場する馬型の魔物。"
"いす","1","1","10032","1003200","腰かけるための家具。役職、地位を示す意味もある。"
"かぐ","2","1","10032","1003201","室内に配置して日常的に使用する道具の総称。"
"チェア","2","1","10032","1003202","「いす」の英語読み。"
"ギルドハウスアイテム","3","1","10032","1003203","ギルドハウスに置く家具や装飾品。豪華なデザインからユニークなものまで、そのバリエーションは非常に豊か。"
"うみ","1","1","10033","1003300","陸地以外の凹所にひとつづきに水がたたえている場所。"
"かいがん","1","1","10033","1003301","陸地が海と接する部分。"
"ビーチ","1","1","10033","1003302","海辺。海水浴場として用いられることもある。ここでものを食べるとなんだかとても美味い。"
"しおさい","2","1","10033","1003303","寄せてくる波が立てる音。貝殻に耳を当ててもそれっぽい音が聞こえる。"
"すなはま","2","1","10033","1003304","砂ばかりの浜辺。城を建てたり埋まってみたりと楽しみ方は無限大。"
"マルジェンかいがん","3","1","10033","1003305","ランドソルから徒歩で行ける人気のビーチだが、よく魔物が現れるので意外と物騒。"
"やどかり","1","1","10034","1003400","貝殻を背負って生活する甲殻類。"
"かいがら","2","1","10034","1003401","貝類の外側を覆う殻。砂浜に落ちているとつい集めたくなる。"
"こうかくるい","2","1","10034","1003402","硬い外骨格を持つ節足動物。エビ、カニはもちろんミジンコもこれにあたる。"
"ハーミットナイト","3","1","10034","1003403","ランドソルのいたる所に現れる魔物。鎧のような見た目の通り硬くて厄介な敵。"
"ふえ","1","1","10035","1003500","一般的に木管楽器を指す言葉。縦笛と横笛に分けられる。"
"リコーダー","1","1","10035","1003501","木管楽器の一種。チャンバラごっこに使ってはいけない。"
"かんがっき","2","1","10035","1003502","楽器の分類のうちのひとつ。息を吹き込み管内の空気を振動させ音を出す。"
"たてぶえ","2","1","10035","1003503","縦に構えて吹く笛。リコーダーやクラリネットなど。"
"ほん","1","1","10036","1003600","紙の束に文字や図画を印刷し製本したもの。"
"ノート","1","1","10036","1003601","文字や絵を書き記すための文房具。"
"しょうせつ","2","1","10036","1003602","創作の物語。恋愛、歴史、ミステリーなどジャンルは多岐にわたる。"
"ブック","2","1","10036","1003603","「ほん」の英語読み。"
"キャルのまどうしょ","3","1","10036","1003604","本なの？　それとも杖なの？"
"さかな","1","1","10037","1003700","魚類の一般的な呼び方。食べると頭がよくなるという噂。"
"おさかな","1","1","10037","1003701","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。"
"かつお","2","1","10037","1003702","魚の一種。刺身が美味い。かつおぶしなどの加工品でもおなじみ。"
"まぐろ","2","1","10037","1003703","魚の一種。でかくて美味い高級魚。寿司といえばこれ。"
"フィッシュ","2","1","10037","1003704","「さかな」の英語読み。"
"うお","2","1","10037","1003705","「さかな」のまた別の呼び方。"
"ツリー","1","1","10038","1003800","樹木のこと。"
"クリスマス","1","1","10038","1003801","いつから、どうしてなのかは不明だがサンタクロースがプレゼントをくれる日。"
"もみのき","2","1","10038","1003802","クリスマスツリーに用いられる針葉樹。大きいものは40ｍにもなる。"
"キャロル","2","1","10038","1003803","クリスマスに歌われる祝歌。"
"ぼうきゃくのキャロル","3","1","10038","1003804","チカとサレンディア救護院に起きた、聖なる夜の奇跡の物語。"
"あめ","1","1","10039","1003900","砂糖などを煮詰め固めた菓子。"
"キャンディ","1","1","10039","1003901","「あめ」の英語読み。"
"ロリポップ","2","1","10039","1003902","棒つきの飴。"
"クロエのおやつ","3","1","10039","1003903","持ってるだけで絵になる。"
"ハンマー","1","1","10040","1004000","頭が金属でできた鈍器。叩かれるととても痛い。"
"ピコピコハンマー","1","1","10040","1004001","頭がやわらかいじゃばらでできたおもちゃ。叩かれるとコミカルな音が鳴る。"
"かなづち","2","1","10040","1004002","頭が金属でできた鈍器。叩かれるととても痛い。"
"こづち","2","1","10040","1004003","小さな槌。振ることによりいろんなものがでてくるとかこないとか。"
"イノリのえもの","3","1","10040","1004004","イノリの得物。かわいらしい動作から繰り広げられる攻撃は凶悪。"
"ほし","1","1","10041","1004100","夜空に光る天体。"
"ごかくけい","1","1","10041","1004101","５つの頂点と辺を持つ多角形。"
"スター","1","1","10041","1004102","「ほし」の英語読み。"
"ずけい","2","1","10041","1004103","面や点、線、立体、またはそれらの集まり。"
"ひとで","2","1","10041","1004104","星形の海洋生物。食用には適さない。"
"きらきら","2","1","10041","1004105","光る様子の表現の一つ。"
"ランドソルのかたち","3","1","10041","1004106","空から見ないと分からない。"
"ぼうし","1","1","10042","1004200","頭にかぶる装身具。"
"ハット","1","1","10042","1004201","「ぼうし」の英語読み。"
"やまたかぼう","2","1","10042","1004202","「ぼうし」の種類の一部。"
"シルクハット","2","1","10042","1004203","「ぼうし」の種類の一部。"
"カップ","1","1","10043","1004300","飲み物などを入れる容器。"
"コーヒー","1","1","10043","1004301","苦い飲み物。大人の味。"
"マグ","2","1","10043","1004302","「コップ」の種類の一部。"
"いぬ","1","1","10044","1004400","ワンワン吠える動物。"
"ドッグ","1","1","10044","1004401","「いぬ」の英語読み。"
"おおかみ","2","1","10044","1004402","「いぬ」の仲間。野生の力だ。"
"ウルフ","2","1","10044","1004403","「いぬ」の仲間。ワイルドの力だ。"
"わんこ","2","1","10044","1004404","「いぬ」のまた別の呼び方。"
"はた","1","1","10045","1004500","ひらひらした布。"
"フラッグ","1","1","10045","1004501","「はた」の英語読み。"
"ケーキ","1","1","10046","1004600","素敵なおかし。甘くて美味しい。"
"おかし","1","1","10046","1004601","素敵な食べ物。"
"ぎふと","2","1","10046","1004602","贈り物に最適。"
"きずなポイント","3","1","10046","1004603","絆の深さは共に過ごす時間だけではない。カロリーもまた絆の証…"
"ミックスベリーケーキ","3","1","10046","1004604","みんな大好き。何がとは言わないが30Pt加算される。"
"マイク","1","1","10047","1004700","音を信号に変換する装置。"
"うた","1","1","10047","1004701","マイクは歌の必需品！"
"ライブ","1","1","10047","1004702","ステージでの生演奏。"
"アイドルのひっすアイテム","2","1","10047","1004703","これがなくちゃはじまらない。"
"ブリリアントマイク","3","1","10047","1004704","「ノゾミ」の専用装備。カルミナマーク入り！"
"くちべに","1","1","10048","1004800","口元を引き立たせる化粧品。"
"リップ","1","1","10048","1004801","「くちべに」の英語読み。"
"ルージュ","2","1","10048","1004802","「くちべに」のまた別の呼び方。本来は赤の意味。"
"もち","1","1","10049","1004900","穀物を蒸してついた。縁起物でもある。"
"おもち","1","1","10049","1004901","「もち」のまた別の呼び方。"
"かがみもち","2","1","10049","1004902","正月に神仏に供える、大小ふたつ重ねの餅。"
"たんすいかぶつ","2","1","10049","1004903","もちの主な栄養素。とりすぎに注意。"
"ライスケーキ","2","1","10049","1004904","「もち」の英語読み。"
"ようせい","1","1","10050","1005000","小さくて羽の生えた種族。"
"フェアリー","2","1","10050","1005001","「ようせい」の英語読み。"
"ネビア","3","1","10050","1005002","ギルドハウスに住んでいるいたずら妖精。"
"かさ","1","1","10051","1005100","雨や日差しを避ける道具。"
"アンブレラ","1","1","10051","1005101","主に雨を避けるためのかさ。"
"パラソル","2","1","10051","1005102","主に日差しを避けるためのかさ。"
"ひがさ","2","1","10051","1005103","主に日差しを避けるためのかさ。"
"ペコリーヌサマー","3","1","10051","1005104","真夏のビーチプリンセスの必需品！"
"さいころ","1","1","10052","1005200","乱数を発生させるための道具。"
"ダイス","1","1","10052","1005201","「さいころ」の英語読み。"
"ギャンブル","2","1","10052","1005202","賭け事。さいころの目で一喜一憂。"
"りっぽうたい","2","1","10052","1005203","一般的なさいころの形。"
"すごろく","2","1","10052","1005204","サイコロを使ったボードゲーム。"
"てがみ","1","1","10053","1005300","言葉では伝えられない思いを文字にして。"
"レター","2","1","10053","1005301","「てがみ」の英語読み。"
"メール","2","1","10053","1005302","「てがみ」の英語読み。"
"おたより","2","1","10053","1005303","「てがみ」のまた別の呼び方。"
"ラブレター","2","1","10053","1005304","愛を伝えるための手紙。"
"ブドウ","1","1","10054","1005400","房になる。となりのものは酸っぱいらしい。"
"グレープ","1","1","10054","1005401","「ぶどう」の英語読み。"
"きょほう","2","1","10054","1005402","「ぶどう」の種類の一部。"
"デラウェア","2","1","10054","1005403","「ぶどう」の種類の一部。たねがない。"
"ひつじ","1","1","10055","1005500","もこもこの毛の動物。"
"シープ","2","1","10055","1005501","「ひつじ」の英語読み。"
"メリーさんのひつじ","2","1","10055","1005502","かわいいな～♪"
"とうふ","1","1","10056","1005600","豆からつくられるトーゴク料理。"
"もめんどうふ","2","1","10056","1005601","「とうふ」の種類の一部。ワイルドなくちあたり。"
"きぬごしどうふ","2","1","10056","1005602","「とうふ」の種類の一部。繊細なくちあたり。"
"ひややっこ","2","1","10056","1005603","代表的なとうふ料理。"
"あひる","1","1","10057","1005700","飛べない鳥。がーがーなく。"
"がちょう","1","1","10057","1005701","飛べない鳥。ぐわぐわなく。"
"グース","2","1","10057","1005702","「がちょう」の英語読み。"
"ダック","2","1","10057","1005703","「あひる」の英語読み。"
"とり","2","1","10057","1005704","飛べる鳥もいる。飛べない鳥もいる。"
"とんぼ","1","1","10058","1005800","空を飛ぶ昆虫。"
"やんま","2","1","10058","1005801","「とんぼ」の種類の一部。"
"オニヤンマ","2","1","10058","1005802","「とんぼ」の種類の一部。大きい。"
"ドラゴンフライ","2","1","10058","1005803","「とんぼ」の英語読み。強そう。"
"はっぱ","1","1","10059","1005900","葉。"
"このは","1","1","10059","1005901","木のはっぱ。"
"リーフ","2","1","10059","1005902","「葉っぱ」の英語読み。"
"くさ","2","1","10059","1005903","樹木にならない植物。雑草。"
"アオイのともだち","3","1","10059","1005904","アオイが気兼ねなく話せる数少ないともだち。ともだちです。"
"ゆびわ","1","1","10060","1006000","指につける装身具。"
"リング","1","1","10060","1006001","「ゆびわ」の英語読み。輪。"
"わっか","1","1","10060","1006002","まーるい輪。"
"なわ","1","1","10061","1006100","麻などで編まれた頑丈なひも。いろいろなものを縛ったりす\nる。"
"ロープ","1","1","10061","1006101","「なわ」の英語読み。"
"ひも","1","1","10061","1006102","細いなわ。"
"つな","1","1","10061","1006103","「ロープ」のまた別の呼び方。"
"クウカのまるひアイテム","3","1","10061","1006104","ぐふふふふ。"
"エクスタシー","3","1","10061","1006105","クウカは、クウカはぁ～！"
"たて","1","1","10062","1006200","攻撃を防ぐための板状の防具。"
"シールド","1","1","10062","1006201","「たて」の英語読み。"
"ガード","2","1","10062","1006202","何かを防ぐものの総称。"
"ぼうぐ","2","1","10062","1006203","身を守る装具。"
"バックラー","2","1","10062","1006204","攻撃を受けるのではなく逸らすための盾。"
"インフェルノシールド","3","1","10062","1006205","ジュンのユニオンバースト。あらゆる攻撃を受け止める！"
"おかね","1","1","10063","1006300","貨幣。食べ物ではない。"
"かね","1","1","10063","1006301","「おかね」のまた別の呼び方。食べ物ではない。"
"マネー","2","1","10063","1006302","「おかね」の英語読み。食べ物ではない。"
"こぜに","2","1","10063","1006303","少額の貨幣。食べ物ではない。"
"きんか","2","1","10063","1006304","金でできた貨幣。食べ物ではない。"
"ルピ","3","1","10063","1006305","ランドソルで使われる通貨単位。食べ物ではない。"
"ギルドハウスかぐこうにゅう","3","1","10063","1006306","ルピの主な使い道。食べ物も、ある。"
"プリンアラモード","1","1","10064","1006400","全てのおやつを総べるおやつのなかのおやつなの。"
"デザート","1","1","10064","1006401","食後に食べるの。プリンが最適なの。"
"スイーツ","2","1","10064","1006402","甘い物なの。つまりプリンなの。"
"ミヤコのおやつ","3","1","10064","1006403","全てのプリンはミヤコのものなの。"
"ネックレス","1","1","10065","1006500","首元を彩るアクセサリー。"
"ペンダント","1","1","10065","1006501","首から下げるアクセサリー。"
"アクセサリー","2","1","10065","1006502","装身具。オシャレするならマストアイテム。"
"くびかざり","2","1","10065","1006503","「ネックレス」のまた別の呼び方。"
"いなほ","1","1","10066","1006600","稲の穂。お米がとれる。"
"たんぼ","2","1","10066","1006601","稲作用の耕作地。水を張るなど管理が大変。"
"こめ","2","1","10066","1006602","稲を精製した穀物。ごはん！"
"おこめ","2","1","10066","1006603","「こめ」のまた別の呼び方。"
"むぎ","2","1","10066","1006604","パンのもとになる穀物。"
"しょうゆ","1","1","10067","1006700","豆からつくるトーゴク独自のソース。"
"ソイソース","2","1","10067","1006701","「しょうゆ」の英語読み。お豆のソース。"
"ちょうみりょう","2","1","10067","1006702","味付けに使う。"
"ベルトコンベア","1","1","10068","1006800","流れ作業を行うための機械。"
"こうじょう","2","1","10068","1006801","製品の大量生産を行う施設。"
"ファクトリー","2","1","10068","1006802","「こうじょう」の英語読み。"
"たいやきこうじょう","3","1","10068","1006803","【メルクリウス財団】の威信をかけた一大事業。あの時爆発さえしなければ…"
"シャンデリア","1","1","10069","1006900","きらびやかで豪華な照明器具。"
"あかり","2","1","10069","1006901","暗闇を照らす光。"
"しお","1","1","10070","1007000","しょっぱい。"
"ソルト","2","1","10070","1007001","「しお」の英語読み。"
"ちょうみりょう","2","1","10070","1007002","味付けに使う。"
"うずしお","1","1","10071","1007100","激しく渦を巻く潮の流れ。"
"ぐるぐる","2","1","10071","1007101","目で追うとフラフラしてくる。"
"つりざお","1","1","10072","1007200","魚をとるための道具。うまく扱うにはコツが必要。"
"ロッド","2","1","10072","1007201","「つりざお」の英語読み。"
"ルカのしゅみごと","3","1","10072","1007202","腕前はプロ級らしい。"
"なべ","1","1","10073","1007300","食べ物などを煮るための調理器具。"
"おなべ","1","1","10073","1007301","「なべ」のまた別の呼び方。"
"ずんどう","2","1","10073","1007302","「なべ」の一種。大きい。"
"カレー","2","1","10073","1007303","みんな大好き。においを嗅いだ瞬間にもう食べたくなるスパイスの魔術。"
"シチュー","2","1","10073","1007304","肉や野菜を入れた煮込み料理。これをおかずにご飯が食べられるかで議論が起こる。"
"シーソー","1","1","10074","1007400","両端に乗ってギッタンバッコン。"
"ゆうぐ","2","1","10074","1007401","公園においてある遊び道具。"
"ぎったんばっこん","2","1","10074","1007402","シーソーの音。"
"こうえんあそび","2","1","10074","1007403","公園に集合ね！"
"ふで","1","1","10075","1007500","絵や字を書くどうぐ。"
"しょどう","2","1","10075","1007501","トーゴクの文化デース！"
"もうひつ","2","1","10075","1007502","「ふで」のまた別の呼び方。"
"おしゅうじ","2","1","10075","1007503","習い事の定番。"
"すずり","2","1","10075","1007504","墨をする道具。"
"とーごくぶんか","3","1","10075","1007505","ランドソルから遙か東の方にあるという国の文化。ニンジャ、サムライ、フジヤマ、ゲイシャなどがある。ニノンの憧れ。"
"きんトレ","1","1","10076","1007600","主にパワーをアップさせるためのトレーニング。"
"ダンベル","1","1","10076","1007601","トレーニング器具。"
"マッスル","2","1","10076","1007602","筋肉！"
"ウェイトトレーニング","2","1","10076","1007603","重い物をもちあげるトレーニング。"
"おばけ","1","1","10077","1007700","おばけなの。プリンをよこすの。"
"ゆうれい","1","1","10077","1007701","ゆうれいなの。プリンをよこすの。"
