2ec8f489418fbf4a0d91360ccae806fc51ab149a40e7640cf47332b802f00ca4,60b4b161f382b590e15b7c9f92a4728f4ed20dddcbfbd4664ff4d5b0b5534881,14f410fa4e2c98b6b25d384e6d7fe4bf8d342f3d456b3cc5d78e125b0ef2fe88,687b48287f08434be091716d105c961e82a03814bbd7b80fd7e58f6dabb9e8fb,03b6eb72b2378d8eb135ac01100e105619ec5a5adbb85a413c6e714b799d31d0,faff49b727758d5df1fc1a35993d946e07605045b120abce1b32ada6ee14d81e,f0f2bdad87f9a7f0e58dcba91aa5be86f777505c8bed88b4c30c30c1fa59dc25,5260172e655bb5e25a65125c66b989d2af91354fd510ed19b5efbc9082014c5e,609209ee4b56bf70dfe32effa5f18185ede96a47b7e9a9eec667a555a0660d16,34d8686735aeb435f833ef208363d683016b7f3f380fa721fb061b2b157f1431,c6630ae68ffd0e3f49fbc94e54597e03a700508e8a3182e70e32253d218de97f
"11","106531","0","8","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","0","11","0","0","0","1110004"
"93","3.2","","","","","11","","","","1110005"
"3","106531","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","11","1","","0.2","1110006"
"91","1110004","","","","","11","","","","1110007"
"3","106531","","1","pkb_idle_normal","0.2","11","","","","1110008"
"1","1","64","100","106531","1.65","12","-175","pkb_idle_normal","1","1120001"
"3","106531","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","12","1","","0.2","1120002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_303","","12","","","","1120003"
"11","106531","0","8","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","0","12","0","0.5","0","1120004"
"93","3.2","","","","","12","","","","1120005"
"3","106531","pkb_idle_doya","0","pkb_talk_doya","0.2","12","1","","","1120006"
"91","1120004","","","","","12","","","","1120007"
"3","106531","","1","pkb_idle_normal","0.2","12","","","","1120008"
"1","1","64","100","102311","1.65","13","-175","pkb_idle_normal","1","1130001"
"3","102311","pkb_talk_joy1","0","pkb_talk_fun","0.2","13","1","","0.4","1130002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_401","","13","","","","1130003"
"11","102311","0","8","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","0","13","0","0","0","1130004"
"91","1130004","","","","","13","","","","1130005"
"3","102311","","1","pkb_idle_normal","0.2","13","","","","1130006"
"1","1","64","100","102311","1.65","14","-175","pkb_idle_normal","1","1140001"
"3","102311","","1","pkb_talk_joy1","0.2","14","","","","1140002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_402","","14","","","","1140003"
"11","102311","0","8","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","0","14","0","0","0","1140004"
"93","3","","","","","14","","","","1140005"
"3","102311","pkb_idle_doya","0","pkb_talk_doya","0.2","14","1","","","1140006"
"91","1140004","","","","","14","","","","1140007"
"3","102311","","1","pkb_idle_normal","0.2","14","","","","1140008"
"1","1","64","100","102311","1.65","15","-175","pkb_idle_normal","1","1150001"
"3","102311","","1","pkb_talk_wish","0.2","15","","","","1150002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_403","","15","","","","1150003"
"11","102311","0","8","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","0","15","0","-0.5","0","1150004"
"93","2.4","","","","","15","","","","1150005"
"3","102311","pkb_talk_joy1","0","pkb_talk_fun","0.2","15","1","","0.4","1150006"
"91","1150004","","","","","15","","","","1150007"
"3","102311","","1","pkb_idle_normal","0.2","15","","","","1150008"
"5","1","64","100","1","57","16","-155","pkb_idle_normal_l","1","1160001"
"3","1","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","16","1","","0.2","1160002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_701","","16","","","","1160003"
"11","1","0","8","全国大会を目指して\n今日も練習頑張ろう！","0","16","0","0","0","1160004"
"93","2.6","","","","","16","","","","1160005"
"3","1","pkb_idle_doya_l","0","pkb_talk_doya_l","0.2","16","1","","0.2","1160006"
"91","1160004","","","","","16","","","","1160007"
"3","1","","1","pkb_idle_normal_l","0.2","16","","","","1160008"
"5","1","64","100","1","57","17","-155","pkb_idle_normal_l","1","1170001"
"3","1","pkb_idle_guts_l","0","pkb_talk_guts_l","0.2","17","1","","","1170002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_702","","17","","","","1170003"
"11","1","0","8","夢を叶えるために\n全力で練習に\n取り組もう！","0","17","0","0","0","1170004"
"91","0","","","","","17","","","","1170005"
"3","1","","1","pkb_idle_normal_l","0.2","17","","","","1170006"
"5","1","64","100","1","57","18","-155","pkb_idle_normal_l","1","1180001"
"3","1","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","18","1","","0.2","1180002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_703","","18","","","","1180003"
"11","1","0","8","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","0","18","0","0","0","1180004"
"93","2.9","","","","","18","","","","1180005"
"3","1","pkb_idle_guts_l","0","pkb_talk_guts_l","0.2","18","1","","","1180006"
"91","1180004","","","","","18","","","","1180007"
"3","1","","1","pkb_idle_normal_l","0.2","18","","","","1180008"
"5","2","64","100","2","57","19","-155","pkb_idle_normal_l","1","1190001"
"3","2","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","19","1","","0.2","1190002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_801","","19","","","","1190003"
"11","2","0","8","上達してるってとこ\n見せてやる\nオレだって選手なんだ","0","19","0","0","0","1190004"
"93","3.8","","","","","19","","","","1190005"
"3","2","pkb_idle_guts_l","0","pkb_talk_guts_l","0.2","19","1","","","1190006"
"91","1190004","","","","","19","","","","1190007"
"3","2","","1","pkb_idle_normal_l","0.2","19","","","","1190008"
"5","2","64","100","2","57","20","-155","pkb_idle_normal_l","1","1200001"
"3","2","pkb_idle_guts_l","0","pkb_talk_guts_l","0.2","20","1","","","1200002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_802","","20","","","","1200003"
"11","2","0","8","今日もかっとばす\n遠慮せず全力で\nかかってこい","0","20","0","0","0","1200004"
"93","3.2","","","","","20","","","","1200005"
"3","2","pkb_idle_doya_l","0","pkb_talk_doya_l","0.2","20","1","","","1200006"
"91","1200004","","","","","20","","","","1200007"
"3","2","","1","pkb_idle_normal_l","0.2","20","","","","1200008"
"5","2","64","100","2","57","21","-155","pkb_idle_normal_l","1","1210001"
"3","2","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","21","1","","0.2","1210002"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_803","","21","","","","1210003"
"11","2","0","8","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","0","21","0","0","0","1210004"
"91","0","","","","","21","","","","1210005"
"3","2","","1","pkb_idle_normal_l","0.2","21","","","","1210006"
"1","1","-20","100","113511","1.6","22","-150","pkb_idle_normal","0","1220001"
"1","1","170","100","113411","1.6","22","-150","pkb_idle_normal","1","1220002"
"3","113511","","1","pkb_talk_joy1","0.2","22","","","","1220003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_1_101","","22","","","","1220004"
"11","113511","0","6","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","0","22","0","-0.5","0","1220005"
"91","0","","","","","22","","","","1220006"
"3","113511","","1","pkb_idle_normal","0.2","22","","","","1220007"
"3","113411","","1","pkb_talk_joy1","0.2","22","","","","1220008"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_1_202","","22","","","","1220009"
"11","113411","0","6","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","0","22","0","-0.5","0","1220010"
"93","4","","","","","22","","","","1220011"
"3","113411","pkb_idle_normal","0","pkb_talk_handsup","0.2","22","1","","0","1220012"
"91","1220010","","","","","22","","","","1220013"
"3","113411","","1","pkb_idle_normal","0.2","22","","","","1220014"
"1","1","170","100","113411","1.6","23","-150","pkb_idle_normal","1","1230001"
"1","1","-20","100","113511","1.6","23","-150","pkb_idle_normal","0","1230002"
"3","113411","","1","pkb_talk_normal","0.2","23","","","","1230003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_2_201","","23","","","","1230004"
"11","113411","0","8","ミサト先生も一緒に\n応援しようよ！","0","23","0","-1.5","0","1230005"
"91","0","","","","","23","","","","1230006"
"3","113411","","1","pkb_idle_normal","0.2","23","","","","1230007"
"3","113511","","1","pkb_talk_normal","0.2","23","","","","1230008"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_2_102","","23","","","","1230009"
"11","113511","0","5","あらあら\n楽しそうね～♪\nフレーフレー！","0","23","0","3","0","1230010"
"93","4","","","","","23","","","","1230011"
"3","113511","pkb_talk_fun","0","pkb_talk_fun","0.2","23","0","","0.2","1230012"
"93","2.7","","","","","23","","","","1230013"
"3","113511","pkb_talk_joy1","0","pkb_idle_normal","0.2","23","1","","0.2","1230014"
"91","1230010","","","","","23","","","","1230015"
"3","113511","","1","pkb_idle_normal","0.2","23","","","","1230016"
"1","1","170","100","113511","1.6","24","-150","pkb_idle_normal","1","1240001"
"5","3","-20","100","3","55","24","-130","pkb_idle_normal","0","1240002"
"3","113511","","1","pkb_talk_joy3","0.2","24","","","","1240003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_3_101","","24","","","","1240004"
"11","113511","0","6","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","0","24","0","-1","0","1240005"
"93","4","","","","","24","","","","1240006"
"3","113511","","1","pkb_talk_wish","0.2","24","","","","1240007"
"91","1240005","","","","","24","","","","1240008"
"3","113511","","1","pkb_idle_normal","0.2","24","","","","1240009"
"3","3","","1","pkb_talk_normal","0.2","24","","","","1240010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_3_602","","24","","","","1240011"
"11","3","0","6","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","0","24","0","-1","0","1240012"
"93","2","","","","","24","","","","1240013"
"3","3","pkb_idle_doya","0","pkb_talk_doya","0.2","24","1","","","1240014"
"91","1240012","","","","","24","","","","1240015"
"3","3","","1","pkb_idle_normal","0.2","24","","","","1240016"
"5","3","-20","100","3","55","25","-130","pkb_idle_normal","0","1250001"
"1","1","170","100","113511","1.6","25","-150","pkb_idle_normal","1","1250002"
"3","3","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","25","1","","0.2","1250003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_4_601","","25","","","","1250004"
"11","3","0","8","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","0","25","0","-0.5","0","1250005"
"93","3","","","","","25","","","","1250006"
"3","3","pkb_idle_guts","0","pkb_talk_guts","0.2","25","1","","","1250007"
"91","1250005","","","","","25","","","","1250008"
"3","3","","1","pkb_idle_normal","0.2","25","","","","1250009"
"3","113511","","1","pkb_talk_wish","0.2","25","","","","1250010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_4_102","","25","","","","1250011"
"11","113511","0","6","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","0","25","0","1","0","1250012"
"93","5.6","","","","","25","","","","1250013"
"3","113511","pkb_idle_normal","0","pkb_talk_handsup","0.2","25","1","","0.2","1250014"
"91","0","","","","","25","","","","1250015"
"3","113511","","1","pkb_idle_normal","0.2","25","","","","1250016"
"1","1","170","100","113511","1.6","26","-150","pkb_idle_normal","1","1260001"
"5","1","-20","100","1","55","26","-130","pkb_idle_normal","0","1260002"
"3","113511","","1","pkb_talk_joy3","0.2","26","","","","1260003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_5_101","","26","","","","1260004"
"11","113511","0","6","ふふ、先生も\n練習のお手伝いを\nしますからね～","0","26","0","0","0","1260005"
"91","0","","","","","26","","","","1260006"
"3","113511","","1","pkb_idle_normal","0.2","26","","","","1260007"
"3","1","pkb_idle_guts","0","pkb_talk_guts","0.2","26","1","","0.2","1260008"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_5_702","","26","","","","1260009"
"11","1","0","8","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","0","26","0","-1","0","1260010"
"91","0","","","","","26","","","","1260011"
"3","1","","1","pkb_idle_normal","0.2","26","","","","1260012"
"5","1","-20","100","1","55","27","-130","pkb_idle_normal","0","1270001"
"1","1","170","100","113511","1.6","27","-150","pkb_idle_normal","1","1270002"
"3","1","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","27","1","","0.2","1270003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_6_701","","27","","","","1270004"
"11","1","0","8","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","0","27","0","-0.5","0","1270005"
"93","2.6","","","","","27","","","","1270006"
"3","1","pkb_idle_guts","0","pkb_talk_guts","0.2","27","1","","0.2","1270007"
"91","1270005","","","","","27","","","","1270008"
"3","1","","1","pkb_idle_normal","0.2","27","","","","1270009"
"3","113511","","1","pkb_talk_joy3","0.2","27","","","","1270010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_6_102","","27","","","","1270011"
"11","113511","0","6","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","0","27","0","0.5","0","1270012"
"93","4","","","","","27","","","","1270013"
"3","113511","","1","pkb_talk_wish","0.2","27","","","","1270014"
"91","1270012","","","","","27","","","","1270015"
"3","113511","","1","pkb_idle_normal","0.2","27","","","","1270016"
"1","1","170","100","113411","1.6","28","-150","pkb_idle_normal","1","1280001"
"5","3","-20","100","3","55","28","-130","pkb_idle_normal","0","1280002"
"3","113411","pkb_talk_joy1","0","pkb_talk_yell","0.2","28","1","","0.2","1280003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_7_201","","28","","","","1280004"
"11","113411","0","8","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","0","28","0","-0.5","0","1280005"
"93","4.6","","","","","28","","","","1280006"
"3","113411","pkb_idle_normal","0","pkb_talk_fun","0.2","28","1","","0.2","1280007"
"91","1280005","","","","","28","","","","1280008"
"3","113411","","1","pkb_idle_normal","0.2","28","","","","1280009"
"3","3","pkb_idle_guts","0","pkb_talk_guts","0.2","28","1","","","1280010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_7_602","","28","","","","1280011"
"11","3","0","8","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","0","28","0","0","0","1280012"
"93","5","","","","","28","","","","1280013"
"3","3","pkb_idle_normal","0","pkb_talk_handsup","0.2","28","1","","","1280014"
"91","1280012","","","","","28","","","","1280015"
"3","3","","1","pkb_idle_normal","0.2","28","","","","1280016"
"5","3","-20","100","3","55","29","-130","pkb_idle_normal","0","1290001"
"1","1","170","100","113411","1.6","29","-150","pkb_idle_normal","1","1290002"
"3","3","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","29","1","","0.2","1290003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_8_601","","29","","","","1290004"
"11","3","0","8","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","0","29","0","-1","0","1290005"
"93","2.8","","","","","29","","","","1290006"
"3","3","pkb_idle_guts","0","pkb_talk_guts","0.2","29","1","","","1290007"
"91","1290005","","","","","29","","","","1290008"
"3","3","","1","pkb_idle_normal","0.2","29","","","","1290009"
"3","113411","","1","pkb_talk_joy1","0.2","29","","","","1290010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_8_202","","29","","","","1290011"
"11","113411","0","8","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","0","29","0","-0.5","0","1290012"
"93","2.2","","","","","29","","","","1290013"
"3","113411","pkb_smile","0","pkb_talk_fun","0.2","29","0","","0.4","1290014"
"93","2.2","","","","","29","","","","1290015"
"3","113411","","1","pkb_idle_normal","0.2","29","","","","1290016"
"91","1290012","","","","","29","","","","1290017"
"3","113411","","1","pkb_idle_normal","0.2","29","","","","1290018"
"1","1","170","100","113411","1.6","30","-150","pkb_idle_normal","1","1300001"
"5","1","-20","100","1","55","30","-130","pkb_idle_normal","0","1300002"
"3","113411","","1","pkb_talk_joy1","0.2","30","","","","1300003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_9_201","","30","","","","1300004"
"11","113411","0","8","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","0","30","0","1","0","1300005"
"93","5","","","","","30","","","","1300006"
"3","113411","pkb_idle_normal","0","pkb_talk_handsup","0.2","30","1","","","1300007"
"91","1300005","","","","","30","","","","1300008"
"3","113411","","1","pkb_idle_normal","0.2","30","","","","1300009"
"3","1","","1","pkb_talk_normal","0.2","30","","","","1300010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_9_702","","30","","","","1300011"
"11","1","0","8","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","0","30","0","-1","0","1300012"
"93","3.3","","","","","30","","","","1300013"
"3","1","pkb_idle_guts","0","pkb_talk_guts","0.2","30","1","","","1300014"
"91","1300012","","","","","30","","","","1300015"
"3","1","","1","pkb_idle_normal","0.2","30","","","","1300016"
"5","1","-20","100","1","55","31","-130","pkb_idle_normal","0","1310001"
"1","1","170","100","113411","1.6","31","-150","pkb_idle_normal","1","1310002"
"3","1","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","31","1","","0.2","1310003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_10_701","","31","","","","1310004"
"11","1","0","8","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","0","31","0","-1.5","0","1310005"
"93","3.6","","","","","31","","","","1310006"
"3","1","pkb_idle_doya","0","pkb_talk_doya","0.2","31","1","","","1310007"
"91","1310005","","","","","31","","","","1310008"
"3","1","","1","pkb_idle_normal","0.2","31","","","","1310009"
"3","113411","","1","pkb_talk_joy1","0.2","31","","","","1310010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_10_202","","31","","","","1310011"
"11","113411","0","8","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","0","31","0","-0.5","0","1310012"
"93","3.6","","","","","31","","","","1310013"
"3","113411","pkb_talk_fun","0","pkb_talk_fun","0.2","31","0","","","1310014"
"93","3","","","","","31","","","","1310015"
"3","113411","","1","pkb_idle_normal","0.2","31","","","","1310016"
"91","1310012","","","","","31","","","","1310017"
"5","2","-20","100","2","55","32","-130","pkb_idle_normal","0","1320001"
"1","1","170","100","113411","1.6","32","-150","pkb_idle_normal","1","1320002"
"3","2","pkb_idle_guts","0","pkb_talk_guts","0.2","32","1","","","1320003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_11_801","","32","","","","1320004"
"11","2","0","8","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","0","32","0","0","0","1320005"
"93","5","","","","","32","","","","1320006"
"3","2","pkb_idle_doya","0","pkb_talk_doya","0.2","32","1","","","1320007"
"91","1320005","","","","","32","","","","1320008"
"3","2","","1","pkb_idle_normal","0.2","32","","","","1320009"
"3","113411","","1","pkb_talk_joy2","0.2","32","","","","1320010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_11_202","","32","","","","1320011"
"11","113411","0","8","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","0","32","0","0","0","1320012"
"93","4.6","","","","","32","","","","1320013"
"3","113411","pkb_idle_normal","0","pkb_hatsune_kiran","0.2","32","1","","0.2","1320014"
"91","1320012","","","","","32","","","","1320015"
"3","113411","","1","pkb_idle_normal","0.2","32","","","","1320016"
"1","1","170","100","102311","1.6","33","-150","pkb_idle_normal","1","1330001"
"5","2","-20","100","2","55","33","-130","pkb_idle_normal","0","1330002"
"3","102311","","1","pkb_talk_normal","0.2","33","","","","1330003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_12_401","","33","","","","1330004"
"11","102311","0","8","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","0","33","0","-0.5","0","1330005"
"93","1.6","","","","","33","","","","1330006"
"3","102311","pkb_talk_joy1","0","pkb_talk_yell","0.2","33","1","","0.2","1330007"
"91","1330005","","","","","33","","","","1330008"
"3","102311","","1","pkb_idle_normal","0.2","33","","","","1330009"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_12_802","","33","","","","1330010"
"11","2","0","8","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","0","33","0","0","0","1330011"
"93","0.5","","","","","33","","","","1330012"
