f4778d672af375b01c492eedc4bcb93bae0ea2645bc8318113cf6b2c879c3b2f,35131e55d0d70da4f403a87db5cfcb27bfecd44df1c9ad67146a24b5cb101644,a1de9df93f93e5b9c466b5d48e6e6b2135f388c2b62d417f65a9a0d7beeada4f,74c30114cc38a3ea440b09eff5c7177b1150856ce5e5ce6549ced9867029878c,d5291af6876de614e0637c302900d19eac921ab543470d30eedd5be7c5b98222,afced2632158c2fcbedc1c2d5497a9198da04f4c77f4d7e4390b1b6bbc25f07c,338a2250c6eaaa56f5f0217df8a6d14be32664b9cc4b674385b238eb71fbeb0b,679c061f94092d680aab3f13bd833ad2fe0ced6bba603c77470e3a0d9d9e1ed5,ed4a45ab3d205006a6300eb9e57ecb9c23d364841ac57e72f4223f5bd81e2d7c,0781bbbec11790d40e0146732ec34223f0d9d80fa05d50863bdcb6733510ed04,42228f0ca1417b8f2c7650ae0bc6bdb1da6fdd504feea832501f06dc164a122d
"112014","0","0.5","118511","11","112","0","1","1","今日はみなさんにお願いしたい\n重要な依頼があるんです。","10"
"112015","","","112014","91","112","","","","",""
"112016","","","118511","3","112","0.2","","","wac_215_karin_idle_normal","1"
"112017","0","","106011","3","112","0.2","1","wac_215_talk_arm_crossed_loop","wac_215_talk_arm_crossed","0"
"112018","","","vo_wac_220215","21","112","","","0","vo_wac_220215_003","0"
"112019","0","0.5","106011","11","112","0","1","1","重要な依頼？\nまた面倒くさいこと押し付けようと\nしてんじゃないでしょうね……","10"
"112020","","","112019","91","112","","","","",""
"112021","","","106011","3","112","0.2","","","wac_215_idle_arm_crossed","1"
"112022","","","118511","3","112","0.2","","","wac_215_karin_talk_normal","1"
"112023","","","vo_wac_220215","21","112","","","0","vo_wac_220215_004","0"
"112024","0","0.5","118511","11","112","0","1","1","実はこのたび景観向上事業として\nランドソルを囲む壁に\n絵を描いて、街を華やかにするという\n計画を進めることになりまして。","10"
"112025","","","112024","91","112","","","","",""
"112026","","","118511","3","112","0.2","","","wac_215_karin_idle_normal","1"
"112027","0.2","","106431","3","112","0.2","1","wac_215_talk_normal","wac_215_shefy_humu","0"
"112028","","","vo_wac_220215","21","112","","","0","vo_wac_220215_005","0"
"112029","0","0.5","106431","11","112","0","1","1","ランドソルを囲む壁に絵を？\nふぅん、楽しそうね。\nここに描けばいいのかしら？","10"
"112030","","","112029","91","112","","","","",""
"112031","","","106431","3","112","0.2","","","wac_215_idle_normal2_joy","1"
"112032","","","118511","3","112","0.2","","","wac_215_karin_talk_normal","1"
"112033","","","vo_wac_220215","21","112","","","0","vo_wac_220215_006","0"
"112034","0","0.5","118511","11","112","0","1","1","はい。ここから始めて、\nランドソルの壁をぐるっと一周\n絵でいっぱいにしたいんです。","10"
"112035","","","112034","91","112","","","","",""
"112036","","","118511","3","112","0.2","","","wac_215_karin_idle_normal","1"
"112037","","","106431","3","112","0.2","","","wac_215_talk_sad","1"
"112038","","","vo_wac_220215","21","112","","","0","vo_wac_220215_007","0"
"112039","0","0.5","106431","11","112","0","1","1","え？　ランドソルの壁を……\nぐるっと一周？","10"
"112040","","","112039","91","112","","","","",""
"112041","","","106431","3","112","0.2","","","wac_215_idle_sad","1"
"112042","","","118511","3","112","0.2","","","wac_215_karin_talk_wish","1"
"112043","","","vo_wac_220215","21","112","","","0","vo_wac_220215_008","0"
"112044","0","0.5","118511","11","112","0","1","1","はい♪　ランドソル中を\n素敵な絵で飾ることができたら\nとっても魅力的な街になると\n思いませんか？","10"
"112045","","","112044","91","112","","","","",""
"112046","","","118511","3","112","0.2","","","wac_215_karin_idle_normal","1"
"112047","","","105911","3","112","0.2","","","wac_215_coccoro_talk_wish","1"
"112048","","","vo_wac_220215","21","112","","","0","vo_wac_220215_009","0"
"112049","0","0.5","105911","11","112","0","1","1","それは……壮大な計画でございますね。\nカリンさま。","10"
"112050","","","112049","91","112","","","","",""
"112051","","","105911","3","112","0.2","","","wac_215_coccoro_idle_wish","1"
"112052","0","","105811","3","112","0.2","1","wac_215_peko_talk_guts2_loop","wac_215_peko_talk_guts2","0"
"112053","","","vo_wac_220215","21","112","","","0","vo_wac_220215_010","0"
"112054","0","0.5","105811","11","112","0","1","1","わくわくします！　やばいですね☆\nじゃあ、王宮勤めの画家の人に\n絵の描き方を教えてもらいましょう♪","10"
"112055","","","112054","91","112","","","","",""
"112056","","","105811","3","112","0.2","","","wac_215_peko_idle_guts2","1"
"112057","","","105811","4","112","","","","0",""
"112058","","","105911","4","112","","","","0",""
"112059","","","105811","3","112","0.2","","","wac_215_idle_joy1","1"
"112060","","","105911","3","112","0.2","","","wac_215_idle_normal","1"
"112061","","","106431","3","112","0.2","","","wac_215_idle_surprise1","1"
"112062","0.2","","106011","3","112","0.2","1","wac_215_talk_anger2","wac_215_kyaru_anger","1"
"112063","","","vo_wac_220215","21","112","","","0","vo_wac_220215_011","0"
"112064","0","0.5","106011","11","112","0","1","1","待って待って待って！！\n待ちなさいってば！？\nあんたたち、ランドソルの壁一周って\nどんだけの長さがあると思ってんのよ！","10"
"112065","","","112064","91","112","","","","",""
"112066","","","106011","3","112","0.2","","","wac_215_idle_anger2","1"
"112067","","","106011","3","112","0.2","","","wac_215_talk_sad","1"
"112068","","","vo_wac_220215","21","112","","","0","vo_wac_220215_012","0"
"112069","0","0.5","106011","11","112","0","1","1","普通に歩くだけでもうんざりする\nくらいの距離なのよ？\nあたしたちだけじゃいくらなんでも……","10"
"112070","","","112069","91","112","","","","",""
"112071","","","106011","3","112","0.2","","","wac_215_idle_sad","1"
"112072","","","105911","3","112","0.2","","","wac_215_coccoro_talk_wish2","1"
"112073","","","vo_wac_220215","21","112","","","0","vo_wac_220215_013","0"
"112074","0","0.5","105911","11","112","0","1","1","キャルさま、では、他のギルドにも\nご協力いただくのはどうでしょう。\nみなさまと力を合わせれば……","10"
"112075","","","112074","91","112","","","","",""
"112076","","","105911","3","112","0.2","","","wac_215_coccoro_idle_wish2","1"
"112077","0","","106011","3","112","0.2","1","wac_215_kyaru_talk_doya_loop","wac_215_kyaru_talk_doya","0"
"112078","","","vo_wac_220215","21","112","","","0","vo_wac_220215_014","0"
"112079","0","0.5","106011","11","112","0","1","1","超やる気じゃないのコロ助……\nああもう、仕方ないわね。\nカリン、あんたそういうの得意でしょ？\nコールオブなんとかっていうやつ。","10"
"112080","","","112079","91","112","","","","",""
"112081","","","106011","3","112","0.2","","","wac_215_idle_arm_crossed","1"
"112082","","","105811","4","112","","","","1",""
"112083","","","105911","4","112","","","","1",""
"112084","","","105911","3","112","0.2","","","wac_215_idle_normal_joy","1"
"112085","","","106431","3","112","0.2","","","wac_215_idle_normal2_joy","1"
"112086","","","118511","3","112","0.2","","","wac_215_karin_talk_wish","1"
"112087","","","vo_wac_220215","21","112","","","0","vo_wac_220215_015","0"
"112088","0","0.5","118511","11","112","0","1","1","分かりました、\n各ギルドへの依頼書をまとめますね。\nコールオブギルド……！","10"
"112089","","","112088","91","112","","","","",""
"112090","","","118511","3","112","0.2","","","wac_215_karin_idle_normal","1"
"112091","","","118511","3","112","0.2","","","wac_215_karin_talk_normal","1"
"112092","","","vo_wac_220215","21","112","","","0","vo_wac_220215_016","0"
"112093","0","0.5","118511","11","112","0","1","1","では、みなさんが描かれている間に\n他のギルドへ声を掛けていきますね。\n壁を素敵な絵でいっぱいにして\nランドソルのシンボルを作りましょう！","10"
"112094","","","112093","91","112","","","","",""
"112095","","","118511","3","112","0.2","","","wac_215_karin_idle_normal","1"
"112096","0.2","","105811","3","112","0.2","1","wac_215_peko_talk_wish_loop","wac_215_peko_talk_wish","0"
"112097","","","vo_wac_220215","21","112","","","0","vo_wac_220215_017","0"
"112098","0","0.5","105811","11","112","0","1","1","わかりました！\nそれじゃあわたしは、魔物料理の絵を――","10"
"112099","","","112098","91","112","","","","",""
"112100","","","105811","3","112","0.2","","","wac_215_peko_idle_wish","1"
"112101","0.2","","106011","3","112","0.2","1","wac_215_talk_arm_crossed_loop","wac_215_kyaru_talk_anger","0"
"112102","","","vo_wac_220215","21","112","","","0","vo_wac_220215_018","0"
"112103","0","0.5","106011","11","112","0","1","1","気持ち悪そうなもの描こうとすんな！\nま、計画自体はいいんじゃない？\n楽しそうだし……それじゃ、\nいっちょやってやろうじゃないの！","10"
"112104","","","112103","91","112","","","","",""
"112105","","","106011","3","112","0.2","","","wac_215_idle_arm_crossed","1"
"112106","0","","105811","3","112","0.2","1","wac_215_cmn_eieio_loop","wac_215_cmn_eieio","0"
"112107","0","","106431","3","112","0.2","1","wac_215_cmn_eieio_loop","wac_215_cmn_eieio","0"
"112108","","","0.1","93","112","","","","",""
"112109","0","","105911","3","112","0.2","1","wac_215_cmn_eieio_loop","wac_215_cmn_eieio","0"
"112110","0.2","","106011","3","112","0.2","1","wac_215_cmn_eieio_loop","wac_215_cmn_eieio","0"
"112111","","","0.9","93","112","","","","",""
"112112","0.2","","118511","3","112","0.2","1","wac_215_karin_idle_normal","wac_215_handclap","0"
"112113","","","2","93","112","","","","0",""
"112114","","","0","91","112","","","","",""
"113001","","","118511","3","113","0.2","","","wac_215_karin_idle_normal","1"
"113002","","","105811","3","113","0.2","","","wac_215_idle_joy1","1"
"113003","","","0.1","93","113","","","","",""
"113004","","","105911","3","113","0.2","","","wac_215_coccoro_idle_wish","1"
"113005","","","106011","3","113","0.2","","","wac_215_idle_arm_crossed","1"
"113006","","","0.1","93","113","","","","",""
"113007","","","106431","3","113","0.2","","","wac_215_idle_normal2_joy","1"
"113008","","","0","91","113","","","","",""
"211001","0","wac_default_11","1","1","211","2","-212.75","-108","105811","202"
"211002","0","wac_default_11","1","5","211","2","-212.75","-108","111","201"
"211003","","","1","31","211","1","1","0","1","0"
"211004","","","2","31","211","0","1","0","2","0"
"211005","","","11","31","211","0","1","0","11","0"
"211006","","","105811","3","211","0.2","0","","wac_paint_11","0"
"211007","","","111","3","211","0.2","0","","wac_paint_11","0"
"211008","","","0.3","93","211","","","","0",""
"211009","","wac_default_11","11","32","211","","","","1",""
"211010","","","se_10035700","23","211","","","","se_10035700_roller","0"
"211011","","","1","131","211","","","","",""
"212001","","","105811","3","212","0.2","1","wac_talk_kyapi_loop","wac_talk_kyapi_in","0"
"212002","","","111","3","212","0.2","","","wac_no_items","1"
"212003","","","105811","2","212","","","0","200","-340"
"212004","","","111","2","212","","","0","200","-340"
"212005","","","1","32","212","","","","0",""
"212006","","","2","32","212","","","","1",""
"212007","","","11","32","212","","","","0",""
"212008","","","vo_wac_220216","21","212","","","0","vo_wac_220216_000","0"
"212009","0","0.5","105811","11","212","0","1","1","えっへへ～♪　お絵かきお絵かき～！\nこんな大きな絵を描くのなんて\n生まれて初めてかもしれません！","10"
"212010","","","0","91","212","","","","",""
"212011","","","vo_wac_220216","21","212","","","0","vo_wac_220216_001","0"
"212012","0","0.5","105811","11","212","0","1","1","みんなで食卓を囲むのは\nもちろん幸せですけど\nみんなで一つのものを作るって……\nやばいですね☆","10"
"212013","","","0","91","212","","","","",""
"212014","","","0","22","212","","","","0",""
"213001","","","105811","3","213","0.2","","","wac_idle_kyapi","1"
"213002","","","111","3","213","0.2","","","wac_no_items","1"
"213003","","","105811","2","213","","","0","200","-340"
"213004","","","111","2","213","","","0","200","-340"
"213005","","","1","32","213","","","","0",""
"213006","","","2","32","213","","","","1",""
"213007","","","11","32","213","","","","0",""
"213008","","","0","91","213","","","","",""
"311001","0","wac_default_01","1","1","311","2","-212.75","-108","105911","202"
"311002","0","wac_default_03","1","5","311","2","-212.75","-108","111","201"
"311003","","","1","31","311","1","1","0","1","0"
"311004","","","2","31","311","0","1","0","2","0"
"311005","","","11","31","311","0","1","0","11","0"
"311006","","","105911","3","311","0.2","","","wac_paint_01","0"
"311007","","","111","3","311","0.2","","","wac_paint_03","0"
"311008","","wac_default_11","11","32","311","","","","1",""
"311009","","","se_10035700","23","311","","","","se_10035700_brush","0"
"311010","","","1","131","311","","","","",""
"312001","","","105911","3","312","0.2","1","wac_talk_wish_loop","wac_talk_wish_in","0"
"312002","","","111","3","312","0.2","","","wac_no_items","1"
"312003","","","105911","2","312","","","0","200","-340"
"312004","","","111","2","312","","","0","200","-340"
"312005","","","1","32","312","","","","0",""
"312006","","","2","32","312","","","","1",""
"312007","","","11","32","312","","","","0",""
"312008","","","vo_wac_220217","21","312","","","0","vo_wac_220217_000","0"
"312009","0","0.5","105911","11","312","0","1","1","ふぅ……\nお世話するのは得意なつもりですが\n絵心にはあまり自信がありません。\nしかし――","10"
"312010","","","0","91","312","","","","",""
"312011","","","vo_wac_220217","21","312","","","0","vo_wac_220217_001","0"
"312012","0","0.5","105911","11","312","0","1","1","いつかこのランドソルの壁に\n凛々しい主さまのお姿を描きたい……\nわたくし、頑張ります。\n見ていてくださいまし、主さま……♪","10"
"312013","","","0","91","312","","","","",""
"312014","","","0","22","312","","","","0",""
"313001","","","105911","3","313","0.2","","","wac_idle_wish","1"
"313002","","","111","3","313","0.2","","","wac_no_items","1"
"313003","","","105911","2","313","","","0","200","-340"
"313004","","","111","2","313","","","0","200","-340"
"313005","","","1","32","313","","","","0",""
"313006","","","2","32","313","","","","1",""
"313007","","","11","32","313","","","","0",""
"313008","","","0","91","313","","","","",""
"411001","0","wac_default_01","1","1","411","2","-212.75","-108","106011","202"
"411002","0","wac_default_02","1","5","411","2","-212.75","-108","111","201"
"411003","","","1","31","411","1","1","0","1","0"
"411004","","","2","31","411","0","1","0","2","0"
"411005","","","11","31","411","0","1","0","11","0"
"411006","","","106011","3","411","0.2","","","wac_paint_01","0"
"411007","","","111","3","411","0.2","","","wac_paint_02","0"
"411008","","wac_default_11","11","32","411","","","","1",""
"411009","","","se_10035700","23","411","0.2","0","","se_10035700_brush","0"
"411010","","","1","131","411","","","","",""
"412001","","","106011","3","412","0.2","1","wac_talk_doya_loop","wac_talk_doya_in","0"
"412002","","","111","3","412","0.2","","","wac_no_items","1"
"412003","","","106011","2","412","","","0","200","-340"
"412004","","","111","2","412","","","0","200","-340"
"412005","","","1","32","412","","","","0",""
"412006","","","2","32","412","","","","1",""
"412007","","","11","32","412","","","","0",""
"412008","","","vo_wac_220218","21","412","","","0","vo_wac_220218_000","0"
"412009","0","0.5","106011","11","412","0","1","1","ふんふんふーん♪\nよし、いい感じね！\n今日の分、出来上がり！","10"
"412010","","","0","91","412","","","","",""
"412011","","","vo_wac_220218","21","412","","","0","vo_wac_220218_001","0"
"412012","0","0.5","106011","11","412","0","1","1","なんか楽しくなってきちゃったわね。\n……あたしってばもしかして\n絵の才能あるんじゃないかしら♪\nよーし、ばんばんいくわよ！","10"
"412013","","","0","91","412","","","","",""
"412014","","","0","22","412","","","","0",""
"413001","","","106011","3","413","0.2","","","wac_idle_doya","1"
"413002","","","111","3","413","0.2","","","wac_no_items","1"
"413003","","","106011","2","413","","","0","200","-340"
"413004","","","111","2","413","","","0","200","-340"
"413005","","","1","32","413","","","","0",""
"413006","","","2","32","413","","","","1",""
"413007","","","11","32","413","","","","0",""
"413008","","","0","91","413","","","","",""
"511001","0","wac_default_11","1","1","511","2","-212.75","-108","106431","202"
"511002","0","wac_default_12","1","5","511","2","-212.75","-108","111","201"
"511003","","","1","31","511","1","1","0","1","0"
"511004","","","2","31","511","0","1","0","2","0"
"511005","","","11","31","511","0","1","0","11","0"
"511006","","","106431","3","511","0.2","","","wac_paint_11","0"
"511007","","","111","3","511","0.2","","","wac_paint_12","0"
"511008","","","0.3","93","511","","","","0",""
"511009","","wac_default_11","11","32","511","","","","1",""
"511010","","","se_10035700","23","511","0.2","0","","se_10035700_roller","0"
"511011","","","1","131","511","","","","",""
"512001","","","106431","3","512","0.2","1","wac_talk_smile_loop","wac_talk_smile_in","0"
"512002","","","111","3","512","0.2","","","wac_no_items","1"
"512003","","","106431","2","512","","","0","200","-340"
"512004","","","111","2","512","","","0","200","-340"
"512005","","","1","32","512","","","","0",""
"512006","","","2","32","512","","","","1",""
"512007","","","11","32","512","","","","0",""
"512008","","","vo_wac_220219","21","512","","","0","vo_wac_220219_000","0"
"512009","0","0.5","106431","11","512","0","1","1","絵の勉強なんて\nしたことなかったけど……\nめいっぱい手を動かして絵を描くのって\n新鮮で面白いわね。","10"
"512010","","","0","91","512","","","","",""
"512011","","","vo_wac_220219","21","512","","","0","vo_wac_220219_001","0"
"512012","0","0.5","106431","11","512","0","1","1","私たちの描いた絵が\nランドソルの風景の一部になるなんて\nなんだか夢みたいだわ……！","10"
"512013","","","0","91","512","","","","",""
"512014","","","0","22","512","","","","0",""
"513001","","","106431","3","513","0.2","","","wac_idle_smile","1"
"513002","","","111","3","513","0.2","","","wac_no_items","1"
"513003","","","106431","2","513","","","0","200","-340"
"513004","","","111","2","513","","","0","200","-340"
"513005","","","1","32","513","","","","0",""
"513006","","","2","32","513","","","","1",""
"513007","","","11","32","513","","","","0",""
"513008","","","0","91","513","","","","",""
"611001","0","wac_default_01","1","1","611","2","-212.75","-108","104411","202"
"611002","0","wac_default_01","1","5","611","2","-212.75","-108","111","201"
"611003","","","1","31","611","1","1","0","1","0"
"611004","","","2","31","611","0","1","0","2","0"
"611005","","","11","31","611","0","1","0","11","0"
"611006","","","104411","3","611","0.2","","","wac_paint_01","0"
"611007","","","111","3","611","0.2","","","wac_paint_01","0"
"611008","","wac_default_11","11","32","611","","","","1",""
"611009","","","se_10035700","23","611","0.2","0","","se_10035700_brush","0"
"611010","","","1","131","611","","","","",""
"612001","","","104411","3","612","0.2","1","wac_talk_doya_loop","wac_talk_doya_in","0"
"612002","","","111","3","612","0.2","","","wac_no_items","1"
"612003","","","104411","2","612","","","0","200","-340"
"612004","","","111","2","612","","","0","200","-340"
"612005","","","1","32","612","","","","0",""
"612006","","","2","32","612","","","","1",""
"612007","","","11","32","612","","","","0",""
"612008","","","vo_wac_220220","21","612","","","0","vo_wac_220220_000","0"
"612009","0","0.5","104411","11","612","0","1","1","ランドソルにわらわの威光を\n余すことなく描く……\nなかなか粋なことではないか！","10"
"612010","","","0","91","612","","","","",""
"612011","","","vo_wac_220220","21","612","","","0","vo_wac_220220_001","0"
"612012","0","0.5","104411","11","612","0","1","1","ふむ。それにしてもさすがわらわ。\n他の追随を許さぬすばらしい筆さばき。\nこれで世界征服も目前じゃ！\nフッ……フハハハハ、ハーハっハっハ！","10"
"612013","","","0","91","612","","","","",""
"612014","","","0","22","612","","","","0",""
"613001","","","104411","3","613","0.2","","","wac_idle_doya","1"
"613002","","","111","3","613","0.2","","","wac_no_items","1"
"613003","","","104411","2","613","","","0","200","-340"
"613004","","","111","2","613","","","0","200","-340"
"613005","","","1","32","613","","","","0",""
"613006","","","2","32","613","","","","1",""
"613007","","","11","32","613","","","","0",""
"613008","","","0","91","613","","","","",""
"711001","0","wac_default_bot_01","1","1","711","2","-325","-108","102211","202"
"711002","0","wac_default_02","1","5","711","2","-325","-108","111","201"
"711003","","","3","31","711","1","1","0","3","0"
"711004","","","2","31","711","0","1","0","2","0"
"711005","","","13","31","711","0","1","0","13","0"
"711006","","","102211","3","711","0.2","","","wac_paint_bot_01","0"
"711007","","","111","3","711","0.2","","","wac_paint_02","0"
"711008","","wac_default_11","13","32","711","","","","1",""
"711009","","","se_10035700","23","711","0.2","0","","se_10035700_brush","0"
"711010","","","1","131","711","","","","",""
"712001","","","102211","3","712","0.2","1","wac_talk_sad_loop","wac_talk_sad_in","0"
"712002","","","111","3","712","0.2","","","wac_no_items","1"
"712003","","","102211","2","712","","","0","200","-340"
"712004","","","111","2","712","","","0","200","-340"
"712005","","","3","32","712","","","","0",""
"712006","","","2","32","712","","","","1",""
"712007","","","13","32","712","","","","0",""
"712008","","","vo_wac_220221","21","712","","","0","vo_wac_220221_000","0"
"712009","0","0.5","102211","11","712","0","1","1","こ、こんな感じでいいの……？\n突然絵を描いてくれなんて\n無茶言ってくれるわ。","10"
"712010","","","0","91","712","","","","",""
"712011","","","vo_wac_220221","21","712","","","0","vo_wac_220221_001","0"
"712012","0","0.5","102211","11","712","0","1","1","緊張して手が震えちゃったけど……\n我ながらいい出来じゃない。\nアカリはどんなの描いたのかしら？\n見に行ってみましょ。","10"
"712013","","","0","91","712","","","","",""
"712014","","","0","22","712","","","","0",""
"713001","","","102211","3","713","0.2","","","wac_idle_sad","1"
"713002","","","111","3","713","0.2","","","wac_no_items","1"
"713003","","","102211","2","713","","","0","200","-340"
"713004","","","111","2","713","","","0","200","-340"
"713005","","","3","32","713","","","","0",""
"713006","","","2","32","713","","","","1",""
"713007","","","13","32","713","","","","0",""
"713008","","","0","91","713","","","","",""
"811001","0","wac_default_bot_11","1","1","811","2","-325","-108","100611","202"
"811002","0","wac_default_12","1","5","811","2","-325","-108","111","201"
"811003","","","3","31","811","1","1","0","3","0"
"811004","","","2","31","811","0","1","0","2","0"
"811005","","","13","31","811","0","1","0","13","0"
"811006","","","100611","3","811","0.2","","","wac_paint_bot_11","0"
"811007","","","111","3","811","0.2","","","wac_paint_12","0"
"811008","","","0.3","93","811","","","","0",""
"811009","","wac_default_11","13","32","811","","","","1",""
"811010","","","se_10035700","23","811","0.2","0","","se_10035700_roller","0"
"811011","","","1","131","811","","","","",""
"812001","","","100611","3","812","0.2","1","wac_talk_smile_loop","wac_talk_smile_in","0"
"812002","","","111","3","812","0.2","","","wac_no_items","1"
"812003","","","100611","2","812","","","0","200","-340"
"812004","","","111","2","812","","","0","200","-340"
"812005","","","3","32","812","","","","0",""
"812006","","","2","32","812","","","","1",""
"812007","","","13","32","812","","","","0",""
"812008","","","vo_wac_220222","21","812","","","0","vo_wac_220222_000","0"
"812009","0","0.5","100611","11","812","0","1","1","えへへ♪\nアカリ、できちゃいました～♪\nとってもかわいい～♪","10"
"812010","","","0","91","812","","","","",""
"812011","","","vo_wac_220222","21","812","","","0","vo_wac_220222_001","0"
"812012","0","0.5","100611","11","812","0","1","1","でも、もっとハートを散りばめた方が\nよかったかな？　お姉ちゃんの方に\n描き足しちゃったりして――\nあ！　お姉ちゃん♪","10"
"812013","","","0","91","812","","","","",""
"812014","","","0","22","812","","","","0",""
"813001","","","100611","3","813","0.2","","","wac_idle_smile","1"
"813002","","","111","3","813","0.2","","","wac_no_items","1"
"813003","","","100611","2","813","","","0","200","-340"
"813004","","","111","2","813","","","0","200","-340"
"813005","","","3","32","813","","","","0",""
"813006","","","2","32","813","","","","1",""
"813007","","","13","32","813","","","","0",""
"813008","","","0","91","813","","","","",""
"911001","0","wac_default_01","1","1","911","2","-212.75","-108","103111","202"
"911002","0","wac_default_03","1","5","911","2","-212.75","-108","111","201"
"911003","","","1","31","911","1","1","0","1","0"
"911004","","","2","31","911","0","1","0","2","0"
"911005","","","11","31","911","0","1","0","11","0"
"911006","","","103111","3","911","0.2","","","wac_paint_01","0"
"911007","","","111","3","911","0.2","","","wac_paint_03","0"
"911008","","wac_default_11","11","32","911","","","","1",""
"911009","","","se_10035700","23","911","0.2","0","","se_10035700_brush","0"
"911010","","","1","131","911","","","","",""
"912001","","","103111","3","912","0.2","1","wac_talk_wish_loop","wac_talk_wish_in","0"
"912002","","","111","3","912","0.2","","","wac_no_items","1"
"912003","","","103111","2","912","","","0","200","-340"
"912004","","","111","2","912","","","0","200","-340"
"912005","","","1","32","912","","","","0",""
"912006","","","2","32","912","","","","1",""
"912007","","","11","32","912","","","","0",""
"912008","","","vo_wac_220223","21","912","","","0","vo_wac_220223_000","0"
"912009","0","0.5","103111","11","912","0","1","1","ランドソルの壁に絵を描く……\n私にそんなことができるのか\n不安でしたが、\nうまくいって一安心です。","10"
"912010","","","0","91","912","","","","",""
"912011","","","vo_wac_220223","21","912","","","0","vo_wac_220223_001","0"
"912012","0","0.5","103111","11","912","0","1","1","これを他の人が見ると思うと、\n少し恥ずかしい気もしますが……\n楽しい気持ちになってもらえたら\nうれしいですね。","10"
"912013","","","0","91","912","","","","",""
"912014","","","0","22","912","","","","0",""
"913001","","","103111","3","913","0.2","","","wac_idle_wish","1"
"913002","","","111","3","913","0.2","","","wac_no_items","1"
"913003","","","103111","2","913","","","0","200","-340"
"913004","","","111","2","913","","","0","200","-340"
"913005","","","1","32","913","","","","0",""
"913006","","","2","32","913","","","","1",""
"913007","","","11","32","913","","","","0",""
"913008","","","0","91","913","","","","",""
"1011001","0","wac_default_01","1","1","1011","2","-212.75","-108","100711","202"
"1011002","0","wac_default_01","1","5","1011","2","-212.75","-108","111","201"
"1011003","","","1","31","1011","1","1","0","1","0"
"1011004","","","2","31","1011","0","1","0","2","0"
"1011005","","","11","31","1011","0","1","0","11","0"
"1011006","","","100711","3","1011","0.2","","","wac_paint_01","0"
"1011007","","","111","3","1011","0.2","","","wac_paint_01","0"
"1011008","","wac_default_11","11","32","1011","","","","1",""
"1011009","","","se_10035700","23","1011","0.2","0","","se_10035700_brush","0"
"1011010","","","1","131","1011","","","","",""
"1012001","","","100711","3","1012","0.2","1","wac_talk_smile_loop","wac_talk_smile_in","0"
"1012002","","","111","3","1012","0.2","","","wac_no_items","1"
"1012003","","","100711","2","1012","","","0","200","-340"
"1012004","","","111","2","1012","","","0","200","-340"
"1012005","","","1","32","1012","","","","0",""
"1012006","","","2","32","1012","","","","1",""
"1012007","","","11","32","1012","","","","0",""
"1012008","","","vo_wac_220224","21","1012","","","0","vo_wac_220224_000","0"
"1012009","0","0.5","100711","11","1012","0","1","1","プリンなの、ここにもプリンなの、\nあっちにもそっちにもプリンなの\nなんて、ウソなの。\nちゃんと習った通りに描くの。","10"
"1012010","","","0","91","1012","","","","",""
