db1583579c4221c94ed8b2a237dcf15b09fc9085d0dce6175ac646b73451b8cc,98f253331f79f07c6816e1250d0c9db5fcaa40f121388f51d8be6d775184ba5e,f49a6a9cf98b6dc6a0156c53035edb8168de503c3f2240f8e9fc7a89bb492035,1204423781654ba6f7464f5ad85b964f7654d097a6e65b8b7def63dd7936599b,f597c2d3f9478698609eda2fdd7480b312bf3cd299bdf9e706809d1be3486777,80305e10aed8b4447d5a99bfea172957f61d4a4b432a7d6cb14603a0d942bf45,385c73525ecf897bd30805ed9f80c86741d89201815089922f8d83ce03bcf97d,3b2f38401231a770685e37625099434f5016422d13ea805b51d7bd5fbb6eaa72,863faa52dc32714ca75523437a5541279894def6413e7d43b6e4a891410c4c58,a5ed83980fd2d87bfa1a58738d07a3031ed24b5727a21d887fc5af01db2819f3,399bdde90becbc5092eb607e42229ef75d9cc99bbbb1921d732f89bc64d206cc,df8fc7e1cdc269162d7e35ffdb8963e3e8591298e6c25112f3cb368a1ef6365e,dad0617bdfabab4c4d9c14aeeef65a3481a29243a6e92fad9771c8f85fc8318f,4b38e8429965b27ff945706c76854bea757b98ff3ca1a3f4969dfa9146d6cfb9
"ネフィ=ネラ","2002","0","2023/12/15 15:00:00","-470","1","129701","ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","1","0","1","2024/03/22 14:59:59","10011","3"
"ネフィ=ネラ","2002","0","2023/12/15 15:00:00","-470","1","129701","ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","2","6.2","2","2024/03/22 14:59:59","10012","3"
"カノン","2002","0","2024/03/15 15:00:00","-470","5","130301","い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","1","3.1","3","2024/06/22 14:59:59","10013","4"
"カノン","2002","0","2024/03/15 15:00:00","-470","2","130301","あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","2","6.15","3","2024/06/22 14:59:59","10014","4"
"ナーナ","2002","0","2024/03/15 15:00:00","-470","2","130401","いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","1","0","2","2024/06/22 14:59:59","10015","4"
"ナーナ","2002","0","2024/03/15 15:00:00","-470","1","130401","甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","2","3.35","2","2024/06/22 14:59:59","10016","4"
"ホウオウ","2002","0","2024/06/15 15:00:00","-470","1","130502","ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","1","0","1","2024/09/22 14:59:59","10017","5"
"ホウオウ","2002","0","2024/06/15 15:00:00","-470","1","130502","ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","2","3.18","2","2024/09/22 14:59:59","10018","5"
"ホウオウ","2002","0","2024/06/15 15:00:00","-470","4","130503","うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","3","0","4","2024/09/22 14:59:59","10019","5"
"ネア","2002","0","2024/06/15 15:00:00","-470","2","123301","おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","1","4.9","1","2024/09/22 14:59:59","10020","5"
"ネア","2002","0","2024/06/15 15:00:00","-470","2","123301","ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","2","4.8","1","2024/09/22 14:59:59","10021","5"
"カリザ","2002","0","2024/09/15 15:00:00","-470","1","133301","ケッ、なんでオレ様が店番\nなんざ…って来んなキイロ\nオレは売りモンじゃねー！","1","4.922","3","2024/12/22 14:59:59","10022","6"
"カリザ","2002","0","2024/09/15 15:00:00","-470","5","133301","い、言わなきゃダメか？\n「…いらっしゃいませ…」\nクソッ、笑うんじゃねー！","2","9.638","3","2024/12/22 14:59:59","10023","6"
"ミーア","2002","0","2024/09/15 15:00:00","-470","2","133401","ショップへようこそ～\nネラさまの腹心…的な私が\n店番させていただきま～す","1","2.88","1","2024/12/22 14:59:59","10024","6"
"ミーア","2002","0","2024/09/15 15:00:00","-470","1","133401","私の抜け殻とか、\n需要ありますかね～…\nって冗談ですよ、冗談！","2","4.818","5","2024/12/22 14:59:59","10025","6"
