b62607b719af3d517c24668833ad95c73a4657d4a2bf75b79664b2c710c6ab0d,d8a1bab191ad7439f9c6966372ca545e4bb3d86fd4d2fbb22d9575aaf16ced2f,4c64a4ab1231ca47cdf4fe2e41cbccf0117ec805059c71ded86813f4f87a1c30,bc97aad522f00964ef0cb22c3ed08e0dd23c45fa204d5490a1bff69e95107a32,6998430daada3b5d0e88895f4f79d5f60f647585050806cf4759899b2369fc9b,f0bf940c24ae4e7cc175bd191ec40ad68c984728c858241cb4e693dd5a8682b6,27bd6511af186ac4c7554456073793039cb235d0f29c98172c3d57f6d0da6e45,4037fa8070173ed40cd7fba2d3745bfb0fc885ecd8347756b185cec6e5fb4b97,8770015600b51d7104bb27dff7e99ef672e6e93d097eab87b5288ce0eed49178,ebaf71670ee26df83809cd51a20ec828610bafd403878492f48fb36779d6ea1a,74f71984949d5e144f7dfa0301740c2e06a0d031c9113161de06d313820052fc,18669c58056cc8c261eca8d448fd5a21dbe44d7702c3b13d9e615add144fc357,ea443c98f1a1facb3477e689fb5b550b20bffef1793ca148ddf1cb52265eba77
"難問なのにこの正解率は\nよくやってる方よね！\nでもこんなところで\n満足してんじゃないわよ！？","3001","1","7","1","4.19","6","vo_minigame_1012_result_1023","0","4","1","2","11300124"
"難問なのに半分くらい正解\nできてんじゃない♪\nこの調子でもっと学力\n上げていきましょ！","3001","1","1","7","3.43","6","vo_minigame_1012_result_1024","0","4","1","3","11300125"
"よし、平均点ってとこね！\nちゃんと勉強してるみたいで\n安心したわ～♪","3001","1","1","1","0","6","vo_minigame_1012_result_1025","0","4","1","3","11300126"
"難問揃いでこの正解率は\n大したもんよ！\nま、もっといい点取りたいんなら\n勉強、付き合ったげるわ！","3001","1","7","8","3.72","6","vo_minigame_1012_result_1026","0","4","1","3","11300127"
"なるほど…\nこれは教えがいがあるわね\nビシバシ鍛えてやるから\n覚悟しなさい！","3001","1","2","3","3.5","3","vo_minigame_1012_result_1027","1","1","1","1","11300128"
"ちょっとあんた、\n全然できてないじゃない！\n…まさかこれが本気だなんて\n言わないわよね～？","3001","1","2","4","3.25","3","vo_minigame_1012_result_1028","1","1","1","1","11300129"
"うーん……適当に答えても\nこれくらい正解できるわよ？\nちょっと本腰入れて\n教えないとね……！","3001","1","2","3","4.62","3","vo_minigame_1012_result_1029","0","1","1","1","11300130"
"…ま、まあこの問題は\nあんたには難しすぎたのかもね\nちょっとずつでいいから、\nレベルアップしていきましょ！","3001","1","1","9","4.5","3","vo_minigame_1012_result_1030","0","1","1","2","11300131"
"んー結構ミスっちゃってるわね…\nこのまま続けるのもいいけど、\n簡単な問題からやり直すのも\nありかもよ～？","3001","1","3","3","0.01","3","vo_minigame_1012_result_1031","9","1","1","2","11300132"
"あらら、あんたにはちょっと\n難しすぎたかしら…？\nもう一回やり直しましょうか！","3001","1","9","9","0.01","3","vo_minigame_1012_result_1032","9","1","1","2","11300133"
"うーん、残念な結果ね…\n超難問だから仕方ないけど\n無理せず簡単な問題から挑戦\nしてもいいかもよ？","3001","1","3","3","0.01","3","vo_minigame_1012_result_1033","6","1","1","3","11300134"
"正解率はかなり悪いわね…\nまあ難しい問題だもんね…！\nそのチャレンジ精神は買うわ！","3001","1","9","3","2.97","3","vo_minigame_1012_result_1034","0","1","1","3","11300135"
"なんとか０点は免れたわね…\n難問揃いだけど、\nもっと頑張っていきましょ！","3001","1","1","3","3.1","3","vo_minigame_1012_result_1035","0","1","1","3","11300136"
"…あんたさ、０点なんて\n逆に取るの難しいわよ！？\nまさか狙ったわけじゃ\nないでしょーね～！？","3001","1","2","6","4.31","0","vo_minigame_1012_result_1036","1","0","1","1","11300137"
"０点って…\nあんたふざけてんの！？\nちゃんとやらないなら\n電撃魔法くらわせるわよ！？","3001","1","2","2","0.1","0","vo_minigame_1012_result_1037","1","0","1","1","11300138"
"もしかしたらあんたは\n勉強向いてないのかもね…\n…勉強だけがすべてじゃないわ\n違うとこで頑張りましょ！","3001","1","3","9","4.23","0","vo_minigame_1012_result_1038","9","0","1","1","11300139"
"怒んないから正直に言って？\n…ふざけて答えたでしょ？\nほら、正直に\n言・い・な・さ・い？","3001","1","2","3","4.38","0","vo_minigame_1012_result_1039","0","0","1","2","11300140"
"あんたの点数は～～…\n…はい！　０てーん！！\n…って、ふざけんなーー！！！","3001","1","2","8","3.58","0","vo_minigame_1012_result_1040","0","0","1","2","11300141"
"０点ってどういうこと！？\nいやあんた、逆にすごいわよ！？\n目つぶってやったとしても\n１点は取れるから！","3001","1","2","4","2.02","0","vo_minigame_1012_result_1041","1","0","1","2","11300142"
"あちゃー……残念だけど０点よ\nちょっと難しすぎたかもねー…\n…ま、こんなこともあるわ！\n気を落とさなくていいわよ！","3001","1","1","9","5.53","0","vo_minigame_1012_result_1042","9","0","1","3","11300143"
"かなりの難問とはいえ、\n０点はちょっと寂しいわね…\nでもま、逆に考えるのよ！\nあんたには伸びしろしかないわ！","3001","1","1","3","4.4","0","vo_minigame_1012_result_1043","9","0","1","3","11300144"
"０点かー…うん、ごめん…\n慰めの言葉が浮かばないわ！\n……ま、次があるから\n切り替えてくのよ！","3001","1","1","3","5.35","0","vo_minigame_1012_result_1044","0","0","1","3","11300145"
"OK！","1201","2","8","8","0","0","vo_minigame_1012_correct_132","0","0","1","0","12120101"
"合ってる！","1201","2","7","7","0","0","vo_minigame_1012_correct_133","0","0","1","0","12120102"
"グッド！","1201","2","7","7","0","0","vo_minigame_1012_correct_134","0","0","1","0","12120103"
"まじっ！？","1202","2","5","5","0","3000","vo_minigame_1012_correct_135","0","0","1","0","12120201"
"へえ～！","1202","2","10","10","0","3000","vo_minigame_1012_correct_136","0","0","1","0","12120202"
"その調子！","1202","2","7","7","0","6000","vo_minigame_1012_correct_137","0","3001","1","0","12120203"
"ちょっと急ぐわよ！","1202","2","1","1","0","-1","vo_minigame_1012_correct_138","0","13333","1","0","12120204"
"すごすぎ！","1203","2","5","5","0","0","vo_minigame_1012_correct_139","0","0","1","0","12120301"
"楽勝！","1204","2","7","7","0","0","vo_minigame_1012_correct_141","0","0","1","0","12120401"
"リベンジね！","1205","2","7","7","0","0","vo_minigame_1012_correct_140","0","0","1","0","12120501"
"いいわよ！","1206","2","1","1","0","-1","vo_minigame_1012_correct_142","0","3","1","0","12120601"
"まだまだ！","1207","2","2","2","0","-1","vo_minigame_1012_correct_143","0","3","1","0","12120701"
"ブー！","1301","2","2","2","0","0","vo_minigame_1012_incorrect_127","0","0","1","0","12130101"
"ダメー！","1301","2","2","2","0","0","vo_minigame_1012_incorrect_128","0","0","1","0","12130102"
"あらら…！","1301","2","9","9","0","0","vo_minigame_1012_incorrect_129","0","0","1","0","12130103"
"焦らない！","1302","2","3","3","0","3000","vo_minigame_1012_incorrect_130","0","0","1","0","12130201"
"ゆっくり！","1302","2","5","5","0","3000","vo_minigame_1012_incorrect_131","0","0","1","0","12130202"
"深呼吸！","1302","2","2","2","0","6000","vo_minigame_1012_incorrect_132","0","3001","1","0","12130203"
"遅いわね…！","1302","2","3","3","0","-1","vo_minigame_1012_incorrect_133","0","20000","1","0","12130204"
"ムズッ！","1303","2","5","5","0","0","vo_minigame_1012_incorrect_134","0","0","1","0","12130301"
"忘れたの？","1304","2","6","6","0","0","vo_minigame_1012_incorrect_135","0","0","1","0","12130401"
"次はいける！","1305","2","2","2","0","0","vo_minigame_1012_incorrect_136","0","0","1","0","12130501"
"ラストスパート！","1701","2","2","2","0.01","30000","vo_minigame_1012_time_100","3","20000","1","0","12170101"
"もうすぐ終わりよ！","1701","2","1","1","0.01","30000","vo_minigame_1012_time_101","3","20000","1","0","12170102"
"はい、よくできました！\n基礎はもう完璧ね！\n次はもっと難しい問題にも\nチャレンジしちゃいなさいよ！","3001","2","1","7","3.74","-1","vo_minigame_1012_result_1045","10","20","1","1","12300101"
"なによあんた、走り出したペンが\n止まらないって感じ？\nったくシンプルにすごいじゃない\n花丸あげるわ！","3001","2","9","1","3.85","-1","vo_minigame_1012_result_1046","0","20","1","1","12300102"
"すごい点数ね…！\nあんた勉強してないとか言って\nホントはめちゃくちゃやってる\nパターンのやつね！？","3001","2","5","5","0.01","-1","vo_minigame_1012_result_1047","8","20","1","1","12300103"
"勉強の成果、\nちゃんとでてんじゃない！\nあたしもあんたの先生として、\n鼻が高いわ～♪","3001","2","7","8","2.86","-1","vo_minigame_1012_result_1048","4","20","1","2","12300104"
"オッケー！　もう十分よ！\nこれ以上でき過ぎちゃったら、\nあたしが教える必要なくなるわ！","3001","2","3","5","2.02","-1","vo_minigame_1012_result_1049","9","20","1","2","12300105"
"難しい問題を選んだつもりなのに\nすごい正解数ね…！\nでもまだ上がある…\n次は最難関に挑戦よ！","3001","2","1","5","4.46","-1","vo_minigame_1012_result_1050","0","20","1","2","12300106"
"すごいすごいとは思ってたけど、\nあんた勉強も完璧なの…？\nそりゃみんなあんたに惚れ…\nや、な、なんでもない！！","3001","2","4","5","6.85","-1","vo_minigame_1012_result_1051","7","20","1","3","12300107"
"この問題、あたしでも悩む\n超難問なのに…\nふふっ、もう褒めるしかないわ！\n大変よくできました！","3001","2","9","5","3.79","-1","vo_minigame_1012_result_1052","0","20","1","3","12300108"
"別に顔赤くなんてなってない！\n頭がいい人が好きとか…\nかっこいいとか…\n…思ってないからね！","3001","2","4","4","0.01","-1","vo_minigame_1012_result_1053","7","20","1","3","12300109"
"スピードも正確さも完璧…\n文句なしの満点だわ！\nあんた将来、とんでもない人に\nなっちゃうんじゃない！？","3001","2","5","5","0","-1","vo_minigame_1012_result_1054","0","20","1","1","12300110"
"スピードも正確さも完璧…\n文句なしの満点だわ！\nあんた将来、とんでもない人に\nなっちゃうんじゃない！？","3001","2","5","5","0","-1","vo_minigame_1012_result_1054","0","20","1","2","12300112"
"スピードも正確さも完璧…\n文句なしの満点だわ！\nあんた将来、とんでもない人に\nなっちゃうんじゃない！？","3001","2","5","5","0","-1","vo_minigame_1012_result_1054","0","20","1","3","12300114"
"おお～かなり正解できてるわね！\nこの調子でもっとすごい点\n目指しちゃうわよ！","3001","2","7","5","3","19","vo_minigame_1012_result_1056","10","15","1","1","12300116"
"うん、バッチリいい感じよ！\nちゃんと勉強してるみたいで\n関心関心♪","3001","2","8","8","0.01","19","vo_minigame_1012_result_1057","10","15","1","1","12300117"
"え、こんなにいい点取れたのに\nまだ満足してないの？\nなによその向上心…\nいいじゃない！","3001","2","8","5","4.01","19","vo_minigame_1012_result_1058","0","15","1","1","12300118"
"スピードも正解数もいい感じよ！\nねえねえ、この調子で\nてっぺん目指しちゃう？","3001","2","7","8","2.83","19","vo_minigame_1012_result_1059","10","15","1","2","12300119"
"この難易度でも\nスラスラ答えちゃうなんて…\nあんたって\nほんとすごいやつよね…！","3001","2","10","10","0","19","vo_minigame_1012_result_1060","0","15","1","2","12300120"
"これだけ正解できたら\n勉強も楽しいわよね♪\nさ、まだまだ続けるわよ～！","3001","2","7","8","3.66","19","vo_minigame_1012_result_1061","4","15","1","2","12300121"
"あんた、この成績\nまぐれじゃないわよね…！\nこれだけできたら\n大したもんだわ！","3001","2","8","5","3.28","19","vo_minigame_1012_result_1062","0","15","1","3","12300122"
"すごい！　とってもいい成績よ！\nこの難問も、あんたにかかりゃ\nイチコロってやつ？","3001","2","1","8","2.7","19","vo_minigame_1012_result_1063","0","15","1","3","12300123"
"あんた…もしかして\nあたしより点数いいかも？\nあ、あたしもあんたを見習って\n勉強しないとね…！","3001","2","9","5","3.98","19","vo_minigame_1012_result_1064","9","15","1","3","12300124"
"うん、なかなかいい点数よ！\nでもまだまだ頑張れるわよね？\nはい、次いきましょ！","3001","2","1","7","2.51","14","vo_minigame_1012_result_1067","0","10","1","1","12300131"
"十分優秀な成績だけど\nあんたならもっとできる！\nさ、頑張って勉強するわよ！","3001","2","7","1","4.16","14","vo_minigame_1012_result_1068","0","10","1","1","12300132"
"うん、いい感じね！\nこの調子で少しずつ、\n正解数を増やしてくわよ！","3001","2","7","8","2.07","14","vo_minigame_1012_result_1069","0","10","1","1","12300133"
"難問揃いなのに、\nけっこーいい感じじゃない！\nちゃんとできてるから\n自信もっていいわよ！","3001","2","1","8","3.51","14","vo_minigame_1012_result_1070","0","10","1","2","12300134"
"難しい問題でも基礎は大事よ！\nこの調子でどんどん\n点数上げていきましょう！","3001","2","1","1","0","14","vo_minigame_1012_result_1071","0","10","1","2","12300135"
"10問以上取れてるわね！\nえ、まだ物足りない？\nフフ、じゃあもっと上\n目指しちゃう？","3001","2","7","1","4.3","14","vo_minigame_1012_result_1072","0","10","1","2","12300136"
"うん、この難問でこの点数は\n十分すぎる出来よね！\nま、あんたならもっといい点\n目指しちゃうんだろうけど♪","3001","2","7","8","4.47","14","vo_minigame_1012_result_1073","0","10","1","3","12300137"
"はいお疲れ～\nなかなか良い点数じゃない\n…あたしも勉強しないとね！","3001","2","9","8","3.68","14","vo_minigame_1012_result_1074","0","10","1","3","12300138"
"おお～10問以上\n正解してんじゃない！\nあんたやっぱり\nただ者じゃないわね～","3001","2","1","5","3.34","14","vo_minigame_1012_result_1075","0","10","1","3","12300139"
"うん正解率は申し分なしね！\nあとはもっと早く解ければ\nもっと点数は伸びてくわよ！\nこの調子で頑張っていきましょ！","3001","2","8","1","6.58","14","vo_minigame_1012_result_1077","0","10","1","1","12300141"
"うん正解率は申し分なしね！\nあとはもっと早く解ければ\nもっと点数は伸びてくわよ！\nこの調子で頑張っていきましょ！","3001","2","8","1","6.58","14","vo_minigame_1012_result_1077","0","10","1","2","12300143"
"うん正解率は申し分なしね！\nあとはもっと早く解ければ\nもっと点数は伸びてくわよ！\nこの調子で頑張っていきましょ！","3001","2","8","1","6.58","14","vo_minigame_1012_result_1077","0","10","1","3","12300145"
"ふ～ん、まあまあの出来だわ\n悪くはないんだけど…あんたには\nもっともっと期待してるわ～","3001","2","7","1","4.24","9","vo_minigame_1012_result_1078","0","5","1","1","12300146"
"うん、頑張ったけど…\n正直もっと正解できるかもね～？\nこんなのあんたには通過点！\nさらに良い点目指してみない？","3001","2","1","7","4.74","9","vo_minigame_1012_result_1079","0","5","1","1","12300147"
"まあまあな点数だけど、\n自分的に手ごたえはどう？\nダメだって思ってんなら、\nまだまだ伸びる余地ありね！","3001","2","1","1","0","9","vo_minigame_1012_result_1080","0","5","1","1","12300148"
"うん、中々の出来ね！\nでもあんたはもっといい点\n取れるはずよ！\nもっと頑張りましょうか！","3001","2","1","8","2.21","9","vo_minigame_1012_result_1081","0","5","1","2","12300149"
"ん～はっきり言って微妙ね！\nま、難しい問題だし、\n勉強すれば\n点数は上がっていくと思うわ！","3001","2","1","3","2.46","9","vo_minigame_1012_result_1082","0","5","1","2","12300150"
"ん～…\n10点には届かなかったか～\n次は10点越え目指して\n頑張ってみない？","3001","2","1","3","2.94","9","vo_minigame_1012_result_1083","0","5","1","2","12300151"
"はいお疲れ～\n点数的にはまあまあってとこね！\nま、超難問だし頑張ったわよ","3001","2","1","7","4.19","9","vo_minigame_1012_result_1084","0","5","1","3","12300152"
"うん、かなり難しい問題なのに\n最後までやり遂げたわね\n次はもっといい点目指してみる？","3001","2","1","1","0","9","vo_minigame_1012_result_1085","0","5","1","3","12300153"
"ちょっとミスが多かったかもね～\nでも間違えた所は復習して\n次は正解するわよー！","3001","2","1","3","2.63","9","vo_minigame_1012_result_1086","0","5","1","3","12300154"
"あら…あんまり良くない点数ね～\nどうしたの、調子でも悪かった？\n次はもっと頑張りましょうか","3001","2","1","3","5.53","4","vo_minigame_1012_result_1087","0","1","1","1","12300155"
"ん～…正解数は\n物足りないわね～\nもうちょっと勉強の時間\n増やしちゃおっか？","3001","2","3","3","0.01","4","vo_minigame_1012_result_1088","9","1","1","1","12300156"
"ん～…あんたならもうちょと\nいい点取れんでしょ～？\nもっと頑張んなさいよ\n期待してやってんだからさ！","3001","2","1","3","4.15","4","vo_minigame_1012_result_1089","3","1","1","1","12300157"
"ん～今のあんたには、\nこの問題は難しかったかしら…\n難易度下げてチャレンジするのも\nありかもね～？","3001","2","9","9","0.01","4","vo_minigame_1012_result_1090","9","1","1","2","12300158"
"あんまり出来は良くないわね～\n難しい問題だししょうがないけど\n次はもっと頑張ってほしいわ！","3001","2","1","3","5.37","4","vo_minigame_1012_result_1091","0","1","1","2","12300159"
"なるほど…\nちょっと苦手な問題が多かった？\nもう一度チャレンジ\nしてみましょうか～","3001","2","1","3","1.44","4","vo_minigame_1012_result_1092","0","1","1","2","12300160"
"んん～…問題が難しすぎた？\n無理に難しい問題続けるより、\n難易度下げた方が\n勉強の効率良いかもよ～？","3001","2","3","3","0","4","vo_minigame_1012_result_1093","0","1","1","3","12300161"
"…あんまり点数取れなかったわね\nこれはあたしにも難しい問題だし\nそう落ち込まなくても大丈夫！\n次頑張りましょ！","3001","2","9","3","2.91","4","vo_minigame_1012_result_1094","3","1","1","3","12300162"
"ごめん、ちょっと難しすぎた？\nもう一度チャレンジするも良し、\n難易度を下げるも良し、\nあんたがやる気なら付き合うわ！","3001","2","1","5","2.61","4","vo_minigame_1012_result_1095","0","1","1","3","12300163"
"ちょっとあんた…\nやる気ないわよね～！？\n次こんな点数取ったら\n怒るわよ！","3001","2","2","4","3.63","0","vo_minigame_1012_result_1096","1","0","1","1","12300164"
"はあ…自分で何点取ったか\n分かってるわよね～…？\n０点よ０点！　舐めてんの！？","3001","2","2","6","4.16","0","vo_minigame_1012_result_1097","1","0","1","1","12300165"
"うう～頭痛い…\nあんたのせいよ！\nなに０点って！\nはあ、このままじゃ赤点よ～…","3001","2","3","3","0.01","0","vo_minigame_1012_result_1098","6","0","1","1","12300166"
"ねえ、あんた本気でやったの？\nまさか適当にやるわけないわよね\n…分かった、\nもう一回チャレンジするのよ！","3001","2","2","6","5.75","0","vo_minigame_1012_result_1099","0","0","1","2","12300167"
"あ…あんた、０点よ０点…！\nあたしの教え方が悪かった…？\n…燃えてきたわ！\n絶対あんたの学力上げてやる！","3001","2","2","4","5.64","0","vo_minigame_1012_result_1100","1","0","1","2","12300168"
"ちょっと待って採点ミスかも…\n…いや合ってるわね。はい０点\n…って０点！？\nふざけんなーー！","3001","2","4","8","5.73","0","vo_minigame_1012_result_1101","8","0","1","2","12300169"
"あらら…０点よ\nま、難しい問題だしね…\n…つっても０点は無いわ！\n一問くらい正解しなさいよ！","3001","2","3","5","5.32","0","vo_minigame_1012_result_1102","1","0","1","3","12300170"
"残念だけど０点よ\nま、まあ前向きにとらえるなら、\n今が底よ！　どん底！\nあとは上がってくだけね！","3001","2","9","3","2.37","0","vo_minigame_1012_result_1103","9","0","1","3","12300171"
"…かなり出来が悪いわね\n一旦休憩しましょうか？\nリフレッシュして頭切り替えて\nもう一度頑張りましょう！","3001","2","1","9","4.25","0","vo_minigame_1012_result_1104","3","0","1","3","12300172"
"さ、勉強を始めるわよ","1001","3","7","7","0","0","vo_minigame_1012_gamestart_100","0","0","1","0","13100101"
"よし、勉強の成果を見てやるわ！","1001","3","1","1","0","0","vo_minigame_1012_gamestart_101","0","0","1","0","13100102"
"じゃあ試験するわよ。はい教科書閉じて！","1001","3","7","1","1.82","0","vo_minigame_1012_gamestart_102","0","0","1","0","13100103"
"やる気マンマンじゃない！","1002","3","8","8","0.01","-1","vo_minigame_1012_gamestart_103","4","3","1","0","13100201"
"よし、じゃあもう一回やるわよ！","1002","3","1","1","0","-1","vo_minigame_1012_gamestart_104","0","3","1","0","13100202"
"普通の難易度よ！","1003","3","0","0","0","1","vo_minigame_1012_gamestart_105","0","1","1","0","13100301"
"まずは基本からね！","1003","3","7","7","0","1","vo_minigame_1012_gamestart_106","0","1","1","0","13100302"
"難しい問題に挑戦するのね！","1003","3","10","10","0","2","vo_minigame_1012_gamestart_107","0","2","1","0","13100303"
"よし、あんたならできるわ！","1003","3","8","1","0.67","2","vo_minigame_1012_gamestart_108","0","2","1","0","13100304"
"あたしでも手こずる難問揃いよ…！","1003","3","5","5","0","3","vo_minigame_1012_gamestart_109","0","3","1","0","13100305"
"激ムズだけど頑張んなさい！","1003","3","2","2","0","3","vo_minigame_1012_gamestart_110","0","3","1","0","13100306"
