aa6f6a118bd0f329a8ac638a85f6d0282a475c923a298c0a59edd3070d9ecf52,b65f2a7f17e7f828a6407680f3a67e755284c18727f8ec46e1c2127b47b47256,9c400ce3c46c3d1c7f57083ea4a6702d00fc86c28b0c28ddb0c4dfc997372252,f6afc09a725c5efe1ccace039119a2ab79a337b5fc832499228e907bb4e21f37,259ebdd5d11d261bd7636c98d262e45ceeda936a8d8f7af2d8f4a7d51e28cdcc,852db6ca60d7e6aacc7b6e8eaf0f3519c82be4fc59750cfda53e4d7d37df5b70,1e2777175d87857a39568d565e93cb9a25c85e6556d4c3a37d7585220c600913
"4","1","5","1","0","7","6"
"10","2","4","1","0","8","6"
"13","1","10","2","0","9","6"
"7","1","8","1","0","1","7"
"10","2","12","1","0","2","7"
"12","2","4","1","0","3","7"
"7","1","11","1","0","4","7"
"10","1","1","1","0","5","7"
"12","2","5","1","0","6","7"
"11","2","5","1","0","7","7"
"10","2","8","1","0","8","7"
"8","1","2","1","0","9","7"
"7","1","8","1","0","10","7"
"9","2","4","1","0","11","7"
"10","1","1","2","0","1","8"
"10","2","12","1","0","2","8"
"5","1","12","1","0","3","8"
"12","1","5","1","0","4","8"
"10","2","1","1","0","5","8"
"12","1","5","1","0","6","8"
"12","1","5","1","0","7","8"
"10","2","1","1","0","8","8"
"9","2","8","1","0","9","8"
"9","1","4","2","0","10","8"
"8","1","4","1","0","1","9"
"10","1","5","1","0","2","9"
"7","2","4","1","0","3","9"
"8","2","6","1","0","4","9"
"10","1","1","1","0","5","9"
"11","1","11","1","0","6","9"
"6","1","1","1","0","7","9"
"8","2","5","1","0","8","9"
"7","2","8","1","0","9","9"
"6","1","4","1","0","10","9"
"10","2","11","1","0","1","10"
"7","1","1","1","0","2","10"
"8","1","8","2","0","3","10"
"9","2","5","1","0","4","10"
"8","1","10","1","0","5","10"
"7","1","1","2","0","6","10"
"6","1","2","2","0","7","10"
"10","1","11","1","0","8","10"
"10","2","8","1","0","9","10"
"8","1","9","1","0","1","11"
"0","2","5","1","0","2","11"
"12","2","6","1","0","3","11"
"5","1","1","1","0","4","11"
"10","2","5","1","0","5","11"
"12","2","6","1","0","6","11"
"4","1","1","1","0","7","11"
"0","1","11","1","0","8","11"
"0","1","6","1","0","9","11"
"10","2","1","1","0","10","11"
"11","1","6","1","0","11","11"
"12","2","1","1","0","12","11"
"6","2","5","1","0","13","11"
"7","1","10","1","0","14","11"
"7","2","4","1","0","15","11"
"4","2","11","1","0","1","12"
"5","1","1","1","0","2","12"
"10","2","6","1","0","3","12"
"10","2","5","1","0","4","12"
"0","1","11","1","0","5","12"
"0","2","6","1","0","6","12"
"17","2","12","1","0","7","12"
"1","1","5","1","0","8","12"
"2","1","1","1","0","9","12"
"10","2","6","1","0","10","12"
"10","2","4","1","0","11","12"
"0","1","1","1","0","12","12"
"13","1","5","1","0","13","12"
"8","2","11","1","0","14","12"
"10","1","8","1","0","15","12"
"10","1","11","1","0","1","13"
"8","3","11","1","0","2","13"
"0","2","6","1","0","3","13"
"10","1","11","1","0","4","13"
"7","2","11","1","0","5","13"
"6","3","2","1","0","6","13"
"0","3","1","1","1500","7","13"
"5","1","11","3","0","8","13"
"10","3","5","1","0","9","13"
"4","2","1","1","0","10","13"
"4","1","1","1","0","11","13"
"6","3","6","1","0","12","13"
"6","1","4","1","0","13","13"
"10","1","9","3","0","14","13"
"10","3","8","1","0","15","13"
"6","1","4","1","0","16","13"
"0","3","1","1","0","17","13"
"8","2","8","1","0","18","13"
"0","1","11","1","0","1","14"
"13","1","2","2","0","2","14"
"10","3","11","1","0","3","14"
"10","1","1","1","0","4","14"
"10","1","4","2","0","5","14"
"0","2","11","1","0","6","14"
"0","2","1","1","0","7","14"
"10","1","1","1","0","8","14"
"12","3","12","1","0","9","14"
"12","3","12","1","0","10","14"
"0","3","5","1","0","11","14"
"12","1","5","1","0","12","14"
"6","1","10","2","0","13","14"
"10","1","11","1","0","14","14"
"6","1","10","3","0","15","14"
"10","1","11","1","0","16","14"
"6","1","2","3","0","17","14"
"6","1","10","2","0","18","14"
"4","1","11","1","0","19","14"
"10","2","8","1","0","20","14"
"4","1","8","3","0","21","14"
"10","2","12","1","0","1","15"
"12","1","12","1","0","2","15"
"12","3","11","1","0","3","15"
"6","1","11","1","0","4","15"
"12","2","12","1","0","5","15"
"0","2","5","1","0","6","15"
"12","1","11","1","0","7","15"
"0","1","1","1","0","8","15"
"0","1","5","1","0","9","15"
"12","1","12","2","0","10","15"
"0","3","11","1","0","11","15"
"11","3","12","1","0","12","15"
"9","2","1","1","0","13","15"
"12","1","1","1","0","14","15"
"0","1","12","1","0","15","15"
"9","1","12","1","0","16","15"
"4","2","11","1","0","17","15"
"4","1","11","3","0","18","15"
"12","2","5","1","0","19","15"
"0","2","12","1","0","20","15"
"7","2","12","1","0","21","15"
"12","1","12","3","0","22","15"
"7","1","1","3","0","23","15"
"0","3","4","1","0","24","15"
"10","1","4","3","0","25","15"
"0","2","8","1","0","26","15"
"0","1","11","1","0","27","15"
"0","2","11","1","0","28","15"
"0","1","6","1","0","1","16"
"10","2","11","1","0","2","16"
"0","3","12","1","0","3","16"
"0","2","4","1","0","4","16"
"12","1","6","1","0","5","16"
"0","1","6","1","0","6","16"
"4","2","4","1","0","7","16"
"4","3","5","1","0","8","16"
"0","3","1","1","0","9","16"
"17","1","12","1","0","10","16"
"0","2","11","1","0","11","16"
"10","3","1","1","0","12","16"
"11","2","11","1","0","13","16"
"0","3","11","1","0","14","16"
"12","1","12","1","0","15","16"
"10","1","11","1","0","16","16"
"10","1","11","1","0","17","16"
"6","1","6","1","0","18","16"
"6","2","11","1","0","19","16"
"8","3","1","1","0","20","16"
"8","3","5","1","0","21","16"
"9","1","4","1","0","22","16"
"10","1","11","1","0","23","16"
"4","1","11","1","0","1","17"
"10","1","4","3","0","2","17"
"4","1","11","1","0","3","17"
"0","1","1","1","0","4","17"
"10","1","1","2","0","5","17"
"4","2","11","1","0","6","17"
"10","1","1","2","0","7","17"
"4","2","11","1","0","8","17"
"0","3","1","1","0","9","17"
"10","1","8","2","0","10","17"
"12","1","12","1","0","11","17"
"4","3","11","1","0","12","17"
"4","1","1","3","0","13","17"
"10","1","11","1","0","14","17"
"0","1","1","2","0","15","17"
"4","1","11","2","0","16","17"
"7","1","8","2","0","17","17"
"0","1","11","1","0","18","17"
"6","1","2","3","0","19","17"
"10","1","10","1","0","20","17"
"10","2","11","1","0","21","17"
"7","3","8","1","0","22","17"
"4","1","11","1","0","1","18"
"13","1","5","2","0","2","18"
"10","1","4","1","0","3","18"
"10","2","4","1","0","4","18"
"10","3","11","1","0","5","18"
"7","1","5","3","0","6","18"
"10","1","11","1","0","7","18"
"10","3","4","1","0","8","18"
"10","2","11","1","0","9","18"
"6","1","5","3","0","10","18"
"10","1","11","1","0","11","18"
"10","2","11","1","0","12","18"
"10","3","4","1","0","13","18"
"8","1","5","2","0","14","18"
"6","1","6","2","0","15","18"
"0","3","10","1","0","16","18"
"0","2","10","1","0","17","18"
"0","1","10","1","0","18","18"
"7","1","10","2","0","19","18"
"10","1","8","1","0","20","18"
"10","1","11","1","0","21","18"
"9","1","2","2","0","22","18"
"0","1","13","2","0","1","19"
"8","1","4","2","0","2","19"
"0","1","8","2","0","3","19"
"10","1","14","2","0","1","20"
"0","1","8","2","0","2","20"
"13","1","15","2","0","1","21"
"0","1","15","2","0","1","22"
"0","1","13","2","0","2","22"
"0","1","42","2","0","1","23"
"0","1","72","2","0","2","23"
"0","1","43","2","0","1","24"
"0","1","44","2","0","1","25"
"0","1","45","2","0","1","26"
"0","1","46","2","0","1","27"
"0","1","47","2","0","1","28"
"0","1","14","2","0","1","29"
"0","1","15","1","0","1","30"
"0","2","8","1","0","2","30"
"13","1","10","1","0","3","30"
"13","2","10","1","0","4","30"
"9","2","12","1","0","5","30"
"6","1","72","1","0","6","30"
"8","1","2","2","0","7","30"
"0","1","13","2","0","8","30"
"8","1","4","1","0","1","31"
"0","2","1","1","0","2","31"
"6","1","10","1","0","3","31"
"0","2","4","1","0","4","31"
"7","1","9","1","0","5","31"
"0","2","1","1","0","6","31"
"6","1","10","1","0","1","32"
"13","2","10","1","0","2","32"
"0","3","1","1","0","3","32"
"11","2","2","1","0","4","32"
"8","1","2","1","0","5","32"
"0","3","1","1","0","6","32"
"7","3","72","1","0","7","32"
"0","3","6","1","0","1","33"
"13","1","10","3","0","2","33"
"3","3","3","1","0","3","33"
"0","1","72","3","0","4","33"
"2","3","12","1","0","5","33"
"6","1","4","2","0","1","34"
"7","1","5","1","0","2","34"
"0","2","1","1","0","3","34"
"8","2","12","1","0","4","34"
"0","1","1","1","0","5","34"
"0","1","15","2","0","6","34"
"0","1","8","2","0","1","35"
"10","1","72","2","0","2","35"
"0","1","13","2","0","3","35"
"0","1","4","2","0","1","36"
"6","1","6","1","0","2","36"
"0","1","1","1","0","3","36"
"10","2","72","1","0","4","36"
"0","2","9","1","0","5","36"
"7","2","2","2","0","6","36"
"7","1","8","2","0","1","37"
"0","1","4","1","0","2","37"
"0","2","5","1","0","3","37"
"6","1","13","2","0","4","37"
"10","1","13","2","0","1","38"
"8","1","5","1","0","2","38"
"7","2","6","1","0","3","38"
"0","1","1","1","0","4","38"
"7","2","9","1","0","5","38"
"13","2","15","1","0","6","38"
"0","1","8","2","0","7","38"
"6","1","4","2","0","1","39"
"13","1","6","1","0","2","39"
"10","2","72","1","0","3","39"
"6","1","13","2","0","4","39"
